ward,precinct,total,Danny K. Davis,Danny K. Davis Percent,Robert Dallas,Robert Dallas Percent,Anita Rivkin-Carothers,Anita Rivkin-Carothers Percent,precinct_id
42,43,135,99,73.33,9,6.67,27,20.0,42043
42,44,136,91,66.91,12,8.82,33,24.26,42044
42,45,117,92,78.63,6,5.13,19,16.24,42045
42,46,90,67,74.44,8,8.89,15,16.67,42046
42,47,88,65,73.86,7,7.95,16,18.18,42047
42,48,98,64,65.31,10,10.2,24,24.49,42048
42,49,61,46,75.41,8,13.11,7,11.48,42049
42,50,108,79,73.15,15,13.89,14,12.96,42050
42,51,127,90,70.87,7,5.51,30,23.62,42051
42,52,75,54,72.0,1,1.33,20,26.67,42052
42,53,89,61,68.54,10,11.24,18,20.22,42053
42,54,88,62,70.45,8,9.09,18,20.45,42054
42,55,113,80,70.8,7,6.19,26,23.01,42055
42,56,98,60,61.22,10,10.2,28,28.57,42056
42,57,97,73,75.26,8,8.25,16,16.49,42057
42,58,55,42,76.36,4,7.27,9,16.36,42058
42,59,26,17,65.38,3,11.54,6,23.08,42059
42,60,80,53,66.25,4,5.0,23,28.75,42060
42,61,58,37,63.79,4,6.9,17,29.31,42061
42,62,90,65,72.22,9,10.0,16,17.78,42062
42,63,134,97,72.39,7,5.22,30,22.39,42063
42,64,72,51,70.83,6,8.33,15,20.83,42064
42,65,102,78,76.47,5,4.9,19,18.63,42065
42,66,91,66,72.53,7,7.69,18,19.78,42066
42,67,83,55,66.27,6,7.23,22,26.51,42067
42,68,116,81,69.83,10,8.62,25,21.55,42068
42,69,164,124,75.61,6,3.66,34,20.73,42069
43,1,88,67,76.14,3,3.41,18,20.45,43001
43,3,125,94,75.2,5,4.0,26,20.8,43003
43,4,130,91,70.0,13,10.0,26,20.0,43004
43,5,98,69,70.41,7,7.14,22,22.45,43005
43,9,80,62,77.5,1,1.25,17,21.25,43009
43,10,43,28,65.12,4,9.3,11,25.58,43010
43,11,70,55,78.57,3,4.29,12,17.14,43011
43,13,60,50,83.33,1,1.67,9,15.0,43013
43,15,112,80,71.43,7,6.25,25,22.32,43015
43,16,122,88,72.13,6,4.92,28,22.95,43016
43,18,160,121,75.63,7,4.38,32,20.0,43018
43,21,17,14,82.35,2,11.76,1,5.88,43021
43,23,100,68,68.0,11,11.0,21,21.0,43023
43,24,106,66,62.26,13,12.26,27,25.47,43024
43,25,129,101,78.29,6,4.65,22,17.05,43025
43,26,106,65,61.32,11,10.38,30,28.3,43026
43,28,86,63,73.26,5,5.81,18,20.93,43028
43,30,58,41,70.69,2,3.45,15,25.86,43030
43,36,104,69,66.35,7,6.73,28,26.92,43036
43,37,89,58,65.17,3,3.37,28,31.46,43037
43,40,78,59,75.64,3,3.85,16,20.51,43040
43,41,42,33,78.57,0,0.0,9,21.43,43041
43,42,119,80,67.23,7,5.88,32,26.89,43042
43,46,138,103,74.64,5,3.62,30,21.74,43046
43,47,114,95,83.33,6,5.26,13,11.4,43047
43,49,71,47,66.2,5,7.04,19,26.76,43049
43,51,188,151,80.32,8,4.26,29,15.43,43051
43,52,118,79,66.95,11,9.32,28,23.73,43052
43,54,103,69,66.99,10,9.71,24,23.3,43054
43,55,129,108,83.72,5,3.88,16,12.4,43055
43,60,64,52,81.25,3,4.69,9,14.06,43060
43,61,68,57,83.82,3,4.41,8,11.76,43061
43,62,104,77,74.04,5,4.81,22,21.15,43062
43,63,86,65,75.58,3,3.49,18,20.93,43063
43,64,76,52,68.42,3,3.95,21,27.63,43064
43,65,57,40,70.18,3,5.26,14,24.56,43065
43,66,41,31,75.61,2,4.88,8,19.51,43066
43,67,67,54,80.6,4,5.97,9,13.43,43067
