ward,precinct,total,Timothy Patrick Murphy,Timothy Patrick Murphy Percent,John Noonan Farrell,John Noonan Farrell Percent,Lisa R. Curcio,Lisa R. Curcio Percent,Mary Lou Ryan Norwell,Mary Lou Ryan Norwell Percent,Mary Beth Duffy,Mary Beth Duffy Percent,Edwin Jon Belz,Edwin Jon Belz Percent,Susan Patricia Malone,Susan Patricia Malone Percent,Terrence J. McConville,Terrence J. McConville Percent,precinct_id
13,5,150,27,18.0,12,8.0,79,52.67,5,3.33,9,6.0,1,0.67,15,10.0,2,1.33,13005
13,6,174,48,27.59,24,13.79,65,37.36,7,4.02,18,10.34,2,1.15,8,4.6,2,1.15,13006
13,7,226,26,11.5,4,1.77,158,69.91,7,3.1,9,3.98,2,0.88,19,8.41,1,0.44,13007
13,8,232,34,14.66,11,4.74,149,64.22,6,2.59,11,4.74,1,0.43,18,7.76,2,0.86,13008
13,9,189,38,20.11,9,4.76,112,59.26,4,2.12,10,5.29,4,2.12,11,5.82,1,0.53,13009
13,10,186,40,21.51,24,12.9,93,50.0,7,3.76,12,6.45,3,1.61,5,2.69,2,1.08,13010
13,11,202,35,17.33,8,3.96,139,68.81,5,2.48,5,2.48,2,0.99,6,2.97,2,0.99,13011
13,12,195,47,24.1,8,4.1,96,49.23,8,4.1,14,7.18,4,2.05,17,8.72,1,0.51,13012
13,13,255,26,10.2,5,1.96,184,72.16,13,5.1,13,5.1,1,0.39,11,4.31,2,0.78,13013
13,14,154,27,17.53,6,3.9,100,64.94,2,1.3,7,4.55,3,1.95,9,5.84,0,0.0,13014
13,15,244,43,17.62,7,2.87,151,61.89,14,5.74,14,5.74,5,2.05,7,2.87,3,1.23,13015
13,16,160,34,21.25,6,3.75,95,59.38,3,1.88,5,3.13,3,1.88,12,7.5,2,1.25,13016
13,17,223,49,21.97,8,3.59,139,62.33,3,1.35,11,4.93,0,0.0,11,4.93,2,0.9,13017
13,18,142,30,21.13,4,2.82,78,54.93,2,1.41,7,4.93,3,2.11,18,12.68,0,0.0,13018
13,19,207,34,16.43,8,3.86,125,60.39,8,3.86,6,2.9,2,0.97,21,10.14,3,1.45,13019
13,20,169,31,18.34,8,4.73,96,56.8,4,2.37,10,5.92,3,1.78,15,8.88,2,1.18,13020
13,21,160,24,15.0,3,1.88,109,68.13,4,2.5,5,3.13,0,0.0,14,8.75,1,0.63,13021
13,22,247,45,18.22,6,2.43,183,74.09,2,0.81,5,2.02,0,0.0,5,2.02,1,0.4,13022
13,23,166,18,10.84,1,0.6,124,74.7,0,0.0,10,6.02,3,1.81,9,5.42,1,0.6,13023
13,24,243,24,9.88,7,2.88,185,76.13,4,1.65,8,3.29,1,0.41,12,4.94,2,0.82,13024
13,25,173,27,15.61,6,3.47,105,60.69,7,4.05,11,6.36,3,1.73,9,5.2,5,2.89,13025
13,26,136,25,18.38,1,0.74,84,61.76,4,2.94,5,3.68,3,2.21,12,8.82,2,1.47,13026
13,27,238,52,21.85,8,3.36,122,51.26,11,4.62,26,10.92,2,0.84,15,6.3,2,0.84,13027
13,28,164,28,17.07,8,4.88,92,56.1,1,0.61,9,5.49,3,1.83,19,11.59,4,2.44,13028
13,29,207,42,20.29,29,14.01,91,43.96,9,4.35,9,4.35,5,2.42,19,9.18,3,1.45,13029
13,30,153,43,28.1,4,2.61,77,50.33,3,1.96,6,3.92,3,1.96,13,8.5,4,2.61,13030
13,31,183,25,13.66,2,1.09,135,73.77,6,3.28,3,1.64,2,1.09,9,4.92,1,0.55,13031
13,32,196,54,27.55,13,6.63,51,26.02,14,7.14,22,11.22,2,1.02,33,16.84,7,3.57,13032
13,33,164,36,21.95,5,3.05,100,60.98,5,3.05,5,3.05,1,0.61,11,6.71,1,0.61,13033
13,34,207,28,13.53,2,0.97,140,67.63,7,3.38,7,3.38,2,0.97,18,8.7,3,1.45,13034
13,35,251,35,13.94,8,3.19,185,73.71,4,1.59,1,0.4,0,0.0,17,6.77,1,0.4,13035
13,36,120,17,14.17,10,8.33,74,61.67,1,0.83,6,5.0,3,2.5,8,6.67,1,0.83,13036
13,37,140,20,14.29,3,2.14,95,67.86,1,0.71,4,2.86,2,1.43,9,6.43,6,4.29,13037
13,38,252,64,25.4,34,13.49,120,47.62,5,1.98,8,3.17,7,2.78,11,4.37,3,1.19,13038
13,39,176,27,15.34,6,3.41,103,58.52,3,1.7,10,5.68,3,1.7,20,11.36,4,2.27,13039
13,40,152,21,13.82,4,2.63,100,65.79,3,1.97,8,5.26,2,1.32,14,9.21,0,0.0,13040
13,41,197,28,14.21,6,3.05,126,63.96,3,1.52,12,6.09,3,1.52,17,8.63,2,1.02,13041
13,42,253,44,17.39,6,2.37,166,65.61,9,3.56,14,5.53,3,1.19,10,3.95,1,0.4,13042
13,43,181,31,17.13,8,4.42,108,59.67,1,0.55,14,7.73,3,1.66,13,7.18,3,1.66,13043
13,44,337,14,4.15,1,0.3,308,91.39,5,1.48,0,0.0,0,0.0,8,2.37,1,0.3,13044
13,45,339,29,8.55,8,2.36,267,78.76,8,2.36,12,3.54,3,0.88,10,2.95,2,0.59,13045
13,46,196,36,18.37,4,2.04,134,68.37,6,3.06,7,3.57,2,1.02,7,3.57,0,0.0,13046
13,47,176,29,16.48,7,3.98,111,63.07,3,1.7,5,2.84,6,3.41,14,7.95,1,0.57,13047
13,48,223,46,20.63,10,4.48,132,59.19,2,0.9,17,7.62,3,1.35,9,4.04,4,1.79,13048
13,49,270,42,15.56,5,1.85,197,72.96,5,1.85,7,2.59,3,1.11,8,2.96,3,1.11,13049
13,50,270,22,8.15,1,0.37,230,85.19,2,0.74,4,1.48,2,0.74,8,2.96,1,0.37,13050
13,51,161,24,14.91,3,1.86,104,64.6,3,1.86,10,6.21,3,1.86,11,6.83,3,1.86,13051
13,52,204,32,15.69,6,2.94,137,67.16,7,3.43,10,4.9,4,1.96,3,1.47,5,2.45,13052
13,53,229,51,22.27,13,5.68,111,48.47,16,6.99,11,4.8,1,0.44,22,9.61,4,1.75,13053
13,54,203,25,12.32,1,0.49,137,67.49,3,1.48,10,4.93,7,3.45,12,5.91,8,3.94,13054
14,1,119,16,13.45,6,5.04,75,63.03,2,1.68,3,2.52,3,2.52,12,10.08,2,1.68,14001
14,2,112,26,23.21,8,7.14,37,33.04,5,4.46,17,15.18,4,3.57,14,12.5,1,0.89,14002
14,3,168,30,17.86,7,4.17,92,54.76,3,1.79,13,7.74,5,2.98,15,8.93,3,1.79,14003
14,4,96,18,18.75,3,3.13,52,54.17,5,5.21,5,5.21,2,2.08,8,8.33,3,3.13,14004
14,5,184,22,11.96,2,1.09,126,68.48,3,1.63,11,5.98,3,1.63,12,6.52,5,2.72,14005
14,6,127,30,23.62,5,3.94,51,40.16,5,3.94,11,8.66,4,3.15,19,14.96,2,1.57,14006
14,7,134,23,17.16,3,2.24,69,51.49,8,5.97,13,9.7,2,1.49,15,11.19,1,0.75,14007
14,8,81,19,23.46,5,6.17,34,41.98,2,2.47,1,1.23,1,1.23,17,20.99,2,2.47,14008
14,9,151,28,18.54,2,1.32,76,50.33,4,2.65,10,6.62,8,5.3,19,12.58,4,2.65,14009
14,10,143,24,16.78,5,3.5,74,51.75,3,2.1,9,6.29,4,2.8,22,15.38,2,1.4,14010
14,11,118,17,14.41,4,3.39,75,63.56,4,3.39,0,0.0,1,0.85,14,11.86,3,2.54,14011
14,12,108,18,16.67,3,2.78,67,62.04,4,3.7,2,1.85,2,1.85,10,9.26,2,1.85,14012
14,13,148,44,29.73,4,2.7,67,45.27,4,2.7,12,8.11,5,3.38,11,7.43,1,0.68,14013
14,14,83,15,18.07,3,3.61,49,59.04,2,2.41,5,6.02,3,3.61,5,6.02,1,1.2,14014
14,15,227,16,7.05,2,0.88,174,76.65,4,1.76,10,4.41,2,0.88,15,6.61,4,1.76,14015
14,16,128,32,25.0,11,8.59,50,39.06,3,2.34,7,5.47,5,3.91,18,14.06,2,1.56,14016
14,17,174,23,13.22,3,1.72,127,72.99,2,1.15,3,1.72,2,1.15,13,7.47,1,0.57,14017
14,18,106,28,26.42,5,4.72,31,29.25,4,3.77,9,8.49,5,4.72,21,19.81,3,2.83,14018
14,19,217,40,18.43,7,3.23,127,58.53,2,0.92,12,5.53,7,3.23,20,9.22,2,0.92,14019
14,20,117,26,22.22,1,0.85,62,52.99,10,8.55,2,1.71,3,2.56,13,11.11,0,0.0,14020
14,21,151,18,11.92,4,2.65,114,75.5,1,0.66,3,1.99,2,1.32,8,5.3,1,0.66,14021
14,22,132,20,15.15,6,4.55,78,59.09,5,3.79,6,4.55,6,4.55,11,8.33,0,0.0,14022
14,23,114,14,12.28,3,2.63,72,63.16,10,8.77,3,2.63,0,0.0,11,9.65,1,0.88,14023
14,24,97,21,21.65,2,2.06,63,64.95,1,1.03,2,2.06,2,2.06,5,5.15,1,1.03,14024
14,25,154,34,22.08,5,3.25,71,46.1,4,2.6,14,9.09,5,3.25,15,9.74,6,3.9,14025
14,26,91,19,20.88,5,5.49,36,39.56,3,3.3,6,6.59,4,4.4,13,14.29,5,5.49,14026
14,27,85,20,23.53,3,3.53,31,36.47,6,7.06,10,11.76,5,5.88,8,9.41,2,2.35,14027
14,28,132,29,21.97,5,3.79,54,40.91,6,4.55,11,8.33,9,6.82,14,10.61,4,3.03,14028
14,29,169,27,15.98,6,3.55,92,54.44,13,7.69,4,2.37,8,4.73,17,10.06,2,1.18,14029
14,30,115,23,20.0,4,3.48,63,54.78,3,2.61,7,6.09,3,2.61,12,10.43,0,0.0,14030
14,31,167,17,10.18,4,2.4,133,79.64,3,1.8,5,2.99,2,1.2,3,1.8,0,0.0,14031
14,32,95,20,21.05,2,2.11,42,44.21,4,4.21,4,4.21,2,2.11,15,15.79,6,6.32,14032
14,33,130,26,20.0,6,4.62,77,59.23,2,1.54,4,3.08,4,3.08,10,7.69,1,0.77,14033
14,34,134,6,4.48,2,1.49,112,83.58,2,1.49,5,3.73,1,0.75,5,3.73,1,0.75,14034
14,35,71,17,23.94,2,2.82,24,33.8,3,4.23,12,16.9,1,1.41,10,14.08,2,2.82,14035
14,36,177,33,18.64,9,5.08,88,49.72,2,1.13,7,3.95,8,4.52,24,13.56,6,3.39,14036
14,37,104,12,11.54,4,3.85,72,69.23,3,2.88,7,6.73,1,0.96,3,2.88,2,1.92,14037
15,1,86,35,40.7,5,5.81,13,15.12,8,9.3,8,9.3,0,0.0,14,16.28,3,3.49,15001
15,2,116,43,37.07,4,3.45,10,8.62,20,17.24,9,7.76,1,0.86,23,19.83,6,5.17,15002
15,3,126,53,42.06,2,1.59,10,7.94,8,6.35,12,9.52,2,1.59,33,26.19,6,4.76,15003
15,4,90,39,43.33,7,7.78,7,7.78,14,15.56,12,13.33,1,1.11,8,8.89,2,2.22,15004
15,5,105,39,37.14,4,3.81,11,10.48,11,10.48,10,9.52,4,3.81,21,20.0,5,4.76,15005
15,6,115,41,35.65,4,3.48,15,13.04,10,8.7,12,10.43,4,3.48,21,18.26,8,6.96,15006
15,7,119,50,42.02,8,6.72,13,10.92,8,6.72,8,6.72,1,0.84,25,21.01,6,5.04,15007
15,8,149,53,35.57,7,4.7,21,14.09,11,7.38,19,12.75,3,2.01,29,19.46,6,4.03,15008
15,9,127,53,41.73,9,7.09,12,9.45,6,4.72,17,13.39,5,3.94,23,18.11,2,1.57,15009
15,10,94,37,39.36,4,4.26,17,18.09,0,0.0,9,9.57,0,0.0,24,25.53,3,3.19,15010
15,11,130,49,37.69,11,8.46,12,9.23,8,6.15,17,13.08,2,1.54,25,19.23,6,4.62,15011
15,12,92,35,38.04,3,3.26,8,8.7,14,15.22,8,8.7,0,0.0,20,21.74,4,4.35,15012
15,13,74,19,25.68,2,2.7,14,18.92,4,5.41,10,13.51,2,2.7,21,28.38,2,2.7,15013
15,14,153,44,28.76,10,6.54,39,25.49,9,5.88,14,9.15,5,3.27,26,16.99,6,3.92,15014
15,15,93,23,24.73,1,1.08,35,37.63,5,5.38,10,10.75,0,0.0,16,17.2,3,3.23,15015
15,16,66,22,33.33,0,0.0,19,28.79,3,4.55,6,9.09,1,1.52,12,18.18,3,4.55,15016
15,17,115,48,41.74,6,5.22,8,6.96,9,7.83,12,10.43,4,3.48,24,20.87,4,3.48,15017
15,18,101,43,42.57,6,5.94,5,4.95,7,6.93,16,15.84,0,0.0,18,17.82,6,5.94,15018
15,19,116,36,31.03,8,6.9,17,14.66,11,9.48,15,12.93,2,1.72,22,18.97,5,4.31,15019
15,20,112,47,41.96,3,2.68,14,12.5,9,8.04,10,8.93,4,3.57,19,16.96,6,5.36,15020
15,21,124,50,40.32,6,4.84,10,8.06,9,7.26,13,10.48,7,5.65,21,16.94,8,6.45,15021
15,22,130,32,24.62,7,5.38,20,15.38,8,6.15,15,11.54,2,1.54,36,27.69,10,7.69,15022
15,23,95,30,31.58,3,3.16,10,10.53,10,10.53,14,14.74,0,0.0,21,22.11,7,7.37,15023
15,24,101,40,39.6,5,4.95,8,7.92,12,11.88,12,11.88,3,2.97,17,16.83,4,3.96,15024
15,25,100,35,35.0,3,3.0,17,17.0,7,7.0,10,10.0,5,5.0,18,18.0,5,5.0,15025
15,26,100,39,39.0,6,6.0,7,7.0,9,9.0,11,11.0,1,1.0,22,22.0,5,5.0,15026
15,27,93,32,34.41,6,6.45,16,17.2,5,5.38,3,3.23,2,2.15,23,24.73,6,6.45,15027
15,28,129,51,39.53,5,3.88,26,20.16,10,7.75,11,8.53,2,1.55,22,17.05,2,1.55,15028
15,29,45,18,40.0,0,0.0,2,4.44,5,11.11,7,15.56,2,4.44,9,20.0,2,4.44,15029
15,30,139,54,38.85,12,8.63,9,6.47,11,7.91,20,14.39,3,2.16,21,15.11,9,6.47,15030
15,31,83,37,44.58,2,2.41,7,8.43,5,6.02,11,13.25,3,3.61,15,18.07,3,3.61,15031
15,32,127,41,32.28,11,8.66,25,19.69,9,7.09,16,12.6,0,0.0,22,17.32,3,2.36,15032
15,33,100,39,39.0,6,6.0,9,9.0,4,4.0,14,14.0,0,0.0,24,24.0,4,4.0,15033
15,34,79,27,34.18,2,2.53,9,11.39,11,13.92,8,10.13,3,3.8,13,16.46,6,7.59,15034
15,35,106,47,44.34,3,2.83,11,10.38,7,6.6,14,13.21,1,0.94,22,20.75,1,0.94,15035
15,36,101,36,35.64,5,4.95,11,10.89,16,15.84,11,10.89,1,0.99,18,17.82,3,2.97,15036
15,37,105,37,35.24,9,8.57,12,11.43,11,10.48,12,11.43,6,5.71,16,15.24,2,1.9,15037
15,38,111,43,38.74,4,3.6,16,14.41,7,6.31,6,5.41,3,2.7,23,20.72,9,8.11,15038
15,39,118,60,50.85,7,5.93,10,8.47,7,5.93,10,8.47,1,0.85,16,13.56,7,5.93,15039
15,40,115,41,35.65,3,2.61,13,11.3,8,6.96,15,13.04,1,0.87,30,26.09,4,3.48,15040
15,41,172,67,38.95,7,4.07,21,12.21,13,7.56,16,9.3,3,1.74,31,18.02,14,8.14,15041
15,42,74,30,40.54,4,5.41,7,9.46,5,6.76,8,10.81,2,2.7,15,20.27,3,4.05,15042
15,43,107,37,34.58,8,7.48,8,7.48,17,15.89,11,10.28,3,2.8,17,15.89,6,5.61,15043
15,44,135,46,34.07,9,6.67,30,22.22,7,5.19,15,11.11,6,4.44,19,14.07,3,2.22,15044
15,45,53,23,43.4,2,3.77,10,18.87,7,13.21,4,7.55,0,0.0,6,11.32,1,1.89,15045
15,46,113,42,37.17,7,6.19,13,11.5,10,8.85,17,15.04,5,4.42,13,11.5,6,5.31,15046
15,47,127,48,37.8,6,4.72,11,8.66,12,9.45,16,12.6,3,2.36,24,18.9,7,5.51,15047
15,48,96,36,37.5,3,3.13,9,9.38,8,8.33,10,10.42,1,1.04,21,21.88,8,8.33,15048
15,49,73,21,28.77,4,5.48,12,16.44,4,5.48,12,16.44,4,5.48,14,19.18,2,2.74,15049
15,50,111,41,36.94,5,4.5,10,9.01,4,3.6,18,16.22,6,5.41,20,18.02,7,6.31,15050
15,51,78,31,39.74,5,6.41,5,6.41,8,10.26,8,10.26,2,2.56,13,16.67,6,7.69,15051
15,52,73,28,38.36,7,9.59,7,9.59,7,9.59,9,12.33,1,1.37,12,16.44,2,2.74,15052
16,1,67,27,40.3,3,4.48,11,16.42,6,8.96,8,11.94,2,2.99,9,13.43,1,1.49,16001
16,2,92,37,40.22,4,4.35,10,10.87,8,8.7,11,11.96,1,1.09,16,17.39,5,5.43,16002
16,3,111,35,31.53,10,9.01,19,17.12,7,6.31,12,10.81,2,1.8,20,18.02,6,5.41,16003
16,4,104,34,32.69,5,4.81,24,23.08,6,5.77,10,9.62,3,2.88,21,20.19,1,0.96,16004
16,5,143,62,43.36,3,2.1,20,13.99,10,6.99,15,10.49,5,3.5,23,16.08,5,3.5,16005
16,6,40,18,45.0,1,2.5,8,20.0,4,10.0,1,2.5,1,2.5,6,15.0,1,2.5,16006
16,7,84,21,25.0,4,4.76,13,15.48,7,8.33,7,8.33,2,2.38,26,30.95,4,4.76,16007
16,8,96,37,38.54,4,4.17,16,16.67,8,8.33,9,9.38,3,3.13,15,15.63,4,4.17,16008
16,9,170,54,31.76,14,8.24,22,12.94,11,6.47,17,10.0,5,2.94,37,21.76,10,5.88,16009
16,10,93,30,32.26,10,10.75,9,9.68,7,7.53,11,11.83,1,1.08,21,22.58,4,4.3,16010
16,11,124,35,28.23,3,2.42,17,13.71,6,4.84,15,12.1,5,4.03,35,28.23,8,6.45,16011
16,12,85,31,36.47,5,5.88,11,12.94,7,8.24,8,9.41,1,1.18,20,23.53,2,2.35,16012
16,13,95,25,26.32,9,9.47,24,25.26,5,5.26,5,5.26,3,3.16,22,23.16,2,2.11,16013
16,14,137,34,24.82,9,6.57,34,24.82,9,6.57,13,9.49,2,1.46,28,20.44,8,5.84,16014
16,15,143,47,32.87,9,6.29,22,15.38,15,10.49,15,10.49,4,2.8,26,18.18,5,3.5,16015
16,16,101,33,32.67,10,9.9,13,12.87,8,7.92,13,12.87,1,0.99,19,18.81,4,3.96,16016
16,17,151,43,28.48,8,5.3,43,28.48,4,2.65,15,9.93,3,1.99,32,21.19,3,1.99,16017
16,18,101,41,40.59,7,6.93,14,13.86,4,3.96,9,8.91,4,3.96,17,16.83,5,4.95,16018
16,19,92,24,26.09,8,8.7,11,11.96,1,1.09,11,11.96,4,4.35,31,33.7,2,2.17,16019
16,20,143,44,30.77,14,9.79,19,13.29,14,9.79,17,11.89,2,1.4,23,16.08,10,6.99,16020
16,21,92,30,32.61,6,6.52,23,25.0,3,3.26,5,5.43,1,1.09,20,21.74,4,4.35,16021
16,22,110,35,31.82,2,1.82,19,17.27,10,9.09,11,10.0,3,2.73,25,22.73,5,4.55,16022
16,23,104,34,32.69,4,3.85,15,14.42,5,4.81,11,10.58,2,1.92,28,26.92,5,4.81,16023
16,24,54,15,27.78,5,9.26,10,18.52,5,9.26,4,7.41,0,0.0,13,24.07,2,3.7,16024
16,25,100,27,27.0,9,9.0,23,23.0,11,11.0,8,8.0,2,2.0,16,16.0,4,4.0,16025
16,26,125,47,37.6,9,7.2,14,11.2,11,8.8,14,11.2,2,1.6,25,20.0,3,2.4,16026
16,27,126,44,34.92,7,5.56,15,11.9,13,10.32,16,12.7,1,0.79,23,18.25,7,5.56,16027
16,28,146,59,40.41,5,3.42,19,13.01,12,8.22,16,10.96,1,0.68,28,19.18,6,4.11,16028
16,29,62,21,33.87,4,6.45,9,14.52,4,6.45,4,6.45,0,0.0,17,27.42,3,4.84,16029
16,30,73,24,32.88,4,5.48,6,8.22,10,13.7,11,15.07,1,1.37,14,19.18,3,4.11,16030
16,31,133,44,33.08,2,1.5,16,12.03,14,10.53,22,16.54,1,0.75,31,23.31,3,2.26,16031
16,32,95,27,28.42,7,7.37,25,26.32,3,3.16,7,7.37,4,4.21,18,18.95,4,4.21,16032
16,33,99,27,27.27,8,8.08,15,15.15,13,13.13,8,8.08,0,0.0,23,23.23,5,5.05,16033
16,34,120,33,27.5,15,12.5,23,19.17,9,7.5,10,8.33,2,1.67,18,15.0,10,8.33,16034
16,35,97,25,25.77,3,3.09,29,29.9,4,4.12,12,12.37,3,3.09,17,17.53,4,4.12,16035
16,36,110,34,30.91,9,8.18,14,12.73,10,9.09,9,8.18,5,4.55,25,22.73,4,3.64,16036
16,37,87,27,31.03,8,9.2,17,19.54,6,6.9,9,10.34,4,4.6,11,12.64,5,5.75,16037
16,38,128,41,32.03,8,6.25,19,14.84,12,9.38,12,9.38,3,2.34,26,20.31,7,5.47,16038
16,39,47,12,25.53,6,12.77,14,29.79,0,0.0,6,12.77,0,0.0,7,14.89,2,4.26,16039
16,40,150,56,37.33,12,8.0,23,15.33,11,7.33,12,8.0,2,1.33,26,17.33,8,5.33,16040
16,41,51,15,29.41,1,1.96,3,5.88,8,15.69,8,15.69,1,1.96,10,19.61,5,9.8,16041
16,42,59,17,28.81,2,3.39,22,37.29,3,5.08,3,5.08,0,0.0,10,16.95,2,3.39,16042
16,43,126,49,38.89,7,5.56,18,14.29,16,12.7,13,10.32,5,3.97,14,11.11,4,3.17,16043
16,44,113,28,24.78,10,8.85,11,9.73,10,8.85,18,15.93,5,4.42,24,21.24,7,6.19,16044
16,45,78,29,37.18,5,6.41,11,14.1,5,6.41,9,11.54,0,0.0,13,16.67,6,7.69,16045
16,46,31,8,25.81,1,3.23,1,3.23,4,12.9,7,22.58,1,3.23,8,25.81,1,3.23,16046
16,47,47,17,36.17,1,2.13,8,17.02,1,2.13,7,14.89,0,0.0,10,21.28,3,6.38,16047
17,1,102,47,46.08,7,6.86,6,5.88,5,4.9,11,10.78,2,1.96,20,19.61,4,3.92,17001
17,2,126,58,46.03,4,3.17,13,10.32,7,5.56,14,11.11,2,1.59,25,19.84,3,2.38,17002
17,3,101,36,35.64,1,0.99,10,9.9,13,12.87,12,11.88,2,1.98,22,21.78,5,4.95,17003
17,4,212,81,38.21,11,5.19,25,11.79,22,10.38,21,9.91,1,0.47,41,19.34,10,4.72,17004
17,5,133,45,33.83,11,8.27,9,6.77,14,10.53,18,13.53,3,2.26,27,20.3,6,4.51,17005
17,6,110,51,46.36,7,6.36,12,10.91,6,5.45,7,6.36,3,2.73,22,20.0,2,1.82,17006
17,7,178,63,35.39,8,4.49,22,12.36,14,7.87,18,10.11,2,1.12,43,24.16,8,4.49,17007
17,8,102,33,32.35,9,8.82,17,16.67,6,5.88,14,13.73,3,2.94,15,14.71,5,4.9,17008
17,9,95,35,36.84,4,4.21,8,8.42,12,12.63,8,8.42,0,0.0,25,26.32,3,3.16,17009
17,10,138,54,39.13,8,5.8,18,13.04,6,4.35,12,8.7,2,1.45,32,23.19,6,4.35,17010
17,11,168,61,36.31,9,5.36,20,11.9,18,10.71,25,14.88,1,0.6,27,16.07,7,4.17,17011
17,12,184,59,32.07,7,3.8,25,13.59,15,8.15,28,15.22,3,1.63,39,21.2,8,4.35,17012
17,13,104,36,34.62,5,4.81,10,9.62,9,8.65,17,16.35,0,0.0,23,22.12,4,3.85,17013
17,14,122,41,33.61,10,8.2,19,15.57,9,7.38,5,4.1,4,3.28,28,22.95,6,4.92,17014
17,15,98,36,36.73,6,6.12,6,6.12,10,10.2,10,10.2,4,4.08,18,18.37,8,8.16,17015
17,16,128,57,44.53,4,3.13,13,10.16,5,3.91,15,11.72,2,1.56,25,19.53,7,5.47,17016
17,17,91,30,32.97,9,9.89,14,15.38,5,5.49,11,12.09,0,0.0,17,18.68,5,5.49,17017
17,18,137,52,37.96,11,8.03,26,18.98,15,10.95,9,6.57,4,2.92,15,10.95,5,3.65,17018
17,19,56,21,37.5,4,7.14,3,5.36,3,5.36,6,10.71,0,0.0,16,28.57,3,5.36,17019
17,20,151,53,35.1,10,6.62,20,13.25,16,10.6,12,7.95,2,1.32,30,19.87,8,5.3,17020
17,21,221,87,39.37,7,3.17,17,7.69,21,9.5,22,9.95,6,2.71,54,24.43,7,3.17,17021
17,22,143,59,41.26,11,7.69,11,7.69,16,11.19,11,7.69,3,2.1,26,18.18,6,4.2,17022
17,23,115,46,40.0,12,10.43,10,8.7,10,8.7,8,6.96,1,0.87,19,16.52,9,7.83,17023
17,24,132,49,37.12,7,5.3,11,8.33,12,9.09,22,16.67,1,0.76,26,19.7,4,3.03,17024
17,25,86,34,39.53,6,6.98,9,10.47,3,3.49,6,6.98,2,2.33,21,24.42,5,5.81,17025
17,26,171,61,35.67,9,5.26,14,8.19,11,6.43,23,13.45,4,2.34,37,21.64,12,7.02,17026
17,27,195,83,42.56,11,5.64,14,7.18,22,11.28,24,12.31,3,1.54,33,16.92,5,2.56,17027
17,28,118,42,35.59,4,3.39,17,14.41,15,12.71,5,4.24,3,2.54,24,20.34,8,6.78,17028
17,29,158,58,36.71,10,6.33,18,11.39,7,4.43,37,23.42,1,0.63,17,10.76,10,6.33,17029
17,30,162,51,31.48,9,5.56,24,14.81,21,12.96,22,13.58,2,1.23,26,16.05,7,4.32,17030
17,31,145,49,33.79,6,4.14,22,15.17,13,8.97,12,8.28,2,1.38,32,22.07,9,6.21,17031
17,32,139,64,46.04,4,2.88,13,9.35,11,7.91,15,10.79,5,3.6,21,15.11,6,4.32,17032
17,33,112,37,33.04,10,8.93,13,11.61,11,9.82,14,12.5,4,3.57,19,16.96,4,3.57,17033
17,34,128,54,42.19,5,3.91,11,8.59,11,8.59,14,10.94,4,3.13,23,17.97,6,4.69,17034
17,35,93,31,33.33,6,6.45,8,8.6,14,15.05,7,7.53,0,0.0,21,22.58,6,6.45,17035
17,36,77,32,41.56,7,9.09,1,1.3,11,14.29,9,11.69,1,1.3,12,15.58,4,5.19,17036
17,37,113,52,46.02,6,5.31,11,9.73,4,3.54,12,10.62,3,2.65,20,17.7,5,4.42,17037
17,38,139,48,34.53,3,2.16,15,10.79,17,12.23,20,14.39,5,3.6,24,17.27,7,5.04,17038
17,39,102,36,35.29,7,6.86,4,3.92,13,12.75,11,10.78,7,6.86,17,16.67,7,6.86,17039
17,40,111,38,34.23,6,5.41,8,7.21,12,10.81,11,9.91,6,5.41,20,18.02,10,9.01,17040
17,41,132,46,34.85,7,5.3,9,6.82,14,10.61,18,13.64,4,3.03,26,19.7,8,6.06,17041
17,42,117,45,38.46,3,2.56,10,8.55,8,6.84,8,6.84,1,0.85,33,28.21,9,7.69,17042
17,43,135,55,40.74,8,5.93,11,8.15,9,6.67,19,14.07,2,1.48,28,20.74,3,2.22,17043
17,44,127,46,36.22,7,5.51,14,11.02,4,3.15,15,11.81,1,0.79,34,26.77,6,4.72,17044
17,45,90,40,44.44,3,3.33,6,6.67,11,12.22,10,11.11,2,2.22,17,18.89,1,1.11,17045
17,46,154,53,34.42,9,5.84,9,5.84,14,9.09,19,12.34,7,4.55,33,21.43,10,6.49,17046
17,47,80,26,32.5,6,7.5,11,13.75,7,8.75,11,13.75,0,0.0,12,15.0,7,8.75,17047
17,48,140,51,36.43,8,5.71,14,10.0,13,9.29,18,12.86,2,1.43,26,18.57,8,5.71,17048
17,49,99,37,37.37,9,9.09,9,9.09,12,12.12,8,8.08,0,0.0,22,22.22,2,2.02,17049
17,50,129,46,35.66,8,6.2,17,13.18,15,11.63,8,6.2,5,3.88,20,15.5,10,7.75,17050
17,51,155,56,36.13,9,5.81,15,9.68,13,8.39,26,16.77,1,0.65,29,18.71,6,3.87,17051
17,52,190,68,35.79,4,2.11,18,9.47,17,8.95,27,14.21,3,1.58,44,23.16,9,4.74,17052
17,53,143,46,32.17,11,7.69,20,13.99,16,11.19,21,14.69,2,1.4,26,18.18,1,0.7,17053
17,54,163,52,31.9,11,6.75,22,13.5,9,5.52,24,14.72,3,1.84,36,22.09,6,3.68,17054
17,55,108,42,38.89,8,7.41,10,9.26,10,9.26,11,10.19,1,0.93,23,21.3,3,2.78,17055
