ward,precinct,total,"Margaret J. """"Peggy"""" Bell (Kucinich)","Margaret J. """"Peggy"""" Bell (Kucinich) Percent",James C. Sorrels (Kucinich),James C. Sorrels (Kucinich) Percent,Mary Ellen McDonagh (Kucinich),Mary Ellen McDonagh (Kucinich) Percent,Jason F. Keppe (Kucinich),Jason F. Keppe (Kucinich) Percent,"Jacqueline """"Jackie"""" McKay (Kucinich)","Jacqueline """"Jackie"""" McKay (Kucinich) Percent",Daniel Birkhahn-Rommelfanger (Kucin),Daniel Birkhahn-Rommelfanger (Kucin) Percent,Joseph Berrios (Dean),Joseph Berrios (Dean) Percent,Sara Feigenholtz (Dean),Sara Feigenholtz (Dean) Percent,Gene Schulter (Dean),Gene Schulter (Dean) Percent,Pamela Cullerton (Dean),Pamela Cullerton (Dean) Percent,Frances Sarra Johns (Dean),Frances Sarra Johns (Dean) Percent,"Ronald R. Bettag (LaRouche, Jr.)","Ronald R. Bettag (LaRouche, Jr.) Percent","Judith A. Clark (LaRouche, Jr.)","Judith A. Clark (LaRouche, Jr.) Percent","Donald S. Clark (LaRouche, Jr.)","Donald S. Clark (LaRouche, Jr.) Percent","Mindy R. Pechenuk (LaRouche, Jr.)","Mindy R. Pechenuk (LaRouche, Jr.) Percent","Gerald Pechenuk (LaRouche, Jr.)","Gerald Pechenuk (LaRouche, Jr.) Percent","Allison Merriam (LaRouche, Jr.)","Allison Merriam (LaRouche, Jr.) Percent","Gary Genazzio (LaRouche, Jr.)","Gary Genazzio (LaRouche, Jr.) Percent",Ann Williams (Gephardt),Ann Williams (Gephardt) Percent,William B. Kaplan (Gephardt),William B. Kaplan (Gephardt) Percent,Teree E. Foster (Gephardt),Teree E. Foster (Gephardt) Percent,Barrett Pedersen (Edwards),Barrett Pedersen (Edwards) Percent,Judith Gold (Edwards),Judith Gold (Edwards) Percent,Michael Bauer (Edwards),Michael Bauer (Edwards) Percent,Cynthia Ramirez (Edwards),Cynthia Ramirez (Edwards) Percent,"Rudyard """"Rudy"""" E. Urian (Edwards)","Rudyard """"Rudy"""" E. Urian (Edwards) Percent",Margaret Mell (Edwards),Margaret Mell (Edwards) Percent,Margaret Laurino (Clark),Margaret Laurino (Clark) Percent,John L. Borovicka (Clark),John L. Borovicka (Clark) Percent,Marilyn Katz (Clark),Marilyn Katz (Clark) Percent,Charles R. Bernardini (Clark),Charles R. Bernardini (Clark) Percent,Gail Morse (Clark),Gail Morse (Clark) Percent,John A. Fritchey (Clark),John A. Fritchey (Clark) Percent,Daisy Cintron (Kerry),Daisy Cintron (Kerry) Percent,Mike Quigley (Kerry),Mike Quigley (Kerry) Percent,Degee Wilhelm (Kerry),Degee Wilhelm (Kerry) Percent,William S Singer (Kerry),William S Singer (Kerry) Percent,Cynthia Rosario (Kerry),Cynthia Rosario (Kerry) Percent,M. Blair Hull (Braun),M. Blair Hull (Braun) Percent,Mary Bennett (Braun),Mary Bennett (Braun) Percent,Nancy Skinner (Braun),Nancy Skinner (Braun) Percent,Brian O'Connor (Braun),Brian O'Connor (Braun) Percent,precinct_id
31,26,126,4,3.17,5,3.97,3,2.38,3,2.38,2,1.59,1,0.79,8,6.35,3,2.38,2,1.59,7,5.56,1,0.79,0,0.0,0,0.0,2,1.59,0,0.0,0,0.0,0,0.0,0,0.0,2,1.59,0,0.0,1,0.79,0,0.0,1,0.79,1,0.79,3,2.38,0,0.0,0,0.0,2,1.59,4,3.17,5,3.97,3,2.38,2,1.59,3,2.38,8,6.35,10,7.94,6,4.76,7,5.56,13,10.32,2,1.59,0,0.0,0,0.0,0,0.0,31026
31,28,243,8,3.43,5,2.15,4,1.72,7,3.0,6,2.58,3,1.29,29,12.45,9,3.86,10,0.0,13,5.58,8,3.43,1,0.43,3,1.29,1,0.43,3,1.29,1,0.43,4,1.72,2,0.86,2,0.86,1,0.43,1,0.43,3,1.29,3,1.29,2,0.86,9,3.86,2,0.86,2,0.86,3,1.29,0,0.0,3,1.29,1,0.43,4,1.72,0,0.0,14,6.01,11,4.72,10,4.29,10,4.29,18,7.73,6,2.58,1,0.43,1,0.43,3,1.29,31028
31,29,193,2,1.04,3,1.55,2,1.04,2,1.04,3,1.55,5,2.59,18,9.33,7,3.63,3,1.55,6,3.11,5,2.59,1,0.52,1,0.52,1,0.52,1,0.52,0,0.0,1,0.52,0,0.0,0,0.0,1,0.52,0,0.0,1,0.52,1,0.52,3,1.55,11,5.7,1,0.52,2,1.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,18,9.33,14,7.25,15,7.77,15,7.77,22,11.4,5,2.59,1,0.52,0,0.0,2,1.04,31029
31,32,258,5,1.94,0,0.0,5,1.94,1,0.39,3,1.16,0,0.0,34,13.18,5,1.94,4,1.55,8,3.1,5,1.94,0,0.0,5,1.94,2,0.78,1,0.39,1,0.39,2,0.78,2,0.78,2,0.78,3,1.16,2,0.78,1,0.39,0,0.0,1,0.39,16,6.2,4,1.55,3,1.16,6,2.33,1,0.39,1,0.39,1,0.39,4,1.55,4,1.55,20,7.75,14,5.43,11,4.26,15,5.81,29,11.24,7,2.71,2,0.78,3,1.16,7,2.71,31032
31,33,277,9,3.25,3,1.08,2,0.72,2,0.72,7,2.53,1,0.36,25,9.03,6,2.17,8,2.89,7,2.53,5,1.81,1,0.36,3,1.08,1,0.36,5,1.81,1,0.36,0,0.0,3,1.08,2,0.72,2,0.72,3,1.08,1,0.36,3,1.08,2,0.72,16,5.78,4,1.44,2,0.72,3,1.08,0,0.0,1,0.36,2,0.72,2,0.72,4,1.44,21,7.58,18,6.5,16,5.78,17,6.14,28,10.11,7,2.53,2,0.72,3,1.08,4,1.44,31033
31,35,80,2,2.5,1,1.25,3,3.75,0,0.0,0,0.0,0,0.0,11,13.75,0,0.0,1,1.25,0,0.0,0,0.0,1,1.25,1,1.25,2,2.5,0,0.0,1,1.25,0,0.0,0,0.0,1,1.25,3,3.75,0,0.0,2,2.5,0,0.0,1,1.25,7,8.75,0,0.0,0,0.0,0,0.0,0,0.0,2,2.5,1,1.25,0,0.0,0,0.0,7,8.75,4,5.0,4,5.0,4,5.0,6,7.5,6,7.5,0,0.0,1,1.25,1,1.25,31035
31,38,167,3,1.8,3,1.8,2,1.2,2,1.2,4,2.4,3,1.8,13,7.78,2,1.2,2,1.2,3,1.8,3,1.8,0,0.0,3,1.8,1,0.6,1,0.6,0,0.0,2,1.2,0,0.0,2,1.2,0,0.0,1,0.6,1,0.6,3,1.8,3,1.8,5,2.99,0,0.0,2,1.2,3,1.8,0,0.0,0,0.0,2,1.2,0,0.0,0,0.0,14,8.38,15,8.98,14,8.38,15,8.98,17,10.18,2,1.2,0,0.0,1,0.6,1,0.6,31038
31,41,250,8,3.2,3,1.2,4,1.6,3,1.2,5,2.0,3,1.2,19,7.6,3,1.2,4,1.6,3,1.2,1,0.4,0,0.0,3,1.2,1,0.4,3,1.2,1,0.4,0,0.0,1,0.4,2,0.8,1,0.4,1,0.4,4,1.6,3,1.2,3,1.2,12,4.8,5,2.0,1,0.4,2,0.8,1,0.4,1,0.4,0,0.0,3,1.2,2,0.8,24,9.6,20,8.0,18,7.2,21,8.4,28,11.2,5,2.0,2,0.8,1,0.4,2,0.8,31041
31,43,231,10,4.33,5,2.16,5,2.16,3,1.3,5,2.16,3,1.3,18,7.79,5,2.16,4,1.73,9,3.9,1,0.43,4,1.73,2,0.87,4,1.73,3,1.3,2,0.87,2,0.87,1,0.43,1,0.43,3,1.3,0,0.0,2,0.87,2,0.87,1,0.43,8,3.46,1,0.43,3,1.3,1,0.43,2,0.87,1,0.43,0,0.0,0,0.0,1,0.43,17,7.36,18,7.79,15,6.49,17,7.36,24,10.39,5,2.16,0,0.0,0,0.0,2,0.87,31043
31,45,145,7,4.83,4,2.76,6,4.14,3,2.07,4,2.76,4,2.76,18,12.41,5,3.45,4,2.76,6,4.14,5,3.45,3,2.07,1,0.69,3,2.07,0,0.0,0,0.0,0,0.0,0,0.0,2,1.38,1,0.69,1,0.69,0,0.0,2,1.38,1,0.69,5,3.45,2,1.38,2,1.38,3,2.07,1,0.69,2,1.38,1,0.69,2,1.38,2,1.38,6,4.14,5,3.45,4,2.76,8,5.52,6,4.14,2,1.38,0,0.0,1,0.69,0,0.0,31045
31,46,203,7,3.45,2,0.99,5,2.46,1,0.49,3,1.48,2,0.99,23,11.33,7,3.45,6,2.96,8,3.94,4,1.97,2,0.99,4,1.97,2,0.99,0,0.0,0,0.0,2,0.99,0,0.0,4,1.97,1,0.49,2,0.99,3,1.48,3,1.48,2,0.99,10,4.93,0,0.0,0,0.0,2,0.99,1,0.49,2,0.99,2,0.99,2,0.99,0,0.0,12,5.91,10,4.93,11,5.42,10,4.93,21,10.34,4,1.97,0,0.0,4,1.97,2,0.99,31046
31,47,534,14,2.62,7,1.31,3,0.56,5,0.94,10,1.87,1,0.19,43,8.05,10,1.87,11,2.06,15,2.81,7,1.31,2,0.37,3,0.56,3,0.56,3,0.56,2,0.37,4,0.75,3,0.56,5,0.94,6,1.12,3,0.56,3,0.56,6,1.12,12,2.25,29,5.43,3,0.56,6,1.12,9,1.69,4,0.75,7,1.31,3,0.56,3,0.56,4,0.75,46,8.61,36,6.74,33,6.18,34,6.37,66,12.36,7,1.31,5,0.94,5,0.94,7,1.31,31047
31,48,192,3,1.56,3,1.56,3,1.56,0,0.0,6,3.13,0,0.0,13,6.77,1,0.52,3,1.56,5,2.6,3,1.56,2,1.04,2,1.04,3,1.56,4,2.08,2,1.04,1,0.52,1,0.52,1,0.52,2,1.04,2,1.04,1,0.52,0,0.0,1,0.52,6,3.13,0,0.0,0,0.0,1,0.52,3,1.56,1,0.52,3,1.56,2,1.04,3,1.56,17,8.85,18,9.38,13,6.77,16,8.33,20,10.42,1,0.52,2,1.04,1,0.52,3,1.56,31048
31,50,275,7,2.55,4,1.45,6,2.18,3,1.09,4,1.45,5,1.82,30,10.91,3,1.09,4,1.45,3,1.09,2,0.73,1,0.36,2,0.73,1,0.36,2,0.73,1,0.36,1,0.36,1,0.36,2,0.73,0,0.0,1,0.36,1,0.36,2,0.73,3,1.09,16,5.82,1,0.36,3,1.09,4,1.45,1,0.36,2,0.73,4,1.45,1,0.36,1,0.36,27,9.82,21,7.64,19,6.91,21,7.64,31,11.27,5,1.82,1,0.36,4,1.45,2,0.73,31050
31,61,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,31061
32,7,364,5,1.37,5,1.37,4,1.1,3,0.82,3,0.82,4,1.1,9,2.47,18,4.95,11,3.02,12,3.3,7,1.92,1,0.27,2,0.55,4,1.1,2,0.55,2,0.55,2,0.55,2,0.55,0,0.0,2,0.55,0,0.0,8,2.2,11,3.02,12,3.3,10,2.75,8,2.2,11,3.02,3,0.82,3,0.82,2,0.55,3,0.82,3,0.82,9,2.47,30,8.24,32,8.79,29,7.97,26,7.14,28,7.69,2,0.55,0,0.0,1,0.27,2,0.55,32007
32,8,715,19,2.66,15,2.1,17,2.38,12,1.68,14,1.96,12,1.68,14,1.96,22,3.08,14,1.96,11,1.54,10,1.4,1,0.14,1,0.14,1,0.14,0,0.0,0,0.0,1,0.14,0,0.0,1,0.14,1,0.14,0,0.0,16,2.24,19,2.66,18,2.52,17,2.38,16,2.24,14,1.96,0,0.0,0,0.0,3,0.42,0,0.0,0,0.0,3,0.42,69,9.65,73,10.21,68,9.51,75,10.49,68,9.51,2,0.28,0,0.0,4,0.56,1,0.14,32008
32,9,986,33,3.35,19,1.93,21,2.13,14,1.42,23,2.33,18,1.83,16,1.62,34,3.45,24,2.43,14,1.42,13,1.32,2,0.2,6,0.61,2,0.2,0,0.0,0,0.0,4,0.41,0,0.0,1,0.1,4,0.41,2,0.2,12,1.22,17,1.72,18,1.83,15,1.52,9,0.91,11,1.12,3,0.3,4,0.41,11,1.12,7,0.71,7,0.71,14,1.42,95,9.63,106,10.75,92,9.33,94,9.53,95,9.63,5,0.51,1,0.1,4,0.41,6,0.61,32009
32,10,478,10,2.09,9,1.88,10,2.09,8,1.67,10,2.09,7,1.46,8,1.67,14,2.93,9,1.88,8,1.67,7,1.46,0,0.0,0,0.0,0,0.0,0,0.0,1,0.21,0,0.0,0,0.0,1,0.21,2,0.42,0,0.0,4,0.84,6,1.26,5,1.05,3,0.63,2,0.42,3,0.63,2,0.42,2,0.42,3,0.63,3,0.63,1,0.21,8,1.67,51,10.67,56,11.72,52,10.88,54,11.3,50,10.46,3,0.63,1,0.21,4,0.84,2,0.42,32010
32,13,293,5,1.71,2,0.68,3,1.02,2,0.68,8,2.73,4,1.37,6,2.05,11,3.75,5,1.71,7,2.39,4,1.37,1,0.34,1,0.34,3,1.02,2,0.68,2,0.68,1,0.34,3,1.02,0,0.0,0,0.0,0,0.0,2,0.68,7,2.39,7,2.39,6,2.05,3,1.02,3,1.02,2,0.68,1,0.34,4,1.37,2,0.68,2,0.68,3,1.02,31,10.58,28,9.56,27,9.22,28,9.56,27,9.22,1,0.34,2,0.68,3,1.02,2,0.68,32013
32,15,569,23,4.04,18,3.16,21,3.69,17,2.99,17,2.99,16,2.81,21,3.69,17,2.99,19,3.34,14,2.46,8,1.41,1,0.18,1,0.18,1,0.18,1,0.18,1,0.18,2,0.35,1,0.18,0,0.0,1,0.18,0,0.0,6,1.05,10,1.76,11,1.93,11,1.93,6,1.05,5,0.88,4,0.7,0,0.0,3,0.53,1,0.18,3,0.53,13,2.28,42,7.38,51,8.96,46,8.08,46,8.08,50,8.79,4,0.7,0,0.0,3,0.53,2,0.35,32015
32,18,442,11,2.49,9,2.04,10,2.26,7,1.58,9,2.04,6,1.36,13,2.94,19,4.3,13,2.94,9,2.04,9,2.04,2,0.45,4,0.9,1,0.23,1,0.23,1,0.23,1,0.23,0,0.0,1,0.23,0,0.0,0,0.0,5,1.13,4,0.9,8,1.81,5,1.13,5,1.13,4,0.9,2,0.45,1,0.23,5,1.13,3,0.68,1,0.23,5,1.13,41,9.28,44,9.95,39,8.82,43,9.73,44,9.95,1,0.23,0,0.0,2,0.45,0,0.0,32018
32,19,683,25,3.66,13,1.9,18,2.64,13,1.9,13,1.9,9,1.32,24,3.51,17,2.49,21,3.07,15,2.2,9,1.32,3,0.44,5,0.73,2,0.29,1,0.15,0,0.0,3,0.44,4,0.59,6,0.88,0,0.0,2,0.29,4,0.59,7,1.02,8,1.17,19,2.78,5,0.73,8,1.17,8,1.17,9,1.32,7,1.02,4,0.59,7,1.02,11,1.61,63,9.22,61,8.93,54,7.91,52,7.61,66,9.66,12,1.76,4,0.59,9,1.32,6,0.88,32019
32,20,582,7,1.2,6,1.03,10,1.72,4,0.69,5,0.86,3,0.52,11,1.89,17,2.92,11,1.89,9,1.55,7,1.2,2,0.34,6,1.03,3,0.52,4,0.69,2,0.34,3,0.52,3,0.52,6,1.03,2,0.34,2,0.34,11,1.89,14,2.41,12,2.06,18,3.09,13,2.23,12,2.06,4,0.69,1,0.17,6,1.03,2,0.34,5,0.86,13,2.23,52,8.93,53,9.11,51,8.76,53,9.11,62,10.65,8,1.37,4,0.69,4,0.69,0,0.0,32020
32,21,499,14,2.81,8,1.6,12,2.4,7,1.4,7,1.4,6,1.2,13,2.61,20,4.01,23,4.61,10,2.0,7,1.4,1,0.2,3,0.6,2,0.4,1,0.2,2,0.4,3,0.6,0,0.0,3,0.6,1,0.2,2,0.4,6,1.2,8,1.6,6,1.2,9,1.8,7,1.4,9,1.8,8,1.6,4,0.8,5,1.0,6,1.2,4,0.8,9,1.8,40,8.02,50,10.02,42,8.42,41,8.22,42,8.42,6,1.2,3,0.6,2,0.4,0,0.0,32021
32,22,953,27,2.83,9,0.94,20,2.1,7,0.73,19,1.99,10,1.05,27,2.83,37,3.88,31,3.25,25,2.62,15,1.57,1,0.1,10,1.05,5,0.52,0,0.0,1,0.1,5,0.52,1,0.1,5,0.52,4,0.42,0,0.0,6,0.63,11,1.15,16,1.68,21,2.2,5,0.52,14,1.47,9,0.94,9,0.94,8,0.84,5,0.52,7,0.73,22,2.31,89,9.34,87,9.13,77,8.08,85,8.92,97,10.18,16,1.68,2,0.21,6,0.63,5,0.52,32022
32,23,688,14,2.03,7,1.02,10,1.45,5,0.73,6,0.87,7,1.02,14,2.03,41,5.96,21,3.05,19,2.76,12,1.74,2,0.29,2,0.29,4,0.58,0,0.0,2,0.29,1,0.15,1,0.15,5,0.73,5,0.73,1,0.15,9,1.31,12,1.74,9,1.31,7,1.02,2,0.29,6,0.87,5,0.73,5,0.73,9,1.31,5,0.73,5,0.73,15,2.18,62,9.01,72,10.47,58,8.43,69,10.03,64,9.3,7,1.02,2,0.29,4,0.58,3,0.44,32023
32,24,438,10,2.28,9,2.05,9,2.05,6,1.37,7,1.6,5,1.14,17,3.88,12,2.74,12,2.74,9,2.05,6,1.37,2,0.46,2,0.46,2,0.46,0,0.0,0,0.0,0,0.0,1,0.23,2,0.46,1,0.23,1,0.23,8,1.83,12,2.74,10,2.28,13,2.97,6,1.37,11,2.51,2,0.46,1,0.23,4,0.91,2,0.46,1,0.23,7,1.6,35,7.99,40,9.13,38,8.68,36,8.22,44,10.05,4,0.91,2,0.46,1,0.23,2,0.46,32024
32,25,467,16,3.43,11,2.36,16,3.43,10,2.14,13,2.78,10,2.14,11,2.36,14,3.0,16,3.43,9,1.93,7,1.5,1,0.21,2,0.43,0,0.0,0,0.0,0,0.0,1,0.21,0,0.0,0,0.0,2,0.43,0,0.0,7,1.5,8,1.71,9,1.93,6,1.28,4,0.86,5,1.07,5,1.07,3,0.64,5,1.07,4,0.86,3,0.64,8,1.71,41,8.78,43,9.21,39,8.35,44,9.42,44,9.42,2,0.43,1,0.21,0,0.0,1,0.21,32025
32,27,484,13,2.69,3,0.62,9,1.86,2,0.41,6,1.24,1,0.21,15,3.1,19,3.93,13,2.69,19,3.93,13,2.69,2,0.41,3,0.62,3,0.62,2,0.41,1,0.21,0,0.0,0,0.0,0,0.0,1,0.21,0,0.0,3,0.62,8,1.65,4,0.83,5,1.03,2,0.41,4,0.83,1,0.21,1,0.21,1,0.21,1,0.21,0,0.0,12,2.48,51,10.54,53,10.95,47,9.71,52,10.74,49,10.12,1,0.21,0,0.0,4,0.83,0,0.0,32027
32,30,353,6,1.7,5,1.42,5,1.42,5,1.42,6,1.7,4,1.13,2,0.57,6,1.7,5,1.42,3,0.85,2,0.57,1,0.28,2,0.57,1,0.28,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,1.42,3,0.85,5,1.42,6,1.7,4,1.13,6,1.7,2,0.57,1,0.28,1,0.28,0,0.0,2,0.57,3,0.85,42,11.9,45,12.75,43,12.18,41,11.61,41,11.61,3,0.85,0,0.0,3,0.85,0,0.0,32030
32,32,572,9,1.57,5,0.87,9,1.57,3,0.52,5,0.87,3,0.52,5,0.87,16,2.8,10,1.75,10,1.75,5,0.87,0,0.0,2,0.35,1,0.17,0,0.0,0,0.0,0,0.0,0,0.0,3,0.52,4,0.7,2,0.35,9,1.57,14,2.45,10,1.75,9,1.57,8,1.4,8,1.4,7,1.22,4,0.7,5,0.87,5,0.87,7,1.22,10,1.75,60,10.49,66,11.54,65,11.36,64,11.19,61,10.66,0,0.0,0,0.0,0,0.0,1,0.17,32032
32,37,544,11,2.02,9,1.65,13,2.39,7,1.29,9,1.65,10,1.84,16,2.94,6,1.1,3,0.55,6,1.1,3,0.55,0,0.0,0,0.0,2,0.37,1,0.18,2,0.37,3,0.55,0,0.0,2,0.37,6,1.1,1,0.18,3,0.55,3,0.55,2,0.37,7,1.29,2,0.37,4,0.74,0,0.0,3,0.55,2,0.37,3,0.55,6,1.1,11,2.02,63,11.58,62,11.4,58,10.66,61,11.21,62,11.4,7,1.29,4,0.74,0,0.0,4,0.74,32037
32,38,528,12,2.27,9,1.7,12,2.27,8,1.52,10,1.89,7,1.33,9,1.7,11,2.08,14,2.65,8,1.52,6,1.14,0,0.0,2,0.38,1,0.19,0,0.0,0,0.0,0,0.0,0,0.0,1,0.19,0,0.0,1,0.19,11,2.08,12,2.27,12,2.27,15,2.84,12,2.27,12,2.27,1,0.19,0,0.0,2,0.38,1,0.19,1,0.19,6,1.14,57,10.8,53,10.04,51,9.66,51,9.66,56,10.61,3,0.57,1,0.19,3,0.57,3,0.57,32038
32,39,685,13,1.9,6,0.88,13,1.9,7,1.02,8,1.17,6,0.88,9,1.31,24,3.5,14,2.04,16,2.34,10,1.46,0,0.0,4,0.58,0,0.0,1,0.15,0,0.0,0,0.0,1,0.15,3,0.44,3,0.44,2,0.29,6,0.88,7,1.02,9,1.31,5,0.73,3,0.44,5,0.73,3,0.44,2,0.29,4,0.58,6,0.88,2,0.29,8,1.17,76,11.09,84,12.26,75,10.95,81,11.82,71,10.36,4,0.58,1,0.15,4,0.58,1,0.15,32039
32,40,702,19,2.71,12,1.71,19,2.71,10,1.42,14,1.99,10,1.42,15,2.14,23,3.28,14,1.99,12,1.71,9,1.28,1,0.14,3,0.43,1,0.14,0,0.0,2,0.28,0,0.0,2,0.28,0,0.0,2,0.28,2,0.28,6,0.85,10,1.42,10,1.42,11,1.57,5,0.71,7,1.0,8,1.14,4,0.57,9,1.28,6,0.85,4,0.57,11,1.57,67,9.54,74,10.54,65,9.26,67,9.54,69,9.83,8,1.14,1,0.14,4,0.57,3,0.43,32040
32,41,802,23,2.87,14,1.75,22,2.74,14,1.75,19,2.37,20,2.49,14,1.75,24,2.99,18,2.24,20,2.49,13,1.62,2,0.25,3,0.37,2,0.25,1,0.12,1,0.12,2,0.25,0,0.0,5,0.62,4,0.5,2,0.25,8,1.0,9,1.12,9,1.12,17,2.12,4,0.5,8,1.0,6,0.75,2,0.25,6,0.75,1,0.12,4,0.5,11,1.37,78,9.73,78,9.73,72,8.98,74,9.23,86,10.72,6,0.75,5,0.62,6,0.75,5,0.62,32041
32,42,741,19,2.56,12,1.62,18,2.43,14,1.89,17,2.29,15,2.02,25,3.37,20,2.7,20,2.7,13,1.75,11,1.48,2,0.27,5,0.67,1,0.13,2,0.27,1,0.13,3,0.4,2,0.27,1,0.13,2,0.27,2,0.27,8,1.08,14,1.89,11,1.48,15,2.02,5,0.67,5,0.67,8,1.08,4,0.54,8,1.08,6,0.81,8,1.08,14,1.89,70,9.45,66,8.91,62,8.37,64,8.64,74,9.99,8,1.08,4,0.54,7,0.94,5,0.67,32042
32,43,614,8,1.3,5,0.81,8,1.3,4,0.65,9,1.47,6,0.98,12,1.95,19,3.09,12,1.95,13,2.12,5,0.81,1,0.16,1,0.16,1,0.16,0,0.0,0,0.0,0,0.0,0,0.0,1,0.16,1,0.16,4,0.65,3,0.49,8,1.3,9,1.47,6,0.98,3,0.49,3,0.49,4,0.65,2,0.33,5,0.81,2,0.33,3,0.49,7,1.14,66,10.75,76,12.38,69,11.24,77,12.54,72,11.73,2,0.33,1,0.16,2,0.33,1,0.16,32043
32,44,274,17,6.2,4,1.46,5,1.82,3,1.09,4,1.46,6,2.19,9,3.28,8,2.92,5,1.82,6,2.19,5,1.82,1,0.36,3,1.09,2,0.73,0,0.0,1,0.36,3,1.09,0,0.0,4,1.46,3,1.09,4,1.46,4,1.46,4,1.46,3,1.09,4,1.46,1,0.36,4,1.46,6,2.19,0,0.0,1,0.36,1,0.36,3,1.09,4,1.46,20,7.3,20,7.3,20,7.3,19,6.93,22,8.03,9,3.28,4,1.46,4,1.46,1,0.36,32044
32,45,563,23,4.09,13,2.31,19,3.37,14,2.49,15,2.66,12,2.13,14,2.49,19,3.37,18,3.2,13,2.31,5,0.89,4,0.71,3,0.53,4,0.71,1,0.18,1,0.18,0,0.0,0,0.0,3,0.53,1,0.18,3,0.53,5,0.89,6,1.07,6,1.07,9,1.6,3,0.53,5,0.89,3,0.53,1,0.18,0,0.0,2,0.36,3,0.53,10,1.78,54,9.59,53,9.41,51,9.06,53,9.41,52,9.24,3,0.53,0,0.0,3,0.53,2,0.36,32045
32,47,575,10,1.74,6,1.04,7,1.22,3,0.52,8,1.39,6,1.04,7,1.22,10,1.74,8,1.39,8,1.39,6,1.04,2,0.35,3,0.52,0,0.0,2,0.35,1,0.17,1,0.17,1,0.17,4,0.7,5,0.87,4,0.7,7,1.22,6,1.04,9,1.57,9,1.57,5,0.87,7,1.22,2,0.35,2,0.35,4,0.7,7,1.22,4,0.7,8,1.39,64,11.13,67,11.65,60,10.43,65,11.3,69,12.0,4,0.7,2,0.35,2,0.35,0,0.0,32047
32,48,697,11,1.58,8,1.15,13,1.87,6,0.86,11,1.58,8,1.15,10,1.43,18,2.58,6,0.86,11,1.58,4,0.57,1,0.14,2,0.29,1,0.14,1,0.14,1,0.14,0,0.0,0,0.0,5,0.72,5,0.72,3,0.43,11,1.58,11,1.58,15,2.15,12,1.72,10,1.43,11,1.58,6,0.86,5,0.72,7,1.0,3,0.43,4,0.57,9,1.29,74,10.62,81,11.62,74,10.62,77,11.05,75,10.76,1,0.14,1,0.14,2,0.29,1,0.14,32048
32,49,547,18,3.29,14,2.56,15,2.74,14,2.56,15,2.74,14,2.56,6,1.1,11,2.01,5,0.91,6,1.1,6,1.1,0,0.0,0,0.0,1,0.18,0,0.0,0,0.0,1,0.18,0,0.0,4,0.73,1,0.18,2,0.37,8,1.46,6,1.1,5,0.91,5,0.91,3,0.55,3,0.55,4,0.73,2,0.37,3,0.55,5,0.91,3,0.55,2,0.37,58,10.6,59,10.79,56,10.24,61,11.15,58,10.6,5,0.91,5,0.91,2,0.37,1,0.18,32049
32,50,95,6,6.32,5,5.26,5,5.26,2,2.11,2,2.11,1,1.05,5,5.26,5,5.26,6,6.32,3,3.16,2,2.11,0,0.0,0,0.0,0,0.0,0,0.0,1,1.05,0,0.0,1,1.05,0,0.0,1,1.05,1,1.05,1,1.05,1,1.05,1,1.05,1,1.05,2,2.11,3,3.16,0,0.0,1,1.05,0,0.0,0,0.0,0,0.0,0,0.0,3,3.16,4,4.21,5,5.26,5,5.26,5,5.26,2,2.11,2,2.11,2,2.11,2,2.11,32050
33,5,200,6,3.0,4,2.0,9,4.5,4,2.0,3,1.5,3,1.5,12,6.0,6,3.0,6,3.0,6,3.0,3,1.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,2,1.0,0,0.0,0,0.0,1,0.5,1,0.5,2,1.0,3,1.5,3,1.5,7,3.5,2,1.0,7,3.5,6,3.0,0,0.0,1,0.5,1,0.5,2,1.0,4,2.0,12,6.0,11,5.5,10,5.0,12,6.0,17,8.5,6,3.0,1,0.5,4,2.0,5,2.5,33005
33,7,929,26,2.8,14,1.51,19,2.05,17,1.83,20,2.15,17,1.83,16,1.72,28,3.01,27,2.91,15,1.61,10,1.08,2,0.22,3,0.32,1,0.11,1,0.11,0,0.0,2,0.22,1,0.11,2,0.22,0,0.0,1,0.11,6,0.65,14,1.51,16,1.72,9,0.97,12,1.29,19,2.05,11,1.18,8,0.86,9,0.97,7,0.75,2,0.22,10,1.08,90,9.69,95,10.23,92,9.9,97,10.44,96,10.33,1,0.11,0,0.0,2,0.22,1,0.11,33007
33,10,702,25,3.56,13,1.85,15,2.14,12,1.71,18,2.56,15,2.14,31,4.42,18,2.56,16,2.28,21,2.99,14,1.99,0,0.0,7,1.0,2,0.28,3,0.43,0,0.0,0,0.0,2,0.28,8,1.14,3,0.43,3,0.43,4,0.57,5,0.71,5,0.71,15,2.14,17,2.42,26,3.7,7,1.0,0,0.0,6,0.85,3,0.43,2,0.28,19,2.71,54,7.69,57,8.12,53,7.55,58,8.26,58,8.26,10,1.42,4,0.57,4,0.57,2,0.28,33010
