ward,precinct,total,"Bernard J. """"Bernie"""" Gray (Kucinich)","Bernard J. """"Bernie"""" Gray (Kucinich) Percent",Heather Poppe (Kucinich),Heather Poppe (Kucinich) Percent,John Schlitt (Kucinich),John Schlitt (Kucinich) Percent,Katherine Felt Armstrong (Kucinich),Katherine Felt Armstrong (Kucinich) Percent,Gary Kuzminski (Kucinich),Gary Kuzminski (Kucinich) Percent,Bernadette Maune (Kucinich),Bernadette Maune (Kucinich) Percent,Marc O'Connor (Kucinich),Marc O'Connor (Kucinich) Percent,Deborah Sims (Dean),Deborah Sims (Dean) Percent,James T. Meeks (Dean),James T. Meeks (Dean) Percent,Michelle Markiewicz Qualkinbush (Dean,Michelle Markiewicz Qualkinbush (Dean Percent,Sandi S. Jackson (Dean),Sandi S. Jackson (Dean) Percent,"William """"Will"""" Davis (Dean)","William """"Will"""" Davis (Dean) Percent",Dorian M. Morley (Dean),Dorian M. Morley (Dean) Percent,Michael Hartt (Dean),Michael Hartt (Dean) Percent,Larry Williams (Edwards),Larry Williams (Edwards) Percent,Bertha M. Scott (Edwards),Bertha M. Scott (Edwards) Percent,James E. Young (Edwards),James E. Young (Edwards) Percent,Henrietta Battle (Edwards),Henrietta Battle (Edwards) Percent,Jeremy Alexander (Edwards),Jeremy Alexander (Edwards) Percent,Archia Lakiska Lucas (Edwards),Archia Lakiska Lucas (Edwards) Percent,Lawrence N. Hill (Edwards),Lawrence N. Hill (Edwards) Percent,Nather L. Jones (Edwards),Nather L. Jones (Edwards) Percent,Al Riley (Clark),Al Riley (Clark) Percent,Johnny Holmes (Clark),Johnny Holmes (Clark) Percent,Kevin McCaffrey (Clark),Kevin McCaffrey (Clark) Percent,Paul Lynch (Clark),Paul Lynch (Clark) Percent,Barbara J. Moore (Clark),Barbara J. Moore (Clark) Percent,Harriet Salk (Clark),Harriet Salk (Clark) Percent,Myrtle Martin (Clark),Myrtle Martin (Clark) Percent,Karen Olson (Clark),Karen Olson (Clark) Percent,Frederick Young (Kerry),Frederick Young (Kerry) Percent,Sharon Latiker (Kerry),Sharon Latiker (Kerry) Percent,Kurt Elling (Kerry),Kurt Elling (Kerry) Percent,Lisa Dunbar (Kerry),Lisa Dunbar (Kerry) Percent,Jonathan D Karmel (Kerry),Jonathan D Karmel (Kerry) Percent,Thu Anh Vo (Kerry),Thu Anh Vo (Kerry) Percent,Gregory Arlen Diephouse (Kerry),Gregory Arlen Diephouse (Kerry) Percent,Edonna Brazzle (Kerry),Edonna Brazzle (Kerry) Percent,Lamar Britt (Lieberman),Lamar Britt (Lieberman) Percent,Jerry Doss (Lieberman),Jerry Doss (Lieberman) Percent,Shirley Doss (Lieberman),Shirley Doss (Lieberman) Percent,Marc Hamilton (Lieberman),Marc Hamilton (Lieberman) Percent,Myra Handy (Lieberman),Myra Handy (Lieberman) Percent,Janet Williams (Lieberman),Janet Williams (Lieberman) Percent,William M. Beavers (Braun),William M. Beavers (Braun) Percent,Dorothy James (Braun),Dorothy James (Braun) Percent,Diane Phillips (Braun),Diane Phillips (Braun) Percent,Donne Trotter (Braun),Donne Trotter (Braun) Percent,Dorothy Brown (Braun),Dorothy Brown (Braun) Percent,William Shaw (Braun),William Shaw (Braun) Percent,Carrie Austin (Braun),Carrie Austin (Braun) Percent,precinct_id
7,6,492,11,2.24,2,0.41,1,0.2,7,1.42,2,0.41,4,0.81,1,0.2,13,2.64,35,7.11,3,0.61,13,2.64,6,1.22,8,1.63,1,0.2,6,1.22,4,0.81,5,1.02,2,0.41,2,0.41,0,0.0,1,0.2,2,0.41,1,0.2,5,1.02,0,0.0,3,0.61,2,0.41,1,0.2,2,0.41,3,0.61,18,3.66,28,5.69,13,2.64,17,3.46,12,2.44,12,2.44,12,2.44,11,2.24,2,0.41,0,0.0,2,0.41,0,0.0,0,0.0,4,0.81,37,7.52,21,4.27,20,4.07,25,5.08,33,6.71,44,8.94,31,6.3,07006
7,7,531,8,1.51,4,0.75,1,0.19,4,0.75,0,0.0,4,0.75,3,0.56,13,2.45,36,6.78,2,0.38,9,1.69,10,1.88,11,2.07,3,0.56,7,1.32,5,0.94,8,1.51,4,0.75,1,0.19,1,0.19,5,0.94,3,0.56,4,0.75,2,0.38,0,0.0,0,0.0,7,1.32,0,0.0,1,0.19,1,0.19,16,3.01,17,3.2,11,2.07,14,2.64,8,1.51,7,1.32,6,1.13,11,2.07,5,0.94,1,0.19,1,0.19,3,0.56,0,0.0,3,0.56,42,7.91,30,5.65,25,4.71,34,6.4,45,8.47,48,9.04,42,7.91,07007
7,8,228,4,1.75,3,1.32,2,0.88,3,1.32,2,0.88,3,1.32,1,0.44,11,4.82,16,7.02,2,0.88,8,3.51,6,2.63,4,1.75,2,0.88,3,1.32,2,0.88,2,0.88,2,0.88,0,0.0,1,0.44,2,0.88,0,0.0,1,0.44,1,0.44,1,0.44,2,0.88,4,1.75,1,0.44,2,0.88,4,1.75,10,4.39,9,3.95,4,1.75,7,3.07,3,1.32,3,1.32,3,1.32,2,0.88,1,0.44,0,0.0,1,0.44,0,0.0,0,0.0,0,0.0,16,7.02,7,3.07,7,3.07,8,3.51,15,6.58,18,7.89,14,6.14,07008
7,9,800,12,1.5,9,1.13,6,0.75,11,1.38,7,0.88,6,0.75,7,0.88,22,2.75,61,7.63,9,1.13,22,2.75,20,2.5,15,1.88,8,1.0,6,0.75,8,1.0,6,0.75,5,0.63,4,0.5,4,0.5,2,0.25,4,0.5,5,0.63,2,0.25,3,0.38,3,0.38,10,1.25,1,0.13,1,0.13,5,0.63,34,4.25,40,5.0,30,3.75,38,4.75,28,3.5,25,3.13,24,3.0,27,3.38,1,0.13,1,0.13,1,0.13,1,0.13,1,0.13,2,0.25,37,4.63,27,3.38,21,2.63,38,4.75,44,5.5,43,5.38,36,4.5,07009
7,10,547,10,1.83,7,1.28,5,0.91,4,0.73,3,0.55,5,0.91,7,1.28,14,2.56,37,6.76,5,0.91,8,1.46,14,2.56,9,1.65,2,0.37,7,1.28,5,0.91,5,0.91,4,0.73,5,0.91,3,0.55,4,0.73,3,0.55,2,0.37,3,0.55,1,0.18,1,0.18,10,1.83,0,0.0,3,0.55,3,0.55,27,4.94,21,3.84,18,3.29,24,4.39,18,3.29,17,3.11,16,2.93,14,2.56,1,0.18,1,0.18,2,0.37,2,0.37,1,0.18,1,0.18,29,5.3,21,3.84,18,3.29,21,3.84,31,5.67,36,6.58,28,5.12,07010
7,11,917,10,1.09,5,0.55,3,0.33,6,0.65,3,0.33,6,0.65,7,0.76,32,3.49,68,7.42,13,1.42,23,2.51,19,2.07,13,1.42,8,0.87,10,1.09,11,1.2,8,0.87,6,0.65,7,0.76,2,0.22,3,0.33,4,0.44,1,0.11,2,0.22,1,0.11,2,0.22,9,0.98,1,0.11,1,0.11,0,0.0,53,5.78,43,4.69,40,4.36,52,5.67,39,4.25,31,3.38,30,3.27,33,3.6,1,0.11,0,0.0,2,0.22,1,0.11,0,0.0,1,0.11,52,5.67,27,2.94,22,2.4,43,4.69,58,6.32,45,4.91,42,4.58,07011
7,12,710,8,1.13,7,0.99,4,0.56,10,1.41,3,0.42,5,0.7,3,0.42,7,0.99,65,9.15,1,0.14,9,1.27,12,1.69,12,1.69,7,0.99,6,0.85,5,0.7,8,1.13,9,1.27,1,0.14,2,0.28,6,0.85,6,0.85,5,0.7,2,0.28,0,0.0,3,0.42,11,1.55,3,0.42,3,0.42,4,0.56,30,4.23,22,3.1,23,3.24,27,3.8,20,2.82,18,2.54,15,2.11,15,2.11,2,0.28,0,0.0,4,0.56,0,0.0,0,0.0,3,0.42,52,7.32,33,4.65,25,3.52,37,5.21,55,7.75,57,8.03,37,5.21,07012
7,13,552,9,1.63,6,1.09,3,0.54,6,1.09,3,0.54,4,0.72,4,0.72,13,2.36,45,8.15,6,1.09,13,2.36,7,1.27,11,1.99,7,1.27,5,0.91,4,0.72,4,0.72,4,0.72,2,0.36,0,0.0,5,0.91,2,0.36,1,0.18,1,0.18,2,0.36,0,0.0,5,0.91,1,0.18,1,0.18,2,0.36,26,4.71,20,3.62,23,4.17,23,4.17,19,3.44,13,2.36,14,2.54,14,2.54,2,0.36,0,0.0,2,0.36,0,0.0,0,0.0,4,0.72,33,5.98,19,3.44,18,3.26,30,5.43,37,6.7,44,7.97,27,4.89,07013
7,14,1085,10,0.92,9,0.83,2,0.18,6,0.55,3,0.28,7,0.65,4,0.37,37,3.41,86,7.93,9,0.83,33,3.04,18,1.66,25,2.3,10,0.92,16,1.47,8,0.74,13,1.2,14,1.29,7,0.65,9,0.83,6,0.55,10,0.92,5,0.46,8,0.74,2,0.18,4,0.37,18,1.66,3,0.28,4,0.37,8,0.74,63,5.81,49,4.52,47,4.33,52,4.79,48,4.42,37,3.41,29,2.67,33,3.04,2,0.18,0,0.0,4,0.37,2,0.18,0,0.0,2,0.18,49,4.52,28,2.58,27,2.49,43,3.96,56,5.16,57,5.25,49,4.52,07014
7,15,383,5,1.31,4,1.04,3,0.78,4,1.04,2,0.52,2,0.52,2,0.52,6,1.57,23,6.01,3,0.78,5,1.31,8,2.09,4,1.04,1,0.26,2,0.52,0,0.0,1,0.26,3,0.78,2,0.52,1,0.26,1,0.26,0,0.0,1,0.26,2,0.52,1,0.26,1,0.26,4,1.04,1,0.26,2,0.52,0,0.0,18,4.7,14,3.66,11,2.87,13,3.39,8,2.09,9,2.35,9,2.35,12,3.13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28,7.31,22,5.74,23,6.01,25,6.53,34,8.88,32,8.36,27,7.05,07015
7,16,486,10,2.06,6,1.23,7,1.44,4,0.82,2,0.41,6,1.23,3,0.62,17,3.5,38,7.82,7,1.44,10,2.06,10,2.06,9,1.85,4,0.82,5,1.03,3,0.62,2,0.41,2,0.41,3,0.62,4,0.82,3,0.62,1,0.21,1,0.21,2,0.41,1,0.21,0,0.0,4,0.82,0,0.0,0,0.0,0,0.0,29,5.97,21,4.32,16,3.29,22,4.53,20,4.12,14,2.88,12,2.47,17,3.5,1,0.21,0,0.0,0,0.0,0,0.0,0,0.0,2,0.41,30,6.17,17,3.5,13,2.67,18,3.7,27,5.56,34,7.0,23,4.73,07016
7,17,349,8,2.29,2,0.57,3,0.86,7,2.01,2,0.57,6,1.72,5,1.43,10,2.87,28,8.02,2,0.57,12,3.44,9,2.58,9,2.58,4,1.15,8,2.29,1,0.29,6,1.72,2,0.57,1,0.29,0,0.0,1,0.29,0,0.0,2,0.57,3,0.86,1,0.29,2,0.57,11,3.15,2,0.57,1,0.29,1,0.29,16,4.58,11,3.15,6,1.72,8,2.29,7,2.01,7,2.01,5,1.43,6,1.72,0,0.0,0,0.0,1,0.29,0,0.0,0,0.0,2,0.57,25,7.16,14,4.01,6,1.72,10,2.87,22,6.3,31,8.88,20,5.73,07017
7,18,473,3,0.63,5,1.06,4,0.85,5,1.06,4,0.85,7,1.48,4,0.85,10,2.11,35,7.4,6,1.27,10,2.11,13,2.75,7,1.48,5,1.06,5,1.06,6,1.27,3,0.63,7,1.48,4,0.85,3,0.63,0,0.0,1,0.21,4,0.85,1,0.21,1,0.21,1,0.21,6,1.27,0,0.0,1,0.21,2,0.42,21,4.44,13,2.75,11,2.33,19,4.02,12,2.54,8,1.69,10,2.11,6,1.27,1,0.21,0,0.0,0,0.0,1,0.21,1,0.21,1,0.21,25,5.29,23,4.86,26,5.5,26,5.5,30,6.34,34,7.19,33,6.98,07018
7,19,1026,19,1.85,8,0.78,6,0.58,9,0.88,8,0.78,7,0.68,9,0.88,30,2.92,87,8.48,14,1.36,30,2.92,29,2.83,21,2.05,13,1.27,9,0.88,7,0.68,9,0.88,8,0.78,4,0.39,3,0.29,5,0.49,6,0.58,5,0.49,5,0.49,5,0.49,4,0.39,15,1.46,3,0.29,5,0.49,4,0.39,46,4.48,36,3.51,30,2.92,32,3.12,25,2.44,21,2.05,23,2.24,23,2.24,2,0.19,0,0.0,6,0.58,0,0.0,1,0.1,3,0.29,53,5.17,34,3.31,31,3.02,50,4.87,65,6.34,85,8.28,50,4.87,07019
7,20,236,1,0.42,1,0.42,2,0.85,0,0.0,2,0.85,2,0.85,3,1.27,6,2.54,28,11.86,3,1.27,8,3.39,3,1.27,14,5.93,4,1.69,1,0.42,3,1.27,6,2.54,1,0.42,0,0.0,1,0.42,1,0.42,3,1.27,2,0.85,0,0.0,1,0.42,1,0.42,4,1.69,0,0.0,0,0.0,1,0.42,11,4.66,9,3.81,7,2.97,9,3.81,5,2.12,4,1.69,4,1.69,4,1.69,0,0.0,0,0.0,2,0.85,0,0.0,1,0.42,1,0.42,8,3.39,5,2.12,1,0.42,7,2.97,13,5.51,28,11.86,8,3.39,07020
7,21,602,11,1.83,5,0.83,4,0.66,5,0.83,3,0.5,6,1.0,6,1.0,19,3.16,43,7.14,9,1.5,11,1.83,12,1.99,17,2.82,6,1.0,3,0.5,8,1.33,8,1.33,2,0.33,1,0.17,1,0.17,1,0.17,0,0.0,5,0.83,3,0.5,3,0.5,0,0.0,10,1.66,1,0.17,0,0.0,0,0.0,27,4.49,24,3.99,21,3.49,24,3.99,17,2.82,18,2.99,18,2.99,19,3.16,0,0.0,1,0.17,2,0.33,1,0.17,0,0.0,1,0.17,36,5.98,25,4.15,17,2.82,26,4.32,32,5.32,49,8.14,29,4.82,07021
7,22,677,13,1.92,8,1.18,4,0.59,6,0.89,5,0.74,5,0.74,9,1.33,25,3.69,44,6.5,4,0.59,9,1.33,11,1.62,9,1.33,5,0.74,9,1.33,2,0.3,4,0.59,3,0.44,4,0.59,1,0.15,1,0.15,2,0.3,1,0.15,3,0.44,2,0.3,2,0.3,5,0.74,1,0.15,3,0.44,1,0.15,26,3.84,27,3.99,24,3.55,24,3.55,17,2.51,15,2.22,13,1.92,14,2.07,0,0.0,1,0.15,1,0.15,1,0.15,0,0.0,1,0.15,55,8.12,39,5.76,33,4.87,39,5.76,50,7.39,52,7.68,37,5.47,07022
7,23,460,9,1.96,5,1.09,2,0.43,5,1.09,1,0.22,6,1.3,7,1.52,10,2.17,37,8.04,3,0.65,14,3.04,12,2.61,8,1.74,5,1.09,7,1.52,2,0.43,5,1.09,5,1.09,1,0.22,3,0.65,2,0.43,2,0.43,1,0.22,2,0.43,1,0.22,0,0.0,5,1.09,0,0.0,1,0.22,1,0.22,23,5.0,18,3.91,16,3.48,22,4.78,14,3.04,14,3.04,16,3.48,15,3.26,0,0.0,1,0.22,1,0.22,1,0.22,0,0.0,2,0.43,27,5.87,16,3.48,13,2.83,16,3.48,28,6.09,31,6.74,17,3.7,07023
7,24,574,10,1.74,6,1.05,0,0.0,5,0.87,1,0.17,4,0.7,4,0.7,16,2.79,42,7.32,8,1.39,18,3.14,16,2.79,19,3.31,11,1.92,4,0.7,3,0.52,1,0.17,2,0.35,0,0.0,1,0.17,3,0.52,3,0.52,4,0.7,1,0.17,2,0.35,0,0.0,3,0.52,0,0.0,0,0.0,0,0.0,24,4.18,19,3.31,17,2.96,21,3.66,16,2.79,12,2.09,13,2.26,13,2.26,0,0.0,2,0.35,1,0.17,1,0.17,1,0.17,2,0.35,33,5.75,28,4.88,24,4.18,30,5.23,37,6.45,42,7.32,39,6.79,07024
7,25,840,8,0.95,4,0.48,4,0.48,6,0.71,2,0.24,6,0.71,6,0.71,27,3.21,76,9.05,9,1.07,20,2.38,24,2.86,16,1.9,12,1.43,12,1.43,9,1.07,9,1.07,7,0.83,7,0.83,3,0.36,8,0.95,4,0.48,4,0.48,2,0.24,2,0.24,2,0.24,7,0.83,2,0.24,3,0.36,2,0.24,36,4.29,28,3.33,20,2.38,30,3.57,19,2.26,16,1.9,19,2.26,19,2.26,0,0.0,2,0.24,1,0.12,1,0.12,0,0.0,4,0.48,47,5.6,37,4.4,27,3.21,49,5.83,60,7.14,60,7.14,46,5.48,07025
7,26,1094,11,1.01,5,0.46,1,0.09,7,0.64,2,0.18,9,0.82,6,0.55,29,2.65,89,8.14,7,0.64,22,2.01,15,1.37,22,2.01,7,0.64,11,1.01,9,0.82,7,0.64,11,1.01,2,0.18,4,0.37,5,0.46,0,0.0,6,0.55,3,0.27,4,0.37,1,0.09,20,1.83,1,0.09,2,0.18,4,0.37,50,4.57,39,3.56,29,2.65,39,3.56,25,2.29,25,2.29,24,2.19,30,2.74,0,0.0,1,0.09,3,0.27,1,0.09,0,0.0,4,0.37,87,7.95,51,4.66,46,4.2,70,6.4,77,7.04,88,8.04,67,6.12,07026
7,27,1232,16,1.3,8,0.65,3,0.24,10,0.81,2,0.16,5,0.41,4,0.32,33,2.68,85,6.9,12,0.97,36,2.92,33,2.68,21,1.7,15,1.22,15,1.22,10,0.81,11,0.89,9,0.73,10,0.81,7,0.57,6,0.49,8,0.65,0,0.0,4,0.32,2,0.16,1,0.08,9,0.73,2,0.16,5,0.41,4,0.32,67,5.44,59,4.79,55,4.46,60,4.87,48,3.9,42,3.41,43,3.49,42,3.41,2,0.16,1,0.08,1,0.08,2,0.16,2,0.16,4,0.32,61,4.95,45,3.65,37,3.0,66,5.36,68,5.52,63,5.11,54,4.38,07027
7,28,821,12,1.46,7,0.85,5,0.61,8,0.97,4,0.49,6,0.73,4,0.49,17,2.07,61,7.43,9,1.1,17,2.07,15,1.83,13,1.58,11,1.34,5,0.61,8,0.97,5,0.61,9,1.1,1,0.12,3,0.37,4,0.49,3,0.37,6,0.73,4,0.49,1,0.12,2,0.24,12,1.46,2,0.24,5,0.61,7,0.85,35,4.26,22,2.68,21,2.56,26,3.17,16,1.95,12,1.46,19,2.31,16,1.95,2,0.24,2,0.24,3,0.37,4,0.49,0,0.0,7,0.85,53,6.46,41,4.99,36,4.38,51,6.21,56,6.82,67,8.16,51,6.21,07028
7,29,609,4,0.66,2,0.33,1,0.16,4,0.66,1,0.16,4,0.66,4,0.66,17,2.79,35,5.75,5,0.82,11,1.81,12,1.97,10,1.64,6,0.99,5,0.82,7,1.15,4,0.66,6,0.99,2,0.33,5,0.82,6,0.99,4,0.66,4,0.66,1,0.16,2,0.33,0,0.0,4,0.66,1,0.16,3,0.49,1,0.16,29,4.76,28,4.6,15,2.46,27,4.43,15,2.46,9,1.48,13,2.13,12,1.97,1,0.16,0,0.0,3,0.49,1,0.16,1,0.16,2,0.33,50,8.21,28,4.6,31,5.09,36,5.91,50,8.21,43,7.06,38,6.24,07029
7,30,931,12,1.29,6,0.64,6,0.64,7,0.75,1,0.11,3,0.32,3,0.32,27,2.9,81,8.7,10,1.07,34,3.65,25,2.69,16,1.72,13,1.4,12,1.29,12,1.29,12,1.29,11,1.18,2,0.21,4,0.43,4,0.43,4,0.43,2,0.21,2,0.21,0,0.0,4,0.43,10,1.07,3,0.32,2,0.21,2,0.21,58,6.23,43,4.62,28,3.01,45,4.83,26,2.79,20,2.15,20,2.15,20,2.15,1,0.11,2,0.21,2,0.21,1,0.11,2,0.21,5,0.54,57,6.12,23,2.47,22,2.36,51,5.48,62,6.66,51,5.48,38,4.08,07030
7,31,742,9,1.21,3,0.4,4,0.54,4,0.54,3,0.4,7,0.94,5,0.67,31,4.18,74,9.97,9,1.21,23,3.1,17,2.29,14,1.89,10,1.35,15,2.02,8,1.08,10,1.35,6,0.81,4,0.54,3,0.4,5,0.67,5,0.67,8,1.08,1,0.13,0,0.0,1,0.13,10,1.35,0,0.0,2,0.27,0,0.0,38,5.12,23,3.1,18,2.43,29,3.91,19,2.56,15,2.02,12,1.62,11,1.48,1,0.13,2,0.27,2,0.27,0,0.0,1,0.13,1,0.13,41,5.53,24,3.23,18,2.43,41,5.53,53,7.14,38,5.12,45,6.06,07031
7,32,513,12,2.34,9,1.75,6,1.17,8,1.56,6,1.17,3,0.58,6,1.17,16,3.12,30,5.85,11,2.14,12,2.34,10,1.95,11,2.14,3,0.58,8,1.56,7,1.36,6,1.17,3,0.58,4,0.78,4,0.78,4,0.78,3,0.58,2,0.39,3,0.58,2,0.39,1,0.19,2,0.39,0,0.0,2,0.39,2,0.39,28,5.46,24,4.68,21,4.09,26,5.07,18,3.51,16,3.12,19,3.7,17,3.31,1,0.19,3,0.58,3,0.58,1,0.19,1,0.19,1,0.19,19,3.7,12,2.34,8,1.56,13,2.53,23,4.48,31,6.04,23,4.48,07032
7,33,690,9,1.3,8,1.16,5,0.72,6,0.87,6,0.87,5,0.72,4,0.58,20,2.9,61,8.84,4,0.58,13,1.88,17,2.46,15,2.17,6,0.87,6,0.87,9,1.3,6,0.87,5,0.72,6,0.87,3,0.43,4,0.58,4,0.58,2,0.29,6,0.87,1,0.14,3,0.43,13,1.88,3,0.43,3,0.43,3,0.43,36,5.22,31,4.49,26,3.77,32,4.64,19,2.75,17,2.46,14,2.03,22,3.19,3,0.43,0,0.0,2,0.29,4,0.58,1,0.14,2,0.29,42,6.09,21,3.04,15,2.17,36,5.22,50,7.25,29,4.2,24,3.48,07033
7,34,722,8,1.11,3,0.42,3,0.42,2,0.28,2,0.28,4,0.55,4,0.55,18,2.49,62,8.59,7,0.97,16,2.22,18,2.49,12,1.66,10,1.39,8,1.11,3,0.42,6,0.83,2,0.28,8,1.11,3,0.42,4,0.55,4,0.55,2,0.28,1,0.14,1,0.14,3,0.42,6,0.83,2,0.28,2,0.28,2,0.28,34,4.71,29,4.02,25,3.46,34,4.71,24,3.32,26,3.6,20,2.77,20,2.77,1,0.14,0,0.0,2,0.28,1,0.14,0,0.0,0,0.0,40,5.54,28,3.88,25,3.46,35,4.85,46,6.37,53,7.34,41,5.68,07034
7,35,438,4,0.91,0,0.0,2,0.46,5,1.14,3,0.68,1,0.23,4,0.91,8,1.83,30,6.85,3,0.68,6,1.37,9,2.05,8,1.83,3,0.68,10,2.28,5,1.14,5,1.14,9,2.05,7,1.6,3,0.68,5,1.14,3,0.68,4,0.91,3,0.68,1,0.23,2,0.46,6,1.37,1,0.23,2,0.46,1,0.23,22,5.02,22,5.02,19,4.34,23,5.25,16,3.65,17,3.88,17,3.88,13,2.97,0,0.0,1,0.23,0,0.0,2,0.46,2,0.46,1,0.23,18,4.11,13,2.97,11,2.51,17,3.88,17,3.88,34,7.76,16,3.65,07035
7,36,838,14,1.67,9,1.07,4,0.48,7,0.84,3,0.36,6,0.72,8,0.95,22,2.63,72,8.59,10,1.19,23,2.74,20,2.39,12,1.43,6,0.72,9,1.07,6,0.72,8,0.95,5,0.6,6,0.72,3,0.36,6,0.72,2,0.24,3,0.36,3,0.36,2,0.24,4,0.48,12,1.43,1,0.12,2,0.24,3,0.36,44,5.25,32,3.82,21,2.51,27,3.22,20,2.39,16,1.91,11,1.31,16,1.91,0,0.0,0,0.0,0,0.0,2,0.24,1,0.12,0,0.0,50,5.97,35,4.18,35,4.18,53,6.32,61,7.28,57,6.8,50,5.97,07036
7,37,262,5,1.91,3,1.15,3,1.15,4,1.53,1,0.38,2,0.76,2,0.76,5,1.91,27,10.31,2,0.76,4,1.53,10,3.82,6,2.29,3,1.15,4,1.53,3,1.15,2,0.76,4,1.53,4,1.53,1,0.38,3,1.15,4,1.53,1,0.38,0,0.0,0,0.0,0,0.0,2,0.76,0,0.0,0,0.0,0,0.0,9,3.44,6,2.29,3,1.15,11,4.2,4,1.53,4,1.53,4,1.53,3,1.15,0,0.0,0,0.0,0,0.0,0,0.0,1,0.38,2,0.76,16,6.11,10,3.82,9,3.44,16,6.11,17,6.49,24,9.16,13,4.96,07037
7,38,489,8,1.64,6,1.23,2,0.41,7,1.43,2,0.41,5,1.02,5,1.02,16,3.27,46,9.41,5,1.02,13,2.66,16,3.27,5,1.02,2,0.41,3,0.61,3,0.61,6,1.23,4,0.82,1,0.2,1,0.2,1,0.2,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,3,0.61,1,0.2,0,0.0,2,0.41,17,3.48,19,3.89,15,3.07,18,3.68,12,2.45,13,2.66,14,2.86,11,2.25,1,0.2,1,0.2,1,0.2,0,0.0,0,0.0,0,0.0,22,4.5,21,4.29,20,4.09,26,5.32,39,7.98,32,6.54,29,5.93,07038
7,39,599,10,1.67,6,1.0,2,0.33,5,0.83,4,0.67,6,1.0,8,1.34,17,2.84,61,10.18,6,1.0,13,2.17,14,2.34,19,3.17,5,0.83,2,0.33,8,1.34,6,1.0,3,0.5,0,0.0,1,0.17,1,0.17,2,0.33,4,0.67,1,0.17,1,0.17,3,0.5,8,1.34,0,0.0,2,0.33,3,0.5,34,5.68,29,4.84,17,2.84,21,3.51,14,2.34,16,2.67,15,2.5,12,2.0,1,0.17,0,0.0,1,0.17,0,0.0,2,0.33,0,0.0,29,4.84,13,2.17,15,2.5,22,3.67,34,5.68,55,9.18,38,6.34,07039
7,40,741,13,1.75,5,0.67,5,0.67,9,1.21,5,0.67,4,0.54,6,0.81,18,2.43,60,8.1,12,1.62,16,2.16,19,2.56,16,2.16,13,1.75,12,1.62,9,1.21,11,1.48,6,0.81,8,1.08,3,0.4,6,0.81,5,0.67,2,0.27,4,0.54,5,0.67,5,0.67,7,0.94,5,0.67,5,0.67,6,0.81,28,3.78,27,3.64,24,3.24,25,3.37,20,2.7,17,2.29,16,2.16,14,1.89,0,0.0,1,0.13,2,0.27,0,0.0,0,0.0,2,0.27,42,5.67,30,4.05,24,3.24,27,3.64,38,5.13,49,6.61,41,5.53,07040
7,41,779,9,1.16,2,0.26,2,0.26,3,0.39,0,0.0,6,0.77,4,0.51,21,2.7,65,8.34,7,0.9,15,1.93,12,1.54,14,1.8,3,0.39,8,1.03,6,0.77,10,1.28,10,1.28,6,0.77,4,0.51,7,0.9,5,0.64,1,0.13,2,0.26,0,0.0,1,0.13,7,0.9,4,0.51,2,0.26,2,0.26,40,5.13,32,4.11,25,3.21,31,3.98,30,3.85,21,2.7,24,3.08,24,3.08,2,0.26,1,0.13,0,0.0,0,0.0,1,0.13,4,0.51,48,6.16,27,3.47,29,3.72,44,5.65,59,7.57,49,6.29,40,5.13,07041
7,42,980,12,1.22,8,0.82,2,0.2,6,0.61,1,0.1,6,0.61,8,0.82,30,3.06,86,8.78,15,1.53,24,2.45,34,3.47,21,2.14,12,1.22,13,1.33,11,1.12,7,0.71,8,0.82,4,0.41,2,0.2,7,0.71,4,0.41,3,0.31,4,0.41,3,0.31,3,0.31,16,1.63,3,0.31,1,0.1,2,0.2,48,4.9,40,4.08,30,3.06,39,3.98,25,2.55,26,2.65,26,2.65,26,2.65,3,0.31,1,0.1,3,0.31,0,0.0,1,0.1,1,0.1,61,6.22,28,2.86,22,2.24,38,3.88,64,6.53,70,7.14,52,5.31,07042
7,43,726,12,1.65,10,1.38,7,0.96,10,1.38,7,0.96,7,0.96,6,0.83,34,4.68,60,8.26,14,1.93,24,3.31,27,3.72,17,2.34,11,1.52,9,1.24,1,0.14,7,0.96,7,0.96,5,0.69,5,0.69,3,0.41,2,0.28,4,0.55,4,0.55,1,0.14,1,0.14,11,1.52,1,0.14,2,0.28,2,0.28,34,4.68,30,4.13,23,3.17,28,3.86,23,3.17,17,2.34,17,2.34,16,2.2,1,0.14,3,0.41,1,0.14,0,0.0,0,0.0,1,0.14,35,4.82,15,2.07,12,1.65,25,3.44,36,4.96,48,6.61,32,4.41,07043
7,44,1120,20,1.79,21,1.88,12,1.07,16,1.43,11,0.98,12,1.07,12,1.07,23,2.05,78,6.96,10,0.89,24,2.14,25,2.23,25,2.23,12,1.07,6,0.54,12,1.07,9,0.8,8,0.71,6,0.54,5,0.45,4,0.36,3,0.27,5,0.45,1,0.09,2,0.18,4,0.36,8,0.71,2,0.18,1,0.09,1,0.09,69,6.16,61,5.45,47,4.2,54,4.82,39,3.48,45,4.02,42,3.75,38,3.39,3,0.27,0,0.0,1,0.09,2,0.18,1,0.09,4,0.36,47,4.2,32,2.86,26,2.32,34,3.04,54,4.82,75,6.7,47,4.2,07044
