ward,precinct,total,"Leonard """"Lenny"""" Brody (Kucinich)","Leonard """"Lenny"""" Brody (Kucinich) Percent","Proco """"Joe"""" Moreno (Dean)","Proco """"Joe"""" Moreno (Dean) Percent",Francisco Cisneros (Gephardt),Francisco Cisneros (Gephardt) Percent,Nicholas J. Delgado (Edwards),Nicholas J. Delgado (Edwards) Percent,Gary Klein (Kerry),Gary Klein (Kerry) Percent,William Bennett (Braun),William Bennett (Braun) Percent,precinct_id
32,4,146,28,19.18,8,5.48,8,5.48,18,12.33,78,53.42,3,2.05,32004
32,5,90,5,5.56,11,12.22,7,7.78,9,10.0,52,57.78,4,4.44,32005
32,11,61,9,14.75,6,9.84,5,8.2,8,13.11,28,45.9,1,1.64,32011
32,12,58,11,18.97,5,8.62,3,5.17,10,17.24,23,39.66,2,3.45,32012
32,14,104,10,9.62,13,12.5,7,6.73,11,10.58,58,55.77,3,2.88,32014
32,16,123,24,19.51,9,7.32,6,4.88,12,9.76,64,52.03,5,4.07,32016
32,17,75,8,10.67,8,10.67,5,6.67,7,9.33,37,49.33,3,4.0,32017
32,28,89,10,11.24,4,4.49,7,7.87,10,11.24,55,61.8,1,1.12,32028
32,29,127,10,7.87,17,13.39,5,3.94,13,10.24,77,60.63,2,1.57,32029
32,31,142,7,4.93,18,12.68,11,7.75,14,9.86,82,57.75,6,4.23,32031
32,33,97,14,14.43,7,7.22,9,9.28,8,8.25,53,54.64,3,3.09,32033
32,34,136,15,11.03,15,11.03,6,4.41,17,12.5,77,56.62,1,0.74,32034
32,35,155,18,11.61,13,8.39,5,3.23,10,6.45,96,61.94,6,3.87,32035
32,36,149,25,16.78,11,7.38,6,4.03,13,8.72,90,60.4,1,0.67,32036
32,46,2,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,32046
32,52,76,12,15.79,3,3.95,1,1.32,9,11.84,43,56.58,1,1.32,32052
33,1,141,13,9.22,15,10.64,14,9.93,17,12.06,63,44.68,6,4.26,33001
33,2,194,12,6.19,22,11.34,19,9.79,32,16.49,91,46.91,7,3.61,33002
33,3,125,14,11.2,10,8.0,10,8.0,12,9.6,66,52.8,6,4.8,33003
33,4,136,8,5.88,20,14.71,17,12.5,19,13.97,58,42.65,9,6.62,33004
33,6,166,12,7.23,10,6.02,21,12.65,21,12.65,89,53.61,10,6.02,33006
33,8,158,18,11.39,14,8.86,5,3.16,19,12.03,93,58.86,4,2.53,33008
33,9,79,12,15.19,4,5.06,9,11.39,9,11.39,44,55.7,1,1.27,33009
33,11,145,17,11.72,16,11.03,14,9.66,21,14.48,62,42.76,6,4.14,33011
33,12,151,15,9.93,14,9.27,15,9.93,15,9.93,73,48.34,7,4.64,33012
33,13,194,9,4.64,24,12.37,31,15.98,21,10.82,91,46.91,11,5.67,33013
33,15,88,4,4.55,9,10.23,14,15.91,17,19.32,42,47.73,1,1.14,33015
33,17,147,9,6.12,13,8.84,11,7.48,20,13.61,86,58.5,4,2.72,33017
33,19,157,14,8.92,11,7.01,18,11.46,20,12.74,75,47.77,11,7.01,33019
33,20,107,11,10.28,5,4.67,14,13.08,14,13.08,53,49.53,4,3.74,33020
33,21,173,18,10.4,24,13.87,22,12.72,19,10.98,74,42.77,7,4.05,33021
33,22,68,4,5.88,6,8.82,11,16.18,8,11.76,32,47.06,3,4.41,33022
33,26,116,7,6.03,11,9.48,12,10.34,10,8.62,57,49.14,13,11.21,33026
33,27,81,10,12.35,11,13.58,9,11.11,9,11.11,34,41.98,4,4.94,33027
33,30,93,11,11.83,10,10.75,9,9.68,10,10.75,42,45.16,4,4.3,33030
33,31,151,7,4.64,25,16.56,23,15.23,21,13.91,64,42.38,5,3.31,33031
33,32,126,5,3.97,14,11.11,17,13.49,13,10.32,65,51.59,5,3.97,33032
33,33,100,9,9.0,13,13.0,13,13.0,11,11.0,40,40.0,10,10.0,33033
35,1,144,12,8.33,9,6.25,13,9.03,26,18.06,71,49.31,8,5.56,35001
35,2,92,8,8.7,10,10.87,13,14.13,17,18.48,32,34.78,7,7.61,35002
35,3,81,6,7.41,9,11.11,12,14.81,17,20.99,23,28.4,9,11.11,35003
35,4,152,16,10.53,15,9.87,17,11.18,17,11.18,74,48.68,5,3.29,35004
35,5,121,14,11.57,12,9.92,12,9.92,18,14.88,50,41.32,7,5.79,35005
35,6,112,6,5.36,10,8.93,17,15.18,16,14.29,52,46.43,5,4.46,35006
35,7,154,20,12.99,13,8.44,12,7.79,24,15.58,74,48.05,3,1.95,35007
35,8,128,15,11.72,14,10.94,8,6.25,9,7.03,70,54.69,7,5.47,35008
35,9,125,19,15.2,20,16.0,7,5.6,17,13.6,51,40.8,6,4.8,35009
35,10,128,15,11.72,21,16.41,12,9.38,7,5.47,64,50.0,6,4.69,35010
35,11,117,10,8.55,12,10.26,15,12.82,14,11.97,49,41.88,8,6.84,35011
35,12,164,24,14.63,18,10.98,9,5.49,22,13.41,78,47.56,9,5.49,35012
35,13,81,10,12.35,12,14.81,10,12.35,10,12.35,31,38.27,5,6.17,35013
35,14,138,10,7.25,19,13.77,19,13.77,28,20.29,39,28.26,10,7.25,35014
35,15,117,10,8.55,7,5.98,15,12.82,19,16.24,56,47.86,5,4.27,35015
35,16,118,19,16.1,11,9.32,6,5.08,19,16.1,52,44.07,9,7.63,35016
35,17,129,15,11.63,18,13.95,11,8.53,17,13.18,53,41.09,11,8.53,35017
35,18,158,17,10.76,23,14.56,13,8.23,25,15.82,70,44.3,7,4.43,35018
35,19,103,9,8.74,16,15.53,11,10.68,10,9.71,48,46.6,5,4.85,35019
35,20,102,6,5.88,8,7.84,14,13.73,17,16.67,48,47.06,6,5.88,35020
35,21,144,19,13.19,20,13.89,18,12.5,21,14.58,51,35.42,9,6.25,35021
35,23,92,10,10.87,13,14.13,11,11.96,12,13.04,42,45.65,1,1.09,35023
35,24,84,7,8.33,11,13.1,9,10.71,8,9.52,37,44.05,7,8.33,35024
35,25,119,20,16.81,15,12.61,5,4.2,12,10.08,57,47.9,4,3.36,35025
35,26,146,9,6.16,10,6.85,17,11.64,21,14.38,80,54.79,5,3.42,35026
35,27,177,29,16.38,23,12.99,11,6.21,21,11.86,73,41.24,9,5.08,35027
35,28,145,23,15.86,15,10.34,14,9.66,16,11.03,62,42.76,12,8.28,35028
35,29,154,15,9.74,9,5.84,7,4.55,10,6.49,101,65.58,4,2.6,35029
35,30,180,25,13.89,20,11.11,12,6.67,19,10.56,84,46.67,16,8.89,35030
35,31,149,18,12.08,20,13.42,7,4.7,22,14.77,71,47.65,7,4.7,35031
35,32,78,7,8.97,9,11.54,11,14.1,16,20.51,28,35.9,5,6.41,35032
35,34,137,28,20.44,18,13.14,4,2.92,17,12.41,60,43.8,6,4.38,35034
35,35,105,18,17.14,11,10.48,13,12.38,28,26.67,28,26.67,4,3.81,35035
36,4,58,2,3.45,6,10.34,3,5.17,12,20.69,20,34.48,10,17.24,36004
36,33,56,6,10.71,5,8.93,2,3.57,3,5.36,27,48.21,8,14.29,36033
36,44,40,4,10.0,6,15.0,4,10.0,4,10.0,17,42.5,5,12.5,36044
36,54,33,2,6.06,5,15.15,3,9.09,2,6.06,14,42.42,4,12.12,36054
36,55,22,2,9.09,1,4.55,0,0.0,0,0.0,19,86.36,0,0.0,36055
37,1,68,3,4.41,9,13.24,11,16.18,21,30.88,22,32.35,2,2.94,37001
37,11,59,1,1.69,6,10.17,7,11.86,10,16.95,32,54.24,3,5.08,37011
37,39,55,6,10.91,4,7.27,9,16.36,5,9.09,22,40.0,7,12.73,37039
37,47,21,1,4.76,3,14.29,5,23.81,5,23.81,6,28.57,1,4.76,37047
37,50,110,5,4.55,19,17.27,11,10.0,27,24.55,41,37.27,6,5.45,37050
37,52,80,2,2.5,8,10.0,11,13.75,12,15.0,41,51.25,2,2.5,37052
