ward,precinct,total,Timothy Michael Kelly,Timothy Michael Kelly Percent,Kathleen Marie Burke,Kathleen Marie Burke Percent,William James Haddad,William James Haddad Percent,Michael J. (Yakov) Fox,Michael J. (Yakov) Fox Percent,Barbara Anne Bailey,Barbara Anne Bailey Percent,Thomas G. O'Brien,Thomas G. O'Brien Percent,precinct_id
6,30,170,33,19.41,32,18.82,27,15.88,7,4.12,41,24.12,10,5.88,06030
6,31,235,31,13.19,55,23.4,43,18.3,9,3.83,66,28.09,6,2.55,06031
6,32,249,46,18.47,63,25.3,34,13.65,7,2.81,57,22.89,10,4.02,06032
6,33,223,40,17.94,40,17.94,34,15.25,9,4.04,59,26.46,11,4.93,06033
6,34,180,23,12.78,32,17.78,31,17.22,9,5.0,49,27.22,13,7.22,06034
6,35,248,33,13.31,54,21.77,48,19.35,5,2.02,63,25.4,14,5.65,06035
6,36,32,3,9.38,7,21.88,7,21.88,0,0.0,4,12.5,5,15.63,06036
6,37,229,30,13.1,34,14.85,40,17.47,6,2.62,65,28.38,12,5.24,06037
6,38,242,31,12.81,49,20.25,44,18.18,13,5.37,63,26.03,14,5.79,06038
6,39,178,21,11.8,23,12.92,64,35.96,3,1.69,37,20.79,16,8.99,06039
6,40,118,22,18.64,16,13.56,17,14.41,6,5.08,29,24.58,8,6.78,06040
6,41,176,25,14.2,26,14.77,36,20.45,7,3.98,52,29.55,6,3.41,06041
6,42,93,14,15.05,23,24.73,15,16.13,1,1.08,22,23.66,9,9.68,06042
6,43,196,30,15.31,42,21.43,28,14.29,7,3.57,52,26.53,11,5.61,06043
6,44,191,23,12.04,35,18.32,48,25.13,6,3.14,42,21.99,8,4.19,06044
6,45,139,29,20.86,27,19.42,19,13.67,2,1.44,33,23.74,10,7.19,06045
6,46,162,21,12.96,40,24.69,36,22.22,3,1.85,44,27.16,4,2.47,06046
6,47,226,46,20.35,43,19.03,41,18.14,11,4.87,44,19.47,9,3.98,06047
6,48,229,41,17.9,43,18.78,41,17.9,12,5.24,57,24.89,9,3.93,06048
6,49,188,30,15.96,31,16.49,27,14.36,9,4.79,48,25.53,12,6.38,06049
6,50,227,22,9.69,38,16.74,68,29.96,4,1.76,42,18.5,8,3.52,06050
6,51,154,28,18.18,26,16.88,18,11.69,7,4.55,49,31.82,9,5.84,06051
6,52,150,30,20.0,23,15.33,20,13.33,3,2.0,46,30.67,9,6.0,06052
6,53,189,20,10.58,44,23.28,19,10.05,9,4.76,58,30.69,11,5.82,06053
6,54,177,27,15.25,41,23.16,30,16.95,5,2.82,54,30.51,6,3.39,06054
6,55,155,31,20.0,20,12.9,32,20.65,7,4.52,35,22.58,9,5.81,06055
6,56,134,30,22.39,26,19.4,20,14.93,5,3.73,25,18.66,6,4.48,06056
6,57,109,20,18.35,32,29.36,15,13.76,1,0.92,25,22.94,7,6.42,06057
6,58,227,24,10.57,49,21.59,34,14.98,13,5.73,64,28.19,6,2.64,06058
6,59,202,31,15.35,37,18.32,47,23.27,4,1.98,51,25.25,5,2.48,06059
6,60,122,12,9.84,23,18.85,33,27.05,3,2.46,34,27.87,6,4.92,06060
6,61,119,18,15.13,27,22.69,18,15.13,6,5.04,30,25.21,6,5.04,06061
6,62,65,12,18.46,11,16.92,11,16.92,3,4.62,16,24.62,5,7.69,06062
6,63,167,27,16.17,37,22.16,25,14.97,6,3.59,49,29.34,8,4.79,06063
6,64,248,37,14.92,51,20.56,37,14.92,8,3.23,68,27.42,8,3.23,06064
6,65,57,17,29.82,11,19.3,7,12.28,2,3.51,12,21.05,3,5.26,06065
6,66,172,21,12.21,32,18.6,19,11.05,3,1.74,50,29.07,15,8.72,06066
7,1,212,27,12.74,43,20.28,39,18.4,4,1.89,64,30.19,9,4.25,07001
7,2,214,29,13.55,40,18.69,42,19.63,15,7.01,39,18.22,7,3.27,07002
7,3,125,22,17.6,19,15.2,17,13.6,3,2.4,26,20.8,12,9.6,07003
7,4,128,17,13.28,27,21.09,27,21.09,3,2.34,26,20.31,6,4.69,07004
7,5,119,16,13.45,17,14.29,32,26.89,5,4.2,23,19.33,6,5.04,07005
7,6,126,18,14.29,19,15.08,27,21.43,6,4.76,33,26.19,9,7.14,07006
7,7,94,12,12.77,14,14.89,18,19.15,2,2.13,22,23.4,9,9.57,07007
7,8,53,8,15.09,14,26.42,9,16.98,1,1.89,11,20.75,3,5.66,07008
7,9,168,22,13.1,39,23.21,15,8.93,6,3.57,54,32.14,6,3.57,07009
7,10,114,16,14.04,15,13.16,18,15.79,7,6.14,27,23.68,7,6.14,07010
7,11,170,17,10.0,34,20.0,31,18.24,3,1.76,61,35.88,4,2.35,07011
7,12,103,11,10.68,17,16.5,24,23.3,8,7.77,23,22.33,7,6.8,07012
7,13,119,16,13.45,17,14.29,12,10.08,6,5.04,42,35.29,10,8.4,07013
7,14,198,27,13.64,42,21.21,19,9.6,5,2.53,57,28.79,12,6.06,07014
7,15,106,13,12.26,24,22.64,25,23.58,2,1.89,23,21.7,3,2.83,07015
7,16,118,15,12.71,16,13.56,14,11.86,6,5.08,38,32.2,8,6.78,07016
7,17,102,22,21.57,17,16.67,10,9.8,4,3.92,29,28.43,5,4.9,07017
7,18,107,18,16.82,14,13.08,18,16.82,8,7.48,27,25.23,5,4.67,07018
7,19,266,36,13.53,55,20.68,29,10.9,17,6.39,79,29.7,17,6.39,07019
7,20,78,19,24.36,19,24.36,8,10.26,6,7.69,10,12.82,6,7.69,07020
7,21,171,34,19.88,32,18.71,25,14.62,8,4.68,37,21.64,11,6.43,07021
7,22,121,13,10.74,19,15.7,21,17.36,4,3.31,26,21.49,8,6.61,07022
7,23,101,14,13.86,24,23.76,18,17.82,7,6.93,26,25.74,2,1.98,07023
7,24,138,19,13.77,35,25.36,18,13.04,8,5.8,31,22.46,9,6.52,07024
7,25,183,20,10.93,39,21.31,37,20.22,4,2.19,47,25.68,10,5.46,07025
7,26,219,27,12.33,36,16.44,28,12.79,10,4.57,72,32.88,8,3.65,07026
7,27,248,39,15.73,50,20.16,34,13.71,12,4.84,75,30.24,8,3.23,07027
7,28,154,17,11.04,41,26.62,25,16.23,3,1.95,30,19.48,9,5.84,07028
7,29,102,8,7.84,25,24.51,30,29.41,2,1.96,19,18.63,4,3.92,07029
7,30,196,32,16.33,42,21.43,22,11.22,5,2.55,61,31.12,6,3.06,07030
7,31,177,26,14.69,44,24.86,23,12.99,7,3.95,39,22.03,8,4.52,07031
7,32,139,20,14.39,36,25.9,17,12.23,7,5.04,27,19.42,9,6.47,07032
7,33,121,18,14.88,22,18.18,16,13.22,6,4.96,36,29.75,7,5.79,07033
7,34,156,25,16.03,27,17.31,32,20.51,2,1.28,34,21.79,7,4.49,07034
7,35,91,17,18.68,15,16.48,10,10.99,4,4.4,27,29.67,2,2.2,07035
7,36,193,13,6.74,51,26.42,32,16.58,10,5.18,55,28.5,11,5.7,07036
7,37,80,14,17.5,20,25.0,10,12.5,2,2.5,18,22.5,6,7.5,07037
7,38,112,13,11.61,38,33.93,12,10.71,6,5.36,24,21.43,1,0.89,07038
7,39,135,19,14.07,30,22.22,17,12.59,2,1.48,43,31.85,3,2.22,07039
7,40,140,25,17.86,30,21.43,17,12.14,13,9.29,28,20.0,9,6.43,07040
7,41,128,20,15.63,24,18.75,18,14.06,3,2.34,30,23.44,7,5.47,07041
7,42,228,33,14.47,44,19.3,29,12.72,11,4.82,69,30.26,13,5.7,07042
7,43,169,31,18.34,36,21.3,17,10.06,8,4.73,43,25.44,9,5.33,07043
7,44,214,32,14.95,49,22.9,21,9.81,6,2.8,57,26.64,7,3.27,07044
7,45,240,33,13.75,36,15.0,61,25.42,15,6.25,63,26.25,5,2.08,07045
7,46,47,14,29.79,8,17.02,10,21.28,0,0.0,7,14.89,4,8.51,07046
7,47,129,15,11.63,27,20.93,24,18.6,4,3.1,25,19.38,6,4.65,07047
7,48,64,6,9.38,14,21.88,11,17.19,4,6.25,15,23.44,4,6.25,07048
7,49,92,14,15.22,11,11.96,15,16.3,1,1.09,30,32.61,2,2.17,07049
7,50,127,14,11.02,27,21.26,20,15.75,2,1.57,32,25.2,4,3.15,07050
7,51,137,16,11.68,33,24.09,22,16.06,2,1.46,33,24.09,7,5.11,07051
7,52,143,23,16.08,27,18.88,23,16.08,5,3.5,46,32.17,6,4.2,07052
7,53,137,17,12.41,22,16.06,21,15.33,14,10.22,33,24.09,8,5.84,07053
7,54,60,8,13.33,13,21.67,7,11.67,2,3.33,15,25.0,7,11.67,07054
7,55,142,19,13.38,27,19.01,23,16.2,4,2.82,39,27.46,8,5.63,07055
7,56,123,15,12.2,23,18.7,27,21.95,5,4.07,22,17.89,14,11.38,07056
7,57,127,16,12.6,23,18.11,20,15.75,4,3.15,36,28.35,9,7.09,07057
7,58,200,28,14.0,42,21.0,37,18.5,2,1.0,55,27.5,4,2.0,07058
7,59,79,14,17.72,16,20.25,13,16.46,6,7.59,16,20.25,2,2.53,07059
7,60,116,21,18.1,23,19.83,18,15.52,3,2.59,27,23.28,9,7.76,07060
7,61,137,14,10.22,23,16.79,34,24.82,9,6.57,26,18.98,5,3.65,07061
7,62,161,16,9.94,30,18.63,24,14.91,11,6.83,45,27.95,7,4.35,07062
7,63,129,22,17.05,17,13.18,20,15.5,7,5.43,37,28.68,8,6.2,07063
7,64,149,18,12.08,30,20.13,19,12.75,5,3.36,40,26.85,3,2.01,07064
7,65,124,15,12.1,36,29.03,13,10.48,4,3.23,32,25.81,5,4.03,07065
8,1,219,23,10.5,54,24.66,43,19.63,10,4.57,67,30.59,4,1.83,08001
8,2,126,17,13.49,22,17.46,22,17.46,3,2.38,36,28.57,8,6.35,08002
8,3,269,35,13.01,67,24.91,35,13.01,8,2.97,81,30.11,9,3.35,08003
8,4,194,22,11.34,47,24.23,32,16.49,7,3.61,53,27.32,5,2.58,08004
8,5,254,35,13.78,38,14.96,67,26.38,7,2.76,76,29.92,3,1.18,08005
8,6,242,37,15.29,43,17.77,65,26.86,14,5.79,52,21.49,6,2.48,08006
8,7,156,16,10.26,38,24.36,22,14.1,9,5.77,42,26.92,5,3.21,08007
8,8,241,37,15.35,46,19.09,39,16.18,9,3.73,71,29.46,17,7.05,08008
8,9,262,40,15.27,53,20.23,46,17.56,10,3.82,80,30.53,7,2.67,08009
8,10,255,39,15.29,49,19.22,36,14.12,9,3.53,85,33.33,11,4.31,08010
8,11,182,36,19.78,39,21.43,20,10.99,11,6.04,41,22.53,11,6.04,08011
8,12,173,35,20.23,40,23.12,21,12.14,8,4.62,40,23.12,13,7.51,08012
8,13,160,20,12.5,39,24.38,30,18.75,4,2.5,36,22.5,8,5.0,08013
8,14,150,25,16.67,27,18.0,26,17.33,3,2.0,39,26.0,14,9.33,08014
8,15,168,35,20.83,39,23.21,23,13.69,7,4.17,31,18.45,11,6.55,08015
8,16,210,26,12.38,38,18.1,28,13.33,15,7.14,68,32.38,12,5.71,08016
8,17,155,20,12.9,32,20.65,28,18.06,8,5.16,42,27.1,9,5.81,08017
8,18,99,21,21.21,21,21.21,17,17.17,7,7.07,20,20.2,4,4.04,08018
8,19,267,35,13.11,60,22.47,46,17.23,10,3.75,69,25.84,11,4.12,08019
8,20,168,28,16.67,40,23.81,27,16.07,6,3.57,43,25.6,8,4.76,08020
8,21,149,21,14.09,30,20.13,20,13.42,6,4.03,53,35.57,8,5.37,08021
8,22,178,26,14.61,29,16.29,38,21.35,4,2.25,55,30.9,9,5.06,08022
8,23,159,26,16.35,25,15.72,29,18.24,13,8.18,36,22.64,5,3.14,08023
8,24,226,35,15.49,38,16.81,46,20.35,7,3.1,56,24.78,15,6.64,08024
8,25,186,35,18.82,29,15.59,33,17.74,7,3.76,46,24.73,13,6.99,08025
8,26,149,25,16.78,31,20.81,25,16.78,6,4.03,31,20.81,10,6.71,08026
8,27,224,30,13.39,32,14.29,44,19.64,10,4.46,70,31.25,11,4.91,08027
8,28,179,29,16.2,40,22.35,29,16.2,7,3.91,41,22.91,9,5.03,08028
8,29,215,28,13.02,42,19.53,57,26.51,14,6.51,48,22.33,13,6.05,08029
8,30,147,21,14.29,33,22.45,18,12.24,5,3.4,47,31.97,6,4.08,08030
8,31,122,18,14.75,28,22.95,23,18.85,6,4.92,29,23.77,8,6.56,08031
8,32,308,45,14.61,67,21.75,37,12.01,19,6.17,85,27.6,12,3.9,08032
8,33,210,38,18.1,34,16.19,72,34.29,11,5.24,36,17.14,7,3.33,08033
8,34,216,31,14.35,39,18.06,31,14.35,13,6.02,60,27.78,13,6.02,08034
8,35,230,28,12.17,54,23.48,27,11.74,6,2.61,70,30.43,12,5.22,08035
8,36,182,32,17.58,24,13.19,36,19.78,8,4.4,49,26.92,9,4.95,08036
8,37,232,29,12.5,62,26.72,23,9.91,15,6.47,51,21.98,11,4.74,08037
8,38,189,35,18.52,40,21.16,22,11.64,6,3.17,48,25.4,19,10.05,08038
8,39,213,23,10.8,49,23.0,41,19.25,6,2.82,56,26.29,5,2.35,08039
8,40,188,36,19.15,51,27.13,22,11.7,6,3.19,49,26.06,8,4.26,08040
8,41,182,20,10.99,28,15.38,73,40.11,6,3.3,31,17.03,8,4.4,08041
8,42,218,32,14.68,46,21.1,26,11.93,5,2.29,69,31.65,14,6.42,08042
8,43,169,22,13.02,38,22.49,18,10.65,8,4.73,44,26.04,19,11.24,08043
8,44,160,24,15.0,28,17.5,30,18.75,8,5.0,47,29.38,4,2.5,08044
8,45,163,26,15.95,39,23.93,29,17.79,9,5.52,36,22.09,11,6.75,08045
8,46,148,18,12.16,25,16.89,27,18.24,8,5.41,41,27.7,10,6.76,08046
8,47,205,45,21.95,35,17.07,32,15.61,9,4.39,47,22.93,15,7.32,08047
8,48,152,24,15.79,29,19.08,26,17.11,8,5.26,32,21.05,13,8.55,08048
8,49,237,33,13.92,33,13.92,40,16.88,8,3.38,70,29.54,15,6.33,08049
8,50,193,23,11.92,47,24.35,34,17.62,6,3.11,56,29.02,6,3.11,08050
8,51,238,35,14.71,48,20.17,41,17.23,10,4.2,68,28.57,10,4.2,08051
8,52,222,39,17.57,48,21.62,32,14.41,9,4.05,55,24.77,10,4.5,08052
8,53,227,33,14.54,58,25.55,33,14.54,6,2.64,57,25.11,17,7.49,08053
8,54,198,36,18.18,42,21.21,26,13.13,14,7.07,46,23.23,10,5.05,08054
8,55,192,37,19.27,38,19.79,21,10.94,10,5.21,48,25.0,18,9.38,08055
8,56,206,29,14.08,50,24.27,38,18.45,5,2.43,56,27.18,7,3.4,08056
8,57,186,30,16.13,46,24.73,17,9.14,9,4.84,43,23.12,13,6.99,08057
8,58,233,44,18.88,58,24.89,40,17.17,3,1.29,59,25.32,10,4.29,08058
8,59,110,12,10.91,38,34.55,7,6.36,3,2.73,35,31.82,8,7.27,08059
8,60,169,27,15.98,34,20.12,17,10.06,8,4.73,63,37.28,4,2.37,08060
8,61,155,18,11.61,39,25.16,24,15.48,7,4.52,43,27.74,7,4.52,08061
8,62,178,16,8.99,41,23.03,28,15.73,4,2.25,61,34.27,4,2.25,08062
8,63,249,33,13.25,59,23.69,38,15.26,12,4.82,68,27.31,6,2.41,08063
8,64,169,26,15.38,26,15.38,31,18.34,11,6.51,42,24.85,14,8.28,08064
8,65,138,19,13.77,31,22.46,19,13.77,10,7.25,32,23.19,6,4.35,08065
8,66,263,48,18.25,64,24.33,39,14.83,7,2.66,52,19.77,16,6.08,08066
8,67,82,12,14.63,14,17.07,6,7.32,6,7.32,26,31.71,12,14.63,08067
8,68,121,24,19.83,26,21.49,12,9.92,3,2.48,31,25.62,10,8.26,08068
8,69,119,23,19.33,19,15.97,25,21.01,5,4.2,26,21.85,6,5.04,08069
8,70,221,33,14.93,41,18.55,17,7.69,13,5.88,60,27.15,23,10.41,08070
9,1,227,34,14.98,42,18.5,25,11.01,8,3.52,69,30.4,9,3.96,09001
9,2,218,24,11.01,31,14.22,17,7.8,13,5.96,48,22.02,16,7.34,09002
9,3,120,26,21.67,32,26.67,6,5.0,8,6.67,29,24.17,10,8.33,09003
9,4,199,30,15.08,43,21.61,18,9.05,7,3.52,55,27.64,12,6.03,09004
9,5,179,28,15.64,40,22.35,9,5.03,9,5.03,53,29.61,10,5.59,09005
9,6,207,16,7.73,44,21.26,12,5.8,8,3.86,53,25.6,10,4.83,09006
9,7,181,31,17.13,39,21.55,18,9.94,6,3.31,48,26.52,15,8.29,09007
9,8,150,22,14.67,31,20.67,7,4.67,9,6.0,44,29.33,5,3.33,09008
9,9,207,44,21.26,41,19.81,23,11.11,13,6.28,62,29.95,7,3.38,09009
9,10,185,39,21.08,32,17.3,22,11.89,3,1.62,37,20.0,12,6.49,09010
9,11,103,16,15.53,17,16.5,10,9.71,8,7.77,21,20.39,8,7.77,09011
9,12,194,29,14.95,44,22.68,19,9.79,6,3.09,49,25.26,10,5.15,09012
9,13,278,37,13.31,73,26.26,12,4.32,14,5.04,73,26.26,18,6.47,09013
9,14,272,40,14.71,48,17.65,14,5.15,9,3.31,79,29.04,6,2.21,09014
9,15,91,19,20.88,26,28.57,8,8.79,2,2.2,21,23.08,3,3.3,09015
9,16,169,25,14.79,36,21.3,18,10.65,6,3.55,44,26.04,9,5.33,09016
9,17,169,33,19.53,39,23.08,7,4.14,7,4.14,42,24.85,12,7.1,09017
9,18,195,41,21.03,46,23.59,9,4.62,10,5.13,52,26.67,8,4.1,09018
9,19,227,42,18.5,33,14.54,17,7.49,10,4.41,50,22.03,13,5.73,09019
9,20,235,31,13.19,52,22.13,11,4.68,12,5.11,59,25.11,15,6.38,09020
9,21,155,28,18.06,22,14.19,11,7.1,7,4.52,36,23.23,5,3.23,09021
9,22,217,24,11.06,52,23.96,21,9.68,2,0.92,66,30.41,11,5.07,09022
9,23,144,21,14.58,24,16.67,10,6.94,8,5.56,38,26.39,7,4.86,09023
9,24,93,19,20.43,19,20.43,8,8.6,7,7.53,15,16.13,9,9.68,09024
9,25,77,10,12.99,16,20.78,6,7.79,4,5.19,18,23.38,3,3.9,09025
9,26,134,24,17.91,27,20.15,10,7.46,6,4.48,30,22.39,10,7.46,09026
9,27,112,19,16.96,21,18.75,9,8.04,4,3.57,24,21.43,6,5.36,09027
9,28,101,12,11.88,23,22.77,11,10.89,4,3.96,23,22.77,12,11.88,09028
9,29,152,28,18.42,28,18.42,11,7.24,6,3.95,40,26.32,16,10.53,09029
9,30,165,21,12.73,18,10.91,19,11.52,10,6.06,38,23.03,9,5.45,09030
9,31,169,28,16.57,34,20.12,12,7.1,7,4.14,41,24.26,11,6.51,09031
9,32,202,28,13.86,45,22.28,17,8.42,10,4.95,47,23.27,15,7.43,09032
9,33,122,19,15.57,26,21.31,10,8.2,9,7.38,25,20.49,15,12.3,09033
9,34,157,29,18.47,32,20.38,9,5.73,11,7.01,50,31.85,11,7.01,09034
9,35,205,32,15.61,44,21.46,13,6.34,12,5.85,51,24.88,14,6.83,09035
9,36,90,9,10.0,15,16.67,6,6.67,8,8.89,25,27.78,4,4.44,09036
9,37,122,10,8.2,31,25.41,31,25.41,6,4.92,15,12.3,6,4.92,09037
9,38,182,24,13.19,49,26.92,9,4.95,7,3.85,49,26.92,11,6.04,09038
9,39,183,27,14.75,31,16.94,9,4.92,6,3.28,55,30.05,9,4.92,09039
9,40,229,36,15.72,46,20.09,29,12.66,6,2.62,62,27.07,7,3.06,09040
9,41,225,39,17.33,45,20.0,20,8.89,12,5.33,55,24.44,19,8.44,09041
9,42,117,20,17.09,27,23.08,8,6.84,6,5.13,31,26.5,9,7.69,09042
9,43,131,21,16.03,24,18.32,7,5.34,5,3.82,43,32.82,11,8.4,09043
9,44,128,18,14.06,33,25.78,11,8.59,6,4.69,30,23.44,10,7.81,09044
9,45,185,25,13.51,49,26.49,16,8.65,5,2.7,47,25.41,8,4.32,09045
9,46,164,22,13.41,32,19.51,15,9.15,6,3.66,48,29.27,11,6.71,09046
9,47,106,18,16.98,21,19.81,9,8.49,6,5.66,22,20.75,7,6.6,09047
9,48,212,31,14.62,42,19.81,15,7.08,8,3.77,76,35.85,16,7.55,09048
9,49,68,9,13.24,11,16.18,4,5.88,5,7.35,15,22.06,4,5.88,09049
9,50,75,14,18.67,20,26.67,5,6.67,2,2.67,18,24.0,1,1.33,09050
9,51,139,23,16.55,20,14.39,5,3.6,7,5.04,29,20.86,12,8.63,09051
9,52,211,31,14.69,43,20.38,22,10.43,8,3.79,59,27.96,7,3.32,09052
9,53,144,27,18.75,34,23.61,8,5.56,9,6.25,35,24.31,10,6.94,09053
9,54,166,32,19.28,35,21.08,12,7.23,9,5.42,51,30.72,4,2.41,09054
9,55,100,17,17.0,19,19.0,10,10.0,2,2.0,26,26.0,6,6.0,09055
9,56,126,27,21.43,27,21.43,4,3.17,3,2.38,36,28.57,9,7.14,09056
9,57,108,16,14.81,29,26.85,15,13.89,2,1.85,17,15.74,4,3.7,09057
9,58,154,23,14.94,37,24.03,20,12.99,7,4.55,46,29.87,7,4.55,09058
10,1,103,14,13.59,20,19.42,8,7.77,7,6.8,20,19.42,8,7.77,10001
10,2,96,13,13.54,26,27.08,26,27.08,1,1.04,5,5.21,10,10.42,10002
10,3,168,20,11.9,31,18.45,52,30.95,8,4.76,6,3.57,18,10.71,10003
10,4,119,13,10.92,23,19.33,43,36.13,5,4.2,14,11.76,9,7.56,10004
10,5,115,15,13.04,22,19.13,40,34.78,6,5.22,9,7.83,8,6.96,10005
10,6,152,24,15.79,25,16.45,36,23.68,7,4.61,38,25.0,11,7.24,10006
10,7,27,1,3.7,4,14.81,7,25.93,2,7.41,4,14.81,3,11.11,10007
10,8,124,13,10.48,29,23.39,40,32.26,5,4.03,10,8.06,8,6.45,10008
10,9,155,14,9.03,43,27.74,41,26.45,8,5.16,7,4.52,16,10.32,10009
10,10,130,18,13.85,35,26.92,28,21.54,11,8.46,10,7.69,8,6.15,10010
10,11,122,11,9.02,33,27.05,31,25.41,8,6.56,16,13.11,6,4.92,10011
10,12,88,7,7.95,20,22.73,16,18.18,5,5.68,16,18.18,10,11.36,10012
10,13,120,14,11.67,28,23.33,27,22.5,7,5.83,12,10.0,13,10.83,10013
10,14,140,24,17.14,39,27.86,20,14.29,8,5.71,13,9.29,13,9.29,10014
10,15,54,9,16.67,12,22.22,13,24.07,2,3.7,2,3.7,6,11.11,10015
10,16,138,13,9.42,37,26.81,44,31.88,7,5.07,10,7.25,10,7.25,10016
10,17,97,8,8.25,22,22.68,31,31.96,1,1.03,5,5.15,10,10.31,10017
10,18,100,18,18.0,23,23.0,13,13.0,7,7.0,17,17.0,8,8.0,10018
10,19,139,21,15.11,35,25.18,29,20.86,3,2.16,12,8.63,17,12.23,10019
10,20,101,13,12.87,27,26.73,14,13.86,6,5.94,11,10.89,8,7.92,10020
10,21,93,12,12.9,24,25.81,16,17.2,7,7.53,7,7.53,8,8.6,10021
10,22,31,2,6.45,5,16.13,9,29.03,1,3.23,3,9.68,4,12.9,10022
10,23,102,7,6.86,25,24.51,28,27.45,7,6.86,12,11.76,11,10.78,10023
10,24,106,11,10.38,32,30.19,19,17.92,2,1.89,9,8.49,16,15.09,10024
10,25,162,39,24.07,35,21.6,16,9.88,8,4.94,25,15.43,20,12.35,10025
10,26,92,11,11.96,27,29.35,16,17.39,6,6.52,11,11.96,6,6.52,10026
10,27,147,17,11.56,44,29.93,28,19.05,6,4.08,18,12.24,13,8.84,10027
10,28,147,21,14.29,29,19.73,26,17.69,8,5.44,36,24.49,7,4.76,10028
10,29,125,17,13.6,25,20.0,24,19.2,6,4.8,36,28.8,7,5.6,10029
10,30,136,16,11.76,47,34.56,19,13.97,10,7.35,9,6.62,12,8.82,10030
10,31,129,23,17.83,31,24.03,20,15.5,9,6.98,14,10.85,12,9.3,10031
10,32,125,17,13.6,27,21.6,22,17.6,2,1.6,19,15.2,16,12.8,10032
10,33,104,20,19.23,31,29.81,10,9.62,7,6.73,14,13.46,11,10.58,10033
10,34,124,20,16.13,29,23.39,19,15.32,7,5.65,17,13.71,14,11.29,10034
10,35,129,20,15.5,22,17.05,18,13.95,12,9.3,17,13.18,16,12.4,10035
10,36,151,24,15.89,42,27.81,6,3.97,9,5.96,27,17.88,16,10.6,10036
10,37,94,13,13.83,19,20.21,12,12.77,7,7.45,20,21.28,7,7.45,10037
10,38,167,19,11.38,40,23.95,26,15.57,5,2.99,21,12.57,8,4.79,10038
10,39,124,13,10.48,37,29.84,19,15.32,10,8.06,10,8.06,10,8.06,10039
10,40,117,12,10.26,25,21.37,47,40.17,4,3.42,15,12.82,6,5.13,10040
10,41,139,24,17.27,39,28.06,28,20.14,8,5.76,13,9.35,8,5.76,10041
10,42,129,11,8.53,42,32.56,35,27.13,3,2.33,9,6.98,7,5.43,10042
10,43,47,7,14.89,7,14.89,6,12.77,3,6.38,9,19.15,6,12.77,10043
10,44,93,10,10.75,17,18.28,23,24.73,6,6.45,15,16.13,10,10.75,10044
10,45,75,6,8.0,16,21.33,15,20.0,2,2.67,18,24.0,8,10.67,10045
10,46,110,22,20.0,38,34.55,8,7.27,5,4.55,8,7.27,15,13.64,10046
10,47,123,14,11.38,32,26.02,35,28.46,3,2.44,13,10.57,13,10.57,10047
10,48,100,20,20.0,17,17.0,17,17.0,8,8.0,17,17.0,9,9.0,10048
10,49,87,11,12.64,24,27.59,18,20.69,6,6.9,12,13.79,5,5.75,10049
11,1,180,20,11.11,36,20.0,80,44.44,5,2.78,13,7.22,4,2.22,11001
11,2,167,24,14.37,51,30.54,45,26.95,10,5.99,5,2.99,13,7.78,11002
11,3,142,11,7.75,27,19.01,75,52.82,2,1.41,9,6.34,8,5.63,11003
11,4,202,12,5.94,34,16.83,108,53.47,7,3.47,11,5.45,4,1.98,11004
11,5,99,10,10.1,14,14.14,45,45.45,9,9.09,6,6.06,9,9.09,11005
11,6,218,27,12.39,48,22.02,69,31.65,13,5.96,11,5.05,12,5.5,11006
11,7,174,15,8.62,39,22.41,86,49.43,5,2.87,14,8.05,4,2.3,11007
11,8,185,16,8.65,39,21.08,81,43.78,8,4.32,10,5.41,13,7.03,11008
11,9,186,11,5.91,23,12.37,124,66.67,3,1.61,7,3.76,8,4.3,11009
11,10,141,11,7.8,23,16.31,68,48.23,3,2.13,7,4.96,13,9.22,11010
11,11,204,13,6.37,48,23.53,95,46.57,8,3.92,9,4.41,7,3.43,11011
11,12,259,9,3.47,24,9.27,193,74.52,1,0.39,12,4.63,5,1.93,11012
11,13,180,14,7.78,24,13.33,114,63.33,6,3.33,9,5.0,3,1.67,11013
11,14,166,11,6.63,27,16.27,112,67.47,3,1.81,4,2.41,4,2.41,11014
11,15,145,15,10.34,20,13.79,82,56.55,4,2.76,5,3.45,6,4.14,11015
11,16,197,18,9.14,26,13.2,108,54.82,4,2.03,11,5.58,13,6.6,11016
11,17,203,30,14.78,34,16.75,84,41.38,8,3.94,11,5.42,15,7.39,11017
11,18,107,7,6.54,22,20.56,48,44.86,4,3.74,7,6.54,10,9.35,11018
11,19,133,14,10.53,26,19.55,65,48.87,4,3.01,8,6.02,4,3.01,11019
11,20,175,3,1.71,14,8.0,138,78.86,1,0.57,5,2.86,3,1.71,11020
11,21,227,14,6.17,32,14.1,143,63.0,1,0.44,8,3.52,9,3.96,11021
11,22,175,14,8.0,15,8.57,106,60.57,6,3.43,9,5.14,6,3.43,11022
11,23,171,9,5.26,13,7.6,121,70.76,4,2.34,5,2.92,9,5.26,11023
11,24,408,22,5.39,26,6.37,307,75.25,5,1.23,11,2.7,7,1.72,11024
11,25,126,6,4.76,18,14.29,87,69.05,0,0.0,6,4.76,1,0.79,11025
11,26,215,16,7.44,50,23.26,91,42.33,6,2.79,16,7.44,10,4.65,11026
11,27,160,10,6.25,19,11.88,107,66.88,2,1.25,6,3.75,7,4.38,11027
11,28,182,22,12.09,29,15.93,95,52.2,0,0.0,7,3.85,14,7.69,11028
