ward,precinct,total,Robert J. Baren (Dean),Robert J. Baren (Dean) Percent,Deborah L. Graham (Dean),Deborah L. Graham (Dean) Percent,Thomas E. Simmons (Dean),Thomas E. Simmons (Dean) Percent,Anna Eleanor Roosevelt (Dean),Anna Eleanor Roosevelt (Dean) Percent,Eric Emmett Davis (Dean),Eric Emmett Davis (Dean) Percent,Barbara Burchjolla (Dean),Barbara Burchjolla (Dean) Percent,Vincent R. Williams (Dean),Vincent R. Williams (Dean) Percent,Camille Y. Lilly (Dean),Camille Y. Lilly (Dean) Percent,Richard Breyer (Kucinich),Richard Breyer (Kucinich) Percent,Mary Jean Cravens (Kucinich),Mary Jean Cravens (Kucinich) Percent,Babak Bakhtiari (Kucinich),Babak Bakhtiari (Kucinich) Percent,Leslie Roberts (Kucinich),Leslie Roberts (Kucinich) Percent,Bruce Samuels (Kucinich),Bruce Samuels (Kucinich) Percent,Margo Dumelle (Kucinich),Margo Dumelle (Kucinich) Percent,Mary O'Kiersey (Kucinich),Mary O'Kiersey (Kucinich) Percent,Barbara A. Mullarkey (Kucinich),Barbara A. Mullarkey (Kucinich) Percent,Susan S. Pritzker (Gephardt),Susan S. Pritzker (Gephardt) Percent,Reanetta Hunt (Gephardt),Reanetta Hunt (Gephardt) Percent,Peter A. Fosco (Gephardt),Peter A. Fosco (Gephardt) Percent,Javier Ramirez (Gephardt),Javier Ramirez (Gephardt) Percent,Darlena Williams-Burnett (Edwards),Darlena Williams-Burnett (Edwards) Percent,Larry R. Rogers (Edwards),Larry R. Rogers (Edwards) Percent,Gabriella S. Pehanich (Edwards),Gabriella S. Pehanich (Edwards) Percent,Ajay Niranjan Shah (Edwards),Ajay Niranjan Shah (Edwards) Percent,Mercedes A. Laing (Edwards),Mercedes A. Laing (Edwards) Percent,Frank M. Bass (Edwards),Frank M. Bass (Edwards) Percent,Tania Irene Lopez (Edwards),Tania Irene Lopez (Edwards) Percent,Keith A. Romero (Edwards),Keith A. Romero (Edwards) Percent,Vi Daley (Clark),Vi Daley (Clark) Percent,Thomas Gary (Clark),Thomas Gary (Clark) Percent,Bettylu K. Saltzman (Clark),Bettylu K. Saltzman (Clark) Percent,Ted Tetzlaff (Clark),Ted Tetzlaff (Clark) Percent,Judy Klutznick (Clark),Judy Klutznick (Clark) Percent,Robert C. Howard (Clark),Robert C. Howard (Clark) Percent,Bette Cerf Hill (Clark),Bette Cerf Hill (Clark) Percent,Robert L. Fogel (Clark),Robert L. Fogel (Clark) Percent,Laura Perna (Kerry),Laura Perna (Kerry) Percent,Victor Johnson (Kerry),Victor Johnson (Kerry) Percent,Lisa Ellman (Kerry),Lisa Ellman (Kerry) Percent,Carl Harper (Kerry),Carl Harper (Kerry) Percent,Audra Wilson (Kerry),Audra Wilson (Kerry) Percent,Kimberly Johnson (Kerry),Kimberly Johnson (Kerry) Percent,Mike Keating (Kerry),Mike Keating (Kerry) Percent,Nathaniel Benson (Lieberman),Nathaniel Benson (Lieberman) Percent,Desiree Grode (Lieberman),Desiree Grode (Lieberman) Percent,Alissa Krinsky (Lieberman),Alissa Krinsky (Lieberman) Percent,Daniel Logan (Lieberman),Daniel Logan (Lieberman) Percent,Andrew May (Lieberman),Andrew May (Lieberman) Percent,Miriam Moore-Hunter (Lieberman),Miriam Moore-Hunter (Lieberman) Percent,Barton Moy (Lieberman),Barton Moy (Lieberman) Percent,Betty Wong (Lieberman),Betty Wong (Lieberman) Percent,Christine K. Cook (Braun),Christine K. Cook (Braun) Percent,Michael J. Fitzgerald (Braun),Michael J. Fitzgerald (Braun) Percent,Bobbie L. Steele (Braun),Bobbie L. Steele (Braun) Percent,Calvin Giles (Braun),Calvin Giles (Braun) Percent,Joyce Washington (Braun),Joyce Washington (Braun) Percent,John Troelstrup (Braun),John Troelstrup (Braun) Percent,Mattie Hunter (Braun),Mattie Hunter (Braun) Percent,precinct_id
4,42,1266,24,1.9,38,3.0,18,1.42,26,2.05,31,2.45,17,1.34,19,1.5,22,1.74,9,0.71,13,1.03,9,0.71,15,1.18,9,0.71,11,0.87,9,0.71,13,1.03,16,1.26,9,0.71,3,0.24,6,0.47,12,0.95,33,2.61,8,0.63,13,1.03,13,1.03,10,0.79,7,0.55,10,0.79,9,0.71,5,0.39,3,0.24,2,0.16,6,0.47,9,0.71,4,0.32,4,0.32,74,5.85,85,6.71,82,6.48,88,6.95,89,7.03,88,6.95,74,5.85,2,0.16,3,0.24,0,0.0,1,0.08,0,0.0,3,0.24,0,0.0,5,0.39,19,1.5,14,1.11,28,2.21,10,0.79,34,2.69,6,0.47,17,1.34,04042
4,53,910,20,2.2,30,3.3,18,1.98,24,2.64,23,2.53,16,1.76,19,2.09,20,2.2,2,0.22,8,0.88,4,0.44,7,0.77,6,0.66,3,0.33,3,0.33,2,0.22,9,0.99,2,0.22,2,0.22,1,0.11,13,1.43,20,2.2,7,0.77,8,0.88,6,0.66,9,0.99,8,0.88,6,0.66,3,0.33,3,0.33,1,0.11,0,0.0,1,0.11,5,0.55,0,0.0,0,0.0,57,6.26,57,6.26,55,6.04,54,5.93,56,6.15,62,6.81,51,5.6,4,0.44,3,0.33,4,0.44,6,0.66,3,0.33,4,0.44,3,0.33,10,1.1,15,1.65,19,2.09,21,2.31,12,1.32,26,2.86,11,1.21,16,1.76,04053
11,14,400,8,2.0,6,1.5,6,1.5,9,2.25,6,1.5,11,2.75,6,1.5,8,2.0,6,1.5,8,2.0,4,1.0,6,1.5,3,0.75,8,2.0,10,2.5,6,1.5,3,0.75,2,0.5,3,0.75,1,0.25,5,1.25,6,1.5,5,1.25,4,1.0,5,1.25,5,1.25,8,2.0,7,1.75,1,0.25,0,0.0,1,0.25,0,0.0,1,0.25,3,0.75,1,0.25,2,0.5,23,5.75,24,6.0,26,6.5,28,7.0,26,6.5,26,6.5,25,6.25,0,0.0,0,0.0,0,0.0,0,0.0,1,0.25,1,0.25,2,0.5,6,1.5,4,1.0,2,0.5,1,0.25,2,0.5,1,0.25,2,0.5,2,0.5,11014
11,27,360,9,2.5,7,1.94,4,1.11,4,1.11,5,1.39,4,1.11,3,0.83,4,1.11,6,1.67,4,1.11,4,1.11,4,1.11,5,1.39,5,1.39,5,1.39,5,1.39,3,0.83,4,1.11,8,2.22,1,0.28,5,1.39,2,0.56,4,1.11,4,1.11,2,0.56,2,0.56,3,0.83,4,1.11,3,0.83,1,0.28,1,0.28,1,0.28,1,0.28,2,0.56,0,0.0,2,0.56,25,6.94,24,6.67,26,7.22,27,7.5,23,6.39,23,6.39,21,5.83,0,0.0,0,0.0,3,0.83,1,0.28,0,0.0,1,0.28,3,0.83,8,2.22,0,0.0,5,1.39,4,1.11,1,0.28,3,0.83,1,0.28,5,1.39,11027
11,28,441,19,4.31,16,3.63,17,3.85,18,4.08,17,3.85,13,2.95,17,3.85,14,3.17,4,0.91,4,0.91,3,0.68,2,0.45,2,0.45,3,0.68,8,1.81,3,0.68,5,1.13,1,0.23,0,0.0,3,0.68,3,0.68,2,0.45,2,0.45,2,0.45,1,0.23,3,0.68,1,0.23,1,0.23,3,0.68,0,0.0,2,0.45,1,0.23,1,0.23,5,1.13,4,0.91,1,0.23,27,6.12,27,6.12,27,6.12,27,6.12,25,5.67,27,6.12,27,6.12,1,0.23,1,0.23,1,0.23,1,0.23,0,0.0,0,0.0,0,0.0,5,1.13,4,0.91,6,1.36,0,0.0,1,0.23,2,0.45,0,0.0,3,0.68,11028
11,34,171,6,3.51,1,0.58,3,1.75,4,2.34,3,1.75,1,0.58,1,0.58,4,2.34,0,0.0,1,0.58,1,0.58,1,0.58,0,0.0,1,0.58,1,0.58,4,2.34,2,1.17,2,1.17,4,2.34,1,0.58,2,1.17,6,3.51,0,0.0,1,0.58,1,0.58,1,0.58,3,1.75,0,0.0,0,0.0,2,1.17,0,0.0,2,1.17,4,2.34,7,4.09,3,1.75,4,2.34,10,5.85,8,4.68,7,4.09,8,4.68,7,4.09,8,4.68,9,5.26,0,0.0,1,0.58,0,0.0,0,0.0,1,0.58,3,1.75,0,0.0,1,0.58,3,1.75,6,3.51,2,1.17,2,1.17,7,4.09,0,0.0,2,1.17,11034
11,36,124,2,1.61,3,2.42,3,2.42,6,4.84,2,1.61,4,3.23,2,1.61,2,1.61,1,0.81,2,1.61,2,1.61,0,0.0,1,0.81,1,0.81,0,0.0,0,0.0,1,0.81,1,0.81,1,0.81,2,1.61,2,1.61,2,1.61,2,1.61,2,1.61,3,2.42,4,3.23,4,3.23,4,3.23,1,0.81,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,2.42,5,4.03,4,3.23,5,4.03,6,4.84,5,4.03,4,3.23,2,1.61,1,0.81,2,1.61,1,0.81,1,0.81,1,0.81,2,1.61,6,4.84,2,1.61,2,1.61,1,0.81,1,0.81,2,1.61,1,0.81,1,0.81,11036
11,46,167,1,0.6,3,1.8,4,2.4,3,1.8,3,1.8,1,0.6,1,0.6,3,1.8,4,2.4,2,1.2,2,1.2,2,1.2,1,0.6,1,0.6,1,0.6,0,0.0,1,0.6,1,0.6,3,1.8,1,0.6,1,0.6,2,1.2,0,0.0,1,0.6,1,0.6,1,0.6,1,0.6,1,0.6,4,2.4,2,1.2,1,0.6,2,1.2,2,1.2,2,1.2,2,1.2,1,0.6,11,6.59,9,5.39,11,6.59,12,7.19,10,5.99,10,5.99,12,7.19,0,0.0,0,0.0,0,0.0,0,0.0,2,1.2,1,0.6,0,0.0,1,0.6,1,0.6,2,1.2,5,2.99,2,1.2,4,2.4,0,0.0,3,1.8,11046
12,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12001
12,6,38,1,2.63,0,0.0,0,0.0,1,2.63,3,7.89,0,0.0,1,2.63,1,2.63,0,0.0,2,5.26,1,2.63,2,5.26,1,2.63,0,0.0,0,0.0,1,2.63,0,0.0,0,0.0,0,0.0,1,2.63,1,2.63,0,0.0,0,0.0,1,2.63,0,0.0,1,2.63,0,0.0,0,0.0,1,2.63,0,0.0,1,2.63,0,0.0,1,2.63,1,2.63,1,2.63,0,0.0,0,0.0,0,0.0,1,2.63,3,7.89,2,5.26,1,2.63,1,2.63,0,0.0,1,2.63,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.63,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,7.89,12006
12,7,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12007
12,18,255,6,2.35,5,1.96,5,1.96,1,0.39,3,1.18,4,1.57,0,0.0,1,0.39,2,0.78,2,0.78,3,1.18,3,1.18,1,0.39,3,1.18,1,0.39,3,1.18,2,0.78,3,1.18,0,0.0,1,0.39,5,1.96,3,1.18,0,0.0,1,0.39,0,0.0,1,0.39,0,0.0,0,0.0,2,0.78,1,0.39,0,0.0,0,0.0,0,0.0,4,1.57,4,1.57,2,0.78,19,7.45,19,7.45,19,7.45,18,7.06,15,5.88,18,7.06,17,6.67,1,0.39,0,0.0,1,0.39,1,0.39,0,0.0,0,0.0,1,0.39,4,1.57,5,1.96,8,3.14,4,1.57,4,1.57,5,1.96,4,1.57,4,1.57,12018
16,15,451,21,4.66,19,4.21,8,1.77,11,2.44,14,3.1,9,2.0,10,2.22,6,1.33,4,0.89,2,0.44,0,0.0,2,0.44,1,0.22,2,0.44,2,0.44,5,1.11,2,0.44,4,0.89,1,0.22,3,0.67,11,2.44,23,5.1,2,0.44,1,0.22,1,0.22,1,0.22,2,0.44,1,0.22,4,0.89,5,1.11,2,0.44,1,0.22,2,0.44,9,2.0,2,0.44,4,0.89,24,5.32,25,5.54,24,5.32,20,4.43,21,4.66,25,5.54,17,3.77,1,0.22,0,0.0,2,0.44,2,0.44,1,0.22,0,0.0,1,0.22,6,1.33,5,1.11,10,2.22,16,3.55,3,0.67,20,4.43,1,0.22,13,2.88,16015
16,16,392,17,4.34,14,3.57,11,2.81,12,3.06,13,3.32,7,1.79,9,2.3,7,1.79,3,0.77,5,1.28,2,0.51,4,1.02,3,0.77,3,0.77,2,0.51,8,2.04,9,2.3,6,1.53,0,0.0,1,0.26,12,3.06,13,3.32,2,0.51,0,0.0,3,0.77,2,0.51,3,0.77,1,0.26,1,0.26,8,2.04,1,0.26,1,0.26,3,0.77,9,2.3,5,1.28,1,0.26,15,3.83,15,3.83,19,4.85,13,3.32,14,3.57,13,3.32,14,3.57,1,0.26,2,0.51,0,0.0,2,0.51,2,0.51,0,0.0,2,0.51,4,1.02,9,2.3,9,2.3,14,3.57,7,1.79,13,3.32,4,1.02,6,1.53,16016
16,18,334,12,3.59,18,5.39,12,3.59,8,2.4,8,2.4,7,2.1,7,2.1,6,1.8,0,0.0,1,0.3,2,0.6,6,1.8,2,0.6,1,0.3,3,0.9,7,2.1,5,1.5,1,0.3,0,0.0,1,0.3,15,4.49,13,3.89,2,0.6,4,1.2,2,0.6,3,0.9,7,2.1,2,0.6,1,0.3,1,0.3,0,0.0,0,0.0,2,0.6,12,3.59,3,0.9,0,0.0,14,4.19,12,3.59,14,4.19,9,2.69,10,2.99,20,5.99,9,2.69,3,0.9,1,0.3,0,0.0,2,0.6,0,0.0,2,0.6,0,0.0,5,1.5,4,1.2,5,1.5,15,4.49,5,1.5,13,3.89,3,0.9,3,0.9,16018
16,20,483,15,3.11,18,3.73,11,2.28,16,3.31,12,2.48,8,1.66,11,2.28,8,1.66,5,1.04,3,0.62,1,0.21,4,0.83,4,0.83,3,0.62,3,0.62,8,1.66,4,0.83,1,0.21,1,0.21,2,0.41,14,2.9,18,3.73,2,0.41,3,0.62,4,0.83,2,0.41,3,0.62,2,0.41,2,0.41,3,0.62,1,0.21,1,0.21,3,0.62,9,1.86,6,1.24,4,0.83,19,3.93,20,4.14,19,3.93,22,4.55,19,3.93,20,4.14,18,3.73,3,0.62,2,0.41,1,0.21,0,0.0,0,0.0,3,0.62,0,0.0,9,1.86,16,3.31,17,3.52,11,2.28,8,1.66,27,5.59,7,1.45,13,2.69,16020
16,22,395,11,2.78,16,4.05,11,2.78,9,2.28,11,2.78,7,1.77,10,2.53,5,1.27,3,0.76,2,0.51,3,0.76,3,0.76,2,0.51,2,0.51,2,0.51,1,0.25,3,0.76,4,1.01,1,0.25,0,0.0,7,1.77,12,3.04,3,0.76,2,0.51,2,0.51,5,1.27,2,0.51,2,0.51,3,0.76,4,1.01,1,0.25,0,0.0,0,0.0,7,1.77,3,0.76,1,0.25,22,5.57,22,5.57,21,5.32,21,5.32,21,5.32,26,6.58,20,5.06,0,0.0,1,0.25,1,0.25,0,0.0,1,0.25,2,0.51,1,0.25,4,1.01,9,2.28,3,0.76,12,3.04,4,1.01,12,3.04,4,1.01,7,1.77,16022
16,24,250,9,3.6,7,2.8,3,1.2,8,3.2,4,1.6,2,0.8,4,1.6,4,1.6,3,1.2,1,0.4,2,0.8,1,0.4,1,0.4,1,0.4,1,0.4,3,1.2,0,0.0,2,0.8,0,0.0,1,0.4,5,2.0,5,2.0,1,0.4,1,0.4,3,1.2,2,0.8,1,0.4,1,0.4,1,0.4,1,0.4,1,0.4,0,0.0,1,0.4,3,1.2,0,0.0,2,0.8,16,6.4,15,6.0,17,6.8,16,6.4,12,4.8,15,6.0,11,4.4,2,0.8,1,0.4,0,0.0,0,0.0,0,0.0,1,0.4,0,0.0,2,0.8,6,2.4,8,3.2,6,2.4,6,2.4,9,3.6,4,1.6,5,2.0,16024
16,29,248,7,2.82,14,5.65,4,1.61,4,1.61,5,2.02,2,0.81,7,2.82,0,0.0,1,0.4,2,0.81,0,0.0,1,0.4,0,0.0,2,0.81,1,0.4,5,2.02,4,1.61,4,1.61,2,0.81,2,0.81,8,3.23,13,5.24,1,0.4,1,0.4,0,0.0,2,0.81,2,0.81,0,0.0,1,0.4,6,2.42,1,0.4,0,0.0,1,0.4,7,2.82,2,0.81,5,2.02,6,2.42,10,4.03,9,3.63,9,3.63,7,2.82,16,6.45,5,2.02,1,0.4,0,0.0,0,0.0,0,0.0,0,0.0,1,0.4,0,0.0,3,1.21,7,2.82,11,4.44,14,5.65,5,2.02,13,5.24,3,1.21,6,2.42,16029
16,30,297,10,3.37,13,4.38,11,3.7,10,3.37,9,3.03,3,1.01,9,3.03,6,2.02,2,0.67,1,0.34,0,0.0,3,1.01,1,0.34,1,0.34,1,0.34,6,2.02,1,0.34,1,0.34,2,0.67,2,0.67,9,3.03,9,3.03,1,0.34,0,0.0,2,0.67,4,1.35,4,1.35,1,0.34,2,0.67,1,0.34,0,0.0,1,0.34,1,0.34,8,2.69,2,0.67,1,0.34,9,3.03,7,2.36,10,3.37,9,3.03,8,2.69,16,5.39,6,2.02,1,0.34,1,0.34,2,0.67,2,0.67,1,0.34,1,0.34,1,0.34,8,2.69,10,3.37,12,4.04,9,3.03,7,2.36,18,6.06,6,2.02,7,2.36,16030
16,33,476,20,4.2,20,4.2,11,2.31,10,2.1,10,2.1,9,1.89,12,2.52,12,2.52,2,0.42,0,0.0,1,0.21,3,0.63,3,0.63,0,0.0,2,0.42,5,1.05,1,0.21,5,1.05,1,0.21,1,0.21,19,3.99,14,2.94,7,1.47,8,1.68,7,1.47,7,1.47,10,2.1,9,1.89,2,0.42,2,0.42,1,0.21,1,0.21,3,0.63,5,1.05,4,0.84,3,0.63,20,4.2,22,4.62,24,5.04,26,5.46,20,4.2,23,4.83,18,3.78,1,0.21,1,0.21,2,0.42,4,0.84,1,0.21,1,0.21,1,0.21,4,0.84,7,1.47,7,1.47,17,3.57,5,1.05,10,2.1,6,1.26,6,1.26,16033
20,27,345,14,4.06,14,4.06,14,4.06,10,2.9,15,4.35,6,1.74,8,2.32,5,1.45,3,0.87,2,0.58,1,0.29,5,1.45,4,1.16,2,0.58,3,0.87,3,0.87,1,0.29,7,2.03,0,0.0,1,0.29,6,1.74,10,2.9,1,0.29,4,1.16,1,0.29,2,0.58,1,0.29,0,0.0,3,0.87,4,1.16,0,0.0,0,0.0,1,0.29,5,1.45,3,0.87,4,1.16,12,3.48,18,5.22,13,3.77,17,4.93,15,4.35,20,5.8,10,2.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.58,1,0.29,3,0.87,6,1.74,9,2.61,7,2.03,9,2.61,16,4.64,5,1.45,8,2.32,20027
20,31,600,17,2.83,22,3.67,14,2.33,12,2.0,17,2.83,6,1.0,7,1.17,11,1.83,4,0.67,7,1.17,0,0.0,4,0.67,5,0.83,0,0.0,1,0.17,5,0.83,2,0.33,5,0.83,1,0.17,1,0.17,18,3.0,15,2.5,8,1.33,10,1.67,6,1.0,9,1.5,8,1.33,3,0.5,5,0.83,1,0.17,0,0.0,1,0.17,3,0.5,10,1.67,1,0.17,2,0.33,32,5.33,38,6.33,36,6.0,34,5.67,34,5.67,39,6.5,32,5.33,2,0.33,0,0.0,1,0.17,0,0.0,1,0.17,3,0.5,0,0.0,3,0.5,8,1.33,10,1.67,19,3.17,10,1.67,16,2.67,2,0.33,9,1.5,20031
20,40,380,14,3.68,14,3.68,9,2.37,7,1.84,12,3.16,4,1.05,8,2.11,5,1.32,2,0.53,2,0.53,5,1.32,3,0.79,1,0.26,0,0.0,3,0.79,9,2.37,3,0.79,3,0.79,1,0.26,1,0.26,11,2.89,14,3.68,3,0.79,2,0.53,2,0.53,2,0.53,1,0.26,1,0.26,2,0.53,8,2.11,0,0.0,0,0.0,4,1.05,9,2.37,5,1.32,3,0.79,11,2.89,15,3.95,16,4.21,17,4.47,17,4.47,15,3.95,11,2.89,1,0.26,1,0.26,2,0.53,3,0.79,0,0.0,4,1.05,1,0.26,6,1.58,6,1.58,15,3.95,17,4.47,5,1.32,18,4.74,6,1.58,8,2.11,20040
20,45,115,1,0.87,5,4.35,1,0.87,1,0.87,3,2.61,2,1.74,0,0.0,1,0.87,1,0.87,0,0.0,0,0.0,2,1.74,1,0.87,0,0.0,0,0.0,1,0.87,0,0.0,1,0.87,0,0.0,2,1.74,3,2.61,2,1.74,1,0.87,2,1.74,1,0.87,3,2.61,1,0.87,0,0.0,0,0.0,1,0.87,1,0.87,0,0.0,0,0.0,1,0.87,0,0.0,0,0.0,5,4.35,10,8.7,9,7.83,9,7.83,9,7.83,11,9.57,8,6.96,0,0.0,0,0.0,1,0.87,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.87,2,1.74,1,0.87,0,0.0,1,0.87,0,0.0,1,0.87,20045
20,48,244,9,3.69,13,5.33,5,2.05,7,2.87,4,1.64,2,0.82,5,2.05,4,1.64,1,0.41,2,0.82,1,0.41,3,1.23,1,0.41,2,0.82,2,0.82,5,2.05,1,0.41,1,0.41,2,0.82,1,0.41,8,3.28,8,3.28,3,1.23,4,1.64,4,1.64,3,1.23,3,1.23,3,1.23,0,0.0,4,1.64,1,0.41,0,0.0,1,0.41,6,2.46,1,0.41,0,0.0,13,5.33,11,4.51,10,4.1,13,5.33,13,5.33,10,4.1,8,3.28,0,0.0,1,0.41,1,0.41,0,0.0,2,0.82,0,0.0,0,0.0,3,1.23,5,2.05,11,4.51,5,2.05,2,0.82,5,2.05,0,0.0,3,1.23,20048
20,52,257,10,3.89,8,3.11,2,0.78,3,1.17,8,3.11,3,1.17,7,2.72,2,0.78,1,0.39,2,0.78,1,0.39,2,0.78,2,0.78,2,0.78,3,1.17,2,0.78,1,0.39,2,0.78,0,0.0,2,0.78,5,1.95,7,2.72,0,0.0,2,0.78,2,0.78,3,1.17,1,0.39,1,0.39,0,0.0,5,1.95,1,0.39,0,0.0,0,0.0,5,1.95,1,0.39,0,0.0,10,3.89,16,6.23,15,5.84,14,5.45,14,5.45,17,6.61,12,4.67,0,0.0,0,0.0,2,0.78,0,0.0,1,0.39,1,0.39,0,0.0,1,0.39,4,1.56,8,3.11,9,3.5,3,1.17,13,5.06,2,0.78,4,1.56,20052
22,7,667,23,3.45,23,3.45,16,2.4,16,2.4,15,2.25,7,1.05,15,2.25,9,1.35,3,0.45,3,0.45,2,0.3,6,0.9,5,0.75,1,0.15,2,0.3,10,1.5,4,0.6,4,0.6,4,0.6,7,1.05,11,1.65,16,2.4,4,0.6,4,0.6,1,0.15,8,1.2,4,0.6,3,0.45,4,0.6,7,1.05,2,0.3,0,0.0,2,0.3,7,1.05,4,0.6,5,0.75,34,5.1,41,6.15,34,5.1,35,5.25,30,4.5,36,5.4,31,4.65,2,0.3,0,0.0,1,0.15,1,0.15,1,0.15,2,0.3,1,0.15,9,1.35,13,1.95,18,2.7,38,5.7,15,2.25,25,3.75,5,0.75,9,1.35,22007
22,18,4,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22018
22,19,605,16,2.64,13,2.15,12,1.98,10,1.65,13,2.15,4,0.66,7,1.16,7,1.16,1,0.17,4,0.66,3,0.5,3,0.5,3,0.5,2,0.33,4,0.66,1,0.17,9,1.49,5,0.83,3,0.5,1,0.17,7,1.16,11,1.82,5,0.83,2,0.33,7,1.16,8,1.32,6,0.99,3,0.5,5,0.83,3,0.5,1,0.17,2,0.33,4,0.66,6,0.99,3,0.5,4,0.66,34,5.62,42,6.94,43,7.11,39,6.45,36,5.95,44,7.27,36,5.95,2,0.33,2,0.33,1,0.17,3,0.5,7,1.16,1,0.17,4,0.66,5,0.83,10,1.65,5,0.83,22,3.64,8,1.32,14,2.31,3,0.5,8,1.32,22019
22,21,930,15,1.61,31,3.33,13,1.4,18,1.94,13,1.4,12,1.29,8,0.86,10,1.08,5,0.54,6,0.65,1,0.11,5,0.54,0,0.0,4,0.43,2,0.22,11,1.18,11,1.18,7,0.75,5,0.54,5,0.54,12,1.29,17,1.83,6,0.65,3,0.32,4,0.43,10,1.08,3,0.32,5,0.54,5,0.54,3,0.32,1,0.11,2,0.22,4,0.43,19,2.04,6,0.65,0,0.0,36,3.87,40,4.3,32,3.44,33,3.55,32,3.44,39,4.19,24,2.58,0,0.0,3,0.32,4,0.43,1,0.11,1,0.11,3,0.32,1,0.11,9,0.97,51,5.48,50,5.38,72,7.74,42,4.52,55,5.91,42,4.52,51,5.48,22021
24,1,468,7,1.5,12,2.56,7,1.5,6,1.28,8,1.71,9,1.92,10,2.14,7,1.5,3,0.64,5,1.07,1,0.21,2,0.43,2,0.43,2,0.43,3,0.64,5,1.07,2,0.43,2,0.43,2,0.43,3,0.64,5,1.07,11,2.35,1,0.21,1,0.21,3,0.64,4,0.85,2,0.43,3,0.64,1,0.21,3,0.64,2,0.43,3,0.64,4,0.85,5,1.07,1,0.21,1,0.21,26,5.56,24,5.13,26,5.56,27,5.77,27,5.77,27,5.77,24,5.13,2,0.43,1,0.21,4,0.85,1,0.21,1,0.21,1,0.21,1,0.21,8,1.71,9,1.92,10,2.14,22,4.7,10,2.14,17,3.63,12,2.56,16,3.42,24001
24,2,617,24,3.89,22,3.57,13,2.11,19,3.08,19,3.08,16,2.59,16,2.59,14,2.27,3,0.49,4,0.65,1,0.16,5,0.81,5,0.81,2,0.32,5,0.81,10,1.62,7,1.13,4,0.65,4,0.65,0,0.0,22,3.57,16,2.59,3,0.49,2,0.32,5,0.81,7,1.13,7,1.13,6,0.97,4,0.65,5,0.81,1,0.16,2,0.32,2,0.32,12,1.94,7,1.13,3,0.49,18,2.92,23,3.73,26,4.21,21,3.4,19,3.08,29,4.7,15,2.43,5,0.81,0,0.0,3,0.49,3,0.49,1,0.16,1,0.16,0,0.0,10,1.62,15,2.43,24,3.89,32,5.19,14,2.27,23,3.73,10,1.62,11,1.78,24002
