ward,precinct,total,Elizabeth L. Gracie (Dean),Elizabeth L. Gracie (Dean) Percent,Patrice M. Ball-Reed (Edwards),Patrice M. Ball-Reed (Edwards) Percent,Eileen Fein (Clark),Eileen Fein (Clark) Percent,Catherine Randle (Kerry),Catherine Randle (Kerry) Percent,Ethel Triplett (Lieberman),Ethel Triplett (Lieberman) Percent,Tumia Romero (Braun),Tumia Romero (Braun) Percent,precinct_id
28,9,56,13,23.21,4,7.14,3,5.36,31,55.36,1,1.79,4,7.14,28009
28,10,32,4,12.5,7,21.88,1,3.13,14,43.75,0,0.0,6,18.75,28010
28,11,96,26,27.08,5,5.21,5,5.21,50,52.08,1,1.04,9,9.38,28011
28,12,107,11,10.28,11,10.28,7,6.54,47,43.93,5,4.67,26,24.3,28012
28,13,84,12,14.29,9,10.71,4,4.76,45,53.57,5,5.95,9,10.71,28013
28,14,62,9,14.52,13,20.97,4,6.45,25,40.32,1,1.61,10,16.13,28014
28,15,48,8,16.67,12,25.0,1,2.08,18,37.5,2,4.17,7,14.58,28015
28,16,104,23,22.12,14,13.46,3,2.88,50,48.08,4,3.85,10,9.62,28016
28,17,108,20,18.52,5,4.63,12,11.11,49,45.37,3,2.78,19,17.59,28017
28,18,130,26,20.0,22,16.92,10,7.69,52,40.0,7,5.38,13,10.0,28018
28,19,124,23,18.55,14,11.29,5,4.03,57,45.97,4,3.23,21,16.94,28019
28,20,125,25,20.0,12,9.6,14,11.2,54,43.2,8,6.4,12,9.6,28020
28,21,112,18,16.07,10,8.93,4,3.57,55,49.11,3,2.68,22,19.64,28021
28,22,95,14,14.74,12,12.63,2,2.11,49,51.58,4,4.21,14,14.74,28022
28,23,106,10,9.43,12,11.32,5,4.72,45,42.45,8,7.55,26,24.53,28023
28,24,62,16,25.81,7,11.29,3,4.84,27,43.55,4,6.45,5,8.06,28024
28,25,90,21,23.33,13,14.44,4,4.44,43,47.78,3,3.33,6,6.67,28025
28,26,90,13,14.44,9,10.0,4,4.44,47,52.22,4,4.44,13,14.44,28026
28,27,71,13,18.31,5,7.04,1,1.41,36,50.7,3,4.23,13,18.31,28027
28,28,99,22,22.22,12,12.12,5,5.05,48,48.48,5,5.05,7,7.07,28028
28,30,83,17,20.48,16,19.28,1,1.2,33,39.76,4,4.82,12,14.46,28030
28,31,82,15,18.29,13,15.85,2,2.44,38,46.34,6,7.32,8,9.76,28031
28,32,106,20,18.87,20,18.87,5,4.72,50,47.17,1,0.94,10,9.43,28032
28,33,82,17,20.73,7,8.54,3,3.66,47,57.32,2,2.44,6,7.32,28033
28,35,65,11,16.92,6,9.23,3,4.62,30,46.15,2,3.08,13,20.0,28035
28,36,94,16,17.02,12,12.77,5,5.32,46,48.94,3,3.19,12,12.77,28036
28,37,82,15,18.29,10,12.2,0,0.0,46,56.1,4,4.88,7,8.54,28037
28,39,17,4,23.53,1,5.88,1,5.88,8,47.06,0,0.0,3,17.65,28039
28,40,108,16,14.81,20,18.52,3,2.78,50,46.3,3,2.78,16,14.81,28040
28,41,43,5,11.63,8,18.6,3,6.98,21,48.84,0,0.0,6,13.95,28041
28,42,99,13,13.13,15,15.15,2,2.02,49,49.49,7,7.07,13,13.13,28042
28,43,76,14,18.42,15,19.74,2,2.63,33,43.42,3,3.95,9,11.84,28043
28,44,66,6,9.09,11,16.67,4,6.06,32,48.48,4,6.06,9,13.64,28044
28,45,80,8,10.0,13,16.25,7,8.75,39,48.75,2,2.5,11,13.75,28045
28,46,87,10,11.49,12,13.79,2,2.3,50,57.47,1,1.15,12,13.79,28046
28,47,78,17,21.79,14,17.95,3,3.85,32,41.03,3,3.85,9,11.54,28047
28,48,45,6,13.33,9,20.0,2,4.44,16,35.56,3,6.67,9,20.0,28048
28,49,59,15,25.42,4,6.78,1,1.69,29,49.15,4,6.78,6,10.17,28049
28,50,51,8,15.69,6,11.76,2,3.92,32,62.75,1,1.96,2,3.92,28050
28,51,87,18,20.69,7,8.05,5,5.75,35,40.23,2,2.3,20,22.99,28051
28,52,87,18,20.69,14,16.09,6,6.9,36,41.38,5,5.75,8,9.2,28052
28,53,46,15,32.61,4,8.7,4,8.7,18,39.13,2,4.35,3,6.52,28053
28,54,75,15,20.0,12,16.0,3,4.0,32,42.67,4,5.33,9,12.0,28054
28,55,81,13,16.05,10,12.35,6,7.41,33,40.74,2,2.47,17,20.99,28055
28,56,84,12,14.29,13,15.48,5,5.95,36,42.86,2,2.38,16,19.05,28056
28,57,80,11,13.75,10,12.5,4,5.0,40,50.0,2,2.5,13,16.25,28057
28,58,63,9,14.29,9,14.29,3,4.76,27,42.86,6,9.52,9,14.29,28058
28,59,60,9,15.0,5,8.33,2,3.33,33,55.0,3,5.0,8,13.33,28059
28,60,72,7,9.72,14,19.44,2,2.78,28,38.89,5,6.94,16,22.22,28060
28,61,54,6,11.11,10,18.52,2,3.7,26,48.15,4,7.41,6,11.11,28061
28,62,93,17,18.28,9,9.68,3,3.23,49,52.69,2,2.15,13,13.98,28062
28,63,107,18,16.82,10,9.35,5,4.67,50,46.73,4,3.74,20,18.69,28063
28,64,69,6,8.7,7,10.14,1,1.45,37,53.62,1,1.45,17,24.64,28064
28,65,97,13,13.4,14,14.43,5,5.15,44,45.36,2,2.06,19,19.59,28065
28,66,103,16,15.53,12,11.65,6,5.83,54,52.43,6,5.83,9,8.74,28066
28,67,64,13,20.31,9,14.06,3,4.69,28,43.75,2,3.13,9,14.06,28067
28,68,114,27,23.68,16,14.04,6,5.26,46,40.35,3,2.63,16,14.04,28068
28,69,38,8,21.05,1,2.63,1,2.63,21,55.26,0,0.0,7,18.42,28069
28,70,59,11,18.64,11,18.64,1,1.69,25,42.37,1,1.69,10,16.95,28070
28,71,84,16,19.05,17,20.24,7,8.33,29,34.52,7,8.33,8,9.52,28071
28,72,58,11,18.97,10,17.24,4,6.9,27,46.55,2,3.45,4,6.9,28072
28,73,35,9,25.71,4,11.43,1,2.86,14,40.0,0,0.0,7,20.0,28073
29,1,147,25,17.01,24,16.33,7,4.76,79,53.74,2,1.36,10,6.8,29001
29,3,187,33,17.65,17,9.09,5,2.67,81,43.32,10,5.35,41,21.93,29003
29,4,149,32,21.48,20,13.42,4,2.68,65,43.62,6,4.03,22,14.77,29004
29,5,117,21,17.95,15,12.82,5,4.27,57,48.72,4,3.42,15,12.82,29005
29,8,110,12,10.91,16,14.55,5,4.55,55,50.0,2,1.82,20,18.18,29008
29,10,91,16,17.58,7,7.69,5,5.49,49,53.85,0,0.0,14,15.38,29010
29,11,182,28,15.38,22,12.09,10,5.49,94,51.65,8,4.4,20,10.99,29011
29,12,199,31,15.58,21,10.55,6,3.02,102,51.26,8,4.02,31,15.58,29012
29,13,122,20,16.39,12,9.84,2,1.64,62,50.82,5,4.1,21,17.21,29013
29,14,185,35,18.92,13,7.03,7,3.78,93,50.27,8,4.32,29,15.68,29014
29,15,163,24,14.72,22,13.5,3,1.84,80,49.08,4,2.45,30,18.4,29015
29,16,165,80,48.48,12,7.27,5,3.03,46,27.88,3,1.82,19,11.52,29016
29,17,102,16,15.69,15,14.71,1,0.98,50,49.02,4,3.92,16,15.69,29017
29,18,140,28,20.0,22,15.71,6,4.29,61,43.57,7,5.0,16,11.43,29018
29,19,109,20,18.35,10,9.17,1,0.92,55,50.46,3,2.75,20,18.35,29019
29,20,129,14,10.85,21,16.28,8,6.2,52,40.31,5,3.88,29,22.48,29020
29,21,98,23,23.47,11,11.22,3,3.06,42,42.86,3,3.06,16,16.33,29021
29,22,111,22,19.82,14,12.61,0,0.0,45,40.54,4,3.6,26,23.42,29022
29,23,144,18,12.5,10,6.94,9,6.25,69,47.92,6,4.17,32,22.22,29023
29,25,102,23,22.55,15,14.71,10,9.8,43,42.16,1,0.98,10,9.8,29025
29,26,140,18,12.86,13,9.29,3,2.14,82,58.57,4,2.86,20,14.29,29026
29,27,115,33,28.7,11,9.57,4,3.48,50,43.48,2,1.74,15,13.04,29027
29,28,193,28,14.51,29,15.03,8,4.15,92,47.67,4,2.07,32,16.58,29028
29,29,126,18,14.29,15,11.9,4,3.17,72,57.14,4,3.17,13,10.32,29029
29,31,141,27,19.15,9,6.38,2,1.42,62,43.97,3,2.13,38,26.95,29031
29,33,116,25,21.55,12,10.34,5,4.31,52,44.83,10,8.62,12,10.34,29033
29,34,87,12,13.79,6,6.9,4,4.6,46,52.87,4,4.6,15,17.24,29034
29,35,123,22,17.89,16,13.01,4,3.25,63,51.22,2,1.63,16,13.01,29035
29,36,130,24,18.46,19,14.62,2,1.54,70,53.85,5,3.85,10,7.69,29036
29,37,152,27,17.76,14,9.21,5,3.29,85,55.92,5,3.29,16,10.53,29037
29,38,145,25,17.24,15,10.34,3,2.07,71,48.97,2,1.38,29,20.0,29038
29,40,168,34,20.24,19,11.31,6,3.57,61,36.31,6,3.57,42,25.0,29040
29,41,163,32,19.63,19,11.66,5,3.07,75,46.01,7,4.29,25,15.34,29041
29,42,157,31,19.75,23,14.65,6,3.82,68,43.31,9,5.73,20,12.74,29042
29,43,194,27,13.92,25,12.89,6,3.09,92,47.42,10,5.15,34,17.53,29043
29,44,145,20,13.79,11,7.59,17,11.72,64,44.14,5,3.45,28,19.31,29044
29,45,134,21,15.67,16,11.94,10,7.46,65,48.51,5,3.73,17,12.69,29045
29,46,118,22,18.64,17,14.41,3,2.54,50,42.37,5,4.24,21,17.8,29046
29,47,234,43,18.38,36,15.38,10,4.27,100,42.74,8,3.42,37,15.81,29047
29,48,92,16,17.39,15,16.3,8,8.7,37,40.22,1,1.09,15,16.3,29048
29,49,104,25,24.04,11,10.58,11,10.58,47,45.19,3,2.88,7,6.73,29049
29,50,144,20,13.89,13,9.03,7,4.86,69,47.92,8,5.56,27,18.75,29050
29,51,133,29,21.8,21,15.79,5,3.76,59,44.36,3,2.26,16,12.03,29051
32,1,125,22,17.6,3,2.4,6,4.8,88,70.4,3,2.4,3,2.4,32001
32,6,112,16,14.29,17,15.18,4,3.57,64,57.14,6,5.36,5,4.46,32006
32,12,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,32012
32,17,46,2,4.35,10,21.74,2,4.35,26,56.52,3,6.52,3,6.52,32017
32,26,109,23,21.1,15,13.76,8,7.34,57,52.29,2,1.83,4,3.67,32026
32,46,23,6,26.09,2,8.7,2,8.7,12,52.17,1,4.35,0,0.0,32046
32,50,72,9,12.5,7,9.72,4,5.56,50,69.44,1,1.39,1,1.39,32050
32,51,106,7,6.6,10,9.43,5,4.72,81,76.42,3,2.83,0,0.0,32051
36,23,72,13,18.06,5,6.94,1,1.39,46,63.89,5,6.94,2,2.78,36023
36,24,133,25,18.8,21,15.79,4,3.01,64,48.12,7,5.26,12,9.02,36024
36,44,104,9,8.65,17,16.35,6,5.77,57,54.81,7,6.73,8,7.69,36044
36,54,143,24,16.78,12,8.39,6,4.2,87,60.84,3,2.1,11,7.69,36054
37,2,93,12,12.9,10,10.75,3,3.23,51,54.84,1,1.08,16,17.2,37002
37,3,64,13,20.31,12,18.75,4,6.25,26,40.63,0,0.0,9,14.06,37003
37,4,44,7,15.91,5,11.36,1,2.27,26,59.09,2,4.55,3,6.82,37004
37,5,134,21,15.67,36,26.87,5,3.73,57,42.54,6,4.48,9,6.72,37005
37,6,147,26,17.69,17,11.56,7,4.76,72,48.98,6,4.08,19,12.93,37006
37,7,113,25,22.12,15,13.27,8,7.08,56,49.56,5,4.42,4,3.54,37007
37,8,75,15,20.0,15,20.0,3,4.0,23,30.67,3,4.0,16,21.33,37008
37,9,138,17,12.32,24,17.39,3,2.17,64,46.38,10,7.25,20,14.49,37009
37,10,126,19,15.08,25,19.84,4,3.17,53,42.06,9,7.14,16,12.7,37010
37,12,85,23,27.06,9,10.59,2,2.35,35,41.18,6,7.06,10,11.76,37012
37,13,77,9,11.69,14,18.18,7,9.09,34,44.16,3,3.9,10,12.99,37013
37,14,89,17,19.1,17,19.1,5,5.62,38,42.7,7,7.87,5,5.62,37014
37,15,100,13,13.0,13,13.0,8,8.0,49,49.0,6,6.0,11,11.0,37015
37,16,134,22,16.42,21,15.67,9,6.72,63,47.01,6,4.48,13,9.7,37016
37,17,118,23,19.49,25,21.19,2,1.69,56,47.46,5,4.24,7,5.93,37017
37,18,124,21,16.94,29,23.39,3,2.42,46,37.1,7,5.65,18,14.52,37018
37,19,32,4,12.5,3,9.38,1,3.13,16,50.0,0,0.0,8,25.0,37019
37,20,82,10,12.2,12,14.63,3,3.66,42,51.22,8,9.76,7,8.54,37020
37,21,106,12,11.32,25,23.58,5,4.72,46,43.4,4,3.77,14,13.21,37021
37,22,118,17,14.41,19,16.1,6,5.08,55,46.61,6,5.08,15,12.71,37022
37,23,119,21,17.65,19,15.97,9,7.56,49,41.18,6,5.04,15,12.61,37023
37,24,115,24,20.87,17,14.78,10,8.7,51,44.35,3,2.61,10,8.7,37024
37,25,152,29,19.08,24,15.79,1,0.66,74,48.68,3,1.97,21,13.82,37025
37,26,50,13,26.0,9,18.0,7,14.0,16,32.0,1,2.0,4,8.0,37026
37,27,77,9,11.69,28,36.36,3,3.9,29,37.66,3,3.9,5,6.49,37027
37,28,90,11,12.22,13,14.44,1,1.11,48,53.33,1,1.11,16,17.78,37028
37,29,122,18,14.75,31,25.41,5,4.1,57,46.72,2,1.64,9,7.38,37029
37,30,92,13,14.13,12,13.04,2,2.17,39,42.39,2,2.17,24,26.09,37030
37,31,129,16,12.4,24,18.6,2,1.55,64,49.61,3,2.33,20,15.5,37031
37,32,129,9,6.98,19,14.73,8,6.2,68,52.71,9,6.98,16,12.4,37032
37,33,89,12,13.48,19,21.35,2,2.25,46,51.69,3,3.37,7,7.87,37033
37,34,135,19,14.07,26,19.26,5,3.7,66,48.89,5,3.7,14,10.37,37034
37,35,63,11,17.46,14,22.22,3,4.76,27,42.86,2,3.17,6,9.52,37035
37,36,105,20,19.05,19,18.1,3,2.86,42,40.0,6,5.71,15,14.29,37036
37,37,113,14,12.39,10,8.85,2,1.77,60,53.1,8,7.08,19,16.81,37037
37,38,142,19,13.38,25,17.61,3,2.11,65,45.77,8,5.63,22,15.49,37038
37,40,154,23,14.94,21,13.64,7,4.55,81,52.6,6,3.9,16,10.39,37040
37,41,68,10,14.71,8,11.76,4,5.88,36,52.94,4,5.88,6,8.82,37041
37,42,23,3,13.04,5,21.74,4,17.39,4,17.39,1,4.35,6,26.09,37042
37,43,92,15,16.3,11,11.96,6,6.52,41,44.57,4,4.35,15,16.3,37043
37,44,109,12,11.01,14,12.84,7,6.42,53,48.62,4,3.67,19,17.43,37044
37,45,66,7,10.61,10,15.15,3,4.55,32,48.48,6,9.09,8,12.12,37045
37,46,118,22,18.64,20,16.95,8,6.78,51,43.22,5,4.24,12,10.17,37046
37,48,119,14,11.76,22,18.49,9,7.56,50,42.02,5,4.2,19,15.97,37048
37,49,117,21,17.95,25,21.37,4,3.42,46,39.32,5,4.27,16,13.68,37049
37,51,92,20,21.74,8,8.7,4,4.35,35,38.04,0,0.0,25,27.17,37051
37,53,117,18,15.38,13,11.11,7,5.98,52,44.44,7,5.98,20,17.09,37053
37,54,112,17,15.18,17,15.18,8,7.14,55,49.11,3,2.68,12,10.71,37054
37,55,118,22,18.64,15,12.71,7,5.93,61,51.69,5,4.24,8,6.78,37055
37,56,82,13,15.85,15,18.29,4,4.88,36,43.9,4,4.88,10,12.2,37056
37,57,73,11,15.07,10,13.7,1,1.37,37,50.68,3,4.11,11,15.07,37057
37,58,122,20,16.39,16,13.11,5,4.1,64,52.46,6,4.92,11,9.02,37058
42,1,139,10,7.19,8,5.76,9,6.47,104,74.82,8,5.76,0,0.0,42001
42,2,102,10,9.8,7,6.86,8,7.84,69,67.65,7,6.86,1,0.98,42002
42,3,81,5,6.17,5,6.17,4,4.94,56,69.14,7,8.64,4,4.94,42003
42,4,111,3,2.7,12,10.81,6,5.41,83,74.77,5,4.5,2,1.8,42004
42,5,112,16,14.29,2,1.79,2,1.79,81,72.32,8,7.14,3,2.68,42005
42,6,217,14,6.45,17,7.83,9,4.15,158,72.81,12,5.53,7,3.23,42006
42,7,124,9,7.26,10,8.06,2,1.61,91,73.39,10,8.06,2,1.61,42007
42,8,171,17,9.94,16,9.36,4,2.34,121,70.76,10,5.85,3,1.75,42008
42,9,124,18,14.52,14,11.29,7,5.65,80,64.52,5,4.03,0,0.0,42009
42,10,75,4,5.33,3,4.0,3,4.0,60,80.0,3,4.0,2,2.67,42010
42,11,123,13,10.57,8,6.5,4,3.25,87,70.73,7,5.69,4,3.25,42011
42,12,82,1,1.22,12,14.63,3,3.66,58,70.73,5,6.1,3,3.66,42012
42,13,206,6,2.91,23,11.17,10,4.85,149,72.33,14,6.8,4,1.94,42013
42,14,107,3,2.8,7,6.54,9,8.41,81,75.7,6,5.61,1,0.93,42014
42,15,136,8,5.88,14,10.29,4,2.94,99,72.79,8,5.88,3,2.21,42015
42,16,65,2,3.08,1,1.54,2,3.08,57,87.69,2,3.08,1,1.54,42016
42,17,113,12,10.62,12,10.62,7,6.19,71,62.83,8,7.08,3,2.65,42017
42,18,110,7,6.36,10,9.09,3,2.73,82,74.55,4,3.64,4,3.64,42018
42,19,37,3,8.11,6,16.22,1,2.7,24,64.86,2,5.41,1,2.7,42019
42,20,63,7,11.11,9,14.29,4,6.35,38,60.32,2,3.17,3,4.76,42020
42,21,53,5,9.43,5,9.43,3,5.66,37,69.81,3,5.66,0,0.0,42021
42,22,83,6,7.23,7,8.43,5,6.02,52,62.65,7,8.43,6,7.23,42022
42,23,133,1,0.75,13,9.77,5,3.76,104,78.2,9,6.77,1,0.75,42023
42,24,140,9,6.43,9,6.43,6,4.29,101,72.14,13,9.29,2,1.43,42024
42,25,116,6,5.17,12,10.34,4,3.45,92,79.31,2,1.72,0,0.0,42025
42,26,117,17,14.53,14,11.97,2,1.71,71,60.68,5,4.27,8,6.84,42026
42,27,174,16,9.2,18,10.34,7,4.02,120,68.97,9,5.17,4,2.3,42027
42,28,140,8,5.71,11,7.86,5,3.57,104,74.29,8,5.71,4,2.86,42028
42,29,127,3,2.36,12,9.45,7,5.51,94,74.02,9,7.09,2,1.57,42029
42,30,66,5,7.58,2,3.03,1,1.52,55,83.33,0,0.0,3,4.55,42030
42,31,62,3,4.84,8,12.9,2,3.23,44,70.97,4,6.45,1,1.61,42031
42,32,126,17,13.49,17,13.49,4,3.17,76,60.32,4,3.17,8,6.35,42032
42,33,195,18,9.23,18,9.23,5,2.56,139,71.28,12,6.15,3,1.54,42033
42,34,124,3,2.42,14,11.29,4,3.23,94,75.81,5,4.03,4,3.23,42034
42,35,94,6,6.38,4,4.26,3,3.19,73,77.66,7,7.45,1,1.06,42035
42,36,96,5,5.21,14,14.58,5,5.21,68,70.83,3,3.13,1,1.04,42036
42,37,122,7,5.74,14,11.48,7,5.74,78,63.93,14,11.48,2,1.64,42037
42,38,116,15,12.93,10,8.62,1,0.86,82,70.69,5,4.31,3,2.59,42038
42,39,108,12,11.11,9,8.33,7,6.48,61,56.48,12,11.11,7,6.48,42039
42,40,88,7,7.95,8,9.09,3,3.41,62,70.45,5,5.68,3,3.41,42040
42,41,113,11,9.73,12,10.62,4,3.54,71,62.83,8,7.08,7,6.19,42041
42,42,69,2,2.9,3,4.35,4,5.8,52,75.36,5,7.25,3,4.35,42042
42,43,133,16,12.03,10,7.52,10,7.52,85,63.91,6,4.51,6,4.51,42043
42,44,116,9,7.76,16,13.79,4,3.45,79,68.1,2,1.72,6,5.17,42044
42,45,99,10,10.1,7,7.07,2,2.02,75,75.76,4,4.04,1,1.01,42045
42,46,76,7,9.21,9,11.84,4,5.26,47,61.84,3,3.95,6,7.89,42046
42,47,76,8,10.53,7,9.21,6,7.89,48,63.16,6,7.89,1,1.32,42047
42,48,83,10,12.05,10,12.05,1,1.2,54,65.06,6,7.23,2,2.41,42048
42,49,39,8,20.51,5,12.82,3,7.69,18,46.15,4,10.26,1,2.56,42049
42,50,84,6,7.14,6,7.14,1,1.19,62,73.81,6,7.14,3,3.57,42050
42,51,114,7,6.14,17,14.91,4,3.51,79,69.3,4,3.51,3,2.63,42051
42,52,70,5,7.14,5,7.14,1,1.43,52,74.29,2,2.86,5,7.14,42052
42,53,76,5,6.58,8,10.53,4,5.26,50,65.79,4,5.26,5,6.58,42053
42,54,67,6,8.96,13,19.4,0,0.0,45,67.16,2,2.99,1,1.49,42054
42,55,108,10,9.26,15,13.89,6,5.56,70,64.81,4,3.7,3,2.78,42055
42,56,85,8,9.41,9,10.59,5,5.88,56,65.88,6,7.06,1,1.18,42056
42,57,73,12,16.44,6,8.22,7,9.59,41,56.16,3,4.11,4,5.48,42057
42,58,46,3,6.52,4,8.7,2,4.35,34,73.91,1,2.17,2,4.35,42058
42,59,22,1,4.55,0,0.0,2,9.09,18,81.82,1,4.55,0,0.0,42059
42,60,68,5,7.35,3,4.41,4,5.88,49,72.06,2,2.94,5,7.35,42060
42,61,54,3,5.56,5,9.26,5,9.26,39,72.22,2,3.7,0,0.0,42061
42,62,73,2,2.74,6,8.22,2,2.74,58,79.45,5,6.85,0,0.0,42062
42,63,108,8,7.41,5,4.63,5,4.63,83,76.85,7,6.48,0,0.0,42063
42,64,61,5,8.2,9,14.75,3,4.92,35,57.38,3,4.92,6,9.84,42064
42,65,91,6,6.59,6,6.59,2,2.2,69,75.82,5,5.49,3,3.3,42065
42,66,74,10,13.51,9,12.16,6,8.11,42,56.76,2,2.7,5,6.76,42066
42,67,75,8,10.67,9,12.0,4,5.33,48,64.0,4,5.33,2,2.67,42067
42,68,116,10,8.62,13,11.21,7,6.03,78,67.24,4,3.45,4,3.45,42068
42,69,131,9,6.87,13,9.92,6,4.58,87,66.41,3,2.29,13,9.92,42069
43,1,68,12,17.65,9,13.24,4,5.88,42,61.76,0,0.0,1,1.47,43001
43,3,110,5,4.55,11,10.0,4,3.64,86,78.18,4,3.64,0,0.0,43003
43,4,123,9,7.32,13,10.57,4,3.25,89,72.36,6,4.88,2,1.63,43004
43,5,87,7,8.05,8,9.2,1,1.15,65,74.71,4,4.6,2,2.3,43005
43,9,77,10,12.99,2,2.6,2,2.6,57,74.03,6,7.79,0,0.0,43009
43,10,43,5,11.63,4,9.3,2,4.65,28,65.12,3,6.98,1,2.33,43010
43,11,57,4,7.02,9,15.79,1,1.75,36,63.16,3,5.26,4,7.02,43011
43,13,50,5,10.0,7,14.0,3,6.0,33,66.0,2,4.0,0,0.0,43013
43,15,103,7,6.8,8,7.77,1,0.97,80,77.67,4,3.88,3,2.91,43015
43,16,109,8,7.34,9,8.26,4,3.67,84,77.06,3,2.75,1,0.92,43016
43,18,134,14,10.45,9,6.72,8,5.97,96,71.64,3,2.24,4,2.99,43018
43,21,13,1,7.69,2,15.38,0,0.0,9,69.23,0,0.0,1,7.69,43021
43,23,89,9,10.11,8,8.99,3,3.37,62,69.66,7,7.87,0,0.0,43023
43,24,93,7,7.53,4,4.3,2,2.15,73,78.49,6,6.45,1,1.08,43024
43,25,105,15,14.29,17,16.19,5,4.76,57,54.29,9,8.57,2,1.9,43025
43,26,90,6,6.67,8,8.89,2,2.22,68,75.56,6,6.67,0,0.0,43026
43,28,83,6,7.23,6,7.23,2,2.41,66,79.52,3,3.61,0,0.0,43028
43,30,55,7,12.73,8,14.55,6,10.91,33,60.0,1,1.82,0,0.0,43030
43,36,93,6,6.45,8,8.6,5,5.38,66,70.97,5,5.38,3,3.23,43036
43,37,90,8,8.89,9,10.0,4,4.44,63,70.0,4,4.44,2,2.22,43037
43,40,67,3,4.48,6,8.96,3,4.48,51,76.12,1,1.49,3,4.48,43040
43,41,41,3,7.32,3,7.32,1,2.44,30,73.17,4,9.76,0,0.0,43041
43,42,102,4,3.92,10,9.8,3,2.94,78,76.47,4,3.92,3,2.94,43042
43,46,117,3,2.56,9,7.69,4,3.42,93,79.49,7,5.98,1,0.85,43046
43,47,95,9,9.47,8,8.42,6,6.32,68,71.58,3,3.16,1,1.05,43047
43,49,73,5,6.85,11,15.07,1,1.37,51,69.86,5,6.85,0,0.0,43049
43,51,150,16,10.67,17,11.33,7,4.67,94,62.67,3,2.0,13,8.67,43051
43,52,97,10,10.31,5,5.15,4,4.12,72,74.23,5,5.15,1,1.03,43052
43,54,86,7,8.14,12,13.95,5,5.81,57,66.28,3,3.49,2,2.33,43054
43,55,88,12,13.64,11,12.5,2,2.27,53,60.23,3,3.41,7,7.95,43055
43,60,54,5,9.26,9,16.67,1,1.85,35,64.81,3,5.56,1,1.85,43060
43,61,49,2,4.08,7,14.29,7,14.29,29,59.18,0,0.0,4,8.16,43061
43,62,87,6,6.9,7,8.05,2,2.3,63,72.41,9,10.34,0,0.0,43062
43,63,75,9,12.0,9,12.0,4,5.33,45,60.0,1,1.33,7,9.33,43063
43,64,63,6,9.52,5,7.94,2,3.17,44,69.84,5,7.94,1,1.59,43064
43,65,50,2,4.0,2,4.0,0,0.0,46,92.0,0,0.0,0,0.0,43065
43,66,37,1,2.7,5,13.51,0,0.0,26,70.27,5,13.51,0,0.0,43066
43,67,57,0,0.0,5,8.77,0,0.0,49,85.96,2,3.51,1,1.75,43067
