ward,precinct,total,Dawn Doering-Suter (Kucinich),Dawn Doering-Suter (Kucinich) Percent,Amy V. Przybylo (Dean),Amy V. Przybylo (Dean) Percent,Alicia Renee Pardo (Edwards),Alicia Renee Pardo (Edwards) Percent,Jennifer A. Kuhn (Clark),Jennifer A. Kuhn (Clark) Percent,Amy Galibois (Kerry),Amy Galibois (Kerry) Percent,Deborah Rosenberg Alexander (Lieb),Deborah Rosenberg Alexander (Lieb) Percent,Beatrice Turner (Braun),Beatrice Turner (Braun) Percent,precinct_id
48,1,169,14,8.28,19,11.24,19,11.24,9,5.33,94,55.62,5,2.96,9,5.33,48001
48,2,127,10,7.87,9,7.09,4,3.15,7,5.51,66,51.97,18,14.17,13,10.24,48002
48,3,183,10,5.46,19,10.38,13,7.1,9,4.92,105,57.38,7,3.83,20,10.93,48003
48,4,158,17,10.76,9,5.7,12,7.59,9,5.7,97,61.39,6,3.8,8,5.06,48004
48,5,136,8,5.88,12,8.82,8,5.88,1,0.74,99,72.79,2,1.47,6,4.41,48005
48,6,173,6,3.47,15,8.67,17,9.83,10,5.78,92,53.18,15,8.67,18,10.4,48006
48,7,144,18,12.5,18,12.5,13,9.03,5,3.47,86,59.72,3,2.08,1,0.69,48007
48,8,107,14,13.08,11,10.28,6,5.61,1,0.93,64,59.81,6,5.61,5,4.67,48008
48,9,147,10,6.8,10,6.8,12,8.16,7,4.76,89,60.54,9,6.12,10,6.8,48009
48,10,118,10,8.47,12,10.17,4,3.39,3,2.54,85,72.03,1,0.85,3,2.54,48010
48,11,220,28,12.73,21,9.55,10,4.55,6,2.73,145,65.91,3,1.36,7,3.18,48011
48,12,139,9,6.47,13,9.35,13,9.35,7,5.04,80,57.55,9,6.47,8,5.76,48012
48,13,107,6,5.61,3,2.8,12,11.21,1,0.93,72,67.29,9,8.41,4,3.74,48013
48,14,160,12,7.5,10,6.25,14,8.75,10,6.25,80,50.0,20,12.5,14,8.75,48014
48,15,87,9,10.34,4,4.6,7,8.05,7,8.05,51,58.62,4,4.6,5,5.75,48015
48,16,108,8,7.41,15,13.89,7,6.48,7,6.48,59,54.63,1,0.93,11,10.19,48016
48,17,119,5,4.2,7,5.88,12,10.08,7,5.88,76,63.87,3,2.52,9,7.56,48017
48,18,124,6,4.84,4,3.23,10,8.06,6,4.84,72,58.06,8,6.45,18,14.52,48018
48,19,173,14,8.09,15,8.67,13,7.51,8,4.62,108,62.43,7,4.05,8,4.62,48019
48,20,75,10,13.33,5,6.67,3,4.0,1,1.33,50,66.67,4,5.33,2,2.67,48020
48,21,65,8,12.31,4,6.15,7,10.77,3,4.62,33,50.77,3,4.62,7,10.77,48021
48,22,208,6,2.88,11,5.29,24,11.54,2,0.96,143,68.75,8,3.85,14,6.73,48022
48,23,143,14,9.79,13,9.09,16,11.19,6,4.2,78,54.55,9,6.29,7,4.9,48023
48,24,120,13,10.83,11,9.17,5,4.17,8,6.67,65,54.17,9,7.5,9,7.5,48024
48,25,132,8,6.06,10,7.58,11,8.33,5,3.79,83,62.88,2,1.52,13,9.85,48025
48,26,159,13,8.18,15,9.43,9,5.66,8,5.03,97,61.01,9,5.66,8,5.03,48026
48,27,78,3,3.85,3,3.85,9,11.54,7,8.97,44,56.41,7,8.97,5,6.41,48027
48,28,152,8,5.26,15,9.87,9,5.92,6,3.95,99,65.13,9,5.92,6,3.95,48028
48,29,123,7,5.69,6,4.88,6,4.88,3,2.44,68,55.28,28,22.76,5,4.07,48029
48,30,155,19,12.26,17,10.97,15,9.68,4,2.58,86,55.48,4,2.58,10,6.45,48030
48,31,128,9,7.03,10,7.81,14,10.94,7,5.47,60,46.88,4,3.13,24,18.75,48031
48,32,157,21,13.38,10,6.37,12,7.64,11,7.01,81,51.59,6,3.82,16,10.19,48032
48,33,133,3,2.26,2,1.5,7,5.26,8,6.02,102,76.69,8,6.02,3,2.26,48033
48,34,64,4,6.25,5,7.81,4,6.25,5,7.81,32,50.0,2,3.13,12,18.75,48034
48,35,130,9,6.92,6,4.62,8,6.15,8,6.15,82,63.08,6,4.62,11,8.46,48035
48,36,124,7,5.65,9,7.26,9,7.26,4,3.23,81,65.32,10,8.06,4,3.23,48036
48,37,116,7,6.03,13,11.21,11,9.48,5,4.31,72,62.07,5,4.31,3,2.59,48037
48,38,184,19,10.33,26,14.13,14,7.61,5,2.72,113,61.41,6,3.26,1,0.54,48038
48,39,114,15,13.16,4,3.51,5,4.39,4,3.51,70,61.4,7,6.14,9,7.89,48039
48,40,77,16,20.78,1,1.3,7,9.09,2,2.6,45,58.44,1,1.3,5,6.49,48040
48,41,84,4,4.76,9,10.71,6,7.14,6,7.14,37,44.05,7,8.33,15,17.86,48041
48,42,140,21,15.0,9,6.43,17,12.14,8,5.71,71,50.71,6,4.29,8,5.71,48042
48,43,170,19,11.18,18,10.59,8,4.71,12,7.06,107,62.94,2,1.18,4,2.35,48043
48,44,152,19,12.5,26,17.11,13,8.55,8,5.26,77,50.66,3,1.97,6,3.95,48044
48,45,124,15,12.1,7,5.65,8,6.45,7,5.65,72,58.06,9,7.26,6,4.84,48045
48,46,107,9,8.41,8,7.48,8,7.48,10,9.35,52,48.6,5,4.67,15,14.02,48046
48,47,108,10,9.26,6,5.56,8,7.41,6,5.56,59,54.63,4,3.7,15,13.89,48047
48,48,148,16,10.81,17,11.49,18,12.16,6,4.05,82,55.41,4,2.7,5,3.38,48048
48,49,48,6,12.5,2,4.17,5,10.42,2,4.17,31,64.58,1,2.08,1,2.08,48049
48,50,169,23,13.61,13,7.69,7,4.14,6,3.55,109,64.5,4,2.37,7,4.14,48050
48,51,209,21,10.05,17,8.13,14,6.7,5,2.39,148,70.81,1,0.48,3,1.44,48051
48,52,96,7,7.29,6,6.25,15,15.63,3,3.13,52,54.17,3,3.13,10,10.42,48052
48,53,138,15,10.87,13,9.42,17,12.32,6,4.35,62,44.93,9,6.52,16,11.59,48053
48,54,106,12,11.32,6,5.66,5,4.72,9,8.49,56,52.83,6,5.66,12,11.32,48054
48,55,37,4,10.81,5,13.51,5,13.51,3,8.11,13,35.14,1,2.7,6,16.22,48055
48,56,115,8,6.96,6,5.22,12,10.43,15,13.04,46,40.0,13,11.3,15,13.04,48056
49,1,164,9,5.49,11,6.71,8,4.88,11,6.71,86,52.44,7,4.27,32,19.51,49001
49,2,148,11,7.43,12,8.11,19,12.84,8,5.41,77,52.03,11,7.43,10,6.76,49002
49,3,97,5,5.15,12,12.37,12,12.37,4,4.12,56,57.73,5,5.15,3,3.09,49003
49,4,71,4,5.63,7,9.86,8,11.27,1,1.41,41,57.75,3,4.23,7,9.86,49004
49,5,162,13,8.02,19,11.73,14,8.64,11,6.79,89,54.94,3,1.85,13,8.02,49005
49,6,155,19,12.26,20,12.9,5,3.23,3,1.94,90,58.06,4,2.58,14,9.03,49006
49,7,117,12,10.26,10,8.55,5,4.27,4,3.42,71,60.68,6,5.13,9,7.69,49007
49,8,145,14,9.66,15,10.34,14,9.66,14,9.66,68,46.9,6,4.14,14,9.66,49008
49,9,131,7,5.34,10,7.63,13,9.92,3,2.29,87,66.41,3,2.29,8,6.11,49009
49,10,125,22,17.6,12,9.6,8,6.4,10,8.0,60,48.0,2,1.6,11,8.8,49010
49,11,92,6,6.52,11,11.96,9,9.78,2,2.17,50,54.35,3,3.26,11,11.96,49011
49,12,145,17,11.72,11,7.59,7,4.83,4,2.76,84,57.93,7,4.83,15,10.34,49012
49,13,173,15,8.67,13,7.51,13,7.51,6,3.47,112,64.74,6,3.47,8,4.62,49013
49,14,135,15,11.11,11,8.15,7,5.19,10,7.41,80,59.26,5,3.7,7,5.19,49014
49,15,86,5,5.81,5,5.81,10,11.63,3,3.49,50,58.14,2,2.33,11,12.79,49015
49,16,120,17,14.17,10,8.33,6,5.0,3,2.5,68,56.67,4,3.33,12,10.0,49016
49,17,21,2,9.52,2,9.52,0,0.0,0,0.0,15,71.43,0,0.0,2,9.52,49017
49,18,95,4,4.21,7,7.37,4,4.21,7,7.37,68,71.58,3,3.16,2,2.11,49018
49,19,121,10,8.26,10,8.26,9,7.44,9,7.44,65,53.72,2,1.65,16,13.22,49019
49,20,171,15,8.77,17,9.94,12,7.02,8,4.68,89,52.05,8,4.68,22,12.87,49020
49,21,98,14,14.29,6,6.12,11,11.22,4,4.08,57,58.16,5,5.1,1,1.02,49021
49,22,134,9,6.72,16,11.94,13,9.7,6,4.48,76,56.72,6,4.48,8,5.97,49022
49,23,102,9,8.82,6,5.88,4,3.92,7,6.86,63,61.76,3,2.94,10,9.8,49023
49,24,48,6,12.5,1,2.08,4,8.33,4,8.33,28,58.33,3,6.25,2,4.17,49024
49,25,150,17,11.33,17,11.33,7,4.67,4,2.67,94,62.67,3,2.0,8,5.33,49025
49,26,135,23,17.04,9,6.67,9,6.67,7,5.19,59,43.7,13,9.63,15,11.11,49026
49,27,177,15,8.47,13,7.34,17,9.6,12,6.78,85,48.02,6,3.39,29,16.38,49027
49,28,102,5,4.9,7,6.86,6,5.88,6,5.88,55,53.92,3,2.94,20,19.61,49028
49,29,164,19,11.59,21,12.8,12,7.32,6,3.66,96,58.54,3,1.83,7,4.27,49029
49,30,131,10,7.63,12,9.16,10,7.63,8,6.11,65,49.62,10,7.63,16,12.21,49030
49,31,53,13,24.53,7,13.21,7,13.21,1,1.89,24,45.28,0,0.0,1,1.89,49031
49,32,105,17,16.19,5,4.76,11,10.48,2,1.9,59,56.19,5,4.76,6,5.71,49032
49,33,146,14,9.59,7,4.79,9,6.16,5,3.42,95,65.07,5,3.42,11,7.53,49033
49,34,121,5,4.13,14,11.57,10,8.26,7,5.79,65,53.72,5,4.13,15,12.4,49034
49,35,190,12,6.32,23,12.11,15,7.89,12,6.32,107,56.32,5,2.63,16,8.42,49035
49,36,194,26,13.4,16,8.25,13,6.7,11,5.67,101,52.06,13,6.7,14,7.22,49036
49,37,78,5,6.41,6,7.69,2,2.56,2,2.56,56,71.79,2,2.56,5,6.41,49037
49,38,100,6,6.0,5,5.0,7,7.0,2,2.0,61,61.0,6,6.0,13,13.0,49038
49,39,106,16,15.09,11,10.38,9,8.49,6,5.66,50,47.17,2,1.89,12,11.32,49039
49,40,122,5,4.1,11,9.02,15,12.3,5,4.1,70,57.38,7,5.74,9,7.38,49040
49,41,138,3,2.17,11,7.97,16,11.59,7,5.07,86,62.32,8,5.8,7,5.07,49041
49,42,143,13,9.09,11,7.69,10,6.99,4,2.8,75,52.45,10,6.99,20,13.99,49042
49,43,156,12,7.69,11,7.05,13,8.33,5,3.21,76,48.72,9,5.77,30,19.23,49043
49,44,151,14,9.27,11,7.28,9,5.96,2,1.32,97,64.24,7,4.64,11,7.28,49044
50,1,199,10,5.03,8,4.02,13,6.53,3,1.51,98,49.25,58,29.15,9,4.52,50001
50,2,177,5,2.82,15,8.47,15,8.47,8,4.52,86,48.59,42,23.73,6,3.39,50002
50,3,150,6,4.0,7,4.67,10,6.67,6,4.0,70,46.67,46,30.67,5,3.33,50003
50,4,137,8,5.84,10,7.3,11,8.03,4,2.92,78,56.93,22,16.06,4,2.92,50004
50,5,144,9,6.25,6,4.17,7,4.86,5,3.47,71,49.31,43,29.86,3,2.08,50005
50,6,105,4,3.81,17,16.19,8,7.62,10,9.52,54,51.43,6,5.71,6,5.71,50006
50,7,199,18,9.05,15,7.54,19,9.55,6,3.02,130,65.33,8,4.02,3,1.51,50007
50,8,110,8,7.27,4,3.64,16,14.55,5,4.55,47,42.73,15,13.64,15,13.64,50008
50,9,126,9,7.14,3,2.38,13,10.32,4,3.17,75,59.52,17,13.49,5,3.97,50009
50,10,123,7,5.69,5,4.07,10,8.13,4,3.25,60,48.78,30,24.39,7,5.69,50010
50,11,122,0,0.0,4,3.28,6,4.92,5,4.1,48,39.34,56,45.9,3,2.46,50011
50,12,118,8,6.78,1,0.85,1,0.85,3,2.54,59,50.0,43,36.44,3,2.54,50012
50,13,136,13,9.56,10,7.35,16,11.76,5,3.68,63,46.32,17,12.5,12,8.82,50013
50,14,86,1,1.16,4,4.65,4,4.65,2,2.33,44,51.16,29,33.72,2,2.33,50014
50,15,186,16,8.6,14,7.53,14,7.53,9,4.84,112,60.22,15,8.06,6,3.23,50015
50,16,99,3,3.03,3,3.03,3,3.03,3,3.03,44,44.44,40,40.4,3,3.03,50016
50,17,104,8,7.69,8,7.69,8,7.69,1,0.96,51,49.04,24,23.08,4,3.85,50017
50,18,122,11,9.02,6,4.92,7,5.74,4,3.28,72,59.02,21,17.21,1,0.82,50018
50,19,89,5,5.62,4,4.49,7,7.87,4,4.49,49,55.06,16,17.98,4,4.49,50019
50,20,106,7,6.6,4,3.77,14,13.21,4,3.77,67,63.21,6,5.66,4,3.77,50020
50,21,151,15,9.93,14,9.27,8,5.3,8,5.3,88,58.28,16,10.6,2,1.32,50021
50,22,126,17,13.49,9,7.14,17,13.49,7,5.56,60,47.62,8,6.35,8,6.35,50022
50,23,68,8,11.76,2,2.94,5,7.35,2,2.94,32,47.06,17,25.0,2,2.94,50023
50,24,142,14,9.86,7,4.93,12,8.45,12,8.45,58,40.85,24,16.9,15,10.56,50024
