ward,precinct,total,Mike Quigley,Mike Quigley Percent,Tommy Hanson,Tommy Hanson Percent,Thomas J. Wilda,Thomas J. Wilda Percent,precinct_id
43,10,901,689,76.47,200,22.2,12,1.33,43010
43,11,686,473,68.95,204,29.74,9,1.31,43011
43,12,474,365,77.0,97,20.46,12,2.53,43012
43,13,693,556,80.23,124,17.89,13,1.88,43013
43,14,708,556,78.53,142,20.06,10,1.41,43014
43,15,760,554,72.89,196,25.79,10,1.32,43015
43,16,1063,810,76.2,237,22.3,16,1.51,43016
43,17,575,410,71.3,156,27.13,9,1.57,43017
43,18,853,633,74.21,207,24.27,13,1.52,43018
43,19,735,563,76.6,160,21.77,12,1.63,43019
43,20,904,717,79.31,169,18.69,18,1.99,43020
43,21,842,641,76.13,176,20.9,25,2.97,43021
43,22,533,416,78.05,107,20.08,10,1.88,43022
43,23,514,382,74.32,120,23.35,12,2.33,43023
43,24,563,414,73.53,139,24.69,10,1.78,43024
43,25,598,474,79.26,113,18.9,11,1.84,43025
43,26,438,355,81.05,76,17.35,7,1.6,43026
43,27,670,503,75.07,156,23.28,11,1.64,43027
43,28,914,693,75.82,209,22.87,12,1.31,43028
43,29,1039,789,75.94,233,22.43,17,1.64,43029
43,30,754,580,76.92,159,21.09,15,1.99,43030
43,31,701,527,75.18,155,22.11,19,2.71,43031
43,32,757,611,80.71,139,18.36,7,0.92,43032
43,34,467,369,79.01,94,20.13,4,0.86,43034
43,36,485,379,78.14,100,20.62,6,1.24,43036
43,37,829,671,80.94,132,15.92,26,3.14,43037
43,38,552,391,70.83,156,28.26,5,0.91,43038
43,39,584,431,73.8,143,24.49,10,1.71,43039
43,40,541,430,79.48,91,16.82,20,3.7,43040
43,41,876,674,76.94,178,20.32,24,2.74,43041
43,42,702,563,80.2,125,17.81,14,1.99,43042
43,43,760,542,71.32,214,28.16,4,0.53,43043
43,44,737,570,77.34,154,20.9,13,1.76,43044
43,46,468,371,79.27,86,18.38,11,2.35,43046
44,1,1128,964,85.46,130,11.52,34,3.01,44001
44,2,823,644,78.25,160,19.44,19,2.31,44002
44,5,758,646,85.22,91,12.01,21,2.77,44005
44,6,1012,835,82.51,143,14.13,34,3.36,44006
44,8,1049,895,85.32,127,12.11,27,2.57,44008
44,9,802,632,78.8,148,18.45,22,2.74,44009
44,10,841,666,79.19,156,18.55,19,2.26,44010
44,11,870,689,79.2,161,18.51,20,2.3,44011
44,12,803,676,84.18,118,14.69,9,1.12,44012
44,13,684,536,78.36,135,19.74,13,1.9,44013
44,14,731,599,81.94,119,16.28,13,1.78,44014
44,15,725,586,80.83,120,16.55,19,2.62,44015
44,16,899,713,79.31,155,17.24,31,3.45,44016
44,17,998,861,86.27,108,10.82,29,2.91,44017
44,18,876,700,79.91,153,17.47,23,2.63,44018
44,19,924,778,84.2,130,14.07,16,1.73,44019
44,20,935,763,81.6,147,15.72,25,2.67,44020
44,21,898,776,86.41,94,10.47,28,3.12,44021
44,22,714,615,86.13,87,12.18,12,1.68,44022
44,23,727,626,86.11,87,11.97,14,1.93,44023
44,25,799,678,84.86,110,13.77,11,1.38,44025
44,26,938,808,86.14,109,11.62,21,2.24,44026
44,27,894,717,80.2,150,16.78,27,3.02,44027
44,28,798,689,86.34,94,11.78,15,1.88,44028
44,29,918,747,81.37,151,16.45,20,2.18,44029
44,30,938,765,81.56,156,16.63,17,1.81,44030
44,31,692,543,78.47,129,18.64,20,2.89,44031
44,32,894,724,80.98,152,17.0,18,2.01,44032
44,33,802,714,89.03,68,8.48,20,2.49,44033
44,34,800,706,88.25,72,9.0,22,2.75,44034
44,36,862,730,84.69,121,14.04,11,1.28,44036
44,37,854,753,88.17,87,10.19,14,1.64,44037
44,38,984,749,76.12,207,21.04,28,2.85,44038
44,39,833,680,81.63,139,16.69,14,1.68,44039
44,40,774,600,77.52,152,19.64,22,2.84,44040
44,41,1016,844,83.07,138,13.58,34,3.35,44041
45,3,553,455,82.28,79,14.29,19,3.44,45003
45,4,710,546,76.9,133,18.73,31,4.37,45004
45,5,623,491,78.81,114,18.3,18,2.89,45005
45,6,796,631,79.27,137,17.21,28,3.52,45006
45,7,847,650,76.74,167,19.72,30,3.54,45007
45,8,49,36,73.47,12,24.49,1,2.04,45008
45,11,466,341,73.18,110,23.61,15,3.22,45011
45,12,571,411,71.98,133,23.29,27,4.73,45012
45,13,494,378,76.52,96,19.43,20,4.05,45013
45,14,840,638,75.95,156,18.57,46,5.48,45014
45,15,692,551,79.62,121,17.49,20,2.89,45015
45,16,493,357,72.41,122,24.75,14,2.84,45016
45,17,677,472,69.72,187,27.62,18,2.66,45017
45,18,669,455,68.01,193,28.85,21,3.14,45018
45,19,356,235,66.01,104,29.21,17,4.78,45019
45,20,431,299,69.37,111,25.75,21,4.87,45020
45,21,546,349,63.92,188,34.43,9,1.65,45021
45,22,583,391,67.07,180,30.87,12,2.06,45022
45,23,566,367,64.84,193,34.1,6,1.06,45023
45,24,471,283,60.08,178,37.79,10,2.12,45024
45,25,386,240,62.18,136,35.23,10,2.59,45025
45,26,343,188,54.81,149,43.44,6,1.75,45026
45,27,595,364,61.18,224,37.65,7,1.18,45027
45,28,507,325,64.1,160,31.56,22,4.34,45028
45,29,395,242,61.27,142,35.95,11,2.78,45029
45,30,566,429,75.8,121,21.38,16,2.83,45030
45,31,485,356,73.4,110,22.68,19,3.92,45031
45,32,555,395,71.17,144,25.95,16,2.88,45032
45,33,421,315,74.82,98,23.28,8,1.9,45033
45,34,605,422,69.75,164,27.11,19,3.14,45034
45,35,639,441,69.01,172,26.92,26,4.07,45035
45,36,627,428,68.26,186,29.67,13,2.07,45036
45,37,583,361,61.92,195,33.45,27,4.63,45037
45,38,587,400,68.14,166,28.28,21,3.58,45038
45,39,595,384,64.54,196,32.94,15,2.52,45039
45,40,540,338,62.59,188,34.81,14,2.59,45040
45,41,548,327,59.67,198,36.13,23,4.2,45041
45,42,535,319,59.63,199,37.2,17,3.18,45042
45,43,603,326,54.06,254,42.12,23,3.81,45043
45,44,564,332,58.87,221,39.18,11,1.95,45044
45,45,402,206,51.24,188,46.77,8,1.99,45045
45,46,456,267,58.55,179,39.25,10,2.19,45046
45,47,432,255,59.03,166,38.43,11,2.55,45047
45,48,500,250,50.0,243,48.6,7,1.4,45048
46,3,816,685,83.95,104,12.75,27,3.31,46003
46,5,915,761,83.17,126,13.77,28,3.06,46005
46,10,1221,1042,85.34,150,12.29,29,2.38,46010
46,12,122,110,90.16,5,4.1,7,5.74,46012
46,16,333,296,88.89,28,8.41,9,2.7,46016
46,19,497,402,80.89,85,17.1,10,2.01,46019
46,24,253,223,88.14,27,10.67,3,1.19,46024
46,28,659,554,84.07,94,14.26,11,1.67,46028
46,30,757,658,86.92,79,10.44,20,2.64,46030
46,31,732,655,89.48,62,8.47,15,2.05,46031
46,33,772,661,85.62,92,11.92,19,2.46,46033
46,36,669,532,79.52,120,17.94,17,2.54,46036
46,38,690,609,88.26,60,8.7,21,3.04,46038
46,39,685,553,80.73,118,17.23,14,2.04,46039
47,1,503,416,82.7,74,14.71,13,2.58,47001
47,2,734,608,82.83,110,14.99,16,2.18,47002
47,3,663,557,84.01,93,14.03,13,1.96,47003
47,4,865,722,83.47,125,14.45,18,2.08,47004
47,5,767,648,84.49,87,11.34,32,4.17,47005
47,6,873,746,85.45,107,12.26,20,2.29,47006
47,7,694,575,82.85,109,15.71,10,1.44,47007
47,8,717,602,83.96,105,14.64,10,1.39,47008
47,9,723,586,81.05,117,16.18,20,2.77,47009
47,10,863,750,86.91,79,9.15,34,3.94,47010
47,11,761,613,80.55,133,17.48,15,1.97,47011
47,12,781,677,86.68,84,10.76,20,2.56,47012
47,13,688,577,83.87,79,11.48,32,4.65,47013
47,14,657,546,83.11,94,14.31,17,2.59,47014
47,16,701,583,83.17,92,13.12,26,3.71,47016
47,17,722,574,79.5,121,16.76,27,3.74,47017
47,18,710,581,81.83,107,15.07,22,3.1,47018
47,20,720,628,87.22,77,10.69,15,2.08,47020
47,21,686,589,85.86,75,10.93,22,3.21,47021
47,22,762,645,84.65,91,11.94,26,3.41,47022
47,24,787,682,86.66,85,10.8,20,2.54,47024
47,25,895,760,84.92,112,12.51,23,2.57,47025
47,26,944,858,90.89,66,6.99,20,2.12,47026
47,27,639,526,82.32,98,15.34,15,2.35,47027
47,28,672,563,83.78,85,12.65,24,3.57,47028
47,29,831,683,82.19,122,14.68,26,3.13,47029
47,30,368,330,89.67,27,7.34,11,2.99,47030
47,31,749,654,87.32,70,9.35,25,3.34,47031
47,32,853,764,89.57,63,7.39,26,3.05,47032
47,33,753,620,82.34,109,14.48,24,3.19,47033
47,34,733,618,84.31,86,11.73,29,3.96,47034
47,35,733,596,81.31,120,16.37,17,2.32,47035
47,36,810,705,87.04,76,9.38,29,3.58,47036
47,37,690,584,84.64,78,11.3,28,4.06,47037
47,38,731,617,84.4,81,11.08,33,4.51,47038
47,39,721,622,86.27,75,10.4,24,3.33,47039
47,40,679,579,85.27,70,10.31,30,4.42,47040
47,41,783,690,88.12,73,9.32,20,2.55,47041
47,42,676,588,86.98,62,9.17,26,3.85,47042
47,43,673,545,80.98,116,17.24,12,1.78,47043
47,44,699,573,81.97,110,15.74,16,2.29,47044
47,45,648,561,86.57,59,9.1,28,4.32,47045
47,46,766,600,78.33,150,19.58,16,2.09,47046
47,47,889,744,83.69,127,14.29,18,2.02,47047
47,48,54,38,70.37,11,20.37,5,9.26,47048
50,24,468,191,40.81,271,57.91,6,1.28,50024
50,25,101,21,20.79,80,79.21,0,0.0,50025
