ward,precinct,total,Donald J. Trump & Michael R. Pence,Donald J. Trump & Michael R. Pence Percent,Howie Hawkins & Angela Walker,Howie Hawkins & Angela Walker Percent,Gloria La Riva & Leonard Peltier,Gloria La Riva & Leonard Peltier Percent,Brian Carroll & Amar Patel,Brian Carroll & Amar Patel Percent,Jo Jorgensen & Jeremy ''Spike'' Cohen,Jo Jorgensen & Jeremy ''Spike'' Cohen Percent,precinct_id
8,44,353,12,3.4,1,0.28,1,0.28,1,0.28,2,0.57,08044
8,45,420,13,3.1,5,1.19,0,0.0,0,0.0,1,0.24,08045
8,46,374,17,4.55,1,0.27,3,0.8,0,0.0,0,0.0,08046
8,47,389,18,4.63,2,0.51,1,0.26,0,0.0,1,0.26,08047
8,48,433,10,2.31,2,0.46,1,0.23,2,0.46,0,0.0,08048
8,49,427,15,3.51,3,0.7,0,0.0,0,0.0,0,0.0,08049
8,50,465,14,3.01,4,0.86,1,0.22,1,0.22,0,0.0,08050
8,51,470,14,2.98,1,0.21,0,0.0,0,0.0,1,0.21,08051
8,52,560,12,2.14,1,0.18,0,0.0,0,0.0,1,0.18,08052
8,53,278,9,3.24,3,1.08,1,0.36,0,0.0,0,0.0,08053
8,54,401,27,6.73,6,1.5,2,0.5,2,0.5,1,0.25,08054
8,55,366,17,4.64,0,0.0,3,0.82,0,0.0,0,0.0,08055
8,56,480,5,1.04,3,0.63,2,0.42,0,0.0,0,0.0,08056
9,1,441,14,3.17,1,0.23,0,0.0,1,0.23,3,0.68,09001
9,2,353,9,2.55,1,0.28,2,0.57,2,0.57,0,0.0,09002
9,3,329,15,4.56,2,0.61,1,0.3,2,0.61,0,0.0,09003
9,4,346,3,0.87,2,0.58,0,0.0,1,0.29,0,0.0,09004
9,5,432,7,1.62,1,0.23,2,0.46,1,0.23,1,0.23,09005
9,6,415,9,2.17,2,0.48,0,0.0,1,0.24,0,0.0,09006
9,7,339,17,5.01,2,0.59,0,0.0,2,0.59,0,0.0,09007
9,8,471,21,4.46,3,0.64,1,0.21,0,0.0,1,0.21,09008
9,9,507,10,1.97,1,0.2,2,0.39,0,0.0,0,0.0,09009
9,10,346,10,2.89,1,0.29,0,0.0,1,0.29,0,0.0,09010
9,11,322,14,4.35,0,0.0,1,0.31,1,0.31,0,0.0,09011
9,12,504,25,4.96,3,0.6,0,0.0,0,0.0,2,0.4,09012
9,13,491,12,2.44,2,0.41,0,0.0,0,0.0,0,0.0,09013
9,14,494,17,3.44,1,0.2,1,0.2,0,0.0,0,0.0,09014
9,15,571,30,5.25,3,0.53,2,0.35,1,0.18,2,0.35,09015
9,16,419,14,3.34,3,0.72,1,0.24,1,0.24,1,0.24,09016
9,17,344,10,2.91,3,0.87,1,0.29,1,0.29,1,0.29,09017
9,18,317,5,1.58,0,0.0,2,0.63,0,0.0,0,0.0,09018
9,19,436,8,1.83,2,0.46,1,0.23,1,0.23,0,0.0,09019
9,20,413,10,2.42,3,0.73,3,0.73,1,0.24,0,0.0,09020
9,21,424,17,4.01,0,0.0,0,0.0,0,0.0,1,0.24,09021
9,22,478,27,5.65,4,0.84,0,0.0,0,0.0,0,0.0,09022
9,23,499,10,2.0,2,0.4,2,0.4,1,0.2,0,0.0,09023
9,24,441,16,3.63,2,0.45,2,0.45,1,0.23,1,0.23,09024
9,25,428,10,2.34,1,0.23,1,0.23,0,0.0,2,0.47,09025
9,26,559,24,4.29,3,0.54,4,0.72,1,0.18,2,0.36,09026
9,27,367,9,2.45,2,0.54,1,0.27,1,0.27,0,0.0,09027
9,28,286,26,9.09,0,0.0,0,0.0,0,0.0,0,0.0,09028
9,29,396,16,4.04,2,0.51,0,0.0,0,0.0,1,0.25,09029
9,30,381,21,5.51,0,0.0,0,0.0,0,0.0,0,0.0,09030
9,31,364,15,4.12,1,0.27,1,0.27,0,0.0,1,0.27,09031
9,32,445,22,4.94,2,0.45,0,0.0,0,0.0,1,0.22,09032
9,33,338,14,4.14,2,0.59,0,0.0,0,0.0,0,0.0,09033
9,34,366,17,4.64,3,0.82,0,0.0,0,0.0,1,0.27,09034
9,35,405,13,3.21,3,0.74,2,0.49,0,0.0,2,0.49,09035
9,36,381,8,2.1,2,0.52,1,0.26,0,0.0,1,0.26,09036
9,37,670,88,13.13,7,1.04,4,0.6,1,0.15,4,0.6,09037
9,38,431,14,3.25,3,0.7,1,0.23,1,0.23,0,0.0,09038
9,39,461,10,2.17,2,0.43,1,0.22,0,0.0,0,0.0,09039
9,40,480,13,2.71,2,0.42,2,0.42,0,0.0,1,0.21,09040
9,41,369,14,3.79,2,0.54,1,0.27,0,0.0,0,0.0,09041
9,42,455,15,3.3,5,1.1,0,0.0,0,0.0,0,0.0,09042
9,43,411,19,4.62,2,0.49,1,0.24,0,0.0,4,0.97,09043
9,44,373,8,2.14,0,0.0,0,0.0,0,0.0,0,0.0,09044
9,45,363,9,2.48,3,0.83,1,0.28,0,0.0,0,0.0,09045
9,46,417,23,5.52,4,0.96,0,0.0,0,0.0,1,0.24,09046
9,47,456,5,1.1,4,0.88,0,0.0,0,0.0,2,0.44,09047
9,48,462,14,3.03,1,0.22,0,0.0,1,0.22,0,0.0,09048
9,49,478,15,3.14,0,0.0,0,0.0,0,0.0,3,0.63,09049
9,50,603,19,3.15,3,0.5,0,0.0,1,0.17,1,0.17,09050
9,51,423,12,2.84,1,0.24,1,0.24,1,0.24,0,0.0,09051
10,1,388,34,8.76,1,0.26,1,0.26,0,0.0,3,0.77,10001
10,2,486,189,38.89,4,0.82,0,0.0,1,0.21,2,0.41,10002
10,3,525,177,33.71,3,0.57,0,0.0,0,0.0,2,0.38,10003
10,4,385,30,7.79,0,0.0,2,0.52,0,0.0,1,0.26,10004
10,5,412,138,33.5,3,0.73,2,0.49,0,0.0,2,0.49,10005
10,6,428,94,21.96,2,0.47,2,0.47,0,0.0,1,0.23,10006
10,7,365,61,16.71,2,0.55,2,0.55,0,0.0,2,0.55,10007
10,8,269,21,7.81,2,0.74,0,0.0,0,0.0,1,0.37,10008
10,9,481,174,36.17,0,0.0,2,0.42,0,0.0,1,0.21,10009
10,10,531,136,25.61,1,0.19,2,0.38,1,0.19,3,0.56,10010
10,11,619,118,19.06,1,0.16,6,0.97,0,0.0,3,0.48,10011
10,12,354,89,25.14,1,0.28,1,0.28,1,0.28,1,0.28,10012
10,13,437,53,12.13,1,0.23,0,0.0,1,0.23,4,0.92,10013
10,14,624,131,20.99,3,0.48,1,0.16,0,0.0,1,0.16,10014
10,15,799,25,3.13,6,0.75,2,0.25,1,0.13,1,0.13,10015
10,16,390,112,28.72,8,2.05,0,0.0,0,0.0,3,0.77,10016
10,17,656,224,34.15,6,0.91,2,0.3,0,0.0,4,0.61,10017
10,18,288,16,5.56,2,0.69,1,0.35,0,0.0,1,0.35,10018
10,19,515,147,28.54,5,0.97,0,0.0,1,0.19,1,0.19,10019
10,20,515,105,20.39,2,0.39,3,0.58,0,0.0,1,0.19,10020
10,21,513,124,24.17,3,0.58,3,0.58,1,0.19,0,0.0,10021
10,22,288,49,17.01,1,0.35,0,0.0,2,0.69,2,0.69,10022
10,23,425,71,16.71,7,1.65,0,0.0,0,0.0,0,0.0,10023
10,24,511,204,39.92,2,0.39,0,0.0,0,0.0,2,0.39,10024
10,25,141,5,3.55,0,0.0,1,0.71,0,0.0,1,0.71,10025
10,26,355,43,12.11,3,0.85,3,0.85,0,0.0,2,0.56,10026
10,27,438,37,8.45,0,0.0,1,0.23,0,0.0,1,0.23,10027
10,28,553,92,16.64,3,0.54,1,0.18,0,0.0,2,0.36,10028
10,29,516,87,16.86,2,0.39,1,0.19,1,0.19,4,0.78,10029
10,30,454,81,17.84,1,0.22,6,1.32,2,0.44,3,0.66,10030
10,31,414,54,13.04,2,0.48,3,0.72,0,0.0,1,0.24,10031
10,32,514,120,23.35,0,0.0,2,0.39,0,0.0,1,0.19,10032
10,33,382,54,14.14,1,0.26,2,0.52,0,0.0,1,0.26,10033
10,34,344,36,10.47,1,0.29,2,0.58,0,0.0,0,0.0,10034
10,35,532,173,32.52,2,0.38,3,0.56,0,0.0,1,0.19,10035
10,36,131,15,11.45,1,0.76,0,0.0,0,0.0,1,0.76,10036
11,1,627,166,26.48,6,0.96,2,0.32,2,0.32,8,1.28,11001
11,2,54,15,27.78,0,0.0,0,0.0,0,0.0,0,0.0,11002
11,3,607,51,8.4,6,0.99,3,0.49,2,0.33,5,0.82,11003
11,4,523,140,26.77,1,0.19,3,0.57,0,0.0,2,0.38,11004
11,5,762,141,18.5,15,1.97,4,0.52,6,0.79,4,0.52,11005
11,6,904,122,13.5,5,0.55,0,0.0,0,0.0,10,1.11,11006
11,7,568,59,10.39,4,0.7,1,0.18,0,0.0,4,0.7,11007
11,8,565,139,24.6,2,0.35,1,0.18,2,0.35,3,0.53,11008
11,9,539,166,30.8,3,0.56,2,0.37,3,0.56,7,1.3,11009
11,10,620,199,32.1,4,0.65,1,0.16,1,0.16,3,0.48,11010
11,11,682,204,29.91,3,0.44,2,0.29,3,0.44,3,0.44,11011
11,12,772,420,54.4,6,0.78,1,0.13,1,0.13,5,0.65,11012
11,13,748,400,53.48,4,0.53,2,0.27,1,0.13,7,0.94,11013
11,14,422,177,41.94,4,0.95,0,0.0,2,0.47,1,0.24,11014
11,15,247,68,27.53,1,0.4,3,1.21,1,0.4,1,0.4,11015
11,16,447,163,36.47,2,0.45,2,0.45,2,0.45,4,0.89,11016
11,17,716,155,21.65,12,1.68,1,0.14,1,0.14,6,0.84,11017
11,18,517,183,35.4,6,1.16,1,0.19,2,0.39,3,0.58,11018
11,19,783,165,21.07,10,1.28,5,0.64,4,0.51,9,1.15,11019
11,20,445,174,39.1,4,0.9,1,0.22,0,0.0,2,0.45,11020
11,21,705,291,41.28,5,0.71,2,0.28,1,0.14,8,1.13,11021
11,22,737,223,30.26,2,0.27,4,0.54,3,0.41,5,0.68,11022
11,23,340,122,35.88,4,1.18,3,0.88,0,0.0,7,2.06,11023
11,24,640,259,40.47,5,0.78,0,0.0,0,0.0,7,1.09,11024
11,25,742,187,25.2,7,0.94,3,0.4,2,0.27,6,0.81,11025
11,26,630,189,30.0,8,1.27,5,0.79,0,0.0,5,0.79,11026
11,27,258,86,33.33,2,0.78,1,0.39,0,0.0,3,1.16,11027
11,28,292,131,44.86,1,0.34,0,0.0,1,0.34,3,1.03,11028
11,29,699,283,40.49,5,0.72,0,0.0,0,0.0,7,1.0,11029
11,30,352,132,37.5,0,0.0,0,0.0,0,0.0,0,0.0,11030
11,31,607,276,45.47,3,0.49,0,0.0,1,0.16,2,0.33,11031
11,32,276,143,51.81,2,0.72,0,0.0,0,0.0,4,1.45,11032
11,33,771,150,19.46,4,0.52,2,0.26,2,0.26,6,0.78,11033
11,34,249,96,38.55,0,0.0,0,0.0,0,0.0,1,0.4,11034
11,35,138,52,37.68,2,1.45,0,0.0,1,0.72,1,0.72,11035
11,36,300,99,33.0,5,1.67,0,0.0,0,0.0,0,0.0,11036
11,37,230,48,20.87,1,0.43,1,0.43,2,0.87,1,0.43,11037
11,38,307,35,11.4,6,1.95,3,0.98,0,0.0,2,0.65,11038
12,1,505,92,18.22,5,0.99,6,1.19,0,0.0,5,0.99,12001
12,2,463,79,17.06,3,0.65,3,0.65,0,0.0,1,0.22,12002
12,3,621,98,15.78,5,0.81,4,0.64,0,0.0,8,1.29,12003
12,4,584,111,19.01,10,1.71,5,0.86,1,0.17,4,0.68,12004
12,5,493,149,30.22,1,0.2,2,0.41,4,0.81,2,0.41,12005
12,6,630,127,20.16,6,0.95,0,0.0,2,0.32,9,1.43,12006
12,7,475,39,8.21,7,1.47,6,1.26,2,0.42,3,0.63,12007
12,8,538,116,21.56,7,1.3,3,0.56,0,0.0,3,0.56,12008
12,9,467,96,20.56,3,0.64,4,0.86,1,0.21,4,0.86,12009
12,10,645,45,6.98,9,1.4,3,0.47,1,0.16,3,0.47,12010
12,11,559,102,18.25,0,0.0,4,0.72,0,0.0,0,0.0,12011
12,12,520,94,18.08,4,0.77,2,0.38,0,0.0,0,0.0,12012
12,13,577,111,19.24,3,0.52,2,0.35,1,0.17,1,0.17,12013
12,14,464,42,9.05,1,0.22,1,0.22,1,0.22,4,0.86,12014
12,15,467,51,10.92,6,1.28,3,0.64,0,0.0,0,0.0,12015
12,16,460,49,10.65,2,0.43,3,0.65,0,0.0,4,0.87,12016
12,17,597,103,17.25,3,0.5,5,0.84,0,0.0,5,0.84,12017
12,18,445,45,10.11,4,0.9,6,1.35,2,0.45,3,0.67,12018
12,19,514,101,19.65,5,0.97,4,0.78,0,0.0,1,0.19,12019
12,20,605,101,16.69,4,0.66,2,0.33,0,0.0,4,0.66,12020
12,21,541,80,14.79,2,0.37,2,0.37,0,0.0,7,1.29,12021
12,22,482,44,9.13,12,2.49,4,0.83,2,0.41,1,0.21,12022
12,23,549,99,18.03,3,0.55,3,0.55,1,0.18,4,0.73,12023
13,1,433,166,38.34,3,0.69,0,0.0,1,0.23,3,0.69,13001
13,2,366,171,46.72,1,0.27,1,0.27,0,0.0,1,0.27,13002
13,3,370,59,15.95,2,0.54,2,0.54,1,0.27,3,0.81,13003
13,4,502,229,45.62,5,1.0,2,0.4,0,0.0,1,0.2,13004
13,5,530,98,18.49,3,0.57,0,0.0,0,0.0,5,0.94,13005
13,6,426,217,50.94,2,0.47,0,0.0,0,0.0,2,0.47,13006
13,7,383,90,23.5,3,0.78,5,1.31,1,0.26,5,1.31,13007
13,8,349,125,35.82,1,0.29,1,0.29,0,0.0,0,0.0,13008
13,9,474,95,20.04,7,1.48,2,0.42,1,0.21,0,0.0,13009
13,10,400,234,58.5,1,0.25,0,0.0,1,0.25,4,1.0,13010
13,11,482,194,40.25,0,0.0,0,0.0,0,0.0,1,0.21,13011
13,12,424,113,26.65,5,1.18,0,0.0,0,0.0,2,0.47,13012
13,13,428,97,22.66,1,0.23,1,0.23,1,0.23,1,0.23,13013
13,14,435,101,23.22,4,0.92,1,0.23,1,0.23,2,0.46,13014
13,15,637,104,16.33,6,0.94,2,0.31,1,0.16,3,0.47,13015
13,16,325,48,14.77,0,0.0,0,0.0,0,0.0,1,0.31,13016
13,17,394,136,34.52,4,1.02,0,0.0,0,0.0,1,0.25,13017
13,18,378,166,43.92,3,0.79,1,0.26,0,0.0,3,0.79,13018
13,19,563,68,12.08,4,0.71,7,1.24,0,0.0,3,0.53,13019
13,20,323,164,50.77,0,0.0,0,0.0,1,0.31,2,0.62,13020
13,21,525,267,50.86,2,0.38,1,0.19,4,0.76,3,0.57,13021
13,22,514,245,47.67,4,0.78,0,0.0,1,0.19,4,0.78,13022
13,23,371,68,18.33,1,0.27,3,0.81,2,0.54,2,0.54,13023
13,24,448,128,28.57,2,0.45,1,0.22,0,0.0,0,0.0,13024
13,25,456,100,21.93,2,0.44,2,0.44,0,0.0,1,0.22,13025
13,26,464,150,32.33,2,0.43,3,0.65,1,0.22,4,0.86,13026
13,27,448,153,34.15,2,0.45,0,0.0,0,0.0,4,0.89,13027
13,28,344,73,21.22,1,0.29,0,0.0,0,0.0,0,0.0,13028
13,29,361,98,27.15,0,0.0,0,0.0,0,0.0,1,0.28,13029
13,30,352,42,11.93,4,1.14,0,0.0,0,0.0,1,0.28,13030
13,31,506,245,48.42,0,0.0,1,0.2,0,0.0,5,0.99,13031
13,32,407,225,55.28,1,0.25,0,0.0,0,0.0,3,0.74,13032
13,33,432,207,47.92,2,0.46,1,0.23,1,0.23,4,0.93,13033
13,34,437,55,12.59,1,0.23,2,0.46,0,0.0,1,0.23,13034
13,35,395,90,22.78,3,0.76,1,0.25,1,0.25,3,0.76,13035
13,36,318,56,17.61,1,0.31,2,0.63,0,0.0,1,0.31,13036
13,37,446,78,17.49,2,0.45,2,0.45,0,0.0,0,0.0,13037
13,38,385,191,49.61,3,0.78,0,0.0,0,0.0,2,0.52,13038
13,39,418,80,19.14,5,1.2,0,0.0,0,0.0,1,0.24,13039
13,40,446,130,29.15,3,0.67,2,0.45,0,0.0,5,1.12,13040
13,41,525,67,12.76,5,0.95,2,0.38,0,0.0,3,0.57,13041
13,42,471,243,51.59,0,0.0,0,0.0,1,0.21,4,0.85,13042
13,43,452,138,30.53,5,1.11,0,0.0,0,0.0,3,0.66,13043
13,44,460,71,15.43,2,0.43,1,0.22,2,0.43,0,0.0,13044
13,45,471,182,38.64,3,0.64,2,0.42,0,0.0,1,0.21,13045
13,46,507,117,23.08,1,0.2,6,1.18,0,0.0,7,1.38,13046
13,47,521,86,16.51,4,0.77,5,0.96,0,0.0,0,0.0,13047
13,48,394,174,44.16,3,0.76,0,0.0,0,0.0,1,0.25,13048
14,1,559,301,53.85,1,0.18,0,0.0,0,0.0,3,0.54,14001
14,2,647,120,18.55,5,0.77,1,0.15,2,0.31,4,0.62,14002
14,3,484,77,15.91,2,0.41,0,0.0,0,0.0,1,0.21,14003
14,4,531,257,48.4,1,0.19,0,0.0,1,0.19,4,0.75,14004
14,5,699,80,11.44,3,0.43,3,0.43,2,0.29,2,0.29,14005
14,6,260,32,12.31,5,1.92,0,0.0,1,0.38,0,0.0,14006
14,7,637,114,17.9,3,0.47,2,0.31,1,0.16,4,0.63,14007
14,8,599,137,22.87,3,0.5,7,1.17,2,0.33,3,0.5,14008
14,9,638,261,40.91,3,0.47,1,0.16,0,0.0,3,0.47,14009
14,10,356,75,21.07,1,0.28,1,0.28,0,0.0,3,0.84,14010
14,11,287,33,11.5,1,0.35,0,0.0,0,0.0,0,0.0,14011
14,12,548,147,26.82,3,0.55,1,0.18,0,0.0,0,0.0,14012
14,13,446,84,18.83,5,1.12,1,0.22,0,0.0,2,0.45,14013
14,14,481,71,14.76,2,0.42,2,0.42,1,0.21,3,0.62,14014
14,15,525,54,10.29,4,0.76,3,0.57,0,0.0,1,0.19,14015
14,16,367,74,20.16,3,0.82,0,0.0,0,0.0,0,0.0,14016
14,17,429,72,16.78,1,0.23,1,0.23,0,0.0,2,0.47,14017
14,18,240,60,25.0,3,1.25,1,0.42,1,0.42,0,0.0,14018
14,19,462,74,16.02,3,0.65,5,1.08,0,0.0,2,0.43,14019
14,20,375,66,17.6,2,0.53,1,0.27,1,0.27,4,1.07,14020
14,21,470,75,15.96,3,0.64,3,0.64,2,0.43,2,0.43,14021
14,22,706,228,32.29,3,0.42,4,0.57,0,0.0,4,0.57,14022
14,23,423,131,30.97,0,0.0,0,0.0,0,0.0,1,0.24,14023
14,24,605,277,45.79,3,0.5,0,0.0,1,0.17,3,0.5,14024
14,25,288,47,16.32,4,1.39,1,0.35,0,0.0,1,0.35,14025
14,26,373,34,9.12,1,0.27,0,0.0,4,1.07,1,0.27,14026
14,27,500,110,22.0,4,0.8,5,1.0,2,0.4,7,1.4,14027
14,28,408,86,21.08,2,0.49,3,0.74,3,0.74,4,0.98,14028
14,29,375,55,14.67,4,1.07,1,0.27,0,0.0,1,0.27,14029
14,30,323,26,8.05,0,0.0,1,0.31,1,0.31,0,0.0,14030
14,31,261,41,15.71,5,1.92,1,0.38,0,0.0,1,0.38,14031
15,1,427,49,11.48,5,1.17,5,1.17,2,0.47,3,0.7,15001
15,2,267,11,4.12,0,0.0,0,0.0,1,0.37,0,0.0,15002
15,3,285,9,3.16,1,0.35,1,0.35,0,0.0,0,0.0,15003
15,4,495,58,11.72,3,0.61,2,0.4,0,0.0,4,0.81,15004
15,5,465,61,13.12,5,1.08,1,0.22,0,0.0,4,0.86,15005
15,6,504,85,16.87,4,0.79,4,0.79,1,0.2,1,0.2,15006
15,7,289,12,4.15,4,1.38,0,0.0,0,0.0,0,0.0,15007
15,8,481,69,14.35,1,0.21,1,0.21,1,0.21,3,0.62,15008
15,9,642,89,13.86,2,0.31,3,0.47,1,0.16,3,0.47,15009
15,10,661,114,17.25,6,0.91,4,0.61,0,0.0,6,0.91,15010
15,11,589,103,17.49,1,0.17,3,0.51,0,0.0,1,0.17,15011
15,12,580,94,16.21,4,0.69,2,0.34,0,0.0,2,0.34,15012
15,13,482,67,13.9,7,1.45,1,0.21,0,0.0,4,0.83,15013
15,14,429,49,11.42,0,0.0,3,0.7,1,0.23,1,0.23,15014
15,15,430,61,14.19,0,0.0,3,0.7,1,0.23,1,0.23,15015
15,16,540,64,11.85,3,0.56,3,0.56,0,0.0,3,0.56,15016
15,17,278,12,4.32,3,1.08,0,0.0,1,0.36,3,1.08,15017
15,18,260,16,6.15,1,0.38,0,0.0,0,0.0,0,0.0,15018
15,19,407,37,9.09,5,1.23,0,0.0,0,0.0,1,0.25,15019
15,20,285,10,3.51,0,0.0,0,0.0,0,0.0,1,0.35,15020
15,21,235,8,3.4,1,0.43,1,0.43,0,0.0,0,0.0,15021
15,22,293,21,7.17,4,1.37,0,0.0,2,0.68,1,0.34,15022
15,23,306,8,2.61,3,0.98,0,0.0,0,0.0,0,0.0,15023
15,24,291,18,6.19,3,1.03,2,0.69,0,0.0,0,0.0,15024
16,1,574,70,12.2,8,1.39,2,0.35,1,0.17,5,0.87,16001
16,2,347,23,6.63,2,0.58,1,0.29,0,0.0,0,0.0,16002
16,3,315,18,5.71,1,0.32,1,0.32,0,0.0,0,0.0,16003
16,4,407,23,5.65,4,0.98,1,0.25,0,0.0,1,0.25,16004
16,5,257,9,3.5,3,1.17,1,0.39,2,0.78,0,0.0,16005
16,6,322,8,2.48,2,0.62,2,0.62,0,0.0,0,0.0,16006
16,7,358,19,5.31,1,0.28,0,0.0,1,0.28,0,0.0,16007
16,8,257,13,5.06,1,0.39,2,0.78,1,0.39,0,0.0,16008
16,9,334,7,2.1,0,0.0,1,0.3,0,0.0,1,0.3,16009
16,10,324,15,4.63,0,0.0,0,0.0,1,0.31,0,0.0,16010
16,11,373,22,5.9,5,1.34,0,0.0,0,0.0,1,0.27,16011
16,12,328,21,6.4,1,0.3,7,2.13,0,0.0,1,0.3,16012
16,13,425,31,7.29,4,0.94,3,0.71,2,0.47,2,0.47,16013
16,14,286,13,4.55,4,1.4,2,0.7,0,0.0,0,0.0,16014
16,15,346,15,4.34,0,0.0,1,0.29,3,0.87,0,0.0,16015
16,16,314,10,3.18,0,0.0,0,0.0,2,0.64,0,0.0,16016
16,17,482,52,10.79,1,0.21,1,0.21,1,0.21,0,0.0,16017
16,18,418,31,7.42,1,0.24,1,0.24,2,0.48,1,0.24,16018
16,19,360,24,6.67,1,0.28,2,0.56,1,0.28,3,0.83,16019
16,20,272,11,4.04,2,0.74,0,0.0,0,0.0,0,0.0,16020
16,21,314,13,4.14,1,0.32,1,0.32,1,0.32,1,0.32,16021
16,22,333,18,5.41,1,0.3,3,0.9,1,0.3,3,0.9,16022
16,23,492,51,10.37,4,0.81,3,0.61,0,0.0,2,0.41,16023
16,24,183,8,4.37,0,0.0,0,0.0,0,0.0,0,0.0,16024
16,25,408,19,4.66,2,0.49,1,0.25,1,0.25,2,0.49,16025
16,26,272,8,2.94,1,0.37,0,0.0,1,0.37,2,0.74,16026
16,27,281,12,4.27,2,0.71,0,0.0,1,0.36,1,0.36,16027
16,28,325,13,4.0,3,0.92,0,0.0,1,0.31,0,0.0,16028
16,29,304,12,3.95,0,0.0,0,0.0,0,0.0,0,0.0,16029
16,30,290,16,5.52,0,0.0,2,0.69,2,0.69,0,0.0,16030
16,31,347,16,4.61,3,0.86,3,0.86,1,0.29,3,0.86,16031
16,32,479,58,12.11,2,0.42,3,0.63,0,0.0,4,0.84,16032
16,33,290,7,2.41,5,1.72,0,0.0,2,0.69,0,0.0,16033
16,34,308,11,3.57,3,0.97,1,0.32,1,0.32,3,0.97,16034
16,35,529,54,10.21,1,0.19,1,0.19,0,0.0,2,0.38,16035
16,36,247,18,7.29,4,1.62,0,0.0,0,0.0,0,0.0,16036
17,1,489,53,10.84,4,0.82,1,0.2,0,0.0,3,0.61,17001
17,2,429,14,3.26,2,0.47,1,0.23,1,0.23,0,0.0,17002
17,3,427,25,5.85,0,0.0,1,0.23,0,0.0,2,0.47,17003
17,4,519,26,5.01,3,0.58,2,0.39,0,0.0,1,0.19,17004
17,5,334,15,4.49,1,0.3,0,0.0,1,0.3,0,0.0,17005
17,6,443,27,6.09,2,0.45,2,0.45,0,0.0,1,0.23,17006
17,7,428,28,6.54,1,0.23,1,0.23,1,0.23,0,0.0,17007
17,8,400,28,7.0,6,1.5,0,0.0,0,0.0,1,0.25,17008
17,9,329,9,2.74,0,0.0,3,0.91,2,0.61,2,0.61,17009
17,10,550,34,6.18,7,1.27,1,0.18,0,0.0,0,0.0,17010
17,11,332,14,4.22,0,0.0,0,0.0,0,0.0,0,0.0,17011
17,12,601,67,11.15,3,0.5,2,0.33,0,0.0,4,0.67,17012
17,13,354,14,3.95,0,0.0,1,0.28,0,0.0,1,0.28,17013
17,14,484,33,6.82,0,0.0,0,0.0,0,0.0,0,0.0,17014
17,15,439,20,4.56,2,0.46,1,0.23,0,0.0,1,0.23,17015
17,16,496,35,7.06,3,0.6,1,0.2,1,0.2,0,0.0,17016
17,17,435,29,6.67,2,0.46,0,0.0,1,0.23,0,0.0,17017
17,18,467,11,2.36,1,0.21,1,0.21,0,0.0,1,0.21,17018
17,19,255,11,4.31,1,0.39,0,0.0,0,0.0,0,0.0,17019
17,20,508,13,2.56,2,0.39,0,0.0,0,0.0,0,0.0,17020
17,21,502,8,1.59,1,0.2,1,0.2,0,0.0,0,0.0,17021
17,22,396,18,4.55,0,0.0,2,0.51,0,0.0,0,0.0,17022
17,23,284,12,4.23,0,0.0,1,0.35,0,0.0,0,0.0,17023
17,24,438,11,2.51,2,0.46,0,0.0,0,0.0,2,0.46,17024
17,25,350,13,3.71,2,0.57,1,0.29,0,0.0,3,0.86,17025
17,26,438,12,2.74,1,0.23,0,0.0,0,0.0,0,0.0,17026
17,27,401,13,3.24,2,0.5,0,0.0,1,0.25,1,0.25,17027
17,28,345,11,3.19,0,0.0,0,0.0,0,0.0,0,0.0,17028
17,29,422,12,2.84,3,0.71,1,0.24,0,0.0,0,0.0,17029
17,30,421,52,12.35,2,0.48,0,0.0,0,0.0,2,0.48,17030
17,31,254,4,1.57,0,0.0,1,0.39,1,0.39,0,0.0,17031
17,32,343,9,2.62,3,0.87,4,1.17,0,0.0,0,0.0,17032
17,33,290,19,6.55,18,6.21,7,2.41,12,4.14,18,6.21,17033
17,34,291,8,2.75,1,0.34,0,0.0,0,0.0,1,0.34,17034
17,35,291,3,1.03,1,0.34,2,0.69,1,0.34,2,0.69,17035
17,36,390,15,3.85,2,0.51,0,0.0,1,0.26,1,0.26,17036
17,37,334,18,5.39,1,0.3,0,0.0,2,0.6,0,0.0,17037
17,38,474,13,2.74,1,0.21,0,0.0,0,0.0,1,0.21,17038
17,39,423,17,4.02,3,0.71,1,0.24,0,0.0,2,0.47,17039
17,40,449,15,3.34,0,0.0,1,0.22,0,0.0,1,0.22,17040
17,41,546,16,2.93,3,0.55,3,0.55,0,0.0,0,0.0,17041
18,1,444,30,6.76,1,0.23,1,0.23,2,0.45,6,1.35,18001
18,2,528,93,17.61,1,0.19,1,0.19,0,0.0,2,0.38,18002
18,3,444,121,27.25,1,0.23,0,0.0,0,0.0,0,0.0,18003
18,4,487,25,5.13,6,1.23,1,0.21,1,0.21,1,0.21,18004
18,5,287,9,3.14,2,0.7,0,0.0,0,0.0,1,0.35,18005
18,6,437,121,27.69,1,0.23,3,0.69,3,0.69,2,0.46,18006
18,7,493,64,12.98,7,1.42,1,0.2,0,0.0,1,0.2,18007
18,8,459,17,3.7,1,0.22,0,0.0,2,0.44,0,0.0,18008
18,9,435,18,4.14,1,0.23,0,0.0,0,0.0,1,0.23,18009
18,10,563,22,3.91,3,0.53,1,0.18,1,0.18,2,0.36,18010
18,11,440,58,13.18,4,0.91,1,0.23,0,0.0,1,0.23,18011
18,12,436,18,4.13,1,0.23,0,0.0,1,0.23,2,0.46,18012
