ward,precinct,total,Bobby L. Rush,Bobby L. Rush Percent,Philanise White,Philanise White Percent,precinct_id
21,6,387,379,97.93,8,2.07,21006
21,7,454,444,97.8,10,2.2,21007
21,8,485,464,95.67,21,4.33,21008
21,9,471,457,97.03,14,2.97,21009
21,10,377,361,95.76,16,4.24,21010
21,11,425,417,98.12,8,1.88,21011
21,12,401,386,96.26,15,3.74,21012
21,13,465,453,97.42,12,2.58,21013
21,14,481,462,96.05,19,3.95,21014
21,15,414,404,97.58,10,2.42,21015
21,16,436,416,95.41,20,4.59,21016
21,17,393,375,95.42,18,4.58,21017
21,18,508,495,97.44,13,2.56,21018
21,19,490,482,98.37,8,1.63,21019
21,20,414,403,97.34,11,2.66,21020
21,21,376,365,97.07,11,2.93,21021
21,22,415,401,96.63,14,3.37,21022
21,23,415,404,97.35,11,2.65,21023
21,24,459,447,97.39,12,2.61,21024
21,25,390,377,96.67,13,3.33,21025
21,26,485,469,96.7,16,3.3,21026
21,27,474,463,97.68,11,2.32,21027
21,28,541,531,98.15,10,1.85,21028
21,29,484,467,96.49,17,3.51,21029
21,30,403,391,97.02,12,2.98,21030
21,31,329,319,96.96,10,3.04,21031
21,32,456,446,97.81,10,2.19,21032
21,33,385,373,96.88,12,3.12,21033
21,34,436,420,96.33,16,3.67,21034
21,35,529,512,96.79,17,3.21,21035
21,36,441,428,97.05,13,2.95,21036
21,37,335,325,97.01,10,2.99,21037
21,38,457,447,97.81,10,2.19,21038
21,39,400,394,98.5,6,1.5,21039
21,40,425,413,97.18,12,2.82,21040
21,41,468,450,96.15,18,3.85,21041
21,42,494,482,97.57,12,2.43,21042
21,43,456,439,96.27,17,3.73,21043
21,44,476,448,94.12,28,5.88,21044
21,45,431,422,97.91,9,2.09,21045
21,46,477,466,97.69,11,2.31,21046
21,47,421,408,96.91,13,3.09,21047
21,48,445,429,96.4,16,3.6,21048
21,49,487,473,97.13,14,2.87,21049
21,50,326,316,96.93,10,3.07,21050
21,51,449,437,97.33,12,2.67,21051
21,52,460,448,97.39,12,2.61,21052
21,53,365,347,95.07,18,4.93,21053
21,54,389,384,98.71,5,1.29,21054
34,1,479,474,98.96,5,1.04,34001
34,2,327,312,95.41,15,4.59,34002
34,3,456,442,96.93,14,3.07,34003
34,5,409,397,97.07,12,2.93,34005
34,6,505,481,95.25,24,4.75,34006
34,7,488,474,97.13,14,2.87,34007
34,8,386,375,97.15,11,2.85,34008
34,9,314,296,94.27,18,5.73,34009
34,10,458,442,96.51,16,3.49,34010
34,11,398,386,96.98,12,3.02,34011
34,12,475,456,96.0,19,4.0,34012
34,13,456,433,94.96,23,5.04,34013
34,14,366,356,97.27,10,2.73,34014
34,15,426,415,97.42,11,2.58,34015
34,16,406,394,97.04,12,2.96,34016
34,17,553,538,97.29,15,2.71,34017
34,19,508,489,96.26,19,3.74,34019
34,20,489,470,96.11,19,3.89,34020
34,21,507,495,97.63,12,2.37,34021
34,22,118,116,98.31,2,1.69,34022
34,25,670,651,97.16,19,2.84,34025
34,26,510,504,98.82,6,1.18,34026
34,29,373,360,96.51,13,3.49,34029
34,30,157,147,93.63,10,6.37,34030
34,31,368,359,97.55,9,2.45,34031
34,32,446,437,97.98,9,2.02,34032
34,33,381,375,98.43,6,1.57,34033
34,34,504,496,98.41,8,1.59,34034
34,35,549,527,95.99,22,4.01,34035
34,40,506,499,98.62,7,1.38,34040
34,41,42,41,97.62,1,2.38,34041
34,42,429,417,97.2,12,2.8,34042
34,43,394,384,97.46,10,2.54,34043
34,44,431,423,98.14,8,1.86,34044
34,45,449,436,97.1,13,2.9,34045
34,46,303,295,97.36,8,2.64,34046
34,47,409,403,98.53,6,1.47,34047
34,48,447,435,97.32,12,2.68,34048
34,49,415,406,97.83,9,2.17,34049
34,50,372,361,97.04,11,2.96,34050
34,51,475,456,96.0,19,4.0,34051
34,52,335,326,97.31,9,2.69,34052
