ward,precinct,total,Yes,Yes Percent,No,No Percent,precinct_id
10,38,197,149,75.63,48,24.37,10038
10,39,169,122,72.19,47,27.81,10039
10,40,119,97,81.51,22,18.49,10040
10,41,232,169,72.84,63,27.16,10041
10,42,206,141,68.45,65,31.55,10042
10,43,145,108,74.48,37,25.52,10043
10,44,210,149,70.95,61,29.05,10044
10,45,98,68,69.39,30,30.61,10045
10,46,186,146,78.49,40,21.51,10046
10,47,129,100,77.52,29,22.48,10047
10,48,190,131,68.95,59,31.05,10048
11,1,231,172,74.46,59,25.54,11001
11,2,247,167,67.61,80,32.39,11002
11,3,190,166,87.37,24,12.63,11003
11,4,229,176,76.86,53,23.14,11004
11,5,142,115,80.99,27,19.01,11005
11,6,301,224,74.42,77,25.58,11006
11,7,166,126,75.9,40,24.1,11007
11,8,200,152,76.0,48,24.0,11008
11,9,161,131,81.37,30,18.63,11009
11,10,141,113,80.14,28,19.86,11010
11,11,336,253,75.3,83,24.7,11011
11,12,175,143,81.71,32,18.29,11012
11,13,182,151,82.97,31,17.03,11013
11,14,160,117,73.13,43,26.88,11014
11,15,166,132,79.52,34,20.48,11015
11,16,253,202,79.84,51,20.16,11016
11,17,335,259,77.31,76,22.69,11017
11,18,147,108,73.47,39,26.53,11018
11,19,203,163,80.3,40,19.7,11019
11,20,150,122,81.33,28,18.67,11020
11,21,197,167,84.77,30,15.23,11021
11,22,179,144,80.45,35,19.55,11022
11,23,152,123,80.92,29,19.08,11023
11,24,344,291,84.59,53,15.41,11024
11,25,223,186,83.41,37,16.59,11025
11,26,307,228,74.27,79,25.73,11026
11,27,126,107,84.92,19,15.08,11027
11,28,143,109,76.22,34,23.78,11028
11,29,195,142,72.82,53,27.18,11029
11,30,204,160,78.43,44,21.57,11030
11,31,122,92,75.41,30,24.59,11031
11,32,139,108,77.7,31,22.3,11032
11,33,114,95,83.33,19,16.67,11033
11,34,78,63,80.77,15,19.23,11034
11,35,227,195,85.9,32,14.1,11035
11,36,45,39,86.67,6,13.33,11036
11,37,235,185,78.72,50,21.28,11037
11,38,275,224,81.45,51,18.55,11038
11,39,192,161,83.85,31,16.15,11039
11,40,110,87,79.09,23,20.91,11040
11,41,111,82,73.87,29,26.13,11041
11,42,161,125,77.64,36,22.36,11042
11,43,206,157,76.21,49,23.79,11043
11,44,235,174,74.04,61,25.96,11044
11,45,95,79,83.16,16,16.84,11045
11,46,39,36,92.31,3,7.69,11046
11,47,154,116,75.32,38,24.68,11047
11,48,73,52,71.23,21,28.77,11048
11,49,158,122,77.22,36,22.78,11049
11,50,121,95,78.51,26,21.49,11050
12,1,100,59,59.0,41,41.0,12001
12,2,128,91,71.09,37,28.91,12002
12,3,171,118,69.01,53,30.99,12003
12,4,117,88,75.21,29,24.79,12004
12,5,162,113,69.75,49,30.25,12005
12,6,109,83,76.15,26,23.85,12006
12,7,178,127,71.35,51,28.65,12007
12,8,216,145,67.13,71,32.87,12008
12,9,132,90,68.18,42,31.82,12009
12,10,177,133,75.14,44,24.86,12010
12,11,236,185,78.39,51,21.61,12011
12,12,138,98,71.01,40,28.99,12012
12,13,193,146,75.65,47,24.35,12013
12,14,173,119,68.79,54,31.21,12014
12,15,89,63,70.79,26,29.21,12015
12,16,153,111,72.55,42,27.45,12016
12,17,136,107,78.68,29,21.32,12017
12,18,159,115,72.33,44,27.67,12018
12,19,214,161,75.23,53,24.77,12019
12,20,150,109,72.67,41,27.33,12020
12,21,196,150,76.53,46,23.47,12021
12,22,128,88,68.75,40,31.25,12022
12,23,168,126,75.0,42,25.0,12023
12,24,188,141,75.0,47,25.0,12024
13,1,278,214,76.98,64,23.02,13001
13,2,208,180,86.54,28,13.46,13002
13,3,301,226,75.08,75,24.92,13003
13,4,346,256,73.99,90,26.01,13004
13,5,301,234,77.74,67,22.26,13005
13,6,231,179,77.49,52,22.51,13006
13,7,227,173,76.21,54,23.79,13007
13,8,276,208,75.36,68,24.64,13008
13,9,313,248,79.23,65,20.77,13009
13,10,230,183,79.57,47,20.43,13010
13,11,244,176,72.13,68,27.87,13011
13,12,248,185,74.6,63,25.4,13012
13,13,310,283,91.29,27,8.71,13013
13,14,262,201,76.72,61,23.28,13014
13,15,404,335,82.92,69,17.08,13015
13,16,342,280,81.87,62,18.13,13016
13,17,275,215,78.18,60,21.82,13017
13,18,213,174,81.69,39,18.31,13018
13,19,385,311,80.78,74,19.22,13019
13,20,256,198,77.34,58,22.66,13020
13,21,276,217,78.62,59,21.38,13021
13,22,204,162,79.41,42,20.59,13022
13,23,222,169,76.13,53,23.87,13023
13,24,252,208,82.54,44,17.46,13024
13,25,254,170,66.93,84,33.07,13025
13,26,294,240,81.63,54,18.37,13026
13,27,273,214,78.39,59,21.61,13027
