ward,precinct,total,Dorothy A. Brown,Dorothy A. Brown Percent,Diane Shapiro,Diane Shapiro Percent,Paloma Andrade,Paloma Andrade Percent,precinct_id
10,2,234,156,66.67,63,26.92,15,6.41,10002
10,3,316,175,55.38,122,38.61,19,6.01,10003
10,4,330,277,83.94,22,6.67,31,9.39,10004
10,5,297,210,70.71,58,19.53,29,9.76,10005
10,6,335,327,97.61,4,1.19,4,1.19,10006
10,7,103,92,89.32,6,5.83,5,4.85,10007
10,8,290,169,58.28,98,33.79,23,7.93,10008
10,9,285,164,57.54,101,35.44,20,7.02,10009
10,10,300,168,56.0,102,34.0,30,10.0,10010
10,11,340,233,68.53,66,19.41,41,12.06,10011
10,12,284,198,69.72,49,17.25,37,13.03,10012
10,13,253,168,66.4,53,20.95,32,12.65,10013
10,14,340,207,60.88,93,27.35,40,11.76,10014
10,15,158,103,65.19,43,27.22,12,7.59,10015
10,16,280,152,54.29,109,38.93,19,6.79,10016
10,17,252,151,59.92,76,30.16,25,9.92,10017
10,18,353,317,89.8,11,3.12,25,7.08,10018
10,19,356,224,62.92,97,27.25,35,9.83,10019
10,20,259,159,61.39,70,27.03,30,11.58,10020
10,21,288,164,56.94,96,33.33,28,9.72,10021
10,22,308,279,90.58,11,3.57,18,5.84,10022
10,23,293,224,76.45,34,11.6,35,11.95,10023
10,24,246,128,52.03,103,41.87,15,6.1,10024
10,25,460,405,88.04,29,6.3,26,5.65,10025
10,26,313,222,70.93,55,17.57,36,11.5,10026
10,27,354,220,62.15,95,26.84,39,11.02,10027
10,28,251,237,94.42,6,2.39,8,3.19,10028
10,29,323,315,97.52,5,1.55,3,0.93,10029
10,30,359,269,74.93,54,15.04,36,10.03,10030
10,31,348,238,68.39,72,20.69,38,10.92,10031
10,32,324,216,66.67,60,18.52,48,14.81,10032
10,33,331,232,70.09,57,17.22,42,12.69,10033
10,34,314,243,77.39,35,11.15,36,11.46,10034
10,35,321,244,76.01,42,13.08,35,10.9,10035
10,36,378,329,87.04,16,4.23,33,8.73,10036
10,37,331,292,88.22,19,5.74,20,6.04,10037
10,38,373,242,64.88,76,20.38,55,14.75,10038
10,39,297,215,72.39,46,15.49,36,12.12,10039
10,40,264,221,83.71,14,5.3,29,10.98,10040
10,41,361,213,59.0,108,29.92,40,11.08,10041
10,42,304,171,56.25,113,37.17,20,6.58,10042
10,43,229,193,84.28,12,5.24,24,10.48,10043
10,44,340,251,73.82,47,13.82,42,12.35,10044
10,45,206,148,71.84,29,14.08,29,14.08,10045
10,46,337,251,74.48,52,15.43,34,10.09,10046
10,47,243,166,68.31,47,19.34,30,12.35,10047
10,48,313,290,92.65,10,3.19,13,4.15,10048
11,1,382,263,68.85,85,22.25,34,8.9,11001
11,2,359,227,63.23,63,17.55,69,19.22,11002
11,3,266,204,76.69,29,10.9,33,12.41,11003
11,4,356,242,67.98,86,24.16,28,7.87,11004
11,5,241,168,69.71,32,13.28,41,17.01,11005
11,6,442,286,64.71,75,16.97,81,18.33,11006
11,7,275,190,69.09,61,22.18,24,8.73,11007
11,8,352,240,68.18,73,20.74,39,11.08,11008
11,9,229,155,67.69,52,22.71,22,9.61,11009
11,10,210,150,71.43,30,14.29,30,14.29,11010
11,11,509,345,67.78,129,25.34,35,6.88,11011
11,12,273,190,69.6,63,23.08,20,7.33,11012
11,13,271,189,69.74,67,24.72,15,5.54,11013
11,14,275,181,65.82,74,26.91,20,7.27,11014
11,15,251,167,66.53,73,29.08,11,4.38,11015
11,16,404,275,68.07,66,16.34,63,15.59,11016
11,17,474,319,67.3,79,16.67,76,16.03,11017
11,18,229,137,59.83,50,21.83,42,18.34,11018
11,19,336,219,65.18,76,22.62,41,12.2,11019
11,20,223,137,61.43,68,30.49,18,8.07,11020
11,21,270,186,68.89,68,25.19,16,5.93,11021
11,22,251,183,72.91,52,20.72,16,6.37,11022
11,23,231,158,68.4,55,23.81,18,7.79,11023
11,24,456,296,64.91,129,28.29,31,6.8,11024
11,25,348,224,64.37,92,26.44,32,9.2,11025
11,26,465,324,69.68,76,16.34,65,13.98,11026
11,27,257,159,61.87,76,29.57,22,8.56,11027
11,28,219,137,62.56,65,29.68,17,7.76,11028
11,29,368,260,70.65,60,16.3,48,13.04,11029
11,30,364,223,61.26,70,19.23,71,19.51,11030
11,31,194,112,57.73,68,35.05,14,7.22,11031
11,32,206,140,67.96,59,28.64,7,3.4,11032
11,33,202,145,71.78,50,24.75,7,3.47,11033
11,34,166,125,75.3,35,21.08,6,3.61,11034
11,35,381,266,69.82,98,25.72,17,4.46,11035
11,36,75,50,66.67,18,24.0,7,9.33,11036
11,37,366,236,64.48,103,28.14,27,7.38,11037
11,38,395,259,65.57,117,29.62,19,4.81,11038
11,39,375,246,65.6,100,26.67,29,7.73,11039
11,40,179,116,64.8,55,30.73,8,4.47,11040
11,41,157,109,69.43,32,20.38,16,10.19,11041
11,42,230,161,70.0,56,24.35,13,5.65,11042
11,43,334,213,63.77,105,31.44,16,4.79,11043
11,44,341,210,61.58,85,24.93,46,13.49,11044
11,45,160,101,63.13,43,26.88,16,10.0,11045
11,46,139,119,85.61,17,12.23,3,2.16,11046
11,47,294,195,66.33,74,25.17,25,8.5,11047
11,48,113,74,65.49,32,28.32,7,6.19,11048
11,49,244,158,64.75,69,28.28,17,6.97,11049
11,50,202,129,63.86,59,29.21,14,6.93,11050
12,1,172,125,72.67,16,9.3,31,18.02,12001
12,2,246,159,64.63,38,15.45,49,19.92,12002
12,3,271,180,66.42,43,15.87,48,17.71,12003
12,4,192,130,67.71,28,14.58,34,17.71,12004
12,5,248,175,70.56,33,13.31,40,16.13,12005
12,6,193,152,78.76,9,4.66,32,16.58,12006
12,7,338,235,69.53,24,7.1,79,23.37,12007
12,8,401,276,68.83,62,15.46,63,15.71,12008
12,9,224,163,72.77,24,10.71,37,16.52,12009
12,10,273,185,67.77,44,16.12,44,16.12,12010
12,11,375,281,74.93,30,8.0,64,17.07,12011
12,12,252,176,69.84,38,15.08,38,15.08,12012
12,13,395,291,73.67,58,14.68,46,11.65,12013
12,14,278,203,73.02,45,16.19,30,10.79,12014
12,15,202,158,78.22,16,7.92,28,13.86,12015
12,16,253,191,75.49,25,9.88,37,14.62,12016
12,17,269,216,80.3,31,11.52,22,8.18,12017
12,18,325,249,76.62,16,4.92,60,18.46,12018
12,19,366,274,74.86,44,12.02,48,13.11,12019
12,20,239,177,74.06,36,15.06,26,10.88,12020
12,21,314,214,68.15,58,18.47,42,13.38,12021
12,22,218,169,77.52,19,8.72,30,13.76,12022
12,23,274,194,70.8,40,14.6,40,14.6,12023
12,24,296,225,76.01,33,11.15,38,12.84,12024
13,1,335,217,64.78,102,30.45,16,4.78,13001
13,2,257,207,80.54,37,14.4,13,5.06,13002
13,3,445,304,68.31,83,18.65,58,13.03,13003
13,4,527,310,58.82,183,34.72,34,6.45,13004
13,5,405,314,77.53,59,14.57,32,7.9,13005
13,6,366,254,69.4,72,19.67,40,10.93,13006
13,7,308,229,74.35,58,18.83,21,6.82,13007
13,8,362,215,59.39,122,33.7,25,6.91,13008
13,9,385,268,69.61,73,18.96,44,11.43,13009
13,10,304,207,68.09,80,26.32,17,5.59,13010
13,11,368,282,76.63,55,14.95,31,8.42,13011
13,12,345,223,64.64,88,25.51,34,9.86,13012
13,13,381,307,80.58,53,13.91,21,5.51,13013
13,14,368,256,69.57,80,21.74,32,8.7,13014
13,15,492,363,73.78,88,17.89,41,8.33,13015
13,16,450,338,75.11,73,16.22,39,8.67,13016
13,17,365,240,65.75,100,27.4,25,6.85,13017
13,18,314,235,74.84,57,18.15,22,7.01,13018
13,19,501,416,83.03,53,10.58,32,6.39,13019
13,20,388,303,78.09,55,14.18,30,7.73,13020
13,21,403,301,74.69,74,18.36,28,6.95,13021
13,22,314,232,73.89,61,19.43,21,6.69,13022
13,23,335,245,73.13,58,17.31,32,9.55,13023
13,24,325,239,73.54,70,21.54,16,4.92,13024
13,25,355,230,64.79,92,25.92,33,9.3,13025
13,26,392,281,71.68,82,20.92,29,7.4,13026
13,27,358,251,70.11,90,25.14,17,4.75,13027
13,28,271,198,73.06,41,15.13,32,11.81,13028
13,29,303,215,70.96,64,21.12,24,7.92,13029
13,30,499,389,77.96,65,13.03,45,9.02,13030
13,31,445,367,82.47,45,10.11,33,7.42,13031
13,32,386,346,89.64,29,7.51,11,2.85,13032
13,33,355,253,71.27,67,18.87,35,9.86,13033
13,34,481,396,82.33,49,10.19,36,7.48,13034
13,35,356,277,77.81,44,12.36,35,9.83,13035
13,36,230,173,75.22,46,20.0,11,4.78,13036
13,37,337,246,73.0,58,17.21,33,9.79,13037
13,38,398,292,73.37,77,19.35,29,7.29,13038
13,39,370,272,73.51,73,19.73,25,6.76,13039
13,40,435,307,70.57,90,20.69,38,8.74,13040
13,41,271,210,77.49,34,12.55,27,9.96,13041
13,42,312,246,78.85,56,17.95,10,3.21,13042
13,43,342,230,67.25,85,24.85,27,7.89,13043
13,44,400,330,82.5,45,11.25,25,6.25,13044
13,45,437,313,71.62,99,22.65,25,5.72,13045
13,46,380,286,75.26,67,17.63,27,7.11,13046
13,47,447,350,78.3,68,15.21,29,6.49,13047
14,1,199,156,78.39,18,9.05,25,12.56,14001
14,2,229,160,69.87,48,20.96,21,9.17,14002
14,3,348,262,75.29,35,10.06,51,14.66,14003
14,4,245,174,71.02,30,12.24,41,16.73,14004
14,5,401,324,80.8,26,6.48,51,12.72,14005
14,6,254,188,74.02,38,14.96,28,11.02,14006
14,7,250,183,73.2,36,14.4,31,12.4,14007
14,8,195,152,77.95,23,11.79,20,10.26,14008
14,9,265,210,79.25,27,10.19,28,10.57,14009
14,10,308,220,71.43,47,15.26,41,13.31,14010
14,11,240,194,80.83,15,6.25,31,12.92,14011
14,12,236,186,78.81,26,11.02,24,10.17,14012
14,13,282,206,73.05,48,17.02,28,9.93,14013
14,14,235,187,79.57,26,11.06,22,9.36,14014
14,15,311,248,79.74,34,10.93,29,9.32,14015
14,16,306,228,74.51,47,15.36,31,10.13,14016
14,17,292,206,70.55,66,22.6,20,6.85,14017
14,18,290,222,76.55,35,12.07,33,11.38,14018
14,19,362,290,80.11,30,8.29,42,11.6,14019
14,20,259,178,68.73,35,13.51,46,17.76,14020
14,21,283,220,77.74,32,11.31,31,10.95,14021
14,22,367,271,73.84,50,13.62,46,12.53,14022
14,23,358,261,72.91,52,14.53,45,12.57,14023
14,24,181,130,71.82,23,12.71,28,15.47,14024
14,25,262,173,66.03,58,22.14,31,11.83,14025
14,26,325,251,77.23,33,10.15,41,12.62,14026
14,27,361,248,68.7,75,20.78,38,10.53,14027
14,28,301,212,70.43,49,16.28,40,13.29,14028
14,29,324,265,81.79,35,10.8,24,7.41,14029
14,30,247,170,68.83,45,18.22,32,12.96,14030
14,31,263,211,80.23,27,10.27,25,9.51,14031
14,32,211,175,82.94,8,3.79,28,13.27,14032
14,33,222,177,79.73,22,9.91,23,10.36,14033
14,34,245,208,84.9,14,5.71,23,9.39,14034
14,35,311,255,81.99,20,6.43,36,11.58,14035
15,1,211,176,83.41,19,9.0,16,7.58,15001
15,2,253,246,97.23,4,1.58,3,1.19,15002
15,3,308,294,95.45,2,0.65,12,3.9,15003
15,4,331,316,95.47,9,2.72,6,1.81,15004
15,5,309,305,98.71,2,0.65,2,0.65,15005
15,6,384,363,94.53,15,3.91,6,1.56,15006
15,7,311,303,97.43,4,1.29,4,1.29,15007
15,8,483,460,95.24,12,2.48,11,2.28,15008
15,9,355,338,95.21,11,3.1,6,1.69,15009
15,10,269,199,73.98,29,10.78,41,15.24,15010
15,11,399,388,97.24,6,1.5,5,1.25,15011
15,12,193,192,99.48,0,0.0,1,0.52,15012
15,13,281,244,86.83,16,5.69,21,7.47,15013
15,14,350,261,74.57,43,12.29,46,13.14,15014
15,15,339,281,82.89,17,5.01,41,12.09,15015
15,16,232,177,76.29,37,15.95,18,7.76,15016
15,17,290,284,97.93,3,1.03,3,1.03,15017
15,18,217,213,98.16,3,1.38,1,0.46,15018
15,19,273,265,97.07,4,1.47,4,1.47,15019
15,20,231,226,97.84,3,1.3,2,0.87,15020
15,21,257,250,97.28,4,1.56,3,1.17,15021
15,22,451,427,94.68,11,2.44,13,2.88,15022
15,23,235,229,97.45,4,1.7,2,0.85,15023
15,24,318,289,90.88,16,5.03,13,4.09,15024
15,25,385,346,89.87,16,4.16,23,5.97,15025
15,26,284,276,97.18,5,1.76,3,1.06,15026
15,27,264,251,95.08,7,2.65,6,2.27,15027
15,28,348,262,75.29,50,14.37,36,10.34,15028
15,29,176,167,94.89,3,1.7,6,3.41,15029
15,30,373,357,95.71,9,2.41,7,1.88,15030
15,31,262,256,97.71,5,1.91,1,0.38,15031
15,32,380,345,90.79,13,3.42,22,5.79,15032
15,33,275,260,94.55,9,3.27,6,2.18,15033
15,34,241,234,97.1,4,1.66,3,1.24,15034
15,35,312,308,98.72,2,0.64,2,0.64,15035
15,36,280,274,97.86,5,1.79,1,0.36,15036
15,37,253,245,96.84,5,1.98,3,1.19,15037
15,38,305,287,94.1,9,2.95,9,2.95,15038
15,39,326,318,97.55,5,1.53,3,0.92,15039
15,40,306,299,97.71,4,1.31,3,0.98,15040
15,41,440,416,94.55,19,4.32,5,1.14,15041
15,42,220,217,98.64,3,1.36,0,0.0,15042
15,43,282,277,98.23,2,0.71,3,1.06,15043
15,44,346,308,89.02,20,5.78,18,5.2,15044
15,45,205,190,92.68,5,2.44,10,4.88,15045
15,46,231,229,99.13,1,0.43,1,0.43,15046
15,47,345,342,99.13,2,0.58,1,0.29,15047
15,48,262,247,94.27,9,3.44,6,2.29,15048
15,49,298,266,89.26,17,5.7,15,5.03,15049
15,50,293,279,95.22,9,3.07,5,1.71,15050
15,51,228,222,97.37,5,2.19,1,0.44,15051
15,52,256,249,97.27,7,2.73,0,0.0,15052
16,1,263,240,91.25,6,2.28,17,6.46,16001
16,2,254,245,96.46,4,1.57,5,1.97,16002
16,3,310,305,98.39,2,0.65,3,0.97,16003
16,4,267,237,88.76,12,4.49,18,6.74,16004
16,5,321,314,97.82,5,1.56,2,0.62,16005
16,6,122,118,96.72,2,1.64,2,1.64,16006
16,7,322,305,94.72,10,3.11,7,2.17,16007
16,8,369,352,95.39,5,1.36,12,3.25,16008
16,9,350,346,98.86,3,0.86,1,0.29,16009
16,10,536,517,96.46,9,1.68,10,1.87,16010
16,11,414,382,92.27,13,3.14,19,4.59,16011
16,12,257,245,95.33,9,3.5,3,1.17,16012
16,13,272,219,80.51,26,9.56,27,9.93,16013
16,14,315,310,98.41,2,0.63,3,0.95,16014
16,15,371,361,97.3,5,1.35,5,1.35,16015
16,16,356,348,97.75,6,1.69,2,0.56,16016
16,17,233,171,73.39,33,14.16,29,12.45,16017
16,18,329,319,96.96,7,2.13,3,0.91,16018
16,19,396,375,94.7,12,3.03,9,2.27,16019
16,20,269,262,97.4,4,1.49,3,1.12,16020
16,21,305,221,72.46,34,11.15,50,16.39,16021
16,22,298,296,99.33,0,0.0,2,0.67,16022
16,23,316,266,84.18,21,6.65,29,9.18,16023
16,24,155,149,96.13,5,3.23,1,0.65,16024
16,25,233,231,99.14,0,0.0,2,0.86,16025
16,26,307,302,98.37,3,0.98,2,0.65,16026
16,27,302,297,98.34,2,0.66,3,0.99,16027
16,28,380,370,97.37,4,1.05,6,1.58,16028
16,29,276,268,97.1,4,1.45,4,1.45,16029
16,30,350,338,96.57,4,1.14,8,2.29,16030
16,31,359,355,98.89,3,0.84,1,0.28,16031
16,32,276,198,71.74,36,13.04,42,15.22,16032
16,33,234,225,96.15,5,2.14,4,1.71,16033
16,34,284,271,95.42,4,1.41,9,3.17,16034
16,35,378,313,82.8,24,6.35,41,10.85,16035
16,36,330,324,98.18,4,1.21,2,0.61,16036
16,37,234,230,98.29,3,1.28,1,0.43,16037
16,38,247,241,97.57,5,2.02,1,0.4,16038
16,39,345,263,76.23,42,12.17,40,11.59,16039
16,40,337,330,97.92,6,1.78,1,0.3,16040
16,41,175,173,98.86,1,0.57,1,0.57,16041
16,42,286,223,77.97,18,6.29,45,15.73,16042
16,43,387,378,97.67,8,2.07,1,0.26,16043
16,44,329,299,90.88,18,5.47,12,3.65,16044
17,1,231,225,97.4,3,1.3,3,1.3,17001
17,2,421,403,95.72,12,2.85,6,1.43,17002
17,3,265,257,96.98,5,1.89,3,1.13,17003
17,4,469,457,97.44,7,1.49,5,1.07,17004
17,5,300,297,99.0,2,0.67,1,0.33,17005
17,6,326,318,97.55,4,1.23,4,1.23,17006
17,7,449,440,98.0,2,0.45,7,1.56,17007
17,8,301,297,98.67,1,0.33,3,1.0,17008
17,9,244,241,98.77,3,1.23,0,0.0,17009
17,10,349,343,98.28,4,1.15,2,0.57,17010
17,11,405,401,99.01,2,0.49,2,0.49,17011
17,12,466,459,98.5,3,0.64,4,0.86,17012
17,13,255,246,96.47,4,1.57,5,1.96,17013
17,14,325,315,96.92,3,0.92,7,2.15,17014
17,15,393,386,98.22,5,1.27,2,0.51,17015
17,16,351,345,98.29,4,1.14,2,0.57,17016
17,17,298,293,98.32,3,1.01,2,0.67,17017
17,18,383,375,97.91,6,1.57,2,0.52,17018
17,19,168,166,98.81,0,0.0,2,1.19,17019
17,20,336,331,98.51,3,0.89,2,0.6,17020
17,21,393,385,97.96,5,1.27,3,0.76,17021
17,22,368,363,98.64,4,1.09,1,0.27,17022
17,23,243,235,96.71,5,2.06,3,1.23,17023
17,24,405,393,97.04,9,2.22,3,0.74,17024
17,25,270,266,98.52,4,1.48,0,0.0,17025
17,26,463,460,99.35,2,0.43,1,0.22,17026
17,27,482,472,97.93,4,0.83,6,1.24,17027
17,28,326,317,97.24,4,1.23,5,1.53,17028
17,29,372,358,96.24,6,1.61,8,2.15,17029
17,30,400,397,99.25,2,0.5,1,0.25,17030
17,31,333,326,97.9,4,1.2,3,0.9,17031
17,32,396,389,98.23,2,0.51,5,1.26,17032
17,33,284,281,98.94,2,0.7,1,0.35,17033
17,34,303,297,98.02,3,0.99,3,0.99,17034
17,35,224,218,97.32,4,1.79,2,0.89,17035
17,36,230,228,99.13,2,0.87,0,0.0,17036
17,37,292,281,96.23,2,0.68,9,3.08,17037
17,38,402,392,97.51,6,1.49,4,1.0,17038
17,39,304,300,98.68,2,0.66,2,0.66,17039
17,40,331,321,96.98,7,2.11,3,0.91,17040
17,41,266,261,98.12,2,0.75,3,1.13,17041
17,42,298,295,98.99,0,0.0,3,1.01,17042
17,43,335,329,98.21,2,0.6,4,1.19,17043
17,44,266,263,98.87,1,0.38,2,0.75,17044
17,45,267,262,98.13,4,1.5,1,0.37,17045
17,46,388,376,96.91,9,2.32,3,0.77,17046
17,47,218,215,98.62,1,0.46,2,0.92,17047
17,48,411,405,98.54,5,1.22,1,0.24,17048
17,49,245,241,98.37,2,0.82,2,0.82,17049
17,50,369,359,97.29,7,1.9,3,0.81,17050
17,51,437,424,97.03,7,1.6,6,1.37,17051
17,52,476,473,99.37,2,0.42,1,0.21,17052
17,53,316,306,96.84,6,1.9,4,1.27,17053
17,54,375,367,97.87,4,1.07,4,1.07,17054
17,55,319,312,97.81,2,0.63,5,1.57,17055
17,56,366,354,96.72,7,1.91,5,1.37,17056
17,57,379,376,99.21,2,0.53,1,0.26,17057
17,58,286,276,96.5,6,2.1,4,1.4,17058
17,59,212,210,99.06,1,0.47,1,0.47,17059
17,60,411,402,97.81,4,0.97,5,1.22,17060
17,61,322,319,99.07,2,0.62,1,0.31,17061
17,62,290,282,97.24,5,1.72,3,1.03,17062
17,63,340,332,97.65,4,1.18,4,1.18,17063
17,64,261,258,98.85,1,0.38,2,0.77,17064
18,1,236,216,91.53,13,5.51,7,2.97,18001
18,2,393,351,89.31,31,7.89,11,2.8,18002
18,3,311,181,58.2,108,34.73,22,7.07,18003
18,4,428,410,95.79,14,3.27,4,0.93,18004
18,5,443,429,96.84,9,2.03,5,1.13,18005
18,6,342,222,64.91,106,30.99,14,4.09,18006
18,7,389,341,87.66,36,9.25,12,3.08,18007
18,8,194,186,95.88,6,3.09,2,1.03,18008
18,9,421,387,91.92,24,5.7,10,2.38,18009
18,10,568,538,94.72,22,3.87,8,1.41,18010
18,11,383,310,80.94,52,13.58,21,5.48,18011
18,12,469,445,94.88,22,4.69,2,0.43,18012
18,13,489,454,92.84,26,5.32,9,1.84,18013
18,14,447,426,95.3,15,3.36,6,1.34,18014
18,15,236,172,72.88,44,18.64,20,8.47,18015
18,16,468,444,94.87,16,3.42,8,1.71,18016
18,17,397,348,87.66,28,7.05,21,5.29,18017
18,18,332,321,96.69,7,2.11,4,1.2,18018
18,19,466,460,98.71,5,1.07,1,0.21,18019
18,20,410,403,98.29,4,0.98,3,0.73,18020
18,21,572,524,91.61,40,6.99,8,1.4,18021
18,22,502,479,95.42,17,3.39,6,1.2,18022
18,23,379,352,92.88,17,4.49,10,2.64,18023
18,24,448,438,97.77,6,1.34,4,0.89,18024
18,25,431,424,98.38,5,1.16,2,0.46,18025
18,26,318,303,95.28,11,3.46,4,1.26,18026
18,27,461,417,90.46,31,6.72,13,2.82,18027
18,28,319,179,56.11,117,36.68,23,7.21,18028
18,29,420,351,83.57,55,13.1,14,3.33,18029
18,30,374,366,97.86,3,0.8,5,1.34,18030
18,31,426,397,93.19,22,5.16,7,1.64,18031
18,32,496,490,98.79,4,0.81,2,0.4,18032
18,33,388,372,95.88,6,1.55,10,2.58,18033
18,34,499,461,92.38,30,6.01,8,1.6,18034
18,35,498,467,93.78,22,4.42,9,1.81,18035
18,36,319,265,83.07,44,13.79,10,3.13,18036
18,37,341,324,95.01,12,3.52,5,1.47,18037
18,38,454,442,97.36,6,1.32,6,1.32,18038
18,39,426,402,94.37,11,2.58,13,3.05,18039
18,40,475,449,94.53,19,4.0,7,1.47,18040
18,41,386,261,67.62,110,28.5,15,3.89,18041
18,42,379,319,84.17,41,10.82,19,5.01,18042
18,43,361,295,81.72,41,11.36,25,6.93,18043
18,44,288,261,90.63,21,7.29,6,2.08,18044
18,45,405,395,97.53,5,1.23,5,1.23,18045
18,46,442,437,98.87,3,0.68,2,0.45,18046
18,47,440,407,92.5,22,5.0,11,2.5,18047
18,48,256,175,68.36,61,23.83,20,7.81,18048
18,49,368,353,95.92,9,2.45,6,1.63,18049
18,50,459,441,96.08,12,2.61,6,1.31,18050
18,51,529,523,98.87,4,0.76,2,0.38,18051
18,52,437,430,98.4,2,0.46,5,1.14,18052
18,53,341,330,96.77,7,2.05,4,1.17,18053
18,54,457,438,95.84,11,2.41,8,1.75,18054
18,55,363,222,61.16,127,34.99,14,3.86,18055
18,56,421,346,82.19,48,11.4,27,6.41,18056
18,57,328,288,87.8,20,6.1,20,6.1,18057
18,58,466,452,97.0,10,2.15,4,0.86,18058
18,59,334,321,96.11,9,2.69,4,1.2,18059
18,60,514,504,98.05,6,1.17,4,0.78,18060
18,61,380,371,97.63,4,1.05,5,1.32,18061
18,62,310,248,80.0,38,12.26,24,7.74,18062
19,1,422,248,58.77,161,38.15,13,3.08,19001
19,2,405,332,81.98,58,14.32,15,3.7,19002
19,3,363,173,47.66,182,50.14,8,2.2,19003
19,4,375,204,54.4,164,43.73,7,1.87,19004
19,5,470,373,79.36,83,17.66,14,2.98,19005
19,6,386,211,54.66,153,39.64,22,5.7,19006
19,7,426,266,62.44,138,32.39,22,5.16,19007
19,8,362,197,54.42,154,42.54,11,3.04,19008
19,9,316,173,54.75,134,42.41,9,2.85,19009
19,10,586,404,68.94,154,26.28,28,4.78,19010
19,11,480,246,51.25,227,47.29,7,1.46,19011
19,12,423,217,51.3,191,45.15,15,3.55,19012
19,13,376,341,90.69,23,6.12,12,3.19,19013
19,14,269,138,51.3,116,43.12,15,5.58,19014
19,15,386,181,46.89,189,48.96,16,4.15,19015
19,16,503,290,57.65,197,39.17,16,3.18,19016
19,17,421,241,57.24,153,36.34,27,6.41,19017
19,18,477,307,64.36,137,28.72,33,6.92,19018
19,19,453,303,66.89,119,26.27,31,6.84,19019
19,20,427,344,80.56,57,13.35,26,6.09,19020
19,21,326,182,55.83,125,38.34,19,5.83,19021
19,22,489,307,62.78,155,31.7,27,5.52,19022
19,23,482,282,58.51,185,38.38,15,3.11,19023
19,24,357,169,47.34,174,48.74,14,3.92,19024
19,25,484,287,59.3,173,35.74,24,4.96,19025
19,26,470,280,59.57,166,35.32,24,5.11,19026
19,27,338,260,76.92,48,14.2,30,8.88,19027
19,28,496,444,89.52,30,6.05,22,4.44,19028
19,29,343,168,48.98,159,46.36,16,4.66,19029
19,30,404,225,55.69,167,41.34,12,2.97,19030
19,31,405,246,60.74,135,33.33,24,5.93,19031
19,32,465,282,60.65,158,33.98,25,5.38,19032
19,33,473,250,52.85,208,43.97,15,3.17,19033
19,34,429,258,60.14,148,34.5,23,5.36,19034
19,35,406,269,66.26,123,30.3,14,3.45,19035
19,36,685,568,82.92,85,12.41,32,4.67,19036
19,37,456,350,76.75,80,17.54,26,5.7,19037
19,38,471,394,83.65,56,11.89,21,4.46,19038
19,39,279,266,95.34,10,3.58,3,1.08,19039
19,40,486,316,65.02,137,28.19,33,6.79,19040
19,41,335,160,47.76,159,47.46,16,4.78,19041
19,42,516,399,77.33,89,17.25,28,5.43,19042
19,43,557,530,95.15,12,2.15,15,2.69,19043
19,44,412,194,47.09,201,48.79,17,4.13,19044
19,45,443,246,55.53,179,40.41,18,4.06,19045
19,46,501,269,53.69,218,43.51,14,2.79,19046
19,47,337,284,84.27,44,13.06,9,2.67,19047
19,48,410,396,96.59,10,2.44,4,0.98,19048
19,49,553,459,83.0,73,13.2,21,3.8,19049
19,50,587,572,97.44,7,1.19,8,1.36,19050
19,51,336,167,49.7,152,45.24,17,5.06,19051
19,52,368,194,52.72,161,43.75,13,3.53,19052
19,53,403,238,59.06,150,37.22,15,3.72,19053
19,54,379,176,46.44,188,49.6,15,3.96,19054
19,55,379,212,55.94,150,39.58,17,4.49,19055
19,56,515,362,70.29,139,26.99,14,2.72,19056
19,57,504,354,70.24,121,24.01,29,5.75,19057
19,58,443,220,49.66,210,47.4,13,2.93,19058
19,59,423,205,48.46,199,47.04,19,4.49,19059
19,60,430,406,94.42,13,3.02,11,2.56,19060
19,61,520,341,65.58,152,29.23,27,5.19,19061
19,62,441,297,67.35,124,28.12,20,4.54,19062
19,63,316,267,84.49,42,13.29,7,2.22,19063
19,64,533,384,72.05,125,23.45,24,4.5,19064
19,65,314,249,79.3,47,14.97,18,5.73,19065
19,66,537,514,95.72,15,2.79,8,1.49,19066
20,1,403,395,98.01,4,0.99,4,0.99,20001
20,2,349,340,97.42,5,1.43,4,1.15,20002
20,3,345,333,96.52,9,2.61,3,0.87,20003
20,4,307,227,73.94,26,8.47,54,17.59,20004
20,5,262,255,97.33,3,1.15,4,1.53,20005
20,6,489,476,97.34,6,1.23,7,1.43,20006
20,7,138,134,97.1,3,2.17,1,0.72,20007
20,8,102,70,68.63,16,15.69,16,15.69,20008
20,9,416,393,94.47,15,3.61,8,1.92,20009
20,10,328,323,98.48,4,1.22,1,0.3,20010
20,11,301,297,98.67,2,0.66,2,0.66,20011
20,12,226,221,97.79,3,1.33,2,0.88,20012
20,13,222,218,98.2,2,0.9,2,0.9,20013
20,14,524,518,98.85,5,0.95,1,0.19,20014
20,15,315,238,75.56,32,10.16,45,14.29,20015
20,16,457,434,94.97,11,2.41,12,2.63,20016
20,17,304,297,97.7,4,1.32,3,0.99,20017
20,18,288,283,98.26,2,0.69,3,1.04,20018
20,19,312,305,97.76,2,0.64,5,1.6,20019
20,20,232,231,99.57,1,0.43,0,0.0,20020
20,21,185,137,74.05,19,10.27,29,15.68,20021
20,22,504,475,94.25,19,3.77,10,1.98,20022
20,23,517,512,99.03,3,0.58,2,0.39,20023
20,24,438,419,95.66,7,1.6,12,2.74,20024
