ward,precinct,total,Diane S. Shapiro,Diane S. Shapiro Percent,Dorothy A. Brown,Dorothy A. Brown Percent,precinct_id
17,14,475,42,8.84,433,91.16,17014
17,15,532,26,4.89,506,95.11,17015
17,16,466,33,7.08,433,92.92,17016
17,17,442,32,7.24,410,92.76,17017
17,18,460,20,4.35,440,95.65,17018
17,19,316,10,3.16,306,96.84,17019
17,20,542,14,2.58,528,97.42,17020
17,21,499,26,5.21,473,94.79,17021
17,22,418,11,2.63,407,97.37,17022
17,23,305,11,3.61,294,96.39,17023
17,24,499,19,3.81,480,96.19,17024
17,25,364,13,3.57,351,96.43,17025
17,26,536,12,2.24,524,97.76,17026
17,27,442,14,3.17,428,96.83,17027
17,28,361,11,3.05,350,96.95,17028
17,29,445,18,4.04,427,95.96,17029
17,30,411,65,15.82,346,84.18,17030
17,31,325,13,4.0,312,96.0,17031
17,32,409,7,1.71,402,98.29,17032
17,33,341,8,2.35,333,97.65,17033
17,34,348,11,3.16,337,96.84,17034
17,35,389,15,3.86,374,96.14,17035
17,36,461,8,1.74,453,98.26,17036
17,37,397,17,4.28,380,95.72,17037
17,38,492,21,4.27,471,95.73,17038
17,39,459,18,3.92,441,96.08,17039
17,40,455,10,2.2,445,97.8,17040
17,41,527,10,1.9,517,98.1,17041
18,1,423,33,7.8,390,92.2,18001
18,2,441,98,22.22,343,77.78,18002
18,3,392,125,31.89,267,68.11,18003
18,4,467,29,6.21,438,93.79,18004
18,5,332,12,3.61,320,96.39,18005
18,6,409,150,36.67,259,63.33,18006
18,7,489,81,16.56,408,83.44,18007
18,8,446,26,5.83,420,94.17,18008
18,9,418,38,9.09,380,90.91,18009
18,10,547,28,5.12,519,94.88,18010
18,11,376,62,16.49,314,83.51,18011
18,12,434,25,5.76,409,94.24,18012
18,13,487,30,6.16,457,93.84,18013
18,14,458,24,5.24,434,94.76,18014
18,15,520,99,19.04,421,80.96,18015
18,16,428,32,7.48,396,92.52,18016
18,17,470,47,10.0,423,90.0,18017
18,18,368,14,3.8,354,96.2,18018
18,19,434,20,4.61,414,95.39,18019
18,20,373,16,4.29,357,95.71,18020
18,21,544,51,9.38,493,90.63,18021
18,22,479,21,4.38,458,95.62,18022
18,23,434,29,6.68,405,93.32,18023
18,24,437,118,27.0,319,73.0,18024
18,25,462,130,28.14,332,71.86,18025
18,26,521,36,6.91,485,93.09,18026
18,27,373,35,9.38,338,90.62,18027
18,28,430,154,35.81,276,64.19,18028
18,29,478,57,11.92,421,88.08,18029
18,30,500,173,34.6,327,65.4,18030
18,31,480,31,6.46,449,93.54,18031
18,32,479,18,3.76,461,96.24,18032
18,33,365,9,2.47,356,97.53,18033
18,34,506,37,7.31,469,92.69,18034
18,35,466,36,7.73,430,92.27,18035
18,36,482,97,20.12,385,79.88,18036
18,37,487,24,4.93,463,95.07,18037
18,38,410,19,4.63,391,95.37,18038
18,39,408,31,7.6,377,92.4,18039
18,40,513,110,21.44,403,78.56,18040
18,41,513,30,5.85,483,94.15,18041
18,42,425,32,7.53,393,92.47,18042
18,43,357,106,29.69,251,70.31,18043
18,44,393,154,39.19,239,60.81,18044
18,45,457,63,13.79,394,86.21,18045
18,46,484,130,26.86,354,73.14,18046
18,47,386,22,5.7,364,94.3,18047
18,48,378,15,3.97,363,96.03,18048
18,49,318,17,5.35,301,94.65,18049
18,50,383,24,6.27,359,93.73,18050
19,1,422,255,60.43,167,39.57,19001
19,2,603,132,21.89,471,78.11,19002
19,3,387,276,71.32,111,28.68,19003
19,4,548,343,62.59,205,37.41,19004
19,5,498,175,35.14,323,64.86,19005
19,6,496,306,61.69,190,38.31,19006
19,7,444,208,46.85,236,53.15,19007
19,8,540,367,67.96,173,32.04,19008
19,9,370,210,56.76,160,43.24,19009
19,10,558,228,40.86,330,59.14,19010
19,11,481,334,69.44,147,30.56,19011
19,12,408,288,70.59,120,29.41,19012
19,13,580,49,8.45,531,91.55,19013
19,14,528,175,33.14,353,66.86,19014
19,15,639,424,66.35,215,33.65,19015
19,16,499,319,63.93,180,36.07,19016
19,17,442,262,59.28,180,40.72,19017
19,18,431,186,43.16,245,56.84,19018
19,19,594,250,42.09,344,57.91,19019
19,20,415,89,21.45,326,78.55,19020
19,21,505,320,63.37,185,36.63,19021
19,22,496,224,45.16,272,54.84,19022
19,23,478,278,58.16,200,41.84,19023
19,24,361,240,66.48,121,33.52,19024
19,25,440,230,52.27,210,47.73,19025
19,26,498,273,54.82,225,45.18,19026
19,27,471,90,19.11,381,80.89,19027
19,28,555,49,8.83,506,91.17,19028
19,29,514,327,63.62,187,36.38,19029
19,30,444,286,64.41,158,35.59,19030
19,31,429,195,45.45,234,54.55,19031
19,32,412,229,55.58,183,44.42,19032
19,33,497,345,69.42,152,30.58,19033
19,34,442,230,52.04,212,47.96,19034
19,35,424,201,47.41,223,52.59,19035
19,36,685,118,17.23,567,82.77,19036
19,37,457,96,21.01,361,78.99,19037
19,38,419,86,20.53,333,79.47,19038
19,39,222,20,9.01,202,90.99,19039
19,40,504,172,34.13,332,65.87,19040
19,41,467,298,63.81,169,36.19,19041
19,42,368,111,30.16,257,69.84,19042
19,43,667,51,7.65,616,92.35,19043
19,44,543,347,63.9,196,36.1,19044
19,45,466,268,57.51,198,42.49,19045
19,46,477,291,61.01,186,38.99,19046
19,47,687,136,19.8,551,80.2,19047
19,48,620,26,4.19,594,95.81,19048
19,49,572,92,16.08,480,83.92,19049
19,50,405,189,46.67,216,53.33,19050
19,51,517,280,54.16,237,45.84,19051
19,52,561,357,63.64,204,36.36,19052
19,53,439,227,51.71,212,48.29,19053
19,54,404,271,67.08,133,32.92,19054
19,55,421,279,66.27,142,33.73,19055
19,56,499,210,42.08,289,57.92,19056
19,57,399,119,29.82,280,70.18,19057
20,1,505,19,3.76,486,96.24,20001
20,2,219,12,5.48,207,94.52,20002
20,3,395,15,3.8,380,96.2,20003
20,4,249,23,9.24,226,90.76,20004
20,5,506,23,4.55,483,95.45,20005
20,6,255,16,6.27,239,93.73,20006
20,7,517,16,3.09,501,96.91,20007
20,8,451,14,3.1,437,96.9,20008
20,9,634,30,4.73,604,95.27,20009
20,10,413,19,4.6,394,95.4,20010
20,11,619,24,3.88,595,96.12,20011
20,12,416,13,3.13,403,96.88,20012
20,13,559,16,2.86,543,97.14,20013
20,14,261,12,4.6,249,95.4,20014
20,15,487,68,13.96,419,86.04,20015
20,16,505,44,8.71,461,91.29,20016
20,17,309,24,7.77,285,92.23,20017
20,18,389,17,4.37,372,95.63,20018
20,19,514,16,3.11,498,96.89,20019
20,20,401,54,13.47,347,86.53,20020
20,21,412,23,5.58,389,94.42,20021
20,22,477,24,5.03,453,94.97,20022
20,23,574,20,3.48,554,96.52,20023
20,24,480,41,8.54,439,91.46,20024
20,25,400,20,5.0,380,95.0,20025
20,26,483,39,8.07,444,91.93,20026
20,27,284,12,4.23,272,95.77,20027
20,28,306,11,3.59,295,96.41,20028
20,29,563,20,3.55,543,96.45,20029
20,30,242,13,5.37,229,94.63,20030
20,31,579,18,3.11,561,96.89,20031
20,32,475,15,3.16,460,96.84,20032
20,33,343,8,2.33,335,97.67,20033
20,34,694,68,9.8,626,90.2,20034
20,35,477,14,2.94,463,97.06,20035
20,36,189,7,3.7,182,96.3,20036
20,37,183,6,3.28,177,96.72,20037
20,38,208,12,5.77,196,94.23,20038
20,39,59,2,3.39,57,96.61,20039
21,1,452,17,3.76,435,96.24,21001
21,2,395,10,2.53,385,97.47,21002
21,3,484,16,3.31,468,96.69,21003
21,4,477,6,1.26,471,98.74,21004
21,5,511,19,3.72,492,96.28,21005
21,6,422,18,4.27,404,95.73,21006
21,7,468,8,1.71,460,98.29,21007
21,8,502,20,3.98,482,96.02,21008
21,9,479,15,3.13,464,96.87,21009
21,10,440,15,3.41,425,96.59,21010
21,11,438,14,3.2,424,96.8,21011
21,12,446,18,4.04,428,95.96,21012
21,13,483,19,3.93,464,96.07,21013
21,14,525,21,4.0,504,96.0,21014
21,15,438,14,3.2,424,96.8,21015
21,16,430,11,2.56,419,97.44,21016
21,17,436,13,2.98,423,97.02,21017
21,18,516,23,4.46,493,95.54,21018
21,19,483,14,2.9,469,97.1,21019
21,20,435,11,2.53,424,97.47,21020
21,21,395,10,2.53,385,97.47,21021
21,22,440,15,3.41,425,96.59,21022
21,23,425,13,3.06,412,96.94,21023
21,24,457,14,3.06,443,96.94,21024
21,25,405,14,3.46,391,96.54,21025
21,26,507,24,4.73,483,95.27,21026
21,27,439,12,2.73,427,97.27,21027
21,28,590,11,1.86,579,98.14,21028
21,29,497,19,3.82,478,96.18,21029
21,30,395,22,5.57,373,94.43,21030
21,31,317,13,4.1,304,95.9,21031
21,32,453,13,2.87,440,97.13,21032
21,33,454,13,2.86,441,97.14,21033
21,34,493,11,2.23,482,97.77,21034
21,35,472,20,4.24,452,95.76,21035
21,36,484,14,2.89,470,97.11,21036
21,37,386,8,2.07,378,97.93,21037
21,38,489,16,3.27,473,96.73,21038
21,39,405,13,3.21,392,96.79,21039
21,40,425,16,3.76,409,96.24,21040
21,41,440,22,5.0,418,95.0,21041
21,42,503,18,3.58,485,96.42,21042
21,43,474,11,2.32,463,97.68,21043
21,44,458,21,4.59,437,95.41,21044
21,45,426,19,4.46,407,95.54,21045
21,46,509,17,3.34,492,96.66,21046
21,47,472,6,1.27,466,98.73,21047
21,48,443,27,6.09,416,93.91,21048
21,49,504,21,4.17,483,95.83,21049
21,50,383,14,3.66,369,96.34,21050
21,51,437,20,4.58,417,95.42,21051
21,52,486,11,2.26,475,97.74,21052
21,53,364,14,3.85,350,96.15,21053
21,54,403,11,2.73,392,97.27,21054
22,1,281,11,3.91,270,96.09,22001
22,2,503,180,35.79,323,64.21,22002
22,3,595,80,13.45,515,86.55,22003
22,4,361,36,9.97,325,90.03,22004
22,5,432,56,12.96,376,87.04,22005
22,6,431,57,13.23,374,86.77,22006
22,7,320,48,15.0,272,85.0,22007
22,8,573,145,25.31,428,74.69,22008
22,9,385,44,11.43,341,88.57,22009
22,10,598,91,15.22,507,84.78,22010
22,11,380,54,14.21,326,85.79,22011
22,12,383,99,25.85,284,74.15,22012
22,13,411,61,14.84,350,85.16,22013
22,14,350,32,9.14,318,90.86,22014
22,15,389,54,13.88,335,86.12,22015
22,16,360,57,15.83,303,84.17,22016
22,17,461,60,13.02,401,86.98,22017
22,18,422,47,11.14,375,88.86,22018
22,19,263,11,4.18,252,95.82,22019
22,20,414,63,15.22,351,84.78,22020
22,21,521,16,3.07,505,96.93,22021
22,22,383,42,10.97,341,89.03,22022
22,23,562,24,4.27,538,95.73,22023
22,24,505,74,14.65,431,85.35,22024
22,25,423,43,10.17,380,89.83,22025
23,1,390,217,55.64,173,44.36,23001
23,2,416,204,49.04,212,50.96,23002
23,3,392,221,56.38,171,43.62,23003
23,4,457,191,41.79,266,58.21,23004
23,5,440,84,19.09,356,80.91,23005
23,6,470,111,23.62,359,76.38,23006
23,7,427,75,17.56,352,82.44,23007
23,8,498,173,34.74,325,65.26,23008
23,9,381,66,17.32,315,82.68,23009
23,10,497,113,22.74,384,77.26,23010
23,11,504,100,19.84,404,80.16,23011
23,12,397,247,62.22,150,37.78,23012
23,13,381,52,13.65,329,86.35,23013
23,14,363,185,50.96,178,49.04,23014
23,15,390,72,18.46,318,81.54,23015
23,16,385,220,57.14,165,42.86,23016
23,17,305,53,17.38,252,82.62,23017
23,18,375,182,48.53,193,51.47,23018
23,19,378,54,14.29,324,85.71,23019
23,20,323,63,19.5,260,80.5,23020
23,21,420,245,58.33,175,41.67,23021
23,22,409,163,39.85,246,60.15,23022
23,23,396,210,53.03,186,46.97,23023
23,24,379,73,19.26,306,80.74,23024
23,25,440,109,24.77,331,75.23,23025
23,26,428,103,24.07,325,75.93,23026
23,27,366,207,56.56,159,43.44,23027
23,28,412,195,47.33,217,52.67,23028
23,29,339,156,46.02,183,53.98,23029
23,30,491,112,22.81,379,77.19,23030
23,31,343,68,19.83,275,80.17,23031
23,32,425,87,20.47,338,79.53,23032
23,33,462,95,20.56,367,79.44,23033
23,34,424,80,18.87,344,81.13,23034
23,35,327,169,51.68,158,48.32,23035
23,36,394,201,51.02,193,48.98,23036
23,37,384,220,57.29,164,42.71,23037
23,38,361,178,49.31,183,50.69,23038
23,39,419,78,18.62,341,81.38,23039
24,1,395,16,4.05,379,95.95,24001
24,2,433,13,3.0,420,97.0,24002
24,3,489,16,3.27,473,96.73,24003
24,4,355,10,2.82,345,97.18,24004
24,5,278,12,4.32,266,95.68,24005
24,6,426,20,4.69,406,95.31,24006
24,7,259,25,9.65,234,90.35,24007
24,8,209,11,5.26,198,94.74,24008
24,9,468,16,3.42,452,96.58,24009
24,10,214,9,4.21,205,95.79,24010
24,11,503,10,1.99,493,98.01,24011
24,12,298,15,5.03,283,94.97,24012
24,13,284,15,5.28,269,94.72,24013
24,14,438,15,3.42,423,96.58,24014
24,15,285,11,3.86,274,96.14,24015
24,16,460,58,12.61,402,87.39,24016
24,17,349,14,4.01,335,95.99,24017
24,18,430,11,2.56,419,97.44,24018
24,19,521,16,3.07,505,96.93,24019
24,20,386,17,4.4,369,95.6,24020
24,21,237,6,2.53,231,97.47,24021
24,22,595,28,4.71,567,95.29,24022
24,23,424,27,6.37,397,93.63,24023
24,24,585,17,2.91,568,97.09,24024
24,25,332,7,2.11,325,97.89,24025
24,26,568,19,3.35,549,96.65,24026
24,27,451,12,2.66,439,97.34,24027
24,28,315,9,2.86,306,97.14,24028
24,29,292,12,4.11,280,95.89,24029
24,30,243,4,1.65,239,98.35,24030
24,31,486,21,4.32,465,95.68,24031
24,32,253,10,3.95,243,96.05,24032
24,33,269,10,3.72,259,96.28,24033
24,34,398,21,5.28,377,94.72,24034
24,35,411,14,3.41,397,96.59,24035
24,36,509,33,6.48,476,93.52,24036
24,37,291,11,3.78,280,96.22,24037
24,38,337,23,6.82,314,93.18,24038
24,39,476,39,8.19,437,91.81,24039
24,40,478,14,2.93,464,97.07,24040
24,41,313,13,4.15,300,95.85,24041
25,1,431,72,16.71,359,83.29,25001
25,2,510,66,12.94,444,87.06,25002
25,3,686,260,37.9,426,62.1,25003
25,4,541,88,16.27,453,83.73,25004
25,5,524,113,21.56,411,78.44,25005
25,6,148,56,37.84,92,62.16,25006
25,7,491,88,17.92,403,82.08,25007
25,8,554,65,11.73,489,88.27,25008
25,9,535,67,12.52,468,87.48,25009
25,10,801,335,41.82,466,58.18,25010
25,11,540,90,16.67,450,83.33,25011
25,12,482,83,17.22,399,82.78,25012
25,13,538,69,12.83,469,87.17,25013
25,14,286,85,29.72,201,70.28,25014
25,15,445,87,19.55,358,80.45,25015
25,16,753,340,45.15,413,54.85,25016
25,17,522,92,17.62,430,82.38,25017
25,18,272,77,28.31,195,71.69,25018
25,19,499,69,13.83,430,86.17,25019
25,20,440,21,4.77,419,95.23,25020
25,21,892,263,29.48,629,70.52,25021
25,22,489,73,14.93,416,85.07,25022
25,23,553,71,12.84,482,87.16,25023
25,24,517,78,15.09,439,84.91,25024
25,25,532,205,38.53,327,61.47,25025
25,26,482,83,17.22,399,82.78,25026
25,27,728,256,35.16,472,64.84,25027
25,28,512,64,12.5,448,87.5,25028
25,29,484,46,9.5,438,90.5,25029
25,30,494,73,14.78,421,85.22,25030
25,31,911,388,42.59,523,57.41,25031
25,32,445,113,25.39,332,74.61,25032
26,1,417,68,16.31,349,83.69,26001
26,2,392,54,13.78,338,86.22,26002
26,3,470,115,24.47,355,75.53,26003
26,4,311,39,12.54,272,87.46,26004
26,5,363,40,11.02,323,88.98,26005
26,6,331,54,16.31,277,83.69,26006
26,7,380,63,16.58,317,83.42,26007
26,8,220,48,21.82,172,78.18,26008
26,9,363,52,14.33,311,85.67,26009
26,10,369,65,17.62,304,82.38,26010
26,11,375,61,16.27,314,83.73,26011
26,12,412,54,13.11,358,86.89,26012
26,13,245,27,11.02,218,88.98,26013
26,14,310,38,12.26,272,87.74,26014
26,15,247,39,15.79,208,84.21,26015
26,16,240,29,12.08,211,87.92,26016
26,17,343,144,41.98,199,58.02,26017
26,18,328,50,15.24,278,84.76,26018
26,19,296,27,9.12,269,90.88,26019
26,20,346,60,17.34,286,82.66,26020
26,21,521,54,10.36,467,89.64,26021
26,22,257,34,13.23,223,86.77,26022
26,23,263,46,17.49,217,82.51,26023
26,24,384,42,10.94,342,89.06,26024
26,25,356,43,12.08,313,87.92,26025
26,26,289,35,12.11,254,87.89,26026
26,27,405,63,15.56,342,84.44,26027
26,28,513,134,26.12,379,73.88,26028
26,29,240,49,20.42,191,79.58,26029
26,30,304,34,11.18,270,88.82,26030
26,31,195,31,15.9,164,84.1,26031
26,32,485,138,28.45,347,71.55,26032
26,33,386,46,11.92,340,88.08,26033
26,34,430,58,13.49,372,86.51,26034
26,35,343,50,14.58,293,85.42,26035
26,36,401,75,18.7,326,81.3,26036
26,37,439,42,9.57,397,90.43,26037
26,38,221,26,11.76,195,88.24,26038
26,39,422,87,20.62,335,79.38,26039
26,40,270,35,12.96,235,87.04,26040
26,41,476,42,8.82,434,91.18,26041
26,42,301,52,17.28,249,82.72,26042
26,43,243,38,15.64,205,84.36,26043
26,44,234,22,9.4,212,90.6,26044
26,45,218,34,15.6,184,84.4,26045
26,46,291,98,33.68,193,66.32,26046
26,47,293,41,13.99,252,86.01,26047
26,48,379,77,20.32,302,79.68,26048
26,49,228,38,16.67,190,83.33,26049
27,1,683,244,35.72,439,64.28,27001
27,2,538,149,27.7,389,72.3,27002
27,3,308,11,3.57,297,96.43,27003
27,4,286,25,8.74,261,91.26,27004
27,5,364,16,4.4,348,95.6,27005
27,6,484,117,24.17,367,75.83,27006
27,7,677,161,23.78,516,76.22,27007
27,8,435,20,4.6,415,95.4,27008
27,9,259,100,38.61,159,61.39,27009
27,10,501,34,6.79,467,93.21,27010
27,11,580,233,40.17,347,59.83,27011
27,12,345,150,43.48,195,56.52,27012
27,13,562,56,9.96,506,90.04,27013
27,14,311,12,3.86,299,96.14,27014
27,15,359,20,5.57,339,94.43,27015
27,16,609,220,36.12,389,63.88,27016
27,17,511,49,9.59,462,90.41,27017
27,18,385,18,4.68,367,95.32,27018
27,19,330,25,7.58,305,92.42,27019
27,20,450,10,2.22,440,97.78,27020
27,21,522,200,38.31,322,61.69,27021
27,22,286,13,4.55,273,95.45,27022
27,23,375,9,2.4,366,97.6,27023
27,24,383,21,5.48,362,94.52,27024
27,25,444,63,14.19,381,85.81,27025
27,26,386,26,6.74,360,93.26,27026
27,27,625,74,11.84,551,88.16,27027
27,28,240,48,20.0,192,80.0,27028
27,29,388,19,4.9,369,95.1,27029
27,30,261,13,4.98,248,95.02,27030
27,31,398,23,5.78,375,94.22,27031
27,32,424,50,11.79,374,88.21,27032
27,33,498,134,26.91,364,73.09,27033
27,34,441,7,1.59,434,98.41,27034
27,35,543,219,40.33,324,59.67,27035
27,36,372,41,11.02,331,88.98,27036
27,37,534,139,26.03,395,73.97,27037
27,38,734,178,24.25,556,75.75,27038
27,39,330,22,6.67,308,93.33,27039
27,40,662,173,26.13,489,73.87,27040
27,41,438,17,3.88,421,96.12,27041
27,42,331,93,28.1,238,71.9,27042
27,43,410,23,5.61,387,94.39,27043
27,44,399,8,2.01,391,97.99,27044
27,45,935,334,35.72,601,64.28,27045
27,46,354,163,46.05,191,53.95,27046
27,47,352,47,13.35,305,86.65,27047
27,48,807,151,18.71,656,81.29,27048
27,49,376,15,3.99,361,96.01,27049
27,50,481,14,2.91,467,97.09,27050
28,1,403,13,3.23,390,96.77,28001
28,2,414,24,5.8,390,94.2,28002
28,3,393,6,1.53,387,98.47,28003
28,4,371,119,32.08,252,67.92,28004
28,5,219,14,6.39,205,93.61,28005
28,6,211,48,22.75,163,77.25,28006
28,7,498,11,2.21,487,97.79,28007
28,8,463,162,34.99,301,65.01,28008
28,9,443,16,3.61,427,96.39,28009
28,10,551,122,22.14,429,77.86,28010
28,11,855,133,15.56,722,84.44,28011
28,12,479,10,2.09,469,97.91,28012
28,13,423,16,3.78,407,96.22,28013
28,14,416,11,2.64,405,97.36,28014
28,15,151,5,3.31,146,96.69,28015
28,16,309,9,2.91,300,97.09,28016
28,17,414,8,1.93,406,98.07,28017
28,18,327,21,6.42,306,93.58,28018
28,19,374,71,18.98,303,81.02,28019
28,20,440,19,4.32,421,95.68,28020
28,21,382,9,2.36,373,97.64,28021
28,22,400,22,5.5,378,94.5,28022
28,23,565,17,3.01,548,96.99,28023
28,24,403,14,3.47,389,96.53,28024
28,25,545,24,4.4,521,95.6,28025
28,26,531,12,2.26,519,97.74,28026
28,27,433,155,35.8,278,64.2,28027
28,28,491,176,35.85,315,64.15,28028
28,29,254,14,5.51,240,94.49,28029
28,30,70,1,1.43,69,98.57,28030
28,31,560,16,2.86,544,97.14,28031
28,32,460,18,3.91,442,96.09,28032
28,33,522,9,1.72,513,98.28,28033
28,34,866,30,3.46,836,96.54,28034
28,35,538,10,1.86,528,98.14,28035
28,36,257,6,2.33,251,97.67,28036
28,37,609,22,3.61,587,96.39,28037
28,38,212,6,2.83,206,97.17,28038
28,39,357,8,2.24,349,97.76,28039
28,40,571,15,2.63,556,97.37,28040
28,41,347,8,2.31,339,97.69,28041
28,42,532,13,2.44,519,97.56,28042
28,43,572,14,2.45,558,97.55,28043
28,44,333,11,3.3,322,96.7,28044
28,45,470,145,30.85,325,69.15,28045
28,46,754,188,24.93,566,75.07,28046
29,1,600,164,27.33,436,72.67,29001
29,2,730,19,2.6,711,97.4,29002
29,3,599,19,3.17,580,96.83,29003
29,4,572,18,3.15,554,96.85,29004
29,5,486,12,2.47,474,97.53,29005
29,6,461,18,3.9,443,96.1,29006
29,7,475,74,15.58,401,84.42,29007
29,8,502,16,3.19,486,96.81,29008
29,9,531,171,32.2,360,67.8,29009
29,10,568,146,25.7,422,74.3,29010
29,11,320,12,3.75,308,96.25,29011
29,12,597,47,7.87,550,92.13,29012
29,13,572,26,4.55,546,95.45,29013
29,14,491,7,1.43,484,98.57,29014
29,15,582,30,5.15,552,94.85,29015
29,16,561,17,3.03,544,96.97,29016
29,17,495,13,2.63,482,97.37,29017
29,18,529,26,4.91,503,95.09,29018
29,19,552,13,2.36,539,97.64,29019
29,20,653,19,2.91,634,97.09,29020
29,21,696,36,5.17,660,94.83,29021
29,22,406,36,8.87,370,91.13,29022
29,23,506,170,33.6,336,66.4,29023
29,24,487,21,4.31,466,95.69,29024
29,25,571,17,2.98,554,97.02,29025
29,26,497,53,10.66,444,89.34,29026
29,27,450,22,4.89,428,95.11,29027
29,28,648,16,2.47,632,97.53,29028
29,29,491,216,43.99,275,56.01,29029
29,30,560,124,22.14,436,77.86,29030
29,31,482,226,46.89,256,53.11,29031
29,32,470,225,47.87,245,52.13,29032
29,33,344,21,6.1,323,93.9,29033
29,34,317,51,16.09,266,83.91,29034
29,35,390,13,3.33,377,96.67,29035
29,36,429,22,5.13,407,94.87,29036
29,37,479,25,5.22,454,94.78,29037
29,38,479,134,27.97,345,72.03,29038
29,39,441,149,33.79,292,66.21,29039
29,40,580,23,3.97,557,96.03,29040
29,41,439,21,4.78,418,95.22,29041
29,42,571,16,2.8,555,97.2,29042
29,43,564,116,20.57,448,79.43,29043
29,44,632,45,7.12,587,92.88,29044
30,1,534,137,25.66,397,74.34,30001
30,2,471,125,26.54,346,73.46,30002
30,3,352,84,23.86,268,76.14,30003
30,4,459,146,31.81,313,68.19,30004
30,5,393,91,23.16,302,76.84,30005
30,6,380,75,19.74,305,80.26,30006
30,7,515,145,28.16,370,71.84,30007
30,8,511,112,21.92,399,78.08,30008
30,9,394,113,28.68,281,71.32,30009
30,10,538,119,22.12,419,77.88,30010
30,11,449,82,18.26,367,81.74,30011
30,12,474,111,23.42,363,76.58,30012
30,13,435,120,27.59,315,72.41,30013
30,14,310,58,18.71,252,81.29,30014
30,15,386,150,38.86,236,61.14,30015
30,16,249,63,25.3,186,74.7,30016
30,17,471,155,32.91,316,67.09,30017
30,18,540,84,15.56,456,84.44,30018
30,19,474,75,15.82,399,84.18,30019
30,20,493,133,26.98,360,73.02,30020
30,21,368,122,33.15,246,66.85,30021
30,22,603,120,19.9,483,80.1,30022
30,23,542,111,20.48,431,79.52,30023
30,24,556,121,21.76,435,78.24,30024
30,25,611,146,23.9,465,76.1,30025
30,26,310,75,24.19,235,75.81,30026
30,27,317,79,24.92,238,75.08,30027
30,28,517,125,24.18,392,75.82,30028
30,29,320,62,19.38,258,80.63,30029
30,30,221,32,14.48,189,85.52,30030
30,31,308,94,30.52,214,69.48,30031
30,32,356,81,22.75,275,77.25,30032
31,1,319,48,15.05,271,84.95,31001
31,2,260,53,20.38,207,79.62,31002
31,3,323,74,22.91,249,77.09,31003
31,4,419,61,14.56,358,85.44,31004
31,5,333,72,21.62,261,78.38,31005
31,6,275,40,14.55,235,85.45,31006
31,7,502,81,16.14,421,83.86,31007
31,8,251,52,20.72,199,79.28,31008
31,9,365,71,19.45,294,80.55,31009
31,10,330,65,19.7,265,80.3,31010
31,11,286,81,28.32,205,71.68,31011
31,12,311,92,29.58,219,70.42,31012
31,13,349,47,13.47,302,86.53,31013
31,14,310,64,20.65,246,79.35,31014
31,15,272,75,27.57,197,72.43,31015
31,16,398,63,15.83,335,84.17,31016
31,17,318,85,26.73,233,73.27,31017
31,18,288,68,23.61,220,76.39,31018
31,19,283,68,24.03,215,75.97,31019
31,20,317,61,19.24,256,80.76,31020
31,21,320,69,21.56,251,78.44,31021
31,22,313,55,17.57,258,82.43,31022
31,23,314,75,23.89,239,76.11,31023
31,24,328,66,20.12,262,79.88,31024
31,25,315,85,26.98,230,73.02,31025
31,26,353,93,26.35,260,73.65,31026
31,27,336,81,24.11,255,75.89,31027
31,28,316,65,20.57,251,79.43,31028
31,29,311,72,23.15,239,76.85,31029
31,30,273,55,20.15,218,79.85,31030
31,31,302,85,28.15,217,71.85,31031
31,32,294,69,23.47,225,76.53,31032
31,33,312,88,28.21,224,71.79,31033
31,34,340,79,23.24,261,76.76,31034
31,35,347,81,23.34,266,76.66,31035
31,36,335,75,22.39,260,77.61,31036
31,37,294,55,18.71,239,81.29,31037
31,38,337,58,17.21,279,82.79,31038
31,39,342,50,14.62,292,85.38,31039
31,40,356,69,19.38,287,80.62,31040
31,41,320,50,15.63,270,84.38,31041
32,1,696,210,30.17,486,69.83,32001
32,2,667,262,39.28,405,60.72,32002
32,3,621,127,20.45,494,79.55,32003
32,4,565,191,33.81,374,66.19,32004
32,5,613,166,27.08,447,72.92,32005
32,6,644,222,34.47,422,65.53,32006
32,7,620,218,35.16,402,64.84,32007
32,8,728,301,41.35,427,58.65,32008
32,9,615,199,32.36,416,67.64,32009
32,10,624,258,41.35,366,58.65,32010
32,11,531,82,15.44,449,84.56,32011
32,12,425,73,17.18,352,82.82,32012
32,13,626,257,41.05,369,58.95,32013
32,14,604,134,22.19,470,77.81,32014
32,15,570,188,32.98,382,67.02,32015
32,16,584,152,26.03,432,73.97,32016
32,17,577,115,19.93,462,80.07,32017
32,18,557,254,45.6,303,54.4,32018
32,19,571,163,28.55,408,71.45,32019
32,20,568,84,14.79,484,85.21,32020
32,21,606,210,34.65,396,65.35,32021
32,22,751,150,19.97,601,80.03,32022
32,23,599,250,41.74,349,58.26,32023
32,24,496,219,44.15,277,55.85,32024
32,25,578,221,38.24,357,61.76,32025
32,26,612,120,19.61,492,80.39,32026
32,27,588,275,46.77,313,53.23,32027
32,28,564,102,18.09,462,81.91,32028
32,29,632,172,27.22,460,72.78,32029
32,30,603,275,45.61,328,54.39,32030
32,31,614,239,38.93,375,61.07,32031
32,32,596,219,36.74,377,63.26,32032
32,33,586,216,36.86,370,63.14,32033
32,34,629,188,29.89,441,70.11,32034
32,35,600,205,34.17,395,65.83,32035
32,36,616,221,35.88,395,64.12,32036
