ward,precinct,total,BYRON F. REED,BYRON F. REED Percent,ROBERT DALLAS,ROBERT DALLAS Percent,MARK TUNNEY,MARK TUNNEY Percent,precinct_id
27,33,4,1,25.0,2,50.0,1,25.0,27033
27,34,0,0,0.0,0,0.0,0,0.0,27034
27,35,0,0,0.0,0,0.0,0,0.0,27035
27,36,2,0,0.0,1,50.0,1,50.0,27036
27,37,20,3,15.0,3,15.0,14,70.0,27037
27,38,23,4,17.39,3,13.04,16,69.57,27038
27,39,1,1,100.0,0,0.0,0,0.0,27039
27,40,0,0,0.0,0,0.0,0,0.0,27040
27,41,61,15,24.59,18,29.51,28,45.9,27041
27,42,13,4,30.77,2,15.38,7,53.85,27042
27,43,0,0,0.0,0,0.0,0,0.0,27043
27,44,0,0,0.0,0,0.0,0,0.0,27044
27,45,0,0,0.0,0,0.0,0,0.0,27045
27,46,1,1,100.0,0,0.0,0,0.0,27046
27,47,1,1,100.0,0,0.0,0,0.0,27047
27,48,0,0,0.0,0,0.0,0,0.0,27048
27,49,0,0,0.0,0,0.0,0,0.0,27049
27,50,25,3,12.0,8,32.0,14,56.0,27050
27,51,0,0,0.0,0,0.0,0,0.0,27051
27,52,1,1,100.0,0,0.0,0,0.0,27052
27,53,47,14,29.79,7,14.89,26,55.32,27053
27,54,17,4,23.53,4,23.53,9,52.94,27054
27,55,3,3,100.0,0,0.0,0,0.0,27055
27,56,26,7,26.92,3,11.54,16,61.54,27056
27,57,11,3,27.27,2,18.18,6,54.55,27057
27,58,27,6,22.22,9,33.33,12,44.44,27058
27,59,2,0,0.0,1,50.0,1,50.0,27059
28,1,1,0,0.0,1,100.0,0,0.0,28001
28,2,0,0,0.0,0,0.0,0,0.0,28002
28,3,0,0,0.0,0,0.0,0,0.0,28003
28,4,2,1,50.0,1,50.0,0,0.0,28004
28,5,0,0,0.0,0,0.0,0,0.0,28005
28,6,0,0,0.0,0,0.0,0,0.0,28006
28,7,4,2,50.0,1,25.0,1,25.0,28007
28,8,0,0,0.0,0,0.0,0,0.0,28008
28,9,0,0,0.0,0,0.0,0,0.0,28009
28,10,0,0,0.0,0,0.0,0,0.0,28010
28,11,2,0,0.0,2,100.0,0,0.0,28011
28,12,0,0,0.0,0,0.0,0,0.0,28012
28,13,0,0,0.0,0,0.0,0,0.0,28013
28,14,3,1,33.33,2,66.67,0,0.0,28014
28,15,0,0,0.0,0,0.0,0,0.0,28015
28,16,1,1,100.0,0,0.0,0,0.0,28016
28,17,1,0,0.0,0,0.0,1,100.0,28017
28,18,0,0,0.0,0,0.0,0,0.0,28018
28,19,0,0,0.0,0,0.0,0,0.0,28019
28,20,0,0,0.0,0,0.0,0,0.0,28020
28,21,1,0,0.0,0,0.0,1,100.0,28021
28,22,2,2,100.0,0,0.0,0,0.0,28022
28,23,2,1,50.0,1,50.0,0,0.0,28023
28,24,0,0,0.0,0,0.0,0,0.0,28024
28,25,0,0,0.0,0,0.0,0,0.0,28025
28,26,0,0,0.0,0,0.0,0,0.0,28026
28,27,0,0,0.0,0,0.0,0,0.0,28027
28,28,1,1,100.0,0,0.0,0,0.0,28028
28,29,1,1,100.0,0,0.0,0,0.0,28029
28,30,2,2,100.0,0,0.0,0,0.0,28030
28,31,2,1,50.0,1,50.0,0,0.0,28031
28,32,3,1,33.33,1,33.33,1,33.33,28032
28,33,0,0,0.0,0,0.0,0,0.0,28033
28,34,0,0,0.0,0,0.0,0,0.0,28034
28,35,0,0,0.0,0,0.0,0,0.0,28035
28,36,1,0,0.0,1,100.0,0,0.0,28036
28,37,2,2,100.0,0,0.0,0,0.0,28037
28,38,1,1,100.0,0,0.0,0,0.0,28038
28,39,0,0,0.0,0,0.0,0,0.0,28039
28,40,1,0,0.0,1,100.0,0,0.0,28040
28,41,1,0,0.0,0,0.0,1,100.0,28041
28,42,0,0,0.0,0,0.0,0,0.0,28042
28,43,0,0,0.0,0,0.0,0,0.0,28043
28,44,2,1,50.0,1,50.0,0,0.0,28044
28,45,0,0,0.0,0,0.0,0,0.0,28045
28,46,2,0,0.0,1,50.0,1,50.0,28046
28,47,1,0,0.0,1,100.0,0,0.0,28047
28,48,0,0,0.0,0,0.0,0,0.0,28048
28,49,3,2,66.67,0,0.0,1,33.33,28049
28,50,0,0,0.0,0,0.0,0,0.0,28050
28,51,1,1,100.0,0,0.0,0,0.0,28051
28,52,0,0,0.0,0,0.0,0,0.0,28052
28,53,2,0,0.0,2,100.0,0,0.0,28053
28,54,0,0,0.0,0,0.0,0,0.0,28054
