ward,precinct,total,Michael Cabonargi,Michael Cabonargi Percent,Samantha Steele,Samantha Steele Percent,precinct_id
47,25,240,117,48.75,123,51.25,47025
47,26,284,102,35.92,182,64.08,47026
47,27,207,80,38.65,127,61.35,47027
47,28,207,90,43.48,117,56.52,47028
47,29,220,95,43.18,125,56.82,47029
47,30,269,125,46.47,144,53.53,47030
47,31,245,117,47.76,128,52.24,47031
47,32,313,143,45.69,170,54.31,47032
47,33,176,66,37.5,110,62.5,47033
47,34,228,97,42.54,131,57.46,47034
47,35,147,75,51.02,72,48.98,47035
47,36,271,106,39.11,165,60.89,47036
47,37,216,83,38.43,133,61.57,47037
47,38,241,97,40.25,144,59.75,47038
47,39,269,127,47.21,142,52.79,47039
47,40,190,87,45.79,103,54.21,47040
47,41,255,109,42.75,146,57.25,47041
47,42,217,80,36.87,137,63.13,47042
47,43,172,80,46.51,92,53.49,47043
47,44,178,73,41.01,105,58.99,47044
47,45,251,110,43.82,141,56.18,47045
47,46,98,43,43.88,55,56.12,47046
47,47,216,95,43.98,121,56.02,47047
47,48,23,8,34.78,15,65.22,47048
48,1,232,91,39.22,141,60.78,48001
48,2,93,58,62.37,35,37.63,48002
48,3,204,81,39.71,123,60.29,48003
48,4,243,113,46.5,130,53.5,48004
48,5,188,128,68.09,60,31.91,48005
48,6,203,71,34.98,132,65.02,48006
48,7,259,119,45.95,140,54.05,48007
48,8,124,73,58.87,51,41.13,48008
48,9,144,75,52.08,69,47.92,48009
48,10,333,119,35.74,214,64.26,48010
48,11,205,100,48.78,105,51.22,48011
48,12,256,102,39.84,154,60.16,48012
48,13,274,148,54.01,126,45.99,48013
48,14,102,55,53.92,47,46.08,48014
48,15,99,52,52.53,47,47.47,48015
48,16,210,74,35.24,136,64.76,48016
48,17,220,88,40.0,132,60.0,48017
48,18,137,60,43.8,77,56.2,48018
48,19,186,94,50.54,92,49.46,48019
48,20,254,102,40.16,152,59.84,48020
48,21,238,74,31.09,164,68.91,48021
48,22,217,123,56.68,94,43.32,48022
48,23,261,140,53.64,121,46.36,48023
48,24,184,82,44.57,102,55.43,48024
48,25,202,85,42.08,117,57.92,48025
48,26,88,38,43.18,50,56.82,48026
48,27,123,61,49.59,62,50.41,48027
48,28,213,76,35.68,137,64.32,48028
48,29,139,77,55.4,62,44.6,48029
48,30,201,96,47.76,105,52.24,48030
48,31,207,79,38.16,128,61.84,48031
48,32,179,69,38.55,110,61.45,48032
48,33,128,79,61.72,49,38.28,48033
48,34,177,76,42.94,101,57.06,48034
48,35,121,54,44.63,67,55.37,48035
48,36,149,94,63.09,55,36.91,48036
48,37,228,76,33.33,152,66.67,48037
48,38,251,142,56.57,109,43.43,48038
48,39,181,100,55.25,81,44.75,48039
48,40,186,78,41.94,108,58.06,48040
48,41,206,66,32.04,140,67.96,48041
48,42,268,92,34.33,176,65.67,48042
48,43,232,107,46.12,125,53.88,48043
48,44,268,114,42.54,154,57.46,48044
48,45,143,54,37.76,89,62.24,48045
48,46,151,91,60.26,60,39.74,48046
49,1,105,37,35.24,68,64.76,49001
49,2,127,50,39.37,77,60.63,49002
49,3,226,97,42.92,129,57.08,49003
49,4,236,84,35.59,152,64.41,49004
49,5,196,80,40.82,116,59.18,49005
49,6,162,72,44.44,90,55.56,49006
49,7,144,71,49.31,73,50.69,49007
49,8,147,74,50.34,73,49.66,49008
49,9,198,81,40.91,117,59.09,49009
49,10,197,83,42.13,114,57.87,49010
49,11,224,104,46.43,120,53.57,49011
49,12,208,88,42.31,120,57.69,49012
49,13,230,107,46.52,123,53.48,49013
49,14,126,53,42.06,73,57.94,49014
49,15,133,59,44.36,74,55.64,49015
49,16,184,91,49.46,93,50.54,49016
49,17,150,82,54.67,68,45.33,49017
49,18,241,94,39.0,147,61.0,49018
49,19,131,56,42.75,75,57.25,49019
49,20,288,101,35.07,187,64.93,49020
49,21,80,37,46.25,43,53.75,49021
49,22,195,99,50.77,96,49.23,49022
49,23,219,80,36.53,139,63.47,49023
49,24,116,40,34.48,76,65.52,49024
49,25,224,93,41.52,131,58.48,49025
49,26,199,66,33.17,133,66.83,49026
49,27,159,55,34.59,104,65.41,49027
49,28,273,87,31.87,186,68.13,49028
49,29,230,88,38.26,142,61.74,49029
49,30,184,79,42.93,105,57.07,49030
49,31,124,56,45.16,68,54.84,49031
49,32,184,69,37.5,115,62.5,49032
49,33,156,78,50.0,78,50.0,49033
50,1,128,77,60.16,51,39.84,50001
50,2,70,37,52.86,33,47.14,50002
50,3,128,70,54.69,58,45.31,50003
50,4,151,75,49.67,76,50.33,50004
50,5,95,66,69.47,29,30.53,50005
50,6,159,80,50.31,79,49.69,50006
50,7,205,110,53.66,95,46.34,50007
50,8,118,47,39.83,71,60.17,50008
50,9,119,63,52.94,56,47.06,50009
50,10,94,49,52.13,45,47.87,50010
50,11,70,40,57.14,30,42.86,50011
50,12,52,23,44.23,29,55.77,50012
50,13,119,49,41.18,70,58.82,50013
50,14,43,24,55.81,19,44.19,50014
50,15,219,104,47.49,115,52.51,50015
50,16,49,30,61.22,19,38.78,50016
50,17,93,51,54.84,42,45.16,50017
50,18,23,8,34.78,15,65.22,50018
50,19,75,36,48.0,39,52.0,50019
50,20,152,80,52.63,72,47.37,50020
50,21,125,67,53.6,58,46.4,50021
50,22,96,47,48.96,49,51.04,50022
50,23,58,34,58.62,24,41.38,50023
50,24,71,40,56.34,31,43.66,50024
50,25,94,48,51.06,46,48.94,50025
50,26,98,37,37.76,61,62.24,50026
50,27,40,19,47.5,21,52.5,50027
50,28,117,50,42.74,67,57.26,50028
50,29,64,28,43.75,36,56.25,50029
50,30,102,55,53.92,47,46.08,50030
50,31,124,50,40.32,74,59.68,50031
50,32,113,53,46.9,60,53.1,50032
50,33,101,55,54.46,46,45.54,50033
50,34,197,113,57.36,84,42.64,50034
50,35,183,110,60.11,73,39.89,50035
50,36,164,99,60.37,65,39.63,50036
50,37,118,55,46.61,63,53.39,50037
50,38,61,37,60.66,24,39.34,50038
50,39,62,27,43.55,35,56.45,50039
50,40,104,59,56.73,45,43.27,50040
