ward,precinct,total,Mary Bernadette McMahon,Mary Bernadette McMahon Percent,Suzanne Therese McEneely,Suzanne Therese McEneely Percent,Tracie Porter,Tracie Porter Percent,precinct_id
7,16,84,17,20.24,7,8.33,60,71.43,07016
7,17,93,21,22.58,13,13.98,59,63.44,07017
7,18,106,24,22.64,18,16.98,64,60.38,07018
7,19,103,20,19.42,7,6.8,76,73.79,07019
7,20,68,14,20.59,9,13.24,45,66.18,07020
7,21,70,21,30.0,5,7.14,44,62.86,07021
7,22,98,27,27.55,19,19.39,52,53.06,07022
7,23,142,12,8.45,14,9.86,116,81.69,07023
7,24,83,11,13.25,9,10.84,63,75.9,07024
7,25,50,17,34.0,4,8.0,29,58.0,07025
7,26,116,24,20.69,5,4.31,87,75.0,07026
7,27,97,13,13.4,11,11.34,73,75.26,07027
7,28,67,18,26.87,7,10.45,42,62.69,07028
7,29,105,12,11.43,17,16.19,76,72.38,07029
7,30,71,11,15.49,10,14.08,50,70.42,07030
7,31,60,10,16.67,6,10.0,44,73.33,07031
7,32,220,32,14.55,20,9.09,168,76.36,07032
7,33,217,40,18.43,28,12.9,149,68.66,07033
7,34,172,30,17.44,13,7.56,129,75.0,07034
7,35,107,22,20.56,8,7.48,77,71.96,07035
7,36,164,20,12.2,15,9.15,129,78.66,07036
7,37,137,26,18.98,15,10.95,96,70.07,07037
7,38,102,25,24.51,12,11.76,65,63.73,07038
7,39,112,26,23.21,16,14.29,70,62.5,07039
7,40,114,23,20.18,8,7.02,83,72.81,07040
7,41,91,18,19.78,8,8.79,65,71.43,07041
7,42,117,22,18.8,11,9.4,84,71.79,07042
7,43,112,27,24.11,14,12.5,71,63.39,07043
7,44,99,15,15.15,12,12.12,72,72.73,07044
7,45,68,24,35.29,7,10.29,37,54.41,07045
7,46,55,17,30.91,8,14.55,30,54.55,07046
8,1,93,17,18.28,15,16.13,61,65.59,08001
8,2,95,24,25.26,7,7.37,64,67.37,08002
8,3,207,18,8.7,14,6.76,175,84.54,08003
8,4,176,20,11.36,12,6.82,144,81.82,08004
8,5,187,22,11.76,18,9.63,147,78.61,08005
8,6,169,29,17.16,19,11.24,121,71.6,08006
8,7,185,30,16.22,13,7.03,142,76.76,08007
8,8,195,40,20.51,19,9.74,136,69.74,08008
8,9,83,17,20.48,8,9.64,58,69.88,08009
8,10,249,29,11.65,18,7.23,202,81.12,08010
8,11,92,17,18.48,8,8.7,67,72.83,08011
8,12,110,14,12.73,10,9.09,86,78.18,08012
8,13,134,30,22.39,13,9.7,91,67.91,08013
8,14,50,7,14.0,9,18.0,34,68.0,08014
8,15,108,16,14.81,19,17.59,73,67.59,08015
8,16,30,3,10.0,5,16.67,22,73.33,08016
8,17,135,14,10.37,14,10.37,107,79.26,08017
8,18,62,15,24.19,8,12.9,39,62.9,08018
8,19,204,30,14.71,20,9.8,154,75.49,08019
8,20,182,31,17.03,12,6.59,139,76.37,08020
8,21,157,24,15.29,14,8.92,119,75.8,08021
8,22,139,19,13.67,17,12.23,103,74.1,08022
8,23,80,19,23.75,7,8.75,54,67.5,08023
8,24,94,16,17.02,3,3.19,75,79.79,08024
8,25,121,29,23.97,15,12.4,77,63.64,08025
8,26,92,21,22.83,8,8.7,63,68.48,08026
8,27,222,25,11.26,19,8.56,178,80.18,08027
8,28,143,23,16.08,12,8.39,108,75.52,08028
8,29,177,20,11.3,22,12.43,135,76.27,08029
8,30,154,18,11.69,10,6.49,126,81.82,08030
8,31,103,16,15.53,10,9.71,77,74.76,08031
8,32,110,11,10.0,10,9.09,89,80.91,08032
8,33,105,26,24.76,14,13.33,65,61.9,08033
8,34,144,29,20.14,13,9.03,102,70.83,08034
8,35,167,28,16.77,18,10.78,121,72.46,08035
8,36,142,19,13.38,14,9.86,109,76.76,08036
8,37,134,19,14.18,8,5.97,107,79.85,08037
8,38,97,19,19.59,15,15.46,63,64.95,08038
8,39,132,24,18.18,14,10.61,94,71.21,08039
8,40,102,20,19.61,9,8.82,73,71.57,08040
8,41,131,19,14.5,17,12.98,95,72.52,08041
8,42,172,27,15.7,14,8.14,131,76.16,08042
8,43,50,8,16.0,6,12.0,36,72.0,08043
