ward,precinct,total,Kina Collins,Kina Collins Percent,Danny K. Davis,Danny K. Davis Percent,Denarvis C. Mendenhall,Denarvis C. Mendenhall Percent,precinct_id
29,10,238,132,55.46,102,42.86,4,1.68,29010
29,11,94,30,31.91,63,67.02,1,1.06,29011
29,12,169,54,31.95,111,65.68,4,2.37,29012
29,13,150,41,27.33,106,70.67,3,2.0,29013
29,14,125,25,20.0,98,78.4,2,1.6,29014
29,15,159,46,28.93,110,69.18,3,1.89,29015
29,16,103,22,21.36,78,75.73,3,2.91,29016
29,17,100,34,34.0,64,64.0,2,2.0,29017
29,18,111,41,36.94,70,63.06,0,0.0,29018
29,19,160,44,27.5,111,69.38,5,3.13,29019
29,20,120,36,30.0,83,69.17,1,0.83,29020
29,21,124,28,22.58,95,76.61,1,0.81,29021
29,22,120,32,26.67,86,71.67,2,1.67,29022
29,24,119,46,38.66,70,58.82,3,2.52,29024
29,25,182,46,25.27,135,74.18,1,0.55,29025
29,26,137,41,29.93,89,64.96,7,5.11,29026
29,27,115,35,30.43,79,68.7,1,0.87,29027
29,28,154,43,27.92,108,70.13,3,1.95,29028
29,33,122,34,27.87,86,70.49,2,1.64,29033
29,34,83,26,31.33,57,68.67,0,0.0,29034
29,35,83,19,22.89,60,72.29,4,4.82,29035
29,36,121,38,31.4,79,65.29,4,3.31,29036
29,37,94,36,38.3,55,58.51,3,3.19,29037
29,40,160,42,26.25,117,73.13,1,0.63,29040
29,41,94,21,22.34,72,76.6,1,1.06,29041
29,42,130,26,20.0,103,79.23,1,0.77,29042
29,43,168,74,44.05,91,54.17,3,1.79,29043
29,44,164,39,23.78,123,75.0,2,1.22,29044
37,1,115,31,26.96,69,60.0,15,13.04,37001
37,3,56,16,28.57,40,71.43,0,0.0,37003
37,5,132,28,21.21,102,77.27,2,1.52,37005
37,6,111,25,22.52,85,76.58,1,0.9,37006
37,9,89,15,16.85,71,79.78,3,3.37,37009
37,10,25,3,12.0,21,84.0,1,4.0,37010
37,11,56,11,19.64,45,80.36,0,0.0,37011
37,13,70,22,31.43,47,67.14,1,1.43,37013
37,14,114,21,18.42,92,80.7,1,0.88,37014
37,15,95,16,16.84,78,82.11,1,1.05,37015
37,16,132,15,11.36,115,87.12,2,1.52,37016
37,17,71,13,18.31,58,81.69,0,0.0,37017
37,18,88,18,20.45,67,76.14,3,3.41,37018
37,20,75,15,20.0,60,80.0,0,0.0,37020
37,23,103,24,23.3,77,74.76,2,1.94,37023
37,24,121,29,23.97,90,74.38,2,1.65,37024
37,25,95,23,24.21,72,75.79,0,0.0,37025
37,26,153,34,22.22,118,77.12,1,0.65,37026
37,27,106,19,17.92,84,79.25,3,2.83,37027
37,29,85,26,30.59,59,69.41,0,0.0,37029
