ward,precinct,total,"Russell """"Russ"""" Hartigan","Russell """"Russ"""" Hartigan Percent",Dominique C. Ross,Dominique C. Ross Percent,Debra B. Walker,Debra B. Walker Percent,precinct_id
9,8,82,9,10.98,41,50.0,32,39.02,09008
9,9,160,22,13.75,76,47.5,62,38.75,09009
9,10,81,7,8.64,38,46.91,36,44.44,09010
9,11,91,12,13.19,43,47.25,36,39.56,09011
9,12,169,14,8.28,90,53.25,65,38.46,09012
9,13,164,22,13.41,87,53.05,55,33.54,09013
9,14,174,27,15.52,90,51.72,57,32.76,09014
9,15,50,8,16.0,25,50.0,17,34.0,09015
9,16,118,20,16.95,58,49.15,40,33.9,09016
9,17,57,8,14.04,23,40.35,26,45.61,09017
9,18,99,16,16.16,46,46.46,37,37.37,09018
9,19,106,10,9.43,54,50.94,42,39.62,09019
9,20,113,14,12.39,43,38.05,56,49.56,09020
9,21,97,14,14.43,52,53.61,31,31.96,09021
9,22,140,32,22.86,54,38.57,54,38.57,09022
9,23,160,13,8.13,95,59.38,52,32.5,09023
9,24,158,20,12.66,85,53.8,53,33.54,09024
9,25,119,11,9.24,65,54.62,43,36.13,09025
9,26,68,9,13.24,28,41.18,31,45.59,09026
9,27,112,17,15.18,53,47.32,42,37.5,09027
9,28,46,8,17.39,19,41.3,19,41.3,09028
9,29,62,11,17.74,31,50.0,20,32.26,09029
9,30,81,11,13.58,45,55.56,25,30.86,09030
9,31,80,13,16.25,34,42.5,33,41.25,09031
9,32,131,20,15.27,68,51.91,43,32.82,09032
9,33,82,14,17.07,39,47.56,29,35.37,09033
9,34,87,13,14.94,36,41.38,38,43.68,09034
9,35,147,21,14.29,79,53.74,47,31.97,09035
9,36,93,11,11.83,45,48.39,37,39.78,09036
9,37,192,36,18.75,69,35.94,87,45.31,09037
9,38,102,12,11.76,41,40.2,49,48.04,09038
9,39,150,11,7.33,78,52.0,61,40.67,09039
9,40,179,24,13.41,95,53.07,60,33.52,09040
9,41,100,9,9.0,51,51.0,40,40.0,09041
9,42,174,20,11.49,84,48.28,70,40.23,09042
9,43,87,13,14.94,34,39.08,40,45.98,09043
9,44,121,10,8.26,62,51.24,49,40.5,09044
9,45,87,12,13.79,42,48.28,33,37.93,09045
9,46,127,20,15.75,54,42.52,53,41.73,09046
9,47,167,9,5.39,89,53.29,69,41.32,09047
