ward,precinct,total,ARTHUR L. TURNER (BRADLEY),ARTHUR L. TURNER (BRADLEY) Percent,KAREN YARBROUGH (BRADLEY),KAREN YARBROUGH (BRADLEY) Percent,PAT QUINN (BRADLEY),PAT QUINN (BRADLEY) Percent,MARGARET A. HOULIHAN (BRADLEY),MARGARET A. HOULIHAN (BRADLEY) Percent,RICKEY R. HENDON (BRADLEY),RICKEY R. HENDON (BRADLEY) Percent,ANN E. SMITH (BRADLEY),ANN E. SMITH (BRADLEY) Percent,HARRISON BOLTON (BRADLEY),HARRISON BOLTON (BRADLEY) Percent,THOMAS E. SIMMONS (GORE),THOMAS E. SIMMONS (GORE) Percent,BOBBIE L. STEELE (GORE),BOBBIE L. STEELE (GORE) Percent,"JERRY W. WILLIAMS, SR. (GORE)","JERRY W. WILLIAMS, SR. (GORE) Percent",LALEEN COLLINS-DOERRER (GORE),LALEEN COLLINS-DOERRER (GORE) Percent,JOHNNY L. MILLER (GORE),JOHNNY L. MILLER (GORE) Percent,BARBARA J. MCGOWAN (GORE),BARBARA J. MCGOWAN (GORE) Percent,BARTON M. MOY (GORE),BARTON M. MOY (GORE) Percent,precinct_id
24,28,448,76,16.96,14,3.13,17,3.79,5,1.12,31,6.92,17,3.79,5,1.12,29,6.47,83,18.53,34,7.59,29,6.47,35,7.81,44,9.82,29,6.47,24028
24,29,539,29,5.38,15,2.78,19,3.53,9,1.67,23,4.27,15,2.78,6,1.11,56,10.39,83,15.4,49,9.09,54,10.02,65,12.06,64,11.87,52,9.65,24029
24,30,454,103,22.69,17,3.74,18,3.96,11,2.42,28,6.17,16,3.52,6,1.32,24,5.29,81,17.84,29,6.39,30,6.61,30,6.61,38,8.37,23,5.07,24030
24,31,421,85,20.19,18,4.28,15,3.56,9,2.14,23,5.46,11,2.61,10,2.38,22,5.23,77,18.29,26,6.18,29,6.89,36,8.55,38,9.03,22,5.23,24031
24,32,534,52,9.74,19,3.56,23,4.31,9,1.69,32,5.99,17,3.18,8,1.5,45,8.43,78,14.61,47,8.8,53,9.93,49,9.18,60,11.24,42,7.87,24032
24,33,389,28,7.2,12,3.08,11,2.83,9,2.31,22,5.66,21,5.4,5,1.29,38,9.77,50,12.85,35,9.0,37,9.51,41,10.54,47,12.08,33,8.48,24033
24,34,481,66,13.72,20,4.16,29,6.03,12,2.49,40,8.32,19,3.95,6,1.25,28,5.82,79,16.42,34,7.07,32,6.65,37,7.69,48,9.98,31,6.44,24034
24,35,504,90,17.86,23,4.56,28,5.56,12,2.38,42,8.33,20,3.97,8,1.59,31,6.15,91,18.06,26,5.16,25,4.96,35,6.94,46,9.13,27,5.36,24035
24,36,393,79,20.1,15,3.82,13,3.31,8,2.04,29,7.38,14,3.56,7,1.78,25,6.36,70,17.81,24,6.11,24,6.11,32,8.14,33,8.4,20,5.09,24036
24,37,630,110,17.46,32,5.08,29,4.6,16,2.54,42,6.67,28,4.44,10,1.59,34,5.4,109,17.3,38,6.03,41,6.51,44,6.98,60,9.52,37,5.87,24037
24,38,578,91,15.74,20,3.46,27,4.67,11,1.9,38,6.57,21,3.63,10,1.73,36,6.23,97,16.78,43,7.44,42,7.27,54,9.34,58,10.03,30,5.19,24038
24,39,505,35,6.93,15,2.97,27,5.35,8,1.58,26,5.15,15,2.97,8,1.58,44,8.71,72,14.26,49,9.7,50,9.9,51,10.1,59,11.68,46,9.11,24039
24,40,993,204,20.54,52,5.24,57,5.74,31,3.12,70,7.05,38,3.83,19,1.91,42,4.23,163,16.41,57,5.74,48,4.83,72,7.25,92,9.26,48,4.83,24040
24,41,521,19,3.65,17,3.26,17,3.26,9,1.73,16,3.07,13,2.5,6,1.15,57,10.94,72,13.82,59,11.32,56,10.75,63,12.09,64,12.28,53,10.17,24041
24,42,347,32,9.22,15,4.32,12,3.46,8,2.31,18,5.19,13,3.75,7,2.02,27,7.78,51,14.7,32,9.22,35,10.09,27,7.78,38,10.95,32,9.22,24042
24,43,453,84,18.54,17,3.75,13,2.87,13,2.87,31,6.84,19,4.19,9,1.99,29,6.4,71,15.67,31,6.84,32,7.06,39,8.61,40,8.83,25,5.52,24043
24,44,217,38,17.51,5,2.3,10,4.61,3,1.38,17,7.83,7,3.23,6,2.76,12,5.53,38,17.51,15,6.91,13,5.99,20,9.22,20,9.22,13,5.99,24044
24,45,525,90,17.14,27,5.14,37,7.05,10,1.9,37,7.05,18,3.43,13,2.48,29,5.52,90,17.14,29,5.52,33,6.29,42,8.0,42,8.0,28,5.33,24045
24,46,588,35,5.95,21,3.57,21,3.57,6,1.02,29,4.93,19,3.23,6,1.02,59,10.03,87,14.8,54,9.18,59,10.03,59,10.03,78,13.27,55,9.35,24046
24,47,459,79,17.21,23,5.01,26,5.66,10,2.18,40,8.71,16,3.49,11,2.4,25,5.45,77,16.78,25,5.45,25,5.45,32,6.97,46,10.02,24,5.23,24047
24,48,107,7,6.54,5,4.67,4,3.74,2,1.87,8,7.48,7,6.54,1,0.93,9,8.41,14,13.08,9,8.41,10,9.35,11,10.28,13,12.15,7,6.54,24048
24,49,447,55,12.3,20,4.47,22,4.92,9,2.01,31,6.94,16,3.58,8,1.79,29,6.49,75,16.78,35,7.83,28,6.26,39,8.72,47,10.51,33,7.38,24049
24,50,647,53,8.19,31,4.79,23,3.55,15,2.32,41,6.34,20,3.09,9,1.39,48,7.42,94,14.53,58,8.96,66,10.2,64,9.89,70,10.82,55,8.5,24050
24,51,652,79,12.12,35,5.37,26,3.99,12,1.84,49,7.52,23,3.53,11,1.69,49,7.52,98,15.03,49,7.52,50,7.67,60,9.2,67,10.28,44,6.75,24051
24,52,513,41,7.99,18,3.51,18,3.51,9,1.75,26,5.07,11,2.14,9,1.75,44,8.58,83,16.18,42,8.19,52,10.14,56,10.92,60,11.7,44,8.58,24052
24,53,56,3,5.36,4,7.14,3,5.36,0,0.0,1,1.79,2,3.57,1,1.79,4,7.14,7,12.5,6,10.71,5,8.93,7,12.5,6,10.71,7,12.5,24053
25,3,321,6,1.87,9,2.8,16,4.98,13,4.05,7,2.18,8,2.49,7,2.18,35,10.9,35,10.9,34,10.59,33,10.28,36,11.21,43,13.4,39,12.15,25003
25,4,32,3,9.38,0,0.0,2,6.25,1,3.13,0,0.0,1,3.13,1,3.13,4,12.5,3,9.38,4,12.5,3,9.38,2,6.25,5,15.63,3,9.38,25004
25,6,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25006
25,10,203,20,9.85,9,4.43,11,5.42,6,2.96,18,8.87,6,2.96,2,0.99,17,8.37,30,14.78,14,6.9,15,7.39,17,8.37,25,12.32,13,6.4,25010
25,14,302,9,2.98,18,5.96,29,9.6,18,5.96,9,2.98,13,4.3,9,2.98,23,7.62,29,9.6,23,7.62,25,8.28,22,7.28,30,9.93,45,14.9,25014
25,16,192,5,2.6,8,4.17,9,4.69,7,3.65,5,2.6,8,4.17,3,1.56,18,9.38,23,11.98,18,9.38,20,10.42,17,8.85,21,10.94,30,15.63,25016
25,18,162,5,3.09,3,1.85,10,6.17,3,1.85,3,1.85,3,1.85,2,1.23,15,9.26,20,12.35,15,9.26,19,11.73,16,9.88,21,12.96,27,16.67,25018
25,21,327,16,4.89,14,4.28,16,4.89,18,5.5,12,3.67,16,4.89,16,4.89,29,8.87,34,10.4,29,8.87,28,8.56,30,9.17,32,9.79,37,11.31,25021
27,1,948,51,5.38,53,5.59,58,6.12,56,5.91,49,5.17,51,5.38,36,3.8,67,7.07,101,10.65,79,8.33,86,9.07,77,8.12,100,10.55,84,8.86,27001
27,2,413,20,4.84,14,3.39,17,4.12,7,1.69,19,4.6,16,3.87,7,1.69,39,9.44,58,14.04,45,10.9,42,10.17,47,11.38,47,11.38,35,8.47,27002
27,3,456,29,6.36,17,3.73,18,3.95,12,2.63,38,8.33,12,2.63,10,2.19,42,9.21,58,12.72,43,9.43,39,8.55,48,10.53,48,10.53,42,9.21,27003
27,4,254,12,4.72,10,3.94,12,4.72,8,3.15,19,7.48,10,3.94,7,2.76,20,7.87,30,11.81,23,9.06,29,11.42,23,9.06,27,10.63,24,9.45,27004
27,5,339,17,5.01,17,5.01,16,4.72,17,5.01,15,4.42,16,4.72,11,3.24,30,8.85,40,11.8,27,7.96,33,9.73,33,9.73,39,11.5,28,8.26,27005
27,6,256,8,3.13,6,2.34,7,2.73,7,2.73,19,7.42,7,2.73,10,3.91,25,9.77,36,14.06,27,10.55,27,10.55,25,9.77,30,11.72,22,8.59,27006
27,7,325,27,8.31,17,5.23,15,4.62,8,2.46,23,7.08,17,5.23,6,1.85,29,8.92,37,11.38,30,9.23,24,7.38,26,8.0,36,11.08,30,9.23,27007
27,8,274,40,14.6,12,4.38,13,4.74,8,2.92,26,9.49,18,6.57,7,2.55,15,5.47,39,14.23,17,6.2,17,6.2,25,9.12,23,8.39,14,5.11,27008
27,9,509,35,6.88,11,2.16,24,4.72,13,2.55,33,6.48,21,4.13,13,2.55,42,8.25,72,14.15,48,9.43,42,8.25,54,10.61,56,11.0,45,8.84,27009
27,11,277,31,11.19,14,5.05,13,4.69,9,3.25,30,10.83,10,3.61,6,2.17,18,6.5,36,13.0,20,7.22,21,7.58,25,9.03,26,9.39,18,6.5,27011
27,12,168,10,5.95,4,2.38,8,4.76,1,0.6,7,4.17,6,3.57,5,2.98,17,10.12,22,13.1,16,9.52,18,10.71,19,11.31,21,12.5,14,8.33,27012
27,13,973,41,4.21,39,4.01,51,5.24,42,4.32,35,3.6,44,4.52,27,2.77,85,8.74,116,11.92,93,9.56,98,10.07,97,9.97,113,11.61,92,9.46,27013
27,14,300,7,2.33,7,2.33,10,3.33,7,2.33,18,6.0,4,1.33,6,2.0,31,10.33,43,14.33,33,11.0,34,11.33,32,10.67,40,13.33,28,9.33,27014
27,15,366,37,10.11,12,3.28,13,3.55,11,3.01,32,8.74,15,4.1,6,1.64,26,7.1,42,11.48,33,9.02,36,9.84,33,9.02,41,11.2,29,7.92,27015
27,16,300,15,5.0,15,5.0,14,4.67,13,4.33,10,3.33,11,3.67,10,3.33,26,8.67,30,10.0,29,9.67,33,11.0,32,10.67,32,10.67,30,10.0,27016
27,17,617,43,6.97,34,5.51,38,6.16,26,4.21,39,6.32,28,4.54,12,1.94,53,8.59,75,12.16,50,8.1,55,8.91,52,8.43,65,10.53,47,7.62,27017
27,18,228,11,4.82,11,4.82,16,7.02,13,5.7,8,3.51,11,4.82,7,3.07,21,9.21,23,10.09,21,9.21,23,10.09,19,8.33,24,10.53,20,8.77,27018
27,19,449,19,4.23,14,3.12,19,4.23,10,2.23,26,5.79,15,3.34,9,2.0,45,10.02,55,12.25,42,9.35,48,10.69,52,11.58,55,12.25,40,8.91,27019
27,20,610,32,5.25,22,3.61,20,3.28,13,2.13,25,4.1,14,2.3,6,0.98,59,9.67,90,14.75,60,9.84,63,10.33,63,10.33,80,13.11,63,10.33,27020
27,21,226,13,5.75,6,2.65,9,3.98,6,2.65,12,5.31,5,2.21,6,2.65,21,9.29,30,13.27,23,10.18,24,10.62,24,10.62,23,10.18,24,10.62,27021
27,22,479,19,3.97,15,3.13,16,3.34,6,1.25,34,7.1,11,2.3,5,1.04,46,9.6,66,13.78,50,10.44,48,10.02,60,12.53,52,10.86,51,10.65,27022
27,23,168,20,11.9,5,2.98,8,4.76,3,1.79,16,9.52,5,2.98,1,0.6,14,8.33,23,13.69,14,8.33,16,9.52,12,7.14,20,11.9,11,6.55,27023
27,24,290,20,6.9,7,2.41,14,4.83,6,2.07,21,7.24,10,3.45,5,1.72,30,10.34,34,11.72,28,9.66,31,10.69,28,9.66,31,10.69,25,8.62,27024
27,25,270,14,5.19,14,5.19,13,4.81,8,2.96,18,6.67,10,3.7,2,0.74,24,8.89,36,13.33,22,8.15,27,10.0,27,10.0,33,12.22,22,8.15,27025
27,26,838,96,11.46,33,3.94,33,3.94,17,2.03,97,11.58,37,4.42,19,2.27,55,6.56,114,13.6,56,6.68,61,7.28,74,8.83,85,10.14,61,7.28,27026
27,27,262,38,14.5,10,3.82,6,2.29,7,2.67,24,9.16,6,2.29,4,1.53,21,8.02,35,13.36,22,8.4,23,8.78,22,8.4,25,9.54,19,7.25,27027
27,28,580,28,4.83,23,3.97,26,4.48,23,3.97,24,4.14,24,4.14,11,1.9,51,8.79,79,13.62,54,9.31,60,10.34,56,9.66,67,11.55,54,9.31,27028
27,29,416,21,5.05,14,3.37,21,5.05,12,2.88,19,4.57,13,3.13,13,3.13,38,9.13,53,12.74,38,9.13,45,10.82,38,9.13,51,12.26,40,9.62,27029
27,30,197,13,6.6,11,5.58,15,7.61,9,4.57,14,7.11,8,4.06,5,2.54,14,7.11,17,8.63,17,8.63,18,9.14,18,9.14,20,10.15,18,9.14,27030
27,31,451,27,5.99,19,4.21,20,4.43,7,1.55,24,5.32,15,3.33,12,2.66,42,9.31,56,12.42,50,11.09,42,9.31,49,10.86,49,10.86,39,8.65,27031
27,33,525,32,6.1,27,5.14,21,4.0,12,2.29,38,7.24,24,4.57,11,2.1,43,8.19,72,13.71,52,9.9,47,8.95,42,8.0,61,11.62,43,8.19,27033
27,34,393,18,4.58,13,3.31,11,2.8,9,2.29,18,4.58,13,3.31,5,1.27,37,9.41,54,13.74,39,9.92,37,9.41,53,13.49,46,11.7,40,10.18,27034
27,35,44,0,0.0,3,6.82,2,4.55,2,4.55,3,6.82,1,2.27,1,2.27,5,11.36,4,9.09,4,9.09,4,9.09,4,9.09,7,15.91,4,9.09,27035
27,36,570,70,12.28,26,4.56,28,4.91,17,2.98,62,10.88,23,4.04,12,2.11,41,7.19,74,12.98,39,6.84,45,7.89,41,7.19,57,10.0,35,6.14,27036
27,37,458,22,4.8,24,5.24,26,5.68,14,3.06,33,7.21,18,3.93,12,2.62,37,8.08,54,11.79,43,9.39,38,8.3,45,9.83,49,10.7,43,9.39,27037
27,38,507,20,3.94,22,4.34,27,5.33,21,4.14,21,4.14,20,3.94,14,2.76,47,9.27,57,11.24,49,9.66,47,9.27,51,10.06,55,10.85,56,11.05,27038
27,39,242,12,4.96,8,3.31,15,6.2,7,2.89,10,4.13,9,3.72,6,2.48,25,10.33,28,11.57,22,9.09,24,9.92,23,9.5,33,13.64,20,8.26,27039
27,40,355,13,3.66,14,3.94,13,3.66,5,1.41,22,6.2,12,3.38,6,1.69,31,8.73,48,13.52,33,9.3,40,11.27,40,11.27,44,12.39,34,9.58,27040
27,41,304,22,7.24,17,5.59,22,7.24,18,5.92,17,5.59,17,5.59,14,4.61,23,7.57,24,7.89,24,7.89,21,6.91,26,8.55,33,10.86,26,8.55,27041
27,42,328,16,4.88,18,5.49,20,6.1,17,5.18,13,3.96,18,5.49,11,3.35,29,8.84,35,10.67,30,9.15,29,8.84,28,8.54,35,10.67,29,8.84,27042
27,43,226,12,5.31,6,2.65,8,3.54,5,2.21,16,7.08,8,3.54,3,1.33,22,9.73,28,12.39,25,11.06,21,9.29,23,10.18,27,11.95,22,9.73,27043
27,44,673,37,5.5,27,4.01,22,3.27,13,1.93,64,9.51,17,2.53,14,2.08,53,7.88,84,12.48,65,9.66,67,9.96,75,11.14,77,11.44,58,8.62,27044
27,45,500,23,4.6,17,3.4,16,3.2,7,1.4,55,11.0,14,2.8,10,2.0,45,9.0,64,12.8,49,9.8,53,10.6,50,10.0,57,11.4,40,8.0,27045
27,46,304,17,5.59,9,2.96,17,5.59,4,1.32,13,4.28,7,2.3,5,1.64,31,10.2,41,13.49,33,10.86,29,9.54,31,10.2,38,12.5,29,9.54,27046
27,47,340,21,6.18,13,3.82,13,3.82,4,1.18,23,6.76,11,3.24,3,0.88,30,8.82,43,12.65,32,9.41,35,10.29,39,11.47,42,12.35,31,9.12,27047
27,48,500,23,4.6,17,3.4,23,4.6,14,2.8,47,9.4,20,4.0,10,2.0,49,9.8,56,11.2,45,9.0,45,9.0,54,10.8,57,11.4,40,8.0,27048
27,49,303,30,9.9,15,4.95,9,2.97,7,2.31,25,8.25,11,3.63,3,0.99,23,7.59,37,12.21,29,9.57,23,7.59,29,9.57,34,11.22,28,9.24,27049
27,50,415,29,6.99,28,6.75,29,6.99,25,6.02,18,4.34,28,6.75,16,3.86,33,7.95,38,9.16,35,8.43,36,8.67,29,6.99,40,9.64,31,7.47,27050
27,51,223,3,1.35,10,4.48,9,4.04,7,3.14,11,4.93,6,2.69,5,2.24,23,10.31,32,14.35,23,10.31,24,10.76,25,11.21,25,11.21,20,8.97,27051
27,52,72,2,2.78,2,2.78,4,5.56,4,5.56,5,6.94,4,5.56,3,4.17,5,6.94,10,13.89,5,6.94,7,9.72,7,9.72,8,11.11,6,8.33,27052
27,53,711,26,3.66,40,5.63,38,5.34,32,4.5,38,5.34,39,5.49,23,3.23,55,7.74,84,11.81,64,9.0,62,8.72,61,8.58,88,12.38,61,8.58,27053
27,54,150,11,7.33,10,6.67,13,8.67,9,6.0,7,4.67,9,6.0,7,4.67,11,7.33,14,9.33,11,7.33,12,8.0,12,8.0,13,8.67,11,7.33,27054
27,55,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27055
28,1,585,20,3.42,21,3.59,21,3.59,9,1.54,26,4.44,20,3.42,5,0.85,63,10.77,85,14.53,57,9.74,58,9.91,65,11.11,78,13.33,57,9.74,28001
28,2,268,27,10.07,15,5.6,15,5.6,9,3.36,27,10.07,11,4.1,4,1.49,17,6.34,36,13.43,18,6.72,21,7.84,20,7.46,27,10.07,21,7.84,28002
28,3,463,44,9.5,18,3.89,22,4.75,8,1.73,35,7.56,17,3.67,10,2.16,38,8.21,66,14.25,39,8.42,38,8.21,43,9.29,50,10.8,35,7.56,28003
28,4,817,34,4.16,31,3.79,29,3.55,15,1.84,47,5.75,26,3.18,15,1.84,80,9.79,111,13.59,79,9.67,86,10.53,88,10.77,101,12.36,75,9.18,28004
28,5,501,52,10.38,26,5.19,21,4.19,10,2.0,53,10.58,24,4.79,16,3.19,38,7.58,59,11.78,34,6.79,39,7.78,42,8.38,52,10.38,35,6.99,28005
28,6,550,22,4.0,13,2.36,18,3.27,6,1.09,30,5.45,8,1.45,7,1.27,56,10.18,76,13.82,59,10.73,64,11.64,61,11.09,74,13.45,56,10.18,28006
28,7,539,28,5.19,18,3.34,27,5.01,10,1.86,27,5.01,17,3.15,5,0.93,57,10.58,78,14.47,51,9.46,57,10.58,53,9.83,64,11.87,47,8.72,28007
28,8,271,10,3.69,14,5.17,7,2.58,7,2.58,7,2.58,10,3.69,5,1.85,33,12.18,36,13.28,26,9.59,28,10.33,31,11.44,30,11.07,27,9.96,28008
28,9,483,30,6.21,18,3.73,22,4.55,5,1.04,25,5.18,15,3.11,6,1.24,47,9.73,70,14.49,44,9.11,47,9.73,51,10.56,60,12.42,43,8.9,28009
28,10,564,52,9.22,13,2.3,20,3.55,12,2.13,41,7.27,21,3.72,8,1.42,56,9.93,71,12.59,50,8.87,53,9.4,54,9.57,63,11.17,50,8.87,28010
28,11,424,31,7.31,13,3.07,22,5.19,7,1.65,22,5.19,15,3.54,7,1.65,36,8.49,63,14.86,36,8.49,38,8.96,43,10.14,48,11.32,43,10.14,28011
28,12,527,15,2.85,13,2.47,11,2.09,8,1.52,17,3.23,12,2.28,9,1.71,61,11.57,73,13.85,63,11.95,62,11.76,61,11.57,66,12.52,56,10.63,28012
28,13,343,24,7.0,13,3.79,16,4.66,7,2.04,16,4.66,15,4.37,4,1.17,37,10.79,36,10.5,35,10.2,32,9.33,34,9.91,39,11.37,35,10.2,28013
28,15,230,23,10.0,11,4.78,12,5.22,7,3.04,21,9.13,12,5.22,6,2.61,18,7.83,28,12.17,12,5.22,23,10.0,24,10.43,24,10.43,9,3.91,28015
28,16,380,17,4.47,15,3.95,17,4.47,4,1.05,23,6.05,12,3.16,3,0.79,40,10.53,50,13.16,39,10.26,38,10.0,38,10.0,49,12.89,35,9.21,28016
28,17,315,24,7.62,10,3.17,13,4.13,5,1.59,27,8.57,11,3.49,6,1.9,28,8.89,43,13.65,25,7.94,31,9.84,28,8.89,37,11.75,27,8.57,28017
28,18,645,34,5.27,17,2.64,22,3.41,11,1.71,36,5.58,14,2.17,13,2.02,65,10.08,84,13.02,71,11.01,73,11.32,64,9.92,81,12.56,60,9.3,28018
28,19,473,19,4.02,17,3.59,21,4.44,7,1.48,23,4.86,23,4.86,7,1.48,44,9.3,62,13.11,53,11.21,43,9.09,49,10.36,60,12.68,45,9.51,28019
28,20,476,57,11.97,22,4.62,20,4.2,12,2.52,38,7.98,26,5.46,6,1.26,32,6.72,65,13.66,36,7.56,38,7.98,42,8.82,48,10.08,34,7.14,28020
28,21,390,22,5.64,18,4.62,15,3.85,10,2.56,17,4.36,19,4.87,9,2.31,35,8.97,49,12.56,37,9.49,41,10.51,37,9.49,50,12.82,31,7.95,28021
28,22,406,31,7.64,12,2.96,16,3.94,9,2.22,31,7.64,15,3.69,6,1.48,31,7.64,54,13.3,38,9.36,36,8.87,41,10.1,52,12.81,34,8.37,28022
28,23,609,28,4.6,12,1.97,19,3.12,9,1.48,25,4.11,17,2.79,9,1.48,63,10.34,89,14.61,66,10.84,69,11.33,74,12.15,69,11.33,60,9.85,28023
28,24,219,14,6.39,9,4.11,10,4.57,7,3.2,12,5.48,9,4.11,6,2.74,19,8.68,27,12.33,20,9.13,23,10.5,22,10.05,22,10.05,19,8.68,28024
28,25,432,10,2.31,5,1.16,5,1.16,4,0.93,11,2.55,7,1.62,3,0.69,54,12.5,60,13.89,55,12.73,58,13.43,55,12.73,56,12.96,49,11.34,28025
28,26,592,29,4.9,19,3.21,12,2.03,6,1.01,28,4.73,12,2.03,7,1.18,64,10.81,82,13.85,66,11.15,64,10.81,69,11.66,74,12.5,60,10.14,28026
28,27,323,25,7.74,12,3.72,8,2.48,7,2.17,14,4.33,10,3.1,3,0.93,32,9.91,47,14.55,31,9.6,33,10.22,33,10.22,38,11.76,30,9.29,28027
28,28,489,28,5.73,19,3.89,25,5.11,8,1.64,27,5.52,11,2.25,8,1.64,42,8.59,66,13.5,48,9.82,53,10.84,52,10.63,53,10.84,49,10.02,28028
28,29,556,51,9.17,17,3.06,29,5.22,11,1.98,61,10.97,24,4.32,7,1.26,47,8.45,74,13.31,43,7.73,45,8.09,51,9.17,58,10.43,38,6.83,28029
28,30,228,9,3.95,9,3.95,10,4.39,1,0.44,10,4.39,9,3.95,3,1.32,20,8.77,31,13.6,22,9.65,24,10.53,27,11.84,30,13.16,23,10.09,28030
28,31,436,23,5.28,10,2.29,14,3.21,8,1.83,20,4.59,7,1.61,5,1.15,50,11.47,59,13.53,44,10.09,47,10.78,50,11.47,55,12.61,44,10.09,28031
28,32,439,45,10.25,19,4.33,25,5.69,13,2.96,40,9.11,16,3.64,15,3.42,29,6.61,57,12.98,31,7.06,32,7.29,44,10.02,44,10.02,29,6.61,28032
28,33,321,19,5.92,8,2.49,14,4.36,7,2.18,17,5.3,12,3.74,8,2.49,31,9.66,42,13.08,29,9.03,31,9.66,37,11.53,36,11.21,30,9.35,28033
28,34,462,39,8.44,13,2.81,18,3.9,7,1.52,41,8.87,16,3.46,8,1.73,44,9.52,57,12.34,39,8.44,43,9.31,51,11.04,47,10.17,39,8.44,28034
28,35,328,30,9.15,13,3.96,14,4.27,7,2.13,34,10.37,11,3.35,5,1.52,29,8.84,43,13.11,27,8.23,27,8.23,31,9.45,30,9.15,27,8.23,28035
28,36,422,26,6.16,14,3.32,18,4.27,10,2.37,27,6.4,12,2.84,4,0.95,37,8.77,62,14.69,39,9.24,42,9.95,47,11.14,44,10.43,40,9.48,28036
28,37,704,20,2.84,12,1.7,10,1.42,4,0.57,28,3.98,12,1.7,10,1.42,81,11.51,107,15.2,87,12.36,85,12.07,81,11.51,87,12.36,80,11.36,28037
28,38,440,19,4.32,13,2.95,14,3.18,10,2.27,20,4.55,12,2.73,9,2.05,46,10.45,57,12.95,44,10.0,49,11.14,50,11.36,51,11.59,46,10.45,28038
28,39,190,14,7.37,10,5.26,7,3.68,2,1.05,19,10.0,8,4.21,6,3.16,18,9.47,24,12.63,17,8.95,15,7.89,20,10.53,17,8.95,13,6.84,28039
28,40,608,37,6.09,33,5.43,28,4.61,14,2.3,28,4.61,18,2.96,10,1.64,53,8.72,79,12.99,54,8.88,61,10.03,62,10.2,80,13.16,51,8.39,28040
28,41,307,10,3.26,7,2.28,4,1.3,3,0.98,9,2.93,6,1.95,3,0.98,33,10.75,44,14.33,35,11.4,33,10.75,38,12.38,44,14.33,38,12.38,28041
28,42,408,21,5.15,14,3.43,14,3.43,5,1.23,32,7.84,18,4.41,7,1.72,38,9.31,57,13.97,33,8.09,34,8.33,44,10.78,53,12.99,38,9.31,28042
28,43,382,12,3.14,11,2.88,9,2.36,6,1.57,15,3.93,6,1.57,3,0.79,45,11.78,53,13.87,44,11.52,41,10.73,41,10.73,50,13.09,46,12.04,28043
28,44,251,8,3.19,9,3.59,7,2.79,5,1.99,13,5.18,6,2.39,5,1.99,26,10.36,31,12.35,30,11.95,25,9.96,32,12.75,30,11.95,24,9.56,28044
28,45,271,18,6.64,19,7.01,10,3.69,8,2.95,14,5.17,15,5.54,4,1.48,23,8.49,35,12.92,22,8.12,22,8.12,29,10.7,30,11.07,22,8.12,28045
28,46,377,18,4.77,13,3.45,12,3.18,4,1.06,25,6.63,11,2.92,6,1.59,35,9.28,55,14.59,37,9.81,43,11.41,38,10.08,45,11.94,35,9.28,28046
28,47,545,39,7.16,34,6.24,23,4.22,8,1.47,35,6.42,24,4.4,12,2.2,45,8.26,70,12.84,44,8.07,50,9.17,51,9.36,66,12.11,44,8.07,28047
28,48,79,15,18.99,1,1.27,5,6.33,2,2.53,5,6.33,4,5.06,3,3.8,4,5.06,9,11.39,3,3.8,9,11.39,6,7.59,8,10.13,5,6.33,28048
28,49,333,27,8.11,10,3.0,12,3.6,7,2.1,22,6.61,11,3.3,4,1.2,31,9.31,43,12.91,30,9.01,33,9.91,34,10.21,39,11.71,30,9.01,28049
28,50,185,20,10.81,7,3.78,8,4.32,5,2.7,22,11.89,6,3.24,5,2.7,15,8.11,21,11.35,17,9.19,16,8.65,13,7.03,20,10.81,10,5.41,28050
28,51,374,13,3.48,9,2.41,12,3.21,7,1.87,20,5.35,5,1.34,2,0.53,42,11.23,58,15.51,38,10.16,42,11.23,46,12.3,41,10.96,39,10.43,28051
28,52,421,48,11.4,12,2.85,14,3.33,9,2.14,32,7.6,6,1.43,6,1.43,38,9.03,56,13.3,35,8.31,38,9.03,42,9.98,50,11.88,35,8.31,28052
28,53,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28053
28,54,277,26,9.39,11,3.97,10,3.61,6,2.17,19,6.86,9,3.25,4,1.44,23,8.3,42,15.16,22,7.94,27,9.75,25,9.03,30,10.83,23,8.3,28054
28,55,257,15,5.84,10,3.89,10,3.89,6,2.33,13,5.06,9,3.5,4,1.56,25,9.73,32,12.45,25,9.73,27,10.51,29,11.28,29,11.28,23,8.95,28055
28,56,418,25,5.98,16,3.83,12,2.87,10,2.39,37,8.85,16,3.83,6,1.44,37,8.85,54,12.92,39,9.33,42,10.05,47,11.24,41,9.81,36,8.61,28056
28,57,485,12,2.47,18,3.71,11,2.27,6,1.24,30,6.19,14,2.89,6,1.24,54,11.13,67,13.81,52,10.72,54,11.13,51,10.52,64,13.2,46,9.48,28057
28,58,237,12,5.06,9,3.8,7,2.95,7,2.95,14,5.91,6,2.53,9,3.8,22,9.28,35,14.77,20,8.44,22,9.28,27,11.39,27,11.39,20,8.44,28058
