ward,precinct,total,MATTHEW E. COGHLAN,MATTHEW E. COGHLAN Percent,THOMAS MORE DONNELLY,THOMAS MORE DONNELLY Percent,LAURA MARIE SULLIVAN,LAURA MARIE SULLIVAN Percent,BEVERLY SUSLER PARKHURST,BEVERLY SUSLER PARKHURST Percent,precinct_id
5,47,97,12,12.37,31,31.96,38,39.18,16,16.49,05047
5,48,136,16,11.76,31,22.79,40,29.41,49,36.03,05048
5,49,149,9,6.04,54,36.24,17,11.41,69,46.31,05049
5,50,86,18,20.93,31,36.05,24,27.91,13,15.12,05050
5,51,105,15,14.29,35,33.33,37,35.24,18,17.14,05051
5,52,90,15,16.67,38,42.22,28,31.11,9,10.0,05052
5,53,104,16,15.38,37,35.58,35,33.65,16,15.38,05053
5,54,79,13,16.46,28,35.44,24,30.38,14,17.72,05054
5,55,137,16,11.68,54,39.42,38,27.74,29,21.17,05055
5,56,85,10,11.76,25,29.41,33,38.82,17,20.0,05056
5,57,136,6,4.41,32,23.53,43,31.62,55,40.44,05057
5,58,85,19,22.35,35,41.18,19,22.35,12,14.12,05058
5,59,80,14,17.5,24,30.0,25,31.25,17,21.25,05059
6,1,179,37,20.67,43,24.02,60,33.52,39,21.79,06001
6,2,190,39,20.53,62,32.63,54,28.42,35,18.42,06002
6,3,137,27,19.71,30,21.9,57,41.61,23,16.79,06003
6,4,102,21,20.59,33,32.35,29,28.43,19,18.63,06004
6,5,73,15,20.55,24,32.88,26,35.62,8,10.96,06005
6,6,180,34,18.89,48,26.67,58,32.22,40,22.22,06006
6,7,120,24,20.0,40,33.33,32,26.67,24,20.0,06007
6,8,171,31,18.13,45,26.32,61,35.67,34,19.88,06008
6,9,151,30,19.87,40,26.49,54,35.76,27,17.88,06009
6,10,213,37,17.37,47,22.07,82,38.5,47,22.07,06010
6,11,139,19,13.67,41,29.5,50,35.97,29,20.86,06011
6,12,106,21,19.81,37,34.91,36,33.96,12,11.32,06012
6,13,141,24,17.02,38,26.95,51,36.17,28,19.86,06013
6,14,147,36,24.49,45,30.61,46,31.29,20,13.61,06014
6,15,89,13,14.61,31,34.83,30,33.71,15,16.85,06015
6,16,167,36,21.56,36,21.56,63,37.72,32,19.16,06016
6,17,206,36,17.48,60,29.13,68,33.01,42,20.39,06017
6,18,51,16,31.37,8,15.69,18,35.29,9,17.65,06018
6,19,142,28,19.72,35,24.65,55,38.73,24,16.9,06019
6,20,43,9,20.93,13,30.23,15,34.88,6,13.95,06020
6,21,164,22,13.41,44,26.83,66,40.24,32,19.51,06021
6,22,149,22,14.77,47,31.54,47,31.54,33,22.15,06022
6,23,105,19,18.1,39,37.14,33,31.43,14,13.33,06023
6,24,142,26,18.31,43,30.28,48,33.8,25,17.61,06024
6,25,136,21,15.44,35,25.74,49,36.03,31,22.79,06025
6,26,142,30,21.13,41,28.87,54,38.03,17,11.97,06026
6,27,175,22,12.57,52,29.71,68,38.86,33,18.86,06027
6,28,171,35,20.47,44,25.73,53,30.99,39,22.81,06028
6,29,157,22,14.01,50,31.85,49,31.21,36,22.93,06029
6,30,124,21,16.94,30,24.19,44,35.48,29,23.39,06030
6,31,195,31,15.9,57,29.23,68,34.87,39,20.0,06031
6,32,152,26,17.11,50,32.89,40,26.32,36,23.68,06032
6,33,164,17,10.37,50,30.49,56,34.15,41,25.0,06033
6,34,128,28,21.88,37,28.91,43,33.59,20,15.63,06034
6,35,198,31,15.66,63,31.82,73,36.87,31,15.66,06035
6,36,86,19,22.09,27,31.4,20,23.26,20,23.26,06036
