ward,precinct,total,ROBERT D. QUINLIVAN,ROBERT D. QUINLIVAN Percent,RICHARD ANTHONY STEVENS,RICHARD ANTHONY STEVENS Percent,MARJORIE E. MCCOLLOM,MARJORIE E. MCCOLLOM Percent,JOAN MARGARET O'BRIEN,JOAN MARGARET O'BRIEN Percent,precinct_id
8,49,180,36,20.0,48,26.67,43,23.89,53,29.44,08049
8,50,154,44,28.57,57,37.01,26,16.88,27,17.53,08050
8,51,145,34,23.45,49,33.79,25,17.24,37,25.52,08051
8,52,175,48,27.43,54,30.86,36,20.57,37,21.14,08052
8,53,172,47,27.33,48,27.91,34,19.77,43,25.0,08053
8,54,165,42,25.45,49,29.7,38,23.03,36,21.82,08054
8,55,127,34,26.77,33,25.98,23,18.11,37,29.13,08055
8,56,107,30,28.04,28,26.17,19,17.76,30,28.04,08056
8,57,157,48,30.57,50,31.85,27,17.2,32,20.38,08057
8,58,166,51,30.72,51,30.72,28,16.87,36,21.69,08058
8,59,134,53,39.55,34,25.37,21,15.67,26,19.4,08059
8,60,193,52,26.94,62,32.12,47,24.35,32,16.58,08060
8,61,123,30,24.39,41,33.33,23,18.7,29,23.58,08061
8,62,199,56,28.14,68,34.17,37,18.59,38,19.1,08062
8,63,186,44,23.66,63,33.87,38,20.43,41,22.04,08063
8,64,94,44,46.81,16,17.02,13,13.83,21,22.34,08064
8,65,146,34,23.29,38,26.03,37,25.34,37,25.34,08065
8,66,196,61,31.12,54,27.55,27,13.78,54,27.55,08066
9,1,182,22,12.09,81,44.51,30,16.48,49,26.92,09001
9,2,169,15,8.88,87,51.48,31,18.34,36,21.3,09002
9,3,89,7,7.87,30,33.71,5,5.62,47,52.81,09003
9,4,195,14,7.18,110,56.41,21,10.77,50,25.64,09004
9,5,151,13,8.61,49,32.45,33,21.85,56,37.09,09005
9,6,141,13,9.22,76,53.9,27,19.15,25,17.73,09006
9,7,142,13,9.15,57,40.14,23,16.2,49,34.51,09007
9,8,133,13,9.77,51,38.35,24,18.05,45,33.83,09008
9,9,186,20,10.75,76,40.86,33,17.74,57,30.65,09009
9,10,143,23,16.08,67,46.85,20,13.99,33,23.08,09010
9,11,112,7,6.25,20,17.86,15,13.39,70,62.5,09011
9,12,142,16,11.27,58,40.85,19,13.38,49,34.51,09012
9,13,210,18,8.57,111,52.86,37,17.62,44,20.95,09013
9,14,220,18,8.18,95,43.18,48,21.82,59,26.82,09014
9,15,69,7,10.14,18,26.09,10,14.49,34,49.28,09015
9,16,154,10,6.49,53,34.42,23,14.94,68,44.16,09016
9,17,147,8,5.44,64,43.54,22,14.97,53,36.05,09017
9,18,143,12,8.39,48,33.57,30,20.98,53,37.06,09018
9,19,159,12,7.55,72,45.28,31,19.5,44,27.67,09019
9,20,165,18,10.91,70,42.42,34,20.61,43,26.06,09020
9,21,122,23,18.85,41,33.61,17,13.93,41,33.61,09021
9,22,183,12,6.56,84,45.9,27,14.75,60,32.79,09022
9,23,107,13,12.15,41,38.32,20,18.69,33,30.84,09023
9,24,73,5,6.85,22,30.14,9,12.33,37,50.68,09024
9,25,78,11,14.1,24,30.77,11,14.1,32,41.03,09025
9,26,105,10,9.52,30,28.57,16,15.24,49,46.67,09026
9,27,112,12,10.71,49,43.75,22,19.64,29,25.89,09027
9,28,95,17,17.89,26,27.37,16,16.84,36,37.89,09028
9,29,135,10,7.41,52,38.52,17,12.59,56,41.48,09029
9,30,163,15,9.2,78,47.85,17,10.43,53,32.52,09030
9,31,89,7,7.87,30,33.71,13,14.61,39,43.82,09031
9,32,142,14,9.86,70,49.3,30,21.13,28,19.72,09032
9,33,114,6,5.26,60,52.63,17,14.91,31,27.19,09033
9,34,107,13,12.15,33,30.84,21,19.63,40,37.38,09034
9,35,151,15,9.93,71,47.02,34,22.52,31,20.53,09035
9,36,65,9,13.85,24,36.92,11,16.92,21,32.31,09036
9,37,146,33,22.6,28,19.18,34,23.29,51,34.93,09037
9,38,127,10,7.87,38,29.92,24,18.9,55,43.31,09038
9,39,139,17,12.23,56,40.29,31,22.3,35,25.18,09039
9,40,167,22,13.17,64,38.32,33,19.76,48,28.74,09040
9,41,189,22,11.64,87,46.03,22,11.64,58,30.69,09041
9,42,123,10,8.13,41,33.33,19,15.45,53,43.09,09042
9,43,87,7,8.05,34,39.08,17,19.54,29,33.33,09043
9,44,128,14,10.94,61,47.66,19,14.84,34,26.56,09044
9,45,172,17,9.88,71,41.28,29,16.86,55,31.98,09045
9,46,140,11,7.86,53,37.86,36,25.71,40,28.57,09046
9,47,105,19,18.1,51,48.57,10,9.52,25,23.81,09047
9,48,172,21,12.21,87,50.58,23,13.37,41,23.84,09048
9,49,63,6,9.52,19,30.16,14,22.22,24,38.1,09049
9,50,189,8,4.23,107,56.61,27,14.29,47,24.87,09050
9,51,108,12,11.11,43,39.81,18,16.67,35,32.41,09051
9,52,154,18,11.69,61,39.61,32,20.78,43,27.92,09052
10,1,74,21,28.38,7,9.46,14,18.92,32,43.24,10001
10,2,84,19,22.62,19,22.62,8,9.52,38,45.24,10002
10,3,143,31,21.68,17,11.89,23,16.08,72,50.35,10003
10,4,154,26,16.88,37,24.03,28,18.18,63,40.91,10004
10,5,102,21,20.59,19,18.63,15,14.71,47,46.08,10005
10,6,135,24,17.78,46,34.07,34,25.19,31,22.96,10006
10,7,38,11,28.95,7,18.42,11,28.95,9,23.68,10007
10,8,126,21,16.67,20,15.87,16,12.7,69,54.76,10008
10,9,121,29,23.97,23,19.01,14,11.57,55,45.45,10009
10,10,117,19,16.24,44,37.61,26,22.22,28,23.93,10010
10,11,122,24,19.67,13,10.66,22,18.03,63,51.64,10011
10,12,111,26,23.42,17,15.32,18,16.22,50,45.05,10012
10,13,147,33,22.45,21,14.29,27,18.37,66,44.9,10013
10,14,25,5,20.0,9,36.0,3,12.0,8,32.0,10014
10,15,62,11,17.74,11,17.74,8,12.9,32,51.61,10015
10,16,113,29,25.66,12,10.62,20,17.7,52,46.02,10016
10,17,103,23,22.33,16,15.53,10,9.71,54,52.43,10017
10,18,99,29,29.29,12,12.12,20,20.2,38,38.38,10018
10,19,184,37,20.11,22,11.96,24,13.04,101,54.89,10019
10,20,203,46,22.66,26,12.81,30,14.78,101,49.75,10020
10,21,89,17,19.1,9,10.11,12,13.48,51,57.3,10021
10,22,35,9,25.71,3,8.57,9,25.71,14,40.0,10022
10,23,136,32,23.53,21,15.44,21,15.44,62,45.59,10023
10,24,123,20,16.26,17,13.82,21,17.07,65,52.85,10024
10,25,141,22,15.6,34,24.11,24,17.02,61,43.26,10025
10,26,89,19,21.35,25,28.09,13,14.61,32,35.96,10026
10,27,160,27,16.88,29,18.13,21,13.13,83,51.88,10027
10,28,115,20,17.39,24,20.87,35,30.43,36,31.3,10028
10,29,122,13,10.66,51,41.8,29,23.77,29,23.77,10029
10,30,129,32,24.81,13,10.08,22,17.05,62,48.06,10030
10,31,124,34,27.42,19,15.32,23,18.55,48,38.71,10031
10,32,131,30,22.9,20,15.27,31,23.66,50,38.17,10032
10,33,126,29,23.02,17,13.49,21,16.67,59,46.83,10033
10,34,121,26,21.49,10,8.26,19,15.7,66,54.55,10034
10,35,108,27,25.0,15,13.89,10,9.26,56,51.85,10035
10,36,135,23,17.04,32,23.7,27,20.0,53,39.26,10036
10,37,101,21,20.79,31,30.69,19,18.81,30,29.7,10037
10,38,179,37,20.67,26,14.53,23,12.85,93,51.96,10038
10,39,142,34,23.94,23,16.2,27,19.01,58,40.85,10039
10,40,102,22,21.57,22,21.57,22,21.57,36,35.29,10040
10,41,162,43,26.54,22,13.58,19,11.73,78,48.15,10041
10,42,121,26,21.49,12,9.92,16,13.22,67,55.37,10042
10,43,109,22,20.18,24,22.02,20,18.35,43,39.45,10043
10,44,128,25,19.53,20,15.63,23,17.97,60,46.88,10044
10,45,139,44,31.65,16,11.51,23,16.55,56,40.29,10045
10,46,119,31,26.05,18,15.13,14,11.76,56,47.06,10046
11,1,154,97,62.99,15,9.74,8,5.19,34,22.08,11001
11,2,139,66,47.48,20,14.39,14,10.07,39,28.06,11002
11,3,172,94,54.65,17,9.88,19,11.05,42,24.42,11003
11,4,173,119,68.79,13,7.51,9,5.2,32,18.5,11004
11,5,80,34,42.5,8,10.0,11,13.75,27,33.75,11005
11,6,244,139,56.97,21,8.61,21,8.61,63,25.82,11006
11,7,199,150,75.38,8,4.02,7,3.52,34,17.09,11007
11,8,172,73,42.44,19,11.05,25,14.53,55,31.98,11008
11,9,194,158,81.44,9,4.64,6,3.09,21,10.82,11009
11,10,106,59,55.66,9,8.49,6,5.66,32,30.19,11010
11,11,150,80,53.33,14,9.33,8,5.33,48,32.0,11011
11,12,200,136,68.0,13,6.5,4,2.0,47,23.5,11012
11,13,165,118,71.52,12,7.27,9,5.45,26,15.76,11013
11,14,72,22,30.56,15,20.83,7,9.72,28,38.89,11014
11,15,151,86,56.95,6,3.97,7,4.64,52,34.44,11015
11,16,139,84,60.43,16,11.51,8,5.76,31,22.3,11016
11,17,208,105,50.48,21,10.1,25,12.02,57,27.4,11017
11,18,129,73,56.59,12,9.3,12,9.3,32,24.81,11018
11,19,128,82,64.06,8,6.25,10,7.81,28,21.88,11019
11,20,226,163,72.12,15,6.64,7,3.1,41,18.14,11020
11,21,280,181,64.64,15,5.36,18,6.43,66,23.57,11021
11,22,83,42,50.6,5,6.02,13,15.66,23,27.71,11022
11,23,153,73,47.71,14,9.15,16,10.46,50,32.68,11023
11,24,285,233,81.75,6,2.11,13,4.56,33,11.58,11024
11,25,134,101,75.37,5,3.73,10,7.46,18,13.43,11025
11,26,222,146,65.77,7,3.15,20,9.01,49,22.07,11026
11,27,50,18,36.0,5,10.0,5,10.0,22,44.0,11027
11,28,38,28,73.68,1,2.63,0,0.0,9,23.68,11028
11,29,242,142,58.68,17,7.02,26,10.74,57,23.55,11029
11,30,148,81,54.73,15,10.14,14,9.46,38,25.68,11030
11,31,56,16,28.57,6,10.71,7,12.5,27,48.21,11031
11,32,148,105,70.95,6,4.05,4,2.7,33,22.3,11032
11,33,79,27,34.18,17,21.52,15,18.99,20,25.32,11033
11,34,102,60,58.82,8,7.84,10,9.8,24,23.53,11034
11,35,191,138,72.25,6,3.14,8,4.19,39,20.42,11035
11,36,87,47,54.02,9,10.34,14,16.09,17,19.54,11036
11,37,265,191,72.08,14,5.28,12,4.53,48,18.11,11037
11,38,272,191,70.22,19,6.99,14,5.15,48,17.65,11038
11,39,224,132,58.93,12,5.36,21,9.38,59,26.34,11039
11,40,190,140,73.68,11,5.79,10,5.26,29,15.26,11040
11,41,145,86,59.31,12,8.28,12,8.28,35,24.14,11041
11,42,121,96,79.34,4,3.31,6,4.96,15,12.4,11042
11,43,183,132,72.13,10,5.46,13,7.1,28,15.3,11043
11,44,150,87,58.0,14,9.33,12,8.0,37,24.67,11044
11,45,131,78,59.54,14,10.69,8,6.11,31,23.66,11045
11,46,97,55,56.7,6,6.19,5,5.15,31,31.96,11046
11,47,170,114,67.06,13,7.65,11,6.47,32,18.82,11047
11,48,111,70,63.06,3,2.7,6,5.41,32,28.83,11048
11,49,117,75,64.1,1,0.85,3,2.56,38,32.48,11049
11,50,98,78,79.59,6,6.12,1,1.02,13,13.27,11050
11,51,187,132,70.59,10,5.35,7,3.74,38,20.32,11051
11,52,154,105,68.18,7,4.55,14,9.09,28,18.18,11052
11,53,153,115,75.16,5,3.27,12,7.84,21,13.73,11053
11,54,73,67,91.78,3,4.11,3,4.11,0,0.0,11054
12,1,53,9,16.98,11,20.75,9,16.98,24,45.28,12001
12,2,98,20,20.41,20,20.41,16,16.33,42,42.86,12002
12,3,100,27,27.0,20,20.0,17,17.0,36,36.0,12003
12,4,78,23,29.49,13,16.67,14,17.95,28,35.9,12004
12,5,48,15,31.25,4,8.33,4,8.33,25,52.08,12005
12,6,98,28,28.57,14,14.29,19,19.39,37,37.76,12006
12,7,56,14,25.0,13,23.21,10,17.86,19,33.93,12007
12,8,55,11,20.0,7,12.73,9,16.36,28,50.91,12008
12,9,79,19,24.05,6,7.59,18,22.78,36,45.57,12009
12,10,56,18,32.14,6,10.71,14,25.0,18,32.14,12010
12,11,98,20,20.41,29,29.59,19,19.39,30,30.61,12011
12,12,76,16,21.05,10,13.16,13,17.11,37,48.68,12012
12,13,44,18,40.91,5,11.36,7,15.91,14,31.82,12013
12,14,60,16,26.67,16,26.67,13,21.67,15,25.0,12014
12,15,65,18,27.69,9,13.85,10,15.38,28,43.08,12015
12,16,111,34,30.63,26,23.42,11,9.91,40,36.04,12016
12,17,35,11,31.43,8,22.86,6,17.14,10,28.57,12017
12,18,60,11,18.33,15,25.0,14,23.33,20,33.33,12018
12,19,47,8,17.02,11,23.4,11,23.4,17,36.17,12019
12,20,55,17,30.91,8,14.55,8,14.55,22,40.0,12020
12,21,124,34,27.42,18,14.52,14,11.29,58,46.77,12021
12,22,63,18,28.57,15,23.81,9,14.29,21,33.33,12022
12,23,117,26,22.22,26,22.22,24,20.51,41,35.04,12023
12,24,36,5,13.89,8,22.22,4,11.11,19,52.78,12024
12,25,66,18,27.27,9,13.64,12,18.18,27,40.91,12025
12,26,50,17,34.0,16,32.0,6,12.0,11,22.0,12026
12,27,45,12,26.67,11,24.44,5,11.11,17,37.78,12027
12,28,50,13,26.0,8,16.0,6,12.0,23,46.0,12028
12,29,176,42,23.86,30,17.05,25,14.2,79,44.89,12029
12,30,132,34,25.76,21,15.91,16,12.12,61,46.21,12030
13,1,142,76,53.52,10,7.04,6,4.23,50,35.21,13001
13,2,141,69,48.94,9,6.38,11,7.8,52,36.88,13002
13,3,267,197,73.78,20,7.49,6,2.25,44,16.48,13003
13,4,213,139,65.26,15,7.04,18,8.45,41,19.25,13004
13,5,149,87,58.39,11,7.38,12,8.05,39,26.17,13005
13,6,132,68,51.52,9,6.82,9,6.82,46,34.85,13006
13,7,257,209,81.32,17,6.61,10,3.89,21,8.17,13007
13,8,192,133,69.27,2,1.04,14,7.29,43,22.4,13008
13,9,214,132,61.68,20,9.35,19,8.88,43,20.09,13009
13,10,177,114,64.41,7,3.95,6,3.39,50,28.25,13010
13,11,124,77,62.1,10,8.06,9,7.26,28,22.58,13011
13,12,238,180,75.63,9,3.78,14,5.88,35,14.71,13012
13,13,295,257,87.12,12,4.07,6,2.03,20,6.78,13013
13,14,141,106,75.18,7,4.96,2,1.42,26,18.44,13014
13,15,262,221,84.35,9,3.44,10,3.82,22,8.4,13015
13,16,177,118,66.67,11,6.21,12,6.78,36,20.34,13016
13,17,129,86,66.67,8,6.2,17,13.18,18,13.95,13017
13,18,139,77,55.4,16,11.51,8,5.76,38,27.34,13018
13,19,150,96,64.0,12,8.0,8,5.33,34,22.67,13019
13,20,179,92,51.4,20,11.17,14,7.82,53,29.61,13020
13,21,185,139,75.14,9,4.86,11,5.95,26,14.05,13021
13,22,290,197,67.93,17,5.86,14,4.83,62,21.38,13022
13,23,223,192,86.1,6,2.69,6,2.69,19,8.52,13023
13,24,230,137,59.57,15,6.52,14,6.09,64,27.83,13024
13,25,146,88,60.27,9,6.16,13,8.9,36,24.66,13025
13,26,151,99,65.56,12,7.95,11,7.28,29,19.21,13026
13,27,188,130,69.15,6,3.19,11,5.85,41,21.81,13027
13,28,139,94,67.63,8,5.76,11,7.91,26,18.71,13028
13,29,174,102,58.62,9,5.17,16,9.2,47,27.01,13029
13,30,169,106,62.72,11,6.51,16,9.47,36,21.3,13030
13,31,181,120,66.3,11,6.08,14,7.73,36,19.89,13031
13,32,114,49,42.98,20,17.54,16,14.04,29,25.44,13032
13,33,154,99,64.29,10,6.49,13,8.44,32,20.78,13033
13,34,216,164,75.93,7,3.24,16,7.41,29,13.43,13034
13,35,236,182,77.12,9,3.81,6,2.54,39,16.53,13035
13,36,123,71,57.72,5,4.07,13,10.57,34,27.64,13036
13,37,136,93,68.38,16,11.76,7,5.15,20,14.71,13037
13,38,111,82,73.87,8,7.21,2,1.8,19,17.12,13038
13,39,166,127,76.51,1,0.6,12,7.23,26,15.66,13039
13,40,154,88,57.14,8,5.19,11,7.14,47,30.52,13040
13,41,146,89,60.96,14,9.59,15,10.27,28,19.18,13041
13,42,299,235,78.6,14,4.68,11,3.68,39,13.04,13042
13,43,208,155,74.52,13,6.25,8,3.85,32,15.38,13043
13,44,95,51,53.68,6,6.32,10,10.53,28,29.47,13044
13,45,96,47,48.96,11,11.46,8,8.33,30,31.25,13045
13,46,216,166,76.85,8,3.7,13,6.02,29,13.43,13046
13,47,157,105,66.88,11,7.01,9,5.73,32,20.38,13047
13,48,159,109,68.55,11,6.92,10,6.29,29,18.24,13048
13,49,88,59,67.05,4,4.55,6,6.82,19,21.59,13049
13,50,292,261,89.38,6,2.05,7,2.4,18,6.16,13050
13,51,185,119,64.32,12,6.49,7,3.78,47,25.41,13051
13,52,233,170,72.96,18,7.73,17,7.3,28,12.02,13052
13,53,203,139,68.47,15,7.39,18,8.87,31,15.27,13053
13,54,250,210,84.0,5,2.0,7,2.8,28,11.2,13054
13,55,216,147,68.06,7,3.24,15,6.94,47,21.76,13055
13,56,311,262,84.24,9,2.89,11,3.54,29,9.32,13056
13,57,198,144,72.73,11,5.56,6,3.03,37,18.69,13057
13,58,330,287,86.97,7,2.12,9,2.73,27,8.18,13058
13,59,136,72,52.94,10,7.35,14,10.29,40,29.41,13059
13,60,323,285,88.24,10,3.1,9,2.79,19,5.88,13060
13,61,287,227,79.09,15,5.23,12,4.18,33,11.5,13061
13,62,261,216,82.76,9,3.45,7,2.68,29,11.11,13062
13,63,227,141,62.11,12,5.29,17,7.49,57,25.11,13063
14,1,74,45,60.81,3,4.05,5,6.76,21,28.38,14001
14,2,92,42,45.65,7,7.61,11,11.96,32,34.78,14002
14,3,168,98,58.33,7,4.17,13,7.74,50,29.76,14003
14,4,90,48,53.33,11,12.22,9,10.0,22,24.44,14004
14,5,197,156,79.19,13,6.6,9,4.57,19,9.64,14005
14,6,116,50,43.1,12,10.34,15,12.93,39,33.62,14006
14,7,144,66,45.83,14,9.72,16,11.11,48,33.33,14007
14,8,101,42,41.58,11,10.89,12,11.88,36,35.64,14008
14,9,133,78,58.65,12,9.02,7,5.26,36,27.07,14009
14,10,50,30,60.0,3,6.0,5,10.0,12,24.0,14010
14,11,130,85,65.38,13,10.0,6,4.62,26,20.0,14011
14,12,89,58,65.17,6,6.74,9,10.11,16,17.98,14012
14,13,91,31,34.07,9,9.89,13,14.29,38,41.76,14013
14,14,88,43,48.86,6,6.82,7,7.95,32,36.36,14014
14,15,47,24,51.06,7,14.89,4,8.51,12,25.53,14015
14,16,112,56,50.0,13,11.61,14,12.5,29,25.89,14016
14,17,88,55,62.5,8,9.09,7,7.95,18,20.45,14017
14,18,84,47,55.95,2,2.38,7,8.33,28,33.33,14018
14,19,174,132,75.86,9,5.17,3,1.72,30,17.24,14019
14,20,67,16,23.88,12,17.91,12,17.91,27,40.3,14020
14,21,183,106,57.92,22,12.02,15,8.2,40,21.86,14021
14,22,161,97,60.25,17,10.56,15,9.32,32,19.88,14022
14,23,111,64,57.66,8,7.21,10,9.01,29,26.13,14023
14,24,116,54,46.55,16,13.79,17,14.66,29,25.0,14024
14,25,86,35,40.7,17,19.77,7,8.14,27,31.4,14025
14,26,115,56,48.7,13,11.3,16,13.91,30,26.09,14026
14,27,208,130,62.5,12,5.77,18,8.65,48,23.08,14027
14,28,103,42,40.78,11,10.68,15,14.56,35,33.98,14028
14,29,167,102,61.08,16,9.58,19,11.38,30,17.96,14029
14,30,114,48,42.11,17,14.91,12,10.53,37,32.46,14030
14,31,112,72,64.29,9,8.04,8,7.14,23,20.54,14031
14,32,115,48,41.74,14,12.17,13,11.3,40,34.78,14032
14,33,119,79,66.39,9,7.56,9,7.56,22,18.49,14033
14,34,117,81,69.23,6,5.13,9,7.69,21,17.95,14034
14,35,61,37,60.66,2,3.28,6,9.84,16,26.23,14035
14,36,144,73,50.69,17,11.81,9,6.25,45,31.25,14036
14,37,100,66,66.0,7,7.0,11,11.0,16,16.0,14037
14,38,107,58,54.21,15,14.02,11,10.28,23,21.5,14038
14,39,123,72,58.54,9,7.32,12,9.76,30,24.39,14039
14,40,104,55,52.88,11,10.58,15,14.42,23,22.12,14040
14,41,166,99,59.64,12,7.23,11,6.63,44,26.51,14041
14,42,102,63,61.76,5,4.9,10,9.8,24,23.53,14042
14,43,140,75,53.57,12,8.57,7,5.0,46,32.86,14043
14,44,134,68,50.75,14,10.45,17,12.69,35,26.12,14044
14,45,105,51,48.57,18,17.14,6,5.71,30,28.57,14045
14,46,149,83,55.7,9,6.04,9,6.04,48,32.21,14046
14,47,245,238,97.14,2,0.82,0,0.0,5,2.04,14047
14,48,75,20,26.67,13,17.33,15,20.0,27,36.0,14048
15,1,112,26,23.21,38,33.93,22,19.64,26,23.21,15001
15,2,104,15,14.42,35,33.65,22,21.15,32,30.77,15002
15,3,132,31,23.48,44,33.33,30,22.73,27,20.45,15003
15,4,88,18,20.45,28,31.82,15,17.05,27,30.68,15004
15,5,111,19,17.12,42,37.84,29,26.13,21,18.92,15005
15,6,82,18,21.95,19,23.17,21,25.61,24,29.27,15006
15,7,95,17,17.89,32,33.68,24,25.26,22,23.16,15007
15,8,86,19,22.09,27,31.4,21,24.42,19,22.09,15008
15,9,92,13,14.13,30,32.61,18,19.57,31,33.7,15009
15,10,124,32,25.81,33,26.61,24,19.35,35,28.23,15010
15,11,89,17,19.1,38,42.7,13,14.61,21,23.6,15011
15,12,111,36,32.43,19,17.12,16,14.41,40,36.04,15012
15,13,67,12,17.91,26,38.81,13,19.4,16,23.88,15013
15,14,39,9,23.08,12,30.77,5,12.82,13,33.33,15014
15,15,58,11,18.97,19,32.76,15,25.86,13,22.41,15015
15,16,157,27,17.2,46,29.3,28,17.83,56,35.67,15016
15,17,94,17,18.09,34,36.17,19,20.21,24,25.53,15017
15,18,114,21,18.42,35,30.7,21,18.42,37,32.46,15018
15,19,92,14,15.22,34,36.96,19,20.65,25,27.17,15019
15,20,82,18,21.95,24,29.27,17,20.73,23,28.05,15020
15,21,113,20,17.7,40,35.4,25,22.12,28,24.78,15021
15,22,156,30,19.23,49,31.41,30,19.23,47,30.13,15022
15,23,74,12,16.22,20,27.03,23,31.08,19,25.68,15023
15,24,116,25,21.55,30,25.86,25,21.55,36,31.03,15024
15,25,107,22,20.56,37,34.58,27,25.23,21,19.63,15025
15,26,100,16,16.0,30,30.0,26,26.0,28,28.0,15026
15,27,97,13,13.4,31,31.96,20,20.62,33,34.02,15027
15,28,162,27,16.67,66,40.74,31,19.14,38,23.46,15028
15,29,109,16,14.68,35,32.11,27,24.77,31,28.44,15029
15,30,93,6,6.45,40,43.01,21,22.58,26,27.96,15030
15,31,106,18,16.98,30,28.3,22,20.75,36,33.96,15031
15,32,99,23,23.23,34,34.34,17,17.17,25,25.25,15032
15,33,96,14,14.58,30,31.25,18,18.75,34,35.42,15033
15,34,66,11,16.67,25,37.88,18,27.27,12,18.18,15034
15,35,123,30,24.39,37,30.08,28,22.76,28,22.76,15035
15,36,95,16,16.84,27,28.42,28,29.47,24,25.26,15036
15,37,98,10,10.2,41,41.84,25,25.51,22,22.45,15037
15,38,93,13,13.98,37,39.78,17,18.28,26,27.96,15038
15,39,93,11,11.83,33,35.48,23,24.73,26,27.96,15039
15,40,118,20,16.95,44,37.29,27,22.88,27,22.88,15040
15,41,124,12,9.68,52,41.94,20,16.13,40,32.26,15041
15,42,85,18,21.18,24,28.24,14,16.47,29,34.12,15042
15,43,64,19,29.69,22,34.38,10,15.63,13,20.31,15043
15,44,85,13,15.29,32,37.65,17,20.0,23,27.06,15044
15,45,122,26,21.31,34,27.87,24,19.67,38,31.15,15045
15,46,84,14,16.67,36,42.86,18,21.43,16,19.05,15046
15,47,115,16,13.91,49,42.61,19,16.52,31,26.96,15047
15,48,80,12,15.0,29,36.25,12,15.0,27,33.75,15048
16,1,63,14,22.22,20,31.75,13,20.63,16,25.4,16001
16,2,34,5,14.71,10,29.41,9,26.47,10,29.41,16002
16,3,95,8,8.42,47,49.47,16,16.84,24,25.26,16003
16,4,12,4,33.33,3,25.0,1,8.33,4,33.33,16004
16,5,86,17,19.77,38,44.19,11,12.79,20,23.26,16005
16,6,79,7,8.86,34,43.04,18,22.78,20,25.32,16006
16,7,76,10,13.16,30,39.47,16,21.05,20,26.32,16007
16,8,84,14,16.67,36,42.86,11,13.1,23,27.38,16008
16,9,142,26,18.31,46,32.39,35,24.65,35,24.65,16009
16,10,88,17,19.32,30,34.09,23,26.14,18,20.45,16010
16,11,97,16,16.49,34,35.05,26,26.8,21,21.65,16011
16,12,54,8,14.81,21,38.89,9,16.67,16,29.63,16012
16,13,62,20,32.26,9,14.52,11,17.74,22,35.48,16013
16,14,77,10,12.99,25,32.47,13,16.88,29,37.66,16014
16,15,88,6,6.82,34,38.64,24,27.27,24,27.27,16015
16,16,37,3,8.11,11,29.73,9,24.32,14,37.84,16016
16,17,25,3,12.0,11,44.0,4,16.0,7,28.0,16017
16,18,51,5,9.8,16,31.37,16,31.37,14,27.45,16018
16,19,72,8,11.11,18,25.0,21,29.17,25,34.72,16019
16,20,100,12,12.0,38,38.0,18,18.0,32,32.0,16020
16,21,68,16,23.53,7,10.29,12,17.65,33,48.53,16021
16,22,84,11,13.1,31,36.9,23,27.38,19,22.62,16022
16,23,92,19,20.65,22,23.91,22,23.91,29,31.52,16023
16,24,58,11,18.97,19,32.76,13,22.41,15,25.86,16024
16,25,55,6,10.91,25,45.45,11,20.0,13,23.64,16025
16,26,105,9,8.57,60,57.14,21,20.0,15,14.29,16026
16,27,65,14,21.54,22,33.85,14,21.54,15,23.08,16027
16,28,104,8,7.69,52,50.0,20,19.23,24,23.08,16028
16,29,81,15,18.52,25,30.86,17,20.99,24,29.63,16029
16,30,135,10,7.41,42,31.11,28,20.74,55,40.74,16030
16,31,73,9,12.33,28,38.36,15,20.55,21,28.77,16031
16,32,29,2,6.9,12,41.38,11,37.93,4,13.79,16032
16,33,69,8,11.59,24,34.78,13,18.84,24,34.78,16033
16,34,80,8,10.0,31,38.75,15,18.75,26,32.5,16034
16,35,58,10,17.24,31,53.45,7,12.07,10,17.24,16035
16,36,101,9,8.91,52,51.49,18,17.82,22,21.78,16036
16,37,40,7,17.5,17,42.5,7,17.5,9,22.5,16037
16,38,120,12,10.0,32,26.67,30,25.0,46,38.33,16038
16,39,75,10,13.33,21,28.0,17,22.67,27,36.0,16039
16,40,119,12,10.08,57,47.9,21,17.65,29,24.37,16040
16,41,61,14,22.95,15,24.59,10,16.39,22,36.07,16041
16,42,132,31,23.48,31,23.48,23,17.42,47,35.61,16042
17,1,55,8,14.55,18,32.73,11,20.0,18,32.73,17001
17,2,149,75,50.34,22,14.77,14,9.4,38,25.5,17002
17,3,121,74,61.16,18,14.88,15,12.4,14,11.57,17003
17,4,210,121,57.62,28,13.33,22,10.48,39,18.57,17004
17,5,126,28,22.22,33,26.19,32,25.4,33,26.19,17005
17,6,117,72,61.54,16,13.68,7,5.98,22,18.8,17006
17,7,154,69,44.81,41,26.62,23,14.94,21,13.64,17007
17,8,90,40,44.44,17,18.89,17,18.89,16,17.78,17008
17,9,112,39,34.82,36,32.14,20,17.86,17,15.18,17009
17,10,151,54,35.76,41,27.15,27,17.88,29,19.21,17010
17,11,117,32,27.35,32,27.35,26,22.22,27,23.08,17011
17,12,144,81,56.25,28,19.44,14,9.72,21,14.58,17012
17,13,119,35,29.41,34,28.57,20,16.81,30,25.21,17013
17,14,119,52,43.7,24,20.17,21,17.65,22,18.49,17014
17,15,141,56,39.72,29,20.57,27,19.15,29,20.57,17015
17,16,131,45,34.35,33,25.19,17,12.98,36,27.48,17016
17,17,107,39,36.45,25,23.36,17,15.89,26,24.3,17017
17,18,132,82,62.12,20,15.15,10,7.58,20,15.15,17018
