ward,precinct,total,LOVANA S. JONES (GORE),LOVANA S. JONES (GORE) Percent,TODD H. STROGER (GORE),TODD H. STROGER (GORE) Percent,VIRGINIA A. RUGAI (GORE),VIRGINIA A. RUGAI (GORE) Percent,JERRY BUTLER (GORE),JERRY BUTLER (GORE) Percent,NORMA J. WHITE (GORE),NORMA J. WHITE (GORE) Percent,HENRY M. WILLIAMSON (GORE),HENRY M. WILLIAMSON (GORE) Percent,ROSEMARY M. BILECKI (GORE),ROSEMARY M. BILECKI (GORE) Percent,"SPENCER LEAK, JR. (GORE)","SPENCER LEAK, JR. (GORE) Percent","JOSEPH G. BERTRAND,JR. (BRADLEY)","JOSEPH G. BERTRAND,JR. (BRADLEY) Percent",DELMARIE L. COBB (BRADLEY),DELMARIE L. COBB (BRADLEY) Percent,HOWARD KENNER (BRADLEY),HOWARD KENNER (BRADLEY) Percent,DORIS DAVENPORT (BRADLEY),DORIS DAVENPORT (BRADLEY) Percent,CARLTON E. HULL (BRADLEY),CARLTON E. HULL (BRADLEY) Percent,DENISE ELIGAN (BRADLEY),DENISE ELIGAN (BRADLEY) Percent,MYRON F. MCCOY (BRADLEY),MYRON F. MCCOY (BRADLEY) Percent,CELESTINE M. FULCHON (BRADLEY),CELESTINE M. FULCHON (BRADLEY) Percent,precinct_id
8,23,933,107,11.47,139,14.9,82,8.79,126,13.5,92,9.86,80,8.57,74,7.93,117,12.54,15,1.61,18,1.93,9,0.96,19,2.04,10,1.07,14,1.5,13,1.39,18,1.93,08023
8,24,1281,138,10.77,181,14.13,102,7.96,170,13.27,130,10.15,112,8.74,97,7.57,152,11.87,31,2.42,22,1.72,25,1.95,36,2.81,19,1.48,19,1.48,28,2.19,19,1.48,08024
8,25,1125,117,10.4,174,15.47,86,7.64,143,12.71,106,9.42,84,7.47,78,6.93,113,10.04,38,3.38,34,3.02,24,2.13,33,2.93,20,1.78,24,2.13,29,2.58,22,1.96,08025
8,26,680,70,10.29,109,16.03,52,7.65,95,13.97,68,10.0,54,7.94,52,7.65,78,11.47,20,2.94,12,1.76,16,2.35,14,2.06,6,0.88,9,1.32,12,1.76,13,1.91,08026
8,27,1376,158,11.48,199,14.46,128,9.3,183,13.3,146,10.61,130,9.45,132,9.59,165,11.99,21,1.53,13,0.94,20,1.45,24,1.74,10,0.73,10,0.73,21,1.53,16,1.16,08027
8,28,1103,125,11.33,170,15.41,94,8.52,151,13.69,121,10.97,96,8.7,93,8.43,133,12.06,28,2.54,17,1.54,15,1.36,18,1.63,10,0.91,6,0.54,15,1.36,11,1.0,08028
8,29,1068,109,10.21,169,15.82,86,8.05,149,13.95,105,9.83,92,8.61,82,7.68,125,11.7,21,1.97,22,2.06,15,1.4,29,2.72,14,1.31,16,1.5,18,1.69,16,1.5,08029
8,30,1129,123,10.89,175,15.5,84,7.44,150,13.29,101,8.95,92,8.15,82,7.26,120,10.63,31,2.75,30,2.66,28,2.48,30,2.66,13,1.15,18,1.59,28,2.48,24,2.13,08030
8,31,952,101,10.61,144,15.13,71,7.46,130,13.66,89,9.35,86,9.03,78,8.19,114,11.97,15,1.58,13,1.37,19,2.0,23,2.42,15,1.58,17,1.79,24,2.52,13,1.37,08031
8,32,1736,195,11.23,246,14.17,133,7.66,236,13.59,172,9.91,145,8.35,129,7.43,195,11.23,32,1.84,47,2.71,39,2.25,45,2.59,26,1.5,32,1.84,35,2.02,29,1.67,08032
