ward,precinct,total,TONY V. LU (BRADLEY),TONY V. LU (BRADLEY) Percent,CAROL RONEN (BRADLEY),CAROL RONEN (BRADLEY) Percent,JEFF SCHOENBERG (BRADLEY),JEFF SCHOENBERG (BRADLEY) Percent,BARBARA HILLMAN (BRADLEY),BARBARA HILLMAN (BRADLEY) Percent,JAMES B. BURNS (BRADLEY),JAMES B. BURNS (BRADLEY) Percent,HELEN SHILLER (BRADLEY),HELEN SHILLER (BRADLEY) Percent,HOWARD W. CARROLL (GORE),HOWARD W. CARROLL (GORE) Percent,CHRISTINA (TINA) M. TCHEN (GORE),CHRISTINA (TINA) M. TCHEN (GORE) Percent,THOMAS H. REECE (GORE),THOMAS H. REECE (GORE) Percent,ANTOINETTE M. MALATESTA (GORE),ANTOINETTE M. MALATESTA (GORE) Percent,JOHN F. NORWOOD (GORE),JOHN F. NORWOOD (GORE) Percent,SYLVIA M. PUENTE (GORE),SYLVIA M. PUENTE (GORE) Percent,DANIELLE ALEXANDER (LaROUCHE),DANIELLE ALEXANDER (LaROUCHE) Percent,DIANNE BETTAG (LaROUCHE),DIANNE BETTAG (LaROUCHE) Percent,PATRICK HOLZER (LaROUCHE),PATRICK HOLZER (LaROUCHE) Percent,GENE SCHENK (LaROUCHE),GENE SCHENK (LaROUCHE) Percent,SUSAN WAKEFIELD (LaROUCHE),SUSAN WAKEFIELD (LaROUCHE) Percent,VERN SHIPLEY (LaROUCHE),VERN SHIPLEY (LaROUCHE) Percent,precinct_id
44,17,543,22,4.05,27,4.97,30,5.52,25,4.6,24,4.42,28,5.16,65,11.97,62,11.42,60,11.05,59,10.87,56,10.31,62,11.42,5,0.92,5,0.92,3,0.55,1,0.18,7,1.29,2,0.37,44017
44,18,190,10,5.26,13,6.84,11,5.79,11,5.79,9,4.74,13,6.84,21,11.05,20,10.53,19,10.0,17,8.95,14,7.37,19,10.0,2,1.05,1,0.53,2,1.05,4,2.11,2,1.05,2,1.05,44018
44,19,304,14,4.61,23,7.57,15,4.93,17,5.59,11,3.62,22,7.24,34,11.18,29,9.54,26,8.55,34,11.18,24,7.89,31,10.2,5,1.64,6,1.97,1,0.33,3,0.99,7,2.3,2,0.66,44019
44,21,379,17,4.49,18,4.75,15,3.96,18,4.75,15,3.96,23,6.07,43,11.35,42,11.08,44,11.61,43,11.35,42,11.08,44,11.61,5,1.32,0,0.0,2,0.53,3,0.79,3,0.79,2,0.53,44021
44,22,322,11,3.42,13,4.04,13,4.04,10,3.11,8,2.48,14,4.35,39,12.11,43,13.35,38,11.8,38,11.8,38,11.8,39,12.11,2,0.62,2,0.62,2,0.62,5,1.55,4,1.24,3,0.93,44022
44,23,389,19,4.88,26,6.68,22,5.66,27,6.94,19,4.88,27,6.94,38,9.77,41,10.54,38,9.77,42,10.8,36,9.25,42,10.8,2,0.51,2,0.51,2,0.51,0,0.0,3,0.77,3,0.77,44023
44,24,411,15,3.65,23,5.6,18,4.38,15,3.65,18,4.38,24,5.84,50,12.17,50,12.17,47,11.44,47,11.44,48,11.68,41,9.98,4,0.97,4,0.97,1,0.24,0,0.0,3,0.73,3,0.73,44024
44,26,408,22,5.39,25,6.13,24,5.88,26,6.37,23,5.64,29,7.11,42,10.29,43,10.54,37,9.07,37,9.07,37,9.07,37,9.07,4,0.98,5,1.23,3,0.74,3,0.74,6,1.47,5,1.23,44026
44,28,345,16,4.64,24,6.96,19,5.51,20,5.8,19,5.51,29,8.41,35,10.14,33,9.57,35,10.14,34,9.86,34,9.86,32,9.28,5,1.45,0,0.0,1,0.29,3,0.87,3,0.87,3,0.87,44028
44,30,408,26,6.37,32,7.84,28,6.86,34,8.33,26,6.37,33,8.09,35,8.58,37,9.07,33,8.09,37,9.07,32,7.84,34,8.33,2,0.49,3,0.74,4,0.98,3,0.74,5,1.23,4,0.98,44030
44,31,514,25,4.86,26,5.06,30,5.84,30,5.84,26,5.06,27,5.25,58,11.28,56,10.89,52,10.12,51,9.92,55,10.7,56,10.89,5,0.97,4,0.78,4,0.78,1,0.19,5,0.97,3,0.58,44031
44,32,237,8,3.38,10,4.22,10,4.22,7,2.95,9,3.8,10,4.22,31,13.08,29,12.24,30,12.66,32,13.5,28,11.81,30,12.66,0,0.0,1,0.42,0,0.0,0,0.0,1,0.42,1,0.42,44032
44,33,553,24,4.34,32,5.79,25,4.52,25,4.52,20,3.62,37,6.69,67,12.12,69,12.48,58,10.49,63,11.39,54,9.76,62,11.21,7,1.27,2,0.36,2,0.36,2,0.36,3,0.54,1,0.18,44033
44,34,376,14,3.72,21,5.59,15,3.99,19,5.05,9,2.39,24,6.38,42,11.17,42,11.17,35,9.31,43,11.44,36,9.57,44,11.7,5,1.33,5,1.33,3,0.8,3,0.8,9,2.39,7,1.86,44034
44,35,513,21,4.09,29,5.65,23,4.48,22,4.29,17,3.31,30,5.85,57,11.11,57,11.11,49,9.55,51,9.94,57,11.11,51,9.94,9,1.75,9,1.75,8,1.56,2,0.39,12,2.34,9,1.75,44035
44,36,442,15,3.39,20,4.52,17,3.85,17,3.85,14,3.17,20,4.52,53,11.99,54,12.22,54,12.22,54,12.22,50,11.31,57,12.9,2,0.45,1,0.23,3,0.68,2,0.45,6,1.36,3,0.68,44036
44,37,738,27,3.66,37,5.01,32,4.34,32,4.34,29,3.93,38,5.15,85,11.52,89,12.06,84,11.38,88,11.92,79,10.7,88,11.92,2,0.27,6,0.81,3,0.41,6,0.81,7,0.95,6,0.81,44037
44,41,514,17,3.31,20,3.89,20,3.89,29,5.64,17,3.31,23,4.47,62,12.06,60,11.67,55,10.7,59,11.48,52,10.12,61,11.87,4,0.78,10,1.95,4,0.78,5,0.97,12,2.33,4,0.78,44041
44,42,477,17,3.56,18,3.77,13,2.73,13,2.73,14,2.94,19,3.98,61,12.79,52,10.9,61,12.79,50,10.48,59,12.37,69,14.47,8,1.68,5,1.05,3,0.63,3,0.63,7,1.47,5,1.05,44042
44,44,730,29,3.97,31,4.25,28,3.84,31,4.25,23,3.15,39,5.34,85,11.64,93,12.74,79,10.82,84,11.51,75,10.27,88,12.05,8,1.1,4,0.55,7,0.96,6,0.82,13,1.78,7,0.96,44044
44,45,480,14,2.92,17,3.54,18,3.75,18,3.75,16,3.33,19,3.96,62,12.92,61,12.71,64,13.33,61,12.71,60,12.5,56,11.67,2,0.42,2,0.42,5,1.04,1,0.21,4,0.83,0,0.0,44045
44,46,300,9,3.0,14,4.67,11,3.67,12,4.0,9,3.0,17,5.67,39,13.0,38,12.67,36,12.0,37,12.33,37,12.33,31,10.33,3,1.0,2,0.67,3,1.0,0,0.0,1,0.33,1,0.33,44046
44,48,371,13,3.5,22,5.93,19,5.12,16,4.31,15,4.04,22,5.93,41,11.05,49,13.21,38,10.24,42,11.32,35,9.43,39,10.51,3,0.81,3,0.81,4,1.08,3,0.81,5,1.35,2,0.54,44048
44,49,387,14,3.62,15,3.88,18,4.65,14,3.62,10,2.58,20,5.17,47,12.14,43,11.11,41,10.59,46,11.89,37,9.56,45,11.63,8,2.07,5,1.29,8,2.07,3,0.78,9,2.33,4,1.03,44049
45,1,436,12,2.75,22,5.05,9,2.06,22,5.05,13,2.98,20,4.59,53,12.16,56,12.84,48,11.01,55,12.61,41,9.4,45,10.32,7,1.61,6,1.38,7,1.61,4,0.92,11,2.52,5,1.15,45001
45,2,592,11,1.86,24,4.05,9,1.52,11,1.86,16,2.7,15,2.53,76,12.84,77,13.01,75,12.67,84,14.19,74,12.5,72,12.16,8,1.35,8,1.35,7,1.18,6,1.01,10,1.69,9,1.52,45002
45,3,1349,21,1.56,31,2.3,21,1.56,29,2.15,35,2.59,29,2.15,200,14.83,186,13.79,182,13.49,184,13.64,181,13.42,179,13.27,12,0.89,8,0.59,20,1.48,7,0.52,18,1.33,6,0.44,45003
45,4,661,33,4.99,43,6.51,39,5.9,47,7.11,44,6.66,44,6.66,76,11.5,61,9.23,58,8.77,60,9.08,57,8.62,57,8.62,10,1.51,6,0.91,5,0.76,6,0.91,11,1.66,4,0.61,45004
45,5,397,16,4.03,24,6.05,16,4.03,20,5.04,17,4.28,17,4.28,47,11.84,42,10.58,38,9.57,44,11.08,35,8.82,40,10.08,7,1.76,4,1.01,6,1.51,7,1.76,10,2.52,7,1.76,45005
45,6,660,15,2.27,20,3.03,16,2.42,20,3.03,18,2.73,25,3.79,84,12.73,87,13.18,79,11.97,84,12.73,79,11.97,84,12.73,7,1.06,9,1.36,8,1.21,7,1.06,12,1.82,6,0.91,45006
45,9,770,16,2.08,32,4.16,26,3.38,25,3.25,23,2.99,25,3.25,102,13.25,95,12.34,88,11.43,97,12.6,89,11.56,84,10.91,7,0.91,12,1.56,13,1.69,11,1.43,16,2.08,9,1.17,45009
45,11,609,20,3.28,25,4.11,16,2.63,22,3.61,13,2.13,18,2.96,79,12.97,75,12.32,71,11.66,78,12.81,71,11.66,74,12.15,6,0.99,5,0.82,10,1.64,5,0.82,13,2.13,8,1.31,45011
45,13,1128,26,2.3,28,2.48,24,2.13,35,3.1,28,2.48,34,3.01,146,12.94,148,13.12,129,11.44,151,13.39,138,12.23,134,11.88,18,1.6,17,1.51,22,1.95,9,0.8,23,2.04,18,1.6,45013
45,15,935,20,2.14,35,3.74,28,2.99,28,2.99,23,2.46,29,3.1,119,12.73,125,13.37,114,12.19,125,13.37,113,12.09,111,11.87,7,0.75,13,1.39,12,1.28,8,0.86,15,1.6,10,1.07,45015
45,17,784,33,4.21,38,4.85,30,3.83,35,4.46,27,3.44,42,5.36,78,9.95,88,11.22,80,10.2,97,12.37,81,10.33,88,11.22,13,1.66,12,1.53,11,1.4,7,0.89,14,1.79,10,1.28,45017
45,19,1261,40,3.17,44,3.49,35,2.78,39,3.09,33,2.62,44,3.49,162,12.85,162,12.85,149,11.82,169,13.4,156,12.37,150,11.9,9,0.71,17,1.35,14,1.11,8,0.63,22,1.74,8,0.63,45019
45,21,815,30,3.68,31,3.8,29,3.56,26,3.19,30,3.68,29,3.56,101,12.39,94,11.53,87,10.67,93,11.41,91,11.17,94,11.53,14,1.72,12,1.47,18,2.21,5,0.61,19,2.33,12,1.47,45021
45,22,583,19,3.26,28,4.8,22,3.77,27,4.63,29,4.97,29,4.97,76,13.04,60,10.29,56,9.61,61,10.46,63,10.81,54,9.26,11,1.89,8,1.37,11,1.89,6,1.03,18,3.09,5,0.86,45022
45,23,554,14,2.53,18,3.25,15,2.71,16,2.89,14,2.53,14,2.53,77,13.9,67,12.09,70,12.64,72,13.0,69,12.45,64,11.55,10,1.81,6,1.08,9,1.62,4,0.72,12,2.17,3,0.54,45023
45,27,719,13,1.81,22,3.06,19,2.64,20,2.78,18,2.5,23,3.2,101,14.05,88,12.24,80,11.13,98,13.63,87,12.1,88,12.24,11,1.53,10,1.39,10,1.39,7,0.97,19,2.64,5,0.7,45027
45,30,755,29,3.84,32,4.24,32,4.24,30,3.97,30,3.97,31,4.11,94,12.45,81,10.73,83,10.99,88,11.66,82,10.86,77,10.2,9,1.19,10,1.32,20,2.65,8,1.06,12,1.59,7,0.93,45030
45,32,555,20,3.6,29,5.23,27,4.86,23,4.14,19,3.42,29,5.23,61,10.99,64,11.53,59,10.63,64,11.53,60,10.81,51,9.19,8,1.44,5,0.9,12,2.16,6,1.08,11,1.98,7,1.26,45032
45,33,857,26,3.03,43,5.02,34,3.97,35,4.08,25,2.92,32,3.73,101,11.79,93,10.85,82,9.57,101,11.79,89,10.39,93,10.85,15,1.75,17,1.98,20,2.33,15,1.75,21,2.45,15,1.75,45033
45,34,629,17,2.7,25,3.97,18,2.86,21,3.34,19,3.02,18,2.86,80,12.72,80,12.72,76,12.08,82,13.04,82,13.04,77,12.24,4,0.64,7,1.11,6,0.95,5,0.79,9,1.43,3,0.48,45034
45,36,746,33,4.42,42,5.63,31,4.16,37,4.96,32,4.29,41,5.5,87,11.66,75,10.05,70,9.38,75,10.05,67,8.98,73,9.79,12,1.61,17,2.28,14,1.88,12,1.61,17,2.28,11,1.47,45036
45,44,735,16,2.18,29,3.95,18,2.45,29,3.95,18,2.45,32,4.35,85,11.56,89,12.11,93,12.65,81,11.02,73,9.93,82,11.16,15,2.04,20,2.72,14,1.9,8,1.09,19,2.59,14,1.9,45044
45,49,636,26,4.09,34,5.35,30,4.72,39,6.13,31,4.87,37,5.82,64,10.06,62,9.75,57,8.96,65,10.22,59,9.28,59,9.28,13,2.04,11,1.73,14,2.2,7,1.1,17,2.67,11,1.73,45049
45,51,803,28,3.49,32,3.99,22,2.74,27,3.36,25,3.11,29,3.61,101,12.58,99,12.33,96,11.96,101,12.58,93,11.58,95,11.83,11,1.37,8,1.0,9,1.12,6,0.75,16,1.99,5,0.62,45051
45,52,618,16,2.59,27,4.37,23,3.72,23,3.72,23,3.72,26,4.21,71,11.49,70,11.33,67,10.84,73,11.81,72,11.65,63,10.19,11,1.78,11,1.78,16,2.59,8,1.29,12,1.94,6,0.97,45052
45,54,749,25,3.34,42,5.61,32,4.27,34,4.54,36,4.81,39,5.21,86,11.48,76,10.15,65,8.68,88,11.75,69,9.21,71,9.48,18,2.4,11,1.47,18,2.4,11,1.47,20,2.67,8,1.07,45054
45,57,836,29,3.47,36,4.31,22,2.63,32,3.83,25,2.99,33,3.95,102,12.2,95,11.36,90,10.77,104,12.44,95,11.36,86,10.29,16,1.91,11,1.32,19,2.27,13,1.56,15,1.79,13,1.56,45057
45,58,404,22,5.45,31,7.67,22,5.45,22,5.45,24,5.94,26,6.44,48,11.88,40,9.9,38,9.41,39,9.65,35,8.66,39,9.65,5,1.24,3,0.74,4,0.99,1,0.25,3,0.74,2,0.5,45058
46,1,1150,32,2.78,49,4.26,58,5.04,46,4.0,28,2.43,94,8.17,145,12.61,124,10.78,124,10.78,122,10.61,106,9.22,109,9.48,20,1.74,16,1.39,24,2.09,12,1.04,24,2.09,17,1.48,46001
46,2,495,28,5.66,32,6.46,25,5.05,24,4.85,26,5.25,51,10.3,48,9.7,45,9.09,46,9.29,44,8.89,40,8.08,48,9.7,6,1.21,4,0.81,7,1.41,7,1.41,5,1.01,9,1.82,46002
46,3,576,24,4.17,28,4.86,24,4.17,27,4.69,23,3.99,54,9.38,59,10.24,62,10.76,60,10.42,62,10.76,53,9.2,67,11.63,7,1.22,4,0.69,6,1.04,3,0.52,7,1.22,6,1.04,46003
46,4,452,20,4.42,31,6.86,14,3.1,20,4.42,13,2.88,55,12.17,44,9.73,44,9.73,34,7.52,43,9.51,38,8.41,46,10.18,6,1.33,8,1.77,7,1.55,6,1.33,15,3.32,8,1.77,46004
46,5,334,17,5.09,17,5.09,14,4.19,18,5.39,14,4.19,29,8.68,32,9.58,38,11.38,34,10.18,36,10.78,32,9.58,35,10.48,4,1.2,3,0.9,1,0.3,1,0.3,6,1.8,3,0.9,46005
46,6,345,13,3.77,10,2.9,10,2.9,16,4.64,13,3.77,43,12.46,35,10.14,32,9.28,36,10.43,32,9.28,34,9.86,33,9.57,6,1.74,4,1.16,8,2.32,4,1.16,12,3.48,4,1.16,46006
46,7,777,33,4.25,46,5.92,35,4.5,34,4.38,24,3.09,62,7.98,89,11.45,88,11.33,85,10.94,82,10.55,78,10.04,87,11.2,3,0.39,3,0.39,7,0.9,3,0.39,11,1.42,7,0.9,46007
46,8,428,17,3.97,22,5.14,14,3.27,18,4.21,11,2.57,58,13.55,47,10.98,41,9.58,37,8.64,45,10.51,34,7.94,42,9.81,7,1.64,8,1.87,6,1.4,3,0.7,12,2.8,6,1.4,46008
46,9,531,20,3.77,26,4.9,24,4.52,19,3.58,20,3.77,46,8.66,55,10.36,54,10.17,50,9.42,57,10.73,48,9.04,52,9.79,9,1.69,8,1.51,11,2.07,7,1.32,14,2.64,11,2.07,46009
46,10,501,26,5.19,34,6.79,24,4.79,28,5.59,24,4.79,38,7.58,54,10.78,57,11.38,51,10.18,51,10.18,48,9.58,54,10.78,2,0.4,3,0.6,1,0.2,1,0.2,5,1.0,0,0.0,46010
46,11,651,23,3.53,29,4.45,31,4.76,30,4.61,24,3.69,47,7.22,71,10.91,79,12.14,68,10.45,69,10.6,69,10.6,73,11.21,8,1.23,4,0.61,5,0.77,5,0.77,11,1.69,5,0.77,46011
46,12,630,24,3.81,28,4.44,30,4.76,26,4.13,25,3.97,66,10.48,61,9.68,68,10.79,62,9.84,61,9.68,60,9.52,63,10.0,13,2.06,6,0.95,11,1.75,11,1.75,9,1.43,6,0.95,46012
46,13,626,37,5.91,37,5.91,35,5.59,35,5.59,31,4.95,47,7.51,70,11.18,60,9.58,55,8.79,66,10.54,54,8.63,63,10.06,7,1.12,4,0.64,6,0.96,4,0.64,6,0.96,9,1.44,46013
46,14,415,29,6.99,25,6.02,20,4.82,23,5.54,17,4.1,46,11.08,38,9.16,43,10.36,39,9.4,40,9.64,37,8.92,42,10.12,4,0.96,2,0.48,2,0.48,2,0.48,5,1.2,1,0.24,46014
46,15,722,29,4.02,36,4.99,36,4.99,30,4.16,26,3.6,48,6.65,83,11.5,75,10.39,72,9.97,77,10.66,71,9.83,76,10.53,10,1.39,9,1.25,8,1.11,10,1.39,18,2.49,8,1.11,46015
46,16,847,43,5.08,60,7.08,38,4.49,42,4.96,41,4.84,93,10.98,70,8.26,87,10.27,79,9.33,70,8.26,72,8.5,79,9.33,12,1.42,12,1.42,11,1.3,10,1.18,15,1.77,13,1.53,46016
46,17,779,26,3.34,44,5.65,36,4.62,39,5.01,29,3.72,73,9.37,84,10.78,92,11.81,76,9.76,75,9.63,72,9.24,83,10.65,6,0.77,7,0.9,8,1.03,4,0.51,18,2.31,7,0.9,46017
46,18,619,25,4.04,44,7.11,38,6.14,34,5.49,25,4.04,66,10.66,60,9.69,59,9.53,52,8.4,52,8.4,47,7.59,54,8.72,14,2.26,5,0.81,12,1.94,10,1.62,15,2.42,7,1.13,46018
46,19,733,36,4.91,48,6.55,37,5.05,41,5.59,28,3.82,70,9.55,75,10.23,78,10.64,64,8.73,68,9.28,62,8.46,72,9.82,12,1.64,10,1.36,8,1.09,6,0.82,11,1.5,7,0.95,46019
46,20,459,12,2.61,14,3.05,13,2.83,12,2.61,15,3.27,49,10.68,47,10.24,53,11.55,55,11.98,54,11.76,51,11.11,54,11.76,4,0.87,3,0.65,3,0.65,2,0.44,9,1.96,9,1.96,46020
46,21,140,4,2.86,8,5.71,6,4.29,11,7.86,5,3.57,12,8.57,10,7.14,14,10.0,12,8.57,14,10.0,9,6.43,15,10.71,4,2.86,2,1.43,4,2.86,3,2.14,4,2.86,3,2.14,46021
46,22,439,27,6.15,31,7.06,29,6.61,29,6.61,28,6.38,72,16.4,28,6.38,34,7.74,30,6.83,31,7.06,27,6.15,29,6.61,9,2.05,6,1.37,7,1.59,4,0.91,9,2.05,9,2.05,46022
46,23,433,9,2.08,11,2.54,5,1.15,11,2.54,11,2.54,48,11.09,54,12.47,53,12.24,51,11.78,51,11.78,48,11.09,46,10.62,9,2.08,6,1.39,3,0.69,0,0.0,13,3.0,4,0.92,46023
46,24,509,26,5.11,35,6.88,30,5.89,29,5.7,24,4.72,41,8.06,51,10.02,54,10.61,50,9.82,55,10.81,49,9.63,51,10.02,0,0.0,2,0.39,4,0.79,1,0.2,6,1.18,1,0.2,46024
46,25,484,19,3.93,19,3.93,20,4.13,17,3.51,21,4.34,59,12.19,52,10.74,49,10.12,48,9.92,44,9.09,45,9.3,49,10.12,6,1.24,5,1.03,9,1.86,5,1.03,11,2.27,6,1.24,46025
46,26,616,32,5.19,32,5.19,26,4.22,33,5.36,30,4.87,77,12.5,57,9.25,54,8.77,53,8.6,55,8.93,54,8.77,60,9.74,8,1.3,9,1.46,9,1.46,8,1.3,9,1.46,10,1.62,46026
46,27,687,21,3.06,34,4.95,30,4.37,32,4.66,28,4.08,52,7.57,73,10.63,73,10.63,70,10.19,70,10.19,70,10.19,80,11.64,6,0.87,7,1.02,6,0.87,10,1.46,18,2.62,7,1.02,46027
46,28,722,28,3.88,38,5.26,32,4.43,36,4.99,24,3.32,52,7.2,82,11.36,79,10.94,76,10.53,78,10.8,77,10.66,74,10.25,9,1.25,6,0.83,5,0.69,7,0.97,12,1.66,7,0.97,46028
46,29,711,22,3.09,35,4.92,35,4.92,39,5.49,24,3.38,60,8.44,82,11.53,72,10.13,67,9.42,68,9.56,68,9.56,69,9.7,12,1.69,8,1.13,12,1.69,12,1.69,17,2.39,9,1.27,46029
46,30,726,18,2.48,33,4.55,17,2.34,25,3.44,17,2.34,61,8.4,79,10.88,89,12.26,83,11.43,86,11.85,74,10.19,87,11.98,10,1.38,10,1.38,7,0.96,5,0.69,15,2.07,10,1.38,46030
46,31,696,30,4.31,36,5.17,40,5.75,36,5.17,28,4.02,51,7.33,71,10.2,77,11.06,72,10.34,75,10.78,69,9.91,77,11.06,4,0.57,4,0.57,4,0.57,4,0.57,13,1.87,5,0.72,46031
46,32,721,30,4.16,30,4.16,20,2.77,27,3.74,25,3.47,106,14.7,79,10.96,77,10.68,81,11.23,72,9.99,71,9.85,74,10.26,5,0.69,5,0.69,1,0.14,2,0.28,8,1.11,8,1.11,46032
46,33,518,18,3.47,30,5.79,23,4.44,24,4.63,24,4.63,39,7.53,53,10.23,57,11.0,54,10.42,58,11.2,50,9.65,57,11.0,6,1.16,4,0.77,3,0.58,7,1.35,8,1.54,3,0.58,46033
46,34,545,22,4.04,24,4.4,14,2.57,21,3.85,17,3.12,55,10.09,57,10.46,57,10.46,53,9.72,60,11.01,56,10.28,59,10.83,10,1.83,5,0.92,5,0.92,4,0.73,16,2.94,10,1.83,46034
46,35,627,22,3.51,31,4.94,28,4.47,24,3.83,27,4.31,56,8.93,62,9.89,69,11.0,61,9.73,66,10.53,58,9.25,63,10.05,10,1.59,11,1.75,9,1.44,7,1.12,12,1.91,11,1.75,46035
46,36,747,37,4.95,48,6.43,48,6.43,35,4.69,34,4.55,71,9.5,73,9.77,69,9.24,68,9.1,68,9.1,70,9.37,67,8.97,10,1.34,7,0.94,13,1.74,6,0.8,16,2.14,7,0.94,46036
46,37,580,19,3.28,31,5.34,22,3.79,24,4.14,20,3.45,73,12.59,59,10.17,63,10.86,60,10.34,52,8.97,49,8.45,57,9.83,13,2.24,5,0.86,6,1.03,6,1.03,14,2.41,7,1.21,46037
46,38,440,19,4.32,27,6.14,16,3.64,17,3.86,21,4.77,62,14.09,43,9.77,39,8.86,36,8.18,40,9.09,40,9.09,38,8.64,10,2.27,6,1.36,8,1.82,4,0.91,10,2.27,4,0.91,46038
46,39,487,14,2.87,23,4.72,16,3.29,18,3.7,18,3.7,29,5.95,61,12.53,57,11.7,60,12.32,62,12.73,54,11.09,54,11.09,5,1.03,3,0.62,1,0.21,2,0.41,5,1.03,5,1.03,46039
47,21,609,23,3.78,31,5.09,26,4.27,27,4.43,20,3.28,47,7.72,61,10.02,67,11.0,64,10.51,70,11.49,65,10.67,67,11.0,7,1.15,3,0.49,8,1.31,7,1.15,10,1.64,6,0.99,47021
47,30,480,20,4.17,35,7.29,21,4.38,23,4.79,16,3.33,29,6.04,49,10.21,50,10.42,47,9.79,51,10.63,47,9.79,55,11.46,4,0.83,6,1.25,5,1.04,4,0.83,13,2.71,5,1.04,47030
47,31,763,36,4.72,51,6.68,38,4.98,49,6.42,37,4.85,64,8.39,76,9.96,82,10.75,64,8.39,67,8.78,60,7.86,77,10.09,9,1.18,16,2.1,10,1.31,6,0.79,13,1.7,8,1.05,47031
47,32,1177,72,6.12,87,7.39,70,5.95,73,6.2,69,5.86,95,8.07,103,8.75,116,9.86,96,8.16,114,9.69,93,7.9,128,10.88,12,1.02,8,0.68,5,0.42,9,0.76,17,1.44,10,0.85,47032
47,34,834,34,4.08,43,5.16,36,4.32,36,4.32,33,3.96,58,6.95,89,10.67,90,10.79,81,9.71,93,11.15,82,9.83,98,11.75,10,1.2,7,0.84,11,1.32,11,1.32,15,1.8,7,0.84,47034
47,41,497,16,3.22,27,5.43,18,3.62,26,5.23,16,3.22,26,5.23,50,10.06,58,11.67,51,10.26,59,11.87,48,9.66,59,11.87,7,1.41,7,1.41,6,1.21,6,1.21,12,2.41,5,1.01,47041
48,1,727,34,4.68,91,12.52,40,5.5,36,4.95,31,4.26,66,9.08,66,9.08,69,9.49,60,8.25,61,8.39,52,7.15,58,7.98,11,1.51,7,0.96,10,1.38,7,0.96,19,2.61,9,1.24,48001
48,2,688,22,3.2,75,10.9,27,3.92,28,4.07,20,2.91,45,6.54,74,10.76,78,11.34,59,8.58,80,11.63,62,9.01,68,9.88,10,1.45,2,0.29,6,0.87,9,1.31,13,1.89,10,1.45,48002
48,3,532,23,4.32,67,12.59,21,3.95,25,4.7,21,3.95,34,6.39,47,8.83,59,11.09,45,8.46,44,8.27,46,8.65,45,8.46,10,1.88,8,1.5,8,1.5,7,1.32,14,2.63,8,1.5,48003
48,4,612,27,4.41,57,9.31,29,4.74,24,3.92,24,3.92,36,5.88,67,10.95,58,9.48,59,9.64,62,10.13,66,10.78,67,10.95,2,0.33,8,1.31,5,0.82,5,0.82,12,1.96,4,0.65,48004
48,5,719,25,3.48,82,11.4,27,3.76,38,5.29,28,3.89,45,6.26,72,10.01,68,9.46,66,9.18,69,9.6,69,9.6,63,8.76,9,1.25,18,2.5,12,1.67,6,0.83,15,2.09,7,0.97,48005
48,6,616,15,2.44,78,12.66,21,3.41,31,5.03,16,2.6,40,6.49,67,10.88,63,10.23,59,9.58,66,10.71,54,8.77,60,9.74,10,1.62,5,0.81,3,0.49,4,0.65,16,2.6,8,1.3,48006
48,7,661,30,4.54,82,12.41,34,5.14,33,4.99,28,4.24,47,7.11,70,10.59,68,10.29,59,8.93,67,10.14,53,8.02,61,9.23,3,0.45,3,0.45,3,0.45,1,0.15,11,1.66,8,1.21,48007
48,8,516,20,3.88,70,13.57,29,5.62,27,5.23,15,2.91,36,6.98,55,10.66,48,9.3,45,8.72,46,8.91,39,7.56,46,8.91,5,0.97,7,1.36,1,0.19,0,0.0,20,3.88,7,1.36,48008
48,9,571,18,3.15,60,10.51,24,4.2,24,4.2,12,2.1,45,7.88,59,10.33,63,11.03,59,10.33,57,9.98,49,8.58,53,9.28,8,1.4,7,1.23,8,1.4,3,0.53,19,3.33,3,0.53,48009
48,10,402,20,4.98,44,10.95,18,4.48,22,5.47,13,3.23,29,7.21,38,9.45,49,12.19,41,10.2,36,8.96,31,7.71,37,9.2,3,0.75,5,1.24,2,0.5,2,0.5,10,2.49,2,0.5,48010
48,11,875,41,4.69,124,14.17,50,5.71,49,5.6,42,4.8,63,7.2,83,9.49,92,10.51,70,8.0,77,8.8,63,7.2,79,9.03,6,0.69,10,1.14,6,0.69,1,0.11,13,1.49,6,0.69,48011
48,12,372,10,2.69,49,13.17,12,3.23,18,4.84,12,3.23,36,9.68,36,9.68,40,10.75,31,8.33,36,9.68,33,8.87,34,9.14,4,1.08,3,0.81,4,1.08,3,0.81,9,2.42,2,0.54,48012
48,13,520,20,3.85,69,13.27,31,5.96,27,5.19,21,4.04,35,6.73,63,12.12,45,8.65,43,8.27,47,9.04,42,8.08,43,8.27,6,1.15,2,0.38,6,1.15,1,0.19,14,2.69,5,0.96,48013
48,14,614,19,3.09,66,10.75,23,3.75,26,4.23,22,3.58,40,6.51,64,10.42,62,10.1,54,8.79,55,8.96,60,9.77,55,8.96,17,2.77,9,1.47,10,1.63,9,1.47,16,2.61,7,1.14,48014
48,15,431,19,4.41,50,11.6,20,4.64,23,5.34,19,4.41,36,8.35,41,9.51,47,10.9,33,7.66,47,10.9,33,7.66,40,9.28,5,1.16,3,0.7,3,0.7,4,0.93,6,1.39,2,0.46,48015
48,16,332,13,3.92,43,12.95,14,4.22,12,3.61,11,3.31,25,7.53,38,11.45,28,8.43,25,7.53,29,8.73,28,8.43,31,9.34,6,1.81,3,0.9,6,1.81,5,1.51,10,3.01,5,1.51,48016
