ward,precinct,total,MIGUEL DEL VALLE (BRADLEY),MIGUEL DEL VALLE (BRADLEY) Percent,SALVADOR C. CERNA (BRADLEY),SALVADOR C. CERNA (BRADLEY) Percent,EMMA LOZANO (BRADLEY),EMMA LOZANO (BRADLEY) Percent,VILMA COLOM (GORE),VILMA COLOM (GORE) Percent,JOSEPH MARIO MORENO (GORE),JOSEPH MARIO MORENO (GORE) Percent,ROSALVA MARTINEZ (GORE),ROSALVA MARTINEZ (GORE) Percent,PATRICK D. THOMPSON (GORE),PATRICK D. THOMPSON (GORE) Percent,precinct_id
31,45,209,58,27.75,7,3.35,8,3.83,46,22.01,23,11.0,26,12.44,19,9.09,31045
32,2,284,49,17.25,22,7.75,27,9.51,45,15.85,35,12.32,41,14.44,42,14.79,32002
32,3,295,51,17.29,15,5.08,24,8.14,52,17.63,41,13.9,43,14.58,52,17.63,32003
32,4,456,75,16.45,26,5.7,42,9.21,83,18.2,59,12.94,64,14.04,67,14.69,32004
32,5,234,43,18.38,12,5.13,16,6.84,40,17.09,36,15.38,34,14.53,34,14.53,32005
32,11,434,84,19.35,28,6.45,34,7.83,68,15.67,59,13.59,52,11.98,65,14.98,32011
32,12,207,36,17.39,11,5.31,19,9.18,29,14.01,33,15.94,24,11.59,33,15.94,32012
32,14,189,40,21.16,12,6.35,20,10.58,33,17.46,19,10.05,22,11.64,24,12.7,32014
32,16,308,40,12.99,17,5.52,23,7.47,53,17.21,46,14.94,46,14.94,60,19.48,32016
32,17,235,39,16.6,17,7.23,25,10.64,33,14.04,30,12.77,30,12.77,38,16.17,32017
32,20,178,22,12.36,12,6.74,21,11.8,25,14.04,20,11.24,27,15.17,29,16.29,32020
32,24,239,19,7.95,8,3.35,17,7.11,48,20.08,39,16.32,44,18.41,46,19.25,32024
32,25,51,5,9.8,3,5.88,5,9.8,10,19.61,8,15.69,8,15.69,8,15.69,32025
32,28,168,17,10.12,11,6.55,18,10.71,25,14.88,25,14.88,22,13.1,31,18.45,32028
32,29,307,35,11.4,10,3.26,20,6.51,56,18.24,52,16.94,50,16.29,66,21.5,32029
32,30,288,47,16.32,13,4.51,29,10.07,46,15.97,41,14.24,39,13.54,52,18.06,32030
32,31,264,35,13.26,22,8.33,21,7.95,43,16.29,41,15.53,35,13.26,48,18.18,32031
32,33,265,36,13.58,11,4.15,17,6.42,44,16.6,44,16.6,41,15.47,52,19.62,32033
32,34,323,42,13.0,22,6.81,37,11.46,52,16.1,44,13.62,48,14.86,45,13.93,32034
32,35,443,42,9.48,32,7.22,44,9.93,77,17.38,60,13.54,66,14.9,82,18.51,32035
32,36,434,50,11.52,27,6.22,34,7.83,78,17.97,60,13.82,76,17.51,73,16.82,32036
32,45,351,49,13.96,28,7.98,38,10.83,45,12.82,51,14.53,48,13.68,56,15.95,32045
32,47,138,24,17.39,10,7.25,18,13.04,16,11.59,18,13.04,19,13.77,19,13.77,32047
33,1,34,3,8.82,3,8.82,1,2.94,7,20.59,4,11.76,5,14.71,6,17.65,33001
33,2,570,59,10.35,20,3.51,36,6.32,119,20.88,96,16.84,100,17.54,101,17.72,33002
33,3,306,32,10.46,16,5.23,20,6.54,58,18.95,49,16.01,52,16.99,56,18.3,33003
33,4,497,66,13.28,20,4.02,26,5.23,115,23.14,76,15.29,77,15.49,79,15.9,33004
33,5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,33005
33,6,381,46,12.07,17,4.46,21,5.51,72,18.9,65,17.06,63,16.54,71,18.64,33006
33,13,472,62,13.14,16,3.39,34,7.2,98,20.76,76,16.1,71,15.04,87,18.43,33013
33,14,45,6,13.33,3,6.67,5,11.11,9,20.0,5,11.11,6,13.33,7,15.56,33014
33,15,67,8,11.94,6,8.96,8,11.94,9,13.43,9,13.43,8,11.94,11,16.42,33015
33,19,224,33,14.73,17,7.59,15,6.7,39,17.41,33,14.73,30,13.39,38,16.96,33019
33,20,364,46,12.64,21,5.77,24,6.59,68,18.68,56,15.38,58,15.93,66,18.13,33020
33,21,338,54,15.98,18,5.33,24,7.1,59,17.46,39,11.54,44,13.02,58,17.16,33021
33,22,221,27,12.22,11,4.98,16,7.24,39,17.65,35,15.84,36,16.29,38,17.19,33022
33,26,290,41,14.14,15,5.17,24,8.28,52,17.93,36,12.41,49,16.9,46,15.86,33026
33,31,315,49,15.56,23,7.3,29,9.21,54,17.14,41,13.02,47,14.92,42,13.33,33031
33,33,332,51,15.36,21,6.33,27,8.13,59,17.77,49,14.76,45,13.55,51,15.36,33033
33,34,346,56,16.18,19,5.49,28,8.09,56,16.18,48,13.87,49,14.16,53,15.32,33034
33,35,482,54,11.2,34,7.05,34,7.05,88,18.26,76,15.77,76,15.77,81,16.8,33035
33,36,275,29,10.55,16,5.82,19,6.91,53,19.27,44,16.0,45,16.36,44,16.0,33036
35,1,301,43,14.29,13,4.32,17,5.65,105,34.88,31,10.3,35,11.63,33,10.96,35001
35,2,322,59,18.32,11,3.42,20,6.21,88,27.33,45,13.98,36,11.18,40,12.42,35002
35,3,256,53,20.7,9,3.52,17,6.64,67,26.17,29,11.33,32,12.5,31,12.11,35003
35,4,204,23,11.27,10,4.9,14,6.86,46,22.55,30,14.71,27,13.24,37,18.14,35004
35,5,343,59,17.2,14,4.08,19,5.54,115,33.53,39,11.37,36,10.5,36,10.5,35005
35,7,456,83,18.2,21,4.61,36,7.89,109,23.9,57,12.5,57,12.5,48,10.53,35007
35,8,163,14,8.59,2,1.23,8,4.91,47,28.83,27,16.56,30,18.4,27,16.56,35008
35,9,431,76,17.63,19,4.41,33,7.66,120,27.84,49,11.37,48,11.14,54,12.53,35009
35,10,389,95,24.42,16,4.11,25,6.43,105,26.99,33,8.48,41,10.54,42,10.8,35010
35,12,307,66,21.5,12,3.91,23,7.49,103,33.55,22,7.17,26,8.47,28,9.12,35012
35,13,500,102,20.4,46,9.2,56,11.2,91,18.2,48,9.6,48,9.6,59,11.8,35013
35,14,365,68,18.63,8,2.19,23,6.3,130,35.62,35,9.59,37,10.14,39,10.68,35014
35,15,412,74,17.96,27,6.55,28,6.8,100,24.27,44,10.68,50,12.14,51,12.38,35015
35,16,409,84,20.54,18,4.4,18,4.4,135,33.01,45,11.0,44,10.76,39,9.54,35016
35,17,385,94,24.42,17,4.42,19,4.94,135,35.06,32,8.31,34,8.83,28,7.27,35017
35,18,356,47,13.2,13,3.65,23,6.46,107,30.06,44,12.36,46,12.92,53,14.89,35018
35,19,447,97,21.7,25,5.59,32,7.16,114,25.5,49,10.96,50,11.19,41,9.17,35019
35,20,183,51,27.87,8,4.37,14,7.65,46,25.14,20,10.93,11,6.01,10,5.46,35020
35,21,361,64,17.73,19,5.26,21,5.82,101,27.98,37,10.25,43,11.91,52,14.4,35021
35,22,219,40,18.26,1,0.46,10,4.57,88,40.18,25,11.42,24,10.96,17,7.76,35022
35,23,299,55,18.39,13,4.35,20,6.69,88,29.43,33,11.04,32,10.7,31,10.37,35023
35,24,342,58,16.96,8,2.34,8,2.34,130,38.01,43,12.57,38,11.11,37,10.82,35024
35,25,286,43,15.03,23,8.04,23,8.04,61,21.33,39,13.64,40,13.99,38,13.29,35025
35,26,270,55,20.37,4,1.48,14,5.19,95,35.19,26,9.63,34,12.59,21,7.78,35026
35,27,635,111,17.48,39,6.14,46,7.24,157,24.72,70,11.02,75,11.81,81,12.76,35027
35,28,275,49,17.82,15,5.45,18,6.55,73,26.55,24,8.73,39,14.18,33,12.0,35028
35,29,416,81,19.47,28,6.73,32,7.69,121,29.09,41,9.86,34,8.17,50,12.02,35029
35,30,691,127,18.38,57,8.25,62,8.97,136,19.68,71,10.27,86,12.45,79,11.43,35030
35,31,489,97,19.84,17,3.48,32,6.54,146,29.86,52,10.63,60,12.27,44,9.0,35031
35,32,215,45,20.93,10,4.65,14,6.51,59,27.44,25,11.63,27,12.56,21,9.77,35032
35,33,200,40,20.0,7,3.5,8,4.0,74,37.0,20,10.0,21,10.5,17,8.5,35033
35,34,362,65,17.96,16,4.42,29,8.01,96,26.52,38,10.5,46,12.71,41,11.33,35034
35,35,232,36,15.52,10,4.31,15,6.47,63,27.16,26,11.21,27,11.64,35,15.09,35035
36,4,105,13,12.38,5,4.76,5,4.76,21,20.0,16,15.24,16,15.24,17,16.19,36004
36,23,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,36023
36,45,264,19,7.2,15,5.68,17,6.44,43,16.29,50,18.94,43,16.29,61,23.11,36045
37,2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37002
37,10,8,0,0.0,0,0.0,0,0.0,2,25.0,2,25.0,2,25.0,2,25.0,37010
37,11,76,11,14.47,1,1.32,2,2.63,15,19.74,11,14.47,12,15.79,16,21.05,37011
37,35,33,3,9.09,2,6.06,1,3.03,5,15.15,5,15.15,5,15.15,6,18.18,37035
37,42,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37042
39,25,71,12,16.9,3,4.23,8,11.27,14,19.72,11,15.49,8,11.27,9,12.68,39025
39,27,171,24,14.04,12,7.02,16,9.36,28,16.37,23,13.45,25,14.62,25,14.62,39027
39,29,152,22,14.47,9,5.92,8,5.26,27,17.76,24,15.79,27,17.76,26,17.11,39029
