ward,precinct,total,"WILLIAM COUSINS, JR.","WILLIAM COUSINS, JR. Percent",THOMAS R. FITZGERALD,THOMAS R. FITZGERALD Percent,MORTON ZWICK,MORTON ZWICK Percent,CHRISTINE PATRICIA CURRAN,CHRISTINE PATRICIA CURRAN Percent,precinct_id
8,50,214,188,87.85,18,8.41,2,0.93,6,2.8,08050
8,51,210,186,88.57,19,9.05,2,0.95,3,1.43,08051
8,52,221,182,82.35,30,13.57,1,0.45,8,3.62,08052
8,53,241,201,83.4,27,11.2,5,2.07,8,3.32,08053
8,54,225,183,81.33,28,12.44,5,2.22,9,4.0,08054
8,55,173,122,70.52,33,19.08,2,1.16,16,9.25,08055
8,56,145,106,73.1,22,15.17,2,1.38,15,10.34,08056
8,57,218,185,84.86,27,12.39,1,0.46,5,2.29,08057
8,58,216,165,76.39,35,16.2,2,0.93,14,6.48,08058
8,59,173,127,73.41,37,21.39,5,2.89,4,2.31,08059
8,60,239,191,79.92,34,14.23,4,1.67,10,4.18,08060
8,61,166,146,87.95,12,7.23,4,2.41,4,2.41,08061
8,62,277,245,88.45,24,8.66,5,1.81,3,1.08,08062
8,63,242,206,85.12,23,9.5,3,1.24,10,4.13,08063
8,64,100,58,58.0,33,33.0,3,3.0,6,6.0,08064
8,65,190,164,86.32,19,10.0,2,1.05,5,2.63,08065
8,66,272,209,76.84,49,18.01,2,0.74,12,4.41,08066
9,1,239,201,84.1,18,7.53,11,4.6,9,3.77,09001
9,2,223,176,78.92,31,13.9,2,0.9,14,6.28,09002
9,3,93,59,63.44,24,25.81,3,3.23,7,7.53,09003
9,4,236,193,81.78,20,8.47,10,4.24,13,5.51,09004
9,5,188,144,76.6,24,12.77,8,4.26,12,6.38,09005
9,6,177,146,82.49,17,9.6,5,2.82,9,5.08,09006
9,7,179,131,73.18,24,13.41,8,4.47,16,8.94,09007
9,8,186,155,83.33,14,7.53,6,3.23,11,5.91,09008
9,9,222,186,83.78,24,10.81,5,2.25,7,3.15,09009
9,10,185,146,78.92,22,11.89,4,2.16,13,7.03,09010
9,11,103,61,59.22,26,25.24,5,4.85,11,10.68,09011
9,12,182,145,79.67,19,10.44,9,4.95,9,4.95,09012
9,13,270,240,88.89,10,3.7,10,3.7,10,3.7,09013
9,14,312,271,86.86,22,7.05,8,2.56,11,3.53,09014
9,15,73,46,63.01,9,12.33,6,8.22,12,16.44,09015
9,16,180,142,78.89,20,11.11,9,5.0,9,5.0,09016
9,17,176,132,75.0,21,11.93,11,6.25,12,6.82,09017
9,18,144,109,75.69,16,11.11,8,5.56,11,7.64,09018
9,19,201,163,81.09,24,11.94,4,1.99,10,4.98,09019
9,20,221,183,82.81,20,9.05,5,2.26,13,5.88,09020
9,21,148,124,83.78,14,9.46,2,1.35,8,5.41,09021
9,22,236,208,88.14,12,5.08,4,1.69,12,5.08,09022
9,23,134,98,73.13,22,16.42,5,3.73,9,6.72,09023
9,24,68,45,66.18,14,20.59,5,7.35,4,5.88,09024
9,25,91,61,67.03,19,20.88,3,3.3,8,8.79,09025
9,26,120,92,76.67,10,8.33,10,8.33,8,6.67,09026
9,27,140,107,76.43,18,12.86,5,3.57,10,7.14,09027
9,28,115,61,53.04,38,33.04,3,2.61,13,11.3,09028
9,29,153,117,76.47,17,11.11,5,3.27,14,9.15,09029
9,30,196,160,81.63,20,10.2,5,2.55,11,5.61,09030
9,31,107,79,73.83,13,12.15,5,4.67,10,9.35,09031
9,32,202,174,86.14,17,8.42,5,2.48,6,2.97,09032
9,33,141,116,82.27,16,11.35,4,2.84,5,3.55,09033
9,34,134,97,72.39,22,16.42,6,4.48,9,6.72,09034
9,35,219,180,82.19,19,8.68,2,0.91,18,8.22,09035
9,36,82,58,70.73,14,17.07,0,0.0,10,12.2,09036
9,37,198,58,29.29,83,41.92,23,11.62,34,17.17,09037
9,38,162,129,79.63,17,10.49,6,3.7,10,6.17,09038
9,39,161,128,79.5,17,10.56,6,3.73,10,6.21,09039
9,40,229,207,90.39,9,3.93,3,1.31,10,4.37,09040
9,41,226,177,78.32,24,10.62,8,3.54,17,7.52,09041
9,42,122,79,64.75,25,20.49,8,6.56,10,8.2,09042
9,43,101,83,82.18,13,12.87,1,0.99,4,3.96,09043
9,44,163,133,81.6,17,10.43,4,2.45,9,5.52,09044
9,45,211,177,83.89,19,9.0,3,1.42,12,5.69,09045
9,46,166,140,84.34,17,10.24,1,0.6,8,4.82,09046
9,47,111,85,76.58,15,13.51,1,0.9,10,9.01,09047
9,48,221,195,88.24,14,6.33,4,1.81,8,3.62,09048
9,49,87,67,77.01,10,11.49,5,5.75,5,5.75,09049
9,50,225,189,84.0,13,5.78,11,4.89,12,5.33,09050
9,51,139,122,87.77,7,5.04,3,2.16,7,5.04,09051
9,52,210,183,87.14,15,7.14,6,2.86,6,2.86,09052
10,1,102,46,45.1,38,37.25,7,6.86,11,10.78,10001
10,2,108,12,11.11,53,49.07,16,14.81,27,25.0,10002
10,3,188,8,4.26,128,68.09,33,17.55,19,10.11,10003
10,4,168,47,27.98,65,38.69,19,11.31,37,22.02,10004
10,5,136,16,11.76,77,56.62,17,12.5,26,19.12,10005
10,6,193,139,72.02,35,18.13,7,3.63,12,6.22,10006
10,7,51,20,39.22,21,41.18,4,7.84,6,11.76,10007
10,8,170,20,11.76,95,55.88,26,15.29,29,17.06,10008
10,9,158,15,9.49,98,62.03,19,12.03,26,16.46,10009
10,10,147,115,78.23,19,12.93,5,3.4,8,5.44,10010
10,11,161,18,11.18,89,55.28,13,8.07,41,25.47,10011
10,12,153,16,10.46,85,55.56,16,10.46,36,23.53,10012
10,13,194,28,14.43,107,55.15,16,8.25,43,22.16,10013
10,14,35,14,40.0,14,40.0,2,5.71,5,14.29,10014
10,15,80,7,8.75,49,61.25,13,16.25,11,13.75,10015
10,16,167,7,4.19,110,65.87,24,14.37,26,15.57,10016
10,17,140,13,9.29,89,63.57,20,14.29,18,12.86,10017
10,18,122,36,29.51,50,40.98,9,7.38,27,22.13,10018
10,19,228,21,9.21,139,60.96,21,9.21,47,20.61,10019
10,20,300,37,12.33,166,55.33,39,13.0,58,19.33,10020
10,21,116,6,5.17,58,50.0,25,21.55,27,23.28,10021
10,22,44,8,18.18,25,56.82,2,4.55,9,20.45,10022
10,23,168,27,16.07,77,45.83,14,8.33,50,29.76,10023
10,24,162,16,9.88,93,57.41,28,17.28,25,15.43,10024
10,25,177,65,36.72,59,33.33,13,7.34,40,22.6,10025
10,26,111,13,11.71,66,59.46,12,10.81,20,18.02,10026
10,27,197,14,7.11,134,68.02,20,10.15,29,14.72,10027
10,28,157,94,59.87,43,27.39,4,2.55,16,10.19,10028
10,29,166,130,78.31,21,12.65,4,2.41,11,6.63,10029
10,30,188,22,11.7,95,50.53,23,12.23,48,25.53,10030
10,31,166,19,11.45,105,63.25,10,6.02,32,19.28,10031
10,32,175,16,9.14,100,57.14,18,10.29,41,23.43,10032
10,33,148,14,9.46,79,53.38,14,9.46,41,27.7,10033
10,34,144,20,13.89,82,56.94,8,5.56,34,23.61,10034
10,35,142,17,11.97,76,53.52,11,7.75,38,26.76,10035
10,36,189,63,33.33,75,39.68,13,6.88,38,20.11,10036
10,37,131,51,38.93,54,41.22,7,5.34,19,14.5,10037
10,38,208,20,9.62,129,62.02,19,9.13,40,19.23,10038
10,39,179,25,13.97,79,44.13,20,11.17,55,30.73,10039
10,40,130,40,30.77,53,40.77,6,4.62,31,23.85,10040
10,41,226,17,7.52,142,62.83,26,11.5,41,18.14,10041
10,42,159,14,8.81,92,57.86,19,11.95,34,21.38,10042
10,43,148,56,37.84,52,35.14,8,5.41,32,21.62,10043
10,44,173,22,12.72,91,52.6,16,9.25,44,25.43,10044
10,45,194,36,18.56,104,53.61,18,9.28,36,18.56,10045
10,46,140,14,10.0,84,60.0,14,10.0,28,20.0,10046
11,1,166,9,5.42,137,82.53,10,6.02,10,6.02,11001
11,2,146,12,8.22,103,70.55,12,8.22,19,13.01,11002
11,3,176,17,9.66,120,68.18,17,9.66,22,12.5,11003
11,4,183,10,5.46,151,82.51,12,6.56,10,5.46,11004
11,5,88,11,12.5,54,61.36,6,6.82,17,19.32,11005
11,6,249,28,11.24,157,63.05,22,8.84,42,16.87,11006
11,7,213,8,3.76,180,84.51,8,3.76,17,7.98,11007
11,8,180,14,7.78,137,76.11,15,8.33,14,7.78,11008
11,9,211,12,5.69,183,86.73,8,3.79,8,3.79,11009
11,10,105,4,3.81,74,70.48,9,8.57,18,17.14,11010
11,11,165,13,7.88,122,73.94,14,8.48,16,9.7,11011
11,12,218,15,6.88,178,81.65,16,7.34,9,4.13,11012
11,13,170,11,6.47,131,77.06,14,8.24,14,8.24,11013
11,14,75,14,18.67,45,60.0,7,9.33,9,12.0,11014
11,15,162,5,3.09,134,82.72,12,7.41,11,6.79,11015
11,16,147,5,3.4,121,82.31,6,4.08,15,10.2,11016
11,17,217,27,12.44,146,67.28,13,5.99,31,14.29,11017
11,18,136,12,8.82,96,70.59,13,9.56,15,11.03,11018
11,19,137,9,6.57,102,74.45,14,10.22,12,8.76,11019
11,20,254,17,6.69,214,84.25,9,3.54,14,5.51,11020
11,21,312,14,4.49,262,83.97,12,3.85,24,7.69,11021
11,22,92,9,9.78,56,60.87,14,15.22,13,14.13,11022
11,23,166,19,11.45,96,57.83,13,7.83,38,22.89,11023
11,24,305,8,2.62,279,91.48,8,2.62,10,3.28,11024
11,25,142,10,7.04,118,83.1,9,6.34,5,3.52,11025
11,26,229,15,6.55,170,74.24,14,6.11,30,13.1,11026
11,27,55,6,10.91,33,60.0,1,1.82,15,27.27,11027
11,28,43,1,2.33,39,90.7,2,4.65,1,2.33,11028
11,29,241,19,7.88,174,72.2,20,8.3,28,11.62,11029
11,30,160,12,7.5,101,63.13,24,15.0,23,14.38,11030
11,31,58,7,12.07,38,65.52,5,8.62,8,13.79,11031
11,32,158,7,4.43,139,87.97,5,3.16,7,4.43,11032
11,33,94,40,42.55,39,41.49,3,3.19,12,12.77,11033
11,34,124,24,19.35,83,66.94,8,6.45,9,7.26,11034
11,35,205,9,4.39,178,86.83,6,2.93,12,5.85,11035
11,36,91,5,5.49,66,72.53,7,7.69,13,14.29,11036
11,37,287,9,3.14,247,86.06,12,4.18,19,6.62,11037
11,38,294,15,5.1,231,78.57,25,8.5,23,7.82,11038
11,39,241,9,3.73,191,79.25,19,7.88,22,9.13,11039
11,40,205,16,7.8,156,76.1,15,7.32,18,8.78,11040
11,41,153,8,5.23,123,80.39,8,5.23,14,9.15,11041
11,42,130,6,4.62,114,87.69,6,4.62,4,3.08,11042
11,43,205,17,8.29,162,79.02,9,4.39,17,8.29,11043
11,44,161,6,3.73,116,72.05,17,10.56,22,13.66,11044
11,45,154,10,6.49,121,78.57,10,6.49,13,8.44,11045
11,46,156,24,15.38,125,80.13,6,3.85,1,0.64,11046
11,47,195,12,6.15,156,80.0,14,7.18,13,6.67,11047
11,48,106,7,6.6,88,83.02,6,5.66,5,4.72,11048
11,49,131,9,6.87,113,86.26,2,1.53,7,5.34,11049
11,50,108,9,8.33,84,77.78,7,6.48,8,7.41,11050
11,51,197,14,7.11,165,83.76,10,5.08,8,4.06,11051
11,52,176,9,5.11,150,85.23,5,2.84,12,6.82,11052
11,53,161,6,3.73,137,85.09,4,2.48,14,8.7,11053
11,54,77,12,15.58,63,81.82,1,1.3,1,1.3,11054
12,1,52,9,17.31,28,53.85,1,1.92,14,26.92,12001
12,2,114,12,10.53,73,64.04,6,5.26,23,20.18,12002
12,3,107,11,10.28,64,59.81,7,6.54,25,23.36,12003
12,4,93,9,9.68,65,69.89,8,8.6,11,11.83,12004
12,5,54,8,14.81,30,55.56,2,3.7,14,25.93,12005
12,6,112,18,16.07,56,50.0,6,5.36,32,28.57,12006
12,7,60,8,13.33,27,45.0,5,8.33,20,33.33,12007
12,8,61,4,6.56,35,57.38,7,11.48,15,24.59,12008
12,9,88,8,9.09,41,46.59,16,18.18,23,26.14,12009
12,10,66,9,13.64,38,57.58,7,10.61,12,18.18,12010
12,11,107,22,20.56,60,56.07,3,2.8,22,20.56,12011
12,12,85,15,17.65,44,51.76,6,7.06,20,23.53,12012
12,13,51,3,5.88,30,58.82,4,7.84,14,27.45,12013
12,14,64,11,17.19,29,45.31,2,3.13,22,34.38,12014
12,15,72,16,22.22,30,41.67,2,2.78,24,33.33,12015
12,16,121,17,14.05,58,47.93,16,13.22,30,24.79,12016
12,17,38,3,7.89,19,50.0,5,13.16,11,28.95,12017
12,18,64,31,48.44,20,31.25,2,3.13,11,17.19,12018
12,19,53,18,33.96,19,35.85,4,7.55,12,22.64,12019
12,20,57,7,12.28,31,54.39,2,3.51,17,29.82,12020
12,21,134,18,13.43,71,52.99,8,5.97,37,27.61,12021
12,22,66,15,22.73,24,36.36,7,10.61,20,30.3,12022
12,23,125,22,17.6,57,45.6,8,6.4,38,30.4,12023
12,24,42,6,14.29,20,47.62,9,21.43,7,16.67,12024
12,25,75,6,8.0,33,44.0,9,12.0,27,36.0,12025
12,26,55,19,34.55,19,34.55,3,5.45,14,25.45,12026
12,27,57,4,7.02,24,42.11,13,22.81,16,28.07,12027
12,28,57,9,15.79,23,40.35,5,8.77,20,35.09,12028
12,29,186,21,11.29,112,60.22,11,5.91,42,22.58,12029
12,30,151,18,11.92,94,62.25,7,4.64,32,21.19,12030
13,1,149,6,4.03,128,85.91,6,4.03,9,6.04,13001
13,2,143,5,3.5,117,81.82,5,3.5,16,11.19,13002
13,3,294,7,2.38,263,89.46,13,4.42,11,3.74,13003
13,4,228,11,4.82,177,77.63,21,9.21,19,8.33,13004
13,5,176,10,5.68,138,78.41,14,7.95,14,7.95,13005
13,6,143,8,5.59,113,79.02,9,6.29,13,9.09,13006
13,7,268,9,3.36,241,89.93,8,2.99,10,3.73,13007
13,8,214,11,5.14,169,78.97,22,10.28,12,5.61,13008
13,9,242,7,2.89,214,88.43,11,4.55,10,4.13,13009
13,10,194,11,5.67,158,81.44,13,6.7,12,6.19,13010
13,11,130,11,8.46,100,76.92,5,3.85,14,10.77,13011
13,12,262,7,2.67,215,82.06,21,8.02,19,7.25,13012
13,13,306,29,9.48,262,85.62,8,2.61,7,2.29,13013
13,14,155,10,6.45,119,76.77,15,9.68,11,7.1,13014
13,15,272,8,2.94,235,86.4,14,5.15,15,5.51,13015
13,16,196,11,5.61,163,83.16,8,4.08,14,7.14,13016
13,17,141,18,12.77,104,73.76,6,4.26,13,9.22,13017
13,18,154,17,11.04,111,72.08,4,2.6,22,14.29,13018
13,19,164,23,14.02,120,73.17,10,6.1,11,6.71,13019
13,20,180,13,7.22,129,71.67,7,3.89,31,17.22,13020
13,21,193,5,2.59,166,86.01,11,5.7,11,5.7,13021
13,22,310,12,3.87,261,84.19,13,4.19,24,7.74,13022
13,23,228,6,2.63,198,86.84,13,5.7,11,4.82,13023
13,24,250,13,5.2,202,80.8,20,8.0,15,6.0,13024
13,25,163,8,4.91,126,77.3,14,8.59,15,9.2,13025
13,26,156,8,5.13,124,79.49,11,7.05,13,8.33,13026
13,27,200,10,5.0,166,83.0,13,6.5,11,5.5,13027
13,28,148,6,4.05,121,81.76,10,6.76,11,7.43,13028
13,29,198,8,4.04,163,82.32,12,6.06,15,7.58,13029
13,30,176,9,5.11,132,75.0,15,8.52,20,11.36,13030
13,31,179,12,6.7,138,77.09,10,5.59,19,10.61,13031
13,32,135,61,45.19,63,46.67,7,5.19,4,2.96,13032
13,33,175,12,6.86,132,75.43,14,8.0,17,9.71,13033
13,34,230,11,4.78,185,80.43,19,8.26,15,6.52,13034
13,35,253,5,1.98,219,86.56,15,5.93,14,5.53,13035
13,36,135,9,6.67,98,72.59,12,8.89,16,11.85,13036
13,37,148,5,3.38,124,83.78,6,4.05,13,8.78,13037
13,38,115,5,4.35,104,90.43,3,2.61,3,2.61,13038
13,39,177,12,6.78,139,78.53,13,7.34,13,7.34,13039
13,40,157,10,6.37,115,73.25,10,6.37,22,14.01,13040
13,41,149,19,12.75,101,67.79,13,8.72,16,10.74,13041
13,42,322,9,2.8,292,90.68,6,1.86,15,4.66,13042
13,43,220,14,6.36,189,85.91,10,4.55,7,3.18,13043
13,44,109,12,11.01,68,62.39,9,8.26,20,18.35,13044
13,45,95,12,12.63,67,70.53,6,6.32,10,10.53,13045
13,46,220,9,4.09,188,85.45,6,2.73,17,7.73,13046
13,47,167,9,5.39,135,80.84,7,4.19,16,9.58,13047
13,48,165,2,1.21,140,84.85,12,7.27,11,6.67,13048
13,49,105,3,2.86,90,85.71,6,5.71,6,5.71,13049
13,50,297,5,1.68,276,92.93,7,2.36,9,3.03,13050
13,51,203,10,4.93,166,81.77,8,3.94,19,9.36,13051
13,52,247,16,6.48,208,84.21,16,6.48,7,2.83,13052
13,53,216,24,11.11,158,73.15,18,8.33,16,7.41,13053
13,54,280,6,2.14,249,88.93,16,5.71,9,3.21,13054
13,55,222,11,4.95,179,80.63,12,5.41,20,9.01,13055
13,56,320,7,2.19,288,90.0,18,5.63,7,2.19,13056
13,57,212,17,8.02,171,80.66,12,5.66,12,5.66,13057
13,58,340,11,3.24,307,90.29,8,2.35,14,4.12,13058
13,59,157,14,8.92,124,78.98,13,8.28,6,3.82,13059
13,60,325,2,0.62,305,93.85,8,2.46,10,3.08,13060
13,61,314,23,7.32,256,81.53,12,3.82,23,7.32,13061
13,62,271,4,1.48,234,86.35,18,6.64,15,5.54,13062
13,63,242,4,1.65,203,83.88,19,7.85,16,6.61,13063
14,1,84,11,13.1,58,69.05,5,5.95,10,11.9,14001
14,2,107,3,2.8,74,69.16,11,10.28,19,17.76,14002
14,3,180,21,11.67,129,71.67,9,5.0,21,11.67,14003
14,4,92,5,5.43,72,78.26,5,5.43,10,10.87,14004
14,5,210,13,6.19,175,83.33,11,5.24,11,5.24,14005
14,6,143,14,9.79,100,69.93,7,4.9,22,15.38,14006
14,7,142,9,6.34,103,72.54,9,6.34,21,14.79,14007
14,8,110,7,6.36,71,64.55,7,6.36,25,22.73,14008
14,9,139,15,10.79,103,74.1,4,2.88,17,12.23,14009
14,10,60,20,33.33,33,55.0,2,3.33,5,8.33,14010
14,11,142,8,5.63,111,78.17,8,5.63,15,10.56,14011
14,12,108,9,8.33,87,80.56,5,4.63,7,6.48,14012
14,13,106,7,6.6,77,72.64,13,12.26,9,8.49,14013
14,14,99,7,7.07,72,72.73,3,3.03,17,17.17,14014
14,15,55,14,25.45,26,47.27,6,10.91,9,16.36,14015
14,16,125,10,8.0,91,72.8,4,3.2,20,16.0,14016
14,17,101,11,10.89,76,75.25,4,3.96,10,9.9,14017
14,18,94,7,7.45,61,64.89,7,7.45,19,20.21,14018
14,19,186,11,5.91,151,81.18,8,4.3,16,8.6,14019
14,20,82,22,26.83,35,42.68,5,6.1,20,24.39,14020
14,21,202,40,19.8,133,65.84,5,2.48,24,11.88,14021
14,22,173,10,5.78,130,75.14,12,6.94,21,12.14,14022
14,23,122,10,8.2,83,68.03,12,9.84,17,13.93,14023
14,24,114,12,10.53,68,59.65,12,10.53,22,19.3,14024
14,25,94,21,22.34,54,57.45,4,4.26,15,15.96,14025
14,26,122,17,13.93,82,67.21,5,4.1,18,14.75,14026
14,27,218,28,12.84,147,67.43,12,5.5,31,14.22,14027
14,28,104,6,5.77,72,69.23,11,10.58,15,14.42,14028
14,29,181,27,14.92,118,65.19,7,3.87,29,16.02,14029
14,30,130,7,5.38,89,68.46,11,8.46,23,17.69,14030
14,31,124,7,5.65,104,83.87,5,4.03,8,6.45,14031
14,32,117,13,11.11,87,74.36,7,5.98,10,8.55,14032
14,33,129,5,3.88,106,82.17,2,1.55,16,12.4,14033
14,34,124,11,8.87,97,78.23,2,1.61,14,11.29,14034
14,35,66,3,4.55,50,75.76,4,6.06,9,13.64,14035
14,36,159,19,11.95,96,60.38,14,8.81,30,18.87,14036
14,37,111,9,8.11,85,76.58,7,6.31,10,9.01,14037
14,38,113,22,19.47,73,64.6,7,6.19,11,9.73,14038
14,39,124,8,6.45,90,72.58,9,7.26,17,13.71,14039
14,40,108,12,11.11,68,62.96,11,10.19,17,15.74,14040
14,41,168,1,0.6,156,92.86,4,2.38,7,4.17,14041
14,42,109,5,4.59,78,71.56,9,8.26,17,15.6,14042
14,43,155,10,6.45,119,76.77,12,7.74,14,9.03,14043
14,44,135,15,11.11,92,68.15,7,5.19,21,15.56,14044
14,45,112,16,14.29,73,65.18,9,8.04,14,12.5,14045
14,46,195,7,3.59,162,83.08,10,5.13,16,8.21,14046
14,47,245,3,1.22,237,96.73,0,0.0,5,2.04,14047
14,48,77,21,27.27,39,50.65,8,10.39,9,11.69,14048
15,1,143,100,69.93,27,18.88,7,4.9,9,6.29,15001
15,2,136,96,70.59,22,16.18,7,5.15,11,8.09,15002
15,3,162,120,74.07,20,12.35,2,1.23,20,12.35,15003
15,4,124,81,65.32,26,20.97,5,4.03,12,9.68,15004
15,5,136,102,75.0,15,11.03,7,5.15,12,8.82,15005
15,6,86,33,38.37,35,40.7,5,5.81,13,15.12,15006
15,7,115,78,67.83,29,25.22,2,1.74,6,5.22,15007
15,8,108,78,72.22,22,20.37,0,0.0,8,7.41,15008
15,9,115,68,59.13,31,26.96,3,2.61,13,11.3,15009
15,10,145,85,58.62,41,28.28,3,2.07,16,11.03,15010
15,11,115,77,66.96,24,20.87,1,0.87,13,11.3,15011
15,12,123,28,22.76,78,63.41,3,2.44,14,11.38,15012
15,13,83,59,71.08,17,20.48,2,2.41,5,6.02,15013
15,14,51,30,58.82,16,31.37,3,5.88,2,3.92,15014
15,15,70,42,60.0,17,24.29,4,5.71,7,10.0,15015
15,16,193,121,62.69,48,24.87,5,2.59,19,9.84,15016
15,17,108,73,67.59,23,21.3,2,1.85,10,9.26,15017
15,18,137,91,66.42,29,21.17,4,2.92,13,9.49,15018
15,19,115,79,68.7,20,17.39,5,4.35,11,9.57,15019
15,20,109,68,62.39,27,24.77,6,5.5,8,7.34,15020
15,21,150,102,68.0,34,22.67,7,4.67,7,4.67,15021
15,22,180,106,58.89,51,28.33,7,3.89,16,8.89,15022
15,23,86,60,69.77,17,19.77,2,2.33,7,8.14,15023
15,24,125,73,58.4,29,23.2,3,2.4,20,16.0,15024
15,25,130,82,63.08,31,23.85,4,3.08,13,10.0,15025
15,26,144,103,71.53,23,15.97,6,4.17,12,8.33,15026
15,27,137,69,50.36,42,30.66,5,3.65,21,15.33,15027
15,28,202,140,69.31,42,20.79,9,4.46,11,5.45,15028
15,29,128,71,55.47,34,26.56,6,4.69,17,13.28,15029
15,30,110,71,64.55,30,27.27,2,1.82,7,6.36,15030
15,31,129,81,62.79,28,21.71,5,3.88,15,11.63,15031
15,32,109,76,69.72,21,19.27,5,4.59,7,6.42,15032
15,33,124,85,68.55,27,21.77,7,5.65,5,4.03,15033
15,34,92,64,69.57,18,19.57,3,3.26,7,7.61,15034
15,35,151,106,70.2,31,20.53,1,0.66,13,8.61,15035
15,36,119,85,71.43,24,20.17,2,1.68,8,6.72,15036
15,37,137,97,70.8,20,14.6,3,2.19,17,12.41,15037
15,38,112,72,64.29,27,24.11,4,3.57,9,8.04,15038
15,39,121,84,69.42,20,16.53,6,4.96,11,9.09,15039
15,40,139,91,65.47,25,17.99,7,5.04,16,11.51,15040
15,41,147,82,55.78,46,31.29,4,2.72,15,10.2,15041
15,42,101,68,67.33,23,22.77,3,2.97,7,6.93,15042
15,43,78,59,75.64,15,19.23,0,0.0,4,5.13,15043
15,44,101,62,61.39,21,20.79,3,2.97,15,14.85,15044
15,45,139,35,25.18,70,50.36,13,9.35,21,15.11,15045
15,46,110,80,72.73,22,20.0,4,3.64,4,3.64,15046
15,47,139,85,61.15,35,25.18,8,5.76,11,7.91,15047
15,48,102,67,65.69,19,18.63,7,6.86,9,8.82,15048
16,1,74,17,22.97,28,37.84,8,10.81,21,28.38,16001
16,2,58,40,68.97,9,15.52,2,3.45,7,12.07,16002
16,3,116,95,81.9,9,7.76,3,2.59,9,7.76,16003
16,4,16,11,68.75,3,18.75,0,0.0,2,12.5,16004
16,5,123,89,72.36,23,18.7,5,4.07,6,4.88,16005
16,6,98,70,71.43,14,14.29,4,4.08,10,10.2,16006
16,7,85,46,54.12,28,32.94,4,4.71,7,8.24,16007
16,8,101,60,59.41,26,25.74,4,3.96,11,10.89,16008
16,9,196,144,73.47,31,15.82,4,2.04,17,8.67,16009
16,10,132,94,71.21,21,15.91,7,5.3,10,7.58,16010
16,11,107,65,60.75,26,24.3,2,1.87,14,13.08,16011
16,12,70,49,70.0,11,15.71,1,1.43,9,12.86,16012
16,13,72,19,26.39,32,44.44,7,9.72,14,19.44,16013
16,14,90,66,73.33,15,16.67,1,1.11,8,8.89,16014
16,15,114,78,68.42,22,19.3,3,2.63,11,9.65,16015
16,16,55,40,72.73,6,10.91,3,5.45,6,10.91,16016
16,17,36,23,63.89,6,16.67,2,5.56,5,13.89,16017
16,18,73,56,76.71,10,13.7,3,4.11,4,5.48,16018
16,19,96,61,63.54,21,21.88,0,0.0,14,14.58,16019
16,20,109,77,70.64,20,18.35,6,5.5,6,5.5,16020
16,21,82,15,18.29,41,50.0,9,10.98,17,20.73,16021
16,22,109,77,70.64,14,12.84,5,4.59,13,11.93,16022
16,23,99,38,38.38,33,33.33,7,7.07,21,21.21,16023
16,24,78,52,66.67,16,20.51,4,5.13,6,7.69,16024
16,25,70,54,77.14,9,12.86,0,0.0,7,10.0,16025
16,26,142,110,77.46,15,10.56,4,2.82,13,9.15,16026
16,27,90,62,68.89,20,22.22,5,5.56,3,3.33,16027
16,28,130,105,80.77,15,11.54,3,2.31,7,5.38,16028
16,29,91,58,63.74,18,19.78,2,2.2,13,14.29,16029
16,30,172,116,67.44,34,19.77,5,2.91,17,9.88,16030
16,31,119,100,84.03,10,8.4,2,1.68,7,5.88,16031
16,32,27,13,48.15,6,22.22,2,7.41,6,22.22,16032
16,33,93,63,67.74,21,22.58,1,1.08,8,8.6,16033
16,34,95,76,80.0,10,10.53,3,3.16,6,6.32,16034
16,35,75,56,74.67,14,18.67,1,1.33,4,5.33,16035
16,36,125,101,80.8,15,12.0,2,1.6,7,5.6,16036
16,37,61,50,81.97,4,6.56,1,1.64,6,9.84,16037
16,38,153,95,62.09,35,22.88,5,3.27,18,11.76,16038
16,39,88,65,73.86,12,13.64,3,3.41,8,9.09,16039
16,40,158,133,84.18,15,9.49,1,0.63,9,5.7,16040
16,41,61,28,45.9,14,22.95,6,9.84,13,21.31,16041
16,42,157,37,23.57,65,41.4,15,9.55,40,25.48,16042
17,1,73,49,67.12,16,21.92,0,0.0,8,10.96,17001
17,2,169,138,81.66,19,11.24,4,2.37,8,4.73,17002
17,3,143,126,88.11,12,8.39,1,0.7,4,2.8,17003
17,4,231,186,80.52,36,15.58,3,1.3,6,2.6,17004
17,5,158,124,78.48,23,14.56,5,3.16,6,3.8,17005
17,6,146,129,88.36,9,6.16,3,2.05,5,3.42,17006
17,7,180,151,83.89,19,10.56,3,1.67,7,3.89,17007
17,8,106,69,65.09,22,20.75,2,1.89,13,12.26,17008
17,9,124,98,79.03,14,11.29,2,1.61,10,8.06,17009
17,10,174,140,80.46,18,10.34,3,1.72,13,7.47,17010
17,11,127,98,77.17,20,15.75,3,2.36,6,4.72,17011
17,12,177,155,87.57,13,7.34,3,1.69,6,3.39,17012
17,13,149,114,76.51,20,13.42,5,3.36,10,6.71,17013
17,14,145,113,77.93,17,11.72,7,4.83,8,5.52,17014
17,15,177,141,79.66,23,12.99,2,1.13,11,6.21,17015
17,16,170,135,79.41,16,9.41,4,2.35,15,8.82,17016
17,17,131,98,74.81,19,14.5,4,3.05,10,7.63,17017
17,18,154,126,81.82,21,13.64,2,1.3,5,3.25,17018
17,19,97,83,85.57,9,9.28,2,2.06,3,3.09,17019
