ward,precinct,total,ROD R. BLAGOJEVICH,ROD R. BLAGOJEVICH Percent,precinct_id
36,51,144,144,100.0,36051
36,52,88,88,100.0,36052
36,53,107,107,100.0,36053
36,56,85,85,100.0,36056
38,1,85,85,100.0,38001
38,2,94,94,100.0,38002
38,3,102,102,100.0,38003
38,4,45,45,100.0,38004
38,5,123,123,100.0,38005
38,6,93,93,100.0,38006
38,7,142,142,100.0,38007
38,8,96,96,100.0,38008
38,9,79,79,100.0,38009
38,10,99,99,100.0,38010
38,11,100,100,100.0,38011
38,12,70,70,100.0,38012
38,13,58,58,100.0,38013
38,14,91,91,100.0,38014
38,15,84,84,100.0,38015
38,16,137,137,100.0,38016
38,17,126,126,100.0,38017
38,18,89,89,100.0,38018
38,19,90,90,100.0,38019
38,20,76,76,100.0,38020
38,21,87,87,100.0,38021
38,22,111,111,100.0,38022
38,23,70,70,100.0,38023
38,24,61,61,100.0,38024
38,25,95,95,100.0,38025
38,26,77,77,100.0,38026
38,27,45,45,100.0,38027
38,28,71,71,100.0,38028
38,29,55,55,100.0,38029
38,30,86,86,100.0,38030
38,31,93,93,100.0,38031
38,32,99,99,100.0,38032
38,33,85,85,100.0,38033
38,34,78,78,100.0,38034
38,35,86,86,100.0,38035
38,36,128,128,100.0,38036
38,37,109,109,100.0,38037
38,38,74,74,100.0,38038
38,39,97,97,100.0,38039
38,40,73,73,100.0,38040
38,41,172,172,100.0,38041
38,42,90,90,100.0,38042
38,43,91,91,100.0,38043
38,44,83,83,100.0,38044
38,45,114,114,100.0,38045
38,46,90,90,100.0,38046
38,47,92,92,100.0,38047
38,48,83,83,100.0,38048
38,49,76,76,100.0,38049
38,50,137,137,100.0,38050
38,51,91,91,100.0,38051
38,52,107,107,100.0,38052
38,53,78,78,100.0,38053
38,54,106,106,100.0,38054
38,55,182,182,100.0,38055
38,56,84,84,100.0,38056
39,2,127,127,100.0,39002
39,4,58,58,100.0,39004
39,5,54,54,100.0,39005
39,6,130,130,100.0,39006
39,7,83,83,100.0,39007
39,8,83,83,100.0,39008
39,9,97,97,100.0,39009
39,10,63,63,100.0,39010
39,11,105,105,100.0,39011
39,12,33,33,100.0,39012
39,13,27,27,100.0,39013
39,14,80,80,100.0,39014
39,16,53,53,100.0,39016
39,17,57,57,100.0,39017
39,18,102,102,100.0,39018
39,19,76,76,100.0,39019
39,21,57,57,100.0,39021
39,22,41,41,100.0,39022
39,24,43,43,100.0,39024
39,25,7,7,100.0,39025
39,30,56,56,100.0,39030
39,31,32,32,100.0,39031
39,33,76,76,100.0,39033
39,35,67,67,100.0,39035
39,39,41,41,100.0,39039
39,41,16,16,100.0,39041
39,43,52,52,100.0,39043
39,44,73,73,100.0,39044
39,45,69,69,100.0,39045
39,46,60,60,100.0,39046
39,48,53,53,100.0,39048
39,49,46,46,100.0,39049
40,1,64,64,100.0,40001
40,2,57,57,100.0,40002
40,5,62,62,100.0,40005
40,6,60,60,100.0,40006
40,10,97,97,100.0,40010
40,14,52,52,100.0,40014
40,17,45,45,100.0,40017
40,19,58,58,100.0,40019
40,20,59,59,100.0,40020
40,21,69,69,100.0,40021
40,23,67,67,100.0,40023
40,24,59,59,100.0,40024
40,25,75,75,100.0,40025
40,29,115,115,100.0,40029
40,30,114,114,100.0,40030
40,31,95,95,100.0,40031
40,32,50,50,100.0,40032
40,34,49,49,100.0,40034
40,36,104,104,100.0,40036
40,38,52,52,100.0,40038
40,40,47,47,100.0,40040
40,44,54,54,100.0,40044
41,13,85,85,100.0,41013
41,25,48,48,100.0,41025
41,26,47,47,100.0,41026
41,27,51,51,100.0,41027
41,28,47,47,100.0,41028
41,29,28,28,100.0,41029
41,32,64,64,100.0,41032
41,33,86,86,100.0,41033
41,38,37,37,100.0,41038
41,48,41,41,100.0,41048
41,55,58,58,100.0,41055
42,1,90,90,100.0,42001
42,5,60,60,100.0,42005
42,7,71,71,100.0,42007
42,8,74,74,100.0,42008
42,10,54,54,100.0,42010
42,15,64,64,100.0,42015
42,16,90,90,100.0,42016
42,23,94,94,100.0,42023
42,24,100,100,100.0,42024
42,28,105,105,100.0,42028
42,29,64,64,100.0,42029
42,30,61,61,100.0,42030
42,33,135,135,100.0,42033
42,35,61,61,100.0,42035
42,42,72,72,100.0,42042
42,44,61,61,100.0,42044
42,61,16,16,100.0,42061
43,1,24,24,100.0,43001
43,2,38,38,100.0,43002
43,3,44,44,100.0,43003
43,4,45,45,100.0,43004
43,5,54,54,100.0,43005
43,6,52,52,100.0,43006
43,7,61,61,100.0,43007
43,8,66,66,100.0,43008
43,9,38,38,100.0,43009
43,10,37,37,100.0,43010
43,11,50,50,100.0,43011
43,12,82,82,100.0,43012
43,13,8,8,100.0,43013
43,14,54,54,100.0,43014
43,15,59,59,100.0,43015
43,16,46,46,100.0,43016
43,17,66,66,100.0,43017
43,18,96,96,100.0,43018
43,19,81,81,100.0,43019
43,20,79,79,100.0,43020
43,21,29,29,100.0,43021
43,22,30,30,100.0,43022
43,23,61,61,100.0,43023
43,24,50,50,100.0,43024
43,26,70,70,100.0,43026
43,27,59,59,100.0,43027
43,28,38,38,100.0,43028
43,29,47,47,100.0,43029
43,30,34,34,100.0,43030
43,31,80,80,100.0,43031
43,32,54,54,100.0,43032
43,33,26,26,100.0,43033
43,34,33,33,100.0,43034
43,35,57,57,100.0,43035
43,36,58,58,100.0,43036
43,37,49,49,100.0,43037
43,38,40,40,100.0,43038
43,39,27,27,100.0,43039
43,41,39,39,100.0,43041
43,42,55,55,100.0,43042
43,43,54,54,100.0,43043
43,44,57,57,100.0,43044
43,45,36,36,100.0,43045
43,46,64,64,100.0,43046
43,47,74,74,100.0,43047
43,48,39,39,100.0,43048
43,49,33,33,100.0,43049
43,50,47,47,100.0,43050
43,51,32,32,100.0,43051
43,52,73,73,100.0,43052
43,53,75,75,100.0,43053
43,54,22,22,100.0,43054
43,55,8,8,100.0,43055
43,56,44,44,100.0,43056
43,57,25,25,100.0,43057
43,58,47,47,100.0,43058
