ward,precinct,total,NANCY A. DONAHOE,NANCY A. DONAHOE Percent,LAWRENCE A. SCORDINO,LAWRENCE A. SCORDINO Percent,ROBERT RONALD TEPPER,ROBERT RONALD TEPPER Percent,"P. SCOTT NEVILLE, JR.","P. SCOTT NEVILLE, JR. Percent",DEBORAH JEAN GUBIN,DEBORAH JEAN GUBIN Percent,JOHN JOSEPH DOWNEY,JOHN JOSEPH DOWNEY Percent,precinct_id
49,37,58,21,36.21,4,6.9,1,1.72,11,18.97,15,25.86,6,10.34,49037
50,1,66,23,34.85,2,3.03,8,12.12,11,16.67,17,25.76,5,7.58,50001
50,2,89,26,29.21,4,4.49,6,6.74,19,21.35,30,33.71,4,4.49,50002
50,3,62,21,33.87,4,6.45,6,9.68,11,17.74,13,20.97,7,11.29,50003
50,4,102,25,24.51,6,5.88,22,21.57,14,13.73,27,26.47,8,7.84,50004
50,5,85,17,20.0,6,7.06,18,21.18,3,3.53,33,38.82,8,9.41,50005
50,6,58,20,34.48,2,3.45,5,8.62,4,6.9,20,34.48,7,12.07,50006
50,7,106,31,29.25,3,2.83,4,3.77,17,16.04,36,33.96,15,14.15,50007
50,8,73,23,31.51,8,10.96,5,6.85,9,12.33,14,19.18,14,19.18,50008
50,9,70,15,21.43,5,7.14,15,21.43,5,7.14,23,32.86,7,10.0,50009
50,10,67,16,23.88,7,10.45,7,10.45,5,7.46,23,34.33,9,13.43,50010
50,11,67,12,17.91,3,4.48,20,29.85,9,13.43,19,28.36,4,5.97,50011
50,12,67,10,14.93,2,2.99,24,35.82,7,10.45,17,25.37,7,10.45,50012
50,13,57,14,24.56,4,7.02,9,15.79,11,19.3,12,21.05,7,12.28,50013
50,14,90,10,11.11,3,3.33,23,25.56,5,5.56,46,51.11,3,3.33,50014
50,15,96,30,31.25,5,5.21,7,7.29,12,12.5,32,33.33,10,10.42,50015
50,16,85,13,15.29,8,9.41,31,36.47,4,4.71,24,28.24,5,5.88,50016
50,17,66,14,21.21,4,6.06,7,10.61,30,45.45,6,9.09,5,7.58,50017
50,18,58,14,24.14,1,1.72,11,18.97,6,10.34,19,32.76,7,12.07,50018
50,19,70,24,34.29,3,4.29,6,8.57,10,14.29,16,22.86,11,15.71,50019
50,20,70,22,31.43,3,4.29,6,8.57,10,14.29,22,31.43,7,10.0,50020
50,21,96,24,25.0,3,3.13,18,18.75,9,9.38,32,33.33,10,10.42,50021
50,22,59,20,33.9,3,5.08,6,10.17,9,15.25,10,16.95,11,18.64,50022
50,23,59,19,32.2,5,8.47,11,18.64,5,8.47,12,20.34,7,11.86,50023
50,24,43,10,23.26,2,4.65,3,6.98,5,11.63,11,25.58,12,27.91,50024
50,25,55,8,14.55,5,9.09,16,29.09,7,12.73,18,32.73,1,1.82,50025
50,26,40,15,37.5,6,15.0,6,15.0,2,5.0,7,17.5,4,10.0,50026
50,27,59,13,22.03,2,3.39,14,23.73,11,18.64,17,28.81,2,3.39,50027
50,28,77,28,36.36,7,9.09,14,18.18,12,15.58,5,6.49,11,14.29,50028
50,29,81,29,35.8,7,8.64,4,4.94,13,16.05,20,24.69,8,9.88,50029
50,30,57,10,17.54,0,0.0,13,22.81,7,12.28,18,31.58,9,15.79,50030
50,31,34,4,11.76,1,2.94,11,32.35,5,14.71,11,32.35,2,5.88,50031
50,32,49,12,24.49,2,4.08,4,8.16,8,16.33,16,32.65,7,14.29,50032
50,33,33,13,39.39,2,6.06,8,24.24,2,6.06,4,12.12,4,12.12,50033
50,34,63,19,30.16,5,7.94,6,9.52,11,17.46,13,20.63,9,14.29,50034
50,35,85,24,28.24,2,2.35,8,9.41,10,11.76,33,38.82,8,9.41,50035
50,36,77,18,23.38,7,9.09,7,9.09,12,15.58,21,27.27,12,15.58,50036
50,37,97,29,29.9,11,11.34,11,11.34,13,13.4,21,21.65,12,12.37,50037
50,38,81,11,13.58,2,2.47,33,40.74,9,11.11,19,23.46,7,8.64,50038
50,39,89,21,23.6,9,10.11,16,17.98,12,13.48,23,25.84,8,8.99,50039
50,40,75,17,22.67,9,12.0,13,17.33,5,6.67,27,36.0,4,5.33,50040
50,41,90,19,21.11,4,4.44,16,17.78,9,10.0,37,41.11,5,5.56,50041
50,42,107,21,19.63,3,2.8,17,15.89,19,17.76,33,30.84,14,13.08,50042
50,43,93,21,22.58,8,8.6,15,16.13,11,11.83,31,33.33,7,7.53,50043
50,44,63,9,14.29,7,11.11,17,26.98,12,19.05,14,22.22,4,6.35,50044
50,45,93,22,23.66,3,3.23,14,15.05,18,19.35,26,27.96,10,10.75,50045
50,46,42,15,35.71,2,4.76,6,14.29,6,14.29,10,23.81,3,7.14,50046
