ward,precinct,total,LORETTA EADIE-DANIELS,LORETTA EADIE-DANIELS Percent,JOANNE SIMBOLI HODGE,JOANNE SIMBOLI HODGE Percent,PAULA M. LINGO,PAULA M. LINGO Percent,ANGELA W. RICHARDSON,ANGELA W. RICHARDSON Percent,CASANDRA LEWIS,CASANDRA LEWIS Percent,HILDA R. WHITTINGTON,HILDA R. WHITTINGTON Percent,PAUL A. BRADY,PAUL A. BRADY Percent,"ROBERT L. """"BOB"""" ANDERSON","ROBERT L. """"BOB"""" ANDERSON Percent",precinct_id
15,47,116,42,36.21,3,2.59,9,7.76,16,13.79,14,12.07,8,6.9,8,6.9,16,13.79,15047
16,3,98,41,41.84,5,5.1,6,6.12,17,17.35,7,7.14,6,6.12,5,5.1,11,11.22,16003
16,5,101,25,24.75,9,8.91,9,8.91,17,16.83,13,12.87,7,6.93,8,7.92,13,12.87,16005
16,6,84,20,23.81,2,2.38,1,1.19,15,17.86,21,25.0,4,4.76,11,13.1,10,11.9,16006
16,8,86,27,31.4,3,3.49,9,10.47,13,15.12,15,17.44,7,8.14,3,3.49,9,10.47,16008
16,9,154,39,25.32,11,7.14,9,5.84,29,18.83,30,19.48,6,3.9,6,3.9,24,15.58,16009
16,10,97,30,30.93,5,5.15,7,7.22,9,9.28,17,17.53,4,4.12,3,3.09,22,22.68,16010
16,12,63,25,39.68,4,6.35,4,6.35,9,14.29,8,12.7,4,6.35,3,4.76,6,9.52,16012
16,14,75,19,25.33,8,10.67,8,10.67,10,13.33,7,9.33,6,8.0,7,9.33,10,13.33,16014
16,15,100,18,18.0,7,7.0,9,9.0,18,18.0,9,9.0,12,12.0,8,8.0,19,19.0,16015
16,16,39,10,25.64,0,0.0,1,2.56,5,12.82,8,20.51,5,12.82,7,17.95,3,7.69,16016
16,17,33,7,21.21,1,3.03,4,12.12,5,15.15,5,15.15,3,9.09,2,6.06,6,18.18,16017
16,18,59,12,20.34,1,1.69,7,11.86,12,20.34,6,10.17,7,11.86,3,5.08,11,18.64,16018
16,19,72,17,23.61,5,6.94,2,2.78,9,12.5,12,16.67,2,2.78,8,11.11,17,23.61,16019
16,20,96,34,35.42,5,5.21,3,3.13,17,17.71,10,10.42,7,7.29,7,7.29,13,13.54,16020
16,22,86,26,30.23,4,4.65,6,6.98,18,20.93,8,9.3,4,4.65,7,8.14,13,15.12,16022
16,24,64,15,23.44,2,3.13,10,15.63,6,9.38,9,14.06,2,3.13,9,14.06,11,17.19,16024
16,25,58,26,44.83,4,6.9,3,5.17,7,12.07,9,15.52,3,5.17,1,1.72,5,8.62,16025
16,26,114,46,40.35,3,2.63,10,8.77,13,11.4,17,14.91,3,2.63,7,6.14,15,13.16,16026
16,27,65,16,24.62,2,3.08,5,7.69,15,23.08,14,21.54,3,4.62,3,4.62,7,10.77,16027
16,28,107,37,34.58,3,2.8,6,5.61,16,14.95,14,13.08,3,2.8,10,9.35,18,16.82,16028
16,29,84,21,25.0,5,5.95,3,3.57,24,28.57,9,10.71,1,1.19,8,9.52,13,15.48,16029
16,30,139,39,28.06,6,4.32,8,5.76,27,19.42,18,12.95,8,5.76,12,8.63,21,15.11,16030
16,31,92,23,25.0,2,2.17,7,7.61,12,13.04,18,19.57,12,13.04,6,6.52,12,13.04,16031
16,33,73,18,24.66,2,2.74,8,10.96,19,26.03,13,17.81,5,6.85,2,2.74,6,8.22,16033
16,34,82,36,43.9,4,4.88,6,7.32,8,9.76,10,12.2,4,4.88,5,6.1,9,10.98,16034
16,35,60,26,43.33,0,0.0,4,6.67,10,16.67,7,11.67,2,3.33,6,10.0,5,8.33,16035
16,36,110,48,43.64,6,5.45,4,3.64,12,10.91,11,10.0,5,4.55,7,6.36,17,15.45,16036
16,37,45,10,22.22,0,0.0,5,11.11,5,11.11,7,15.56,4,8.89,6,13.33,8,17.78,16037
16,38,126,33,26.19,6,4.76,10,7.94,23,18.25,18,14.29,7,5.56,13,10.32,16,12.7,16038
16,39,82,19,23.17,3,3.66,7,8.54,11,13.41,22,26.83,3,3.66,7,8.54,10,12.2,16039
16,40,132,43,32.58,8,6.06,10,7.58,15,11.36,19,14.39,4,3.03,8,6.06,25,18.94,16040
17,1,66,11,16.67,1,1.52,4,6.06,8,12.12,12,18.18,6,9.09,9,13.64,15,22.73,17001
17,6,124,74,59.68,2,1.61,1,0.81,18,14.52,10,8.06,3,2.42,8,6.45,8,6.45,17006
17,8,97,45,46.39,3,3.09,6,6.19,8,8.25,14,14.43,2,2.06,4,4.12,15,15.46,17008
17,13,111,15,13.51,4,3.6,14,12.61,23,20.72,27,24.32,4,3.6,9,8.11,15,13.51,17013
17,14,104,27,25.96,3,2.88,9,8.65,15,14.42,15,14.42,9,8.65,8,7.69,18,17.31,17014
17,16,138,55,39.86,6,4.35,7,5.07,13,9.42,25,18.12,2,1.45,9,6.52,21,15.22,17016
17,17,119,46,38.66,3,2.52,10,8.4,16,13.45,13,10.92,4,3.36,10,8.4,17,14.29,17017
17,19,52,17,32.69,0,0.0,5,9.62,15,28.85,8,15.38,1,1.92,2,3.85,4,7.69,17019
17,34,121,44,36.36,6,4.96,7,5.79,15,12.4,19,15.7,7,5.79,11,9.09,12,9.92,17034
17,36,95,36,37.89,5,5.26,6,6.32,9,9.47,17,17.89,6,6.32,7,7.37,9,9.47,17036
17,39,113,57,50.44,3,2.65,4,3.54,10,8.85,9,7.96,1,0.88,9,7.96,20,17.7,17039
17,41,100,30,30.0,3,3.0,14,14.0,18,18.0,11,11.0,4,4.0,2,2.0,18,18.0,17041
17,42,76,23,30.26,9,11.84,7,9.21,15,19.74,9,11.84,2,2.63,2,2.63,9,11.84,17042
17,43,90,22,24.44,2,2.22,9,10.0,22,24.44,15,16.67,3,3.33,5,5.56,12,13.33,17043
17,45,228,75,32.89,15,6.58,27,11.84,21,9.21,15,6.58,18,7.89,24,10.53,33,14.47,17045
17,46,124,31,25.0,6,4.84,7,5.65,21,16.94,24,19.35,9,7.26,8,6.45,18,14.52,17046
17,49,93,48,51.61,2,2.15,6,6.45,7,7.53,5,5.38,11,11.83,3,3.23,11,11.83,17049
20,1,124,47,37.9,3,2.42,19,15.32,13,10.48,8,6.45,17,13.71,3,2.42,14,11.29,20001
20,2,103,38,36.89,1,0.97,10,9.71,16,15.53,9,8.74,16,15.53,3,2.91,10,9.71,20002
20,3,128,41,32.03,8,6.25,10,7.81,19,14.84,17,13.28,10,7.81,9,7.03,14,10.94,20003
20,4,119,57,47.9,3,2.52,12,10.08,11,9.24,12,10.08,5,4.2,13,10.92,6,5.04,20004
20,5,81,17,20.99,4,4.94,7,8.64,10,12.35,8,9.88,10,12.35,8,9.88,17,20.99,20005
20,6,123,39,31.71,6,4.88,8,6.5,24,19.51,14,11.38,7,5.69,11,8.94,14,11.38,20006
20,7,65,17,26.15,5,7.69,7,10.77,12,18.46,8,12.31,2,3.08,4,6.15,10,15.38,20007
20,8,82,40,48.78,2,2.44,7,8.54,5,6.1,9,10.98,8,9.76,4,4.88,7,8.54,20008
20,9,119,47,39.5,1,0.84,9,7.56,11,9.24,13,10.92,17,14.29,5,4.2,16,13.45,20009
20,10,141,49,34.75,3,2.13,12,8.51,26,18.44,15,10.64,10,7.09,11,7.8,15,10.64,20010
20,11,72,21,29.17,1,1.39,4,5.56,19,26.39,8,11.11,1,1.39,10,13.89,8,11.11,20011
20,12,94,32,34.04,6,6.38,5,5.32,20,21.28,8,8.51,3,3.19,2,2.13,18,19.15,20012
20,13,49,28,57.14,1,2.04,3,6.12,6,12.24,5,10.2,0,0.0,2,4.08,4,8.16,20013
20,14,193,58,30.05,11,5.7,18,9.33,27,13.99,15,7.77,18,9.33,16,8.29,30,15.54,20014
20,15,94,36,38.3,0,0.0,5,5.32,14,14.89,8,8.51,9,9.57,7,7.45,15,15.96,20015
20,16,65,24,36.92,3,4.62,2,3.08,8,12.31,12,18.46,2,3.08,7,10.77,7,10.77,20016
20,17,90,41,45.56,2,2.22,6,6.67,16,17.78,8,8.89,2,2.22,4,4.44,11,12.22,20017
20,18,140,38,27.14,9,6.43,16,11.43,19,13.57,25,17.86,7,5.0,13,9.29,13,9.29,20018
20,19,94,30,31.91,5,5.32,4,4.26,14,14.89,11,11.7,4,4.26,9,9.57,17,18.09,20019
20,20,79,25,31.65,5,6.33,4,5.06,10,12.66,13,16.46,6,7.59,8,10.13,8,10.13,20020
20,21,88,34,38.64,1,1.14,5,5.68,13,14.77,6,6.82,3,3.41,8,9.09,18,20.45,20021
20,22,97,48,49.48,3,3.09,11,11.34,8,8.25,8,8.25,9,9.28,2,2.06,8,8.25,20022
20,23,105,38,36.19,6,5.71,10,9.52,15,14.29,16,15.24,6,5.71,4,3.81,10,9.52,20023
20,24,113,29,25.66,5,4.42,11,9.73,20,17.7,15,13.27,10,8.85,11,9.73,12,10.62,20024
20,25,82,43,52.44,2,2.44,3,3.66,8,9.76,17,20.73,4,4.88,3,3.66,2,2.44,20025
20,26,168,50,29.76,4,2.38,17,10.12,33,19.64,14,8.33,24,14.29,5,2.98,21,12.5,20026
20,27,43,12,27.91,0,0.0,6,13.95,7,16.28,4,9.3,3,6.98,4,9.3,7,16.28,20027
20,28,118,59,50.0,4,3.39,10,8.47,16,13.56,9,7.63,3,2.54,7,5.93,10,8.47,20028
20,29,88,28,31.82,4,4.55,1,1.14,8,9.09,14,15.91,13,14.77,5,5.68,15,17.05,20029
20,30,121,46,38.02,5,4.13,9,7.44,17,14.05,23,19.01,7,5.79,7,5.79,7,5.79,20030
20,31,74,19,25.68,6,8.11,7,9.46,13,17.57,8,10.81,6,8.11,3,4.05,12,16.22,20031
20,32,176,61,34.66,11,6.25,11,6.25,26,14.77,21,11.93,14,7.95,13,7.39,19,10.8,20032
20,33,96,44,45.83,3,3.13,9,9.38,9,9.38,11,11.46,9,9.38,7,7.29,4,4.17,20033
20,34,152,38,25.0,15,9.87,20,13.16,24,15.79,22,14.47,8,5.26,6,3.95,19,12.5,20034
20,35,54,21,38.89,5,9.26,7,12.96,9,16.67,4,7.41,3,5.56,2,3.7,3,5.56,20035
20,36,111,33,29.73,2,1.8,8,7.21,14,12.61,18,16.22,12,10.81,9,8.11,15,13.51,20036
20,37,82,11,13.41,1,1.22,10,12.2,16,19.51,17,20.73,11,13.41,5,6.1,11,13.41,20037
20,38,165,66,40.0,9,5.45,17,10.3,14,8.48,22,13.33,11,6.67,9,5.45,17,10.3,20038
20,39,96,34,35.42,4,4.17,7,7.29,14,14.58,14,14.58,3,3.13,5,5.21,15,15.63,20039
20,40,93,21,22.58,2,2.15,12,12.9,16,17.2,15,16.13,4,4.3,8,8.6,15,16.13,20040
20,41,16,9,56.25,1,6.25,1,6.25,1,6.25,3,18.75,0,0.0,0,0.0,1,6.25,20041
20,42,33,12,36.36,5,15.15,1,3.03,5,15.15,5,15.15,2,6.06,2,6.06,1,3.03,20042
20,43,170,55,32.35,8,4.71,26,15.29,20,11.76,28,16.47,11,6.47,7,4.12,15,8.82,20043
20,44,123,71,57.72,4,3.25,6,4.88,7,5.69,10,8.13,3,2.44,7,5.69,15,12.2,20044
20,45,31,11,35.48,1,3.23,2,6.45,5,16.13,3,9.68,4,12.9,0,0.0,5,16.13,20045
20,46,56,23,41.07,2,3.57,7,12.5,2,3.57,7,12.5,2,3.57,5,8.93,8,14.29,20046
20,47,79,33,41.77,2,2.53,6,7.59,11,13.92,8,10.13,5,6.33,5,6.33,9,11.39,20047
20,48,61,29,47.54,3,4.92,7,11.48,9,14.75,7,11.48,4,6.56,0,0.0,2,3.28,20048
20,49,107,38,35.51,3,2.8,12,11.21,15,14.02,18,16.82,4,3.74,3,2.8,14,13.08,20049
20,50,94,25,26.6,3,3.19,9,9.57,22,23.4,8,8.51,6,6.38,5,5.32,16,17.02,20050
20,51,113,65,57.52,1,0.88,6,5.31,9,7.96,8,7.08,10,8.85,6,5.31,8,7.08,20051
20,52,35,13,37.14,3,8.57,2,5.71,3,8.57,1,2.86,2,5.71,2,5.71,9,25.71,20052
25,14,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25014
25,21,48,4,8.33,6,12.5,14,29.17,3,6.25,2,4.17,1,2.08,6,12.5,12,25.0,25021
