ward,precinct,total,Lindsay Huge,Lindsay Huge Percent,Michael A. Forti,Michael A. Forti Percent,Cyrus Hosseini,Cyrus Hosseini Percent,Athena A. Farmakis,Athena A. Farmakis Percent,precinct_id
47,24,229,96,41.92,76,33.19,2,0.87,55,24.02,47024
47,33,57,24,42.11,14,24.56,0,0.0,19,33.33,47033
47,41,284,119,41.9,76,26.76,9,3.17,80,28.17,47041
47,44,158,69,43.67,48,30.38,6,3.8,35,22.15,47044
48,1,241,86,35.68,63,26.14,5,2.07,87,36.1,48001
48,2,149,72,48.32,43,28.86,2,1.34,32,21.48,48002
48,3,241,85,35.27,64,26.56,5,2.07,87,36.1,48003
48,4,226,90,39.82,58,25.66,5,2.21,73,32.3,48004
48,5,173,67,38.73,68,39.31,4,2.31,34,19.65,48005
48,6,272,98,36.03,72,26.47,19,6.99,83,30.51,48006
48,7,272,108,39.71,55,20.22,12,4.41,97,35.66,48007
48,8,143,55,38.46,39,27.27,0,0.0,49,34.27,48008
48,9,152,70,46.05,36,23.68,9,5.92,37,24.34,48009
48,10,370,143,38.65,93,25.14,8,2.16,126,34.05,48010
48,11,256,105,41.02,65,25.39,5,1.95,81,31.64,48011
48,12,300,114,38.0,83,27.67,12,4.0,91,30.33,48012
48,14,124,45,36.29,38,30.65,7,5.65,34,27.42,48014
48,16,233,96,41.2,52,22.32,8,3.43,77,33.05,48016
48,17,235,101,42.98,62,26.38,6,2.55,66,28.09,48017
48,18,182,70,38.46,47,25.82,11,6.04,54,29.67,48018
48,19,229,92,40.17,57,24.89,11,4.8,69,30.13,48019
48,20,306,126,41.18,84,27.45,8,2.61,88,28.76,48020
48,21,250,120,48.0,47,18.8,14,5.6,69,27.6,48021
48,23,273,90,32.97,94,34.43,19,6.96,70,25.64,48023
48,24,233,98,42.06,49,21.03,9,3.86,77,33.05,48024
48,25,282,102,36.17,96,34.04,9,3.19,75,26.6,48025
48,26,100,27,27.0,28,28.0,3,3.0,42,42.0,48026
48,27,110,47,42.73,25,22.73,3,2.73,35,31.82,48027
48,28,241,93,38.59,71,29.46,9,3.73,68,28.22,48028
48,29,149,50,33.56,51,34.23,4,2.68,44,29.53,48029
48,30,247,104,42.11,53,21.46,9,3.64,81,32.79,48030
48,31,143,65,45.45,24,16.78,9,6.29,45,31.47,48031
48,32,64,23,35.94,16,25.0,3,4.69,22,34.38,48032
48,34,219,86,39.27,71,32.42,4,1.83,58,26.48,48034
48,35,149,71,47.65,34,22.82,8,5.37,36,24.16,48035
48,36,162,64,39.51,56,34.57,1,0.62,41,25.31,48036
48,37,251,111,44.22,56,22.31,6,2.39,78,31.08,48037
48,38,315,117,37.14,113,35.87,7,2.22,78,24.76,48038
48,39,192,72,37.5,50,26.04,6,3.13,64,33.33,48039
48,40,241,96,39.83,63,26.14,5,2.07,77,31.95,48040
48,41,238,91,38.24,55,23.11,11,4.62,81,34.03,48041
48,42,334,120,35.93,87,26.05,6,1.8,121,36.23,48042
48,43,237,98,41.35,57,24.05,6,2.53,76,32.07,48043
48,44,316,144,45.57,72,22.78,3,0.95,97,30.7,48044
48,45,193,81,41.97,57,29.53,5,2.59,50,25.91,48045
49,2,165,83,50.3,25,15.15,6,3.64,51,30.91,49002
49,17,130,72,55.38,26,20.0,4,3.08,28,21.54,49017
