ward,precinct,total,James ''Jamie'' Shapiro,James ''Jamie'' Shapiro Percent,Stephen J. Feldman,Stephen J. Feldman Percent,Robin Denise Shoffner,Robin Denise Shoffner Percent,John Christopher Benson,John Christopher Benson Percent,Bonnie C. McGrath,Bonnie C. McGrath Percent,precinct_id
42,42,228,102,44.74,10,4.39,53,23.25,11,4.82,52,22.81,42042
43,1,104,43,41.35,9,8.65,23,22.12,9,8.65,20,19.23,43001
43,2,145,72,49.66,6,4.14,31,21.38,11,7.59,25,17.24,43002
43,3,170,103,60.59,10,5.88,26,15.29,4,2.35,27,15.88,43003
43,4,169,104,61.54,3,1.78,28,16.57,8,4.73,26,15.38,43004
43,5,161,99,61.49,4,2.48,33,20.5,9,5.59,16,9.94,43005
43,6,114,65,57.02,5,4.39,19,16.67,7,6.14,18,15.79,43006
43,7,121,69,57.02,7,5.79,20,16.53,7,5.79,18,14.88,43007
43,8,153,81,52.94,9,5.88,34,22.22,7,4.58,22,14.38,43008
43,9,206,118,57.28,6,2.91,39,18.93,9,4.37,34,16.5,43009
43,10,217,127,58.53,6,2.76,48,22.12,8,3.69,28,12.9,43010
43,11,101,64,63.37,3,2.97,19,18.81,0,0.0,15,14.85,43011
43,12,130,67,51.54,11,8.46,29,22.31,9,6.92,14,10.77,43012
43,13,164,76,46.34,9,5.49,45,27.44,11,6.71,23,14.02,43013
43,14,215,142,66.05,9,4.19,30,13.95,10,4.65,24,11.16,43014
43,15,168,78,46.43,9,5.36,32,19.05,7,4.17,42,25.0,43015
43,16,123,62,50.41,7,5.69,26,21.14,9,7.32,19,15.45,43016
43,17,134,86,64.18,4,2.99,21,15.67,5,3.73,18,13.43,43017
43,18,197,105,53.3,11,5.58,49,24.87,4,2.03,28,14.21,43018
43,19,201,106,52.74,10,4.98,46,22.89,10,4.98,29,14.43,43019
43,20,165,88,53.33,8,4.85,36,21.82,9,5.45,24,14.55,43020
43,21,173,92,53.18,9,5.2,30,17.34,11,6.36,31,17.92,43021
43,22,105,49,46.67,7,6.67,26,24.76,7,6.67,16,15.24,43022
43,23,125,55,44.0,5,4.0,32,25.6,3,2.4,30,24.0,43023
43,24,121,60,49.59,8,6.61,19,15.7,10,8.26,24,19.83,43024
43,25,176,105,59.66,12,6.82,30,17.05,9,5.11,20,11.36,43025
43,26,145,94,64.83,6,4.14,24,16.55,5,3.45,16,11.03,43026
43,27,172,89,51.74,9,5.23,34,19.77,14,8.14,26,15.12,43027
43,28,206,119,57.77,13,6.31,40,19.42,4,1.94,30,14.56,43028
43,29,155,106,68.39,3,1.94,28,18.06,8,5.16,10,6.45,43029
43,30,158,86,54.43,12,7.59,26,16.46,6,3.8,28,17.72,43030
43,31,197,95,48.22,15,7.61,48,24.37,15,7.61,24,12.18,43031
43,32,192,106,55.21,2,1.04,45,23.44,13,6.77,26,13.54,43032
43,33,220,120,54.55,36,16.36,31,14.09,10,4.55,23,10.45,43033
