ward,precinct,total,MICHAEL P. MCAULIFFE (BUSH),MICHAEL P. MCAULIFFE (BUSH) Percent,TRIPTI SHAH KASAL (BUSH),TRIPTI SHAH KASAL (BUSH) Percent,EDWARD GREEN (KEYES),EDWARD GREEN (KEYES) Percent,LAWRENCE HANISH (FORBES),LAWRENCE HANISH (FORBES) Percent,JAMES E. ABBOTT (McCAIN),JAMES E. ABBOTT (McCAIN) Percent,precinct_id
44,13,22,9,40.91,6,27.27,3,13.64,0,0.0,4,18.18,44013
44,14,31,12,38.71,9,29.03,0,0.0,1,3.23,9,29.03,44014
44,16,25,12,48.0,10,40.0,3,12.0,0,0.0,0,0.0,44016
44,20,15,6,40.0,5,33.33,1,6.67,2,13.33,1,6.67,44020
44,25,23,7,30.43,6,26.09,3,13.04,1,4.35,6,26.09,44025
44,27,35,14,40.0,12,34.29,2,5.71,0,0.0,7,20.0,44027
44,29,29,7,24.14,7,24.14,6,20.69,1,3.45,8,27.59,44029
44,38,20,8,40.0,4,20.0,3,15.0,2,10.0,3,15.0,44038
44,39,29,10,34.48,12,41.38,0,0.0,1,3.45,6,20.69,44039
44,40,37,18,48.65,14,37.84,0,0.0,0,0.0,5,13.51,44040
44,43,38,17,44.74,14,36.84,2,5.26,0,0.0,5,13.16,44043
44,47,37,15,40.54,12,32.43,4,10.81,0,0.0,6,16.22,44047
44,50,29,12,41.38,9,31.03,1,3.45,2,6.9,5,17.24,44050
45,7,31,14,45.16,10,32.26,3,9.68,0,0.0,4,12.9,45007
45,8,20,9,45.0,5,25.0,3,15.0,0,0.0,3,15.0,45008
45,10,39,14,35.9,11,28.21,5,12.82,2,5.13,7,17.95,45010
45,12,35,15,42.86,9,25.71,4,11.43,2,5.71,5,14.29,45012
45,14,21,9,42.86,6,28.57,2,9.52,0,0.0,4,19.05,45014
45,16,18,10,55.56,5,27.78,1,5.56,0,0.0,2,11.11,45016
45,18,18,10,55.56,5,27.78,1,5.56,0,0.0,2,11.11,45018
45,20,31,13,41.94,12,38.71,3,9.68,0,0.0,3,9.68,45020
45,24,62,25,40.32,21,33.87,10,16.13,2,3.23,4,6.45,45024
45,25,18,6,33.33,4,22.22,4,22.22,0,0.0,4,22.22,45025
45,26,17,8,47.06,3,17.65,3,17.65,0,0.0,3,17.65,45026
45,28,20,11,55.0,4,20.0,1,5.0,2,10.0,2,10.0,45028
45,29,30,13,43.33,11,36.67,3,10.0,0,0.0,3,10.0,45029
45,31,19,9,47.37,4,21.05,2,10.53,1,5.26,3,15.79,45031
45,35,32,14,43.75,10,31.25,6,18.75,1,3.13,1,3.13,45035
45,37,19,7,36.84,4,21.05,4,21.05,1,5.26,3,15.79,45037
45,38,32,14,43.75,11,34.38,1,3.13,3,9.38,3,9.38,45038
45,39,39,20,51.28,7,17.95,3,7.69,2,5.13,7,17.95,45039
45,40,17,6,35.29,5,29.41,3,17.65,1,5.88,2,11.76,45040
45,41,27,13,48.15,9,33.33,3,11.11,1,3.7,1,3.7,45041
45,42,27,11,40.74,7,25.93,4,14.81,2,7.41,3,11.11,45042
45,43,36,18,50.0,11,30.56,2,5.56,2,5.56,3,8.33,45043
45,45,44,20,45.45,15,34.09,4,9.09,1,2.27,4,9.09,45045
45,46,15,5,33.33,4,26.67,1,6.67,1,6.67,4,26.67,45046
45,47,36,13,36.11,9,25.0,4,11.11,4,11.11,6,16.67,45047
45,48,27,11,40.74,11,40.74,3,11.11,0,0.0,2,7.41,45048
45,50,27,16,59.26,9,33.33,2,7.41,0,0.0,0,0.0,45050
45,53,26,12,46.15,10,38.46,2,7.69,0,0.0,2,7.69,45053
45,55,51,21,41.18,14,27.45,6,11.76,3,5.88,7,13.73,45055
45,56,32,16,50.0,12,37.5,3,9.38,0,0.0,1,3.13,45056
47,1,13,4,30.77,3,23.08,3,23.08,0,0.0,3,23.08,47001
47,2,20,10,50.0,4,20.0,0,0.0,2,10.0,4,20.0,47002
47,3,14,6,42.86,4,28.57,1,7.14,1,7.14,2,14.29,47003
47,4,16,6,37.5,7,43.75,0,0.0,0,0.0,3,18.75,47004
47,5,17,6,35.29,3,17.65,2,11.76,1,5.88,5,29.41,47005
47,6,15,8,53.33,2,13.33,2,13.33,0,0.0,3,20.0,47006
47,7,32,11,34.38,7,21.88,5,15.63,2,6.25,7,21.88,47007
47,8,19,8,42.11,8,42.11,2,10.53,0,0.0,1,5.26,47008
47,9,20,7,35.0,5,25.0,3,15.0,0,0.0,5,25.0,47009
47,10,23,9,39.13,4,17.39,2,8.7,1,4.35,7,30.43,47010
47,11,19,7,36.84,5,26.32,2,10.53,1,5.26,4,21.05,47011
47,12,27,8,29.63,8,29.63,4,14.81,3,11.11,4,14.81,47012
47,13,21,7,33.33,6,28.57,4,19.05,0,0.0,4,19.05,47013
47,14,13,6,46.15,5,38.46,0,0.0,1,7.69,1,7.69,47014
47,15,9,2,22.22,1,11.11,0,0.0,0,0.0,6,66.67,47015
47,16,2,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,47016
47,17,13,6,46.15,4,30.77,0,0.0,1,7.69,2,15.38,47017
47,18,10,4,40.0,2,20.0,0,0.0,1,10.0,3,30.0,47018
47,19,19,6,31.58,6,31.58,2,10.53,2,10.53,3,15.79,47019
47,20,27,8,29.63,6,22.22,6,22.22,1,3.7,6,22.22,47020
47,22,4,1,25.0,0,0.0,0,0.0,0,0.0,3,75.0,47022
47,23,7,2,28.57,1,14.29,3,42.86,1,14.29,0,0.0,47023
47,24,13,4,30.77,2,15.38,1,7.69,1,7.69,5,38.46,47024
47,25,8,3,37.5,1,12.5,0,0.0,2,25.0,2,25.0,47025
47,26,39,16,41.03,9,23.08,4,10.26,3,7.69,7,17.95,47026
47,27,30,13,43.33,10,33.33,2,6.67,1,3.33,4,13.33,47027
47,28,7,4,57.14,3,42.86,0,0.0,0,0.0,0,0.0,47028
47,29,30,14,46.67,10,33.33,2,6.67,1,3.33,3,10.0,47029
47,33,10,4,40.0,2,20.0,3,30.0,0,0.0,1,10.0,47033
47,35,29,13,44.83,10,34.48,3,10.34,2,6.9,1,3.45,47035
47,36,8,2,25.0,1,12.5,1,12.5,1,12.5,3,37.5,47036
47,37,25,10,40.0,7,28.0,1,4.0,1,4.0,6,24.0,47037
47,38,15,5,33.33,1,6.67,1,6.67,1,6.67,7,46.67,47038
47,39,22,10,45.45,9,40.91,1,4.55,0,0.0,2,9.09,47039
47,40,15,5,33.33,7,46.67,0,0.0,1,6.67,2,13.33,47040
47,42,21,7,33.33,3,14.29,4,19.05,1,4.76,6,28.57,47042
47,43,25,9,36.0,9,36.0,3,12.0,0,0.0,4,16.0,47043
47,44,25,11,44.0,9,36.0,2,8.0,1,4.0,2,8.0,47044
47,45,22,8,36.36,7,31.82,3,13.64,0,0.0,4,18.18,47045
