ward,precinct,total,Rodney W. Stewart,Rodney W. Stewart Percent,Celia Louise Gamrath,Celia Louise Gamrath Percent,James A. Shapiro,James A. Shapiro Percent,Thomas N. Osran,Thomas N. Osran Percent,precinct_id
48,9,95,18,18.95,41,43.16,33,34.74,3,3.16,48009
48,10,50,4,8.0,38,76.0,7,14.0,1,2.0,48010
48,11,120,8,6.67,79,65.83,30,25.0,3,2.5,48011
48,12,77,13,16.88,45,58.44,17,22.08,2,2.6,48012
48,14,96,28,29.17,30,31.25,36,37.5,2,2.08,48014
48,15,0,0,0.0,0,0.0,0,0.0,0,0.0,48015
48,16,73,14,19.18,32,43.84,22,30.14,5,6.85,48016
48,17,86,14,16.28,54,62.79,17,19.77,1,1.16,48017
48,18,74,20,27.03,25,33.78,23,31.08,6,8.11,48018
48,19,95,10,10.53,61,64.21,23,24.21,1,1.05,48019
48,20,76,3,3.95,47,61.84,24,31.58,2,2.63,48020
48,21,117,35,29.91,47,40.17,30,25.64,5,4.27,48021
48,23,86,21,24.42,38,44.19,22,25.58,5,5.81,48023
48,24,42,3,7.14,16,38.1,22,52.38,1,2.38,48024
48,25,93,26,27.96,34,36.56,29,31.18,4,4.3,48025
48,26,97,18,18.56,41,42.27,33,34.02,5,5.15,48026
48,27,94,24,25.53,29,30.85,38,40.43,3,3.19,48027
48,28,101,9,8.91,54,53.47,34,33.66,4,3.96,48028
48,29,141,9,6.38,72,51.06,58,41.13,2,1.42,48029
48,30,103,9,8.74,59,57.28,32,31.07,3,2.91,48030
48,31,66,15,22.73,29,43.94,18,27.27,4,6.06,48031
48,32,26,3,11.54,13,50.0,9,34.62,1,3.85,48032
48,34,81,14,17.28,36,44.44,30,37.04,1,1.23,48034
48,35,89,15,16.85,39,43.82,31,34.83,4,4.49,48035
48,36,79,15,18.99,40,50.63,22,27.85,2,2.53,48036
48,37,56,3,5.36,24,42.86,27,48.21,2,3.57,48037
48,38,137,6,4.38,93,67.88,29,21.17,9,6.57,48038
48,39,87,13,14.94,44,50.57,27,31.03,3,3.45,48039
48,42,82,6,7.32,43,52.44,29,35.37,4,4.88,48042
48,43,91,7,7.69,50,54.95,31,34.07,3,3.3,48043
48,44,101,11,10.89,59,58.42,29,28.71,2,1.98,48044
48,45,64,7,10.94,33,51.56,22,34.38,2,3.13,48045
48,46,109,15,13.76,47,43.12,45,41.28,2,1.83,48046
48,47,61,16,26.23,17,27.87,23,37.7,5,8.2,48047
48,48,93,11,11.83,54,58.06,27,29.03,1,1.08,48048
48,49,17,2,11.76,6,35.29,8,47.06,1,5.88,48049
48,50,96,9,9.38,58,60.42,26,27.08,3,3.13,48050
48,51,148,13,8.78,87,58.78,44,29.73,4,2.7,48051
48,52,62,8,12.9,29,46.77,21,33.87,4,6.45,48052
49,17,15,1,6.67,11,73.33,3,20.0,0,0.0,49017
