ward,precinct,total,John Cameron (Obama),John Cameron (Obama) Percent,Dan Montgomery (Obama),Dan Montgomery (Obama) Percent,Lakshmi Lakshmanan (Obama),Lakshmi Lakshmanan (Obama) Percent,Debra Shore (Obama),Debra Shore (Obama) Percent,Josina Morita (Obama),Josina Morita (Obama) Percent,Modesto Valle (Obama),Modesto Valle (Obama) Percent,Lou Lang (Obama),Lou Lang (Obama) Percent,Heather Steans (Obama),Heather Steans (Obama) Percent,Tom Tunney (Obama),Tom Tunney (Obama) Percent,precinct_id
50,33,236,27,11.44,27,11.44,26,11.02,27,11.44,23,9.75,24,10.17,29,12.29,26,11.02,27,11.44,50033
50,34,467,51,10.92,53,11.35,51,10.92,61,13.06,48,10.28,50,10.71,49,10.49,54,11.56,50,10.71,50034
50,35,832,92,11.06,88,10.58,89,10.7,100,12.02,87,10.46,87,10.46,98,11.78,94,11.3,97,11.66,50035
50,36,565,66,11.68,62,10.97,61,10.8,68,12.04,62,10.97,58,10.27,66,11.68,62,10.97,60,10.62,50036
50,37,678,77,11.36,72,10.62,74,10.91,79,11.65,70,10.32,70,10.32,83,12.24,73,10.77,80,11.8,50037
50,38,575,64,11.13,63,10.96,63,10.96,65,11.3,62,10.78,61,10.61,69,12.0,63,10.96,65,11.3,50038
50,39,253,29,11.46,28,11.07,27,10.67,33,13.04,24,9.49,26,10.28,31,12.25,26,10.28,29,11.46,50039
50,40,281,32,11.39,29,10.32,32,11.39,33,11.74,29,10.32,30,10.68,36,12.81,29,10.32,31,11.03,50040
50,41,525,58,11.05,57,10.86,56,10.67,61,11.62,55,10.48,55,10.48,64,12.19,60,11.43,59,11.24,50041
50,42,581,65,11.19,62,10.67,63,10.84,67,11.53,63,10.84,64,11.02,65,11.19,65,11.19,67,11.53,50042
50,43,348,40,11.49,34,9.77,38,10.92,47,13.51,39,11.21,37,10.63,37,10.63,37,10.63,39,11.21,50043
