ward,precinct,total,Sum Chu Ma (Obama),Sum Chu Ma (Obama) Percent,George Cardenas (Obama),George Cardenas (Obama) Percent,Antonio Munoz (Obama),Antonio Munoz (Obama) Percent,Raul Raymundo (Obama),Raul Raymundo (Obama) Percent,Suleyma Perez (Obama),Suleyma Perez (Obama) Percent,Celena Roldan (Obama),Celena Roldan (Obama) Percent,precinct_id
36,1,283,42,14.84,49,17.31,55,19.43,46,16.25,45,15.9,46,16.25,36001
36,2,380,62,16.32,65,17.11,68,17.89,66,17.37,57,15.0,62,16.32,36002
36,3,968,160,16.53,170,17.56,175,18.08,155,16.01,148,15.29,160,16.53,36003
36,4,147,23,15.65,22,14.97,30,20.41,25,17.01,24,16.33,23,15.65,36004
36,10,341,54,15.84,59,17.3,61,17.89,52,15.25,57,16.72,58,17.01,36010
36,14,387,62,16.02,68,17.57,77,19.9,56,14.47,66,17.05,58,14.99,36014
36,15,311,51,16.4,56,18.01,57,18.33,50,16.08,50,16.08,47,15.11,36015
36,16,118,20,16.95,20,16.95,21,17.8,18,15.25,20,16.95,19,16.1,36016
36,19,394,64,16.24,71,18.02,74,18.78,64,16.24,62,15.74,59,14.97,36019
36,22,506,84,16.6,84,16.6,92,18.18,79,15.61,80,15.81,87,17.19,36022
36,23,355,61,17.18,61,17.18,59,16.62,57,16.06,58,16.34,59,16.62,36023
36,45,583,94,16.12,102,17.5,101,17.32,96,16.47,93,15.95,97,16.64,36045
36,47,786,130,16.54,133,16.92,142,18.07,126,16.03,126,16.03,129,16.41,36047
36,51,399,65,16.29,69,17.29,77,19.3,60,15.04,63,15.79,65,16.29,36051
37,1,117,20,17.09,19,16.24,21,17.95,18,15.38,20,17.09,19,16.24,37001
37,11,91,12,13.19,16,17.58,19,20.88,13,14.29,17,18.68,14,15.38,37011
37,19,184,26,14.13,32,17.39,36,19.57,31,16.85,29,15.76,30,16.3,37019
37,39,207,33,15.94,38,18.36,39,18.84,32,15.46,33,15.94,32,15.46,37039
38,1,309,52,16.83,56,18.12,55,17.8,49,15.86,46,14.89,51,16.5,38001
38,2,365,58,15.89,62,16.99,62,16.99,60,16.44,56,15.34,67,18.36,38002
38,4,448,70,15.63,79,17.63,79,17.63,71,15.85,75,16.74,74,16.52,38004
38,6,400,63,15.75,68,17.0,75,18.75,63,15.75,64,16.0,67,16.75,38006
38,24,456,70,15.35,78,17.11,85,18.64,67,14.69,77,16.89,79,17.32,38024
38,30,253,40,15.81,42,16.6,50,19.76,36,14.23,41,16.21,44,17.39,38030
38,31,415,65,15.66,66,15.9,82,19.76,66,15.9,68,16.39,68,16.39,38031
38,35,515,77,14.95,92,17.86,91,17.67,87,16.89,84,16.31,84,16.31,38035
38,37,360,64,17.78,61,16.94,61,16.94,52,14.44,56,15.56,66,18.33,38037
38,39,328,51,15.55,55,16.77,65,19.82,49,14.94,54,16.46,54,16.46,38039
38,41,480,81,16.88,84,17.5,82,17.08,77,16.04,79,16.46,77,16.04,38041
39,12,177,29,16.38,32,18.08,31,17.51,29,16.38,28,15.82,28,15.82,39012
39,13,136,24,17.65,23,16.91,21,15.44,21,15.44,24,17.65,23,16.91,39013
39,21,27,3,11.11,6,22.22,6,22.22,4,14.81,4,14.81,4,14.81,39021
39,22,212,37,17.45,37,17.45,35,16.51,33,15.57,33,15.57,37,17.45,39022
39,23,160,29,18.13,25,15.63,26,16.25,25,15.63,27,16.88,28,17.5,39023
39,24,241,39,16.18,39,16.18,44,18.26,39,16.18,40,16.6,40,16.6,39024
39,28,521,87,16.7,86,16.51,93,17.85,83,15.93,83,15.93,89,17.08,39028
39,30,221,38,17.19,33,14.93,41,18.55,34,15.38,38,17.19,37,16.74,39030
39,31,208,30,14.42,38,18.27,37,17.79,35,16.83,32,15.38,36,17.31,39031
45,1,484,80,16.53,83,17.15,88,18.18,75,15.5,79,16.32,79,16.32,45001
45,16,406,69,17.0,72,17.73,71,17.49,63,15.52,67,16.5,64,15.76,45016
45,28,440,73,16.59,78,17.73,80,18.18,69,15.68,69,15.68,71,16.14,45028
