ward,precinct,total,Nichole C. Patton,Nichole C. Patton Percent,Kevin W. Horan,Kevin W. Horan Percent,Diann Karen Marsalek,Diann Karen Marsalek Percent,Rodrick F. Wimberly,Rodrick F. Wimberly Percent,precinct_id
8,58,151,44,29.14,18,11.92,57,37.75,32,21.19,08058
8,59,68,16,23.53,8,11.76,35,51.47,9,13.24,08059
8,60,144,58,40.28,11,7.64,41,28.47,34,23.61,08060
8,61,102,48,47.06,9,8.82,23,22.55,22,21.57,08061
8,62,200,101,50.5,25,12.5,33,16.5,41,20.5,08062
8,63,157,59,37.58,21,13.38,38,24.2,39,24.84,08063
8,64,105,43,40.95,15,14.29,27,25.71,20,19.05,08064
9,1,146,62,42.47,16,10.96,29,19.86,39,26.71,09001
9,2,115,52,45.22,17,14.78,28,24.35,18,15.65,09002
9,3,41,13,31.71,6,14.63,5,12.2,17,41.46,09003
9,4,140,62,44.29,19,13.57,18,12.86,41,29.29,09004
9,5,130,61,46.92,16,12.31,33,25.38,20,15.38,09005
9,6,199,76,38.19,27,13.57,39,19.6,57,28.64,09006
9,7,123,62,50.41,26,21.14,17,13.82,18,14.63,09007
9,8,106,43,40.57,13,12.26,27,25.47,23,21.7,09008
9,9,176,68,38.64,22,12.5,29,16.48,57,32.39,09009
9,10,109,45,41.28,13,11.93,23,21.1,28,25.69,09010
9,11,75,36,48.0,11,14.67,19,25.33,9,12.0,09011
9,12,94,40,42.55,12,12.77,18,19.15,24,25.53,09012
9,13,199,86,43.22,26,13.07,41,20.6,46,23.12,09013
9,14,169,74,43.79,23,13.61,28,16.57,44,26.04,09014
9,15,107,44,41.12,17,15.89,27,25.23,19,17.76,09015
9,16,152,67,44.08,25,16.45,34,22.37,26,17.11,09016
9,17,76,33,43.42,7,9.21,23,30.26,13,17.11,09017
9,18,122,47,38.52,29,23.77,26,21.31,20,16.39,09018
9,19,134,51,38.06,24,17.91,30,22.39,29,21.64,09019
9,20,161,64,39.75,23,14.29,26,16.15,48,29.81,09020
9,21,143,43,30.07,19,13.29,49,34.27,32,22.38,09021
9,22,202,82,40.59,23,11.39,39,19.31,58,28.71,09022
9,23,99,42,42.42,14,14.14,30,30.3,13,13.13,09023
9,24,84,29,34.52,15,17.86,15,17.86,25,29.76,09024
9,25,79,17,21.52,22,27.85,30,37.97,10,12.66,09025
9,26,64,19,29.69,11,17.19,19,29.69,15,23.44,09026
9,27,98,38,38.78,13,13.27,24,24.49,23,23.47,09027
9,28,39,16,41.03,8,20.51,14,35.9,1,2.56,09028
9,29,69,30,43.48,6,8.7,17,24.64,16,23.19,09029
9,30,68,24,35.29,10,14.71,22,32.35,12,17.65,09030
9,31,103,46,44.66,9,8.74,23,22.33,25,24.27,09031
9,32,176,72,40.91,19,10.8,45,25.57,40,22.73,09032
9,33,73,25,34.25,12,16.44,15,20.55,21,28.77,09033
9,34,119,65,54.62,21,17.65,19,15.97,14,11.76,09034
9,35,261,127,48.66,33,12.64,51,19.54,50,19.16,09035
9,36,150,66,44.0,18,12.0,35,23.33,31,20.67,09036
9,37,92,30,32.61,18,19.57,30,32.61,14,15.22,09037
9,38,104,45,43.27,16,15.38,15,14.42,28,26.92,09038
9,39,206,67,32.52,32,15.53,37,17.96,70,33.98,09039
9,40,220,82,37.27,28,12.73,52,23.64,58,26.36,09040
9,41,131,45,34.35,20,15.27,28,21.37,38,29.01,09041
9,42,52,27,51.92,5,9.62,13,25.0,7,13.46,09042
9,43,53,25,47.17,4,7.55,14,26.42,10,18.87,09043
9,44,64,26,40.63,12,18.75,11,17.19,15,23.44,09044
9,45,206,94,45.63,29,14.08,52,25.24,31,15.05,09045
9,46,62,23,37.1,7,11.29,11,17.74,21,33.87,09046
9,47,165,62,37.58,18,10.91,30,18.18,55,33.33,09047
10,1,97,30,30.93,16,16.49,36,37.11,15,15.46,10001
10,2,41,10,24.39,6,14.63,23,56.1,2,4.88,10002
10,3,76,12,15.79,13,17.11,49,64.47,2,2.63,10003
10,4,48,21,43.75,8,16.67,18,37.5,1,2.08,10004
10,5,66,22,33.33,12,18.18,31,46.97,1,1.52,10005
10,6,118,45,38.14,16,13.56,36,30.51,21,17.8,10006
10,7,62,23,37.1,11,17.74,24,38.71,4,6.45,10007
10,8,54,10,18.52,11,20.37,26,48.15,7,12.96,10008
10,9,57,11,19.3,15,26.32,29,50.88,2,3.51,10009
10,10,58,10,17.24,14,24.14,32,55.17,2,3.45,10010
10,11,60,15,25.0,12,20.0,31,51.67,2,3.33,10011
10,12,47,16,34.04,9,19.15,20,42.55,2,4.26,10012
10,13,98,32,32.65,15,15.31,48,48.98,3,3.06,10013
10,14,59,16,27.12,10,16.95,32,54.24,1,1.69,10014
10,15,25,6,24.0,5,20.0,12,48.0,2,8.0,10015
10,16,63,9,14.29,15,23.81,37,58.73,2,3.17,10016
10,17,59,10,16.95,8,13.56,37,62.71,4,6.78,10017
10,18,32,13,40.63,3,9.38,15,46.88,1,3.13,10018
10,19,69,11,15.94,17,24.64,36,52.17,5,7.25,10019
10,20,49,9,18.37,9,18.37,25,51.02,6,12.24,10020
10,21,60,15,25.0,2,3.33,41,68.33,2,3.33,10021
10,22,52,27,51.92,11,21.15,10,19.23,4,7.69,10022
10,23,39,11,28.21,8,20.51,18,46.15,2,5.13,10023
10,24,59,11,18.64,13,22.03,32,54.24,3,5.08,10024
10,25,66,21,31.82,12,18.18,22,33.33,11,16.67,10025
10,26,39,11,28.21,5,12.82,18,46.15,5,12.82,10026
10,27,71,13,18.31,13,18.31,42,59.15,3,4.23,10027
10,28,85,33,38.82,17,20.0,25,29.41,10,11.76,10028
10,29,87,34,39.08,6,6.9,33,37.93,14,16.09,10029
10,30,53,15,28.3,15,28.3,14,26.42,9,16.98,10030
10,31,59,15,25.42,14,23.73,28,47.46,2,3.39,10031
10,32,51,18,35.29,10,19.61,18,35.29,5,9.8,10032
10,33,54,17,31.48,7,12.96,24,44.44,6,11.11,10033
10,34,48,15,31.25,13,27.08,16,33.33,4,8.33,10034
10,35,61,18,29.51,8,13.11,32,52.46,3,4.92,10035
10,36,68,26,38.24,13,19.12,21,30.88,8,11.76,10036
10,37,46,17,36.96,11,23.91,14,30.43,4,8.7,10037
10,38,66,16,24.24,14,21.21,32,48.48,4,6.06,10038
10,39,63,19,30.16,8,12.7,34,53.97,2,3.17,10039
10,40,63,15,23.81,7,11.11,32,50.79,9,14.29,10040
10,41,83,17,20.48,20,24.1,44,53.01,2,2.41,10041
10,42,58,15,25.86,13,22.41,29,50.0,1,1.72,10042
10,43,26,12,46.15,4,15.38,4,15.38,6,23.08,10043
10,44,57,15,26.32,8,14.04,33,57.89,1,1.75,10044
10,45,60,13,21.67,4,6.67,39,65.0,4,6.67,10045
10,46,47,13,27.66,6,12.77,23,48.94,5,10.64,10046
11,1,108,22,20.37,27,25.0,54,50.0,5,4.63,11001
11,2,96,23,23.96,16,16.67,49,51.04,8,8.33,11002
11,3,64,7,10.94,9,14.06,46,71.88,2,3.13,11003
11,4,78,22,28.21,12,15.38,40,51.28,4,5.13,11004
11,5,54,13,24.07,12,22.22,23,42.59,6,11.11,11005
11,6,112,20,17.86,22,19.64,62,55.36,8,7.14,11006
11,7,88,16,18.18,10,11.36,57,64.77,5,5.68,11007
11,8,90,18,20.0,19,21.11,51,56.67,2,2.22,11008
11,9,73,16,21.92,8,10.96,46,63.01,3,4.11,11009
11,10,53,8,15.09,8,15.09,31,58.49,6,11.32,11010
11,11,99,18,18.18,18,18.18,62,62.63,1,1.01,11011
11,12,103,6,5.83,25,24.27,71,68.93,1,0.97,11012
11,13,88,15,17.05,20,22.73,48,54.55,5,5.68,11013
11,14,60,15,25.0,11,18.33,33,55.0,1,1.67,11014
11,15,85,10,11.76,23,27.06,47,55.29,5,5.88,11015
11,16,106,24,22.64,16,15.09,59,55.66,7,6.6,11016
11,17,135,27,20.0,26,19.26,76,56.3,6,4.44,11017
11,18,61,21,34.43,12,19.67,24,39.34,4,6.56,11018
11,19,60,9,15.0,23,38.33,24,40.0,4,6.67,11019
11,20,95,8,8.42,13,13.68,74,77.89,0,0.0,11020
11,21,126,14,11.11,26,20.63,83,65.87,3,2.38,11021
11,22,86,11,12.79,19,22.09,54,62.79,2,2.33,11022
11,23,73,12,16.44,12,16.44,45,61.64,4,5.48,11023
11,24,236,22,9.32,36,15.25,177,75.0,1,0.42,11024
11,25,72,8,11.11,13,18.06,50,69.44,1,1.39,11025
11,26,120,15,12.5,24,20.0,78,65.0,3,2.5,11026
11,27,58,11,18.97,11,18.97,34,58.62,2,3.45,11027
11,28,60,10,16.67,10,16.67,34,56.67,6,10.0,11028
11,29,92,28,30.43,21,22.83,37,40.22,6,6.52,11029
11,30,83,16,19.28,14,16.87,51,61.45,2,2.41,11030
11,31,75,8,10.67,10,13.33,56,74.67,1,1.33,11031
11,32,72,6,8.33,18,25.0,47,65.28,1,1.39,11032
11,33,57,12,21.05,12,21.05,32,56.14,1,1.75,11033
11,34,51,17,33.33,6,11.76,20,39.22,8,15.69,11034
11,35,112,14,12.5,24,21.43,71,63.39,3,2.68,11035
11,36,18,4,22.22,4,22.22,10,55.56,0,0.0,11036
11,37,108,11,10.19,19,17.59,75,69.44,3,2.78,11037
11,38,138,13,9.42,23,16.67,100,72.46,2,1.45,11038
11,39,124,24,19.35,20,16.13,77,62.1,3,2.42,11039
11,40,60,10,16.67,13,21.67,33,55.0,4,6.67,11040
11,41,60,10,16.67,13,21.67,36,60.0,1,1.67,11041
11,42,66,13,19.7,14,21.21,36,54.55,3,4.55,11042
11,43,78,19,24.36,15,19.23,41,52.56,3,3.85,11043
11,44,89,17,19.1,22,24.72,46,51.69,4,4.49,11044
11,45,35,4,11.43,5,14.29,23,65.71,3,8.57,11045
11,46,62,17,27.42,8,12.9,32,51.61,5,8.06,11046
11,47,66,11,16.67,13,19.7,40,60.61,2,3.03,11047
11,48,37,5,13.51,9,24.32,23,62.16,0,0.0,11048
11,49,75,15,20.0,23,30.67,33,44.0,4,5.33,11049
11,50,54,13,24.07,10,18.52,29,53.7,2,3.7,11050
12,1,70,27,38.57,21,30.0,18,25.71,4,5.71,12001
12,2,61,19,31.15,17,27.87,20,32.79,5,8.2,12002
12,3,48,13,27.08,13,27.08,15,31.25,7,14.58,12003
12,4,29,11,37.93,8,27.59,9,31.03,1,3.45,12004
12,5,43,15,34.88,10,23.26,13,30.23,5,11.63,12005
12,6,56,23,41.07,13,23.21,13,23.21,7,12.5,12006
12,7,83,37,44.58,20,24.1,20,24.1,6,7.23,12007
12,8,91,28,30.77,16,17.58,37,40.66,10,10.99,12008
12,9,39,16,41.03,9,23.08,11,28.21,3,7.69,12009
12,10,80,27,33.75,18,22.5,30,37.5,5,6.25,12010
12,11,122,44,36.07,30,24.59,39,31.97,9,7.38,12011
12,12,61,17,27.87,22,36.07,16,26.23,6,9.84,12012
12,13,98,35,35.71,22,22.45,31,31.63,10,10.2,12013
12,14,44,11,25.0,18,40.91,10,22.73,5,11.36,12014
12,15,58,20,34.48,9,15.52,21,36.21,8,13.79,12015
12,16,40,10,25.0,8,20.0,17,42.5,5,12.5,12016
12,17,78,22,28.21,16,20.51,28,35.9,12,15.38,12017
12,18,89,37,41.57,21,23.6,26,29.21,5,5.62,12018
12,19,75,26,34.67,28,37.33,19,25.33,2,2.67,12019
12,20,44,17,38.64,14,31.82,9,20.45,4,9.09,12020
12,21,71,15,21.13,28,39.44,22,30.99,6,8.45,12021
12,22,58,25,43.1,13,22.41,16,27.59,4,6.9,12022
12,23,56,15,26.79,16,28.57,19,33.93,6,10.71,12023
12,24,68,23,33.82,10,14.71,26,38.24,9,13.24,12024
13,1,177,27,15.25,31,17.51,114,64.41,5,2.82,13001
13,2,135,27,20.0,12,8.89,92,68.15,4,2.96,13002
13,3,115,22,19.13,16,13.91,66,57.39,11,9.57,13003
13,4,230,35,15.22,48,20.87,139,60.43,8,3.48,13004
13,5,154,36,23.38,18,11.69,94,61.04,6,3.9,13005
13,6,96,19,19.79,26,27.08,49,51.04,2,2.08,13006
13,7,144,23,15.97,15,10.42,101,70.14,5,3.47,13007
13,8,183,29,15.85,29,15.85,118,64.48,7,3.83,13008
13,9,141,23,16.31,28,19.86,85,60.28,5,3.55,13009
13,10,79,18,22.78,24,30.38,30,37.97,7,8.86,13010
13,11,80,20,25.0,36,45.0,16,20.0,8,10.0,13011
13,12,133,21,15.79,23,17.29,84,63.16,5,3.76,13012
13,13,208,28,13.46,27,12.98,149,71.63,4,1.92,13013
13,14,141,26,18.44,25,17.73,88,62.41,2,1.42,13014
13,15,220,41,18.64,23,10.45,146,66.36,10,4.55,13015
13,16,188,31,16.49,33,17.55,113,60.11,11,5.85,13016
13,17,161,26,16.15,21,13.04,104,64.6,10,6.21,13017
13,18,117,33,28.21,20,17.09,58,49.57,6,5.13,13018
13,19,163,24,14.72,17,10.43,118,72.39,4,2.45,13019
13,20,115,39,33.91,23,20.0,46,40.0,7,6.09,13020
13,21,98,34,34.69,15,15.31,38,38.78,11,11.22,13021
13,22,120,30,25.0,22,18.33,64,53.33,4,3.33,13022
13,23,126,16,12.7,21,16.67,86,68.25,3,2.38,13023
13,24,159,16,10.06,10,6.29,129,81.13,4,2.52,13024
13,25,130,24,18.46,24,18.46,76,58.46,6,4.62,13025
13,26,218,25,11.47,32,14.68,158,72.48,3,1.38,13026
13,27,161,39,24.22,31,19.25,86,53.42,5,3.11,13027
13,28,97,22,22.68,16,16.49,56,57.73,3,3.09,13028
13,29,141,20,14.18,17,12.06,97,68.79,7,4.96,13029
13,30,204,34,16.67,31,15.2,129,63.24,10,4.9,13030
13,31,109,35,32.11,20,18.35,48,44.04,6,5.5,13031
13,32,100,38,38.0,13,13.0,39,39.0,10,10.0,13032
13,33,160,18,11.25,19,11.88,121,75.63,2,1.25,13033
13,34,259,18,6.95,14,5.41,222,85.71,5,1.93,13034
13,35,197,22,11.17,24,12.18,147,74.62,4,2.03,13035
13,36,88,23,26.14,9,10.23,53,60.23,3,3.41,13036
13,37,180,38,21.11,22,12.22,112,62.22,8,4.44,13037
13,38,106,21,19.81,26,24.53,51,48.11,8,7.55,13038
13,39,157,28,17.83,16,10.19,109,69.43,4,2.55,13039
13,40,207,32,15.46,31,14.98,137,66.18,7,3.38,13040
13,41,157,29,18.47,21,13.38,102,64.97,5,3.18,13041
13,42,157,28,17.83,35,22.29,85,54.14,9,5.73,13042
13,43,214,43,20.09,40,18.69,121,56.54,10,4.67,13043
13,44,376,11,2.93,15,3.99,346,92.02,4,1.06,13044
13,45,220,31,14.09,29,13.18,150,68.18,10,4.55,13045
13,46,159,27,16.98,30,18.87,95,59.75,7,4.4,13046
13,47,170,42,24.71,31,18.24,92,54.12,5,2.94,13047
14,1,120,26,21.67,22,18.33,66,55.0,6,5.0,14001
14,2,153,24,15.69,23,15.03,102,66.67,4,2.61,14002
14,3,84,23,27.38,11,13.1,46,54.76,4,4.76,14003
14,4,75,18,24.0,17,22.67,34,45.33,6,8.0,14004
14,5,99,18,18.18,9,9.09,69,69.7,3,3.03,14005
14,6,49,11,22.45,10,20.41,25,51.02,3,6.12,14006
14,7,119,28,23.53,11,9.24,67,56.3,13,10.92,14007
14,8,76,18,23.68,16,21.05,37,48.68,5,6.58,14008
14,9,108,27,25.0,25,23.15,55,50.93,1,0.93,14009
14,10,72,10,13.89,10,13.89,46,63.89,6,8.33,14010
14,11,81,4,4.94,13,16.05,64,79.01,0,0.0,14011
14,12,94,18,19.15,17,18.09,53,56.38,6,6.38,14012
14,13,81,9,11.11,13,16.05,53,65.43,6,7.41,14013
14,14,109,22,20.18,16,14.68,68,62.39,3,2.75,14014
14,15,108,25,23.15,17,15.74,63,58.33,3,2.78,14015
14,16,80,18,22.5,13,16.25,48,60.0,1,1.25,14016
14,17,67,18,26.87,9,13.43,37,55.22,3,4.48,14017
14,18,46,10,21.74,6,13.04,26,56.52,4,8.7,14018
14,19,86,14,16.28,15,17.44,51,59.3,6,6.98,14019
14,20,51,10,19.61,3,5.88,36,70.59,2,3.92,14020
14,21,93,14,15.05,6,6.45,72,77.42,1,1.08,14021
14,22,150,36,24.0,33,22.0,72,48.0,9,6.0,14022
14,23,74,18,24.32,13,17.57,43,58.11,0,0.0,14023
14,24,64,9,14.06,6,9.38,45,70.31,4,6.25,14024
14,25,62,7,11.29,11,17.74,42,67.74,2,3.23,14025
14,26,48,12,25.0,9,18.75,25,52.08,2,4.17,14026
14,27,97,19,19.59,18,18.56,55,56.7,5,5.15,14027
14,28,68,10,14.71,5,7.35,50,73.53,3,4.41,14028
14,29,125,14,11.2,16,12.8,85,68.0,10,8.0,14029
14,30,98,15,15.31,11,11.22,66,67.35,6,6.12,14030
14,31,53,15,28.3,10,18.87,24,45.28,4,7.55,14031
14,32,56,19,33.93,10,17.86,23,41.07,4,7.14,14032
15,1,102,28,27.45,21,20.59,43,42.16,10,9.8,15001
15,2,42,11,26.19,7,16.67,19,45.24,5,11.9,15002
15,3,44,22,50.0,6,13.64,6,13.64,10,22.73,15003
15,4,96,45,46.88,10,10.42,21,21.88,20,20.83,15004
15,5,34,18,52.94,6,17.65,6,17.65,4,11.76,15005
15,6,40,15,37.5,9,22.5,9,22.5,7,17.5,15006
15,7,66,26,39.39,6,9.09,19,28.79,15,22.73,15007
15,8,65,29,44.62,9,13.85,22,33.85,5,7.69,15008
15,9,93,48,51.61,11,11.83,22,23.66,12,12.9,15009
15,10,26,5,19.23,5,19.23,16,61.54,0,0.0,15010
15,11,53,13,24.53,5,9.43,20,37.74,15,28.3,15011
15,12,35,15,42.86,6,17.14,8,22.86,6,17.14,15012
15,13,56,13,23.21,13,23.21,19,33.93,11,19.64,15013
15,14,49,14,28.57,13,26.53,16,32.65,6,12.24,15014
15,15,28,12,42.86,3,10.71,11,39.29,2,7.14,15015
15,16,25,8,32.0,2,8.0,11,44.0,4,16.0,15016
15,17,56,24,42.86,5,8.93,19,33.93,8,14.29,15017
15,18,100,43,43.0,20,20.0,19,19.0,18,18.0,15018
15,19,68,31,45.59,13,19.12,17,25.0,7,10.29,15019
15,20,39,18,46.15,10,25.64,8,20.51,3,7.69,15020
15,21,66,30,45.45,10,15.15,18,27.27,8,12.12,15021
15,22,72,33,45.83,8,11.11,18,25.0,13,18.06,15022
15,23,104,32,30.77,18,17.31,34,32.69,20,19.23,15023
15,24,50,31,62.0,5,10.0,10,20.0,4,8.0,15024
15,25,44,12,27.27,5,11.36,19,43.18,8,18.18,15025
15,26,98,40,40.82,23,23.47,23,23.47,12,12.24,15026
15,27,51,25,49.02,10,19.61,10,19.61,6,11.76,15027
15,28,67,19,28.36,10,14.93,34,50.75,4,5.97,15028
15,29,11,4,36.36,3,27.27,2,18.18,2,18.18,15029
15,30,36,12,33.33,5,13.89,14,38.89,5,13.89,15030
15,31,87,38,43.68,10,11.49,23,26.44,16,18.39,15031
15,32,42,20,47.62,8,19.05,11,26.19,3,7.14,15032
15,33,46,20,43.48,7,15.22,9,19.57,10,21.74,15033
15,34,43,19,44.19,4,9.3,15,34.88,5,11.63,15034
15,35,52,21,40.38,8,15.38,15,28.85,8,15.38,15035
15,36,69,35,50.72,8,11.59,16,23.19,10,14.49,15036
15,37,45,21,46.67,5,11.11,12,26.67,7,15.56,15037
15,38,71,36,50.7,17,23.94,11,15.49,7,9.86,15038
15,39,30,17,56.67,5,16.67,4,13.33,4,13.33,15039
15,40,31,15,48.39,5,16.13,9,29.03,2,6.45,15040
15,41,84,33,39.29,15,17.86,25,29.76,11,13.1,15041
15,42,106,41,38.68,17,16.04,33,31.13,15,14.15,15042
16,1,33,11,33.33,10,30.3,7,21.21,5,15.15,16001
16,2,32,17,53.13,6,18.75,6,18.75,3,9.38,16002
16,3,53,20,37.74,13,24.53,10,18.87,10,18.87,16003
16,4,25,13,52.0,3,12.0,7,28.0,2,8.0,16004
16,5,45,17,37.78,4,8.89,16,35.56,8,17.78,16005
16,6,23,13,56.52,3,13.04,5,21.74,2,8.7,16006
16,7,52,23,44.23,6,11.54,11,21.15,12,23.08,16007
16,8,39,22,56.41,5,12.82,6,15.38,6,15.38,16008
16,9,89,44,49.44,13,14.61,17,19.1,15,16.85,16009
16,10,71,38,53.52,11,15.49,12,16.9,10,14.08,16010
16,11,52,23,44.23,18,34.62,9,17.31,2,3.85,16011
16,12,91,44,48.35,13,14.29,16,17.58,18,19.78,16012
16,13,35,14,40.0,7,20.0,11,31.43,3,8.57,16013
16,14,43,22,51.16,5,11.63,8,18.6,8,18.6,16014
16,15,59,31,52.54,12,20.34,8,13.56,8,13.56,16015
16,16,104,56,53.85,11,10.58,19,18.27,18,17.31,16016
16,17,38,18,47.37,8,21.05,10,26.32,2,5.26,16017
16,18,62,34,54.84,9,14.52,10,16.13,9,14.52,16018
16,19,63,30,47.62,14,22.22,13,20.63,6,9.52,16019
16,20,82,42,51.22,14,17.07,12,14.63,14,17.07,16020
16,21,28,12,42.86,7,25.0,8,28.57,1,3.57,16021
16,22,30,9,30.0,8,26.67,10,33.33,3,10.0,16022
16,23,25,12,48.0,4,16.0,7,28.0,2,8.0,16023
16,24,39,19,48.72,8,20.51,6,15.38,6,15.38,16024
16,25,42,12,28.57,13,30.95,9,21.43,8,19.05,16025
16,26,53,22,41.51,14,26.42,9,16.98,8,15.09,16026
16,27,112,61,54.46,19,16.96,21,18.75,11,9.82,16027
16,28,72,33,45.83,11,15.28,7,9.72,21,29.17,16028
16,29,41,23,56.1,6,14.63,6,14.63,6,14.63,16029
16,30,46,20,43.48,4,8.7,14,30.43,8,17.39,16030
16,31,61,20,32.79,13,21.31,14,22.95,14,22.95,16031
16,32,33,12,36.36,4,12.12,14,42.42,3,9.09,16032
16,33,42,24,57.14,6,14.29,8,19.05,4,9.52,16033
16,34,31,12,38.71,3,9.68,5,16.13,11,35.48,16034
16,35,28,11,39.29,8,28.57,9,32.14,0,0.0,16035
16,36,79,32,40.51,14,17.72,13,16.46,20,25.32,16036
16,37,49,28,57.14,5,10.2,10,20.41,6,12.24,16037
16,38,44,25,56.82,5,11.36,6,13.64,8,18.18,16038
16,39,42,18,42.86,9,21.43,13,30.95,2,4.76,16039
16,40,71,26,36.62,16,22.54,14,19.72,15,21.13,16040
17,1,76,41,53.95,12,15.79,18,23.68,5,6.58,17001
17,2,76,33,43.42,11,14.47,13,17.11,19,25.0,17002
17,3,71,35,49.3,11,15.49,17,23.94,8,11.27,17003
17,4,110,51,46.36,15,13.64,27,24.55,17,15.45,17004
17,5,60,23,38.33,13,21.67,14,23.33,10,16.67,17005
17,6,92,54,58.7,16,17.39,7,7.61,15,16.3,17006
17,7,83,40,48.19,9,10.84,17,20.48,17,20.48,17007
17,8,66,30,45.45,10,15.15,16,24.24,10,15.15,17008
17,9,104,57,54.81,12,11.54,21,20.19,14,13.46,17009
17,10,84,35,41.67,14,16.67,14,16.67,21,25.0,17010
17,11,57,35,61.4,6,10.53,10,17.54,6,10.53,17011
17,12,130,59,45.38,20,15.38,27,20.77,24,18.46,17012
17,13,40,20,50.0,9,22.5,6,15.0,5,12.5,17013
17,14,55,25,45.45,10,18.18,11,20.0,9,16.36,17014
17,15,65,34,52.31,10,15.38,8,12.31,13,20.0,17015
17,16,78,33,42.31,19,24.36,18,23.08,8,10.26,17016
17,17,42,21,50.0,4,9.52,8,19.05,9,21.43,17017
17,18,97,45,46.39,11,11.34,16,16.49,25,25.77,17018
17,19,35,16,45.71,6,17.14,7,20.0,6,17.14,17019
17,20,61,29,47.54,8,13.11,12,19.67,12,19.67,17020
17,21,135,64,47.41,18,13.33,24,17.78,29,21.48,17021
17,22,93,51,54.84,9,9.68,20,21.51,13,13.98,17022
17,23,101,41,40.59,19,18.81,19,18.81,22,21.78,17023
17,24,89,44,49.44,10,11.24,15,16.85,20,22.47,17024
17,25,49,22,44.9,7,14.29,10,20.41,10,20.41,17025
17,26,94,44,46.81,17,18.09,25,26.6,8,8.51,17026
17,27,111,53,47.75,15,13.51,22,19.82,21,18.92,17027
17,28,65,33,50.77,13,20.0,5,7.69,14,21.54,17028
17,29,150,64,42.67,23,15.33,38,25.33,25,16.67,17029
17,30,103,49,47.57,15,14.56,20,19.42,19,18.45,17030
17,31,78,40,51.28,9,11.54,21,26.92,8,10.26,17031
17,32,67,32,47.76,12,17.91,16,23.88,7,10.45,17032
17,33,51,28,54.9,9,17.65,7,13.73,7,13.73,17033
17,34,53,23,43.4,8,15.09,12,22.64,10,18.87,17034
17,35,107,46,42.99,14,13.08,29,27.1,18,16.82,17035
17,36,30,10,33.33,7,23.33,9,30.0,4,13.33,17036
17,37,85,40,47.06,10,11.76,21,24.71,14,16.47,17037
17,38,51,31,60.78,6,11.76,8,15.69,6,11.76,17038
17,39,62,30,48.39,10,16.13,14,22.58,8,12.9,17039
17,40,46,21,45.65,7,15.22,12,26.09,6,13.04,17040
17,41,51,26,50.98,9,17.65,10,19.61,6,11.76,17041
17,42,49,24,48.98,7,14.29,9,18.37,9,18.37,17042
17,43,45,27,60.0,5,11.11,6,13.33,7,15.56,17043
17,44,113,45,39.82,22,19.47,31,27.43,15,13.27,17044
17,45,36,21,58.33,3,8.33,6,16.67,6,16.67,17045
17,46,71,40,56.34,11,15.49,8,11.27,12,16.9,17046
17,47,79,39,49.37,12,15.19,12,15.19,16,20.25,17047
17,48,63,34,53.97,7,11.11,14,22.22,8,12.7,17048
17,49,36,17,47.22,6,16.67,7,19.44,6,16.67,17049
17,50,43,21,48.84,5,11.63,4,9.3,13,30.23,17050
17,51,57,24,42.11,9,15.79,19,33.33,5,8.77,17051
17,52,97,44,45.36,10,10.31,25,25.77,18,18.56,17052
17,53,84,37,44.05,15,17.86,18,21.43,14,16.67,17053
17,54,103,42,40.78,8,7.77,26,25.24,27,26.21,17054
17,55,59,27,45.76,9,15.25,13,22.03,10,16.95,17055
18,1,144,46,31.94,19,13.19,49,34.03,30,20.83,18001
18,2,48,14,29.17,10,20.83,16,33.33,8,16.67,18002
18,3,166,37,22.29,43,25.9,74,44.58,12,7.23,18003
18,4,261,104,39.85,42,16.09,66,25.29,49,18.77,18004
18,5,79,39,49.37,10,12.66,17,21.52,13,16.46,18005
18,6,140,30,21.43,44,31.43,49,35.0,17,12.14,18006
18,7,81,30,37.04,13,16.05,28,34.57,10,12.35,18007
18,8,48,11,22.92,8,16.67,21,43.75,8,16.67,18008
18,9,288,107,37.15,30,10.42,93,32.29,58,20.14,18009
18,10,193,66,34.2,22,11.4,60,31.09,45,23.32,18010
18,11,81,29,35.8,24,29.63,14,17.28,14,17.28,18011
18,12,115,60,52.17,11,9.57,28,24.35,16,13.91,18012
18,13,117,34,29.06,15,12.82,48,41.03,20,17.09,18013
18,14,109,36,33.03,11,10.09,37,33.94,25,22.94,18014
18,15,55,18,32.73,13,23.64,18,32.73,6,10.91,18015
18,16,148,67,45.27,16,10.81,36,24.32,29,19.59,18016
18,17,81,36,44.44,18,22.22,22,27.16,5,6.17,18017
18,18,116,48,41.38,16,13.79,27,23.28,25,21.55,18018
18,19,147,67,45.58,24,16.33,32,21.77,24,16.33,18019
18,20,219,95,43.38,27,12.33,63,28.77,34,15.53,18020
18,21,169,51,30.18,20,11.83,64,37.87,34,20.12,18021
18,22,196,92,46.94,29,14.8,40,20.41,35,17.86,18022
18,23,111,49,44.14,9,8.11,35,31.53,18,16.22,18023
18,24,159,65,40.88,21,13.21,26,16.35,47,29.56,18024
18,25,253,126,49.8,26,10.28,46,18.18,55,21.74,18025
18,26,100,46,46.0,7,7.0,29,29.0,18,18.0,18026
18,27,90,35,38.89,9,10.0,29,32.22,17,18.89,18027
18,28,110,28,25.45,33,30.0,41,37.27,8,7.27,18028
18,29,87,27,31.03,17,19.54,35,40.23,8,9.2,18029
18,30,83,38,45.78,12,14.46,22,26.51,11,13.25,18030
