ward,precinct,total,Pamela E. Hill-Veal,Pamela E. Hill-Veal Percent,Mathias William Delort,Mathias William Delort Percent,Kay Marie Hanlon,Kay Marie Hanlon Percent,James Michael McGing,James Michael McGing Percent,Laura Marie Sullivan,Laura Marie Sullivan Percent,precinct_id
7,41,96,29,30.21,15,15.63,6,6.25,9,9.38,15,15.63,07041
7,42,171,67,39.18,20,11.7,10,5.85,11,6.43,30,17.54,07042
7,43,115,44,38.26,23,20.0,4,3.48,5,4.35,15,13.04,07043
7,44,178,68,38.2,30,16.85,18,10.11,8,4.49,23,12.92,07044
7,45,185,71,38.38,44,23.78,11,5.95,12,6.49,20,10.81,07045
7,46,80,21,26.25,17,21.25,7,8.75,2,2.5,15,18.75,07046
7,47,85,41,48.24,14,16.47,1,1.18,7,8.24,7,8.24,07047
7,48,103,32,31.07,19,18.45,12,11.65,3,2.91,14,13.59,07048
7,49,219,88,40.18,45,20.55,13,5.94,12,5.48,30,13.7,07049
8,1,157,58,36.94,37,23.57,7,4.46,20,12.74,10,6.37,08001
8,2,68,33,48.53,10,14.71,2,2.94,4,5.88,8,11.76,08002
8,3,213,110,51.64,38,17.84,4,1.88,14,6.57,16,7.51,08003
8,4,302,115,38.08,49,16.23,15,4.97,57,18.87,17,5.63,08004
8,5,327,182,55.66,37,11.31,13,3.98,26,7.95,22,6.73,08005
8,6,150,54,36.0,12,8.0,10,6.67,27,18.0,16,10.67,08006
8,7,106,43,40.57,13,12.26,9,8.49,15,14.15,10,9.43,08007
8,8,171,80,46.78,20,11.7,10,5.85,23,13.45,20,11.7,08008
8,9,196,108,55.1,22,11.22,10,5.1,9,4.59,14,7.14,08009
8,10,197,105,53.3,24,12.18,7,3.55,30,15.23,14,7.11,08010
8,11,129,44,34.11,8,6.2,8,6.2,33,25.58,9,6.98,08011
8,12,109,39,35.78,19,17.43,5,4.59,24,22.02,7,6.42,08012
8,13,82,34,41.46,11,13.41,3,3.66,6,7.32,10,12.2,08013
8,14,86,15,17.44,11,12.79,8,9.3,20,23.26,8,9.3,08014
8,15,108,41,37.96,8,7.41,4,3.7,24,22.22,15,13.89,08015
8,16,164,75,45.73,19,11.59,2,1.22,30,18.29,19,11.59,08016
8,17,154,75,48.7,15,9.74,8,5.19,17,11.04,14,9.09,08017
8,18,65,25,38.46,3,4.62,1,1.54,23,35.38,7,10.77,08018
8,19,180,89,49.44,34,18.89,10,5.56,7,3.89,14,7.78,08019
8,20,213,80,37.56,27,12.68,17,7.98,36,16.9,19,8.92,08020
8,21,114,36,31.58,13,11.4,6,5.26,33,28.95,8,7.02,08021
8,22,116,42,36.21,16,13.79,7,6.03,15,12.93,10,8.62,08022
8,23,110,41,37.27,14,12.73,4,3.64,28,25.45,12,10.91,08023
8,24,145,67,46.21,17,11.72,8,5.52,11,7.59,19,13.1,08024
8,25,119,43,36.13,13,10.92,7,5.88,38,31.93,7,5.88,08025
8,26,74,29,39.19,5,6.76,4,5.41,17,22.97,11,14.86,08026
8,27,166,65,39.16,25,15.06,13,7.83,17,10.24,15,9.04,08027
8,28,251,83,33.07,38,15.14,27,10.76,50,19.92,19,7.57,08028
8,29,126,39,30.95,13,10.32,6,4.76,43,34.13,7,5.56,08029
8,30,104,42,40.38,13,12.5,10,9.62,8,7.69,8,7.69,08030
8,31,88,39,44.32,9,10.23,6,6.82,7,7.95,15,17.05,08031
8,32,197,110,55.84,21,10.66,12,6.09,9,4.57,20,10.15,08032
8,33,180,73,40.56,29,16.11,7,3.89,15,8.33,21,11.67,08033
8,34,159,63,39.62,23,14.47,11,6.92,20,12.58,12,7.55,08034
8,35,179,80,44.69,20,11.17,12,6.7,22,12.29,13,7.26,08035
8,36,144,50,34.72,12,8.33,10,6.94,33,22.92,11,7.64,08036
8,37,135,50,37.04,15,11.11,8,5.93,19,14.07,15,11.11,08037
8,38,107,44,41.12,19,17.76,6,5.61,6,5.61,10,9.35,08038
8,39,141,64,45.39,19,13.48,14,9.93,2,1.42,16,11.35,08039
8,40,104,39,37.5,7,6.73,7,6.73,29,27.88,8,7.69,08040
8,41,104,43,41.35,15,14.42,4,3.85,17,16.35,8,7.69,08041
8,42,153,53,34.64,18,11.76,14,9.15,27,17.65,15,9.8,08042
8,43,62,28,45.16,6,9.68,3,4.84,15,24.19,5,8.06,08043
8,44,108,51,47.22,5,4.63,5,4.63,5,4.63,15,13.89,08044
8,45,91,28,30.77,11,12.09,4,4.4,20,21.98,12,13.19,08045
8,46,141,47,33.33,30,21.28,11,7.8,13,9.22,12,8.51,08046
8,47,157,57,36.31,35,22.29,10,6.37,11,7.01,14,8.92,08047
8,48,116,30,25.86,16,13.79,5,4.31,31,26.72,12,10.34,08048
8,49,175,59,33.71,21,12.0,13,7.43,46,26.29,13,7.43,08049
8,50,133,53,39.85,9,6.77,4,3.01,43,32.33,6,4.51,08050
8,51,174,63,36.21,24,13.79,8,4.6,34,19.54,21,12.07,08051
8,52,144,61,42.36,12,8.33,9,6.25,30,20.83,12,8.33,08052
8,53,144,73,50.69,19,13.19,7,4.86,7,4.86,15,10.42,08053
8,54,130,56,43.08,19,14.62,4,3.08,30,23.08,4,3.08,08054
8,55,81,24,29.63,9,11.11,5,6.17,21,25.93,8,9.88,08055
8,56,130,47,36.15,9,6.92,9,6.92,39,30.0,8,6.15,08056
8,57,127,55,43.31,17,13.39,4,3.15,21,16.54,10,7.87,08057
8,58,156,59,37.82,21,13.46,10,6.41,34,21.79,11,7.05,08058
8,59,76,22,28.95,9,11.84,5,6.58,28,36.84,4,5.26,08059
8,60,154,59,38.31,14,9.09,12,7.79,28,18.18,18,11.69,08060
8,61,108,52,48.15,16,14.81,8,7.41,3,2.78,14,12.96,08061
8,62,203,94,46.31,29,14.29,11,5.42,11,5.42,16,7.88,08062
8,63,167,74,44.31,20,11.98,7,4.19,23,13.77,21,12.57,08063
8,64,113,46,40.71,27,23.89,6,5.31,7,6.19,10,8.85,08064
9,1,149,71,47.65,23,15.44,6,4.03,7,4.7,9,6.04,09001
9,2,125,44,35.2,18,14.4,11,8.8,6,4.8,18,14.4,09002
9,3,43,22,51.16,1,2.33,1,2.33,1,2.33,6,13.95,09003
9,4,147,61,41.5,21,14.29,15,10.2,6,4.08,15,10.2,09004
9,5,138,52,37.68,27,19.57,8,5.8,10,7.25,19,13.77,09005
9,6,211,93,44.08,35,16.59,16,7.58,10,4.74,19,9.0,09006
9,7,139,59,42.45,13,9.35,11,7.91,12,8.63,18,12.95,09007
9,8,109,39,35.78,14,12.84,14,12.84,8,7.34,12,11.01,09008
9,9,185,93,50.27,26,14.05,13,7.03,10,5.41,11,5.95,09009
9,10,118,55,46.61,21,17.8,8,6.78,8,6.78,11,9.32,09010
9,11,90,35,38.89,20,22.22,5,5.56,5,5.56,7,7.78,09011
9,12,103,41,39.81,16,15.53,7,6.8,3,2.91,17,16.5,09012
9,13,218,92,42.2,28,12.84,19,8.72,12,5.5,29,13.3,09013
9,14,186,88,47.31,23,12.37,15,8.06,10,5.38,20,10.75,09014
9,15,118,40,33.9,26,22.03,11,9.32,4,3.39,11,9.32,09015
9,16,166,54,32.53,44,26.51,6,3.61,13,7.83,18,10.84,09016
9,17,92,31,33.7,19,20.65,5,5.43,4,4.35,14,15.22,09017
9,18,125,47,37.6,19,15.2,6,4.8,5,4.0,21,16.8,09018
9,19,148,62,41.89,26,17.57,12,8.11,4,2.7,12,8.11,09019
9,20,168,66,39.29,27,16.07,14,8.33,12,7.14,15,8.93,09020
9,21,151,70,46.36,24,15.89,14,9.27,8,5.3,15,9.93,09021
9,22,216,105,48.61,22,10.19,21,9.72,6,2.78,17,7.87,09022
9,23,105,31,29.52,22,20.95,9,8.57,5,4.76,10,9.52,09023
9,24,88,36,40.91,14,15.91,6,6.82,6,6.82,10,11.36,09024
9,25,86,26,30.23,8,9.3,8,9.3,6,6.98,19,22.09,09025
9,26,73,25,34.25,23,31.51,3,4.11,3,4.11,7,9.59,09026
9,27,102,40,39.22,13,12.75,10,9.8,5,4.9,16,15.69,09027
9,28,41,11,26.83,7,17.07,3,7.32,2,4.88,11,26.83,09028
9,29,81,28,34.57,16,19.75,5,6.17,5,6.17,5,6.17,09029
9,30,73,27,36.99,17,23.29,7,9.59,2,2.74,5,6.85,09030
9,31,111,52,46.85,19,17.12,2,1.8,7,6.31,13,11.71,09031
9,32,194,85,43.81,31,15.98,14,7.22,15,7.73,16,8.25,09032
9,33,89,44,49.44,11,12.36,6,6.74,3,3.37,9,10.11,09033
9,34,132,49,37.12,18,13.64,9,6.82,7,5.3,21,15.91,09034
9,35,272,142,52.21,48,17.65,15,5.51,12,4.41,20,7.35,09035
9,36,160,86,53.75,28,17.5,5,3.13,5,3.13,15,9.38,09036
9,37,105,22,20.95,28,26.67,12,11.43,7,6.67,21,20.0,09037
9,38,115,56,48.7,12,10.43,7,6.09,3,2.61,21,18.26,09038
9,39,216,104,48.15,41,18.98,12,5.56,10,4.63,22,10.19,09039
9,40,242,105,43.39,46,19.01,10,4.13,11,4.55,30,12.4,09040
9,41,146,66,45.21,31,21.23,13,8.9,4,2.74,14,9.59,09041
9,42,58,21,36.21,12,20.69,6,10.34,1,1.72,8,13.79,09042
9,43,56,26,46.43,13,23.21,4,7.14,0,0.0,7,12.5,09043
9,44,69,21,30.43,21,30.43,5,7.25,3,4.35,9,13.04,09044
9,45,221,87,39.37,52,23.53,13,5.88,12,5.43,13,5.88,09045
9,46,67,30,44.78,1,1.49,4,5.97,2,2.99,16,23.88,09046
9,47,171,100,58.48,17,9.94,12,7.02,5,2.92,17,9.94,09047
10,1,105,23,21.9,29,27.62,11,10.48,7,6.67,17,16.19,10001
10,2,44,3,6.82,6,13.64,4,9.09,10,22.73,19,43.18,10002
10,3,83,5,6.02,12,14.46,10,12.05,12,14.46,37,44.58,10003
10,4,49,10,20.41,7,14.29,7,14.29,2,4.08,17,34.69,10004
10,5,70,10,14.29,10,14.29,7,10.0,10,14.29,21,30.0,10005
10,6,120,42,35.0,25,20.83,8,6.67,3,2.5,20,16.67,10006
10,7,64,10,15.63,12,18.75,6,9.38,5,7.81,19,29.69,10007
10,8,55,4,7.27,8,14.55,8,14.55,10,18.18,15,27.27,10008
10,9,64,3,4.69,17,26.56,9,14.06,6,9.38,22,34.38,10009
10,10,57,4,7.02,11,19.3,3,5.26,9,15.79,24,42.11,10010
10,11,65,15,23.08,6,9.23,7,10.77,5,7.69,23,35.38,10011
10,12,49,5,10.2,7,14.29,5,10.2,1,2.04,25,51.02,10012
10,13,103,15,14.56,19,18.45,7,6.8,11,10.68,36,34.95,10013
10,14,61,8,13.11,7,11.48,8,13.11,5,8.2,22,36.07,10014
10,15,25,1,4.0,2,8.0,4,16.0,6,24.0,6,24.0,10015
10,16,67,2,2.99,12,17.91,11,16.42,4,5.97,27,40.3,10016
10,17,62,6,9.68,11,17.74,7,11.29,12,19.35,16,25.81,10017
10,18,33,7,21.21,5,15.15,2,6.06,2,6.06,14,42.42,10018
10,19,73,6,8.22,9,12.33,12,16.44,9,12.33,28,38.36,10019
10,20,53,8,15.09,4,7.55,5,9.43,7,13.21,20,37.74,10020
10,21,66,7,10.61,19,28.79,3,4.55,12,18.18,20,30.3,10021
10,22,53,14,26.42,3,5.66,4,7.55,2,3.77,17,32.08,10022
10,23,42,8,19.05,8,19.05,6,14.29,1,2.38,15,35.71,10023
10,24,65,4,6.15,9,13.85,10,15.38,6,9.23,29,44.62,10024
10,25,73,14,19.18,8,10.96,3,4.11,5,6.85,26,35.62,10025
10,26,46,7,15.22,9,19.57,5,10.87,2,4.35,20,43.48,10026
10,27,72,4,5.56,12,16.67,9,12.5,6,8.33,27,37.5,10027
10,28,90,30,33.33,28,31.11,5,5.56,5,5.56,12,13.33,10028
10,29,87,32,36.78,19,21.84,9,10.34,5,5.75,9,10.34,10029
10,30,56,11,19.64,12,21.43,5,8.93,2,3.57,12,21.43,10030
10,31,60,7,11.67,6,10.0,9,15.0,9,15.0,25,41.67,10031
10,32,51,3,5.88,7,13.73,8,15.69,7,13.73,15,29.41,10032
10,33,55,7,12.73,5,9.09,3,5.45,7,12.73,23,41.82,10033
10,34,51,7,13.73,9,17.65,9,17.65,3,5.88,21,41.18,10034
10,35,64,11,17.19,8,12.5,2,3.13,6,9.38,32,50.0,10035
10,36,77,24,31.17,9,11.69,11,14.29,5,6.49,13,16.88,10036
10,37,47,10,21.28,8,17.02,5,10.64,1,2.13,11,23.4,10037
10,38,68,6,8.82,9,13.24,9,13.24,8,11.76,27,39.71,10038
10,39,66,5,7.58,5,7.58,9,13.64,3,4.55,31,46.97,10039
10,40,66,6,9.09,18,27.27,4,6.06,4,6.06,26,39.39,10040
10,41,83,6,7.23,9,10.84,16,19.28,12,14.46,35,42.17,10041
10,42,59,10,16.95,7,11.86,9,15.25,8,13.56,17,28.81,10042
10,43,35,10,28.57,0,0.0,3,8.57,5,14.29,11,31.43,10043
10,44,57,5,8.77,7,12.28,3,5.26,9,15.79,18,31.58,10044
10,45,62,3,4.84,15,24.19,3,4.84,2,3.23,30,48.39,10045
10,46,47,5,10.64,5,10.64,1,2.13,3,6.38,22,46.81,10046
11,1,119,9,7.56,39,32.77,7,5.88,14,11.76,37,31.09,11001
11,2,105,10,9.52,27,25.71,5,4.76,7,6.67,39,37.14,11002
11,3,69,5,7.25,41,59.42,1,1.45,3,4.35,16,23.19,11003
11,4,81,6,7.41,20,24.69,10,12.35,3,3.7,18,22.22,11004
11,5,61,5,8.2,21,34.43,5,8.2,2,3.28,20,32.79,11005
11,6,119,11,9.24,30,25.21,8,6.72,14,11.76,39,32.77,11006
11,7,99,10,10.1,35,35.35,12,12.12,9,9.09,21,21.21,11007
11,8,95,5,5.26,26,27.37,9,9.47,10,10.53,28,29.47,11008
11,9,80,5,6.25,41,51.25,8,10.0,3,3.75,9,11.25,11009
11,10,58,7,12.07,17,29.31,4,6.9,5,8.62,17,29.31,11010
11,11,112,10,8.93,48,42.86,6,5.36,8,7.14,26,23.21,11011
11,12,106,1,0.94,59,55.66,2,1.89,9,8.49,24,22.64,11012
11,13,89,4,4.49,42,47.19,5,5.62,15,16.85,14,15.73,11013
11,14,65,6,9.23,21,32.31,10,15.38,4,6.15,14,21.54,11014
11,15,91,4,4.4,37,40.66,6,6.59,10,10.99,20,21.98,11015
11,16,116,5,4.31,43,37.07,7,6.03,2,1.72,43,37.07,11016
11,17,142,17,11.97,52,36.62,13,9.15,8,5.63,35,24.65,11017
11,18,66,2,3.03,12,18.18,6,9.09,14,21.21,14,21.21,11018
11,19,64,4,6.25,19,29.69,7,10.94,13,20.31,15,23.44,11019
11,20,101,2,1.98,55,54.46,4,3.96,7,6.93,14,13.86,11020
11,21,128,2,1.56,64,50.0,7,5.47,18,14.06,19,14.84,11021
11,22,98,8,8.16,39,39.8,6,6.12,11,11.22,17,17.35,11022
11,23,76,4,5.26,34,44.74,7,9.21,7,9.21,11,14.47,11023
11,24,245,8,3.27,156,63.67,9,3.67,15,6.12,34,13.88,11024
11,25,75,3,4.0,40,53.33,5,6.67,5,6.67,11,14.67,11025
11,26,123,6,4.88,60,48.78,4,3.25,17,13.82,22,17.89,11026
11,27,62,2,3.23,30,48.39,10,16.13,6,9.68,8,12.9,11027
11,28,67,4,5.97,24,35.82,2,2.99,3,4.48,20,29.85,11028
11,29,104,7,6.73,16,15.38,11,10.58,10,9.62,42,40.38,11029
11,30,91,4,4.4,38,41.76,7,7.69,10,10.99,25,27.47,11030
11,31,79,2,2.53,46,58.23,4,5.06,5,6.33,11,13.92,11031
11,32,71,1,1.41,45,63.38,3,4.23,8,11.27,6,8.45,11032
11,33,61,7,11.48,23,37.7,3,4.92,3,4.92,13,21.31,11033
11,34,58,17,29.31,14,24.14,4,6.9,5,8.62,10,17.24,11034
11,35,116,3,2.59,67,57.76,4,3.45,5,4.31,25,21.55,11035
11,36,19,4,21.05,7,36.84,3,15.79,1,5.26,4,21.05,11036
11,37,112,3,2.68,67,59.82,5,4.46,11,9.82,13,11.61,11037
11,38,142,6,4.23,95,66.9,3,2.11,7,4.93,18,12.68,11038
11,39,143,6,4.2,58,40.56,8,5.59,15,10.49,28,19.58,11039
11,40,67,5,7.46,29,43.28,5,7.46,3,4.48,17,25.37,11040
11,41,64,2,3.13,31,48.44,4,6.25,3,4.69,16,25.0,11041
11,42,79,6,7.59,24,30.38,5,6.33,13,16.46,18,22.78,11042
11,43,84,10,11.9,24,28.57,4,4.76,6,7.14,22,26.19,11043
11,44,88,4,4.55,28,31.82,4,4.55,4,4.55,23,26.14,11044
11,45,37,3,8.11,17,45.95,3,8.11,2,5.41,8,21.62,11045
11,46,70,14,20.0,28,40.0,3,4.29,3,4.29,15,21.43,11046
11,47,85,11,12.94,34,40.0,9,10.59,6,7.06,11,12.94,11047
11,48,39,2,5.13,16,41.03,3,7.69,4,10.26,9,23.08,11048
11,49,80,0,0.0,30,37.5,9,11.25,9,11.25,19,23.75,11049
11,50,63,7,11.11,22,34.92,6,9.52,11,17.46,11,17.46,11050
12,1,76,4,5.26,6,7.89,11,14.47,7,9.21,39,51.32,12001
12,2,74,10,13.51,5,6.76,13,17.57,5,6.76,31,41.89,12002
12,3,51,3,5.88,5,9.8,4,7.84,2,3.92,28,54.9,12003
12,4,34,6,17.65,3,8.82,3,8.82,4,11.76,17,50.0,12004
12,5,52,2,3.85,5,9.62,5,9.62,5,9.62,28,53.85,12005
12,6,68,7,10.29,9,13.24,17,25.0,6,8.82,21,30.88,12006
12,7,99,14,14.14,9,9.09,17,17.17,7,7.07,40,40.4,12007
12,8,104,13,12.5,14,13.46,14,13.46,10,9.62,32,30.77,12008
12,9,46,12,26.09,7,15.22,5,10.87,2,4.35,17,36.96,12009
12,10,86,8,9.3,10,11.63,10,11.63,6,6.98,42,48.84,12010
12,11,141,10,7.09,18,12.77,16,11.35,13,9.22,71,50.35,12011
12,12,74,11,14.86,5,6.76,18,24.32,6,8.11,19,25.68,12012
12,13,111,5,4.5,6,5.41,29,26.13,13,11.71,39,35.14,12013
12,14,58,7,12.07,10,17.24,10,17.24,5,8.62,17,29.31,12014
12,15,70,6,8.57,3,4.29,8,11.43,1,1.43,37,52.86,12015
12,16,47,6,12.77,3,6.38,8,17.02,7,14.89,17,36.17,12016
12,17,84,17,20.24,14,16.67,7,8.33,8,9.52,23,27.38,12017
12,18,103,20,19.42,7,6.8,12,11.65,8,7.77,38,36.89,12018
12,19,80,8,10.0,6,7.5,12,15.0,6,7.5,39,48.75,12019
12,20,46,3,6.52,3,6.52,5,10.87,5,10.87,23,50.0,12020
12,21,80,8,10.0,7,8.75,9,11.25,7,8.75,31,38.75,12021
12,22,61,9,14.75,7,11.48,9,14.75,2,3.28,22,36.07,12022
12,23,60,6,10.0,5,8.33,3,5.0,8,13.33,26,43.33,12023
12,24,75,11,14.67,12,16.0,3,4.0,3,4.0,33,44.0,12024
13,1,184,12,6.52,96,52.17,12,6.52,11,5.98,31,16.85,13001
13,2,139,8,5.76,88,63.31,11,7.91,4,2.88,19,13.67,13002
13,3,116,9,7.76,38,32.76,8,6.9,9,7.76,37,31.9,13003
13,4,249,19,7.63,79,31.73,16,6.43,28,11.24,63,25.3,13004
13,5,168,16,9.52,63,37.5,15,8.93,11,6.55,47,27.98,13005
13,6,104,2,1.92,34,32.69,18,17.31,8,7.69,25,24.04,13006
13,7,153,14,9.15,61,39.87,6,3.92,10,6.54,45,29.41,13007
13,8,191,9,4.71,94,49.21,5,2.62,18,9.42,42,21.99,13008
13,9,148,8,5.41,58,39.19,13,8.78,17,11.49,34,22.97,13009
13,10,84,9,10.71,25,29.76,6,7.14,13,15.48,20,23.81,13010
13,11,88,9,10.23,16,18.18,9,10.23,11,12.5,27,30.68,13011
13,12,142,11,7.75,53,37.32,10,7.04,9,6.34,40,28.17,13012
13,13,218,7,3.21,128,58.72,14,6.42,5,2.29,44,20.18,13013
13,14,147,7,4.76,74,50.34,6,4.08,7,4.76,37,25.17,13014
13,15,226,16,7.08,121,53.54,7,3.1,20,8.85,48,21.24,13015
13,16,196,22,11.22,96,48.98,6,3.06,14,7.14,43,21.94,13016
13,17,163,15,9.2,70,42.94,7,4.29,17,10.43,37,22.7,13017
13,18,119,8,6.72,41,34.45,7,5.88,11,9.24,40,33.61,13018
13,19,174,16,9.2,95,54.6,9,5.17,7,4.02,37,21.26,13019
13,20,125,7,5.6,22,17.6,4,3.2,12,9.6,61,48.8,13020
13,21,101,19,18.81,20,19.8,8,7.92,4,3.96,29,28.71,13021
13,22,132,15,11.36,52,39.39,10,7.58,10,7.58,30,22.73,13022
13,23,134,9,6.72,77,57.46,7,5.22,3,2.24,25,18.66,13023
13,24,163,10,6.13,90,55.21,9,5.52,8,4.91,33,20.25,13024
13,25,134,9,6.72,53,39.55,10,7.46,16,11.94,33,24.63,13025
13,26,227,7,3.08,145,63.88,14,6.17,11,4.85,30,13.22,13026
13,27,170,18,10.59,66,38.82,15,8.82,9,5.29,31,18.24,13027
13,28,101,9,8.91,38,37.62,2,1.98,11,10.89,26,25.74,13028
13,29,154,13,8.44,69,44.81,5,3.25,12,7.79,40,25.97,13029
13,30,211,18,8.53,102,48.34,7,3.32,17,8.06,45,21.33,13030
13,31,113,16,14.16,28,24.78,9,7.96,6,5.31,35,30.97,13031
13,32,110,30,27.27,31,28.18,12,10.91,4,3.64,15,13.64,13032
13,33,162,7,4.32,103,63.58,5,3.09,8,4.94,27,16.67,13033
13,34,270,4,1.48,212,78.52,3,1.11,9,3.33,31,11.48,13034
13,35,205,7,3.41,133,64.88,9,4.39,9,4.39,36,17.56,13035
13,36,94,8,8.51,44,46.81,1,1.06,11,11.7,24,25.53,13036
13,37,198,30,15.15,79,39.9,9,4.55,14,7.07,42,21.21,13037
13,38,109,9,8.26,40,36.7,8,7.34,7,6.42,26,23.85,13038
13,39,162,11,6.79,83,51.23,10,6.17,11,6.79,39,24.07,13039
13,40,214,11,5.14,114,53.27,13,6.07,15,7.01,44,20.56,13040
13,41,167,15,8.98,85,50.9,7,4.19,12,7.19,37,22.16,13041
13,42,181,13,7.18,72,39.78,11,6.08,12,6.63,46,25.41,13042
13,43,226,19,8.41,96,42.48,13,5.75,22,9.73,50,22.12,13043
13,44,382,9,2.36,331,86.65,5,1.31,10,2.62,15,3.93,13044
13,45,235,10,4.26,127,54.04,17,7.23,14,5.96,38,16.17,13045
13,46,176,12,6.82,61,34.66,9,5.11,16,9.09,51,28.98,13046
13,47,175,15,8.57,69,39.43,6,3.43,11,6.29,57,32.57,13047
14,1,132,11,8.33,10,7.58,10,7.58,16,12.12,77,58.33,14001
14,2,157,11,7.01,12,7.64,12,7.64,8,5.1,88,56.05,14002
14,3,93,13,13.98,7,7.53,7,7.53,4,4.3,49,52.69,14003
14,4,81,8,9.88,7,8.64,3,3.7,4,4.94,46,56.79,14004
14,5,99,5,5.05,4,4.04,4,4.04,4,4.04,68,68.69,14005
14,6,53,5,9.43,2,3.77,5,9.43,2,3.77,37,69.81,14006
14,7,125,5,4.0,11,8.8,11,8.8,10,8.0,78,62.4,14007
14,8,83,8,9.64,4,4.82,6,7.23,11,13.25,43,51.81,14008
14,9,130,10,7.69,12,9.23,2,1.54,3,2.31,94,72.31,14009
14,10,79,4,5.06,10,12.66,6,7.59,3,3.8,49,62.03,14010
14,11,86,5,5.81,2,2.33,5,5.81,3,3.49,68,79.07,14011
14,12,105,9,8.57,6,5.71,6,5.71,8,7.62,66,62.86,14012
14,13,85,8,9.41,6,7.06,3,3.53,5,5.88,54,63.53,14013
14,14,109,7,6.42,8,7.34,4,3.67,5,4.59,75,68.81,14014
14,15,112,13,11.61,6,5.36,3,2.68,6,5.36,69,61.61,14015
14,16,81,7,8.64,4,4.94,5,6.17,5,6.17,49,60.49,14016
14,17,118,14,11.86,3,2.54,1,0.85,1,0.85,91,77.12,14017
14,18,45,5,11.11,2,4.44,5,11.11,3,6.67,27,60.0,14018
14,19,90,2,2.22,9,10.0,3,3.33,8,8.89,61,67.78,14019
14,20,52,5,9.62,4,7.69,2,3.85,4,7.69,35,67.31,14020
14,21,96,9,9.38,0,0.0,1,1.04,3,3.13,77,80.21,14021
14,22,160,12,7.5,11,6.88,7,4.38,14,8.75,100,62.5,14022
14,23,78,9,11.54,5,6.41,3,3.85,10,12.82,40,51.28,14023
14,24,67,1,1.49,1,1.49,3,4.48,5,7.46,51,76.12,14024
14,25,65,2,3.08,1,1.54,3,4.62,3,4.62,47,72.31,14025
14,26,51,4,7.84,5,9.8,3,5.88,3,5.88,31,60.78,14026
14,27,104,7,6.73,10,9.62,5,4.81,7,6.73,62,59.62,14027
14,28,69,3,4.35,5,7.25,3,4.35,7,10.14,42,60.87,14028
14,29,133,5,3.76,6,4.51,8,6.02,5,3.76,91,68.42,14029
14,30,99,10,10.1,4,4.04,4,4.04,9,9.09,67,67.68,14030
14,31,55,2,3.64,2,3.64,4,7.27,5,9.09,38,69.09,14031
14,32,58,6,10.34,11,18.97,1,1.72,7,12.07,27,46.55,14032
15,1,117,18,15.38,21,17.95,10,8.55,15,12.82,36,30.77,15001
15,2,47,21,44.68,7,14.89,4,8.51,0,0.0,10,21.28,15002
15,3,47,17,36.17,4,8.51,7,14.89,5,10.64,5,10.64,15003
15,4,106,36,33.96,12,11.32,9,8.49,7,6.6,17,16.04,15004
15,5,37,11,29.73,3,8.11,4,10.81,4,10.81,7,18.92,15005
15,6,42,16,38.1,8,19.05,1,2.38,0,0.0,9,21.43,15006
15,7,66,24,36.36,7,10.61,5,7.58,4,6.06,7,10.61,15007
15,8,72,24,33.33,12,16.67,6,8.33,4,5.56,10,13.89,15008
15,9,100,30,30.0,15,15.0,6,6.0,6,6.0,14,14.0,15009
15,10,27,3,11.11,4,14.81,3,11.11,3,11.11,11,40.74,15010
15,11,58,19,32.76,5,8.62,4,6.9,5,8.62,10,17.24,15011
15,12,39,18,46.15,3,7.69,4,10.26,1,2.56,5,12.82,15012
15,13,58,12,20.69,2,3.45,5,8.62,8,13.79,17,29.31,15013
15,14,55,13,23.64,10,18.18,2,3.64,4,7.27,16,29.09,15014
15,15,31,8,25.81,3,9.68,2,6.45,0,0.0,12,38.71,15015
15,16,30,3,10.0,3,10.0,3,10.0,2,6.67,15,50.0,15016
15,17,60,25,41.67,4,6.67,5,8.33,3,5.0,9,15.0,15017
15,18,104,34,32.69,15,14.42,10,9.62,8,7.69,15,14.42,15018
15,19,74,14,18.92,7,9.46,8,10.81,5,6.76,17,22.97,15019
15,20,42,15,35.71,8,19.05,3,7.14,3,7.14,3,7.14,15020
15,21,71,25,35.21,5,7.04,5,7.04,5,7.04,9,12.68,15021
15,22,77,19,24.68,13,16.88,4,5.19,7,9.09,11,14.29,15022
15,23,98,38,38.78,8,8.16,13,13.27,6,6.12,18,18.37,15023
15,24,50,13,26.0,5,10.0,3,6.0,6,12.0,9,18.0,15024
15,25,42,9,21.43,6,14.29,5,11.9,3,7.14,9,21.43,15025
15,26,103,37,35.92,9,8.74,9,8.74,10,9.71,12,11.65,15026
15,27,52,16,30.77,4,7.69,8,15.38,1,1.92,10,19.23,15027
15,28,69,13,18.84,8,11.59,5,7.25,11,15.94,20,28.99,15028
15,29,13,4,30.77,0,0.0,1,7.69,1,7.69,5,38.46,15029
15,30,37,11,29.73,4,10.81,2,5.41,2,5.41,5,13.51,15030
15,31,95,35,36.84,10,10.53,9,9.47,9,9.47,11,11.58,15031
15,32,44,10,22.73,5,11.36,5,11.36,3,6.82,9,20.45,15032
15,33,45,13,28.89,2,4.44,8,17.78,1,2.22,6,13.33,15033
15,34,48,14,29.17,7,14.58,6,12.5,3,6.25,7,14.58,15034
15,35,62,17,27.42,9,14.52,7,11.29,3,4.84,10,16.13,15035
15,36,71,21,29.58,7,9.86,11,15.49,6,8.45,11,15.49,15036
