ward,precinct,total,Jesse G. Reyes,Jesse G. Reyes Percent,Rodolfo (Rudy) Garcia,Rodolfo (Rudy) Garcia Percent,William Stewart Boyd,William Stewart Boyd Percent,Ellen L. Flannigan,Ellen L. Flannigan Percent,Don R. Sampen,Don R. Sampen Percent,precinct_id
7,41,94,28,29.79,9,9.57,36,38.3,17,18.09,4,4.26,07041
7,42,166,48,28.92,18,10.84,64,38.55,26,15.66,10,6.02,07042
7,43,118,35,29.66,11,9.32,54,45.76,15,12.71,3,2.54,07043
7,44,171,40,23.39,14,8.19,80,46.78,30,17.54,7,4.09,07044
7,45,183,72,39.34,11,6.01,69,37.7,25,13.66,6,3.28,07045
7,46,85,27,31.76,7,8.24,33,38.82,12,14.12,6,7.06,07046
7,47,84,26,30.95,9,10.71,34,40.48,14,16.67,1,1.19,07047
7,48,104,24,23.08,8,7.69,43,41.35,25,24.04,4,3.85,07048
7,49,217,61,28.11,21,9.68,110,50.69,15,6.91,10,4.61,07049
8,1,160,73,45.63,10,6.25,59,36.88,17,10.63,1,0.63,08001
8,2,67,30,44.78,5,7.46,23,34.33,7,10.45,2,2.99,08002
8,3,211,81,38.39,10,4.74,93,44.08,23,10.9,4,1.9,08003
8,4,310,135,43.55,13,4.19,117,37.74,31,10.0,14,4.52,08004
8,5,321,110,34.27,18,5.61,165,51.4,21,6.54,7,2.18,08005
8,6,146,57,39.04,12,8.22,56,38.36,17,11.64,4,2.74,08006
8,7,107,46,42.99,6,5.61,36,33.64,13,12.15,6,5.61,08007
8,8,166,74,44.58,7,4.22,60,36.14,18,10.84,7,4.22,08008
8,9,190,61,32.11,10,5.26,86,45.26,27,14.21,6,3.16,08009
8,10,198,81,40.91,8,4.04,90,45.45,16,8.08,3,1.52,08010
8,11,130,61,46.92,4,3.08,41,31.54,19,14.62,5,3.85,08011
8,12,111,60,54.05,2,1.8,33,29.73,13,11.71,3,2.7,08012
8,13,87,33,37.93,7,8.05,31,35.63,13,14.94,3,3.45,08013
8,14,84,45,53.57,3,3.57,18,21.43,12,14.29,6,7.14,08014
8,15,107,42,39.25,5,4.67,47,43.93,11,10.28,2,1.87,08015
8,16,165,79,47.88,11,6.67,61,36.97,11,6.67,3,1.82,08016
8,17,157,63,40.13,15,9.55,52,33.12,25,15.92,2,1.27,08017
8,18,61,40,65.57,0,0.0,8,13.11,12,19.67,1,1.64,08018
8,19,182,69,37.91,13,7.14,77,42.31,18,9.89,5,2.75,08019
8,20,211,93,44.08,14,6.64,73,34.6,26,12.32,5,2.37,08020
8,21,114,67,58.77,9,7.89,25,21.93,10,8.77,3,2.63,08021
8,22,112,51,45.54,4,3.57,44,39.29,7,6.25,6,5.36,08022
8,23,111,55,49.55,9,8.11,30,27.03,12,10.81,5,4.5,08023
8,24,143,55,38.46,4,2.8,69,48.25,14,9.79,1,0.7,08024
8,25,127,71,55.91,7,5.51,31,24.41,13,10.24,5,3.94,08025
8,26,75,33,44.0,4,5.33,29,38.67,4,5.33,5,6.67,08026
8,27,166,48,28.92,18,10.84,76,45.78,20,12.05,4,2.41,08027
8,28,250,115,46.0,14,5.6,84,33.6,32,12.8,5,2.0,08028
8,29,127,74,58.27,7,5.51,27,21.26,15,11.81,4,3.15,08029
8,30,103,37,35.92,10,9.71,41,39.81,10,9.71,5,4.85,08030
8,31,90,43,47.78,4,4.44,30,33.33,10,11.11,3,3.33,08031
8,32,199,52,26.13,14,7.04,101,50.75,27,13.57,5,2.51,08032
8,33,182,76,41.76,20,10.99,71,39.01,14,7.69,1,0.55,08033
8,34,165,69,41.82,9,5.45,58,35.15,23,13.94,6,3.64,08034
8,35,173,86,49.71,10,5.78,54,31.21,18,10.4,5,2.89,08035
8,36,143,60,41.96,6,4.2,53,37.06,20,13.99,4,2.8,08036
8,37,139,60,43.17,10,7.19,50,35.97,15,10.79,4,2.88,08037
8,38,111,38,34.23,4,3.6,53,47.75,14,12.61,2,1.8,08038
8,39,151,48,31.79,11,7.28,68,45.03,21,13.91,3,1.99,08039
8,40,100,51,51.0,7,7.0,29,29.0,8,8.0,5,5.0,08040
8,41,101,44,43.56,7,6.93,37,36.63,8,7.92,5,4.95,08041
8,42,149,63,42.28,13,8.72,52,34.9,13,8.72,8,5.37,08042
8,43,64,29,45.31,5,7.81,19,29.69,9,14.06,2,3.13,08043
8,44,111,37,33.33,7,6.31,51,45.95,10,9.01,6,5.41,08044
8,45,87,44,50.57,7,8.05,20,22.99,11,12.64,5,5.75,08045
8,46,137,43,31.39,8,5.84,73,53.28,8,5.84,5,3.65,08046
8,47,158,66,41.77,21,13.29,55,34.81,12,7.59,4,2.53,08047
8,48,116,56,48.28,6,5.17,41,35.34,6,5.17,7,6.03,08048
8,49,177,103,58.19,11,6.21,46,25.99,13,7.34,4,2.26,08049
8,50,132,77,58.33,7,5.3,38,28.79,9,6.82,1,0.76,08050
8,51,174,76,43.68,12,6.9,63,36.21,15,8.62,8,4.6,08051
8,52,144,58,40.28,11,7.64,59,40.97,11,7.64,5,3.47,08052
8,53,146,47,32.19,6,4.11,71,48.63,17,11.64,5,3.42,08053
8,54,131,64,48.85,12,9.16,43,32.82,10,7.63,2,1.53,08054
8,55,80,38,47.5,4,5.0,27,33.75,9,11.25,2,2.5,08055
8,56,126,68,53.97,5,3.97,36,28.57,12,9.52,5,3.97,08056
8,57,126,51,40.48,11,8.73,48,38.1,15,11.9,1,0.79,08057
8,58,157,66,42.04,6,3.82,65,41.4,17,10.83,3,1.91,08058
8,59,74,40,54.05,7,9.46,14,18.92,11,14.86,2,2.7,08059
8,60,153,55,35.95,13,8.5,57,37.25,22,14.38,6,3.92,08060
8,61,110,41,37.27,6,5.45,48,43.64,13,11.82,2,1.82,08061
8,62,211,76,36.02,15,7.11,87,41.23,30,14.22,3,1.42,08062
8,63,165,58,35.15,14,8.48,67,40.61,21,12.73,5,3.03,08063
8,64,110,51,46.36,8,7.27,32,29.09,16,14.55,3,2.73,08064
9,1,153,52,33.99,9,5.88,77,50.33,13,8.5,2,1.31,09001
9,2,125,49,39.2,16,12.8,42,33.6,16,12.8,2,1.6,09002
9,3,42,13,30.95,0,0.0,22,52.38,6,14.29,1,2.38,09003
9,4,148,40,27.03,4,2.7,86,58.11,14,9.46,4,2.7,09004
9,5,140,49,35.0,5,3.57,59,42.14,21,15.0,6,4.29,09005
9,6,211,69,32.7,14,6.64,96,45.5,28,13.27,4,1.9,09006
9,7,134,52,38.81,5,3.73,52,38.81,22,16.42,3,2.24,09007
9,8,116,36,31.03,10,8.62,55,47.41,15,12.93,0,0.0,09008
9,9,187,69,36.9,7,3.74,79,42.25,26,13.9,6,3.21,09009
9,10,119,47,39.5,4,3.36,46,38.66,18,15.13,4,3.36,09010
9,11,87,28,32.18,9,10.34,31,35.63,15,17.24,4,4.6,09011
9,12,106,39,36.79,9,8.49,41,38.68,15,14.15,2,1.89,09012
9,13,218,78,35.78,13,5.96,87,39.91,31,14.22,9,4.13,09013
9,14,181,45,24.86,5,2.76,89,49.17,34,18.78,8,4.42,09014
9,15,117,45,38.46,13,11.11,41,35.04,9,7.69,9,7.69,09015
9,16,161,69,42.86,11,6.83,62,38.51,16,9.94,3,1.86,09016
9,17,94,30,31.91,7,7.45,39,41.49,14,14.89,4,4.26,09017
9,18,126,47,37.3,10,7.94,52,41.27,13,10.32,4,3.17,09018
9,19,142,51,35.92,10,7.04,63,44.37,14,9.86,4,2.82,09019
9,20,167,45,26.95,14,8.38,85,50.9,16,9.58,7,4.19,09020
9,21,150,54,36.0,9,6.0,66,44.0,18,12.0,3,2.0,09021
9,22,208,63,30.29,15,7.21,97,46.63,27,12.98,6,2.88,09022
9,23,101,33,32.67,10,9.9,34,33.66,19,18.81,5,4.95,09023
9,24,93,21,22.58,7,7.53,54,58.06,8,8.6,3,3.23,09024
9,25,89,29,32.58,14,15.73,21,23.6,24,26.97,1,1.12,09025
9,26,74,28,37.84,5,6.76,30,40.54,9,12.16,2,2.7,09026
9,27,101,34,33.66,6,5.94,46,45.54,14,13.86,1,0.99,09027
9,28,41,16,39.02,11,26.83,8,19.51,5,12.2,1,2.44,09028
9,29,79,24,30.38,7,8.86,38,48.1,8,10.13,2,2.53,09029
9,30,73,24,32.88,5,6.85,30,41.1,11,15.07,3,4.11,09030
9,31,109,45,41.28,4,3.67,49,44.95,9,8.26,2,1.83,09031
9,32,199,75,37.69,14,7.04,83,41.71,24,12.06,3,1.51,09032
9,33,84,20,23.81,5,5.95,42,50.0,14,16.67,3,3.57,09033
9,34,128,42,32.81,12,9.38,45,35.16,24,18.75,5,3.91,09034
9,35,276,97,35.14,8,2.9,135,48.91,29,10.51,7,2.54,09035
9,36,158,78,49.37,6,3.8,50,31.65,21,13.29,3,1.9,09036
9,37,99,26,26.26,14,14.14,31,31.31,22,22.22,6,6.06,09037
9,38,114,42,36.84,9,7.89,43,37.72,15,13.16,5,4.39,09038
9,39,216,63,29.17,7,3.24,116,53.7,24,11.11,6,2.78,09039
9,40,235,86,36.6,14,5.96,103,43.83,25,10.64,7,2.98,09040
9,41,141,45,31.91,9,6.38,67,47.52,14,9.93,6,4.26,09041
9,42,58,26,44.83,5,8.62,21,36.21,5,8.62,1,1.72,09042
9,43,58,30,51.72,3,5.17,17,29.31,6,10.34,2,3.45,09043
9,44,70,27,38.57,5,7.14,26,37.14,10,14.29,2,2.86,09044
9,45,228,71,31.14,11,4.82,110,48.25,27,11.84,9,3.95,09045
9,46,67,15,22.39,8,11.94,30,44.78,11,16.42,3,4.48,09046
9,47,175,53,30.29,17,9.71,83,47.43,16,9.14,6,3.43,09047
10,1,108,57,52.78,16,14.81,20,18.52,14,12.96,1,0.93,10001
10,2,45,18,40.0,9,20.0,3,6.67,14,31.11,1,2.22,10002
10,3,83,34,40.96,16,19.28,7,8.43,24,28.92,2,2.41,10003
10,4,55,31,56.36,11,20.0,8,14.55,5,9.09,0,0.0,10004
10,5,73,28,38.36,12,16.44,13,17.81,18,24.66,2,2.74,10005
10,6,122,56,45.9,5,4.1,41,33.61,19,15.57,1,0.82,10006
10,7,70,28,40.0,22,31.43,9,12.86,10,14.29,1,1.43,10007
10,8,56,18,32.14,11,19.64,4,7.14,21,37.5,2,3.57,10008
10,9,65,24,36.92,11,16.92,5,7.69,24,36.92,1,1.54,10009
10,10,62,21,33.87,14,22.58,5,8.06,19,30.65,3,4.84,10010
10,11,75,26,34.67,21,28.0,10,13.33,17,22.67,1,1.33,10011
10,12,52,22,42.31,11,21.15,4,7.69,14,26.92,1,1.92,10012
10,13,114,48,42.11,34,29.82,8,7.02,16,14.04,8,7.02,10013
10,14,62,23,37.1,11,17.74,3,4.84,23,37.1,2,3.23,10014
10,15,23,5,21.74,3,13.04,1,4.35,12,52.17,2,8.7,10015
10,16,68,22,32.35,14,20.59,8,11.76,20,29.41,4,5.88,10016
10,17,63,20,31.75,13,20.63,7,11.11,22,34.92,1,1.59,10017
10,18,39,23,58.97,8,20.51,4,10.26,4,10.26,0,0.0,10018
10,19,77,21,27.27,12,15.58,7,9.09,36,46.75,1,1.3,10019
10,20,56,18,32.14,10,17.86,3,5.36,25,44.64,0,0.0,10020
10,21,65,25,38.46,9,13.85,4,6.15,26,40.0,1,1.54,10021
10,22,55,22,40.0,9,16.36,14,25.45,9,16.36,1,1.82,10022
10,23,45,18,40.0,18,40.0,3,6.67,6,13.33,0,0.0,10023
10,24,70,18,25.71,10,14.29,8,11.43,32,45.71,2,2.86,10024
10,25,72,32,44.44,23,31.94,7,9.72,7,9.72,3,4.17,10025
10,26,46,25,54.35,13,28.26,3,6.52,5,10.87,0,0.0,10026
10,27,76,22,28.95,22,28.95,7,9.21,23,30.26,2,2.63,10027
10,28,95,45,47.37,10,10.53,27,28.42,7,7.37,6,6.32,10028
10,29,91,35,38.46,10,10.99,30,32.97,12,13.19,4,4.4,10029
10,30,59,27,45.76,8,13.56,12,20.34,7,11.86,5,8.47,10030
10,31,67,25,37.31,23,34.33,5,7.46,12,17.91,2,2.99,10031
10,32,54,15,27.78,16,29.63,6,11.11,14,25.93,3,5.56,10032
10,33,58,17,29.31,22,37.93,6,10.34,12,20.69,1,1.72,10033
10,34,57,24,42.11,13,22.81,4,7.02,13,22.81,3,5.26,10034
10,35,71,32,45.07,16,22.54,6,8.45,15,21.13,2,2.82,10035
10,36,83,38,45.78,12,14.46,17,20.48,15,18.07,1,1.2,10036
10,37,49,20,40.82,15,30.61,7,14.29,6,12.24,1,2.04,10037
10,38,68,17,25.0,17,25.0,5,7.35,26,38.24,3,4.41,10038
10,39,69,21,30.43,22,31.88,5,7.25,17,24.64,4,5.8,10039
10,40,66,36,54.55,17,25.76,6,9.09,6,9.09,1,1.52,10040
10,41,95,37,38.95,28,29.47,5,5.26,23,24.21,2,2.11,10041
10,42,62,18,29.03,11,17.74,4,6.45,26,41.94,3,4.84,10042
10,43,32,11,34.38,9,28.13,8,25.0,4,12.5,0,0.0,10043
10,44,62,31,50.0,17,27.42,3,4.84,11,17.74,0,0.0,10044
10,45,64,27,42.19,22,34.38,1,1.56,12,18.75,2,3.13,10045
10,46,55,29,52.73,11,20.0,0,0.0,14,25.45,1,1.82,10046
11,1,123,52,42.28,17,13.82,12,9.76,39,31.71,3,2.44,11001
11,2,108,39,36.11,41,37.96,4,3.7,21,19.44,3,2.78,11002
11,3,74,45,60.81,20,27.03,5,6.76,3,4.05,1,1.35,11003
11,4,83,28,33.73,19,22.89,5,6.02,26,31.33,5,6.02,11004
11,5,62,20,32.26,16,25.81,6,9.68,15,24.19,5,8.06,11005
11,6,123,45,36.59,41,33.33,8,6.5,24,19.51,5,4.07,11006
11,7,104,58,55.77,17,16.35,6,5.77,22,21.15,1,0.96,11007
11,8,97,35,36.08,25,25.77,7,7.22,26,26.8,4,4.12,11008
11,9,82,48,58.54,4,4.88,10,12.2,18,21.95,2,2.44,11009
11,10,58,27,46.55,15,25.86,2,3.45,14,24.14,0,0.0,11010
11,11,111,47,42.34,14,12.61,10,9.01,36,32.43,4,3.6,11011
11,12,107,64,59.81,3,2.8,4,3.74,34,31.78,2,1.87,11012
11,13,91,54,59.34,9,9.89,8,8.79,17,18.68,3,3.3,11013
11,14,66,30,45.45,4,6.06,7,10.61,23,34.85,2,3.03,11014
11,15,89,47,52.81,3,3.37,4,4.49,34,38.2,1,1.12,11015
11,16,121,54,44.63,21,17.36,10,8.26,26,21.49,10,8.26,11016
11,17,150,69,46.0,38,25.33,13,8.67,26,17.33,4,2.67,11017
11,18,67,23,34.33,13,19.4,8,11.94,17,25.37,6,8.96,11018
11,19,62,23,37.1,7,11.29,6,9.68,20,32.26,6,9.68,11019
11,20,97,55,56.7,10,10.31,6,6.19,24,24.74,2,2.06,11020
11,21,127,74,58.27,6,4.72,5,3.94,37,29.13,5,3.94,11021
11,22,99,59,59.6,8,8.08,4,4.04,26,26.26,2,2.02,11022
11,23,77,38,49.35,9,11.69,2,2.6,23,29.87,5,6.49,11023
11,24,252,178,70.63,12,4.76,10,3.97,49,19.44,3,1.19,11024
11,25,74,41,55.41,9,12.16,4,5.41,16,21.62,4,5.41,11025
11,26,123,70,56.91,23,18.7,7,5.69,22,17.89,1,0.81,11026
11,27,63,40,63.49,2,3.17,5,7.94,14,22.22,2,3.17,11027
11,28,66,30,45.45,5,7.58,10,15.15,20,30.3,1,1.52,11028
11,29,107,30,28.04,41,38.32,6,5.61,27,25.23,3,2.8,11029
11,30,94,41,43.62,35,37.23,7,7.45,10,10.64,1,1.06,11030
11,31,81,53,65.43,3,3.7,3,3.7,18,22.22,4,4.94,11031
11,32,77,39,50.65,3,3.9,6,7.79,20,25.97,9,11.69,11032
11,33,65,36,55.38,4,6.15,8,12.31,15,23.08,2,3.08,11033
11,34,63,32,50.79,3,4.76,14,22.22,13,20.63,1,1.59,11034
11,35,115,70,60.87,8,6.96,8,6.96,26,22.61,3,2.61,11035
11,36,21,10,47.62,5,23.81,0,0.0,5,23.81,1,4.76,11036
11,37,114,81,71.05,11,9.65,5,4.39,16,14.04,1,0.88,11037
11,38,145,89,61.38,8,5.52,12,8.28,30,20.69,6,4.14,11038
11,39,149,89,59.73,14,9.4,10,6.71,32,21.48,4,2.68,11039
11,40,67,33,49.25,8,11.94,5,7.46,19,28.36,2,2.99,11040
11,41,66,37,56.06,9,13.64,3,4.55,14,21.21,3,4.55,11041
11,42,74,37,50.0,10,13.51,5,6.76,21,28.38,1,1.35,11042
11,43,82,33,40.24,11,13.41,6,7.32,30,36.59,2,2.44,11043
11,44,87,30,34.48,16,18.39,14,16.09,24,27.59,3,3.45,11044
11,45,37,18,48.65,4,10.81,3,8.11,9,24.32,3,8.11,11045
11,46,76,50,65.79,8,10.53,11,14.47,7,9.21,0,0.0,11046
11,47,81,37,45.68,14,17.28,5,6.17,25,30.86,0,0.0,11047
11,48,39,24,61.54,1,2.56,4,10.26,10,25.64,0,0.0,11048
11,49,77,33,42.86,5,6.49,5,6.49,31,40.26,3,3.9,11049
11,50,61,31,50.82,7,11.48,3,4.92,18,29.51,2,3.28,11050
12,1,77,28,36.36,40,51.95,2,2.6,4,5.19,3,3.9,12001
12,2,76,24,31.58,38,50.0,4,5.26,9,11.84,1,1.32,12002
12,3,55,15,27.27,26,47.27,4,7.27,8,14.55,2,3.64,12003
12,4,37,14,37.84,14,37.84,2,5.41,6,16.22,1,2.7,12004
12,5,54,19,35.19,27,50.0,1,1.85,6,11.11,1,1.85,12005
12,6,67,27,40.3,24,35.82,3,4.48,5,7.46,8,11.94,12006
12,7,104,32,30.77,56,53.85,6,5.77,7,6.73,3,2.88,12007
12,8,108,28,25.93,46,42.59,7,6.48,23,21.3,4,3.7,12008
12,9,47,12,25.53,29,61.7,1,2.13,3,6.38,2,4.26,12009
12,10,85,27,31.76,35,41.18,7,8.24,11,12.94,5,5.88,12010
12,11,141,51,36.17,69,48.94,6,4.26,12,8.51,3,2.13,12011
12,12,73,26,35.62,26,35.62,3,4.11,16,21.92,2,2.74,12012
12,13,111,34,30.63,48,43.24,2,1.8,26,23.42,1,0.9,12013
12,14,56,18,32.14,25,44.64,6,10.71,7,12.5,0,0.0,12014
12,15,77,30,38.96,43,55.84,1,1.3,3,3.9,0,0.0,12015
12,16,50,12,24.0,21,42.0,6,12.0,8,16.0,3,6.0,12016
12,17,87,19,21.84,27,31.03,14,16.09,18,20.69,9,10.34,12017
12,18,108,33,30.56,53,49.07,8,7.41,13,12.04,1,0.93,12018
12,19,82,24,29.27,34,41.46,6,7.32,15,18.29,3,3.66,12019
12,20,49,15,30.61,25,51.02,2,4.08,7,14.29,0,0.0,12020
12,21,78,28,35.9,27,34.62,6,7.69,15,19.23,2,2.56,12021
12,22,68,21,30.88,30,44.12,7,10.29,8,11.76,2,2.94,12022
12,23,63,15,23.81,27,42.86,2,3.17,13,20.63,6,9.52,12023
12,24,75,26,34.67,32,42.67,9,12.0,8,10.67,0,0.0,12024
13,1,185,110,59.46,15,8.11,15,8.11,38,20.54,7,3.78,13001
13,2,137,83,60.58,18,13.14,10,7.3,23,16.79,3,2.19,13002
13,3,119,53,44.54,31,26.05,7,5.88,24,20.17,4,3.36,13003
13,4,252,107,42.46,22,8.73,13,5.16,100,39.68,10,3.97,13004
13,5,170,85,50.0,42,24.71,14,8.24,27,15.88,2,1.18,13005
13,6,105,47,44.76,13,12.38,7,6.67,37,35.24,1,0.95,13006
13,7,154,75,48.7,24,15.58,14,9.09,35,22.73,6,3.9,13007
13,8,195,114,58.46,16,8.21,10,5.13,50,25.64,5,2.56,13008
13,9,153,75,49.02,31,20.26,6,3.92,38,24.84,3,1.96,13009
13,10,80,32,40.0,10,12.5,8,10.0,26,32.5,4,5.0,13010
13,11,89,23,25.84,14,15.73,17,19.1,34,38.2,1,1.12,13011
13,12,138,64,46.38,23,16.67,10,7.25,40,28.99,1,0.72,13012
13,13,215,154,71.63,21,9.77,9,4.19,28,13.02,3,1.4,13013
13,14,149,87,58.39,22,14.77,4,2.68,32,21.48,4,2.68,13014
13,15,228,129,56.58,42,18.42,11,4.82,39,17.11,7,3.07,13015
13,16,198,130,65.66,34,17.17,6,3.03,28,14.14,0,0.0,13016
13,17,163,83,50.92,15,9.2,9,5.52,52,31.9,4,2.45,13017
13,18,120,49,40.83,35,29.17,9,7.5,24,20.0,3,2.5,13018
13,19,173,112,64.74,25,14.45,12,6.94,23,13.29,1,0.58,13019
13,20,129,53,41.09,43,33.33,5,3.88,25,19.38,3,2.33,13020
13,21,100,34,34.0,12,12.0,27,27.0,26,26.0,1,1.0,13021
13,22,129,63,48.84,28,21.71,12,9.3,23,17.83,3,2.33,13022
13,23,134,85,63.43,17,12.69,9,6.72,20,14.93,3,2.24,13023
13,24,166,100,60.24,19,11.45,10,6.02,30,18.07,7,4.22,13024
13,25,135,73,54.07,17,12.59,7,5.19,35,25.93,3,2.22,13025
13,26,225,172,76.44,12,5.33,4,1.78,36,16.0,1,0.44,13026
13,27,169,85,50.3,20,11.83,12,7.1,51,30.18,1,0.59,13027
13,28,104,47,45.19,26,25.0,7,6.73,22,21.15,2,1.92,13028
13,29,157,98,62.42,25,15.92,11,7.01,22,14.01,1,0.64,13029
13,30,210,128,60.95,47,22.38,9,4.29,25,11.9,1,0.48,13030
13,31,113,44,38.94,39,34.51,8,7.08,17,15.04,5,4.42,13031
13,32,111,50,45.05,9,8.11,35,31.53,14,12.61,3,2.7,13032
13,33,159,109,68.55,17,10.69,11,6.92,20,12.58,2,1.26,13033
13,34,272,217,79.78,19,6.99,13,4.78,22,8.09,1,0.37,13034
13,35,203,144,70.94,27,13.3,4,1.97,27,13.3,1,0.49,13035
13,36,94,55,58.51,20,21.28,2,2.13,15,15.96,2,2.13,13036
13,37,195,98,50.26,21,10.77,24,12.31,45,23.08,7,3.59,13037
13,38,110,45,40.91,17,15.45,14,12.73,32,29.09,2,1.82,13038
13,39,165,109,66.06,24,14.55,4,2.42,27,16.36,1,0.61,13039
13,40,218,120,55.05,44,20.18,14,6.42,35,16.06,5,2.29,13040
13,41,169,97,57.4,39,23.08,8,4.73,25,14.79,0,0.0,13041
13,42,181,95,52.49,20,11.05,12,6.63,46,25.41,8,4.42,13042
13,43,221,114,51.58,46,20.81,8,3.62,43,19.46,10,4.52,13043
13,44,387,350,90.44,19,4.91,9,2.33,8,2.07,1,0.26,13044
13,45,233,136,58.37,23,9.87,12,5.15,56,24.03,6,2.58,13045
13,46,173,75,43.35,43,24.86,8,4.62,44,25.43,3,1.73,13046
13,47,182,102,56.04,36,19.78,6,3.3,36,19.78,2,1.1,13047
14,1,136,64,47.06,41,30.15,8,5.88,20,14.71,3,2.21,14001
14,2,161,65,40.37,30,18.63,11,6.83,50,31.06,5,3.11,14002
14,3,91,46,50.55,22,24.18,11,12.09,10,10.99,2,2.2,14003
14,4,81,37,45.68,28,34.57,3,3.7,12,14.81,1,1.23,14004
14,5,103,67,65.05,19,18.45,5,4.85,12,11.65,0,0.0,14005
14,6,53,27,50.94,19,35.85,1,1.89,4,7.55,2,3.77,14006
14,7,125,55,44.0,37,29.6,10,8.0,19,15.2,4,3.2,14007
14,8,80,29,36.25,28,35.0,4,5.0,15,18.75,4,5.0,14008
14,9,124,73,58.87,34,27.42,2,1.61,13,10.48,2,1.61,14009
14,10,79,45,56.96,17,21.52,4,5.06,13,16.46,0,0.0,14010
14,11,85,61,71.76,16,18.82,0,0.0,8,9.41,0,0.0,14011
14,12,106,48,45.28,32,30.19,14,13.21,12,11.32,0,0.0,14012
14,13,86,48,55.81,21,24.42,5,5.81,9,10.47,3,3.49,14013
14,14,112,71,63.39,31,27.68,5,4.46,5,4.46,0,0.0,14014
14,15,117,69,58.97,23,19.66,4,3.42,19,16.24,2,1.71,14015
14,16,79,41,51.9,18,22.78,5,6.33,14,17.72,1,1.27,14016
14,17,74,40,54.05,22,29.73,1,1.35,8,10.81,3,4.05,14017
14,18,50,18,36.0,21,42.0,4,8.0,3,6.0,4,8.0,14018
14,19,91,48,52.75,21,23.08,3,3.3,16,17.58,3,3.3,14019
14,20,54,23,42.59,19,35.19,5,9.26,6,11.11,1,1.85,14020
14,21,98,74,75.51,16,16.33,1,1.02,6,6.12,1,1.02,14021
14,22,170,77,45.29,61,35.88,9,5.29,20,11.76,3,1.76,14022
14,23,79,30,37.97,26,32.91,8,10.13,13,16.46,2,2.53,14023
14,24,67,45,67.16,10,14.93,1,1.49,8,11.94,3,4.48,14024
14,25,66,39,59.09,16,24.24,2,3.03,9,13.64,0,0.0,14025
14,26,51,21,41.18,17,33.33,3,5.88,7,13.73,3,5.88,14026
14,27,104,36,34.62,29,27.88,11,10.58,27,25.96,1,0.96,14027
14,28,71,30,42.25,16,22.54,3,4.23,19,26.76,3,4.23,14028
14,29,137,85,62.04,22,16.06,6,4.38,21,15.33,3,2.19,14029
14,30,100,55,55.0,20,20.0,6,6.0,17,17.0,2,2.0,14030
14,31,55,25,45.45,23,41.82,1,1.82,5,9.09,1,1.82,14031
14,32,59,29,49.15,17,28.81,7,11.86,4,6.78,2,3.39,14032
15,1,118,56,47.46,26,22.03,16,13.56,16,13.56,4,3.39,15001
15,2,47,21,44.68,3,6.38,13,27.66,8,17.02,2,4.26,15002
15,3,47,20,42.55,4,8.51,14,29.79,6,12.77,3,6.38,15003
15,4,109,53,48.62,5,4.59,37,33.94,10,9.17,4,3.67,15004
15,5,38,9,23.68,2,5.26,14,36.84,11,28.95,2,5.26,15005
15,6,40,20,50.0,6,15.0,11,27.5,3,7.5,0,0.0,15006
15,7,70,22,31.43,8,11.43,30,42.86,9,12.86,1,1.43,15007
15,8,71,36,50.7,6,8.45,19,26.76,6,8.45,4,5.63,15008
15,9,105,31,29.52,11,10.48,43,40.95,17,16.19,3,2.86,15009
15,10,29,7,24.14,15,51.72,1,3.45,6,20.69,0,0.0,15010
15,11,58,20,34.48,2,3.45,20,34.48,12,20.69,4,6.9,15011
15,12,36,11,30.56,3,8.33,17,47.22,4,11.11,1,2.78,15012
15,13,64,31,48.44,13,20.31,14,21.88,5,7.81,1,1.56,15013
15,14,55,25,45.45,11,20.0,10,18.18,8,14.55,1,1.82,15014
15,15,31,10,32.26,6,19.35,9,29.03,5,16.13,1,3.23,15015
15,16,30,13,43.33,6,20.0,2,6.67,5,16.67,4,13.33,15016
15,17,62,23,37.1,2,3.23,22,35.48,11,17.74,4,6.45,15017
15,18,106,46,43.4,7,6.6,31,29.25,21,19.81,1,0.94,15018
15,19,74,22,29.73,8,10.81,28,37.84,12,16.22,4,5.41,15019
15,20,43,16,37.21,4,9.3,15,34.88,7,16.28,1,2.33,15020
15,21,73,30,41.1,4,5.48,31,42.47,8,10.96,0,0.0,15021
15,22,83,38,45.78,3,3.61,25,30.12,15,18.07,2,2.41,15022
15,23,107,40,37.38,5,4.67,41,38.32,16,14.95,5,4.67,15023
15,24,52,19,36.54,4,7.69,18,34.62,9,17.31,2,3.85,15024
15,25,50,25,50.0,6,12.0,8,16.0,11,22.0,0,0.0,15025
15,26,101,42,41.58,8,7.92,29,28.71,16,15.84,6,5.94,15026
15,27,54,20,37.04,4,7.41,17,31.48,11,20.37,2,3.7,15027
15,28,72,29,40.28,14,19.44,8,11.11,19,26.39,2,2.78,15028
15,29,13,4,30.77,3,23.08,2,15.38,2,15.38,2,15.38,15029
15,30,39,16,41.03,6,15.38,9,23.08,7,17.95,1,2.56,15030
15,31,96,37,38.54,10,10.42,37,38.54,8,8.33,4,4.17,15031
15,32,46,18,39.13,11,23.91,9,19.57,7,15.22,1,2.17,15032
15,33,48,7,14.58,4,8.33,28,58.33,6,12.5,3,6.25,15033
15,34,54,25,46.3,3,5.56,19,35.19,6,11.11,1,1.85,15034
15,35,62,24,38.71,5,8.06,24,38.71,8,12.9,1,1.61,15035
15,36,70,34,48.57,5,7.14,19,27.14,10,14.29,2,2.86,15036
