ward,precinct,total,Charles Smith (Obama),Charles Smith (Obama) Percent,Emma Mitts (Obama),Emma Mitts (Obama) Percent,Susan Lee (Obama),Susan Lee (Obama) Percent,Carmen Lonstein (Obama),Carmen Lonstein (Obama) Percent,La Shawn K. Ford (Obama),La Shawn K. Ford (Obama) Percent,Karen A. Yarbrough (Obama),Karen A. Yarbrough (Obama) Percent,Matt Fruth (Obama),Matt Fruth (Obama) Percent,Byron Brazier (Obama),Byron Brazier (Obama) Percent,precinct_id
24,29,901,99,10.99,102,11.32,88,9.77,76,8.44,106,11.76,92,10.21,81,8.99,87,9.66,24029
24,30,455,53,11.65,50,10.99,43,9.45,40,8.79,52,11.43,48,10.55,40,8.79,43,9.45,24030
24,31,573,68,11.87,60,10.47,53,9.25,52,9.08,69,12.04,62,10.82,51,8.9,50,8.73,24031
24,32,710,85,11.97,82,11.55,66,9.3,65,9.15,78,10.99,70,9.86,64,9.01,67,9.44,24032
24,34,592,63,10.64,64,10.81,57,9.63,58,9.8,61,10.3,62,10.47,53,8.95,56,9.46,24034
24,35,1066,120,11.26,114,10.69,105,9.85,98,9.19,113,10.6,111,10.41,97,9.1,99,9.29,24035
24,36,872,99,11.35,97,11.12,85,9.75,77,8.83,94,10.78,94,10.78,77,8.83,84,9.63,24036
24,37,630,67,10.63,71,11.27,57,9.05,55,8.73,71,11.27,70,11.11,53,8.41,60,9.52,24037
24,38,801,83,10.36,80,9.99,80,9.99,73,9.11,89,11.11,88,10.99,71,8.86,82,10.24,24038
24,39,617,76,12.32,71,11.51,57,9.24,59,9.56,61,9.89,64,10.37,54,8.75,60,9.72,24039
24,40,843,88,10.44,90,10.68,83,9.85,77,9.13,89,10.56,89,10.56,78,9.25,90,10.68,24040
24,41,531,61,11.49,58,10.92,48,9.04,47,8.85,60,11.3,54,10.17,49,9.23,54,10.17,24041
24,42,533,55,10.32,58,10.88,54,10.13,53,9.94,56,10.51,52,9.76,50,9.38,53,9.94,24042
24,43,725,81,11.17,85,11.72,72,9.93,62,8.55,86,11.86,75,10.34,64,8.83,70,9.66,24043
24,44,1029,106,10.3,112,10.88,111,10.79,96,9.33,104,10.11,105,10.2,89,8.65,102,9.91,24044
24,45,399,44,11.03,42,10.53,38,9.52,34,8.52,47,11.78,47,11.78,33,8.27,37,9.27,24045
24,46,672,71,10.57,72,10.71,65,9.67,62,9.23,90,13.39,71,10.57,58,8.63,60,8.93,24046
24,47,558,60,10.75,60,10.75,55,9.86,51,9.14,65,11.65,61,10.93,49,8.78,54,9.68,24047
24,48,816,90,11.03,86,10.54,81,9.93,73,8.95,93,11.4,89,10.91,72,8.82,81,9.93,24048
24,49,1776,182,10.25,195,10.98,177,9.97,171,9.63,186,10.47,186,10.47,167,9.4,165,9.29,24049
24,50,1022,113,11.06,112,10.96,100,9.78,91,8.9,117,11.45,116,11.35,84,8.22,101,9.88,24050
25,3,339,40,11.8,33,9.73,35,10.32,33,9.73,37,10.91,36,10.62,30,8.85,32,9.44,25003
25,4,655,68,10.38,67,10.23,66,10.08,67,10.23,62,9.47,69,10.53,59,9.01,66,10.08,25004
25,10,352,37,10.51,36,10.23,39,11.08,35,9.94,35,9.94,34,9.66,33,9.38,36,10.23,25010
25,14,253,27,10.67,26,10.28,31,12.25,23,9.09,24,9.49,24,9.49,22,8.7,24,9.49,25014
25,16,246,29,11.79,25,10.16,28,11.38,24,9.76,24,9.76,25,10.16,22,8.94,21,8.54,25016
25,18,575,63,10.96,59,10.26,69,12.0,54,9.39,57,9.91,55,9.57,52,9.04,54,9.39,25018
25,21,706,77,10.91,70,9.92,72,10.2,73,10.34,68,9.63,75,10.62,66,9.35,66,9.35,25021
25,25,513,51,9.94,53,10.33,57,11.11,52,10.14,47,9.16,53,10.33,49,9.55,49,9.55,25025
25,27,415,44,10.6,44,10.6,42,10.12,40,9.64,40,9.64,44,10.6,40,9.64,41,9.88,25027
25,28,764,75,9.82,74,9.69,78,10.21,75,9.82,74,9.69,77,10.08,79,10.34,77,10.08,25028
25,29,1044,112,10.73,116,11.11,107,10.25,98,9.39,102,9.77,105,10.06,101,9.67,97,9.29,25029
26,1,273,28,10.26,29,10.62,30,10.99,26,9.52,27,9.89,28,10.26,24,8.79,25,9.16,26001
26,10,219,25,11.42,27,12.33,25,11.42,21,9.59,20,9.13,23,10.5,17,7.76,19,8.68,26010
26,17,347,34,9.8,37,10.66,35,10.09,35,10.09,34,9.8,38,10.95,33,9.51,33,9.51,26017
26,21,143,16,11.19,20,13.99,15,10.49,12,8.39,15,10.49,15,10.49,12,8.39,14,9.79,26021
26,27,57,6,10.53,5,8.77,5,8.77,5,8.77,5,8.77,6,10.53,5,8.77,6,10.53,26027
26,28,120,13,10.83,13,10.83,13,10.83,12,10.0,14,11.67,11,9.17,10,8.33,11,9.17,26028
26,33,240,25,10.42,26,10.83,25,10.42,25,10.42,21,8.75,26,10.83,22,9.17,22,9.17,26033
26,44,313,31,9.9,36,11.5,32,10.22,31,9.9,33,10.54,31,9.9,28,8.95,32,10.22,26044
26,46,141,14,9.93,14,9.93,14,9.93,14,9.93,15,10.64,14,9.93,14,9.93,15,10.64,26046
26,48,360,38,10.56,39,10.83,35,9.72,42,11.67,33,9.17,35,9.72,34,9.44,33,9.17,26048
27,1,524,50,9.54,52,9.92,51,9.73,52,9.92,54,10.31,58,11.07,52,9.92,52,9.92,27001
27,2,529,58,10.96,66,12.48,52,9.83,50,9.45,57,10.78,51,9.64,46,8.7,48,9.07,27002
27,3,810,87,10.74,101,12.47,76,9.38,73,9.01,92,11.36,79,9.75,73,9.01,75,9.26,27003
27,4,234,26,11.11,29,12.39,25,10.68,22,9.4,21,8.97,22,9.4,21,8.97,22,9.4,27004
27,5,195,20,10.26,22,11.28,21,10.77,19,9.74,19,9.74,22,11.28,18,9.23,18,9.23,27005
27,6,154,19,12.34,15,9.74,14,9.09,13,8.44,17,11.04,17,11.04,14,9.09,16,10.39,27006
27,7,637,64,10.05,64,10.05,64,10.05,63,9.89,63,9.89,64,10.05,64,10.05,63,9.89,27007
27,8,376,53,14.1,51,13.56,34,9.04,29,7.71,40,10.64,39,10.37,28,7.45,36,9.57,27008
27,9,1016,119,11.71,109,10.73,105,10.33,95,9.35,99,9.74,106,10.43,91,8.96,98,9.65,27009
27,10,1611,174,10.8,167,10.37,160,9.93,156,9.68,164,10.18,165,10.24,149,9.25,157,9.75,27010
27,11,348,36,10.34,36,10.34,36,10.34,35,10.06,35,10.06,35,10.06,35,10.06,32,9.2,27011
27,12,422,49,11.61,41,9.72,43,10.19,40,9.48,41,9.72,42,9.95,41,9.72,40,9.48,27012
27,14,854,104,12.18,103,12.06,79,9.25,75,8.78,91,10.66,91,10.66,72,8.43,79,9.25,27014
27,15,970,107,11.03,107,11.03,95,9.79,90,9.28,105,10.82,98,10.1,90,9.28,89,9.18,27015
27,16,269,27,10.04,28,10.41,27,10.04,27,10.04,28,10.41,27,10.04,26,9.67,27,10.04,27016
27,17,426,42,9.86,43,10.09,44,10.33,44,10.33,42,9.86,44,10.33,43,10.09,43,10.09,27017
27,18,164,16,9.76,17,10.37,16,9.76,17,10.37,15,9.15,17,10.37,16,9.76,16,9.76,27018
27,19,1121,117,10.44,124,11.06,110,9.81,107,9.55,121,10.79,110,9.81,104,9.28,110,9.81,27019
27,20,549,62,11.29,63,11.48,61,11.11,47,8.56,60,10.93,54,9.84,45,8.2,52,9.47,27020
27,21,599,71,11.85,67,11.19,62,10.35,54,9.02,61,10.18,61,10.18,55,9.18,55,9.18,27021
27,22,930,103,11.08,112,12.04,95,10.22,85,9.14,94,10.11,92,9.89,81,8.71,87,9.35,27022
27,23,711,75,10.55,77,10.83,69,9.7,64,9.0,79,11.11,78,10.97,64,9.0,67,9.42,27023
27,24,878,97,11.05,100,11.39,89,10.14,81,9.23,91,10.36,87,9.91,81,9.23,83,9.45,27024
27,25,305,31,10.16,40,13.11,30,9.84,28,9.18,31,10.16,30,9.84,26,8.52,31,10.16,27025
27,26,718,78,10.86,83,11.56,67,9.33,61,8.5,86,11.98,82,11.42,61,8.5,65,9.05,27026
27,27,545,61,11.19,58,10.64,53,9.72,50,9.17,60,11.01,58,10.64,48,8.81,51,9.36,27027
27,28,655,71,10.84,67,10.23,66,10.08,63,9.62,67,10.23,65,9.92,63,9.62,63,9.62,27028
27,29,294,28,9.52,36,12.24,31,10.54,26,8.84,30,10.2,32,10.88,27,9.18,28,9.52,27029
27,30,305,35,11.48,34,11.15,29,9.51,27,8.85,30,9.84,33,10.82,27,8.85,31,10.16,27030
27,31,515,62,12.04,59,11.46,52,10.1,48,9.32,50,9.71,54,10.49,47,9.13,50,9.71,27031
27,33,477,48,10.06,52,10.9,46,9.64,46,9.64,51,10.69,49,10.27,45,9.43,47,9.85,27033
27,34,947,105,11.09,108,11.4,88,9.29,83,8.76,117,12.35,97,10.24,84,8.87,86,9.08,27034
27,35,522,56,10.73,54,10.34,53,10.15,51,9.77,50,9.58,53,10.15,50,9.58,50,9.58,27035
27,36,618,74,11.97,66,10.68,61,9.87,54,8.74,63,10.19,65,10.52,53,8.58,64,10.36,27036
27,37,1075,117,10.88,108,10.05,107,9.95,106,9.86,107,9.95,107,9.95,101,9.4,107,9.95,27037
27,40,279,34,12.19,32,11.47,27,9.68,24,8.6,30,10.75,31,11.11,25,8.96,28,10.04,27040
27,43,466,47,10.09,47,10.09,47,10.09,47,10.09,46,9.87,46,9.87,46,9.87,47,10.09,27043
27,44,1015,117,11.53,116,11.43,97,9.56,93,9.16,106,10.44,101,9.95,90,8.87,97,9.56,27044
27,45,171,16,9.36,17,9.94,17,9.94,17,9.94,17,9.94,18,10.53,17,9.94,19,11.11,27045
28,1,654,65,9.94,72,11.01,63,9.63,64,9.79,77,11.77,66,10.09,60,9.17,64,9.79,28001
28,2,741,85,11.47,87,11.74,69,9.31,66,8.91,85,11.47,80,10.8,64,8.64,68,9.18,28002
28,3,334,41,12.28,37,11.08,29,8.68,31,9.28,41,12.28,31,9.28,30,8.98,32,9.58,28003
28,4,740,81,10.95,78,10.54,70,9.46,66,8.92,93,12.57,80,10.81,67,9.05,67,9.05,28004
28,5,505,51,10.1,53,10.5,52,10.3,49,9.7,53,10.5,55,10.89,48,9.5,52,10.3,28005
28,6,414,45,10.87,46,11.11,41,9.9,40,9.66,45,10.87,41,9.9,37,8.94,40,9.66,28006
28,7,361,43,11.91,42,11.63,35,9.7,33,9.14,38,10.53,39,10.8,31,8.59,34,9.42,28007
28,8,584,60,10.27,67,11.47,57,9.76,54,9.25,64,10.96,62,10.62,55,9.42,57,9.76,28008
28,9,497,60,12.07,55,11.07,49,9.86,41,8.25,60,12.07,48,9.66,44,8.85,47,9.46,28009
28,10,190,19,10.0,22,11.58,18,9.47,18,9.47,19,10.0,19,10.0,18,9.47,21,11.05,28010
28,11,379,38,10.03,40,10.55,40,10.55,36,9.5,42,11.08,39,10.29,35,9.23,34,8.97,28011
28,12,389,38,9.77,42,10.8,37,9.51,38,9.77,41,10.54,40,10.28,37,9.51,39,10.03,28012
28,13,379,40,10.55,43,11.35,39,10.29,36,9.5,43,11.35,37,9.76,34,8.97,35,9.23,28013
28,14,797,84,10.54,91,11.42,77,9.66,72,9.03,93,11.67,85,10.66,74,9.28,74,9.28,28014
28,15,511,53,10.37,68,13.31,46,9.0,41,8.02,68,13.31,52,10.18,42,8.22,49,9.59,28015
28,16,468,50,10.68,58,12.39,45,9.62,40,8.55,55,11.75,45,9.62,41,8.76,46,9.83,28016
28,17,582,64,11.0,69,11.86,52,8.93,51,8.76,71,12.2,62,10.65,51,8.76,54,9.28,28017
28,18,678,78,11.5,89,13.13,61,9.0,60,8.85,74,10.91,72,10.62,56,8.26,62,9.14,28018
28,19,721,68,9.43,83,11.51,71,9.85,67,9.29,87,12.07,70,9.71,67,9.29,67,9.29,28019
28,20,841,95,11.3,94,11.18,83,9.87,78,9.27,82,9.75,88,10.46,74,8.8,81,9.63,28020
28,21,702,72,10.26,84,11.97,67,9.54,63,8.97,87,12.39,77,10.97,61,8.69,67,9.54,28021
28,22,577,63,10.92,64,11.09,57,9.88,52,9.01,65,11.27,57,9.88,51,8.84,58,10.05,28022
28,23,997,109,10.93,120,12.04,98,9.83,90,9.03,104,10.43,101,10.13,90,9.03,94,9.43,28023
28,24,377,42,11.14,40,10.61,35,9.28,36,9.55,38,10.08,39,10.34,35,9.28,38,10.08,28024
28,25,459,52,11.33,50,10.89,42,9.15,45,9.8,51,11.11,48,10.46,43,9.37,43,9.37,28025
28,26,586,62,10.58,62,10.58,59,10.07,56,9.56,63,10.75,60,10.24,54,9.22,56,9.56,28026
28,27,632,64,10.13,81,12.82,54,8.54,60,9.49,89,14.08,60,9.49,56,8.86,59,9.34,28027
28,28,441,45,10.2,47,10.66,44,9.98,43,9.75,47,10.66,45,10.2,41,9.3,43,9.75,28028
28,30,419,42,10.02,47,11.22,39,9.31,41,9.79,49,11.69,43,10.26,40,9.55,39,9.31,28030
28,31,587,64,10.9,67,11.41,57,9.71,54,9.2,62,10.56,63,10.73,52,8.86,58,9.88,28031
28,32,526,60,11.41,62,11.79,53,10.08,47,8.94,60,11.41,51,9.7,44,8.37,50,9.51,28032
28,33,776,90,11.6,86,11.08,74,9.54,69,8.89,91,11.73,80,10.31,64,8.25,76,9.79,28033
28,34,284,29,10.21,31,10.92,31,10.92,27,9.51,28,9.86,27,9.51,27,9.51,27,9.51,28034
28,35,414,48,11.59,48,11.59,38,9.18,37,8.94,41,9.9,46,11.11,37,8.94,39,9.42,28035
28,36,1142,121,10.6,126,11.03,117,10.25,104,9.11,120,10.51,120,10.51,103,9.02,111,9.72,28036
28,37,1221,134,10.97,140,11.47,120,9.83,113,9.25,130,10.65,126,10.32,110,9.01,118,9.66,28037
28,38,573,60,10.47,72,12.57,55,9.6,54,9.42,72,12.57,56,9.77,45,7.85,54,9.42,28038
28,39,522,55,10.54,71,13.6,48,9.2,47,9.0,60,11.49,52,9.96,46,8.81,46,8.81,28039
28,40,876,94,10.73,97,11.07,83,9.47,76,8.68,103,11.76,96,10.96,79,9.02,84,9.59,28040
28,41,392,41,10.46,54,13.78,36,9.18,32,8.16,49,12.5,40,10.2,33,8.42,36,9.18,28041
28,42,439,43,9.79,45,10.25,42,9.57,40,9.11,56,12.76,43,9.79,40,9.11,46,10.48,28042
28,43,867,97,11.19,99,11.42,83,9.57,80,9.23,94,10.84,90,10.38,76,8.77,84,9.69,28043
28,44,737,78,10.58,84,11.4,72,9.77,65,8.82,86,11.67,76,10.31,66,8.96,74,10.04,28044
28,45,601,60,9.98,71,11.81,56,9.32,55,9.15,72,11.98,63,10.48,53,8.82,57,9.48,28045
28,46,558,58,10.39,69,12.37,52,9.32,51,9.14,66,11.83,53,9.5,49,8.78,57,10.22,28046
28,47,573,66,11.52,68,11.87,56,9.77,53,9.25,58,10.12,55,9.6,51,8.9,53,9.25,28047
28,48,557,61,10.95,69,12.39,52,9.34,48,8.62,64,11.49,57,10.23,49,8.8,52,9.34,28048
28,49,543,59,10.87,67,12.34,52,9.58,51,9.39,65,11.97,52,9.58,47,8.66,49,9.02,28049
28,50,430,48,11.16,45,10.47,41,9.53,42,9.77,46,10.7,45,10.47,40,9.3,43,10.0,28050
28,51,464,47,10.13,65,14.01,41,8.84,40,8.62,66,14.22,48,10.34,36,7.76,41,8.84,28051
28,52,453,48,10.6,48,10.6,47,10.38,45,9.93,46,10.15,45,9.93,41,9.05,45,9.93,28052
28,53,804,84,10.45,87,10.82,78,9.7,77,9.58,88,10.95,79,9.83,77,9.58,76,9.45,28053
28,54,388,38,9.79,43,11.08,36,9.28,35,9.02,42,10.82,44,11.34,34,8.76,38,9.79,28054
28,55,341,41,12.02,32,9.38,35,10.26,30,8.8,36,10.56,36,10.56,31,9.09,36,10.56,28055
29,1,1654,173,10.46,175,10.58,164,9.92,153,9.25,184,11.12,173,10.46,155,9.37,159,9.61,29001
29,3,1346,139,10.33,150,11.14,129,9.58,125,9.29,155,11.52,137,10.18,121,8.99,131,9.73,29003
29,4,1161,120,10.34,140,12.06,108,9.3,108,9.3,129,11.11,115,9.91,104,8.96,113,9.73,29004
29,5,729,76,10.43,90,12.35,67,9.19,65,8.92,91,12.48,76,10.43,62,8.5,70,9.6,29005
29,7,221,21,9.5,26,11.76,22,9.95,22,9.95,20,9.05,22,9.95,20,9.05,22,9.95,29007
29,8,482,54,11.2,60,12.45,45,9.34,42,8.71,61,12.66,46,9.54,42,8.71,44,9.13,29008
29,10,384,40,10.42,46,11.98,40,10.42,34,8.85,37,9.64,40,10.42,32,8.33,40,10.42,29010
29,11,827,85,10.28,99,11.97,75,9.07,76,9.19,98,11.85,87,10.52,76,9.19,75,9.07,29011
29,12,1008,99,9.82,119,11.81,94,9.33,92,9.13,130,12.9,111,11.01,89,8.83,96,9.52,29012
29,13,1147,116,10.11,130,11.33,110,9.59,110,9.59,126,10.99,119,10.37,107,9.33,108,9.42,29013
29,14,1239,126,10.17,145,11.7,120,9.69,102,8.23,146,11.78,144,11.62,106,8.56,123,9.93,29014
29,15,1278,135,10.56,145,11.35,121,9.47,118,9.23,146,11.42,129,10.09,117,9.15,123,9.62,29015
29,16,2119,215,10.15,224,10.57,209,9.86,209,9.86,214,10.1,217,10.24,208,9.82,210,9.91,29016
29,17,967,98,10.13,108,11.17,93,9.62,89,9.2,113,11.69,99,10.24,89,9.2,96,9.93,29017
29,18,972,97,9.98,110,11.32,94,9.67,88,9.05,111,11.42,105,10.8,87,8.95,96,9.88,29018
29,19,1461,149,10.2,163,11.16,140,9.58,140,9.58,161,11.02,157,10.75,138,9.45,141,9.65,29019
29,20,1421,150,10.56,153,10.77,137,9.64,134,9.43,155,10.91,153,10.77,132,9.29,136,9.57,29020
29,21,697,73,10.47,86,12.34,69,9.9,64,9.18,79,11.33,73,10.47,60,8.61,62,8.9,29021
29,22,878,90,10.25,96,10.93,82,9.34,76,8.66,110,12.53,89,10.14,81,9.23,85,9.68,29022
29,23,1060,110,10.38,113,10.66,106,10.0,100,9.43,110,10.38,105,9.91,104,9.81,105,9.91,29023
29,24,930,98,10.54,128,13.76,90,9.68,83,8.92,111,11.94,100,10.75,73,7.85,81,8.71,29024
29,25,1124,116,10.32,118,10.5,112,9.96,109,9.7,120,10.68,114,10.14,105,9.34,112,9.96,29025
29,26,841,85,10.11,109,12.96,79,9.39,76,9.04,101,12.01,86,10.23,72,8.56,76,9.04,29026
29,27,608,60,9.87,67,11.02,59,9.7,55,9.05,66,10.86,65,10.69,54,8.88,63,10.36,29027
29,28,1039,111,10.68,109,10.49,102,9.82,95,9.14,120,11.55,111,10.68,98,9.43,97,9.34,29028
29,29,1668,170,10.19,173,10.37,166,9.95,161,9.65,174,10.43,169,10.13,158,9.47,167,10.01,29029
29,31,761,80,10.51,81,10.64,75,9.86,70,9.2,88,11.56,78,10.25,71,9.33,73,9.59,29031
29,33,1140,117,10.26,135,11.84,113,9.91,107,9.39,120,10.53,116,10.18,102,8.95,114,10.0,29033
29,34,512,53,10.35,61,11.91,47,9.18,46,8.98,66,12.89,52,10.16,45,8.79,51,9.96,29034
29,35,825,83,10.06,99,12.0,79,9.58,71,8.61,97,11.76,86,10.42,72,8.73,81,9.82,29035
29,36,1487,153,10.29,164,11.03,145,9.75,139,9.35,172,11.57,147,9.89,137,9.21,143,9.62,29036
29,37,926,89,9.61,114,12.31,90,9.72,85,9.18,103,11.12,97,10.48,84,9.07,92,9.94,29037
29,38,985,106,10.76,112,11.37,95,9.64,92,9.34,109,11.07,100,10.15,91,9.24,91,9.24,29038
29,40,1376,141,10.25,161,11.7,135,9.81,128,9.3,149,10.83,142,10.32,127,9.23,137,9.96,29040
29,41,1031,108,10.48,123,11.93,100,9.7,95,9.21,119,11.54,106,10.28,91,8.83,95,9.21,29041
29,42,1188,125,10.52,141,11.87,115,9.68,106,8.92,142,11.95,125,10.52,103,8.67,113,9.51,29042
29,43,1332,137,10.29,144,10.81,131,9.83,126,9.46,147,11.04,139,10.44,122,9.16,131,9.83,29043
29,44,1020,100,9.8,114,11.18,102,10.0,98,9.61,109,10.69,100,9.8,93,9.12,96,9.41,29044
29,45,665,68,10.23,80,12.03,63,9.47,60,9.02,81,12.18,69,10.38,59,8.87,59,8.87,29045
29,46,644,70,10.87,83,12.89,63,9.78,56,8.7,70,10.87,63,9.78,56,8.7,61,9.47,29046
29,47,1510,152,10.07,164,10.86,147,9.74,147,9.74,166,10.99,162,10.73,140,9.27,144,9.54,29047
29,48,700,70,10.0,91,13.0,70,10.0,62,8.86,81,11.57,71,10.14,61,8.71,71,10.14,29048
32,1,374,38,10.16,38,10.16,39,10.43,37,9.89,36,9.63,37,9.89,38,10.16,37,9.89,32001
32,6,494,50,10.12,55,11.13,57,11.54,46,9.31,48,9.72,50,10.12,47,9.51,46,9.31,32006
32,12,104,10,9.62,10,9.62,12,11.54,11,10.58,10,9.62,12,11.54,9,8.65,11,10.58,32012
32,17,71,9,12.68,8,11.27,8,11.27,6,8.45,7,9.86,6,8.45,7,9.86,6,8.45,32017
32,26,433,43,9.93,43,9.93,44,10.16,43,9.93,44,10.16,44,10.16,42,9.7,43,9.93,32026
36,16,1221,124,10.16,129,10.57,123,10.07,120,9.83,121,9.91,125,10.24,116,9.5,118,9.66,36016
36,23,1129,116,10.27,125,11.07,110,9.74,101,8.95,122,10.81,123,10.89,101,8.95,109,9.65,36023
36,24,963,99,10.28,101,10.49,95,9.87,92,9.55,106,11.01,104,10.8,87,9.03,94,9.76,36024
36,33,683,70,10.25,72,10.54,68,9.96,66,9.66,67,9.81,74,10.83,66,9.66,64,9.37,36033
36,44,1133,112,9.89,119,10.5,116,10.24,109,9.62,119,10.5,114,10.06,109,9.62,115,10.15,36044
37,2,662,67,10.12,80,12.08,64,9.67,59,8.91,76,11.48,68,10.27,58,8.76,63,9.52,37002
37,3,300,29,9.67,45,15.0,29,9.67,30,10.0,28,9.33,30,10.0,28,9.33,27,9.0,37003
37,4,746,77,10.32,96,12.87,73,9.79,67,8.98,82,10.99,75,10.05,67,8.98,71,9.52,37004
37,5,1087,110,10.12,135,12.42,103,9.48,102,9.38,118,10.86,107,9.84,99,9.11,108,9.94,37005
37,6,1183,116,9.81,143,12.09,114,9.64,114,9.64,120,10.14,122,10.31,109,9.21,118,9.97,37006
37,7,970,97,10.0,120,12.37,94,9.69,86,8.87,109,11.24,99,10.21,90,9.28,94,9.69,37007
37,8,393,36,9.16,51,12.98,36,9.16,37,9.41,44,11.2,41,10.43,36,9.16,36,9.16,37008
37,9,745,72,9.66,92,12.35,75,10.07,70,9.4,82,11.01,77,10.34,64,8.59,72,9.66,37009
37,10,1022,100,9.78,128,12.52,100,9.78,95,9.3,109,10.67,104,10.18,96,9.39,98,9.59,37010
37,12,466,48,10.3,62,13.3,45,9.66,43,9.23,52,11.16,45,9.66,41,8.8,40,8.58,37012
37,13,718,72,10.03,96,13.37,70,9.75,69,9.61,74,10.31,72,10.03,65,9.05,65,9.05,37013
37,14,1096,109,9.95,153,13.96,104,9.49,94,8.58,126,11.5,107,9.76,97,8.85,109,9.95,37014
37,15,794,81,10.2,95,11.96,77,9.7,73,9.19,88,11.08,79,9.95,73,9.19,79,9.95,37015
37,16,844,82,9.72,109,12.91,81,9.6,75,8.89,102,12.09,87,10.31,76,9.0,80,9.48,37016
37,17,553,55,9.95,81,14.65,50,9.04,45,8.14,66,11.93,59,10.67,47,8.5,54,9.76,37017
37,18,1126,111,9.86,145,12.88,108,9.59,103,9.15,123,10.92,112,9.95,105,9.33,111,9.86,37018
37,20,700,68,9.71,90,12.86,65,9.29,64,9.14,81,11.57,70,10.0,65,9.29,65,9.29,37020
37,21,824,78,9.47,117,14.2,76,9.22,72,8.74,93,11.29,89,10.8,72,8.74,76,9.22,37021
37,22,659,64,9.71,79,11.99,64,9.71,63,9.56,73,11.08,64,9.71,62,9.41,65,9.86,37022
37,23,608,55,9.05,83,13.65,56,9.21,54,8.88,75,12.34,62,10.2,54,8.88,57,9.38,37023
37,24,557,53,9.52,73,13.11,52,9.34,51,9.16,63,11.31,55,9.87,51,9.16,55,9.87,37024
37,25,837,84,10.04,109,13.02,77,9.2,76,9.08,104,12.43,86,10.27,73,8.72,80,9.56,37025
37,26,884,87,9.84,116,13.12,84,9.5,75,8.48,102,11.54,87,9.84,83,9.39,85,9.62,37026
37,27,915,95,10.38,121,13.22,89,9.73,83,9.07,107,11.69,94,10.27,75,8.2,86,9.4,37027
37,28,889,92,10.35,116,13.05,86,9.67,80,9.0,94,10.57,90,10.12,81,9.11,84,9.45,37028
37,29,703,72,10.24,90,12.8,67,9.53,64,9.1,77,10.95,71,10.1,64,9.1,66,9.39,37029
37,30,458,46,10.04,62,13.54,42,9.17,40,8.73,50,10.92,49,10.7,40,8.73,44,9.61,37030
37,31,875,81,9.26,110,12.57,82,9.37,80,9.14,102,11.66,91,10.4,80,9.14,82,9.37,37031
37,32,799,81,10.14,97,12.14,79,9.89,73,9.14,89,11.14,80,10.01,73,9.14,79,9.89,37032
37,33,428,41,9.58,60,14.02,39,9.11,36,8.41,56,13.08,47,10.98,35,8.18,40,9.35,37033
37,34,744,73,9.81,91,12.23,71,9.54,65,8.74,87,11.69,80,10.75,65,8.74,73,9.81,37034
37,35,973,99,10.17,120,12.33,93,9.56,89,9.15,110,11.31,98,10.07,87,8.94,92,9.46,37035
37,36,724,72,9.94,91,12.57,65,8.98,66,9.12,90,12.43,70,9.67,66,9.12,69,9.53,37036
37,37,666,68,10.21,97,14.56,61,9.16,53,7.96,83,12.46,75,11.26,53,7.96,64,9.61,37037
37,38,734,75,10.22,98,13.35,66,8.99,68,9.26,90,12.26,74,10.08,61,8.31,74,10.08,37038
37,40,862,92,10.67,102,11.83,89,10.32,77,8.93,97,11.25,88,10.21,80,9.28,84,9.74,37040
37,41,860,88,10.23,109,12.67,83,9.65,79,9.19,97,11.28,91,10.58,78,9.07,81,9.42,37041
37,42,252,23,9.13,37,14.68,27,10.71,22,8.73,26,10.32,23,9.13,21,8.33,24,9.52,37042
37,43,850,87,10.24,100,11.76,81,9.53,78,9.18,95,11.18,87,10.24,75,8.82,81,9.53,37043
42,1,884,90,10.18,90,10.18,89,10.07,90,10.18,85,9.62,90,10.18,88,9.95,87,9.84,42001
42,2,496,52,10.48,51,10.28,51,10.28,48,9.68,51,10.28,49,9.88,48,9.68,48,9.68,42002
42,3,548,54,9.85,58,10.58,57,10.4,54,9.85,51,9.31,60,10.95,52,9.49,53,9.67,42003
42,4,661,67,10.14,65,9.83,68,10.29,65,9.83,63,9.53,67,10.14,68,10.29,63,9.53,42004
42,5,652,66,10.12,66,10.12,66,10.12,64,9.82,65,9.97,66,10.12,66,10.12,64,9.82,42005
42,6,1519,153,10.07,149,9.81,153,10.07,155,10.2,149,9.81,157,10.34,150,9.87,152,10.01,42006
42,7,498,52,10.44,50,10.04,52,10.44,50,10.04,51,10.24,51,10.24,46,9.24,49,9.84,42007
42,9,1390,137,9.86,145,10.43,140,10.07,136,9.78,141,10.14,147,10.58,134,9.64,140,10.07,42009
42,11,937,93,9.93,92,9.82,98,10.46,94,10.03,91,9.71,94,10.03,93,9.93,93,9.93,42011
42,12,500,48,9.6,51,10.2,51,10.2,49,9.8,52,10.4,53,10.6,48,9.6,49,9.8,42012
42,13,1501,151,10.06,154,10.26,155,10.33,151,10.06,144,9.59,152,10.13,148,9.86,148,9.86,42013
42,14,505,50,9.9,49,9.7,52,10.3,52,10.3,49,9.7,52,10.3,49,9.7,50,9.9,42014
42,15,585,57,9.74,60,10.26,58,9.91,60,10.26,56,9.57,64,10.94,58,9.91,58,9.91,42015
42,16,140,14,10.0,14,10.0,14,10.0,14,10.0,14,10.0,14,10.0,14,10.0,14,10.0,42016
