ward,precinct,total,Michael A. Forti,Michael A. Forti Percent,Jessica A. O'Brien,Jessica A. O'Brien Percent,James A. Wright,James A. Wright Percent,precinct_id
10,42,57,18,31.58,34,59.65,5,8.77,10042
10,43,28,4,14.29,11,39.29,13,46.43,10043
10,44,55,15,27.27,32,58.18,8,14.55,10044
10,45,61,17,27.87,37,60.66,7,11.48,10045
10,46,46,17,36.96,25,54.35,4,8.7,10046
11,1,110,61,55.45,38,34.55,11,10.0,11001
11,2,98,34,34.69,54,55.1,10,10.2,11002
11,3,67,40,59.7,24,35.82,3,4.48,11003
11,4,79,28,35.44,42,53.16,9,11.39,11004
11,5,55,20,36.36,30,54.55,5,9.09,11005
11,6,115,37,32.17,66,57.39,12,10.43,11006
11,7,88,47,53.41,33,37.5,8,9.09,11007
11,8,92,31,33.7,50,54.35,11,11.96,11008
11,9,72,37,51.39,32,44.44,3,4.17,11009
11,10,54,15,27.78,33,61.11,6,11.11,11010
11,11,104,46,44.23,48,46.15,10,9.62,11011
11,12,101,65,64.36,33,32.67,3,2.97,11012
11,13,92,56,60.87,29,31.52,7,7.61,11013
11,14,61,37,60.66,18,29.51,6,9.84,11014
11,15,85,44,51.76,35,41.18,6,7.06,11015
11,16,111,57,51.35,43,38.74,11,9.91,11016
11,17,134,59,44.03,61,45.52,14,10.45,11017
11,18,57,18,31.58,27,47.37,12,21.05,11018
11,19,61,26,42.62,29,47.54,6,9.84,11019
11,20,96,66,68.75,26,27.08,4,4.17,11020
11,21,129,79,61.24,44,34.11,6,4.65,11021
11,22,91,46,50.55,36,39.56,9,9.89,11022
11,23,72,41,56.94,29,40.28,2,2.78,11023
11,24,237,161,67.93,64,27.0,12,5.06,11024
11,25,74,49,66.22,19,25.68,6,8.11,11025
11,26,116,65,56.03,44,37.93,7,6.03,11026
11,27,58,39,67.24,15,25.86,4,6.9,11027
11,28,67,33,49.25,30,44.78,4,5.97,11028
11,29,93,22,23.66,54,58.06,17,18.28,11029
11,30,81,36,44.44,39,48.15,6,7.41,11030
11,31,77,69,89.61,7,9.09,1,1.3,11031
11,32,73,45,61.64,24,32.88,4,5.48,11032
11,33,56,29,51.79,26,46.43,1,1.79,11033
11,34,51,28,54.9,15,29.41,8,15.69,11034
11,35,116,67,57.76,44,37.93,5,4.31,11035
11,36,21,14,66.67,3,14.29,4,19.05,11036
11,37,113,81,71.68,24,21.24,8,7.08,11037
11,38,136,97,71.32,35,25.74,4,2.94,11038
11,39,134,99,73.88,28,20.9,7,5.22,11039
11,40,62,40,64.52,17,27.42,5,8.06,11040
11,41,59,30,50.85,26,44.07,3,5.08,11041
11,42,70,41,58.57,26,37.14,3,4.29,11042
11,43,80,39,48.75,36,45.0,5,6.25,11043
11,44,91,31,34.07,42,46.15,18,19.78,11044
11,45,34,16,47.06,15,44.12,3,8.82,11045
11,46,71,46,64.79,15,21.13,10,14.08,11046
11,47,73,44,60.27,22,30.14,7,9.59,11047
11,48,40,23,57.5,17,42.5,0,0.0,11048
11,49,75,33,44.0,35,46.67,7,9.33,11049
11,50,52,29,55.77,20,38.46,3,5.77,11050
12,1,67,8,11.94,41,61.19,18,26.87,12001
12,2,58,15,25.86,33,56.9,10,17.24,12002
12,3,51,9,17.65,30,58.82,12,23.53,12003
12,4,28,4,14.29,22,78.57,2,7.14,12004
12,5,46,9,19.57,29,63.04,8,17.39,12005
12,6,59,7,11.86,33,55.93,19,32.2,12006
12,7,87,14,16.09,52,59.77,21,24.14,12007
12,8,95,19,20.0,66,69.47,10,10.53,12008
12,9,42,11,26.19,30,71.43,1,2.38,12009
12,10,86,21,24.42,51,59.3,14,16.28,12010
12,11,128,22,17.19,72,56.25,34,26.56,12011
12,12,65,8,12.31,37,56.92,20,30.77,12012
12,13,105,18,17.14,60,57.14,27,25.71,12013
12,14,46,11,23.91,19,41.3,16,34.78,12014
12,15,59,9,15.25,45,76.27,5,8.47,12015
12,16,40,5,12.5,25,62.5,10,25.0,12016
12,17,80,21,26.25,31,38.75,28,35.0,12017
12,18,88,14,15.91,58,65.91,16,18.18,12018
12,19,80,22,27.5,45,56.25,13,16.25,12019
12,20,45,10,22.22,32,71.11,3,6.67,12020
12,21,71,12,16.9,46,64.79,13,18.31,12021
12,22,59,9,15.25,40,67.8,10,16.95,12022
12,23,56,9,16.07,35,62.5,12,21.43,12023
12,24,70,24,34.29,35,50.0,11,15.71,12024
13,1,178,27,15.17,138,77.53,13,7.3,13001
13,2,132,7,5.3,110,83.33,15,11.36,13002
13,3,115,18,15.65,90,78.26,7,6.09,13003
13,4,239,50,20.92,171,71.55,18,7.53,13004
13,5,153,18,11.76,122,79.74,13,8.5,13005
13,6,98,23,23.47,66,67.35,9,9.18,13006
13,7,144,22,15.28,117,81.25,5,3.47,13007
13,8,181,35,19.34,138,76.24,8,4.42,13008
13,9,140,24,17.14,105,75.0,11,7.86,13009
13,10,74,15,20.27,48,64.86,11,14.86,13010
13,11,81,16,19.75,48,59.26,17,20.99,13011
13,12,132,23,17.42,96,72.73,13,9.85,13012
13,13,210,21,10.0,176,83.81,13,6.19,13013
13,14,142,18,12.68,116,81.69,8,5.63,13014
13,15,213,33,15.49,167,78.4,13,6.1,13015
13,16,185,28,15.14,146,78.92,11,5.95,13016
13,17,163,30,18.4,122,74.85,11,6.75,13017
13,18,117,18,15.38,90,76.92,9,7.69,13018
13,19,161,17,10.56,131,81.37,13,8.07,13019
13,20,117,26,22.22,75,64.1,16,13.68,13020
13,21,98,20,20.41,54,55.1,24,24.49,13021
13,22,120,26,21.67,80,66.67,14,11.67,13022
13,23,126,20,15.87,96,76.19,10,7.94,13023
13,24,155,11,7.1,126,81.29,18,11.61,13024
13,25,129,21,16.28,97,75.19,11,8.53,13025
13,26,221,22,9.95,191,86.43,8,3.62,13026
13,27,161,24,14.91,131,81.37,6,3.73,13027
13,28,96,12,12.5,70,72.92,14,14.58,13028
13,29,144,14,9.72,123,85.42,7,4.86,13029
13,30,200,27,13.5,155,77.5,18,9.0,13030
13,31,107,22,20.56,74,69.16,11,10.28,13031
13,32,101,10,9.9,48,47.52,43,42.57,13032
13,33,155,11,7.1,128,82.58,16,10.32,13033
13,34,260,12,4.62,239,91.92,9,3.46,13034
13,35,200,25,12.5,168,84.0,7,3.5,13035
13,36,91,20,21.98,62,68.13,9,9.89,13036
13,37,186,38,20.43,126,67.74,22,11.83,13037
13,38,105,16,15.24,77,73.33,12,11.43,13038
13,39,156,27,17.31,124,79.49,5,3.21,13039
13,40,205,29,14.15,160,78.05,16,7.8,13040
13,41,155,11,7.1,139,89.68,5,3.23,13041
13,42,162,20,12.35,119,73.46,23,14.2,13042
13,43,217,30,13.82,168,77.42,19,8.76,13043
13,44,374,16,4.28,350,93.58,8,2.14,13044
13,45,218,21,9.63,180,82.57,17,7.8,13045
13,46,161,21,13.04,127,78.88,13,8.07,13046
13,47,173,27,15.61,135,78.03,11,6.36,13047
14,1,124,50,40.32,58,46.77,16,12.9,14001
14,2,147,64,43.54,71,48.3,12,8.16,14002
14,3,85,43,50.59,36,42.35,6,7.06,14003
14,4,76,30,39.47,37,48.68,9,11.84,14004
14,5,98,52,53.06,41,41.84,5,5.1,14005
14,6,50,22,44.0,23,46.0,5,10.0,14006
14,7,115,50,43.48,57,49.57,8,6.96,14007
14,8,76,31,40.79,38,50.0,7,9.21,14008
14,9,109,46,42.2,53,48.62,10,9.17,14009
14,10,73,31,42.47,33,45.21,9,12.33,14010
14,11,82,58,70.73,20,24.39,4,4.88,14011
14,12,95,38,40.0,45,47.37,12,12.63,14012
14,13,81,38,46.91,35,43.21,8,9.88,14013
14,14,109,58,53.21,42,38.53,9,8.26,14014
14,15,109,56,51.38,37,33.94,16,14.68,14015
14,16,81,40,49.38,38,46.91,3,3.7,14016
14,17,67,37,55.22,23,34.33,7,10.45,14017
14,18,46,20,43.48,19,41.3,7,15.22,14018
14,19,83,43,51.81,30,36.14,10,12.05,14019
14,20,49,22,44.9,19,38.78,8,16.33,14020
14,21,94,69,73.4,20,21.28,5,5.32,14021
14,22,152,69,45.39,64,42.11,19,12.5,14022
14,23,74,20,27.03,47,63.51,7,9.46,14023
14,24,65,36,55.38,24,36.92,5,7.69,14024
14,25,62,35,56.45,25,40.32,2,3.23,14025
14,26,48,14,29.17,27,56.25,7,14.58,14026
14,27,97,36,37.11,54,55.67,7,7.22,14027
14,28,65,27,41.54,35,53.85,3,4.62,14028
14,29,126,76,60.32,40,31.75,10,7.94,14029
14,30,97,47,48.45,37,38.14,13,13.4,14030
14,31,53,21,39.62,29,54.72,3,5.66,14031
14,32,56,27,48.21,26,46.43,3,5.36,14032
15,1,105,35,33.33,44,41.9,26,24.76,15001
15,2,45,17,37.78,15,33.33,13,28.89,15002
15,3,44,8,18.18,13,29.55,23,52.27,15003
15,4,97,27,27.84,27,27.84,43,44.33,15004
15,5,35,8,22.86,13,37.14,14,40.0,15005
15,6,43,10,23.26,12,27.91,21,48.84,15006
15,7,65,19,29.23,21,32.31,25,38.46,15007
15,8,65,15,23.08,24,36.92,26,40.0,15008
15,9,95,26,27.37,31,32.63,38,40.0,15009
15,10,26,10,38.46,14,53.85,2,7.69,15010
15,11,55,18,32.73,18,32.73,19,34.55,15011
15,12,35,6,17.14,11,31.43,18,51.43,15012
15,13,58,15,25.86,28,48.28,15,25.86,15013
15,14,52,16,30.77,26,50.0,10,19.23,15014
15,15,29,9,31.03,11,37.93,9,31.03,15015
15,16,25,6,24.0,12,48.0,7,28.0,15016
15,17,53,14,26.42,17,32.08,22,41.51,15017
15,18,102,27,26.47,37,36.27,38,37.25,15018
15,19,68,13,19.12,27,39.71,28,41.18,15019
15,20,37,11,29.73,13,35.14,13,35.14,15020
15,21,71,27,38.03,18,25.35,26,36.62,15021
15,22,74,22,29.73,20,27.03,32,43.24,15022
15,23,102,32,31.37,29,28.43,41,40.2,15023
15,24,49,14,28.57,18,36.73,17,34.69,15024
15,25,49,21,42.86,17,34.69,11,22.45,15025
15,26,101,27,26.73,34,33.66,40,39.6,15026
15,27,51,12,23.53,14,27.45,25,49.02,15027
15,28,70,20,28.57,38,54.29,12,17.14,15028
15,29,11,3,27.27,6,54.55,2,18.18,15029
15,30,37,5,13.51,16,43.24,16,43.24,15030
15,31,95,27,28.42,24,25.26,44,46.32,15031
15,32,42,11,26.19,21,50.0,10,23.81,15032
15,33,45,8,17.78,11,24.44,26,57.78,15033
15,34,47,14,29.79,16,34.04,17,36.17,15034
15,35,55,17,30.91,13,23.64,25,45.45,15035
15,36,69,16,23.19,24,34.78,29,42.03,15036
15,37,48,8,16.67,16,33.33,24,50.0,15037
15,38,71,14,19.72,35,49.3,22,30.99,15038
15,39,31,6,19.35,11,35.48,14,45.16,15039
15,40,34,9,26.47,13,38.24,12,35.29,15040
15,41,86,22,25.58,23,26.74,41,47.67,15041
15,42,109,27,24.77,39,35.78,43,39.45,15042
16,1,32,6,18.75,14,43.75,12,37.5,16001
16,2,35,8,22.86,14,40.0,13,37.14,16002
16,3,54,8,14.81,20,37.04,26,48.15,16003
16,4,27,9,33.33,12,44.44,6,22.22,16004
16,5,44,11,25.0,18,40.91,15,34.09,16005
16,6,23,4,17.39,10,43.48,9,39.13,16006
16,7,55,7,12.73,24,43.64,24,43.64,16007
16,8,41,5,12.2,19,46.34,17,41.46,16008
16,9,94,13,13.83,40,42.55,41,43.62,16009
16,10,74,13,17.57,25,33.78,36,48.65,16010
16,11,53,10,18.87,20,37.74,23,43.4,16011
16,12,92,19,20.65,38,41.3,35,38.04,16012
16,13,34,5,14.71,21,61.76,8,23.53,16013
16,14,42,11,26.19,13,30.95,18,42.86,16014
16,15,61,6,9.84,23,37.7,32,52.46,16015
16,16,108,11,10.19,45,41.67,52,48.15,16016
16,17,39,12,30.77,19,48.72,8,20.51,16017
16,18,64,10,15.63,20,31.25,34,53.13,16018
16,19,63,14,22.22,20,31.75,29,46.03,16019
16,20,86,17,19.77,26,30.23,43,50.0,16020
16,21,29,2,6.9,22,75.86,5,17.24,16021
16,22,31,11,35.48,15,48.39,5,16.13,16022
16,23,23,7,30.43,8,34.78,8,34.78,16023
16,24,39,5,12.82,25,64.1,9,23.08,16024
16,25,44,10,22.73,18,40.91,16,36.36,16025
16,26,54,13,24.07,24,44.44,17,31.48,16026
16,27,107,28,26.17,37,34.58,42,39.25,16027
16,28,74,11,14.86,17,22.97,46,62.16,16028
16,29,41,15,36.59,12,29.27,14,34.15,16029
16,30,47,4,8.51,17,36.17,26,55.32,16030
16,31,63,17,26.98,27,42.86,19,30.16,16031
16,32,32,7,21.88,21,65.63,4,12.5,16032
16,33,43,5,11.63,18,41.86,20,46.51,16033
16,34,34,8,23.53,10,29.41,16,47.06,16034
16,35,28,8,28.57,18,64.29,2,7.14,16035
16,36,79,10,12.66,26,32.91,43,54.43,16036
16,37,51,11,21.57,18,35.29,22,43.14,16037
16,38,45,11,24.44,13,28.89,21,46.67,16038
16,39,45,11,24.44,27,60.0,7,15.56,16039
16,40,70,15,21.43,23,32.86,32,45.71,16040
17,1,80,22,27.5,24,30.0,34,42.5,17001
17,2,74,20,27.03,18,24.32,36,48.65,17002
17,3,72,15,20.83,23,31.94,34,47.22,17003
17,4,112,35,31.25,39,34.82,38,33.93,17004
17,5,59,16,27.12,18,30.51,25,42.37,17005
17,6,92,29,31.52,29,31.52,34,36.96,17006
17,7,84,8,9.52,36,42.86,40,47.62,17007
17,8,71,11,15.49,21,29.58,39,54.93,17008
17,9,111,27,24.32,21,18.92,63,56.76,17009
17,10,89,20,22.47,21,23.6,48,53.93,17010
17,11,58,14,24.14,21,36.21,23,39.66,17011
17,12,134,29,21.64,34,25.37,71,52.99,17012
17,13,43,14,32.56,8,18.6,21,48.84,17013
17,14,57,8,14.04,25,43.86,24,42.11,17014
17,15,67,13,19.4,19,28.36,35,52.24,17015
17,16,82,16,19.51,27,32.93,39,47.56,17016
17,17,40,7,17.5,10,25.0,23,57.5,17017
17,18,97,22,22.68,35,36.08,40,41.24,17018
17,19,36,13,36.11,11,30.56,12,33.33,17019
17,20,61,16,26.23,18,29.51,27,44.26,17020
17,21,138,25,18.12,31,22.46,82,59.42,17021
17,22,98,19,19.39,34,34.69,45,45.92,17022
17,23,98,18,18.37,41,41.84,39,39.8,17023
17,24,94,10,10.64,28,29.79,56,59.57,17024
17,25,52,10,19.23,18,34.62,24,46.15,17025
17,26,90,23,25.56,21,23.33,46,51.11,17026
17,27,112,27,24.11,35,31.25,50,44.64,17027
17,28,66,11,16.67,17,25.76,38,57.58,17028
17,29,159,28,17.61,48,30.19,83,52.2,17029
17,30,106,22,20.75,25,23.58,59,55.66,17030
17,31,81,19,23.46,28,34.57,34,41.98,17031
17,32,69,14,20.29,22,31.88,33,47.83,17032
17,33,55,11,20.0,21,38.18,23,41.82,17033
17,34,58,9,15.52,26,44.83,23,39.66,17034
17,35,108,23,21.3,27,25.0,58,53.7,17035
17,36,29,5,17.24,9,31.03,15,51.72,17036
17,37,82,19,23.17,33,40.24,30,36.59,17037
17,38,50,12,24.0,18,36.0,20,40.0,17038
17,39,60,14,23.33,26,43.33,20,33.33,17039
17,40,49,12,24.49,21,42.86,16,32.65,17040
17,41,52,6,11.54,24,46.15,22,42.31,17041
17,42,52,10,19.23,17,32.69,25,48.08,17042
17,43,48,7,14.58,19,39.58,22,45.83,17043
17,44,111,23,20.72,35,31.53,53,47.75,17044
17,45,37,12,32.43,9,24.32,16,43.24,17045
17,46,73,13,17.81,23,31.51,37,50.68,17046
17,47,86,14,16.28,27,31.4,45,52.33,17047
17,48,65,17,26.15,21,32.31,27,41.54,17048
17,49,35,8,22.86,6,17.14,21,60.0,17049
17,50,43,7,16.28,14,32.56,22,51.16,17050
17,51,57,17,29.82,15,26.32,25,43.86,17051
17,52,101,32,31.68,27,26.73,42,41.58,17052
17,53,84,25,29.76,26,30.95,33,39.29,17053
17,54,107,31,28.97,16,14.95,60,56.07,17054
17,55,60,17,28.33,19,31.67,24,40.0,17055
18,1,145,43,29.66,47,32.41,55,37.93,18001
18,2,48,12,25.0,19,39.58,17,35.42,18002
18,3,170,56,32.94,83,48.82,31,18.24,18003
18,4,262,66,25.19,62,23.66,134,51.15,18004
18,5,80,23,28.75,19,23.75,38,47.5,18005
18,6,141,47,33.33,59,41.84,35,24.82,18006
18,7,82,18,21.95,30,36.59,34,41.46,18007
18,8,47,21,44.68,13,27.66,13,27.66,18008
18,9,295,94,31.86,68,23.05,133,45.08,18009
18,10,192,64,33.33,38,19.79,90,46.88,18010
18,11,77,16,20.78,39,50.65,22,28.57,18011
18,12,111,36,32.43,33,29.73,42,37.84,18012
18,13,119,41,34.45,25,21.01,53,44.54,18013
18,14,112,33,29.46,22,19.64,57,50.89,18014
18,15,56,16,28.57,22,39.29,18,32.14,18015
18,16,156,48,30.77,34,21.79,74,47.44,18016
18,17,85,28,32.94,30,35.29,27,31.76,18017
18,18,117,25,21.37,23,19.66,69,58.97,18018
18,19,152,42,27.63,46,30.26,64,42.11,18019
18,20,221,68,30.77,68,30.77,85,38.46,18020
18,21,170,61,35.88,44,25.88,65,38.24,18021
18,22,198,46,23.23,57,28.79,95,47.98,18022
18,23,114,38,33.33,31,27.19,45,39.47,18023
18,24,158,34,21.52,29,18.35,95,60.13,18024
18,25,255,49,19.22,63,24.71,143,56.08,18025
18,26,98,20,20.41,19,19.39,59,60.2,18026
18,27,90,29,32.22,23,25.56,38,42.22,18027
18,28,112,39,34.82,53,47.32,20,17.86,18028
18,29,89,40,44.94,19,21.35,30,33.71,18029
18,30,86,19,22.09,23,26.74,44,51.16,18030
18,31,91,29,31.87,35,38.46,27,29.67,18031
18,32,179,54,30.17,42,23.46,83,46.37,18032
18,33,77,22,28.57,21,27.27,34,44.16,18033
18,34,194,64,32.99,36,18.56,94,48.45,18034
18,35,293,77,26.28,76,25.94,140,47.78,18035
18,36,59,15,25.42,18,30.51,26,44.07,18036
18,37,93,35,37.63,23,24.73,35,37.63,18037
18,38,131,32,24.43,37,28.24,62,47.33,18038
18,39,66,18,27.27,20,30.3,28,42.42,18039
18,40,108,19,17.59,34,31.48,55,50.93,18040
18,41,58,16,27.59,19,32.76,23,39.66,18041
18,42,57,18,31.58,12,21.05,27,47.37,18042
18,43,54,12,22.22,29,53.7,13,24.07,18043
18,44,70,24,34.29,18,25.71,28,40.0,18044
18,45,64,17,26.56,25,39.06,22,34.38,18045
18,46,110,28,25.45,26,23.64,56,50.91,18046
18,47,69,27,39.13,19,27.54,23,33.33,18047
18,48,73,15,20.55,24,32.88,34,46.58,18048
18,49,70,16,22.86,19,27.14,35,50.0,18049
18,50,73,28,38.36,19,26.03,26,35.62,18050
18,51,160,37,23.13,37,23.13,86,53.75,18051
18,52,118,26,22.03,21,17.8,71,60.17,18052
18,53,79,24,30.38,14,17.72,41,51.9,18053
19,1,152,59,38.82,81,53.29,12,7.89,19001
19,2,162,66,40.74,50,30.86,46,28.4,19002
19,3,104,46,44.23,53,50.96,5,4.81,19003
19,4,139,52,37.41,68,48.92,19,13.67,19004
19,5,173,49,28.32,50,28.9,74,42.77,19005
19,6,108,43,39.81,60,55.56,5,4.63,19006
19,7,181,90,49.72,70,38.67,21,11.6,19007
19,8,108,48,44.44,52,48.15,8,7.41,19008
19,9,102,45,44.12,50,49.02,7,6.86,19009
19,10,189,75,39.68,62,32.8,52,27.51,19010
19,11,163,53,32.52,90,55.21,20,12.27,19011
19,12,129,71,55.04,46,35.66,12,9.3,19012
19,13,108,22,20.37,26,24.07,60,55.56,19013
19,14,160,50,31.25,78,48.75,32,20.0,19014
19,15,103,45,43.69,46,44.66,12,11.65,19015
19,16,191,89,46.6,87,45.55,15,7.85,19016
19,17,144,57,39.58,72,50.0,15,10.42,19017
19,18,190,103,54.21,56,29.47,31,16.32,19018
19,19,149,49,32.89,59,39.6,41,27.52,19019
19,20,155,39,25.16,60,38.71,56,36.13,19020
19,21,101,25,24.75,64,63.37,12,11.88,19021
19,22,169,65,38.46,60,35.5,44,26.04,19022
19,23,185,79,42.7,88,47.57,18,9.73,19023
19,24,136,69,50.74,53,38.97,14,10.29,19024
19,25,159,54,33.96,71,44.65,34,21.38,19025
19,26,164,51,31.1,82,50.0,31,18.9,19026
19,27,82,22,26.83,39,47.56,21,25.61,19027
19,28,196,61,31.12,49,25.0,86,43.88,19028
19,29,93,45,48.39,41,44.09,7,7.53,19029
19,30,115,53,46.09,55,47.83,7,6.09,19030
19,31,122,38,31.15,59,48.36,25,20.49,19031
19,32,155,63,40.65,74,47.74,18,11.61,19032
19,33,142,60,42.25,75,52.82,7,4.93,19033
19,34,148,61,41.22,66,44.59,21,14.19,19034
19,35,175,63,36.0,67,38.29,45,25.71,19035
19,36,166,44,26.51,59,35.54,63,37.95,19036
19,37,182,59,32.42,68,37.36,55,30.22,19037
19,38,170,45,26.47,61,35.88,64,37.65,19038
19,39,49,13,26.53,12,24.49,24,48.98,19039
19,40,134,35,26.12,59,44.03,40,29.85,19040
19,41,90,38,42.22,43,47.78,9,10.0,19041
19,42,128,35,27.34,41,32.03,52,40.63,19042
19,43,180,31,17.22,42,23.33,107,59.44,19043
19,44,118,46,38.98,57,48.31,15,12.71,19044
19,45,155,48,30.97,93,60.0,14,9.03,19045
19,46,177,87,49.15,80,45.2,10,5.65,19046
19,47,237,74,31.22,78,32.91,85,35.86,19047
19,48,210,40,19.05,45,21.43,125,59.52,19048
19,49,197,50,25.38,59,29.95,88,44.67,19049
19,50,160,25,15.63,50,31.25,85,53.13,19050
19,51,108,31,28.7,64,59.26,13,12.04,19051
19,52,99,41,41.41,50,50.51,8,8.08,19052
19,53,148,49,33.11,79,53.38,20,13.51,19053
19,54,116,35,30.17,71,61.21,10,8.62,19054
19,55,101,45,44.55,50,49.5,6,5.94,19055
19,56,181,83,45.86,55,30.39,43,23.76,19056
19,57,171,59,34.5,74,43.27,38,22.22,19057
19,58,113,55,48.67,51,45.13,7,6.19,19058
19,59,154,45,29.22,93,60.39,16,10.39,19059
19,60,115,34,29.57,25,21.74,56,48.7,19060
19,61,212,67,31.6,123,58.02,22,10.38,19061
19,62,136,71,52.21,57,41.91,8,5.88,19062
19,63,116,35,30.17,42,36.21,39,33.62,19063
20,1,87,15,17.24,33,37.93,39,44.83,20001
20,2,68,16,23.53,21,30.88,31,45.59,20002
20,3,58,14,24.14,21,36.21,23,39.66,20003
20,4,33,6,18.18,21,63.64,6,18.18,20004
20,5,47,9,19.15,18,38.3,20,42.55,20005
20,6,96,15,15.63,28,29.17,53,55.21,20006
20,7,54,10,18.52,23,42.59,21,38.89,20007
20,8,24,8,33.33,14,58.33,2,8.33,20008
20,9,134,31,23.13,38,28.36,65,48.51,20009
20,10,117,20,17.09,38,32.48,59,50.43,20010
20,11,66,17,25.76,17,25.76,32,48.48,20011
20,12,37,11,29.73,9,24.32,17,45.95,20012
20,13,74,17,22.97,32,43.24,25,33.78,20013
20,14,92,27,29.35,37,40.22,28,30.43,20014
20,15,23,6,26.09,16,69.57,1,4.35,20015
20,16,109,19,17.43,30,27.52,60,55.05,20016
20,17,109,21,19.27,40,36.7,48,44.04,20017
20,18,74,10,13.51,30,40.54,34,45.95,20018
20,19,65,17,26.15,20,30.77,28,43.08,20019
20,20,40,9,22.5,9,22.5,22,55.0,20020
20,21,25,4,16.0,16,64.0,5,20.0,20021
20,22,144,21,14.58,39,27.08,84,58.33,20022
20,23,101,19,18.81,37,36.63,45,44.55,20023
20,24,97,16,16.49,37,38.14,44,45.36,20024
20,25,61,8,13.11,29,47.54,24,39.34,20025
20,26,101,19,18.81,33,32.67,49,48.51,20026
20,27,56,8,14.29,19,33.93,29,51.79,20027
20,28,68,22,32.35,24,35.29,22,32.35,20028
20,29,82,14,17.07,19,23.17,49,59.76,20029
20,30,113,24,21.24,38,33.63,51,45.13,20030
20,31,80,15,18.75,26,32.5,39,48.75,20031
20,32,41,11,26.83,10,24.39,20,48.78,20032
20,33,84,20,23.81,33,39.29,31,36.9,20033
20,34,112,21,18.75,44,39.29,47,41.96,20034
20,35,33,8,24.24,15,45.45,10,30.3,20035
20,36,78,14,17.95,28,35.9,36,46.15,20036
20,37,84,9,10.71,29,34.52,46,54.76,20037
20,38,17,2,11.76,6,35.29,9,52.94,20038
20,39,59,10,16.95,22,37.29,27,45.76,20039
20,40,79,23,29.11,25,31.65,31,39.24,20040
20,41,16,4,25.0,7,43.75,5,31.25,20041
20,42,37,4,10.81,15,40.54,18,48.65,20042
20,43,8,2,25.0,2,25.0,4,50.0,20043
20,44,113,32,28.32,41,36.28,40,35.4,20044
20,45,30,4,13.33,13,43.33,13,43.33,20045
21,1,160,37,23.13,36,22.5,87,54.38,21001
21,2,92,21,22.83,19,20.65,52,56.52,21002
21,3,203,39,19.21,52,25.62,112,55.17,21003
21,4,41,8,19.51,14,34.15,19,46.34,21004
21,5,132,35,26.52,40,30.3,57,43.18,21005
21,6,112,31,27.68,36,32.14,45,40.18,21006
21,7,231,45,19.48,66,28.57,120,51.95,21007
21,8,132,27,20.45,28,21.21,77,58.33,21008
21,9,110,27,24.55,36,32.73,47,42.73,21009
21,10,182,41,22.53,57,31.32,84,46.15,21010
21,11,108,25,23.15,34,31.48,49,45.37,21011
21,12,126,27,21.43,30,23.81,69,54.76,21012
21,13,56,18,32.14,10,17.86,28,50.0,21013
21,14,219,62,28.31,62,28.31,95,43.38,21014
21,15,72,28,38.89,17,23.61,27,37.5,21015
21,16,108,37,34.26,29,26.85,42,38.89,21016
21,17,82,13,15.85,26,31.71,43,52.44,21017
21,18,106,16,15.09,37,34.91,53,50.0,21018
21,19,120,25,20.83,40,33.33,55,45.83,21019
21,20,61,10,16.39,12,19.67,39,63.93,21020
21,21,118,29,24.58,35,29.66,54,45.76,21021
21,22,114,33,28.95,34,29.82,47,41.23,21022
21,23,87,23,26.44,18,20.69,46,52.87,21023
21,24,130,42,32.31,32,24.62,56,43.08,21024
21,25,213,54,25.35,50,23.47,109,51.17,21025
21,26,87,24,27.59,18,20.69,45,51.72,21026
21,27,140,33,23.57,35,25.0,72,51.43,21027
21,28,81,17,20.99,23,28.4,41,50.62,21028
21,29,53,9,16.98,24,45.28,20,37.74,21029
21,30,80,15,18.75,21,26.25,44,55.0,21030
21,31,158,48,30.38,38,24.05,72,45.57,21031
21,32,101,40,39.6,18,17.82,43,42.57,21032
21,33,98,23,23.47,21,21.43,54,55.1,21033
21,34,146,32,21.92,38,26.03,76,52.05,21034
21,35,108,36,33.33,33,30.56,39,36.11,21035
21,36,73,13,17.81,21,28.77,39,53.42,21036
21,37,106,27,25.47,38,35.85,41,38.68,21037
21,38,125,20,16.0,43,34.4,62,49.6,21038
21,39,79,11,13.92,28,35.44,40,50.63,21039
21,40,136,52,38.24,30,22.06,54,39.71,21040
21,41,107,14,13.08,37,34.58,56,52.34,21041
21,42,121,32,26.45,23,19.01,66,54.55,21042
21,43,87,22,25.29,26,29.89,39,44.83,21043
21,44,112,34,30.36,27,24.11,51,45.54,21044
21,45,97,24,24.74,17,17.53,56,57.73,21045
21,46,68,11,16.18,25,36.76,32,47.06,21046
21,47,151,38,25.17,31,20.53,82,54.3,21047
21,48,122,23,18.85,37,30.33,62,50.82,21048
21,49,150,34,22.67,48,32.0,68,45.33,21049
21,50,114,34,29.82,26,22.81,54,47.37,21050
21,51,119,21,17.65,38,31.93,60,50.42,21051
21,52,102,24,23.53,38,37.25,40,39.22,21052
21,53,170,36,21.18,48,28.24,86,50.59,21053
21,54,136,38,27.94,26,19.12,72,52.94,21054
21,55,101,22,21.78,34,33.66,45,44.55,21055
21,56,84,13,15.48,25,29.76,46,54.76,21056
21,57,102,32,31.37,36,35.29,34,33.33,21057
21,58,96,28,29.17,19,19.79,49,51.04,21058
21,59,136,27,19.85,41,30.15,68,50.0,21059
