ward,precinct,total,Timothy ''Tim'' Bradford (Clinton),Timothy ''Tim'' Bradford (Clinton) Percent,Lisa Dugan (Clinton),Lisa Dugan (Clinton) Percent,Jaylin Davon McClinton (Clinton),Jaylin Davon McClinton (Clinton) Percent,Leslie Hairston (Clinton),Leslie Hairston (Clinton) Percent,Al Riley (Clinton),Al Riley (Clinton) Percent,Toi W. Hutchinson (Clinton),Toi W. Hutchinson (Clinton) Percent,Frank M. Zuccarelli (Clinton),Frank M. Zuccarelli (Clinton) Percent,Donna Miller (Clinton),Donna Miller (Clinton) Percent,Michael Holmes (O'Malley),Michael Holmes (O'Malley) Percent,James Patton (O'Malley),James Patton (O'Malley) Percent,Gregory Washington (O'Malley),Gregory Washington (O'Malley) Percent,Kenneth Franklin (Sanders),Kenneth Franklin (Sanders) Percent,Linda Jennings (Sanders),Linda Jennings (Sanders) Percent,Tanya Watkins (Sanders),Tanya Watkins (Sanders) Percent,John A. Willard (Sanders),John A. Willard (Sanders) Percent,Carl Camacho (Sanders),Carl Camacho (Sanders) Percent,Laura M. Ortega (Sanders),Laura M. Ortega (Sanders) Percent,Susan Sadlowski Garza (Sanders),Susan Sadlowski Garza (Sanders) Percent,precinct_id
9,33,1467,134,9.13,142,9.68,119,8.11,134,9.13,119,8.11,122,8.32,121,8.25,142,9.68,23,1.57,22,1.5,10,0.68,58,3.95,55,3.75,62,4.23,48,3.27,39,2.66,39,2.66,41,2.79,09033
9,34,1510,137,9.07,137,9.07,107,7.09,137,9.07,119,7.88,124,8.21,116,7.68,139,9.21,18,1.19,15,0.99,16,1.06,58,3.84,69,4.57,75,4.97,56,3.71,47,3.11,53,3.51,42,2.78,09034
9,35,1964,169,8.6,167,8.5,144,7.33,176,8.96,149,7.59,166,8.45,138,7.03,174,8.86,17,0.87,11,0.56,15,0.76,90,4.58,83,4.23,109,5.55,74,3.77,74,3.77,71,3.62,61,3.11,09035
9,37,2428,134,5.52,159,6.55,128,5.27,153,6.3,132,5.44,146,6.01,134,5.52,158,6.51,21,0.86,10,0.41,12,0.49,163,6.71,166,6.84,165,6.8,145,5.97,146,6.01,160,6.59,147,6.05,09037
9,38,1961,173,8.82,168,8.57,146,7.45,180,9.18,145,7.39,164,8.36,137,6.99,160,8.16,20,1.02,17,0.87,18,0.92,95,4.84,93,4.74,95,4.84,79,4.03,66,3.37,66,3.37,65,3.31,09038
9,39,2275,195,8.57,193,8.48,174,7.65,204,8.97,188,8.26,183,8.04,166,7.3,209,9.19,19,0.84,21,0.92,21,0.92,95,4.18,101,4.44,117,5.14,88,3.87,79,3.47,75,3.3,68,2.99,09039
9,40,2378,195,8.2,202,8.49,181,7.61,208,8.75,193,8.12,196,8.24,169,7.11,207,8.7,24,1.01,23,0.97,19,0.8,108,4.54,108,4.54,118,4.96,93,3.91,89,3.74,87,3.66,74,3.11,09040
9,41,1750,154,8.8,139,7.94,136,7.77,157,8.97,135,7.71,140,8.0,123,7.03,160,9.14,18,1.03,14,0.8,7,0.4,78,4.46,75,4.29,96,5.49,64,3.66,64,3.66,68,3.89,56,3.2,09041
9,43,1735,144,8.3,156,8.99,124,7.15,151,8.7,139,8.01,133,7.67,124,7.15,149,8.59,13,0.75,13,0.75,18,1.04,81,4.67,87,5.01,89,5.13,69,3.98,58,3.34,67,3.86,55,3.17,09043
9,44,1914,172,8.99,168,8.78,148,7.73,175,9.14,154,8.05,163,8.52,135,7.05,176,9.2,22,1.15,20,1.04,17,0.89,81,4.23,87,4.55,86,4.49,75,3.92,60,3.13,64,3.34,51,2.66,09044
9,45,1585,144,9.09,146,9.21,117,7.38,143,9.02,122,7.7,135,8.52,115,7.26,134,8.45,14,0.88,11,0.69,13,0.82,71,4.48,70,4.42,78,4.92,62,3.91,55,3.47,54,3.41,48,3.03,09045
9,46,2045,169,8.26,171,8.36,148,7.24,169,8.26,154,7.53,157,7.68,142,6.94,175,8.56,22,1.08,23,1.12,16,0.78,95,4.65,100,4.89,101,4.94,85,4.16,79,3.86,90,4.4,69,3.37,09046
10,1,1488,127,8.53,111,7.46,97,6.52,115,7.73,106,7.12,107,7.19,96,6.45,114,7.66,19,1.28,15,1.01,8,0.54,69,4.64,70,4.7,80,5.38,57,3.83,66,4.44,66,4.44,109,7.33,10001
10,2,1330,80,6.02,88,6.62,67,5.04,73,5.49,74,5.56,65,4.89,85,6.39,77,5.79,17,1.28,13,0.98,10,0.75,75,5.64,75,5.64,76,5.71,74,5.56,88,6.62,88,6.62,134,10.08,10002
10,3,1449,77,5.31,87,6.0,68,4.69,85,5.87,71,4.9,65,4.49,100,6.9,81,5.59,18,1.24,24,1.66,14,0.97,88,6.07,96,6.63,89,6.14,79,5.45,89,6.14,99,6.83,133,9.18,10003
10,4,1471,87,5.91,103,7.0,75,5.1,88,5.98,96,6.53,81,5.51,81,5.51,87,5.91,9,0.61,10,0.68,7,0.48,81,5.51,86,5.85,86,5.85,75,5.1,94,6.39,111,7.55,138,9.38,10004
10,5,1025,59,5.76,71,6.93,55,5.37,63,6.15,55,5.37,51,4.98,69,6.73,59,5.76,11,1.07,7,0.68,6,0.59,55,5.37,64,6.24,60,5.85,51,4.98,62,6.05,59,5.76,115,11.22,10005
10,6,1330,83,6.24,105,7.89,77,5.79,83,6.24,76,5.71,66,4.96,74,5.56,81,6.09,12,0.9,7,0.53,7,0.53,74,5.56,72,5.41,69,5.19,63,4.74,90,6.77,93,6.99,135,10.15,10006
10,7,1261,69,5.47,86,6.82,51,4.04,71,5.63,59,4.68,54,4.28,74,5.87,76,6.03,12,0.95,11,0.87,14,1.11,71,5.63,82,6.5,69,5.47,69,5.47,91,7.22,107,8.49,129,10.23,10007
10,8,1201,82,6.83,80,6.66,58,4.83,73,6.08,70,5.83,59,4.91,63,5.25,74,6.16,11,0.92,10,0.83,13,1.08,73,6.08,74,6.16,88,7.33,69,5.75,77,6.41,68,5.66,102,8.49,10008
10,9,1375,78,5.67,102,7.42,64,4.65,79,5.75,84,6.11,70,5.09,97,7.05,76,5.53,16,1.16,18,1.31,13,0.95,80,5.82,81,5.89,81,5.89,66,4.8,90,6.55,95,6.91,116,8.44,10009
10,10,1750,78,4.46,85,4.86,56,3.2,75,4.29,68,3.89,58,3.31,80,4.57,63,3.6,15,0.86,12,0.69,7,0.4,133,7.6,138,7.89,123,7.03,124,7.09,151,8.63,147,8.4,218,12.46,10010
10,11,1936,92,4.75,111,5.73,71,3.67,95,4.91,82,4.24,71,3.67,84,4.34,90,4.65,16,0.83,13,0.67,12,0.62,124,6.4,140,7.23,135,6.97,123,6.35,152,7.85,162,8.37,243,12.55,10011
10,12,1180,49,4.15,64,5.42,41,3.47,48,4.07,48,4.07,39,3.31,56,4.75,50,4.24,12,1.02,8,0.68,11,0.93,81,6.86,92,7.8,82,6.95,86,7.29,101,8.56,95,8.05,146,12.37,10012
10,13,1822,123,6.75,151,8.29,109,5.98,130,7.14,121,6.64,120,6.59,125,6.86,133,7.3,13,0.71,11,0.6,14,0.77,79,4.34,88,4.83,91,4.99,76,4.17,105,5.76,101,5.54,163,8.95,10013
10,14,2146,115,5.36,133,6.2,98,4.57,111,5.17,111,5.17,96,4.47,128,5.96,111,5.17,17,0.79,11,0.51,13,0.61,126,5.87,138,6.43,129,6.01,122,5.68,162,7.55,163,7.6,242,11.28,10014
10,15,3847,333,8.66,350,9.1,305,7.93,343,8.92,310,8.06,317,8.24,286,7.43,351,9.12,28,0.73,22,0.57,30,0.78,148,3.85,165,4.29,171,4.45,144,3.74,121,3.15,131,3.41,171,4.45,10015
10,16,1246,68,5.46,76,6.1,59,4.74,65,5.22,55,4.41,55,4.41,73,5.86,75,6.02,8,0.64,11,0.88,11,0.88,77,6.18,86,6.9,78,6.26,74,5.94,85,6.82,96,7.7,126,10.11,10016
10,17,1878,98,5.22,115,6.12,90,4.79,101,5.38,100,5.32,86,4.58,113,6.02,94,5.01,21,1.12,16,0.85,11,0.59,122,6.5,126,6.71,114,6.07,116,6.18,130,6.92,130,6.92,184,9.8,10017
10,18,1204,79,6.56,75,6.23,64,5.32,70,5.81,64,5.32,63,5.23,64,5.32,71,5.9,8,0.66,11,0.91,4,0.33,73,6.06,81,6.73,83,6.89,64,5.32,78,6.48,74,6.15,111,9.22,10018
10,19,1439,71,4.93,76,5.28,63,4.38,73,5.07,66,4.59,61,4.24,78,5.42,66,4.59,10,0.69,6,0.42,9,0.63,93,6.46,102,7.09,95,6.6,89,6.18,104,7.23,99,6.88,187,13.0,10019
10,20,1728,90,5.21,105,6.08,75,4.34,87,5.03,82,4.75,77,4.46,93,5.38,80,4.63,18,1.04,20,1.16,12,0.69,101,5.84,108,6.25,105,6.08,101,5.84,129,7.47,126,7.29,214,12.38,10020
10,21,1714,80,4.67,112,6.53,63,3.68,79,4.61,78,4.55,75,4.38,94,5.48,79,4.61,9,0.53,6,0.35,10,0.58,105,6.13,116,6.77,103,6.01,109,6.36,141,8.23,140,8.17,213,12.43,10021
10,22,1079,49,4.54,68,6.3,41,3.8,57,5.28,45,4.17,39,3.61,48,4.45,49,4.54,7,0.65,5,0.46,7,0.65,69,6.39,83,7.69,70,6.49,71,6.58,86,7.97,89,8.25,133,12.33,10022
10,23,1734,71,4.09,113,6.52,66,3.81,92,5.31,75,4.33,65,3.75,88,5.07,86,4.96,15,0.87,7,0.4,7,0.4,106,6.11,117,6.75,109,6.29,103,5.94,145,8.36,145,8.36,220,12.69,10023
10,24,1337,58,4.34,68,5.09,51,3.81,57,4.26,52,3.89,49,3.66,70,5.24,66,4.94,12,0.9,10,0.75,8,0.6,94,7.03,99,7.4,96,7.18,89,6.66,105,7.85,113,8.45,155,11.59,10024
10,25,561,47,8.38,39,6.95,32,5.7,41,7.31,35,6.24,40,7.13,35,6.24,42,7.49,8,1.43,8,1.43,4,0.71,28,4.99,27,4.81,28,4.99,27,4.81,30,5.35,27,4.81,42,7.49,10025
10,26,1377,79,5.74,94,6.83,71,5.16,78,5.66,74,5.37,63,4.58,69,5.01,81,5.88,13,0.94,10,0.73,14,1.02,77,5.59,83,6.03,84,6.1,70,5.08,90,6.54,103,7.48,153,11.11,10026
10,27,1660,124,7.47,131,7.89,102,6.14,122,7.35,110,6.63,102,6.14,97,5.84,124,7.47,21,1.27,15,0.9,15,0.9,72,4.34,86,5.18,88,5.3,78,4.7,86,5.18,96,5.78,121,7.29,10027
10,28,1796,68,3.79,85,4.73,61,3.4,80,4.45,66,3.67,65,3.62,74,4.12,70,3.9,11,0.61,15,0.84,13,0.72,130,7.24,133,7.41,125,6.96,126,7.02,152,8.46,147,8.18,255,14.2,10028
10,29,1573,83,5.28,104,6.61,69,4.39,82,5.21,83,5.28,68,4.32,81,5.15,92,5.85,17,1.08,12,0.76,17,1.08,85,5.4,101,6.42,96,6.1,91,5.79,109,6.93,117,7.44,180,11.44,10029
10,30,1641,77,4.69,105,6.4,68,4.14,85,5.18,83,5.06,66,4.02,88,5.36,78,4.75,18,1.1,17,1.04,15,0.91,99,6.03,111,6.76,94,5.73,95,5.79,123,7.5,126,7.68,209,12.74,10030
10,31,1318,55,4.17,87,6.6,59,4.48,73,5.54,60,4.55,59,4.48,58,4.4,68,5.16,9,0.68,7,0.53,6,0.46,88,6.68,93,7.06,85,6.45,81,6.15,92,6.98,105,7.97,155,11.76,10031
10,32,1600,81,5.06,91,5.69,67,4.19,85,5.31,75,4.69,65,4.06,82,5.13,83,5.19,12,0.75,10,0.63,12,0.75,92,5.75,104,6.5,105,6.56,92,5.75,127,7.94,119,7.44,208,13.0,10032
10,33,1191,57,4.79,69,5.79,47,3.95,57,4.79,47,3.95,45,3.78,51,4.28,54,4.53,12,1.01,11,0.92,9,0.76,72,6.05,85,7.14,77,6.47,74,6.21,96,8.06,97,8.14,161,13.52,10033
10,34,1108,72,6.5,87,7.85,63,5.69,73,6.59,73,6.59,67,6.05,67,6.05,73,6.59,14,1.26,8,0.72,7,0.63,58,5.23,55,4.96,69,6.23,53,4.78,69,6.23,69,6.23,87,7.85,10034
10,35,1547,66,4.27,85,5.49,64,4.14,72,4.65,62,4.01,63,4.07,85,5.49,69,4.46,11,0.71,12,0.78,11,0.71,102,6.59,109,7.05,101,6.53,102,6.59,128,8.27,120,7.76,192,12.41,10035
10,36,395,26,6.58,31,7.85,23,5.82,25,6.33,22,5.57,21,5.32,21,5.32,23,5.82,5,1.27,5,1.27,5,1.27,24,6.08,28,7.09,27,6.84,18,4.56,22,5.57,24,6.08,25,6.33,10036
34,2,297,24,8.08,26,8.75,25,8.42,25,8.42,26,8.75,23,7.74,24,8.08,29,9.76,3,1.01,2,0.67,2,0.67,12,4.04,12,4.04,16,5.39,10,3.37,9,3.03,9,3.03,10,3.37,34002
34,4,1711,168,9.82,159,9.29,141,8.24,168,9.82,146,8.53,140,8.18,130,7.6,162,9.47,31,1.81,17,0.99,21,1.23,56,3.27,69,4.03,70,4.09,62,3.62,46,2.69,44,2.57,39,2.28,34004
34,18,1611,158,9.81,158,9.81,132,8.19,149,9.25,146,9.06,142,8.81,136,8.44,152,9.44,17,1.06,10,0.62,11,0.68,49,3.04,55,3.41,57,3.54,50,3.1,50,3.1,51,3.17,41,2.55,34018
34,22,1537,145,9.43,138,8.98,124,8.07,146,9.5,131,8.52,144,9.37,119,7.74,152,9.89,17,1.11,12,0.78,14,0.91,53,3.45,63,4.1,60,3.9,46,2.99,43,2.8,49,3.19,42,2.73,34022
34,23,1629,142,8.72,154,9.45,135,8.29,152,9.33,131,8.04,146,8.96,120,7.37,152,9.33,16,0.98,10,0.61,12,0.74,63,3.87,68,4.17,79,4.85,59,3.62,48,2.95,48,2.95,46,2.82,34023
34,24,1921,164,8.54,181,9.42,144,7.5,170,8.85,142,7.39,149,7.76,131,6.82,157,8.17,24,1.25,24,1.25,23,1.2,88,4.58,97,5.05,92,4.79,72,3.75,65,3.38,71,3.7,56,2.92,34024
34,27,1780,149,8.37,149,8.37,129,7.25,153,8.6,133,7.47,142,7.98,130,7.3,150,8.43,22,1.24,24,1.35,16,0.9,91,5.11,75,4.21,100,5.62,68,3.82,59,3.31,68,3.82,56,3.15,34027
34,28,1314,115,8.75,125,9.51,97,7.38,109,8.3,107,8.14,103,7.84,93,7.08,113,8.6,11,0.84,10,0.76,10,0.76,60,4.57,61,4.64,75,5.71,53,4.03,46,3.5,44,3.35,33,2.51,34028
34,30,1420,108,7.61,114,8.03,102,7.18,121,8.52,108,7.61,119,8.38,91,6.41,113,7.96,12,0.85,8,0.56,7,0.49,70,4.93,74,5.21,87,6.13,63,4.44,53,3.73,60,4.23,52,3.66,34030
34,36,1982,178,8.98,182,9.18,155,7.82,182,9.18,171,8.63,165,8.32,149,7.52,182,9.18,13,0.66,14,0.71,12,0.61,81,4.09,75,3.78,93,4.69,74,3.73,66,3.33,70,3.53,55,2.77,34036
34,37,1257,111,8.83,119,9.47,86,6.84,107,8.51,92,7.32,98,7.8,88,7.0,115,9.15,23,1.83,14,1.11,20,1.59,55,4.38,51,4.06,72,5.73,44,3.5,37,2.94,51,4.06,39,3.1,34037
34,38,1035,86,8.31,84,8.12,67,6.47,84,8.12,72,6.96,73,7.05,64,6.18,79,7.63,9,0.87,11,1.06,14,1.35,56,5.41,58,5.6,59,5.7,44,4.25,48,4.64,47,4.54,39,3.77,34038
34,39,1583,145,9.16,139,8.78,123,7.77,143,9.03,132,8.34,128,8.09,131,8.28,135,8.53,20,1.26,22,1.39,16,1.01,70,4.42,59,3.73,73,4.61,56,3.54,47,2.97,50,3.16,45,2.84,34039
34,41,1242,117,9.42,108,8.7,107,8.62,104,8.37,105,8.45,104,8.37,89,7.17,112,9.02,21,1.69,15,1.21,14,1.13,49,3.95,52,4.19,52,4.19,44,3.54,39,3.14,40,3.22,31,2.5,34041
34,42,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34042
34,53,1556,138,8.87,144,9.25,114,7.33,134,8.61,124,7.97,118,7.58,115,7.39,134,8.61,15,0.96,8,0.51,12,0.77,67,4.31,71,4.56,77,4.95,61,3.92,53,3.41,60,3.86,51,3.28,34053
