ward,precinct,total,Raymond A. Lopez (Clinton),Raymond A. Lopez (Clinton) Percent,Milly Santiago (Clinton),Milly Santiago (Clinton) Percent,"Vicente ''Vince'' Sanchez, Jr. (Clinto","Vicente ''Vince'' Sanchez, Jr. (Clinto Percent",Emanuel ''Chris'' Welch (Clinton),Emanuel ''Chris'' Welch (Clinton) Percent,Barbara P. Guttmann (O'Malley),Barbara P. Guttmann (O'Malley) Percent,Richard Gutierrez (O'Malley),Richard Gutierrez (O'Malley) Percent,Will Guzzardi (Sanders),Will Guzzardi (Sanders) Percent,Andrea Perkins (Sanders),Andrea Perkins (Sanders) Percent,Carlos Ramirez-Rosa (Sanders),Carlos Ramirez-Rosa (Sanders) Percent,Shana East (Sanders),Shana East (Sanders) Percent,Ãlvaro R. ObregÃ³n (Sanders),Ãlvaro R. ObregÃ³n (Sanders) Percent,Melissa Rubio (Sanders),Melissa Rubio (Sanders) Percent,precinct_id
26,43,571,52,9.11,63,11.03,38,6.65,38,6.65,9,1.58,5,0.88,46,8.06,56,9.81,61,10.68,44,7.71,39,6.83,58,10.16,26043
26,44,551,49,8.89,72,13.07,42,7.62,32,5.81,9,1.63,12,2.18,35,6.35,56,10.16,58,10.53,33,5.99,42,7.62,48,8.71,26044
26,45,221,15,6.79,24,10.86,14,6.33,10,4.52,4,1.81,2,0.9,20,9.05,26,11.76,27,12.22,15,6.79,14,6.33,27,12.22,26045
26,47,548,45,8.21,66,12.04,31,5.66,27,4.93,4,0.73,6,1.09,36,6.57,56,10.22,63,11.5,39,7.12,46,8.39,66,12.04,26047
26,48,1067,52,4.87,60,5.62,44,4.12,48,4.5,12,1.12,9,0.84,105,9.84,155,14.53,135,12.65,142,13.31,107,10.03,134,12.56,26048
26,49,528,40,7.58,67,12.69,28,5.3,25,4.73,9,1.7,13,2.46,43,8.14,55,10.42,57,10.8,39,7.39,45,8.52,50,9.47,26049
28,19,160,11,6.88,12,7.5,6,3.75,8,5.0,0,0.0,1,0.63,19,11.88,21,13.13,20,12.5,18,11.25,13,8.13,16,10.0,28019
29,1,254,29,11.42,28,11.02,22,8.66,25,9.84,3,1.18,3,1.18,13,5.12,25,9.84,19,7.48,21,8.27,15,5.91,20,7.87,29001
29,9,1300,139,10.69,139,10.69,106,8.15,108,8.31,23,1.77,9,0.69,101,7.77,137,10.54,104,8.0,113,8.69,83,6.38,96,7.38,29009
29,23,902,85,9.42,90,9.98,57,6.32,57,6.32,12,1.33,9,1.0,83,9.2,104,11.53,81,8.98,76,8.43,64,7.1,90,9.98,29023
29,30,1385,179,12.92,178,12.85,132,9.53,137,9.89,29,2.09,18,1.3,76,5.49,108,7.8,86,6.21,87,6.28,69,4.98,90,6.5,29030
29,38,840,67,7.98,87,10.36,59,7.02,61,7.26,12,1.43,12,1.43,72,8.57,82,9.76,86,10.24,67,7.98,62,7.38,80,9.52,29038
29,39,571,51,8.93,57,9.98,40,7.01,34,5.95,11,1.93,15,2.63,45,7.88,60,10.51,56,9.81,45,7.88,43,7.53,64,11.21,29039
29,43,626,74,11.82,75,11.98,60,9.58,63,10.06,7,1.12,7,1.12,44,7.03,53,8.47,44,7.03,45,7.19,33,5.27,40,6.39,29043
30,1,1310,106,8.09,124,9.47,83,6.34,80,6.11,15,1.15,24,1.83,153,11.68,137,10.46,121,9.24,120,9.16,95,7.25,129,9.85,30001
30,2,990,106,10.71,112,11.31,71,7.17,69,6.97,18,1.82,15,1.52,74,7.47,91,9.19,90,9.09,77,7.78,63,6.36,86,8.69,30002
30,3,932,70,7.51,76,8.15,66,7.08,50,5.36,13,1.39,14,1.5,75,8.05,106,11.37,102,10.94,99,10.62,83,8.91,94,10.09,30003
30,4,1113,88,7.91,107,9.61,80,7.19,65,5.84,16,1.44,25,2.25,110,9.88,118,10.6,109,9.79,96,8.63,86,7.73,103,9.25,30004
30,5,784,59,7.53,80,10.2,52,6.63,46,5.87,8,1.02,25,3.19,61,7.78,70,8.93,91,11.61,52,6.63,77,9.82,88,11.22,30005
30,6,891,112,12.57,107,12.01,71,7.97,67,7.52,6,0.67,15,1.68,64,7.18,77,8.64,75,8.42,49,5.5,57,6.4,79,8.87,30006
30,7,1251,83,6.63,108,8.63,64,5.12,59,4.72,11,0.88,8,0.64,172,13.75,153,12.23,143,11.43,114,9.11,115,9.19,116,9.27,30007
30,8,1352,84,6.21,100,7.4,74,5.47,66,4.88,12,0.89,24,1.78,134,9.91,174,12.87,165,12.2,140,10.36,130,9.62,150,11.09,30008
30,9,897,73,8.14,105,11.71,63,7.02,52,5.8,13,1.45,10,1.11,78,8.7,89,9.92,94,10.48,73,8.14,69,7.69,85,9.48,30009
30,10,1147,114,9.94,129,11.25,82,7.15,67,5.84,18,1.57,22,1.92,69,6.02,101,8.81,119,10.37,78,6.8,90,7.85,125,10.9,30010
30,11,948,86,9.07,98,10.34,61,6.43,51,5.38,20,2.11,23,2.43,72,7.59,87,9.18,106,11.18,65,6.86,72,7.59,104,10.97,30011
30,12,873,72,8.25,94,10.77,50,5.73,42,4.81,15,1.72,20,2.29,72,8.25,88,10.08,93,10.65,68,7.79,79,9.05,101,11.57,30012
30,13,866,92,10.62,110,12.7,79,9.12,70,8.08,22,2.54,17,1.96,49,5.66,79,9.12,65,7.51,55,6.35,55,6.35,64,7.39,30013
30,14,744,70,9.41,88,11.83,61,8.2,41,5.51,12,1.61,22,2.96,44,5.91,71,9.54,79,10.62,51,6.85,50,6.72,76,10.22,30014
30,15,291,17,5.84,20,6.87,14,4.81,14,4.81,1,0.34,2,0.69,33,11.34,40,13.75,37,12.71,35,12.03,25,8.59,33,11.34,30015
30,16,592,55,9.29,77,13.01,42,7.09,39,6.59,8,1.35,11,1.86,37,6.25,54,9.12,60,10.14,39,6.59,40,6.76,56,9.46,30016
30,17,488,34,6.97,36,7.38,26,5.33,22,4.51,6,1.23,8,1.64,60,12.3,57,11.68,54,11.07,51,10.45,42,8.61,54,11.07,30017
30,18,1353,76,5.62,90,6.65,58,4.29,47,3.47,12,0.89,27,2.0,154,11.38,178,13.16,172,12.71,154,11.38,132,9.76,161,11.9,30018
30,19,1182,100,8.46,127,10.74,78,6.6,71,6.01,16,1.35,39,3.3,83,7.02,107,9.05,130,11.0,83,7.02,100,8.46,133,11.25,30019
30,20,1128,101,8.95,106,9.4,76,6.74,74,6.56,18,1.6,16,1.42,117,10.37,111,9.84,118,10.46,91,8.07,85,7.54,107,9.49,30020
30,22,1628,92,5.65,107,6.57,77,4.73,71,4.36,14,0.86,37,2.27,165,10.14,200,12.29,216,13.27,174,10.69,156,9.58,192,11.79,30022
30,23,1267,88,6.95,108,8.52,67,5.29,60,4.74,13,1.03,21,1.66,125,9.87,153,12.08,148,11.68,128,10.1,113,8.92,138,10.89,30023
30,24,1309,66,5.04,75,5.73,46,3.51,39,2.98,10,0.76,10,0.76,156,11.92,182,13.9,185,14.13,157,11.99,141,10.77,160,12.22,30024
30,25,1402,91,6.49,108,7.7,57,4.07,65,4.64,11,0.78,22,1.57,161,11.48,194,13.84,169,12.05,150,10.7,125,8.92,153,10.91,30025
30,26,602,34,5.65,45,7.48,30,4.98,19,3.16,7,1.16,10,1.66,75,12.46,73,12.13,71,11.79,62,10.3,62,10.3,69,11.46,30026
30,27,696,55,7.9,75,10.78,50,7.18,43,6.18,14,2.01,13,1.87,77,11.06,67,9.63,70,10.06,56,8.05,44,6.32,56,8.05,30027
30,28,1394,117,8.39,133,9.54,96,6.89,99,7.1,12,0.86,21,1.51,127,9.11,157,11.26,137,9.83,129,9.25,110,7.89,124,8.9,30028
30,29,712,71,9.97,72,10.11,61,8.57,51,7.16,9,1.26,11,1.54,46,6.46,63,8.85,64,8.99,47,6.6,58,8.15,71,9.97,30029
30,30,456,32,7.02,49,10.75,28,6.14,22,4.82,8,1.75,10,2.19,36,7.89,49,10.75,50,10.96,38,8.33,32,7.02,53,11.62,30030
30,31,712,57,8.01,60,8.43,56,7.87,47,6.6,8,1.12,11,1.54,78,10.96,73,10.25,83,11.66,55,7.72,58,8.15,69,9.69,30031
30,32,1008,74,7.34,88,8.73,72,7.14,71,7.04,4,0.4,9,0.89,85,8.43,116,11.51,118,11.71,95,9.42,99,9.82,90,8.93,30032
31,1,656,54,8.23,88,13.41,30,4.57,36,5.49,7,1.07,5,0.76,72,10.98,70,10.67,64,9.76,47,7.16,47,7.16,70,10.67,31001
31,2,672,62,9.23,99,14.73,51,7.59,50,7.44,10,1.49,14,2.08,64,9.52,46,6.85,69,10.27,38,5.65,40,5.95,54,8.04,31002
31,3,717,59,8.23,97,13.53,49,6.83,46,6.42,11,1.53,14,1.95,52,7.25,70,9.76,74,10.32,45,6.28,59,8.23,65,9.07,31003
31,4,1186,77,6.49,104,8.77,59,4.97,51,4.3,5,0.42,12,1.01,130,10.96,144,12.14,154,12.98,131,11.05,112,9.44,127,10.71,31004
31,5,784,61,7.78,110,14.03,47,5.99,38,4.85,11,1.4,16,2.04,94,11.99,69,8.8,87,11.1,62,7.91,53,6.76,68,8.67,31005
31,6,646,56,8.67,96,14.86,46,7.12,34,5.26,9,1.39,25,3.87,54,8.36,44,6.81,65,10.06,39,6.04,43,6.66,64,9.91,31006
31,7,1290,77,5.97,123,9.53,59,4.57,60,4.65,17,1.32,13,1.01,148,11.47,161,12.48,143,11.09,142,11.01,109,8.45,138,10.7,31007
31,8,513,38,7.41,76,14.81,31,6.04,33,6.43,2,0.39,16,3.12,47,9.16,39,7.6,58,11.31,33,6.43,35,6.82,51,9.94,31008
31,9,873,70,8.02,119,13.63,52,5.96,42,4.81,6,0.69,19,2.18,77,8.82,88,10.08,95,10.88,60,6.87,72,8.25,88,10.08,31009
31,10,653,57,8.73,75,11.49,43,6.58,38,5.82,8,1.23,12,1.84,63,9.65,62,9.49,70,10.72,50,7.66,54,8.27,54,8.27,31010
31,11,584,65,11.13,87,14.9,47,8.05,40,6.85,7,1.2,11,1.88,51,8.73,45,7.71,46,7.88,31,5.31,37,6.34,46,7.88,31011
31,12,653,53,8.12,80,12.25,45,6.89,40,6.13,5,0.77,3,0.46,74,11.33,66,10.11,68,10.41,54,8.27,36,5.51,65,9.95,31012
31,13,819,68,8.3,105,12.82,63,7.69,45,5.49,6,0.73,12,1.47,87,10.62,72,8.79,78,9.52,62,7.57,55,6.72,81,9.89,31013
31,14,710,54,7.61,91,12.82,44,6.2,43,6.06,7,0.99,11,1.55,72,10.14,72,10.14,77,10.85,47,6.62,54,7.61,71,10.0,31014
31,15,619,62,10.02,83,13.41,47,7.59,44,7.11,6,0.97,15,2.42,43,6.95,55,8.89,67,10.82,41,6.62,37,5.98,48,7.75,31015
31,16,1119,65,5.81,92,8.22,48,4.29,45,4.02,12,1.07,13,1.16,128,11.44,142,12.69,146,13.05,119,10.63,109,9.74,122,10.9,31016
31,17,674,63,9.35,98,14.54,45,6.68,42,6.23,17,2.52,11,1.63,66,9.79,58,8.61,65,9.64,41,6.08,43,6.38,55,8.16,31017
31,18,691,61,8.83,82,11.87,39,5.64,35,5.07,8,1.16,7,1.01,73,10.56,71,10.27,80,11.58,56,8.1,57,8.25,64,9.26,31018
31,19,633,58,9.16,86,13.59,46,7.27,40,6.32,13,2.05,12,1.9,41,6.48,52,8.21,68,10.74,39,6.16,50,7.9,62,9.79,31019
31,20,650,54,8.31,78,12.0,45,6.92,39,6.0,6,0.92,11,1.69,58,8.92,52,8.0,72,11.08,42,6.46,52,8.0,75,11.54,31020
31,21,746,66,8.85,108,14.48,60,8.04,47,6.3,1,0.13,14,1.88,63,8.45,57,7.64,71,9.52,47,6.3,48,6.43,76,10.19,31021
31,22,613,39,6.36,81,13.21,34,5.55,31,5.06,8,1.31,17,2.77,51,8.32,54,8.81,72,11.75,37,6.04,48,7.83,75,12.23,31022
31,23,706,41,5.81,73,10.34,28,3.97,33,4.67,6,0.85,15,2.12,80,11.33,81,11.47,80,11.33,64,9.07,62,8.78,81,11.47,31023
31,24,808,62,7.67,92,11.39,39,4.83,41,5.07,5,0.62,14,1.73,90,11.14,85,10.52,92,11.39,69,8.54,64,7.92,84,10.4,31024
31,25,690,55,7.97,97,14.06,43,6.23,49,7.1,6,0.87,17,2.46,48,6.96,62,8.99,75,10.87,52,7.54,46,6.67,69,10.0,31025
31,26,846,65,7.68,113,13.36,47,5.56,41,4.85,5,0.59,14,1.65,99,11.7,84,9.93,88,10.4,66,7.8,54,6.38,91,10.76,31026
31,27,683,50,7.32,85,12.45,39,5.71,35,5.12,8,1.17,10,1.46,79,11.57,65,9.52,84,12.3,50,7.32,54,7.91,66,9.66,31027
31,28,743,51,6.86,86,11.57,45,6.06,29,3.9,7,0.94,16,2.15,77,10.36,75,10.09,87,11.71,60,8.08,70,9.42,78,10.5,31028
31,29,794,78,9.82,109,13.73,64,8.06,56,7.05,8,1.01,11,1.39,63,7.93,63,7.93,84,10.58,40,5.04,59,7.43,70,8.82,31029
31,30,588,46,7.82,77,13.1,46,7.82,32,5.44,6,1.02,10,1.7,56,9.52,53,9.01,59,10.03,38,6.46,47,7.99,62,10.54,31030
31,31,778,69,8.87,109,14.01,49,6.3,51,6.56,10,1.29,16,2.06,56,7.2,77,9.9,75,9.64,56,7.2,54,6.94,84,10.8,31031
31,32,571,44,7.71,84,14.71,35,6.13,34,5.95,4,0.7,11,1.93,55,9.63,49,8.58,58,10.16,36,6.3,44,7.71,59,10.33,31032
31,33,657,55,8.37,84,12.79,46,7.0,39,5.94,10,1.52,14,2.13,54,8.22,58,8.83,69,10.5,49,7.46,47,7.15,63,9.59,31033
31,34,761,54,7.1,82,10.78,46,6.04,40,5.26,9,1.18,11,1.45,78,10.25,88,11.56,81,10.64,75,9.86,64,8.41,72,9.46,31034
31,35,881,80,9.08,112,12.71,66,7.49,64,7.26,13,1.48,16,1.82,81,9.19,73,8.29,83,9.42,54,6.13,61,6.92,78,8.85,31035
31,36,746,67,8.98,111,14.88,49,6.57,38,5.09,18,2.41,13,1.74,75,10.05,60,8.04,70,9.38,51,6.84,46,6.17,71,9.52,31036
31,37,699,66,9.44,85,12.16,47,6.72,45,6.44,10,1.43,15,2.15,69,9.87,58,8.3,70,10.01,43,6.15,46,6.58,69,9.87,31037
31,38,874,74,8.47,128,14.65,65,7.44,46,5.26,8,0.92,22,2.52,74,8.47,68,7.78,89,10.18,53,6.06,69,7.89,85,9.73,31038
31,39,875,50,5.71,84,9.6,48,5.49,43,4.91,9,1.03,12,1.37,88,10.06,101,11.54,102,11.66,88,10.06,83,9.49,91,10.4,31039
31,40,850,53,6.24,84,9.88,40,4.71,25,2.94,9,1.06,15,1.76,97,11.41,99,11.65,105,12.35,78,9.18,79,9.29,106,12.47,31040
31,41,791,68,8.6,114,14.41,54,6.83,53,6.7,7,0.88,13,1.64,76,9.61,63,7.96,78,9.86,51,6.45,52,6.57,70,8.85,31041
32,1,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,2,33.33,0,0.0,1,16.67,1,16.67,1,16.67,32001
32,3,1915,111,5.8,137,7.15,84,4.39,94,4.91,12,0.63,8,0.42,260,13.58,263,13.73,228,11.91,217,11.33,184,9.61,187,9.77,32003
32,11,1763,95,5.39,104,5.9,75,4.25,72,4.08,7,0.4,11,0.62,255,14.46,229,12.99,225,12.76,220,12.48,179,10.15,180,10.21,32011
32,12,1432,86,6.01,86,6.01,66,4.61,61,4.26,12,0.84,17,1.19,200,13.97,185,12.92,173,12.08,168,11.73,129,9.01,156,10.89,32012
32,14,1756,111,6.32,129,7.35,98,5.58,93,5.3,13,0.74,12,0.68,223,12.7,223,12.7,206,11.73,195,11.1,156,8.88,163,9.28,32014
32,16,172,17,9.88,15,8.72,9,5.23,11,6.4,2,1.16,0,0.0,17,9.88,18,10.47,17,9.88,21,12.21,16,9.3,14,8.14,32016
32,17,1760,109,6.19,123,6.99,90,5.11,83,4.72,11,0.63,12,0.68,200,11.36,224,12.73,226,12.84,204,11.59,157,8.92,200,11.36,32017
32,20,1826,102,5.59,123,6.74,90,4.93,88,4.82,12,0.66,14,0.77,246,13.47,236,12.92,224,12.27,215,11.77,178,9.75,186,10.19,32020
32,22,2072,127,6.13,150,7.24,110,5.31,105,5.07,17,0.82,13,0.63,297,14.33,265,12.79,234,11.29,232,11.2,174,8.4,195,9.41,32022
32,26,1787,149,8.34,153,8.56,123,6.88,121,6.77,15,0.84,16,0.9,212,11.86,197,11.02,190,10.63,172,9.63,138,7.72,139,7.78,32026
32,28,1773,117,6.6,126,7.11,96,5.41,95,5.36,13,0.73,9,0.51,212,11.96,218,12.3,217,12.24,208,11.73,159,8.97,176,9.93,32028
32,43,1646,111,6.74,118,7.17,87,5.29,85,5.16,6,0.36,8,0.49,195,11.85,216,13.12,203,12.33,194,11.79,144,8.75,157,9.54,32043
33,1,1629,117,7.18,118,7.24,83,5.1,82,5.03,9,0.55,21,1.29,159,9.76,209,12.83,202,12.4,171,10.5,153,9.39,169,10.37,33001
33,3,1962,133,6.78,151,7.7,117,5.96,115,5.86,15,0.76,13,0.66,173,8.82,243,12.39,229,11.67,225,11.47,190,9.68,202,10.3,33003
33,4,1977,129,6.53,151,7.64,103,5.21,94,4.75,15,0.76,17,0.86,213,10.77,250,12.65,235,11.89,205,10.37,180,9.1,227,11.48,33004
33,6,1420,125,8.8,142,10.0,103,7.25,101,7.11,14,0.99,24,1.69,123,8.66,147,10.35,127,8.94,129,9.08,105,7.39,133,9.37,33006
33,7,607,40,6.59,46,7.58,29,4.78,27,4.45,5,0.82,8,1.32,60,9.88,84,13.84,66,10.87,71,11.7,52,8.57,69,11.37,33007
33,8,892,62,6.95,69,7.74,52,5.83,55,6.17,12,1.35,11,1.23,88,9.87,106,11.88,101,11.32,101,11.32,85,9.53,82,9.19,33008
33,9,1630,152,9.33,164,10.06,125,7.67,127,7.79,23,1.41,13,0.8,134,8.22,167,10.25,148,9.08,141,8.65,132,8.1,143,8.77,33009
33,10,1227,95,7.74,103,8.39,71,5.79,67,5.46,17,1.39,24,1.96,110,8.96,150,12.22,131,10.68,132,10.76,90,7.33,120,9.78,33010
33,11,1698,115,6.77,134,7.89,89,5.24,90,5.3,15,0.88,19,1.12,170,10.01,209,12.31,204,12.01,187,11.01,154,9.07,184,10.84,33011
33,12,1546,129,8.34,139,8.99,101,6.53,92,5.95,10,0.65,23,1.49,134,8.67,180,11.64,161,10.41,146,9.44,133,8.6,156,10.09,33012
33,13,1714,94,5.48,118,6.88,76,4.43,69,4.03,11,0.64,28,1.63,196,11.44,219,12.78,209,12.19,198,11.55,175,10.21,205,11.96,33013
33,14,786,49,6.23,61,7.76,32,4.07,32,4.07,3,0.38,12,1.53,89,11.32,101,12.85,94,11.96,87,11.07,76,9.67,89,11.32,33014
33,15,1852,135,7.29,154,8.32,106,5.72,93,5.02,23,1.24,32,1.73,168,9.07,211,11.39,222,11.99,195,10.53,167,9.02,187,10.1,33015
33,16,2225,178,8.0,209,9.39,154,6.92,146,6.56,24,1.08,30,1.35,190,8.54,249,11.19,227,10.2,218,9.8,176,7.91,219,9.84,33016
33,17,1657,127,7.66,129,7.79,96,5.79,89,5.37,18,1.09,21,1.27,137,8.27,205,12.37,196,11.83,176,10.62,154,9.29,170,10.26,33017
33,19,772,58,7.51,53,6.87,38,4.92,37,4.79,5,0.65,10,1.3,78,10.1,99,12.82,94,12.18,83,10.75,64,8.29,87,11.27,33019
33,20,1943,149,7.67,164,8.44,121,6.23,120,6.18,15,0.77,21,1.08,183,9.42,234,12.04,201,10.34,213,10.96,162,8.34,187,9.62,33020
33,21,1647,109,6.62,125,7.59,100,6.07,90,5.46,17,1.03,27,1.64,144,8.74,214,12.99,187,11.35,170,10.32,155,9.41,174,10.56,33021
33,22,1691,154,9.11,157,9.28,124,7.33,113,6.68,25,1.48,22,1.3,143,8.46,188,11.12,175,10.35,145,8.57,137,8.1,141,8.34,33022
33,23,1717,128,7.45,142,8.27,104,6.06,105,6.12,23,1.34,13,0.76,153,8.91,213,12.41,181,10.54,184,10.72,155,9.03,167,9.73,33023
33,25,1955,156,7.98,159,8.13,136,6.96,131,6.7,14,0.72,16,0.82,174,8.9,231,11.82,212,10.84,211,10.79,168,8.59,176,9.0,33025
33,26,1382,68,4.92,79,5.72,55,3.98,46,3.33,12,0.87,13,0.94,160,11.58,182,13.17,192,13.89,177,12.81,158,11.43,159,11.51,33026
33,27,1528,94,6.15,96,6.28,74,4.84,70,4.58,24,1.57,24,1.57,148,9.69,201,13.15,188,12.3,173,11.32,159,10.41,160,10.47,33027
33,28,1662,108,6.5,122,7.34,93,5.6,87,5.23,12,0.72,17,1.02,179,10.77,202,12.15,206,12.39,186,11.19,153,9.21,168,10.11,33028
35,1,1311,82,6.25,80,6.1,63,4.81,57,4.35,9,0.69,18,1.37,146,11.14,159,12.13,202,15.41,139,10.6,126,9.61,141,10.76,35001
35,2,1658,124,7.48,136,8.2,90,5.43,91,5.49,6,0.36,10,0.6,180,10.86,180,10.86,223,13.45,172,10.37,145,8.75,162,9.77,35002
35,3,1361,84,6.17,100,7.35,57,4.19,48,3.53,9,0.66,14,1.03,137,10.07,168,12.34,201,14.77,148,10.87,134,9.85,168,12.34,35003
35,4,1356,94,6.93,116,8.55,76,5.6,78,5.75,18,1.33,19,1.4,113,8.33,158,11.65,188,13.86,132,9.73,118,8.7,137,10.1,35004
35,5,1291,78,6.04,100,7.75,59,4.57,56,4.34,12,0.93,22,1.7,141,10.92,158,12.24,189,14.64,131,10.15,125,9.68,133,10.3,35005
35,6,1283,84,6.55,91,7.09,78,6.08,70,5.46,7,0.55,8,0.62,133,10.37,149,11.61,178,13.87,134,10.44,121,9.43,129,10.05,35006
35,7,1538,78,5.07,89,5.79,60,3.9,53,3.45,10,0.65,16,1.04,189,12.29,205,13.33,227,14.76,196,12.74,161,10.47,164,10.66,35007
35,8,1462,84,5.75,105,7.18,63,4.31,61,4.17,18,1.23,14,0.96,149,10.19,191,13.06,197,13.47,166,11.35,139,9.51,168,11.49,35008
35,9,1296,109,8.41,110,8.49,72,5.56,69,5.32,16,1.23,21,1.62,109,8.41,145,11.19,165,12.73,128,9.88,107,8.26,125,9.65,35009
35,10,2079,100,4.81,119,5.72,74,3.56,66,3.17,12,0.58,7,0.34,306,14.72,287,13.8,307,14.77,263,12.65,194,9.33,238,11.45,35010
35,11,1508,89,5.9,110,7.29,68,4.51,61,4.05,17,1.13,17,1.13,190,12.6,183,12.14,209,13.86,160,10.61,136,9.02,165,10.94,35011
35,12,816,70,8.58,86,10.54,48,5.88,36,4.41,6,0.74,10,1.23,67,8.21,82,10.05,115,14.09,60,7.35,65,7.97,88,10.78,35012
35,13,841,73,8.68,88,10.46,63,7.49,49,5.83,6,0.71,17,2.02,58,6.9,81,9.63,108,12.84,56,6.66,60,7.13,89,10.58,35013
35,14,1103,85,7.71,109,9.88,63,5.71,51,4.62,14,1.27,25,2.27,94,8.52,112,10.15,148,13.42,84,7.62,97,8.79,118,10.7,35014
35,15,1607,102,6.35,121,7.53,69,4.29,66,4.11,15,0.93,21,1.31,205,12.76,184,11.45,242,15.06,161,10.02,151,9.4,151,9.4,35015
35,16,841,81,9.63,97,11.53,49,5.83,42,4.99,12,1.43,11,1.31,63,7.49,78,9.27,119,14.15,56,6.66,58,6.9,86,10.23,35016
35,17,1470,106,7.21,121,8.23,88,5.99,88,5.99,7,0.48,7,0.48,163,11.09,169,11.5,201,13.67,149,10.14,119,8.1,135,9.18,35017
35,18,998,91,9.12,133,13.33,71,7.11,59,5.91,12,1.2,13,1.3,70,7.01,80,8.02,133,13.33,60,6.01,63,6.31,92,9.22,35018
35,19,797,65,8.16,96,12.05,54,6.78,45,5.65,6,0.75,14,1.76,60,7.53,70,8.78,107,13.43,50,6.27,63,7.9,86,10.79,35019
35,20,1194,88,7.37,102,8.54,76,6.37,78,6.53,12,1.01,15,1.26,105,8.79,141,11.81,149,12.48,118,9.88,88,7.37,113,9.46,35020
35,21,1203,104,8.65,112,9.31,71,5.9,64,5.32,11,0.91,14,1.16,114,9.48,122,10.14,151,12.55,110,9.14,92,7.65,127,10.56,35021
35,22,1539,102,6.63,117,7.6,84,5.46,96,6.24,17,1.1,26,1.69,144,9.36,196,12.74,189,12.28,175,11.37,120,7.8,151,9.81,35022
35,23,1459,105,7.2,131,8.98,76,5.21,63,4.32,17,1.17,18,1.23,139,9.53,179,12.27,194,13.3,153,10.49,117,8.02,137,9.39,35023
35,24,1250,86,6.88,107,8.56,60,4.8,60,4.8,13,1.04,15,1.2,115,9.2,145,11.6,176,14.08,122,9.76,114,9.12,135,10.8,35024
35,25,1914,100,5.22,109,5.69,79,4.13,85,4.44,9,0.47,8,0.42,263,13.74,263,13.74,256,13.38,246,12.85,186,9.72,194,10.14,35025
35,26,1124,78,6.94,82,7.3,72,6.41,64,5.69,16,1.42,9,0.8,115,10.23,129,11.48,140,12.46,110,9.79,104,9.25,113,10.05,35026
35,27,1224,94,7.68,99,8.09,81,6.62,82,6.7,10,0.82,22,1.8,113,9.23,138,11.27,151,12.34,125,10.21,93,7.6,109,8.91,35027
35,28,1319,87,6.6,113,8.57,75,5.69,69,5.23,9,0.68,5,0.38,157,11.9,151,11.45,172,13.04,131,9.93,117,8.87,126,9.55,35028
35,29,1134,90,7.94,98,8.64,73,6.44,68,6.0,8,0.71,21,1.85,84,7.41,121,10.67,149,13.14,102,8.99,98,8.64,114,10.05,35029
35,30,1316,110,8.36,119,9.04,86,6.53,77,5.85,17,1.29,22,1.67,106,8.05,148,11.25,165,12.54,114,8.66,99,7.52,121,9.19,35030
35,31,1457,96,6.59,106,7.28,81,5.56,75,5.15,19,1.3,12,0.82,132,9.06,185,12.7,205,14.07,162,11.12,121,8.3,153,10.5,35031
36,1,1127,106,9.41,123,10.91,95,8.43,80,7.1,15,1.33,20,1.77,75,6.65,100,8.87,104,9.23,87,7.72,78,6.92,114,10.12,36001
36,2,987,91,9.22,107,10.84,78,7.9,66,6.69,15,1.52,23,2.33,65,6.59,97,9.83,100,10.13,71,7.19,70,7.09,102,10.33,36002
36,3,936,98,10.47,98,10.47,74,7.91,67,7.16,12,1.28,16,1.71,73,7.8,79,8.44,89,9.51,69,7.37,71,7.59,83,8.87,36003
36,4,1099,113,10.28,128,11.65,80,7.28,74,6.73,15,1.36,32,2.91,65,5.91,105,9.55,101,9.19,73,6.64,71,6.46,111,10.1,36004
36,6,745,71,9.53,92,12.35,55,7.38,40,5.37,10,1.34,19,2.55,57,7.65,63,8.46,81,10.87,50,6.71,49,6.58,73,9.8,36006
36,8,873,81,9.28,99,11.34,64,7.33,52,5.96,16,1.83,13,1.49,64,7.33,81,9.28,105,12.03,54,6.19,69,7.9,87,9.97,36008
36,9,967,75,7.76,101,10.44,46,4.76,46,4.76,18,1.86,20,2.07,79,8.17,111,11.48,114,11.79,72,7.45,84,8.69,97,10.03,36009
36,10,1177,108,9.18,126,10.71,86,7.31,74,6.29,19,1.61,17,1.44,81,6.88,119,10.11,122,10.37,92,7.82,90,7.65,119,10.11,36010
36,11,730,70,9.59,98,13.42,46,6.3,42,5.75,9,1.23,15,2.05,51,6.99,66,9.04,76,10.41,46,6.3,51,6.99,77,10.55,36011
36,12,764,76,9.95,88,11.52,59,7.72,46,6.02,13,1.7,12,1.57,52,6.81,63,8.25,81,10.6,54,7.07,58,7.59,77,10.08,36012
36,13,702,63,8.97,92,13.11,64,9.12,52,7.41,6,0.85,14,1.99,40,5.7,55,7.83,63,8.97,40,5.7,52,7.41,81,11.54,36013
36,16,202,17,8.42,26,12.87,17,8.42,13,6.44,3,1.49,6,2.97,21,10.4,16,7.92,18,8.91,12,5.94,12,5.94,17,8.42,36016
