ward,precinct,total,Colleen Patricia Burns (Clinton),Colleen Patricia Burns (Clinton) Percent,Michael E. Hastings (Clinton),Michael E. Hastings (Clinton) Percent,Clarisol Duque (Clinton),Clarisol Duque (Clinton) Percent,Jorge Ramirez (Clinton),Jorge Ramirez (Clinton) Percent,Shirley Madigan (Clinton),Shirley Madigan (Clinton) Percent,Josephine Singler (O'Malley),Josephine Singler (O'Malley) Percent,Nancy Heskin Jados (O'Malley),Nancy Heskin Jados (O'Malley) Percent,Edward D. Maloney (O'Malley),Edward D. Maloney (O'Malley) Percent,Matthew Lafond (O'Malley),Matthew Lafond (O'Malley) Percent,Nathaniel Harris (Sanders),Nathaniel Harris (Sanders) Percent,Rebecca Davies (Sanders),Rebecca Davies (Sanders) Percent,Daniel Buys (Sanders),Daniel Buys (Sanders) Percent,Myriam Calvache (Sanders),Myriam Calvache (Sanders) Percent,Maureen Sullivan (Sanders),Maureen Sullivan (Sanders) Percent,precinct_id
19,25,965,105,10.88,96,9.95,95,9.84,97,10.05,94,9.74,12,1.24,9,0.93,23,2.38,10,1.04,80,8.29,88,9.12,73,7.56,75,7.77,94,9.74,19025
19,26,1205,126,10.46,124,10.29,112,9.29,112,9.29,115,9.54,9,0.75,16,1.33,21,1.74,4,0.33,106,8.8,112,9.29,110,9.13,108,8.96,124,10.29,19026
19,29,953,69,7.24,56,5.88,56,5.88,58,6.09,63,6.61,18,1.89,20,2.1,26,2.73,13,1.36,110,11.54,116,12.17,106,11.12,107,11.23,120,12.59,19029
19,30,904,67,7.41,61,6.75,54,5.97,56,6.19,70,7.74,19,2.1,16,1.77,28,3.1,14,1.55,94,10.4,100,11.06,94,10.4,87,9.62,117,12.94,19030
19,32,1084,87,8.03,70,6.46,72,6.64,75,6.92,80,7.38,12,1.11,17,1.57,40,3.69,20,1.85,116,10.7,118,10.89,116,10.7,106,9.78,133,12.27,19032
19,33,1005,89,8.86,74,7.36,66,6.57,73,7.26,83,8.26,29,2.89,26,2.59,55,5.47,24,2.39,88,8.76,90,8.96,92,9.15,81,8.06,102,10.15,19033
19,34,1235,110,8.91,103,8.34,102,8.26,107,8.66,108,8.74,12,0.97,18,1.46,26,2.11,11,0.89,130,10.53,122,9.88,119,9.64,118,9.55,134,10.85,19034
19,35,1294,128,9.89,112,8.66,111,8.58,118,9.12,117,9.04,19,1.47,14,1.08,34,2.63,13,1.0,122,9.43,126,9.74,115,8.89,115,8.89,130,10.05,19035
19,41,829,64,7.72,57,6.88,50,6.03,52,6.27,69,8.32,19,2.29,15,1.81,45,5.43,21,2.53,78,9.41,82,9.89,80,9.65,73,8.81,96,11.58,19041
19,44,1113,73,6.56,64,5.75,55,4.94,56,5.03,71,6.38,29,2.61,25,2.25,52,4.67,28,2.52,122,10.96,122,10.96,124,11.14,115,10.33,143,12.85,19044
19,45,1073,86,8.01,64,5.96,62,5.78,68,6.34,68,6.34,22,2.05,21,1.96,55,5.13,16,1.49,113,10.53,114,10.62,110,10.25,106,9.88,138,12.86,19045
19,46,1166,109,9.35,98,8.4,76,6.52,87,7.46,94,8.06,23,1.97,18,1.54,66,5.66,23,1.97,104,8.92,107,9.18,102,8.75,102,8.75,130,11.15,19046
19,50,1023,104,10.17,83,8.11,83,8.11,89,8.7,89,8.7,18,1.76,22,2.15,41,4.01,21,2.05,89,8.7,92,8.99,85,8.31,79,7.72,99,9.68,19050
19,51,1444,142,9.83,115,7.96,115,7.96,121,8.38,126,8.73,23,1.59,18,1.25,69,4.78,14,0.97,125,8.66,128,8.86,132,9.14,122,8.45,160,11.08,19051
19,52,1090,86,7.89,77,7.06,67,6.15,70,6.42,81,7.43,25,2.29,23,2.11,45,4.13,21,1.93,112,10.28,115,10.55,110,10.09,103,9.45,127,11.65,19052
19,53,1086,100,9.21,90,8.29,80,7.37,87,8.01,89,8.2,23,2.12,15,1.38,43,3.96,14,1.29,104,9.58,107,9.85,96,8.84,96,8.84,120,11.05,19053
19,54,742,42,5.66,34,4.58,32,4.31,35,4.72,41,5.53,22,2.96,26,3.5,41,5.53,23,3.1,83,11.19,83,11.19,81,10.92,75,10.11,96,12.94,19054
19,55,792,67,8.46,60,7.58,51,6.44,55,6.94,60,7.58,15,1.89,14,1.77,35,4.42,18,2.27,79,9.97,83,10.48,79,9.97,69,8.71,92,11.62,19055
19,56,1517,198,13.05,176,11.6,174,11.47,187,12.33,181,11.93,16,1.05,12,0.79,23,1.52,12,0.79,113,7.45,107,7.05,99,6.53,98,6.46,108,7.12,19056
19,57,827,83,10.04,72,8.71,73,8.83,75,9.07,73,8.83,7,0.85,8,0.97,12,1.45,5,0.6,81,9.79,89,10.76,74,8.95,80,9.67,87,10.52,19057
20,4,246,25,10.16,21,8.54,22,8.94,23,9.35,23,9.35,4,1.63,0,0.0,3,1.22,2,0.81,26,10.57,26,10.57,23,9.35,23,9.35,24,9.76,20004
20,15,574,42,7.32,32,5.57,36,6.27,81,14.11,33,5.75,5,0.87,6,1.05,7,1.22,9,1.57,60,10.45,82,14.29,63,10.98,57,9.93,55,9.58,20015
20,20,11,1,9.09,1,9.09,1,9.09,3,27.27,1,9.09,1,9.09,1,9.09,0,0.0,0,0.0,1,9.09,0,0.0,0,0.0,0,0.0,1,9.09,20020
22,1,814,108,13.27,90,11.06,87,10.69,96,11.79,105,12.9,13,1.6,10,1.23,15,1.84,8,0.98,71,8.72,57,7.0,46,5.65,46,5.65,55,6.76,22001
22,2,1260,117,9.29,103,8.17,111,8.81,152,12.06,120,9.52,11,0.87,15,1.19,13,1.03,7,0.56,113,8.97,134,10.63,107,8.49,121,9.6,125,9.92,22002
22,8,1389,129,9.29,117,8.42,114,8.21,155,11.16,130,9.36,9,0.65,10,0.72,15,1.08,11,0.79,151,10.87,141,10.15,119,8.57,134,9.65,137,9.86,22008
22,12,994,87,8.75,70,7.04,65,6.54,109,10.97,84,8.45,16,1.61,8,0.8,12,1.21,10,1.01,110,11.07,112,11.27,95,9.56,100,10.06,103,10.36,22012
22,23,1464,198,13.52,158,10.79,160,10.93,176,12.02,191,13.05,13,0.89,12,0.82,18,1.23,6,0.41,124,8.47,111,7.58,90,6.15,90,6.15,107,7.31,22023
23,1,1013,93,9.18,87,8.59,88,8.69,96,9.48,109,10.76,18,1.78,14,1.38,26,2.57,15,1.48,82,8.09,90,8.88,86,8.49,84,8.29,102,10.07,23001
23,2,973,91,9.35,88,9.04,81,8.32,91,9.35,91,9.35,21,2.16,14,1.44,22,2.26,16,1.64,89,9.15,88,9.04,82,8.43,79,8.12,96,9.87,23002
23,3,850,68,8.0,67,7.88,69,8.12,71,8.35,82,9.65,15,1.76,7,0.82,21,2.47,18,2.12,82,9.65,92,10.82,76,8.94,77,9.06,88,10.35,23003
23,4,1245,111,8.92,99,7.95,95,7.63,115,9.24,104,8.35,16,1.29,13,1.04,27,2.17,21,1.69,122,9.8,122,9.8,120,9.64,125,10.04,134,10.76,23004
23,5,1165,96,8.24,93,7.98,91,7.81,133,11.42,110,9.44,8,0.69,9,0.77,12,1.03,8,0.69,117,10.04,132,11.33,114,9.79,120,10.3,110,9.44,23005
23,6,1301,102,7.84,90,6.92,85,6.53,144,11.07,101,7.76,10,0.77,15,1.15,19,1.46,11,0.85,142,10.91,151,11.61,130,9.99,148,11.38,135,10.38,23006
23,7,1093,88,8.05,77,7.04,80,7.32,133,12.17,99,9.06,5,0.46,9,0.82,16,1.46,6,0.55,110,10.06,132,12.08,109,9.97,114,10.43,106,9.7,23007
23,8,1278,107,8.37,93,7.28,91,7.12,126,9.86,114,8.92,13,1.02,18,1.41,27,2.11,11,0.86,125,9.78,144,11.27,123,9.62,132,10.33,140,10.95,23008
23,9,442,41,9.28,35,7.92,34,7.69,56,12.67,39,8.82,6,1.36,5,1.13,4,0.9,4,0.9,44,9.95,43,9.73,38,8.6,46,10.41,40,9.05,23009
23,10,1430,116,8.11,109,7.62,110,7.69,168,11.75,125,8.74,18,1.26,19,1.33,26,1.82,12,0.84,147,10.28,156,10.91,132,9.23,140,9.79,133,9.3,23010
23,11,1499,127,8.47,113,7.54,119,7.94,173,11.54,151,10.07,14,0.93,16,1.07,22,1.47,13,0.87,142,9.47,162,10.81,143,9.54,146,9.74,148,9.87,23011
23,12,918,75,8.17,57,6.21,62,6.75,80,8.71,72,7.84,15,1.63,17,1.85,23,2.51,11,1.2,98,10.68,97,10.57,89,9.69,98,10.68,106,11.55,23012
23,14,768,68,8.85,50,6.51,55,7.16,65,8.46,70,9.11,12,1.56,15,1.95,20,2.6,12,1.56,73,9.51,82,10.68,71,9.24,71,9.24,89,11.59,23014
23,15,956,91,9.52,74,7.74,80,8.37,126,13.18,79,8.26,9,0.94,10,1.05,13,1.36,6,0.63,84,8.79,101,10.56,90,9.41,91,9.52,89,9.31,23015
23,16,965,89,9.22,75,7.77,78,8.08,93,9.64,88,9.12,14,1.45,11,1.14,23,2.38,15,1.55,89,9.22,96,9.95,82,8.5,89,9.22,108,11.19,23016
23,17,496,32,6.45,25,5.04,30,6.05,60,12.1,37,7.46,3,0.6,1,0.2,3,0.6,1,0.2,58,11.69,64,12.9,52,10.48,65,13.1,61,12.3,23017
23,18,954,84,8.81,77,8.07,73,7.65,85,8.91,98,10.27,20,2.1,12,1.26,21,2.2,6,0.63,91,9.54,94,9.85,87,9.12,88,9.22,104,10.9,23018
23,19,324,32,9.88,25,7.72,28,8.64,38,11.73,30,9.26,1,0.31,3,0.93,2,0.62,1,0.31,32,9.88,36,11.11,32,9.88,32,9.88,29,8.95,23019
23,20,774,52,6.72,54,6.98,52,6.72,90,11.63,54,6.98,3,0.39,10,1.29,7,0.9,2,0.26,86,11.11,102,13.18,87,11.24,86,11.11,85,10.98,23020
23,21,996,97,9.74,76,7.63,76,7.63,93,9.34,94,9.44,21,2.11,13,1.31,25,2.51,14,1.41,83,8.33,93,9.34,91,9.14,87,8.73,109,10.94,23021
23,22,1096,96,8.76,84,7.66,87,7.94,116,10.58,106,9.67,13,1.19,11,1.0,22,2.01,9,0.82,106,9.67,107,9.76,95,8.67,114,10.4,113,10.31,23022
23,23,1080,91,8.43,79,7.31,71,6.57,89,8.24,90,8.33,19,1.76,17,1.57,37,3.43,19,1.76,107,9.91,112,10.37,95,8.8,108,10.0,125,11.57,23023
23,25,990,74,7.47,68,6.87,69,6.97,104,10.51,73,7.37,10,1.01,17,1.72,13,1.31,9,0.91,108,10.91,120,12.12,98,9.9,115,11.62,101,10.2,23025
23,26,1018,87,8.55,68,6.68,76,7.47,129,12.67,93,9.14,13,1.28,12,1.18,20,1.96,11,1.08,106,10.41,111,10.9,82,8.06,98,9.63,96,9.43,23026
23,27,963,77,8.0,69,7.17,69,7.17,81,8.41,82,8.52,16,1.66,15,1.56,30,3.12,16,1.66,97,10.07,96,9.97,95,9.87,94,9.76,107,11.11,23027
23,28,1093,110,10.06,95,8.69,98,8.97,123,11.25,104,9.52,23,2.1,16,1.46,14,1.28,12,1.1,93,8.51,104,9.52,88,8.05,90,8.23,106,9.7,23028
23,29,899,68,7.56,65,7.23,70,7.79,84,9.34,82,9.12,13,1.45,7,0.78,24,2.67,14,1.56,84,9.34,92,10.23,86,9.57,89,9.9,100,11.12,23029
23,30,1416,108,7.63,93,6.57,101,7.13,157,11.09,122,8.62,15,1.06,11,0.78,18,1.27,8,0.56,147,10.38,172,12.15,142,10.03,150,10.59,156,11.02,23030
23,31,719,55,7.65,49,6.82,51,7.09,90,12.52,66,9.18,8,1.11,11,1.53,9,1.25,3,0.42,76,10.57,81,11.27,65,9.04,75,10.43,71,9.87,23031
23,32,1269,110,8.67,103,8.12,111,8.75,155,12.21,126,9.93,8,0.63,14,1.1,22,1.73,11,0.87,116,9.14,141,11.11,106,8.35,115,9.06,117,9.22,23032
23,33,1270,83,6.54,72,5.67,84,6.61,151,11.89,111,8.74,15,1.18,15,1.18,20,1.57,10,0.79,141,11.1,155,12.2,121,9.53,147,11.57,136,10.71,23033
23,34,675,47,6.96,40,5.93,47,6.96,69,10.22,57,8.44,4,0.59,4,0.59,11,1.63,4,0.59,78,11.56,79,11.7,75,11.11,74,10.96,76,11.26,23034
23,35,690,46,6.67,46,6.67,47,6.81,60,8.7,54,7.83,14,2.03,14,2.03,17,2.46,10,1.45,74,10.72,75,10.87,72,10.43,73,10.58,72,10.43,23035
23,36,931,85,9.13,70,7.52,75,8.06,88,9.45,80,8.59,14,1.5,15,1.61,16,1.72,8,0.86,99,10.63,92,9.88,90,9.67,90,9.67,98,10.53,23036
23,37,872,55,6.31,42,4.82,46,5.28,61,7.0,55,6.31,14,1.61,12,1.38,17,1.95,13,1.49,103,11.81,110,12.61,107,12.27,107,12.27,117,13.42,23037
23,38,916,88,9.61,77,8.41,76,8.3,90,9.83,87,9.5,19,2.07,13,1.42,16,1.75,12,1.31,83,9.06,90,9.83,74,8.08,81,8.84,92,10.04,23038
23,39,420,26,6.19,24,5.71,25,5.95,53,12.62,25,5.95,6,1.43,5,1.19,8,1.9,3,0.71,50,11.9,54,12.86,43,10.24,48,11.43,46,10.95,23039
