ward,precinct,total,Tom Hanson,Tom Hanson Percent,Jon Stewart,Jon Stewart Percent,Gregory A. Bedell,Gregory A. Bedell Percent,Daniel S. Kay (Karkusiewicz),Daniel S. Kay (Karkusiewicz) Percent,precinct_id
38,23,4,0,0.0,0,0.0,0,0.0,2,50.0,38023
38,24,3,0,0.0,1,33.33,0,0.0,2,66.67,38024
38,25,2,1,50.0,0,0.0,0,0.0,0,0.0,38025
38,26,5,0,0.0,0,0.0,0,0.0,0,0.0,38026
38,27,8,2,25.0,2,25.0,0,0.0,0,0.0,38027
38,28,7,0,0.0,1,14.29,2,28.57,0,0.0,38028
38,29,6,5,83.33,0,0.0,0,0.0,0,0.0,38029
38,30,4,1,25.0,0,0.0,0,0.0,0,0.0,38030
38,31,3,1,33.33,0,0.0,0,0.0,1,33.33,38031
38,32,11,3,27.27,1,9.09,0,0.0,3,27.27,38032
38,33,2,0,0.0,0,0.0,0,0.0,1,50.0,38033
38,34,2,0,0.0,0,0.0,0,0.0,1,50.0,38034
38,35,8,1,12.5,0,0.0,0,0.0,1,12.5,38035
38,36,8,1,12.5,0,0.0,0,0.0,0,0.0,38036
38,37,6,2,33.33,1,16.67,1,16.67,2,33.33,38037
38,38,6,2,33.33,2,33.33,0,0.0,0,0.0,38038
38,39,6,0,0.0,2,33.33,1,16.67,2,33.33,38039
38,40,4,0,0.0,1,25.0,0,0.0,0,0.0,38040
38,41,14,6,42.86,1,7.14,5,35.71,1,7.14,38041
38,42,6,1,16.67,1,16.67,0,0.0,1,16.67,38042
38,43,8,1,12.5,1,12.5,1,12.5,1,12.5,38043
38,44,9,5,55.56,1,11.11,0,0.0,0,0.0,38044
38,45,6,3,50.0,0,0.0,0,0.0,2,33.33,38045
38,46,5,0,0.0,1,20.0,1,20.0,1,20.0,38046
38,47,7,2,28.57,0,0.0,1,14.29,0,0.0,38047
38,48,8,2,25.0,0,0.0,0,0.0,1,12.5,38048
38,49,7,1,14.29,0,0.0,1,14.29,2,28.57,38049
38,50,14,3,21.43,3,21.43,1,7.14,0,0.0,38050
38,51,5,0,0.0,2,40.0,0,0.0,0,0.0,38051
38,52,10,2,20.0,3,30.0,0,0.0,3,30.0,38052
38,53,0,0,0.0,0,0.0,0,0.0,0,0.0,38053
39,1,14,2,14.29,0,0.0,1,7.14,4,28.57,39001
39,2,16,7,43.75,0,0.0,0,0.0,0,0.0,39002
39,3,4,1,25.0,0,0.0,2,50.0,0,0.0,39003
39,4,5,2,40.0,0,0.0,1,20.0,0,0.0,39004
39,5,8,1,12.5,2,25.0,0,0.0,0,0.0,39005
39,6,9,3,33.33,1,11.11,0,0.0,0,0.0,39006
39,7,5,1,20.0,0,0.0,1,20.0,0,0.0,39007
39,8,5,2,40.0,0,0.0,0,0.0,0,0.0,39008
39,9,4,0,0.0,0,0.0,2,50.0,0,0.0,39009
39,10,7,1,14.29,0,0.0,1,14.29,0,0.0,39010
39,11,4,0,0.0,1,25.0,1,25.0,0,0.0,39011
39,12,3,1,33.33,0,0.0,2,66.67,0,0.0,39012
39,13,2,0,0.0,0,0.0,0,0.0,0,0.0,39013
39,14,6,2,33.33,0,0.0,2,33.33,0,0.0,39014
39,15,4,2,50.0,0,0.0,0,0.0,0,0.0,39015
39,16,11,1,9.09,1,9.09,0,0.0,0,0.0,39016
39,17,3,1,33.33,0,0.0,1,33.33,1,33.33,39017
39,18,10,1,10.0,0,0.0,5,50.0,0,0.0,39018
39,19,4,0,0.0,2,50.0,2,50.0,0,0.0,39019
39,20,7,1,14.29,1,14.29,0,0.0,0,0.0,39020
39,21,4,0,0.0,0,0.0,2,50.0,1,25.0,39021
39,22,2,0,0.0,1,50.0,0,0.0,1,50.0,39022
39,23,5,0,0.0,0,0.0,1,20.0,0,0.0,39023
39,24,2,1,50.0,0,0.0,0,0.0,0,0.0,39024
39,25,8,3,37.5,1,12.5,1,12.5,0,0.0,39025
39,26,6,0,0.0,0,0.0,1,16.67,1,16.67,39026
39,27,7,0,0.0,0,0.0,1,14.29,0,0.0,39027
39,28,2,0,0.0,0,0.0,0,0.0,0,0.0,39028
39,29,10,1,10.0,2,20.0,0,0.0,1,10.0,39029
39,30,4,0,0.0,0,0.0,0,0.0,0,0.0,39030
39,31,4,1,25.0,1,25.0,1,25.0,0,0.0,39031
39,32,1,0,0.0,0,0.0,0,0.0,0,0.0,39032
39,33,7,1,14.29,0,0.0,1,14.29,0,0.0,39033
39,34,5,1,20.0,0,0.0,0,0.0,2,40.0,39034
39,35,9,2,22.22,2,22.22,0,0.0,0,0.0,39035
