ward,precinct,total,William J. Cadigan (Romney),William J. Cadigan (Romney) Percent,Adam Robinson (Romney),Adam Robinson (Romney) Percent,Peter Pigott (Paul),Peter Pigott (Paul) Percent,Peter Wood (Paul),Peter Wood (Paul) Percent,John Skrabutenas (Paul),John Skrabutenas (Paul) Percent,Sean O'Leary (Gingrich),Sean O'Leary (Gingrich) Percent,Chris Provenzano (Gingrich),Chris Provenzano (Gingrich) Percent,Nathan A. Ulery (Gingrich),Nathan A. Ulery (Gingrich) Percent,Lisa A. Smith (Santorum),Lisa A. Smith (Santorum) Percent,Steven S. Polit (Santorum),Steven S. Polit (Santorum) Percent,"Frank J. Biga, III (Santorum)","Frank J. Biga, III (Santorum) Percent",precinct_id
49,34,27,3,11.11,3,11.11,3,11.11,3,11.11,3,11.11,1,3.7,1,3.7,1,3.7,2,7.41,2,7.41,2,7.41,49034
49,35,75,6,8.0,8,10.67,5,6.67,7,9.33,6,8.0,4,5.33,3,4.0,4,5.33,8,10.67,7,9.33,8,10.67,49035
49,36,63,12,19.05,11,17.46,6,9.52,6,9.52,5,7.94,2,3.17,1,1.59,1,1.59,3,4.76,2,3.17,1,1.59,49036
49,37,75,11,14.67,10,13.33,8,10.67,7,9.33,6,8.0,2,2.67,2,2.67,2,2.67,6,8.0,4,5.33,5,6.67,49037
49,38,30,1,3.33,1,3.33,3,10.0,2,6.67,3,10.0,5,16.67,4,13.33,5,16.67,1,3.33,2,6.67,2,6.67,49038
50,1,154,31,20.13,31,20.13,2,1.3,2,1.3,2,1.3,5,3.25,4,2.6,4,2.6,14,9.09,14,9.09,13,8.44,50001
50,2,113,23,20.35,24,21.24,0,0.0,0,0.0,0,0.0,6,5.31,5,4.42,5,4.42,8,7.08,8,7.08,8,7.08,50002
50,3,77,12,15.58,14,18.18,1,1.3,0,0.0,0,0.0,5,6.49,3,3.9,3,3.9,8,10.39,8,10.39,7,9.09,50003
50,4,63,10,15.87,9,14.29,2,3.17,2,3.17,1,1.59,0,0.0,1,1.59,1,1.59,10,15.87,10,15.87,7,11.11,50004
50,5,152,29,19.08,30,19.74,5,3.29,1,0.66,0,0.0,9,5.92,5,3.29,5,3.29,13,8.55,12,7.89,11,7.24,50005
50,6,41,6,14.63,7,17.07,1,2.44,1,2.44,1,2.44,1,2.44,1,2.44,0,0.0,6,14.63,5,12.2,5,12.2,50006
50,7,73,4,5.48,3,4.11,7,9.59,10,13.7,8,10.96,4,5.48,2,2.74,3,4.11,8,10.96,9,12.33,10,13.7,50007
50,8,29,7,24.14,4,13.79,2,6.9,2,6.9,3,10.34,1,3.45,1,3.45,1,3.45,2,6.9,1,3.45,1,3.45,50008
50,9,55,13,23.64,13,23.64,2,3.64,1,1.82,0,0.0,2,3.64,1,1.82,1,1.82,3,5.45,2,3.64,1,1.82,50009
50,10,86,15,17.44,18,20.93,3,3.49,3,3.49,3,3.49,1,1.16,0,0.0,1,1.16,9,10.47,9,10.47,9,10.47,50010
50,11,248,57,22.98,57,22.98,3,1.21,4,1.61,4,1.61,8,3.23,9,3.63,9,3.63,15,6.05,13,5.24,12,4.84,50011
50,12,92,24,26.09,23,25.0,1,1.09,1,1.09,1,1.09,2,2.17,2,2.17,2,2.17,3,3.26,2,2.17,2,2.17,50012
50,13,69,11,15.94,11,15.94,2,2.9,4,5.8,3,4.35,2,2.9,1,1.45,1,1.45,10,14.49,6,8.7,7,10.14,50013
50,14,81,19,23.46,18,22.22,1,1.23,1,1.23,1,1.23,3,3.7,2,2.47,2,2.47,4,4.94,4,4.94,5,6.17,50014
50,15,78,13,16.67,11,14.1,1,1.28,1,1.28,0,0.0,2,2.56,1,1.28,1,1.28,12,15.38,12,15.38,12,15.38,50015
50,16,75,24,32.0,24,32.0,0,0.0,0,0.0,0,0.0,1,1.33,0,0.0,0,0.0,0,0.0,1,1.33,0,0.0,50016
50,17,65,10,15.38,10,15.38,0,0.0,0,0.0,0,0.0,5,7.69,5,7.69,6,9.23,7,10.77,6,9.23,5,7.69,50017
50,18,89,23,25.84,23,25.84,3,3.37,3,3.37,2,2.25,2,2.25,2,2.25,2,2.25,3,3.37,1,1.12,1,1.12,50018
50,19,82,17,20.73,17,20.73,2,2.44,2,2.44,4,4.88,2,2.44,4,4.88,3,3.66,5,6.1,4,4.88,4,4.88,50019
50,20,114,11,9.65,9,7.89,5,4.39,7,6.14,6,5.26,3,2.63,3,2.63,3,2.63,21,18.42,18,15.79,17,14.91,50020
50,21,102,16,15.69,17,16.67,4,3.92,4,3.92,3,2.94,9,8.82,8,7.84,5,4.9,7,6.86,6,5.88,6,5.88,50021
50,22,36,7,19.44,6,16.67,4,11.11,4,11.11,3,8.33,0,0.0,0,0.0,1,2.78,2,5.56,1,2.78,1,2.78,50022
50,23,64,14,21.88,11,17.19,0,0.0,0,0.0,1,1.56,1,1.56,2,3.13,1,1.56,6,9.38,9,14.06,6,9.38,50023
50,24,77,11,14.29,10,12.99,5,6.49,6,7.79,5,6.49,1,1.3,3,3.9,1,1.3,7,9.09,8,10.39,7,9.09,50024
50,25,91,20,21.98,19,20.88,2,2.2,2,2.2,3,3.3,3,3.3,2,2.2,1,1.1,6,6.59,7,7.69,7,7.69,50025
50,26,28,4,14.29,3,10.71,0,0.0,1,3.57,0,0.0,2,7.14,0,0.0,0,0.0,4,14.29,6,21.43,5,17.86,50026
50,27,68,15,22.06,13,19.12,0,0.0,0,0.0,0,0.0,3,4.41,3,4.41,2,2.94,6,8.82,4,5.88,4,5.88,50027
50,28,61,13,21.31,12,19.67,2,3.28,1,1.64,2,3.28,3,4.92,3,4.92,3,4.92,2,3.28,2,3.28,3,4.92,50028
50,29,56,7,12.5,8,14.29,1,1.79,1,1.79,2,3.57,1,1.79,1,1.79,1,1.79,10,17.86,9,16.07,8,14.29,50029
50,30,126,26,20.63,27,21.43,5,3.97,4,3.17,5,3.97,2,1.59,2,1.59,3,2.38,7,5.56,8,6.35,7,5.56,50030
50,31,64,12,18.75,14,21.88,0,0.0,0,0.0,1,1.56,4,6.25,4,6.25,3,4.69,5,7.81,4,6.25,5,7.81,50031
50,32,26,3,11.54,3,11.54,1,3.85,2,7.69,1,3.85,2,7.69,1,3.85,1,3.85,5,19.23,2,7.69,2,7.69,50032
50,33,75,13,17.33,13,17.33,0,0.0,0,0.0,0,0.0,8,10.67,6,8.0,7,9.33,6,8.0,4,5.33,4,5.33,50033
50,34,50,10,20.0,8,16.0,0,0.0,0,0.0,3,6.0,0,0.0,0,0.0,0,0.0,8,16.0,7,14.0,6,12.0,50034
50,35,96,15,15.63,15,15.63,8,8.33,8,8.33,9,9.38,3,3.13,3,3.13,3,3.13,6,6.25,5,5.21,5,5.21,50035
50,36,71,10,14.08,8,11.27,3,4.23,3,4.23,3,4.23,5,7.04,4,5.63,4,5.63,8,11.27,8,11.27,7,9.86,50036
50,37,98,20,20.41,18,18.37,6,6.12,8,8.16,6,6.12,1,1.02,1,1.02,2,2.04,6,6.12,6,6.12,5,5.1,50037
50,38,61,10,16.39,11,18.03,0,0.0,0,0.0,0,0.0,5,8.2,3,4.92,4,6.56,7,11.48,5,8.2,5,8.2,50038
50,39,112,24,21.43,23,20.54,1,0.89,2,1.79,1,0.89,5,4.46,5,4.46,5,4.46,8,7.14,7,6.25,7,6.25,50039
50,40,164,33,20.12,31,18.9,1,0.61,1,0.61,1,0.61,7,4.27,8,4.88,7,4.27,15,9.15,16,9.76,11,6.71,50040
50,41,201,44,21.89,42,20.9,1,0.5,1,0.5,1,0.5,4,1.99,4,1.99,4,1.99,20,9.95,19,9.45,18,8.96,50041
50,42,89,14,15.73,13,14.61,4,4.49,5,5.62,4,4.49,3,3.37,1,1.12,2,2.25,11,12.36,9,10.11,9,10.11,50042
50,43,49,4,8.16,5,10.2,4,8.16,3,6.12,3,6.12,4,8.16,5,10.2,4,8.16,4,8.16,5,10.2,4,8.16,50043
