ward,precinct,total,Dan Dixon (Romney),Dan Dixon (Romney) Percent,George Offord (Romney),George Offord (Romney) Percent,Brian Reaves (Romney),Brian Reaves (Romney) Percent,Josh Marszalik (Paul),Josh Marszalik (Paul) Percent,John Ciesar (Paul),John Ciesar (Paul) Percent,Vivienne Porter (Gingrich),Vivienne Porter (Gingrich) Percent,Julie Ann Craig (Gingrich),Julie Ann Craig (Gingrich) Percent,Thomas Fuchsgruber (Gingrich),Thomas Fuchsgruber (Gingrich) Percent,Dean Mann (Santorum),Dean Mann (Santorum) Percent,Jacqueline Grabowski (Santorum),Jacqueline Grabowski (Santorum) Percent,precinct_id
13,40,28,4,14.29,3,10.71,3,10.71,2,7.14,3,10.71,1,3.57,1,3.57,2,7.14,3,10.71,3,10.71,13040
13,41,33,5,15.15,3,9.09,4,12.12,6,18.18,4,12.12,0,0.0,1,3.03,0,0.0,2,6.06,3,9.09,13041
13,42,37,4,10.81,4,10.81,4,10.81,3,8.11,3,8.11,3,8.11,2,5.41,0,0.0,6,16.22,5,13.51,13042
13,43,26,5,19.23,3,11.54,5,19.23,0,0.0,0,0.0,3,11.54,4,15.38,5,19.23,0,0.0,0,0.0,13043
13,44,8,1,12.5,1,12.5,1,12.5,0,0.0,0,0.0,1,12.5,1,12.5,1,12.5,1,12.5,1,12.5,13044
13,45,55,11,20.0,7,12.73,7,12.73,6,10.91,3,5.45,2,3.64,3,5.45,2,3.64,5,9.09,4,7.27,13045
13,46,26,2,7.69,2,7.69,3,11.54,0,0.0,0,0.0,0,0.0,2,7.69,1,3.85,8,30.77,8,30.77,13046
13,47,21,5,23.81,5,23.81,3,14.29,1,4.76,1,4.76,2,9.52,1,4.76,0,0.0,1,4.76,2,9.52,13047
14,1,35,5,14.29,4,11.43,5,14.29,3,8.57,4,11.43,1,2.86,0,0.0,3,8.57,5,14.29,2,5.71,14001
14,21,22,2,9.09,1,4.55,0,0.0,5,22.73,4,18.18,0,0.0,1,4.55,2,9.09,2,9.09,1,4.55,14021
14,26,13,1,7.69,2,15.38,2,15.38,1,7.69,1,7.69,2,15.38,2,15.38,1,7.69,0,0.0,0,0.0,14026
14,29,20,5,25.0,6,30.0,5,25.0,0,0.0,0,0.0,1,5.0,0,0.0,0,0.0,1,5.0,2,10.0,14029
14,32,8,0,0.0,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,1,12.5,0,0.0,3,37.5,2,25.0,14032
15,10,38,5,13.16,8,21.05,5,13.16,2,5.26,3,7.89,0,0.0,2,5.26,1,2.63,5,13.16,5,13.16,15010
15,16,15,3,20.0,2,13.33,2,13.33,1,6.67,1,6.67,0,0.0,0,0.0,0,0.0,4,26.67,1,6.67,15016
15,28,25,5,20.0,5,20.0,7,28.0,2,8.0,1,4.0,1,4.0,0,0.0,0,0.0,1,4.0,1,4.0,15028
16,7,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16007
16,11,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16011
16,13,19,6,31.58,6,31.58,5,26.32,0,0.0,1,5.26,0,0.0,0,0.0,0,0.0,0,0.0,1,5.26,16013
16,17,28,1,3.57,2,7.14,2,7.14,0,0.0,1,3.57,4,14.29,6,21.43,1,3.57,5,17.86,6,21.43,16017
16,21,13,2,15.38,2,15.38,2,15.38,0,0.0,1,7.69,1,7.69,0,0.0,0,0.0,2,15.38,3,23.08,16021
16,22,13,3,23.08,2,15.38,2,15.38,0,0.0,0,0.0,1,7.69,1,7.69,0,0.0,1,7.69,2,15.38,16022
16,23,11,2,18.18,1,9.09,1,9.09,1,9.09,2,18.18,2,18.18,1,9.09,0,0.0,0,0.0,0,0.0,16023
16,32,19,3,15.79,3,15.79,3,15.79,1,5.26,1,5.26,1,5.26,1,5.26,1,5.26,3,15.79,1,5.26,16032
16,35,28,6,21.43,8,28.57,5,17.86,0,0.0,0,0.0,0,0.0,1,3.57,1,3.57,3,10.71,3,10.71,16035
16,39,32,6,18.75,6,18.75,7,21.88,0,0.0,1,3.13,1,3.13,2,6.25,0,0.0,3,9.38,5,15.63,16039
18,28,23,4,17.39,4,17.39,4,17.39,0,0.0,0,0.0,0,0.0,0,0.0,1,4.35,5,21.74,5,21.74,18028
19,1,88,19,21.59,16,18.18,18,20.45,2,2.27,0,0.0,4,4.55,3,3.41,3,3.41,12,13.64,10,11.36,19001
19,3,158,33,20.89,28,17.72,23,14.56,6,3.8,5,3.16,5,3.16,4,2.53,5,3.16,23,14.56,20,12.66,19003
19,4,116,18,15.52,18,15.52,14,12.07,4,3.45,3,2.59,4,3.45,5,4.31,6,5.17,21,18.1,19,16.38,19004
19,6,130,22,16.92,16,12.31,17,13.08,3,2.31,1,0.77,10,7.69,13,10.0,10,7.69,19,14.62,17,13.08,19006
19,7,63,9,14.29,9,14.29,10,15.87,3,4.76,1,1.59,4,6.35,5,7.94,4,6.35,8,12.7,8,12.7,19007
19,8,110,20,18.18,19,17.27,19,17.27,4,3.64,4,3.64,4,3.64,6,5.45,6,5.45,12,10.91,12,10.91,19008
19,9,86,20,23.26,18,20.93,18,20.93,2,2.33,2,2.33,4,4.65,5,5.81,4,4.65,6,6.98,5,5.81,19009
19,10,110,18,16.36,16,14.55,18,16.36,8,7.27,6,5.45,1,0.91,2,1.82,2,1.82,17,15.45,15,13.64,19010
19,11,165,28,16.97,26,15.76,28,16.97,4,2.42,4,2.42,9,5.45,9,5.45,4,2.42,29,17.58,20,12.12,19011
19,12,135,24,17.78,22,16.3,25,18.52,5,3.7,7,5.19,4,2.96,8,5.93,4,2.96,16,11.85,16,11.85,19012
19,15,138,21,15.22,20,14.49,23,16.67,4,2.9,9,6.52,6,4.35,10,7.25,5,3.62,19,13.77,15,10.87,19015
19,16,151,22,14.57,18,11.92,18,11.92,7,4.64,5,3.31,8,5.3,12,7.95,9,5.96,24,15.89,21,13.91,19016
19,17,95,19,20.0,15,15.79,15,15.79,4,4.21,3,3.16,5,5.26,6,6.32,4,4.21,10,10.53,10,10.53,19017
19,18,115,25,21.74,23,20.0,25,21.74,2,1.74,2,1.74,4,3.48,5,4.35,3,2.61,11,9.57,12,10.43,19018
19,19,80,11,13.75,10,12.5,10,12.5,4,5.0,3,3.75,3,3.75,4,5.0,3,3.75,17,21.25,12,15.0,19019
19,21,118,20,16.95,18,15.25,19,16.1,9,7.63,7,5.93,4,3.39,7,5.93,4,3.39,15,12.71,7,5.93,19021
19,22,133,25,18.8,23,17.29,24,18.05,9,6.77,12,9.02,2,1.5,2,1.5,2,1.5,12,9.02,12,9.02,19022
19,23,129,30,23.26,26,20.16,23,17.83,3,2.33,3,2.33,5,3.88,4,3.1,2,1.55,15,11.63,13,10.08,19023
