ward,precinct,total,Ellen McIntosh (Romney),Ellen McIntosh (Romney) Percent,Kathleen Lydon (Romney),Kathleen Lydon (Romney) Percent,Ryan Andersen (Paul),Ryan Andersen (Paul) Percent,Forrest Jehlik (Paul),Forrest Jehlik (Paul) Percent,Don Sloan (Gingrich),Don Sloan (Gingrich) Percent,Paul Fuentes (Gingrich),Paul Fuentes (Gingrich) Percent,precinct_id
36,1,34,11,32.35,12,35.29,2,5.88,2,5.88,4,11.76,3,8.82,36001
36,2,37,12,32.43,11,29.73,3,8.11,4,10.81,4,10.81,3,8.11,36002
36,3,35,12,34.29,6,17.14,6,17.14,2,5.71,4,11.43,5,14.29,36003
36,4,14,3,21.43,2,14.29,0,0.0,1,7.14,4,28.57,4,28.57,36004
36,10,28,9,32.14,10,35.71,5,17.86,2,7.14,1,3.57,1,3.57,36010
36,14,47,15,31.91,11,23.4,5,10.64,3,6.38,7,14.89,6,12.77,36014
36,15,31,8,25.81,11,35.48,1,3.23,0,0.0,4,12.9,7,22.58,36015
36,16,4,1,25.0,1,25.0,1,25.0,1,25.0,0,0.0,0,0.0,36016
36,19,34,8,23.53,7,20.59,7,20.59,2,5.88,4,11.76,6,17.65,36019
36,22,65,13,20.0,10,15.38,10,15.38,8,12.31,12,18.46,12,18.46,36022
36,23,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,36023
36,45,10,3,30.0,4,40.0,1,10.0,1,10.0,1,10.0,0,0.0,36045
36,47,28,7,25.0,7,25.0,3,10.71,3,10.71,4,14.29,4,14.29,36047
36,51,25,8,32.0,10,40.0,4,16.0,2,8.0,1,4.0,0,0.0,36051
37,1,6,1,16.67,2,33.33,2,33.33,1,16.67,0,0.0,0,0.0,37001
37,11,8,3,37.5,4,50.0,0,0.0,0,0.0,0,0.0,1,12.5,37011
37,19,10,3,30.0,3,30.0,2,20.0,1,10.0,0,0.0,1,10.0,37019
37,39,26,3,11.54,5,19.23,8,30.77,4,15.38,3,11.54,3,11.54,37039
38,1,70,19,27.14,19,27.14,14,20.0,7,10.0,7,10.0,4,5.71,38001
38,2,42,8,19.05,9,21.43,4,9.52,6,14.29,7,16.67,8,19.05,38002
38,4,50,18,36.0,15,30.0,8,16.0,3,6.0,3,6.0,3,6.0,38004
38,6,35,11,31.43,9,25.71,5,14.29,5,14.29,3,8.57,2,5.71,38006
38,24,34,8,23.53,9,26.47,6,17.65,7,20.59,2,5.88,2,5.88,38024
38,30,29,7,24.14,6,20.69,3,10.34,3,10.34,6,20.69,4,13.79,38030
38,31,40,11,27.5,11,27.5,7,17.5,4,10.0,2,5.0,5,12.5,38031
38,35,61,13,21.31,17,27.87,5,8.2,7,11.48,9,14.75,10,16.39,38035
38,37,44,11,25.0,10,22.73,9,20.45,6,13.64,5,11.36,3,6.82,38037
38,39,41,10,24.39,10,24.39,4,9.76,3,7.32,8,19.51,6,14.63,38039
38,41,79,25,31.65,27,34.18,12,15.19,8,10.13,4,5.06,3,3.8,38041
39,12,21,5,23.81,4,19.05,2,9.52,2,9.52,4,19.05,4,19.05,39012
39,13,32,5,15.63,2,6.25,6,18.75,5,15.63,7,21.88,7,21.88,39013
39,21,5,2,40.0,1,20.0,1,20.0,1,20.0,0,0.0,0,0.0,39021
39,22,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,39022
39,23,7,3,42.86,3,42.86,1,14.29,0,0.0,0,0.0,0,0.0,39023
39,24,19,6,31.58,4,21.05,4,21.05,3,15.79,1,5.26,1,5.26,39024
39,28,72,20,27.78,17,23.61,14,19.44,10,13.89,5,6.94,6,8.33,39028
39,30,38,11,28.95,12,31.58,3,7.89,3,7.89,4,10.53,5,13.16,39030
39,31,30,10,33.33,7,23.33,3,10.0,2,6.67,4,13.33,4,13.33,39031
45,1,45,11,24.44,13,28.89,10,22.22,4,8.89,4,8.89,3,6.67,45001
45,16,52,18,34.62,17,32.69,6,11.54,5,9.62,3,5.77,3,5.77,45016
45,28,45,17,37.78,14,31.11,7,15.56,3,6.67,3,6.67,1,2.22,45028
