ward,precinct,total,Patricia R. Bellock (Romney),Patricia R. Bellock (Romney) Percent,John M. 'Jack' Dorgan (Romney),John M. 'Jack' Dorgan (Romney) Percent,Walter W. Dudycz (Romney),Walter W. Dudycz (Romney) Percent,Joseph Cesarone (Paul),Joseph Cesarone (Paul) Percent,Hugh A. Gallagly Jr. (Paul),Hugh A. Gallagly Jr. (Paul) Percent,Michael A. Corrigan (Gingrich),Michael A. Corrigan (Gingrich) Percent,Laura Kotelman (Gingrich),Laura Kotelman (Gingrich) Percent,Richard Allen Pishotta (Gingrich),Richard Allen Pishotta (Gingrich) Percent,precinct_id
41,9,180,41,22.78,36,20.0,38,21.11,13,7.22,12,6.67,12,6.67,10,5.56,6,3.33,41009
41,10,138,30,21.74,27,19.57,31,22.46,9,6.52,11,7.97,9,6.52,6,4.35,7,5.07,41010
41,12,117,28,23.93,28,23.93,33,28.21,6,5.13,3,2.56,7,5.98,5,4.27,5,4.27,41012
41,13,60,13,21.67,10,16.67,16,26.67,5,8.33,6,10.0,5,8.33,2,3.33,1,1.67,41013
41,14,206,42,20.39,34,16.5,48,23.3,18,8.74,16,7.77,14,6.8,11,5.34,10,4.85,41014
41,16,208,32,15.38,33,15.87,40,19.23,13,6.25,21,10.1,22,10.58,17,8.17,19,9.13,41016
41,17,192,41,21.35,37,19.27,42,21.88,13,6.77,16,8.33,14,7.29,10,5.21,7,3.65,41017
41,19,186,44,23.66,45,24.19,45,24.19,6,3.23,7,3.76,12,6.45,10,5.38,9,4.84,41019
41,21,197,40,20.3,38,19.29,42,21.32,11,5.58,16,8.12,17,8.63,11,5.58,10,5.08,41021
41,22,158,24,15.19,26,16.46,38,24.05,10,6.33,13,8.23,14,8.86,12,7.59,12,7.59,41022
41,23,147,31,21.09,24,16.33,30,20.41,16,10.88,13,8.84,13,8.84,5,3.4,5,3.4,41023
41,24,199,42,21.11,35,17.59,51,25.63,15,7.54,10,5.03,17,8.54,10,5.03,10,5.03,41024
41,26,98,17,17.35,14,14.29,21,21.43,9,9.18,6,6.12,12,12.24,7,7.14,4,4.08,41026
41,27,61,13,21.31,9,14.75,16,26.23,6,9.84,5,8.2,3,4.92,2,3.28,2,3.28,41027
41,30,162,34,20.99,32,19.75,43,26.54,10,6.17,9,5.56,12,7.41,9,5.56,7,4.32,41030
41,33,136,33,24.26,24,17.65,34,25.0,11,8.09,9,6.62,8,5.88,7,5.15,2,1.47,41033
41,35,231,44,19.05,42,18.18,43,18.61,15,6.49,20,8.66,21,9.09,19,8.23,14,6.06,41035
41,38,196,38,19.39,36,18.37,51,26.02,10,5.1,9,4.59,18,9.18,14,7.14,12,6.12,41038
41,39,128,29,22.66,21,16.41,28,21.88,6,4.69,4,3.13,15,11.72,12,9.38,9,7.03,41039
41,44,209,48,22.97,41,19.62,44,21.05,12,5.74,12,5.74,17,8.13,15,7.18,8,3.83,41044
41,46,146,32,21.92,26,17.81,34,23.29,10,6.85,11,7.53,10,6.85,10,6.85,5,3.42,41046
41,47,167,43,25.75,41,24.55,47,28.14,8,4.79,6,3.59,8,4.79,5,2.99,3,1.8,41047
41,50,190,45,23.68,35,18.42,43,22.63,16,8.42,17,8.95,7,3.68,7,3.68,5,2.63,41050
41,51,126,25,19.84,19,15.08,27,21.43,10,7.94,11,8.73,8,6.35,8,6.35,8,6.35,41051
41,52,272,46,16.91,38,13.97,47,17.28,24,8.82,26,9.56,25,9.19,26,9.56,19,6.99,41052
41,53,148,34,22.97,29,19.59,33,22.3,11,7.43,8,5.41,11,7.43,8,5.41,7,4.73,41053
41,54,140,32,22.86,27,19.29,30,21.43,13,9.29,11,7.86,7,5.0,5,3.57,4,2.86,41054
41,55,24,5,20.83,5,20.83,3,12.5,2,8.33,2,8.33,3,12.5,1,4.17,1,4.17,41055
41,57,115,23,20.0,20,17.39,28,24.35,7,6.09,6,5.22,9,7.83,8,6.96,8,6.96,41057
42,8,187,46,24.6,41,21.93,41,21.93,8,4.28,7,3.74,12,6.42,14,7.49,10,5.35,42008
42,10,253,76,30.04,64,25.3,70,27.67,8,3.16,8,3.16,8,3.16,7,2.77,5,1.98,42010
42,16,92,27,29.35,24,26.09,27,29.35,4,4.35,3,3.26,3,3.26,0,0.0,0,0.0,42016
42,28,153,41,26.8,33,21.57,37,24.18,5,3.27,4,2.61,9,5.88,11,7.19,8,5.23,42028
42,33,187,52,27.81,43,22.99,51,27.27,4,2.14,7,3.74,9,4.81,8,4.28,9,4.81,42033
42,34,120,31,25.83,23,19.17,28,23.33,8,6.67,8,6.67,6,5.0,7,5.83,3,2.5,42034
43,2,160,45,28.13,43,26.88,43,26.88,6,3.75,6,3.75,4,2.5,5,3.13,3,1.88,43002
43,3,125,38,30.4,34,27.2,36,28.8,6,4.8,4,3.2,1,0.8,1,0.8,1,0.8,43003
43,4,184,46,25.0,44,23.91,37,20.11,13,7.07,15,8.15,10,5.43,4,2.17,3,1.63,43004
43,5,128,35,27.34,29,22.66,29,22.66,12,9.38,10,7.81,1,0.78,2,1.56,1,0.78,43005
43,6,177,46,25.99,42,23.73,39,22.03,15,8.47,13,7.34,4,2.26,3,1.69,3,1.69,43006
43,7,134,29,21.64,29,21.64,26,19.4,7,5.22,6,4.48,11,8.21,10,7.46,8,5.97,43007
43,8,131,32,24.43,30,22.9,29,22.14,6,4.58,6,4.58,7,5.34,8,6.11,6,4.58,43008
43,9,104,33,31.73,27,25.96,25,24.04,5,4.81,4,3.85,2,1.92,3,2.88,1,0.96,43009
43,10,111,30,27.03,28,25.23,28,25.23,4,3.6,4,3.6,5,4.5,5,4.5,4,3.6,43010
43,11,122,30,24.59,29,23.77,26,21.31,6,4.92,8,6.56,8,6.56,6,4.92,4,3.28,43011
43,12,167,48,28.74,40,23.95,45,26.95,12,7.19,8,4.79,2,1.2,3,1.8,2,1.2,43012
43,13,99,24,24.24,22,22.22,21,21.21,7,7.07,6,6.06,3,3.03,4,4.04,3,3.03,43013
43,14,124,31,25.0,26,20.97,29,23.39,7,5.65,7,5.65,7,5.65,5,4.03,5,4.03,43014
43,15,122,31,25.41,26,21.31,32,26.23,8,6.56,6,4.92,6,4.92,4,3.28,4,3.28,43015
43,16,149,46,30.87,40,26.85,42,28.19,8,5.37,4,2.68,3,2.01,2,1.34,2,1.34,43016
43,17,232,73,31.47,63,27.16,66,28.45,8,3.45,7,3.02,4,1.72,1,0.43,1,0.43,43017
43,18,203,62,30.54,47,23.15,57,28.08,4,1.97,10,4.93,9,4.43,5,2.46,5,2.46,43018
43,20,151,35,23.18,31,20.53,32,21.19,9,5.96,10,6.62,10,6.62,8,5.3,7,4.64,43020
43,21,133,32,24.06,27,20.3,31,23.31,7,5.26,8,6.02,7,5.26,7,5.26,6,4.51,43021
43,22,118,27,22.88,26,22.03,25,21.19,6,5.08,7,5.93,7,5.93,6,5.08,6,5.08,43022
43,23,85,23,27.06,20,23.53,19,22.35,6,7.06,4,4.71,4,4.71,3,3.53,3,3.53,43023
43,24,180,50,27.78,44,24.44,47,26.11,8,4.44,7,3.89,10,5.56,5,2.78,3,1.67,43024
43,26,125,38,30.4,35,28.0,30,24.0,3,2.4,3,2.4,5,4.0,4,3.2,2,1.6,43026
43,27,121,35,28.93,27,22.31,32,26.45,4,3.31,4,3.31,5,4.13,7,5.79,4,3.31,43027
43,28,230,61,26.52,58,25.22,56,24.35,7,3.04,8,3.48,13,5.65,10,4.35,8,3.48,43028
43,29,78,21,26.92,19,24.36,20,25.64,7,8.97,2,2.56,2,2.56,1,1.28,2,2.56,43029
43,31,88,28,31.82,24,27.27,25,28.41,2,2.27,2,2.27,2,2.27,2,2.27,1,1.14,43031
43,32,138,34,24.64,28,20.29,30,21.74,8,5.8,8,5.8,9,6.52,7,5.07,5,3.62,43032
43,33,105,24,22.86,21,20.0,23,21.9,6,5.71,7,6.67,7,6.67,6,5.71,4,3.81,43033
43,34,34,10,29.41,6,17.65,8,23.53,2,5.88,2,5.88,1,2.94,3,8.82,1,2.94,43034
43,36,133,35,26.32,25,18.8,31,23.31,7,5.26,7,5.26,9,6.77,6,4.51,6,4.51,43036
43,38,78,18,23.08,18,23.08,18,23.08,4,5.13,3,3.85,4,5.13,6,7.69,4,5.13,43038
43,40,140,31,22.14,30,21.43,32,22.86,12,8.57,12,8.57,4,2.86,4,2.86,2,1.43,43040
43,41,68,22,32.35,18,26.47,17,25.0,4,5.88,3,4.41,1,1.47,0,0.0,0,0.0,43041
43,42,169,48,28.4,42,24.85,45,26.63,5,2.96,5,2.96,8,4.73,6,3.55,6,3.55,43042
43,43,93,27,29.03,23,24.73,22,23.66,1,1.08,2,2.15,7,7.53,6,6.45,4,4.3,43043
43,44,159,46,28.93,39,24.53,44,27.67,6,3.77,8,5.03,4,2.52,4,2.52,2,1.26,43044
43,45,141,36,25.53,26,18.44,31,21.99,14,9.93,11,7.8,4,2.84,5,3.55,2,1.42,43045
43,46,228,75,32.89,69,30.26,70,30.7,4,1.75,5,2.19,1,0.44,0,0.0,0,0.0,43046
43,47,182,50,27.47,49,26.92,46,25.27,11,6.04,9,4.95,3,1.65,3,1.65,2,1.1,43047
43,48,69,18,26.09,16,23.19,17,24.64,2,2.9,1,1.45,5,7.25,5,7.25,3,4.35,43048
43,49,129,28,21.71,28,21.71,26,20.16,9,6.98,10,7.75,7,5.43,8,6.2,6,4.65,43049
43,50,68,12,17.65,10,14.71,12,17.65,9,13.24,7,10.29,4,5.88,4,5.88,2,2.94,43050
44,1,138,29,21.01,25,18.12,30,21.74,10,7.25,10,7.25,8,5.8,9,6.52,7,5.07,44001
44,2,81,19,23.46,15,18.52,19,23.46,7,8.64,7,8.64,3,3.7,2,2.47,1,1.23,44002
44,5,88,19,21.59,17,19.32,17,19.32,6,6.82,5,5.68,6,6.82,5,5.68,6,6.82,44005
44,6,69,20,28.99,16,23.19,17,24.64,5,7.25,4,5.8,1,1.45,1,1.45,0,0.0,44006
44,8,123,31,25.2,27,21.95,33,26.83,8,6.5,9,7.32,2,1.63,2,1.63,3,2.44,44008
44,9,93,25,26.88,23,24.73,25,26.88,3,3.23,3,3.23,4,4.3,5,5.38,3,3.23,44009
44,10,79,22,27.85,21,26.58,21,26.58,4,5.06,3,3.8,2,2.53,2,2.53,1,1.27,44010
44,11,107,30,28.04,25,23.36,26,24.3,9,8.41,7,6.54,1,0.93,1,0.93,0,0.0,44011
44,12,144,37,25.69,28,19.44,32,22.22,8,5.56,10,6.94,7,4.86,8,5.56,4,2.78,44012
44,13,64,18,28.13,14,21.88,16,25.0,4,6.25,4,6.25,2,3.13,1,1.56,1,1.56,44013
44,14,96,17,17.71,18,18.75,16,16.67,9,9.38,9,9.38,6,6.25,6,6.25,4,4.17,44014
44,15,128,27,21.09,25,19.53,29,22.66,8,6.25,8,6.25,7,5.47,10,7.81,7,5.47,44015
44,16,116,30,25.86,27,23.28,31,26.72,6,5.17,8,6.9,4,3.45,2,1.72,2,1.72,44016
44,17,101,27,26.73,28,27.72,28,27.72,2,1.98,0,0.0,5,4.95,6,5.94,5,4.95,44017
44,18,67,19,28.36,16,23.88,15,22.39,5,7.46,4,5.97,2,2.99,1,1.49,1,1.49,44018
44,19,143,33,23.08,27,18.88,28,19.58,12,8.39,12,8.39,8,5.59,6,4.2,6,4.2,44019
44,20,82,17,20.73,18,21.95,18,21.95,3,3.66,3,3.66,6,7.32,6,7.32,6,7.32,44020
44,21,105,21,20.0,18,17.14,17,16.19,12,11.43,11,10.48,5,4.76,6,5.71,5,4.76,44021
44,22,154,38,24.68,25,16.23,31,20.13,10,6.49,8,5.19,14,9.09,10,6.49,8,5.19,44022
44,23,66,18,27.27,16,24.24,16,24.24,3,4.55,6,9.09,3,4.55,1,1.52,0,0.0,44023
44,25,161,39,24.22,35,21.74,33,20.5,12,7.45,11,6.83,9,5.59,8,4.97,4,2.48,44025
44,26,73,11,15.07,13,17.81,13,17.81,8,10.96,8,10.96,5,6.85,5,6.85,1,1.37,44026
44,27,116,29,25.0,24,20.69,25,21.55,9,7.76,7,6.03,5,4.31,4,3.45,3,2.59,44027
44,28,105,26,24.76,26,24.76,27,25.71,5,4.76,5,4.76,3,2.86,4,3.81,2,1.9,44028
44,29,106,27,25.47,23,21.7,24,22.64,8,7.55,7,6.6,5,4.72,3,2.83,2,1.89,44029
44,30,33,9,27.27,6,18.18,7,21.21,2,6.06,3,9.09,1,3.03,1,3.03,1,3.03,44030
44,31,118,23,19.49,23,19.49,22,18.64,14,11.86,14,11.86,4,3.39,3,2.54,3,2.54,44031
44,32,85,17,20.0,15,17.65,16,18.82,10,11.76,9,10.59,3,3.53,4,4.71,2,2.35,44032
44,33,67,11,16.42,9,13.43,9,13.43,6,8.96,8,11.94,7,10.45,6,8.96,5,7.46,44033
44,34,75,17,22.67,11,14.67,10,13.33,2,2.67,3,4.0,12,16.0,9,12.0,9,12.0,44034
44,36,113,24,21.24,22,19.47,22,19.47,12,10.62,11,9.73,4,3.54,4,3.54,4,3.54,44036
44,37,123,26,21.14,22,17.89,24,19.51,13,10.57,11,8.94,7,5.69,6,4.88,2,1.63,44037
44,38,99,26,26.26,24,24.24,23,23.23,6,6.06,6,6.06,4,4.04,3,3.03,1,1.01,44038
44,39,178,40,22.47,36,20.22,37,20.79,13,7.3,14,7.87,9,5.06,8,4.49,7,3.93,44039
44,40,148,37,25.0,30,20.27,30,20.27,13,8.78,11,7.43,6,4.05,7,4.73,4,2.7,44040
44,41,89,18,20.22,16,17.98,21,23.6,9,10.11,8,8.99,5,5.62,3,3.37,3,3.37,44041
44,42,113,25,22.12,22,19.47,25,22.12,9,7.96,9,7.96,5,4.42,5,4.42,3,2.65,44042
44,43,114,25,21.93,23,20.18,24,21.05,7,6.14,7,6.14,6,5.26,9,7.89,6,5.26,44043
44,44,69,17,24.64,14,20.29,15,21.74,4,5.8,5,7.25,2,2.9,4,5.8,3,4.35,44044
44,45,77,13,16.88,11,14.29,12,15.58,9,11.69,9,11.69,5,6.49,5,6.49,4,5.19,44045
44,46,76,18,23.68,17,22.37,19,25.0,9,11.84,5,6.58,0,0.0,3,3.95,0,0.0,44046
44,47,169,40,23.67,42,24.85,39,23.08,11,6.51,11,6.51,6,3.55,5,2.96,4,2.37,44047
45,2,135,24,17.78,22,16.3,27,20.0,16,11.85,15,11.11,8,5.93,6,4.44,5,3.7,45002
45,3,80,14,17.5,12,15.0,14,17.5,13,16.25,12,15.0,4,5.0,1,1.25,1,1.25,45003
45,4,159,34,21.38,34,21.38,33,20.75,12,7.55,14,8.81,9,5.66,8,5.03,4,2.52,45004
45,5,176,44,25.0,37,21.02,43,24.43,10,5.68,9,5.11,9,5.11,8,4.55,4,2.27,45005
45,6,105,24,22.86,19,18.1,23,21.9,7,6.67,5,4.76,9,8.57,7,6.67,5,4.76,45006
45,7,95,12,12.63,13,13.68,15,15.79,10,10.53,9,9.47,11,11.58,8,8.42,7,7.37,45007
45,8,81,14,17.28,10,12.35,13,16.05,5,6.17,6,7.41,9,11.11,9,11.11,9,11.11,45008
45,9,102,20,19.61,17,16.67,20,19.61,8,7.84,7,6.86,9,8.82,8,7.84,6,5.88,45009
45,10,130,25,19.23,20,15.38,24,18.46,15,11.54,15,11.54,9,6.92,4,3.08,4,3.08,45010
45,11,99,19,19.19,16,16.16,19,19.19,10,10.1,9,9.09,10,10.1,6,6.06,3,3.03,45011
45,12,109,25,22.94,16,14.68,24,22.02,6,5.5,8,7.34,11,10.09,8,7.34,5,4.59,45012
45,13,113,21,18.58,20,17.7,26,23.01,10,8.85,11,9.73,6,5.31,5,4.42,4,3.54,45013
45,14,117,22,18.8,18,15.38,21,17.95,15,12.82,13,11.11,6,5.13,6,5.13,4,3.42,45014
45,15,90,19,21.11,11,12.22,17,18.89,8,8.89,8,8.89,9,10.0,6,6.67,5,5.56,45015
45,17,82,15,18.29,13,15.85,17,20.73,9,10.98,5,6.1,7,8.54,6,7.32,5,6.1,45017
45,18,46,7,15.22,5,10.87,6,13.04,7,15.22,8,17.39,2,4.35,2,4.35,1,2.17,45018
45,19,139,27,19.42,22,15.83,24,17.27,13,9.35,11,7.91,11,7.91,10,7.19,10,7.19,45019
45,20,88,12,13.64,9,10.23,16,18.18,6,6.82,8,9.09,15,17.05,10,11.36,6,6.82,45020
45,21,109,23,21.1,19,17.43,24,22.02,9,8.26,9,8.26,8,7.34,3,2.75,6,5.5,45021
45,22,103,22,21.36,18,17.48,26,25.24,7,6.8,6,5.83,8,7.77,6,5.83,4,3.88,45022
45,23,102,17,16.67,18,17.65,20,19.61,5,4.9,4,3.92,14,13.73,9,8.82,8,7.84,45023
45,24,179,34,18.99,24,13.41,29,16.2,13,7.26,17,9.5,20,11.17,16,8.94,12,6.7,45024
45,25,77,11,14.29,7,9.09,8,10.39,7,9.09,9,11.69,10,12.99,9,11.69,9,11.69,45025
45,26,62,13,20.97,6,9.68,10,16.13,8,12.9,6,9.68,4,6.45,4,6.45,4,6.45,45026
45,27,83,16,19.28,14,16.87,18,21.69,4,4.82,5,6.02,9,10.84,7,8.43,7,8.43,45027
45,29,86,14,16.28,10,11.63,19,22.09,5,5.81,4,4.65,9,10.47,10,11.63,7,8.14,45029
45,30,97,20,20.62,17,17.53,21,21.65,9,9.28,6,6.19,7,7.22,5,5.15,5,5.15,45030
45,31,68,13,19.12,11,16.18,10,14.71,3,4.41,5,7.35,11,16.18,8,11.76,6,8.82,45031
45,32,65,16,24.62,12,18.46,16,24.62,0,0.0,2,3.08,7,10.77,5,7.69,6,9.23,45032
45,33,102,20,19.61,18,17.65,19,18.63,6,5.88,6,5.88,9,8.82,11,10.78,8,7.84,45033
45,34,72,14,19.44,11,15.28,16,22.22,8,11.11,7,9.72,2,2.78,3,4.17,3,4.17,45034
45,35,100,13,13.0,11,11.0,10,10.0,10,10.0,10,10.0,15,15.0,14,14.0,10,10.0,45035
45,36,145,20,13.79,18,12.41,18,12.41,23,15.86,22,15.17,9,6.21,8,5.52,6,4.14,45036
45,37,85,13,15.29,9,10.59,15,17.65,9,10.59,9,10.59,6,7.06,6,7.06,9,10.59,45037
45,38,82,15,18.29,14,17.07,17,20.73,9,10.98,8,9.76,4,4.88,3,3.66,3,3.66,45038
45,39,104,14,13.46,13,12.5,14,13.46,19,18.27,14,13.46,7,6.73,4,3.85,4,3.85,45039
45,40,56,13,23.21,12,21.43,10,17.86,4,7.14,3,5.36,3,5.36,5,8.93,2,3.57,45040
45,41,34,5,14.71,4,11.76,4,11.76,9,26.47,4,11.76,2,5.88,2,5.88,1,2.94,45041
45,42,97,19,19.59,13,13.4,21,21.65,10,10.31,8,8.25,9,9.28,8,8.25,4,4.12,45042
45,43,77,12,15.58,9,11.69,15,19.48,7,9.09,9,11.69,7,9.09,6,7.79,4,5.19,45043
45,44,133,23,17.29,22,16.54,22,16.54,15,11.28,10,7.52,13,9.77,9,6.77,12,9.02,45044
45,45,90,18,20.0,13,14.44,23,25.56,9,10.0,6,6.67,6,6.67,4,4.44,4,4.44,45045
45,46,77,14,18.18,12,15.58,13,16.88,8,10.39,6,7.79,6,7.79,5,6.49,7,9.09,45046
45,47,74,11,14.86,10,13.51,18,24.32,9,12.16,8,10.81,4,5.41,3,4.05,1,1.35,45047
45,48,76,14,18.42,12,15.79,13,17.11,5,6.58,7,9.21,7,9.21,7,9.21,4,5.26,45048
45,49,102,17,16.67,11,10.78,14,13.73,15,14.71,12,11.76,8,7.84,8,7.84,6,5.88,45049
45,50,60,7,11.67,6,10.0,7,11.67,10,16.67,9,15.0,5,8.33,3,5.0,4,6.67,45050
45,51,147,25,17.01,18,12.24,30,20.41,13,8.84,13,8.84,15,10.2,9,6.12,9,6.12,45051
45,52,93,12,12.9,11,11.83,15,16.13,15,16.13,14,15.05,4,4.3,6,6.45,3,3.23,45052
45,53,82,14,17.07,6,7.32,15,18.29,14,17.07,13,15.85,3,3.66,3,3.66,3,3.66,45053
46,3,60,11,18.33,9,15.0,10,16.67,7,11.67,6,10.0,5,8.33,4,6.67,3,5.0,46003
46,5,61,7,11.48,9,14.75,7,11.48,9,14.75,8,13.11,5,8.2,5,8.2,2,3.28,46005
46,13,97,22,22.68,19,19.59,20,20.62,7,7.22,9,9.28,4,4.12,5,5.15,1,1.03,46013
46,17,193,54,27.98,40,20.73,42,21.76,13,6.74,11,5.7,11,5.7,7,3.63,5,2.59,46017
46,18,192,52,27.08,48,25.0,51,26.56,7,3.65,7,3.65,7,3.65,6,3.13,4,2.08,46018
46,24,73,13,17.81,12,16.44,12,16.44,10,13.7,9,12.33,4,5.48,1,1.37,2,2.74,46024
46,29,96,19,19.79,14,14.58,17,17.71,13,13.54,11,11.46,6,6.25,4,4.17,3,3.13,46029
46,31,90,21,23.33,16,17.78,14,15.56,8,8.89,9,10.0,5,5.56,5,5.56,3,3.33,46031
46,36,104,24,23.08,21,20.19,19,18.27,8,7.69,8,7.69,7,6.73,6,5.77,3,2.88,46036
46,43,121,28,23.14,25,20.66,26,21.49,10,8.26,8,6.61,4,3.31,5,4.13,5,4.13,46043
46,44,50,13,26.0,9,18.0,9,18.0,4,8.0,1,2.0,5,10.0,4,8.0,3,6.0,46044
47,1,71,14,19.72,9,12.68,11,15.49,5,7.04,4,5.63,8,11.27,8,11.27,8,11.27,47001
47,2,80,20,25.0,18,22.5,23,28.75,4,5.0,5,6.25,2,2.5,1,1.25,1,1.25,47002
47,3,120,33,27.5,26,21.67,27,22.5,4,3.33,7,5.83,9,7.5,5,4.17,4,3.33,47003
47,4,73,18,24.66,17,23.29,18,24.66,4,5.48,4,5.48,3,4.11,4,5.48,2,2.74,47004
47,5,110,27,24.55,25,22.73,23,20.91,11,10.0,7,6.36,3,2.73,2,1.82,2,1.82,47005
47,6,111,25,22.52,21,18.92,24,21.62,5,4.5,4,3.6,11,9.91,8,7.21,7,6.31,47006
47,7,60,15,25.0,10,16.67,13,21.67,5,8.33,5,8.33,4,6.67,3,5.0,3,5.0,47007
47,8,97,18,18.56,16,16.49,18,18.56,9,9.28,8,8.25,8,8.25,6,6.19,6,6.19,47008
47,9,59,14,23.73,10,16.95,13,22.03,4,6.78,5,8.47,4,6.78,4,6.78,0,0.0,47009
47,10,42,11,26.19,9,21.43,9,21.43,2,4.76,2,4.76,4,9.52,1,2.38,1,2.38,47010
47,11,80,16,20.0,16,20.0,17,21.25,5,6.25,5,6.25,4,5.0,5,6.25,5,6.25,47011
47,12,89,20,22.47,21,23.6,20,22.47,7,7.87,5,5.62,4,4.49,4,4.49,2,2.25,47012
47,13,49,13,26.53,7,14.29,8,16.33,6,12.24,6,12.24,4,8.16,0,0.0,0,0.0,47013
47,14,51,11,21.57,9,17.65,9,17.65,5,9.8,4,7.84,3,5.88,3,5.88,2,3.92,47014
47,15,68,7,10.29,6,8.82,7,10.29,9,13.24,10,14.71,7,10.29,8,11.76,5,7.35,47015
47,16,71,15,21.13,15,21.13,15,21.13,5,7.04,5,7.04,5,7.04,5,7.04,3,4.23,47016
47,17,69,17,24.64,17,24.64,16,23.19,4,5.8,5,7.25,1,1.45,2,2.9,2,2.9,47017
47,18,97,20,20.62,17,17.53,18,18.56,9,9.28,9,9.28,6,6.19,5,5.15,4,4.12,47018
47,19,48,8,16.67,7,14.58,8,16.67,2,4.17,3,6.25,6,12.5,6,12.5,6,12.5,47019
47,20,72,19,26.39,18,25.0,18,25.0,1,1.39,4,5.56,3,4.17,4,5.56,4,5.56,47020
47,21,91,21,23.08,20,21.98,22,24.18,6,6.59,6,6.59,4,4.4,3,3.3,3,3.3,47021
47,22,74,16,21.62,13,17.57,17,22.97,6,8.11,6,8.11,3,4.05,2,2.7,3,4.05,47022
47,23,42,9,21.43,6,14.29,9,21.43,5,11.9,4,9.52,2,4.76,2,4.76,1,2.38,47023
47,24,104,24,23.08,24,23.08,22,21.15,10,9.62,9,8.65,3,2.88,3,2.88,1,0.96,47024
47,25,96,26,27.08,21,21.88,25,26.04,6,6.25,6,6.25,3,3.13,2,2.08,3,3.13,47025
47,26,111,19,17.12,17,15.32,19,17.12,14,12.61,14,12.61,6,5.41,5,4.5,3,2.7,47026
47,27,83,15,18.07,12,14.46,18,21.69,7,8.43,6,7.23,7,8.43,6,7.23,6,7.23,47027
47,28,84,18,21.43,16,19.05,16,19.05,8,9.52,7,8.33,4,4.76,3,3.57,4,4.76,47028
47,29,127,28,22.05,22,17.32,24,18.9,8,6.3,5,3.94,16,12.6,12,9.45,7,5.51,47029
47,30,82,14,17.07,12,14.63,14,17.07,8,9.76,9,10.98,6,7.32,7,8.54,4,4.88,47030
47,31,43,17,39.53,11,25.58,13,30.23,1,2.33,0,0.0,1,2.33,0,0.0,0,0.0,47031
47,32,75,16,21.33,14,18.67,14,18.67,5,6.67,3,4.0,7,9.33,6,8.0,6,8.0,47032
47,33,62,13,20.97,10,16.13,11,17.74,6,9.68,8,12.9,3,4.84,3,4.84,2,3.23,47033
47,34,98,19,19.39,16,16.33,19,19.39,9,9.18,11,11.22,6,6.12,3,3.06,6,6.12,47034
47,35,94,21,22.34,17,18.09,17,18.09,12,12.77,11,11.7,2,2.13,2,2.13,1,1.06,47035
47,36,90,13,14.44,10,11.11,12,13.33,10,11.11,10,11.11,10,11.11,8,8.89,7,7.78,47036
47,37,66,15,22.73,17,25.76,14,21.21,5,7.58,5,7.58,2,3.03,2,3.03,1,1.52,47037
47,38,94,18,19.15,16,17.02,18,19.15,8,8.51,7,7.45,7,7.45,6,6.38,6,6.38,47038
47,39,67,14,20.9,12,17.91,15,22.39,7,10.45,6,8.96,2,2.99,4,5.97,2,2.99,47039
47,40,66,14,21.21,12,18.18,10,15.15,7,10.61,9,13.64,3,4.55,2,3.03,2,3.03,47040
47,41,94,22,23.4,18,19.15,20,21.28,5,5.32,3,3.19,8,8.51,8,8.51,7,7.45,47041
47,42,53,12,22.64,6,11.32,9,16.98,6,11.32,6,11.32,3,5.66,3,5.66,3,5.66,47042
47,43,112,25,22.32,27,24.11,23,20.54,10,8.93,6,5.36,7,6.25,4,3.57,2,1.79,47043
47,44,70,14,20.0,9,12.86,13,18.57,5,7.14,7,10.0,9,12.86,4,5.71,4,5.71,47044
47,45,66,9,13.64,8,12.12,9,13.64,8,12.12,8,12.12,7,10.61,6,9.09,6,9.09,47045
47,46,88,19,21.59,19,21.59,18,20.45,8,9.09,7,7.95,5,5.68,3,3.41,2,2.27,47046
47,47,66,14,21.21,12,18.18,12,18.18,6,9.09,7,10.61,3,4.55,4,6.06,1,1.52,47047
47,48,3,0,0.0,0,0.0,0,0.0,1,33.33,0,0.0,1,33.33,0,0.0,0,0.0,47048
47,49,34,8,23.53,6,17.65,7,20.59,4,11.76,3,8.82,1,2.94,1,2.94,1,2.94,47049
47,50,123,30,24.39,26,21.14,29,23.58,10,8.13,8,6.5,4,3.25,6,4.88,3,2.44,47050
50,44,99,30,30.3,24,24.24,28,28.28,2,2.02,1,1.01,4,4.04,3,3.03,2,2.02,50044
50,45,62,18,29.03,13,20.97,17,27.42,2,3.23,1,1.61,3,4.84,4,6.45,2,3.23,50045
