ward,precinct,total,Tim Bukowski (Romney),Tim Bukowski (Romney) Percent,Isaac Hayes (Romney),Isaac Hayes (Romney) Percent,Miriam Shabo (Romney),Miriam Shabo (Romney) Percent,Melanie Alejandre (Paul),Melanie Alejandre (Paul) Percent,Michael Neuliep (Paul),Michael Neuliep (Paul) Percent,Michael Watson (Paul),Michael Watson (Paul) Percent,Todd E. Arseneau (Gingrich),Todd E. Arseneau (Gingrich) Percent,Michael Bossert (Gingrich),Michael Bossert (Gingrich) Percent,Kimberly A. Curlee (Gingrich),Kimberly A. Curlee (Gingrich) Percent,George L. Pearson (Santorum),George L. Pearson (Santorum) Percent,James Skutt (Santorum),James Skutt (Santorum) Percent,precinct_id
34,4,11,0,0.0,1,9.09,0,0.0,2,18.18,2,18.18,3,27.27,0,0.0,0,0.0,0,0.0,2,18.18,1,9.09,34004
34,18,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,34018
34,20,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,34020
34,22,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34022
34,23,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34023
34,24,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,34024
34,27,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,34027
34,28,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34028
34,30,7,0,0.0,0,0.0,0,0.0,1,14.29,1,14.29,1,14.29,1,14.29,0,0.0,0,0.0,2,28.57,1,14.29,34030
34,36,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34036
34,37,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34037
34,38,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34038
34,39,3,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34039
34,41,7,0,0.0,0,0.0,0,0.0,1,14.29,1,14.29,1,14.29,0,0.0,0,0.0,1,14.29,1,14.29,2,28.57,34041
34,52,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34052
34,53,3,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34053
