ward,precinct,total,Mabel Moy (Romney),Mabel Moy (Romney) Percent,Rita Zak (Romney),Rita Zak (Romney) Percent,Marty Phelan (Paul),Marty Phelan (Paul) Percent,Joanna Kappele (Paul),Joanna Kappele (Paul) Percent,Jeffrey Piposar (Gingrich),Jeffrey Piposar (Gingrich) Percent,Geoff Polk (Gingrich),Geoff Polk (Gingrich) Percent,precinct_id
27,26,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,27026
27,27,9,1,11.11,1,11.11,3,33.33,3,33.33,0,0.0,1,11.11,27027
27,28,36,13,36.11,13,36.11,2,5.56,2,5.56,3,8.33,3,8.33,27028
27,29,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27029
27,30,4,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,27030
27,31,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27031
27,33,13,5,38.46,4,30.77,2,15.38,0,0.0,1,7.69,1,7.69,27033
27,34,2,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,27034
27,35,59,16,27.12,15,25.42,8,13.56,10,16.95,6,10.17,4,6.78,27035
27,36,4,0,0.0,1,25.0,2,50.0,1,25.0,0,0.0,0,0.0,27036
27,37,15,5,33.33,3,20.0,3,20.0,3,20.0,0,0.0,1,6.67,27037
27,40,11,3,27.27,3,27.27,3,27.27,2,18.18,0,0.0,0,0.0,27040
27,43,54,15,27.78,18,33.33,4,7.41,4,7.41,6,11.11,7,12.96,27043
27,44,6,2,33.33,2,33.33,0,0.0,1,16.67,1,16.67,0,0.0,27044
27,45,30,11,36.67,10,33.33,5,16.67,4,13.33,0,0.0,0,0.0,27045
28,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28001
28,2,6,1,16.67,1,16.67,1,16.67,1,16.67,1,16.67,1,16.67,28002
28,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28003
28,4,3,0,0.0,1,33.33,0,0.0,0,0.0,1,33.33,1,33.33,28004
28,5,3,1,33.33,1,33.33,0,0.0,0,0.0,1,33.33,0,0.0,28005
28,6,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28006
28,7,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,28007
28,8,5,1,20.0,0,0.0,1,20.0,2,40.0,0,0.0,1,20.0,28008
28,9,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28009
28,10,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28010
28,11,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28011
28,12,2,0,0.0,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,28012
28,13,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28013
28,14,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,28014
28,15,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28015
28,16,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28016
28,17,2,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,28017
28,18,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28018
28,19,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28019
28,20,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,28020
28,21,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,28021
28,22,2,0,0.0,1,50.0,0,0.0,0,0.0,1,50.0,0,0.0,28022
28,23,2,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,28023
28,24,2,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,28024
28,25,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28025
28,26,4,0,0.0,0,0.0,0,0.0,0,0.0,2,50.0,2,50.0,28026
28,27,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28027
28,28,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28028
28,30,3,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,28030
28,31,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28031
28,32,5,1,20.0,0,0.0,2,40.0,2,40.0,0,0.0,0,0.0,28032
28,33,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28033
28,34,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,28034
28,35,3,0,0.0,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,28035
28,36,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28036
28,37,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,28037
28,38,2,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,28038
28,39,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28039
28,40,2,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,28040
28,41,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28041
28,42,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28042
28,43,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,28043
28,44,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28044
28,45,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28045
28,46,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28046
28,47,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,28047
28,48,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28048
28,49,3,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,28049
28,50,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,28050
28,51,4,0,0.0,1,25.0,0,0.0,0,0.0,2,50.0,1,25.0,28051
28,52,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28052
28,53,2,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,28053
28,54,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28054
28,55,8,1,12.5,1,12.5,0,0.0,1,12.5,3,37.5,2,25.0,28055
29,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29001
29,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29003
29,4,4,1,25.0,1,25.0,1,25.0,1,25.0,0,0.0,0,0.0,29004
29,5,3,0,0.0,0,0.0,0,0.0,0,0.0,2,66.67,1,33.33,29005
29,7,8,3,37.5,2,25.0,1,12.5,1,12.5,0,0.0,1,12.5,29007
29,8,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29008
29,10,16,5,31.25,5,31.25,1,6.25,3,18.75,1,6.25,1,6.25,29010
29,11,3,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,1,33.33,29011
29,12,6,0,0.0,1,16.67,1,16.67,2,33.33,1,16.67,1,16.67,29012
29,13,3,0,0.0,0,0.0,1,33.33,0,0.0,1,33.33,1,33.33,29013
29,14,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29014
29,15,4,0,0.0,0,0.0,1,25.0,1,25.0,1,25.0,1,25.0,29015
29,16,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29016
29,17,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29017
29,18,2,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,29018
29,19,4,0,0.0,1,25.0,1,25.0,1,25.0,0,0.0,1,25.0,29019
29,20,4,0,0.0,1,25.0,2,50.0,1,25.0,0,0.0,0,0.0,29020
29,21,5,1,20.0,0,0.0,2,40.0,0,0.0,0,0.0,2,40.0,29021
29,22,35,8,22.86,8,22.86,6,17.14,6,17.14,4,11.43,3,8.57,29022
29,23,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29023
29,24,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29024
29,25,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29025
29,26,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29026
29,27,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29027
29,28,3,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,0,0.0,29028
29,29,6,1,16.67,1,16.67,0,0.0,0,0.0,2,33.33,2,33.33,29029
29,31,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29031
29,33,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29033
29,34,11,4,36.36,3,27.27,0,0.0,0,0.0,2,18.18,2,18.18,29034
29,35,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,29035
29,36,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29036
29,37,4,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,29037
29,38,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29038
29,40,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,29040
29,41,6,2,33.33,0,0.0,1,16.67,1,16.67,1,16.67,1,16.67,29041
29,42,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29042
29,43,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29043
29,44,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29044
29,45,3,0,0.0,0,0.0,1,33.33,1,33.33,0,0.0,1,33.33,29045
29,46,2,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,29046
29,47,12,3,25.0,2,16.67,2,16.67,4,33.33,1,8.33,0,0.0,29047
29,48,6,1,16.67,1,16.67,0,0.0,0,0.0,2,33.33,2,33.33,29048
32,1,33,8,24.24,7,21.21,5,15.15,6,18.18,2,6.06,5,15.15,32001
32,6,55,9,16.36,16,29.09,8,14.55,9,16.36,6,10.91,7,12.73,32006
32,12,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,32012
32,17,13,1,7.69,4,30.77,3,23.08,4,30.77,0,0.0,1,7.69,32017
32,26,41,10,24.39,9,21.95,9,21.95,8,19.51,3,7.32,2,4.88,32026
36,16,35,10,28.57,9,25.71,6,17.14,3,8.57,4,11.43,3,8.57,36016
36,23,10,5,50.0,3,30.0,1,10.0,0,0.0,1,10.0,0,0.0,36023
36,24,16,6,37.5,6,37.5,0,0.0,1,6.25,2,12.5,1,6.25,36024
36,33,22,4,18.18,8,36.36,3,13.64,1,4.55,4,18.18,2,9.09,36033
36,44,38,12,31.58,12,31.58,5,13.16,3,7.89,4,10.53,2,5.26,36044
37,2,5,1,20.0,1,20.0,1,20.0,0,0.0,2,40.0,0,0.0,37002
37,3,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,37003
37,4,3,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,1,33.33,37004
37,5,1,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,37005
37,6,4,2,50.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,37006
37,7,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37007
37,8,5,2,40.0,2,40.0,0,0.0,1,20.0,0,0.0,0,0.0,37008
37,9,4,0,0.0,0,0.0,2,50.0,1,25.0,1,25.0,0,0.0,37009
37,10,2,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,37010
37,12,5,3,60.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,37012
37,13,8,3,37.5,3,37.5,0,0.0,0,0.0,1,12.5,1,12.5,37013
37,14,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37014
37,15,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37015
37,16,9,0,0.0,1,11.11,3,33.33,3,33.33,2,22.22,0,0.0,37016
37,17,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,37017
37,18,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37018
37,20,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37020
37,21,3,0,0.0,0,0.0,0,0.0,0,0.0,2,66.67,1,33.33,37021
37,22,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37022
37,23,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37023
37,24,4,1,25.0,1,25.0,1,25.0,1,25.0,0,0.0,0,0.0,37024
37,25,6,2,33.33,1,16.67,1,16.67,2,33.33,0,0.0,0,0.0,37025
37,26,2,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,37026
37,27,4,0,0.0,1,25.0,1,25.0,0,0.0,1,25.0,1,25.0,37027
37,28,11,0,0.0,0,0.0,4,36.36,5,45.45,1,9.09,1,9.09,37028
37,29,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37029
37,30,4,1,25.0,3,75.0,0,0.0,0,0.0,0,0.0,0,0.0,37030
37,31,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,37031
37,32,2,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,37032
37,33,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37033
37,34,4,1,25.0,0,0.0,2,50.0,1,25.0,0,0.0,0,0.0,37034
37,35,4,0,0.0,0,0.0,1,25.0,0,0.0,2,50.0,1,25.0,37035
37,36,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,37036
37,37,6,3,50.0,2,33.33,0,0.0,0,0.0,0,0.0,1,16.67,37037
37,38,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,37038
37,40,5,0,0.0,0,0.0,1,20.0,1,20.0,2,40.0,1,20.0,37040
37,41,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,37041
37,42,11,3,27.27,5,45.45,1,9.09,0,0.0,1,9.09,1,9.09,37042
37,43,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,37043
42,1,169,74,43.79,75,44.38,2,1.18,2,1.18,7,4.14,9,5.33,42001
42,2,53,16,30.19,18,33.96,8,15.09,7,13.21,2,3.77,2,3.77,42002
42,3,91,30,32.97,31,34.07,14,15.38,12,13.19,1,1.1,3,3.3,42003
42,4,134,58,43.28,61,45.52,5,3.73,6,4.48,3,2.24,1,0.75,42004
42,5,94,26,27.66,28,29.79,8,8.51,9,9.57,11,11.7,12,12.77,42005
42,6,169,54,31.95,62,36.69,9,5.33,8,4.73,18,10.65,18,10.65,42006
42,7,93,38,40.86,38,40.86,5,5.38,4,4.3,5,5.38,3,3.23,42007
42,9,220,70,31.82,76,34.55,24,10.91,27,12.27,10,4.55,13,5.91,42009
42,11,185,82,44.32,81,43.78,7,3.78,7,3.78,3,1.62,5,2.7,42011
42,12,95,36,37.89,37,38.95,4,4.21,6,6.32,6,6.32,6,6.32,42012
42,13,199,72,36.18,77,38.69,16,8.04,13,6.53,13,6.53,8,4.02,42013
42,14,96,36,37.5,36,37.5,8,8.33,7,7.29,5,5.21,4,4.17,42014
42,15,99,34,34.34,36,36.36,13,13.13,9,9.09,4,4.04,3,3.03,42015
42,16,30,14,46.67,12,40.0,0,0.0,0,0.0,2,6.67,2,6.67,42016
42,17,109,39,35.78,38,34.86,8,7.34,11,10.09,5,4.59,8,7.34,42017
42,18,138,42,30.43,43,31.16,17,12.32,15,10.87,10,7.25,11,7.97,42018
42,19,45,14,31.11,14,31.11,4,8.89,4,8.89,4,8.89,5,11.11,42019
42,20,44,13,29.55,15,34.09,5,11.36,9,20.45,1,2.27,1,2.27,42020
42,21,65,22,33.85,25,38.46,6,9.23,5,7.69,3,4.62,4,6.15,42021
42,22,128,49,38.28,49,38.28,6,4.69,6,4.69,9,7.03,9,7.03,42022
42,23,140,64,45.71,61,43.57,4,2.86,0,0.0,6,4.29,5,3.57,42023
42,24,143,55,38.46,56,39.16,4,2.8,5,3.5,12,8.39,11,7.69,42024
42,25,66,29,43.94,32,48.48,2,3.03,1,1.52,0,0.0,2,3.03,42025
42,26,66,19,28.79,20,30.3,11,16.67,10,15.15,3,4.55,3,4.55,42026
42,27,108,34,31.48,33,30.56,15,13.89,12,11.11,7,6.48,7,6.48,42027
42,29,154,71,46.1,72,46.75,2,1.3,2,1.3,4,2.6,3,1.95,42029
42,30,83,28,33.73,28,33.73,10,12.05,7,8.43,5,6.02,5,6.02,42030
42,31,135,50,37.04,57,42.22,10,7.41,9,6.67,4,2.96,5,3.7,42031
42,32,111,47,42.34,43,38.74,5,4.5,4,3.6,6,5.41,6,5.41,42032
42,35,123,54,43.9,52,42.28,4,3.25,2,1.63,7,5.69,4,3.25,42035
42,36,84,32,38.1,31,36.9,8,9.52,8,9.52,2,2.38,3,3.57,42036
42,37,131,55,41.98,57,43.51,5,3.82,5,3.82,5,3.82,4,3.05,42037
42,38,87,36,41.38,37,42.53,3,3.45,3,3.45,3,3.45,5,5.75,42038
42,39,78,35,44.87,35,44.87,1,1.28,1,1.28,3,3.85,3,3.85,42039
42,40,114,55,48.25,47,41.23,3,2.63,3,2.63,4,3.51,2,1.75,42040
42,41,182,67,36.81,79,43.41,12,6.59,14,7.69,5,2.75,5,2.75,42041
42,42,197,84,42.64,88,44.67,3,1.52,4,2.03,10,5.08,8,4.06,42042
42,43,148,62,41.89,59,39.86,8,5.41,6,4.05,7,4.73,6,4.05,42043
42,44,81,29,35.8,30,37.04,6,7.41,5,6.17,5,6.17,6,7.41,42044
42,45,145,56,38.62,56,38.62,6,4.14,11,7.59,8,5.52,8,5.52,42045
42,46,109,34,31.19,37,33.94,16,14.68,15,13.76,3,2.75,4,3.67,42046
42,47,78,28,35.9,28,35.9,2,2.56,2,2.56,10,12.82,8,10.26,42047
42,48,99,43,43.43,45,45.45,3,3.03,1,1.01,4,4.04,3,3.03,42048
42,49,38,14,36.84,14,36.84,2,5.26,2,5.26,2,5.26,4,10.53,42049
42,50,232,88,37.93,85,36.64,19,8.19,16,6.9,13,5.6,11,4.74,42050
42,51,205,73,35.61,73,35.61,12,5.85,12,5.85,17,8.29,18,8.78,42051
42,52,80,25,31.25,22,27.5,13,16.25,10,12.5,5,6.25,5,6.25,42052
42,53,124,45,36.29,46,37.1,5,4.03,10,8.06,10,8.06,8,6.45,42053
42,54,60,25,41.67,23,38.33,2,3.33,3,5.0,5,8.33,2,3.33,42054
42,55,167,60,35.93,60,35.93,14,8.38,11,6.59,11,6.59,11,6.59,42055
42,56,197,79,40.1,81,41.12,9,4.57,11,5.58,6,3.05,11,5.58,42056
42,57,29,10,34.48,10,34.48,4,13.79,5,17.24,0,0.0,0,0.0,42057
42,58,118,43,36.44,46,38.98,8,6.78,8,6.78,7,5.93,6,5.08,42058
42,59,137,52,37.96,47,34.31,10,7.3,8,5.84,11,8.03,9,6.57,42059
42,60,61,16,26.23,15,24.59,6,9.84,8,13.11,7,11.48,9,14.75,42060
42,61,56,16,28.57,18,32.14,9,16.07,8,14.29,2,3.57,3,5.36,42061
42,62,66,28,42.42,32,48.48,1,1.52,1,1.52,3,4.55,1,1.52,42062
42,63,101,41,40.59,44,43.56,5,4.95,4,3.96,4,3.96,3,2.97,42063
42,64,29,8,27.59,7,24.14,3,10.34,2,6.9,5,17.24,4,13.79,42064
42,65,150,65,43.33,60,40.0,8,5.33,7,4.67,6,4.0,4,2.67,42065
42,66,108,42,38.89,40,37.04,7,6.48,6,5.56,8,7.41,5,4.63,42066
42,67,196,74,37.76,82,41.84,14,7.14,15,7.65,6,3.06,5,2.55,42067
43,1,88,31,35.23,32,36.36,7,7.95,7,7.95,5,5.68,6,6.82,43001
43,15,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,43015
43,19,54,19,35.19,19,35.19,9,16.67,7,12.96,0,0.0,0,0.0,43019
43,25,72,27,37.5,25,34.72,8,11.11,4,5.56,4,5.56,4,5.56,43025
43,30,137,47,34.31,48,35.04,14,10.22,14,10.22,7,5.11,7,5.11,43030
43,35,191,81,42.41,83,43.46,7,3.66,6,3.14,8,4.19,6,3.14,43035
43,37,110,44,40.0,45,40.91,7,6.36,5,4.55,4,3.64,5,4.55,43037
43,39,185,85,45.95,82,44.32,2,1.08,3,1.62,6,3.24,7,3.78,43039
43,47,21,9,42.86,7,33.33,1,4.76,1,4.76,2,9.52,1,4.76,43047
43,51,67,23,34.33,21,31.34,4,5.97,4,5.97,8,11.94,7,10.45,43051
