ward,precinct,total,Dave Sullivan (Bush),Dave Sullivan (Bush) Percent,Rosemary Mulligan (Bush),Rosemary Mulligan (Bush) Percent,precinct_id
44,48,35,17,48.57,18,51.43,44048
44,49,80,40,50.0,40,50.0,44049
46,1,70,35,50.0,35,50.0,46001
46,2,9,5,55.56,4,44.44,46002
46,4,30,15,50.0,15,50.0,46004
46,6,8,4,50.0,4,50.0,46006
46,7,39,19,48.72,20,51.28,46007
46,8,20,11,55.0,9,45.0,46008
46,9,48,23,47.92,25,52.08,46009
46,10,16,8,50.0,8,50.0,46010
46,11,23,12,52.17,11,47.83,46011
46,12,28,15,53.57,13,46.43,46012
46,14,4,2,50.0,2,50.0,46014
46,15,45,21,46.67,24,53.33,46015
46,16,12,6,50.0,6,50.0,46016
46,19,12,5,41.67,7,58.33,46019
46,20,19,9,47.37,10,52.63,46020
46,21,7,3,42.86,4,57.14,46021
46,22,36,18,50.0,18,50.0,46022
46,23,15,9,60.0,6,40.0,46023
46,25,18,10,55.56,8,44.44,46025
46,26,17,9,52.94,8,47.06,46026
46,27,30,16,53.33,14,46.67,46027
46,28,37,17,45.95,20,54.05,46028
46,30,36,17,47.22,19,52.78,46030
46,32,32,16,50.0,16,50.0,46032
46,33,22,9,40.91,13,59.09,46033
46,34,21,10,47.62,11,52.38,46034
46,35,39,19,48.72,20,51.28,46035
46,38,16,8,50.0,8,50.0,46038
46,39,17,8,47.06,9,52.94,46039
46,40,13,6,46.15,7,53.85,46040
46,41,14,7,50.0,7,50.0,46041
46,42,31,17,54.84,14,45.16,46042
48,1,23,12,52.17,11,47.83,48001
48,2,31,15,48.39,16,51.61,48002
48,3,27,13,48.15,14,51.85,48003
48,4,56,28,50.0,28,50.0,48004
