ward,precinct,total,CHRISTOPHER A. BULLOCK,CHRISTOPHER A. BULLOCK Percent,"JOHN H. STROGER, JR.","JOHN H. STROGER, JR. Percent",precinct_id
8,54,313,11,3.51,302,96.49,08054
8,55,309,7,2.27,302,97.73,08055
8,56,385,11,2.86,374,97.14,08056
8,57,257,5,1.95,252,98.05,08057
8,58,319,6,1.88,313,98.12,08058
8,59,206,10,4.85,196,95.15,08059
8,60,246,12,4.88,234,95.12,08060
8,61,259,4,1.54,255,98.46,08061
8,62,273,9,3.3,264,96.7,08062
8,63,312,7,2.24,305,97.76,08063
8,64,281,4,1.42,277,98.58,08064
8,65,202,9,4.46,193,95.54,08065
8,66,424,20,4.72,404,95.28,08066
8,67,151,4,2.65,147,97.35,08067
8,68,195,4,2.05,191,97.95,08068
8,69,188,1,0.53,187,99.47,08069
8,70,368,7,1.9,361,98.1,08070
9,1,352,9,2.56,343,97.44,09001
9,2,366,9,2.46,357,97.54,09002
9,3,240,3,1.25,237,98.75,09003
9,4,393,7,1.78,386,98.22,09004
9,5,339,11,3.24,328,96.76,09005
9,6,315,8,2.54,307,97.46,09006
9,7,341,6,1.76,335,98.24,09007
9,8,239,3,1.26,236,98.74,09008
9,9,345,6,1.74,339,98.26,09009
9,10,303,12,3.96,291,96.04,09010
9,11,223,6,2.69,217,97.31,09011
9,12,334,7,2.1,327,97.9,09012
9,13,402,11,2.74,391,97.26,09013
9,14,426,10,2.35,416,97.65,09014
9,15,156,3,1.92,153,98.08,09015
9,16,357,4,1.12,353,98.88,09016
9,17,288,5,1.74,283,98.26,09017
9,18,345,10,2.9,335,97.1,09018
9,19,367,12,3.27,355,96.73,09019
9,20,350,6,1.71,344,98.29,09020
9,21,231,1,0.43,230,99.57,09021
9,22,371,15,4.04,356,95.96,09022
9,23,249,12,4.82,237,95.18,09023
9,24,185,8,4.32,177,95.68,09024
9,25,145,1,0.69,144,99.31,09025
9,26,214,2,0.93,212,99.07,09026
9,27,185,5,2.7,180,97.3,09027
9,28,244,11,4.51,233,95.49,09028
9,29,282,2,0.71,280,99.29,09029
9,30,252,5,1.98,247,98.02,09030
9,31,271,10,3.69,261,96.31,09031
9,32,342,10,2.92,332,97.08,09032
9,33,201,2,1.0,199,99.0,09033
9,34,319,4,1.25,315,98.75,09034
9,35,306,4,1.31,302,98.69,09035
9,36,174,4,2.3,170,97.7,09036
9,37,272,91,33.46,181,66.54,09037
9,38,331,6,1.81,325,98.19,09038
9,39,326,4,1.23,322,98.77,09039
9,40,331,8,2.42,323,97.58,09040
9,41,399,4,1.0,395,99.0,09041
9,42,277,4,1.44,273,98.56,09042
9,43,242,7,2.89,235,97.11,09043
9,44,272,8,2.94,264,97.06,09044
9,45,334,3,0.9,331,99.1,09045
9,46,288,7,2.43,281,97.57,09046
9,47,212,9,4.25,203,95.75,09047
9,48,322,13,4.04,309,95.96,09048
9,49,134,1,0.75,133,99.25,09049
9,50,128,4,3.13,124,96.88,09050
9,51,229,5,2.18,224,97.82,09051
9,52,303,8,2.64,295,97.36,09052
9,53,249,4,1.61,245,98.39,09053
9,54,259,17,6.56,242,93.44,09054
9,55,175,4,2.29,171,97.71,09055
9,56,173,2,1.16,171,98.84,09056
9,57,180,44,24.44,136,75.56,09057
9,58,228,3,1.32,225,98.68,09058
10,1,191,3,1.57,188,98.43,10001
10,2,205,54,26.34,151,73.66,10002
10,3,293,115,39.25,178,60.75,10003
10,4,206,14,6.8,192,93.2,10004
10,5,231,60,25.97,171,74.03,10005
10,6,240,10,4.17,230,95.83,10006
10,7,64,5,7.81,59,92.19,10007
10,8,255,77,30.2,178,69.8,10008
10,9,270,101,37.41,169,62.59,10009
10,10,260,90,34.62,170,65.38,10010
10,11,268,77,28.73,191,71.27,10011
10,12,209,60,28.71,149,71.29,10012
10,13,206,54,26.21,152,73.79,10013
10,14,282,94,33.33,188,66.67,10014
10,15,122,45,36.89,77,63.11,10015
10,16,265,100,37.74,165,62.26,10016
10,17,245,77,31.43,168,68.57,10017
10,18,165,14,8.48,151,91.52,10018
10,19,290,98,33.79,192,66.21,10019
10,20,208,61,29.33,147,70.67,10020
10,21,213,78,36.62,135,63.38,10021
10,22,86,19,22.09,67,77.91,10022
10,23,199,29,14.57,170,85.43,10023
10,24,240,94,39.17,146,60.83,10024
10,25,283,26,9.19,257,90.81,10025
10,26,198,50,25.25,148,74.75,10026
10,27,303,100,33.0,203,67.0,10027
10,28,262,14,5.34,248,94.66,10028
10,29,227,4,1.76,223,98.24,10029
10,30,279,51,18.28,228,81.72,10030
10,31,265,65,24.53,200,75.47,10031
10,32,252,66,26.19,186,73.81,10032
10,33,222,55,24.77,167,75.23,10033
10,34,221,37,16.74,184,83.26,10034
10,35,216,34,15.74,182,84.26,10035
10,36,265,17,6.42,248,93.58,10036
10,37,190,9,4.74,181,95.26,10037
10,38,279,97,34.77,182,65.23,10038
10,39,232,52,22.41,180,77.59,10039
10,40,220,23,10.45,197,89.55,10040
10,41,296,102,34.46,194,65.54,10041
10,42,261,105,40.23,156,59.77,10042
10,43,103,6,5.83,97,94.17,10043
10,44,203,33,16.26,170,83.74,10044
10,45,159,45,28.3,114,71.7,10045
10,46,225,45,20.0,180,80.0,10046
10,47,217,58,26.73,159,73.27,10047
10,48,189,11,5.82,178,94.18,10048
10,49,174,8,4.6,166,95.4,10049
11,1,286,59,20.63,227,79.37,11001
11,2,246,48,19.51,198,80.49,11002
11,3,218,41,18.81,177,81.19,11003
11,4,334,47,14.07,287,85.93,11004
11,5,190,24,12.63,166,87.37,11005
11,6,386,84,21.76,302,78.24,11006
11,7,290,58,20.0,232,80.0,11007
11,8,283,52,18.37,231,81.63,11008
11,9,274,34,12.41,240,87.59,11009
11,10,156,26,16.67,130,83.33,11010
11,11,320,65,20.31,255,79.69,11011
11,12,322,42,13.04,280,86.96,11012
11,13,291,48,16.49,243,83.51,11013
11,14,236,33,13.98,203,86.02,11014
11,15,229,36,15.72,193,84.28,11015
11,16,288,49,17.01,239,82.99,11016
11,17,353,71,20.11,282,79.89,11017
11,18,206,30,14.56,176,85.44,11018
11,19,237,42,17.72,195,82.28,11019
11,20,224,17,7.59,207,92.41,11020
11,21,369,45,12.2,324,87.8,11021
11,22,240,22,9.17,218,90.83,11022
11,23,236,35,14.83,201,85.17,11023
11,24,412,40,9.71,372,90.29,11024
11,25,200,30,15.0,170,85.0,11025
11,26,398,51,12.81,347,87.19,11026
11,27,285,64,22.46,221,77.54,11027
11,28,254,27,10.63,227,89.37,11028
11,29,351,47,13.39,304,86.61,11029
11,30,275,44,16.0,231,84.0,11030
11,31,242,35,14.46,207,85.54,11031
11,32,228,33,14.47,195,85.53,11032
11,33,205,22,10.73,183,89.27,11033
11,34,156,16,10.26,140,89.74,11034
11,35,349,42,12.03,307,87.97,11035
11,36,84,12,14.29,72,85.71,11036
11,37,269,31,11.52,238,88.48,11037
11,38,393,62,15.78,331,84.22,11038
11,39,392,43,10.97,349,89.03,11039
11,40,168,23,13.69,145,86.31,11040
11,41,160,15,9.38,145,90.63,11041
11,42,228,26,11.4,202,88.6,11042
11,43,379,66,17.41,313,82.59,11043
11,44,267,63,23.6,204,76.4,11044
11,45,183,29,15.85,154,84.15,11045
11,46,177,6,3.39,171,96.61,11046
11,47,254,33,12.99,221,87.01,11047
11,48,150,29,19.33,121,80.67,11048
11,49,236,36,15.25,200,84.75,11049
11,50,202,29,14.36,173,85.64,11050
12,1,93,13,13.98,80,86.02,12001
12,2,154,36,23.38,118,76.62,12002
12,3,141,19,13.48,122,86.52,12003
12,4,130,25,19.23,105,80.77,12004
12,5,177,39,22.03,138,77.97,12005
12,6,104,10,9.62,94,90.38,12006
12,7,64,7,10.94,57,89.06,12007
12,8,283,57,20.14,226,79.86,12008
12,9,111,19,17.12,92,82.88,12009
12,10,87,24,27.59,63,72.41,12010
12,11,130,23,17.69,107,82.31,12011
12,12,109,32,29.36,77,70.64,12012
12,13,132,31,23.48,101,76.52,12013
12,14,111,19,17.12,92,82.88,12014
12,15,141,18,12.77,123,87.23,12015
12,16,150,29,19.33,121,80.67,12016
12,17,110,19,17.27,91,82.73,12017
12,18,149,13,8.72,136,91.28,12018
