ward,precinct,total,KATHLEEN A. THOMAS,KATHLEEN A. THOMAS Percent,precinct_id
18,13,309,24,7.77,18013
18,14,348,18,5.17,18014
18,15,190,31,16.32,18015
18,16,296,11,3.72,18016
18,17,255,21,8.24,18017
18,18,313,15,4.79,18018
18,19,225,1,0.44,18019
18,20,290,5,1.72,18020
18,21,389,30,7.71,18021
18,22,334,10,2.99,18022
18,23,273,18,6.59,18023
18,24,336,10,2.98,18024
18,25,304,8,2.63,18025
18,26,245,13,5.31,18026
18,27,281,30,10.68,18027
18,28,342,80,23.39,18028
18,29,329,66,20.06,18029
18,30,264,4,1.52,18030
18,31,268,19,7.09,18031
18,32,340,5,1.47,18032
18,33,234,7,2.99,18033
18,34,372,31,8.33,18034
18,35,362,25,6.91,18035
18,36,227,24,10.57,18036
18,37,212,14,6.6,18037
18,38,354,5,1.41,18038
18,39,233,13,5.58,18039
18,40,352,20,5.68,18040
18,41,328,78,23.78,18041
18,42,233,33,14.16,18042
18,43,253,38,15.02,18043
18,44,196,20,10.2,18044
18,45,297,5,1.68,18045
18,46,253,4,1.58,18046
18,47,277,22,7.94,18047
18,48,220,49,22.27,18048
18,49,217,11,5.07,18049
18,50,287,11,3.83,18050
18,51,174,6,3.45,18051
18,52,255,2,0.78,18052
18,53,245,2,0.82,18053
18,54,300,11,3.67,18054
18,55,357,96,26.89,18055
18,56,269,40,14.87,18056
18,57,236,16,6.78,18057
18,58,270,5,1.85,18058
18,59,191,5,2.62,18059
18,60,336,3,0.89,18060
18,61,286,9,3.15,18061
18,62,208,3,1.44,18062
18,63,271,5,1.85,18063
18,64,240,37,15.42,18064
19,1,390,74,18.97,19001
19,2,331,33,9.97,19002
19,3,362,113,31.22,19003
19,4,356,96,26.97,19004
19,5,348,60,17.24,19005
19,6,376,90,23.94,19006
19,7,344,61,17.73,19007
19,8,308,85,27.6,19008
19,9,296,99,33.45,19009
19,10,456,90,19.74,19010
19,11,402,127,31.59,19011
19,12,362,113,31.22,19012
19,13,298,18,6.04,19013
19,14,248,75,30.24,19014
19,15,220,62,28.18,19015
19,16,448,91,20.31,19016
19,17,365,84,23.01,19017
19,18,454,91,20.04,19018
19,19,395,73,18.48,19019
19,20,302,32,10.6,19020
19,21,315,72,22.86,19021
19,22,423,97,22.93,19022
19,23,429,111,25.87,19023
19,24,291,85,29.21,19024
19,25,418,96,22.97,19025
19,26,423,101,23.88,19026
19,27,243,29,11.93,19027
19,28,435,32,7.36,19028
19,29,324,78,24.07,19029
19,30,369,108,29.27,19030
19,31,341,96,28.15,19031
19,32,444,99,22.3,19032
19,33,426,136,31.92,19033
19,34,386,89,23.06,19034
19,35,340,54,15.88,19035
19,36,408,50,12.25,19036
19,37,336,47,13.99,19037
19,38,446,48,10.76,19038
19,39,235,8,3.4,19039
19,40,339,64,18.88,19040
19,41,401,118,29.43,19041
19,42,286,35,12.24,19042
19,43,368,16,4.35,19043
19,44,326,86,26.38,19044
19,45,434,92,21.2,19045
19,46,471,123,26.11,19046
19,47,261,34,13.03,19047
19,48,282,2,0.71,19048
19,49,416,40,9.62,19049
19,50,360,5,1.39,19050
19,51,348,103,29.6,19051
19,52,328,89,27.13,19052
19,53,378,91,24.07,19053
19,54,299,88,29.43,19054
19,55,334,77,23.05,19055
19,56,457,105,22.98,19056
19,57,390,69,17.69,19057
19,58,402,116,28.86,19058
19,59,412,107,25.97,19059
19,60,320,6,1.88,19060
19,61,474,99,20.89,19061
19,62,364,64,17.58,19062
19,63,240,38,15.83,19063
19,64,417,63,15.11,19064
19,65,241,48,19.92,19065
19,66,325,7,2.15,19066
19,67,87,29,33.33,19067
20,1,248,1,0.4,20001
20,2,185,4,2.16,20002
20,3,275,9,3.27,20003
20,4,149,15,10.07,20004
20,5,171,5,2.92,20005
20,6,239,6,2.51,20006
20,7,159,8,5.03,20007
20,8,77,13,16.88,20008
20,9,212,10,4.72,20009
20,10,225,4,1.78,20010
20,11,164,1,0.61,20011
20,12,93,0,0.0,20012
20,13,45,1,2.22,20013
20,14,332,5,1.51,20014
20,15,78,19,24.36,20015
20,16,106,7,6.6,20016
20,17,202,7,3.47,20017
20,18,286,9,3.15,20018
20,19,108,3,2.78,20019
20,20,140,2,1.43,20020
20,21,88,9,10.23,20021
20,22,222,6,2.7,20022
20,23,279,8,2.87,20023
20,24,330,13,3.94,20024
20,25,110,2,1.82,20025
20,26,222,12,5.41,20026
20,27,158,0,0.0,20027
20,28,262,6,2.29,20028
20,29,222,6,2.7,20029
20,30,211,7,3.32,20030
20,31,230,6,2.61,20031
20,32,371,11,2.96,20032
20,33,308,10,3.25,20033
20,34,290,9,3.1,20034
20,35,119,1,0.84,20035
20,36,218,8,3.67,20036
20,37,158,2,1.27,20037
20,38,42,1,2.38,20038
20,39,207,5,2.42,20039
20,40,168,4,2.38,20040
20,41,11,0,0.0,20041
20,42,176,5,2.84,20042
20,43,82,10,12.2,20043
20,44,236,7,2.97,20044
20,45,48,0,0.0,20045
20,46,168,6,3.57,20046
20,47,143,5,3.5,20047
20,48,92,2,2.17,20048
20,49,179,3,1.68,20049
20,50,200,6,3.0,20050
20,51,49,6,12.24,20051
20,52,95,3,3.16,20052
20,53,45,1,2.22,20053
20,54,153,4,2.61,20054
20,55,113,3,2.65,20055
21,1,405,5,1.23,21001
21,2,118,3,2.54,21002
21,3,442,12,2.71,21003
21,4,374,10,2.67,21004
21,5,302,5,1.66,21005
21,6,291,7,2.41,21006
21,7,315,2,0.63,21007
21,8,314,6,1.91,21008
21,9,294,4,1.36,21009
21,10,201,3,1.49,21010
21,11,309,8,2.59,21011
21,12,328,9,2.74,21012
21,13,153,4,2.61,21013
21,14,277,0,0.0,21014
21,15,261,5,1.92,21015
21,16,271,6,2.21,21016
21,17,136,0,0.0,21017
21,18,293,6,2.05,21018
21,19,250,5,2.0,21019
21,20,150,6,4.0,21020
21,21,318,6,1.89,21021
21,22,330,12,3.64,21022
21,23,234,3,1.28,21023
21,24,306,3,0.98,21024
21,25,240,3,1.25,21025
21,26,231,1,0.43,21026
21,27,334,4,1.2,21027
21,28,228,4,1.75,21028
21,29,144,1,0.69,21029
21,30,222,6,2.7,21030
21,31,400,3,0.75,21031
21,32,189,1,0.53,21032
21,33,312,10,3.21,21033
21,34,341,4,1.17,21034
21,35,195,4,2.05,21035
21,36,261,5,1.92,21036
21,37,207,4,1.93,21037
21,38,286,5,1.75,21038
21,39,247,4,1.62,21039
21,40,289,5,1.73,21040
21,41,254,4,1.57,21041
21,42,296,5,1.69,21042
21,43,275,7,2.55,21043
21,44,284,9,3.17,21044
21,45,244,5,2.05,21045
21,46,225,6,2.67,21046
21,47,368,6,1.63,21047
21,48,367,5,1.36,21048
21,49,367,10,2.72,21049
21,50,294,8,2.72,21050
21,51,319,9,2.82,21051
21,52,317,9,2.84,21052
21,53,255,4,1.57,21053
21,54,260,3,1.15,21054
21,55,317,3,0.95,21055
21,56,210,9,4.29,21056
21,57,301,8,2.66,21057
21,58,220,6,2.73,21058
21,59,360,11,3.06,21059
21,60,274,11,4.01,21060
21,61,323,9,2.79,21061
21,62,293,11,3.75,21062
21,63,283,7,2.47,21063
21,64,158,4,2.53,21064
21,65,259,10,3.86,21065
21,66,240,3,1.25,21066
21,67,239,1,0.42,21067
21,68,306,5,1.63,21068
21,69,243,7,2.88,21069
21,70,197,7,3.55,21070
21,71,218,3,1.38,21071
21,72,246,7,2.85,21072
21,73,362,5,1.38,21073
21,74,113,6,5.31,21074
21,75,211,4,1.9,21075
21,76,300,7,2.33,21076
22,1,135,11,8.15,22001
22,2,104,16,15.38,22002
22,3,128,12,9.38,22003
22,4,162,13,8.02,22004
22,5,186,12,6.45,22005
22,6,157,18,11.46,22006
22,7,202,4,1.98,22007
22,8,139,28,20.14,22008
22,9,158,13,8.23,22009
22,10,145,16,11.03,22010
22,11,168,19,11.31,22011
22,12,114,16,14.04,22012
22,13,202,20,9.9,22013
22,14,121,9,7.44,22014
22,15,136,25,18.38,22015
22,16,201,26,12.94,22016
22,17,148,16,10.81,22017
22,18,163,21,12.88,22018
22,19,178,5,2.81,22019
22,20,183,18,9.84,22020
22,21,236,3,1.27,22021
22,22,129,13,10.08,22022
22,23,97,5,5.15,22023
22,24,138,8,5.8,22024
22,25,124,13,10.48,22025
22,26,125,14,11.2,22026
22,27,158,23,14.56,22027
22,28,130,6,4.62,22028
22,29,106,14,13.21,22029
22,30,161,14,8.7,22030
23,1,296,65,21.96,23001
23,2,385,76,19.74,23002
23,3,313,92,29.39,23003
23,4,307,98,31.92,23004
23,5,242,44,18.18,23005
23,6,346,76,21.97,23006
23,7,154,2,1.3,23007
23,8,348,83,23.85,23008
23,9,263,52,19.77,23009
23,10,378,50,13.23,23010
23,11,364,99,27.2,23011
23,12,303,89,29.37,23012
23,13,389,99,25.45,23013
23,14,145,7,4.83,23014
23,15,338,79,23.37,23015
23,16,364,87,23.9,23016
23,17,397,100,25.19,23017
23,18,280,58,20.71,23018
23,19,301,70,23.26,23019
23,20,303,66,21.78,23020
23,21,254,3,1.18,23021
23,22,358,90,25.14,23022
23,23,313,82,26.2,23023
23,24,217,42,19.35,23024
23,25,220,43,19.55,23025
23,26,330,94,28.48,23026
23,27,304,71,23.36,23027
23,28,324,78,24.07,23028
23,29,267,48,17.98,23029
23,30,308,64,20.78,23030
23,31,277,55,19.86,23031
23,32,324,56,17.28,23032
23,33,334,66,19.76,23033
23,34,256,67,26.17,23034
23,35,193,5,2.59,23035
23,36,424,107,25.24,23036
23,37,220,4,1.82,23037
23,38,244,46,18.85,23038
23,39,309,90,29.13,23039
23,40,310,83,26.77,23040
23,41,294,59,20.07,23041
23,42,266,65,24.44,23042
23,43,372,87,23.39,23043
23,44,320,58,18.13,23044
23,45,358,88,24.58,23045
23,46,335,83,24.78,23046
23,47,356,100,28.09,23047
23,48,253,54,21.34,23048
23,49,415,121,29.16,23049
23,50,205,45,21.95,23050
23,51,275,46,16.73,23051
23,52,408,92,22.55,23052
23,53,237,45,18.99,23053
23,54,451,116,25.72,23054
23,55,329,94,28.57,23055
23,56,274,91,33.21,23056
24,1,183,4,2.19,24001
24,2,236,10,4.24,24002
24,3,206,7,3.4,24003
24,4,219,7,3.2,24004
24,5,207,6,2.9,24005
24,6,270,7,2.59,24006
24,7,214,1,0.47,24007
24,8,203,5,2.46,24008
24,9,252,20,7.94,24009
24,10,204,4,1.96,24010
24,11,143,3,2.1,24011
24,12,178,2,1.12,24012
24,13,188,4,2.13,24013
24,14,304,7,2.3,24014
24,15,206,2,0.97,24015
24,16,180,2,1.11,24016
24,17,226,5,2.21,24017
24,18,152,1,0.66,24018
24,19,173,4,2.31,24019
24,20,245,8,3.27,24020
24,21,165,4,2.42,24021
24,22,219,7,3.2,24022
24,23,224,7,3.13,24023
24,24,147,3,2.04,24024
24,25,136,8,5.88,24025
24,26,255,9,3.53,24026
24,27,145,6,4.14,24027
24,28,244,6,2.46,24028
24,29,256,9,3.52,24029
24,30,185,7,3.78,24030
24,31,205,6,2.93,24031
24,32,220,8,3.64,24032
24,33,167,2,1.2,24033
24,34,205,9,4.39,24034
24,35,130,5,3.85,24035
24,36,213,3,1.41,24036
24,37,233,5,2.15,24037
24,38,220,6,2.73,24038
24,39,233,2,0.86,24039
24,40,285,10,3.51,24040
24,41,201,3,1.49,24041
24,42,193,1,0.52,24042
24,43,290,12,4.14,24043
24,44,81,1,1.23,24044
24,45,203,2,0.99,24045
24,46,227,4,1.76,24046
24,47,176,5,2.84,24047
24,48,115,3,2.61,24048
24,49,300,6,2.0,24049
24,50,329,5,1.52,24050
24,51,292,19,6.51,24051
24,52,201,2,1.0,24052
24,53,192,14,7.29,24053
24,54,206,3,1.46,24054
24,55,109,0,0.0,24055
24,56,269,5,1.86,24056
24,57,195,22,11.28,24057
24,58,249,7,2.81,24058
24,59,123,2,1.63,24059
25,1,200,30,15.0,25001
25,2,231,35,15.15,25002
25,3,104,7,6.73,25003
25,4,312,57,18.27,25004
25,5,284,54,19.01,25005
25,6,180,24,13.33,25006
25,7,202,22,10.89,25007
25,8,206,22,10.68,25008
25,9,290,44,15.17,25009
25,10,149,13,8.72,25010
25,11,183,27,14.75,25011
25,12,207,32,15.46,25012
25,13,251,29,11.55,25013
25,14,155,39,25.16,25014
25,15,224,31,13.84,25015
25,16,96,26,27.08,25016
25,17,314,28,8.92,25017
25,18,206,33,16.02,25018
25,19,238,29,12.18,25019
25,20,282,33,11.7,25020
25,21,213,56,26.29,25021
25,22,119,18,15.13,25022
25,23,247,19,7.69,25023
25,24,212,27,12.74,25024
25,25,259,54,20.85,25025
25,26,190,34,17.89,25026
25,27,216,44,20.37,25027
25,28,336,75,22.32,25028
25,29,209,22,10.53,25029
25,30,227,22,9.69,25030
26,1,127,22,17.32,26001
26,2,131,5,3.82,26002
26,3,120,12,10.0,26003
26,4,131,22,16.79,26004
26,5,216,11,5.09,26005
26,6,112,7,6.25,26006
26,7,108,23,21.3,26007
26,8,115,19,16.52,26008
26,9,116,18,15.52,26009
26,10,101,4,3.96,26010
26,11,140,16,11.43,26011
26,12,99,9,9.09,26012
26,13,172,33,19.19,26013
26,14,133,15,11.28,26014
26,15,124,14,11.29,26015
26,16,125,10,8.0,26016
26,17,138,33,23.91,26017
26,18,95,15,15.79,26018
26,19,214,33,15.42,26019
26,20,173,11,6.36,26020
26,21,168,17,10.12,26021
26,22,98,8,8.16,26022
26,23,130,13,10.0,26023
26,24,129,27,20.93,26024
26,25,68,4,5.88,26025
26,26,99,16,16.16,26026
26,27,116,17,14.66,26027
26,28,136,9,6.62,26028
26,29,117,13,11.11,26029
26,30,162,12,7.41,26030
26,31,142,12,8.45,26031
26,32,175,31,17.71,26032
26,33,120,55,45.83,26033
26,34,147,9,6.12,26034
26,35,157,20,12.74,26035
26,36,140,10,7.14,26036
26,37,97,9,9.28,26037
26,38,110,8,7.27,26038
26,39,121,7,5.79,26039
26,40,54,8,14.81,26040
26,41,114,5,4.39,26041
26,42,117,15,12.82,26042
26,43,108,13,12.04,26043
26,44,113,11,9.73,26044
26,45,128,7,5.47,26045
26,46,259,61,23.55,26046
26,47,74,11,14.86,26047
26,48,166,18,10.84,26048
26,49,104,8,7.69,26049
26,50,77,7,9.09,26050
26,51,143,12,8.39,26051
26,52,76,3,3.95,26052
26,53,102,6,5.88,26053
26,54,122,11,9.02,26054
26,55,112,16,14.29,26055
26,56,132,11,8.33,26056
26,57,96,18,18.75,26057
26,58,112,7,6.25,26058
26,59,148,13,8.78,26059
26,60,104,13,12.5,26060
26,61,101,8,7.92,26061
26,62,164,26,15.85,26062
26,63,52,5,9.62,26063
27,1,119,49,41.18,27001
27,2,191,11,5.76,27002
27,3,229,3,1.31,27003
27,4,159,15,9.43,27004
27,5,54,9,16.67,27005
27,6,157,4,2.55,27006
27,7,208,52,25.0,27007
27,8,117,2,1.71,27008
27,9,347,16,4.61,27009
27,10,366,4,1.09,27010
27,11,128,3,2.34,27011
27,12,148,8,5.41,27012
27,13,70,7,10.0,27013
27,14,120,3,2.5,27014
27,15,149,8,5.37,27015
27,16,120,40,33.33,27016
27,17,125,31,24.8,27017
27,18,118,29,24.58,27018
27,19,224,8,3.57,27019
27,20,252,1,0.4,27020
27,21,124,0,0.0,27021
27,22,200,6,3.0,27022
27,23,75,2,2.67,27023
27,24,210,7,3.33,27024
27,25,158,6,3.8,27025
27,26,187,6,3.21,27026
27,27,114,7,6.14,27027
27,28,236,57,24.15,27028
27,29,189,3,1.59,27029
27,30,149,4,2.68,27030
27,31,208,4,1.92,27031
27,32,151,17,11.26,27032
27,33,194,18,9.28,27033
27,34,163,5,3.07,27034
27,35,410,77,18.78,27035
27,36,202,5,2.48,27036
27,37,93,12,12.9,27037
27,38,211,38,18.01,27038
27,39,135,2,1.48,27039
27,40,168,2,1.19,27040
27,41,280,82,29.29,27041
27,42,129,35,27.13,27042
27,43,177,1,0.56,27043
27,44,170,4,2.35,27044
27,45,207,6,2.9,27045
27,46,204,10,4.9,27046
27,47,190,7,3.68,27047
27,48,205,1,0.49,27048
27,49,165,5,3.03,27049
27,50,352,78,22.16,27050
27,51,151,3,1.99,27051
27,52,70,2,2.86,27052
27,53,95,9,9.47,27053
27,54,285,82,28.77,27054
27,55,108,25,23.15,27055
27,56,148,30,20.27,27056
27,57,147,39,26.53,27057
27,58,176,33,18.75,27058
27,59,249,26,10.44,27059
27,60,57,1,1.75,27060
27,61,57,2,3.51,27061
27,62,188,7,3.72,27062
27,63,222,5,2.25,27063
27,64,177,7,3.95,27064
28,1,202,4,1.98,28001
28,2,144,4,2.78,28002
28,3,114,4,3.51,28003
28,4,158,2,1.27,28004
28,5,58,2,3.45,28005
28,6,150,4,2.67,28006
28,7,226,8,3.54,28007
28,8,131,3,2.29,28008
28,9,135,1,0.74,28009
28,10,52,0,0.0,28010
28,11,113,4,3.54,28011
28,12,96,1,1.04,28012
28,13,79,3,3.8,28013
28,14,152,3,1.97,28014
28,15,129,4,3.1,28015
28,16,176,3,1.7,28016
28,17,179,11,6.15,28017
28,18,255,10,3.92,28018
28,19,229,4,1.75,28019
28,20,196,8,4.08,28020
28,21,226,6,2.65,28021
28,22,188,7,3.72,28022
28,23,241,10,4.15,28023
28,24,135,4,2.96,28024
28,25,140,9,6.43,28025
28,26,189,2,1.06,28026
28,27,130,0,0.0,28027
28,28,167,3,1.8,28028
28,29,162,25,15.43,28029
28,30,134,6,4.48,28030
28,31,136,1,0.74,28031
28,32,186,7,3.76,28032
28,33,151,2,1.32,28033
28,34,19,4,21.05,28034
28,35,151,10,6.62,28035
28,36,187,6,3.21,28036
28,37,231,5,2.16,28037
28,38,74,4,5.41,28038
28,39,103,9,8.74,28039
28,40,221,2,0.9,28040
28,41,92,1,1.09,28041
28,42,130,2,1.54,28042
28,43,128,3,2.34,28043
28,44,124,2,1.61,28044
28,45,144,2,1.39,28045
28,46,158,3,1.9,28046
28,47,150,3,2.0,28047
28,48,120,3,2.5,28048
28,49,120,1,0.83,28049
28,50,109,1,0.92,28050
28,51,213,3,1.41,28051
28,52,193,2,1.04,28052
28,53,87,1,1.15,28053
28,54,171,3,1.75,28054
28,55,164,3,1.83,28055
28,56,185,5,2.7,28056
28,57,141,8,5.67,28057
28,58,139,9,6.47,28058
28,59,144,2,1.39,28059
28,60,156,3,1.92,28060
28,61,97,1,1.03,28061
28,62,184,2,1.09,28062
28,63,202,4,1.98,28063
28,64,135,2,1.48,28064
28,65,207,11,5.31,28065
28,66,175,4,2.29,28066
28,67,111,0,0.0,28067
28,68,188,1,0.53,28068
28,69,105,7,6.67,28069
28,70,113,4,3.54,28070
28,71,166,21,12.65,28071
28,72,118,5,4.24,28072
28,73,93,1,1.08,28073
28,74,146,4,2.74,28074
28,75,121,1,0.83,28075
28,76,115,0,0.0,28076
29,1,269,4,1.49,29001
29,2,115,24,20.87,29002
29,3,316,5,1.58,29003
29,4,223,5,2.24,29004
29,5,282,5,1.77,29005
29,6,111,15,13.51,29006
29,7,123,14,11.38,29007
29,8,195,5,2.56,29008
29,9,123,37,30.08,29009
29,10,263,3,1.14,29010
29,11,359,10,2.79,29011
29,12,307,11,3.58,29012
29,13,265,5,1.89,29013
29,14,313,4,1.28,29014
29,15,284,6,2.11,29015
29,16,314,3,0.96,29016
29,17,245,8,3.27,29017
29,18,239,3,1.26,29018
29,19,222,5,2.25,29019
29,20,241,2,0.83,29020
29,21,234,7,2.99,29021
29,22,215,49,22.79,29022
29,23,283,7,2.47,29023
29,24,121,28,23.14,29024
29,25,306,4,1.31,29025
29,26,241,4,1.66,29026
29,27,190,4,2.11,29027
29,28,324,6,1.85,29028
29,29,315,10,3.17,29029
29,30,49,9,18.37,29030
29,31,254,2,0.79,29031
29,32,201,43,21.39,29032
29,33,232,6,2.59,29033
29,34,195,24,12.31,29034
29,35,233,5,2.15,29035
29,36,273,8,2.93,29036
29,37,266,6,2.26,29037
29,38,226,4,1.77,29038
29,39,214,31,14.49,29039
29,40,399,6,1.5,29040
29,41,298,3,1.01,29041
29,42,307,5,1.63,29042
29,43,311,4,1.29,29043
29,44,280,14,5.0,29044
29,45,253,4,1.58,29045
29,46,265,7,2.64,29046
29,47,376,17,4.52,29047
29,48,239,4,1.67,29048
29,49,330,7,2.12,29049
29,50,218,3,1.38,29050
29,51,279,8,2.87,29051
29,52,205,28,13.66,29052
29,53,205,25,12.2,29053
29,54,191,55,28.8,29054
30,1,227,59,25.99,30001
30,2,149,34,22.82,30002
30,3,288,69,23.96,30003
30,4,157,25,15.92,30004
30,5,123,7,5.69,30005
30,6,121,16,13.22,30006
30,7,169,35,20.71,30007
30,8,268,63,23.51,30008
30,9,219,46,21.0,30009
30,10,227,37,16.3,30010
30,11,177,32,18.08,30011
30,12,171,26,15.2,30012
30,13,190,43,22.63,30013
30,14,77,15,19.48,30014
30,15,219,63,28.77,30015
30,16,178,49,27.53,30016
30,17,290,62,21.38,30017
30,18,41,1,2.44,30018
30,19,113,10,8.85,30019
30,20,159,26,16.35,30020
30,21,126,20,15.87,30021
30,22,195,24,12.31,30022
30,23,153,19,12.42,30023
30,24,147,16,10.88,30024
30,25,161,44,27.33,30025
30,26,123,9,7.32,30026
30,27,170,19,11.18,30027
30,28,161,36,22.36,30028
30,29,90,8,8.89,30029
30,30,224,36,16.07,30030
30,31,130,14,10.77,30031
30,32,94,14,14.89,30032
30,33,148,15,10.14,30033
30,34,183,30,16.39,30034
30,35,178,26,14.61,30035
30,36,207,43,20.77,30036
30,37,175,44,25.14,30037
30,38,281,45,16.01,30038
30,39,202,39,19.31,30039
30,40,194,33,17.01,30040
30,41,167,9,5.39,30041
31,1,107,19,17.76,31001
31,2,150,21,14.0,31002
31,3,162,40,24.69,31003
31,4,165,22,13.33,31004
31,5,203,47,23.15,31005
31,6,203,39,19.21,31006
31,7,162,18,11.11,31007
31,8,135,24,17.78,31008
31,9,198,22,11.11,31009
31,10,94,9,9.57,31010
31,11,113,14,12.39,31011
31,12,163,24,14.72,31012
31,13,188,26,13.83,31013
31,14,148,12,8.11,31014
31,15,108,25,23.15,31015
31,16,105,25,23.81,31016
31,17,140,14,10.0,31017
31,18,180,33,18.33,31018
31,19,153,23,15.03,31019
31,20,139,23,16.55,31020
31,21,166,16,9.64,31021
31,22,115,23,20.0,31022
31,23,109,18,16.51,31023
31,24,136,17,12.5,31024
31,25,144,15,10.42,31025
31,26,102,22,21.57,31026
31,27,126,14,11.11,31027
31,28,160,12,7.5,31028
31,29,141,32,22.7,31029
31,30,172,24,13.95,31030
31,31,238,47,19.75,31031
31,32,136,30,22.06,31032
31,33,157,36,22.93,31033
31,34,119,12,10.08,31034
31,35,131,22,16.79,31035
31,36,194,24,12.37,31036
31,37,181,24,13.26,31037
31,38,97,19,19.59,31038
31,39,139,11,7.91,31039
31,40,129,17,13.18,31040
31,41,139,28,20.14,31041
31,42,157,18,11.46,31042
31,43,206,40,19.42,31043
31,44,143,18,12.59,31044
31,45,154,35,22.73,31045
31,46,148,24,16.22,31046
31,47,199,37,18.59,31047
31,48,145,33,22.76,31048
31,49,84,12,14.29,31049
31,50,223,54,24.22,31050
31,51,104,16,15.38,31051
32,1,319,64,20.06,32001
32,2,293,59,20.14,32002
32,3,209,37,17.7,32003
32,4,348,81,23.28,32004
32,5,205,55,26.83,32005
32,6,265,69,26.04,32006
32,7,232,77,33.19,32007
32,8,391,140,35.81,32008
32,9,433,103,23.79,32009
32,10,289,93,32.18,32010
32,11,166,25,15.06,32011
32,12,151,23,15.23,32012
32,13,142,45,31.69,32013
32,14,248,42,16.94,32014
32,15,252,69,27.38,32015
32,16,304,65,21.38,32016
32,17,236,50,21.19,32017
32,18,280,93,33.21,32018
32,19,263,47,17.87,32019
32,20,292,85,29.11,32020
32,21,277,63,22.74,32021
32,22,367,79,21.53,32022
32,23,318,96,30.19,32023
32,24,269,90,33.46,32024
32,25,253,60,23.72,32025
32,26,227,45,19.82,32026
32,27,248,77,31.05,32027
32,28,233,41,17.6,32028
32,29,270,47,17.41,32029
32,30,240,75,31.25,32030
32,31,373,95,25.47,32031
32,32,317,124,39.12,32032
32,33,250,49,19.6,32033
32,34,313,78,24.92,32034
32,35,340,75,22.06,32035
32,36,338,87,25.74,32036
32,37,265,62,23.4,32037
32,38,296,81,27.36,32038
32,39,392,118,30.1,32039
32,40,338,105,31.07,32040
32,41,358,96,26.82,32041
32,42,363,71,19.56,32042
32,43,352,128,36.36,32043
32,44,180,44,24.44,32044
32,45,261,57,21.84,32045
32,46,133,23,17.29,32046
32,47,336,133,39.58,32047
32,48,419,154,36.75,32048
32,49,208,61,29.33,32049
32,50,397,144,36.27,32050
32,51,348,137,39.37,32051
32,52,196,36,18.37,32052
33,1,261,36,13.79,33001
33,2,386,67,17.36,33002
33,3,213,38,17.84,33003
33,4,267,48,17.98,33004
33,5,138,26,18.84,33005
33,6,297,49,16.5,33006
33,7,297,48,16.16,33007
33,8,331,58,17.52,33008
33,9,178,29,16.29,33009
33,10,386,36,9.33,33010
33,11,320,49,15.31,33011
33,12,344,41,11.92,33012
33,13,358,53,14.8,33013
33,14,229,33,14.41,33014
33,15,242,48,19.83,33015
33,16,96,30,31.25,33016
33,17,325,41,12.62,33017
33,18,122,24,19.67,33018
33,19,271,53,19.56,33019
33,20,229,39,17.03,33020
33,21,332,57,17.17,33021
33,22,355,45,12.68,33022
33,23,392,68,17.35,33023
33,24,287,45,15.68,33024
33,25,391,61,15.6,33025
33,26,239,37,15.48,33026
33,27,185,31,16.76,33027
33,28,292,58,19.86,33028
33,29,287,51,17.77,33029
33,30,254,54,21.26,33030
33,31,299,65,21.74,33031
33,32,250,43,17.2,33032
33,33,244,50,20.49,33033
33,34,194,39,20.1,33034
34,1,383,6,1.57,34001
34,2,271,9,3.32,34002
34,3,248,12,4.84,34003
34,4,273,8,2.93,34004
34,5,224,5,2.23,34005
34,6,209,5,2.39,34006
34,7,365,6,1.64,34007
34,8,320,10,3.13,34008
34,9,257,7,2.72,34009
34,10,378,11,2.91,34010
34,11,240,5,2.08,34011
34,12,292,6,2.05,34012
34,13,269,10,3.72,34013
34,14,236,6,2.54,34014
34,15,221,3,1.36,34015
34,16,230,4,1.74,34016
34,17,261,5,1.92,34017
34,18,223,3,1.35,34018
34,19,213,10,4.69,34019
34,20,360,8,2.22,34020
34,21,346,6,1.73,34021
34,22,339,10,2.95,34022
34,23,257,9,3.5,34023
34,24,276,3,1.09,34024
34,25,179,3,1.68,34025
34,26,244,8,3.28,34026
34,27,216,6,2.78,34027
34,28,192,6,3.13,34028
34,29,376,7,1.86,34029
34,30,374,9,2.41,34030
34,31,204,5,2.45,34031
34,32,332,5,1.51,34032
34,33,158,3,1.9,34033
34,34,273,5,1.83,34034
34,35,359,8,2.23,34035
34,36,277,7,2.53,34036
34,37,184,1,0.54,34037
34,38,207,5,2.42,34038
34,39,197,5,2.54,34039
34,40,339,4,1.18,34040
34,41,272,10,3.68,34041
34,42,320,10,3.13,34042
34,43,308,3,0.97,34043
34,44,414,8,1.93,34044
34,45,345,4,1.16,34045
34,46,200,3,1.5,34046
34,47,159,2,1.26,34047
34,48,296,3,1.01,34048
34,49,343,4,1.17,34049
34,50,257,5,1.95,34050
34,51,432,9,2.08,34051
34,52,240,5,2.08,34052
34,53,257,5,1.95,34053
34,54,232,8,3.45,34054
34,55,217,5,2.3,34055
34,56,246,4,1.63,34056
34,57,205,2,0.98,34057
34,58,242,9,3.72,34058
34,59,245,2,0.82,34059
34,60,193,4,2.07,34060
34,61,227,5,2.2,34061
34,62,346,5,1.45,34062
34,63,250,6,2.4,34063
34,64,73,1,1.37,34064
34,65,122,2,1.64,34065
34,66,296,7,2.36,34066
34,67,229,8,3.49,34067
34,68,161,3,1.86,34068
34,69,203,5,2.46,34069
34,70,265,8,3.02,34070
