ward,precinct,total,JIM DURKIN,JIM DURKIN Percent,RICHARD J. DURBIN,RICHARD J. DURBIN Percent,STEVEN BURGAUER,STEVEN BURGAUER Percent,precinct_id
9,38,323,9,2.79,310,95.98,4,1.24,09038
9,39,315,5,1.59,307,97.46,3,0.95,09039
9,40,329,13,3.95,313,95.14,3,0.91,09040
9,41,399,16,4.01,378,94.74,5,1.25,09041
9,42,283,17,6.01,264,93.29,2,0.71,09042
9,43,238,13,5.46,221,92.86,4,1.68,09043
9,44,251,8,3.19,239,95.22,4,1.59,09044
9,45,318,15,4.72,300,94.34,3,0.94,09045
9,46,280,11,3.93,268,95.71,1,0.36,09046
9,47,203,14,6.9,186,91.63,3,1.48,09047
9,48,312,9,2.88,298,95.51,5,1.6,09048
9,49,133,10,7.52,123,92.48,0,0.0,09049
9,50,125,4,3.2,119,95.2,2,1.6,09050
9,51,229,8,3.49,220,96.07,1,0.44,09051
9,52,309,11,3.56,294,95.15,4,1.29,09052
9,53,241,13,5.39,226,93.78,2,0.83,09053
9,54,246,10,4.07,234,95.12,2,0.81,09054
9,55,176,11,6.25,164,93.18,1,0.57,09055
9,56,165,5,3.03,159,96.36,1,0.61,09056
9,57,187,40,21.39,140,74.87,7,3.74,09057
9,58,218,6,2.75,211,96.79,1,0.46,09058
10,1,207,20,9.66,179,86.47,8,3.86,10001
10,2,202,47,23.27,151,74.75,4,1.98,10002
10,3,302,93,30.79,201,66.56,8,2.65,10003
10,4,201,19,9.45,180,89.55,2,1.0,10004
10,5,241,57,23.65,181,75.1,3,1.24,10005
10,6,231,10,4.33,217,93.94,4,1.73,10006
10,7,61,3,4.92,56,91.8,2,3.28,10007
10,8,260,66,25.38,192,73.85,2,0.77,10008
10,9,272,90,33.09,178,65.44,4,1.47,10009
10,10,272,80,29.41,191,70.22,1,0.37,10010
10,11,271,61,22.51,203,74.91,7,2.58,10011
10,12,212,53,25.0,157,74.06,2,0.94,10012
10,13,216,44,20.37,169,78.24,3,1.39,10013
10,14,281,77,27.4,200,71.17,4,1.42,10014
10,15,126,40,31.75,85,67.46,1,0.79,10015
10,16,260,75,28.85,184,70.77,1,0.38,10016
10,17,256,73,28.52,180,70.31,3,1.17,10017
10,18,183,21,11.48,159,86.89,3,1.64,10018
10,19,291,75,25.77,211,72.51,5,1.72,10019
10,20,212,51,24.06,153,72.17,8,3.77,10020
10,21,221,64,28.96,153,69.23,4,1.81,10021
10,22,85,22,25.88,63,74.12,0,0.0,10022
10,23,199,29,14.57,168,84.42,2,1.01,10023
10,24,240,82,34.17,155,64.58,3,1.25,10024
10,25,277,27,9.75,244,88.09,6,2.17,10025
10,26,194,41,21.13,149,76.8,4,2.06,10026
10,27,319,82,25.71,227,71.16,10,3.13,10027
10,28,253,20,7.91,231,91.3,2,0.79,10028
10,29,228,17,7.46,206,90.35,5,2.19,10029
10,30,282,38,13.48,241,85.46,3,1.06,10030
10,31,270,61,22.59,204,75.56,5,1.85,10031
10,32,256,68,26.56,183,71.48,5,1.95,10032
10,33,218,43,19.72,172,78.9,3,1.38,10033
10,34,221,36,16.29,180,81.45,5,2.26,10034
10,35,219,31,14.16,181,82.65,7,3.2,10035
10,36,263,17,6.46,246,93.54,0,0.0,10036
10,37,188,7,3.72,177,94.15,4,2.13,10037
10,38,281,89,31.67,186,66.19,6,2.14,10038
10,39,236,52,22.03,179,75.85,5,2.12,10039
10,40,224,18,8.04,206,91.96,0,0.0,10040
10,41,304,94,30.92,206,67.76,4,1.32,10041
10,42,262,77,29.39,182,69.47,3,1.15,10042
10,43,102,7,6.86,93,91.18,2,1.96,10043
10,44,208,27,12.98,172,82.69,9,4.33,10044
10,45,167,36,21.56,126,75.45,5,2.99,10045
10,46,226,46,20.35,176,77.88,4,1.77,10046
10,47,228,57,25.0,170,74.56,1,0.44,10047
10,48,188,12,6.38,173,92.02,3,1.6,10048
10,49,168,10,5.95,155,92.26,3,1.79,10049
11,1,290,66,22.76,223,76.9,1,0.34,11001
11,2,239,35,14.64,198,82.85,6,2.51,11002
11,3,224,35,15.63,186,83.04,3,1.34,11003
11,4,335,54,16.12,278,82.99,3,0.9,11004
11,5,193,19,9.84,167,86.53,7,3.63,11005
11,6,382,72,18.85,297,77.75,13,3.4,11006
11,7,285,52,18.25,229,80.35,4,1.4,11007
11,8,290,51,17.59,232,80.0,7,2.41,11008
11,9,272,43,15.81,228,83.82,1,0.37,11009
11,10,166,23,13.86,139,83.73,4,2.41,11010
11,11,325,67,20.62,257,79.08,1,0.31,11011
11,12,327,57,17.43,267,81.65,3,0.92,11012
11,13,306,49,16.01,255,83.33,2,0.65,11013
11,14,250,48,19.2,200,80.0,2,0.8,11014
11,15,234,40,17.09,191,81.62,3,1.28,11015
11,16,297,47,15.82,246,82.83,4,1.35,11016
11,17,368,69,18.75,289,78.53,10,2.72,11017
11,18,208,33,15.87,167,80.29,8,3.85,11018
11,19,247,40,16.19,204,82.59,3,1.21,11019
11,20,227,19,8.37,206,90.75,2,0.88,11020
11,21,372,58,15.59,303,81.45,11,2.96,11021
11,22,244,35,14.34,205,84.02,4,1.64,11022
11,23,241,29,12.03,206,85.48,6,2.49,11023
11,24,416,49,11.78,365,87.74,2,0.48,11024
11,25,200,23,11.5,174,87.0,3,1.5,11025
11,26,398,50,12.56,337,84.67,11,2.76,11026
11,27,318,63,19.81,253,79.56,2,0.63,11027
11,28,255,34,13.33,218,85.49,3,1.18,11028
11,29,350,48,13.71,292,83.43,10,2.86,11029
11,30,277,50,18.05,220,79.42,7,2.53,11030
11,31,255,47,18.43,206,80.78,2,0.78,11031
11,32,231,34,14.72,194,83.98,3,1.3,11032
11,33,217,30,13.82,186,85.71,1,0.46,11033
11,34,163,33,20.25,128,78.53,2,1.23,11034
11,35,356,48,13.48,303,85.11,5,1.4,11035
11,36,92,7,7.61,85,92.39,0,0.0,11036
11,37,278,51,18.35,227,81.65,0,0.0,11037
11,38,403,70,17.37,331,82.13,2,0.5,11038
11,39,404,46,11.39,357,88.37,1,0.25,11039
11,40,164,24,14.63,139,84.76,1,0.61,11040
11,41,179,17,9.5,158,88.27,4,2.23,11041
11,42,232,22,9.48,205,88.36,5,2.16,11042
11,43,382,66,17.28,312,81.68,4,1.05,11043
11,44,270,58,21.48,205,75.93,7,2.59,11044
11,45,185,34,18.38,146,78.92,5,2.7,11045
11,46,188,11,5.85,175,93.09,2,1.06,11046
11,47,267,47,17.6,215,80.52,5,1.87,11047
11,48,152,32,21.05,119,78.29,1,0.66,11048
11,49,237,44,18.57,191,80.59,2,0.84,11049
11,50,204,29,14.22,173,84.8,2,0.98,11050
12,1,100,8,8.0,89,89.0,3,3.0,12001
12,2,150,25,16.67,123,82.0,2,1.33,12002
12,3,143,20,13.99,120,83.92,3,2.1,12003
12,4,130,21,16.15,109,83.85,0,0.0,12004
12,5,169,31,18.34,134,79.29,4,2.37,12005
12,6,109,12,11.01,96,88.07,1,0.92,12006
12,7,63,9,14.29,52,82.54,2,3.17,12007
12,8,287,58,20.21,221,77.0,8,2.79,12008
12,9,107,18,16.82,88,82.24,1,0.93,12009
12,10,90,13,14.44,73,81.11,4,4.44,12010
12,11,139,16,11.51,118,84.89,5,3.6,12011
12,12,112,27,24.11,83,74.11,2,1.79,12012
12,13,132,34,25.76,97,73.48,1,0.76,12013
12,14,116,14,12.07,101,87.07,1,0.86,12014
12,15,134,15,11.19,115,85.82,4,2.99,12015
12,16,147,23,15.65,119,80.95,5,3.4,12016
12,17,110,17,15.45,90,81.82,3,2.73,12017
12,18,152,17,11.18,134,88.16,1,0.66,12018
12,19,145,25,17.24,117,80.69,3,2.07,12019
12,20,173,34,19.65,136,78.61,3,1.73,12020
12,21,193,41,21.24,150,77.72,2,1.04,12021
12,22,110,16,14.55,90,81.82,4,3.64,12022
12,23,116,26,22.41,89,76.72,1,0.86,12023
12,24,208,30,14.42,172,82.69,6,2.88,12024
12,25,140,26,18.57,113,80.71,1,0.71,12025
12,26,151,28,18.54,119,78.81,4,2.65,12026
12,27,103,26,25.24,74,71.84,3,2.91,12027
12,28,170,41,24.12,124,72.94,5,2.94,12028
12,29,175,28,16.0,143,81.71,4,2.29,12029
13,1,317,84,26.5,224,70.66,9,2.84,13001
13,2,261,64,24.52,193,73.95,4,1.53,13002
13,3,331,66,19.94,258,77.95,7,2.11,13003
13,4,462,112,24.24,343,74.24,7,1.52,13004
13,5,268,44,16.42,221,82.46,3,1.12,13005
13,6,290,69,23.79,220,75.86,1,0.34,13006
13,7,317,59,18.61,255,80.44,3,0.95,13007
13,8,353,77,21.81,273,77.34,3,0.85,13008
13,9,308,61,19.81,247,80.19,0,0.0,13009
13,10,288,77,26.74,208,72.22,3,1.04,13010
13,11,283,47,16.61,232,81.98,4,1.41,13011
13,12,322,66,20.5,250,77.64,6,1.86,13012
13,13,360,59,16.39,297,82.5,4,1.11,13013
13,14,262,57,21.76,204,77.86,1,0.38,13014
13,15,310,68,21.94,235,75.81,7,2.26,13015
13,16,255,53,20.78,201,78.82,1,0.39,13016
13,17,337,79,23.44,257,76.26,1,0.3,13017
13,18,280,39,13.93,236,84.29,5,1.79,13018
13,19,246,39,15.85,201,81.71,6,2.44,13019
13,20,291,53,18.21,234,80.41,4,1.37,13020
13,21,210,52,24.76,157,74.76,1,0.48,13021
13,22,332,50,15.06,281,84.64,1,0.3,13022
13,23,243,47,19.34,190,78.19,6,2.47,13023
13,24,339,64,18.88,274,80.83,1,0.29,13024
13,25,260,54,20.77,200,76.92,6,2.31,13025
13,26,216,46,21.3,168,77.78,2,0.93,13026
13,27,370,85,22.97,276,74.59,9,2.43,13027
13,28,240,38,15.83,201,83.75,1,0.42,13028
13,29,315,71,22.54,243,77.14,1,0.32,13029
13,30,276,44,15.94,230,83.33,2,0.72,13030
13,31,298,37,12.42,257,86.24,4,1.34,13031
13,32,293,35,11.95,255,87.03,3,1.02,13032
13,33,288,41,14.24,241,83.68,6,2.08,13033
13,34,282,62,21.99,218,77.3,2,0.71,13034
13,35,353,71,20.11,280,79.32,2,0.57,13035
13,36,196,42,21.43,150,76.53,4,2.04,13036
13,37,232,45,19.4,184,79.31,3,1.29,13037
13,38,342,100,29.24,239,69.88,3,0.88,13038
13,39,297,56,18.86,235,79.12,6,2.02,13039
13,40,270,40,14.81,229,84.81,1,0.37,13040
13,41,251,31,12.35,218,86.85,2,0.8,13041
13,42,375,86,22.93,285,76.0,4,1.07,13042
13,43,250,37,14.8,212,84.8,1,0.4,13043
13,44,371,36,9.7,334,90.03,1,0.27,13044
13,45,425,88,20.71,330,77.65,7,1.65,13045
13,46,285,39,13.68,244,85.61,2,0.7,13046
13,47,332,57,17.17,271,81.63,4,1.2,13047
13,48,291,57,19.59,231,79.38,3,1.03,13048
13,49,360,63,17.5,292,81.11,5,1.39,13049
13,50,367,50,13.62,317,86.38,0,0.0,13050
13,51,260,56,21.54,201,77.31,3,1.15,13051
13,52,365,71,19.45,289,79.18,5,1.37,13052
13,53,388,83,21.39,300,77.32,5,1.29,13053
13,54,317,51,16.09,262,82.65,4,1.26,13054
14,1,171,30,17.54,139,81.29,2,1.17,14001
14,2,197,40,20.3,152,77.16,5,2.54,14002
14,3,289,36,12.46,249,86.16,4,1.38,14003
14,4,183,30,16.39,152,83.06,1,0.55,14004
14,5,269,30,11.15,236,87.73,3,1.12,14005
14,6,175,30,17.14,142,81.14,3,1.71,14006
14,7,219,41,18.72,173,79.0,5,2.28,14007
14,8,131,26,19.85,104,79.39,1,0.76,14008
14,9,237,33,13.92,201,84.81,3,1.27,14009
14,10,203,48,23.65,151,74.38,4,1.97,14010
14,11,189,18,9.52,171,90.48,0,0.0,14011
14,12,160,22,13.75,138,86.25,0,0.0,14012
14,13,264,60,22.73,199,75.38,5,1.89,14013
14,14,154,18,11.69,136,88.31,0,0.0,14014
14,15,263,26,9.89,235,89.35,2,0.76,14015
14,16,241,49,20.33,190,78.84,2,0.83,14016
14,17,278,32,11.51,244,87.77,2,0.72,14017
14,18,204,42,20.59,161,78.92,1,0.49,14018
14,19,292,37,12.67,251,85.96,4,1.37,14019
14,20,197,37,18.78,159,80.71,1,0.51,14020
14,21,234,22,9.4,204,87.18,8,3.42,14021
14,22,247,37,14.98,208,84.21,2,0.81,14022
14,23,166,22,13.25,144,86.75,0,0.0,14023
14,24,152,16,10.53,133,87.5,3,1.97,14024
14,25,226,51,22.57,169,74.78,6,2.65,14025
14,26,144,25,17.36,117,81.25,2,1.39,14026
14,27,153,34,22.22,117,76.47,2,1.31,14027
14,28,235,43,18.3,190,80.85,2,0.85,14028
14,29,247,31,12.55,212,85.83,4,1.62,14029
14,30,184,41,22.28,141,76.63,2,1.09,14030
14,31,206,23,11.17,181,87.86,2,0.97,14031
14,32,173,22,12.72,148,85.55,3,1.73,14032
14,33,163,17,10.43,143,87.73,3,1.84,14033
14,34,181,15,8.29,162,89.5,4,2.21,14034
14,35,116,32,27.59,83,71.55,1,0.86,14035
14,36,263,47,17.87,210,79.85,6,2.28,14036
14,37,198,20,10.1,177,89.39,1,0.51,14037
15,1,139,22,15.83,115,82.73,2,1.44,15001
15,2,198,6,3.03,192,96.97,0,0.0,15002
15,3,220,8,3.64,208,94.55,4,1.82,15003
15,4,202,5,2.48,194,96.04,3,1.49,15004
15,5,211,6,2.84,201,95.26,4,1.9,15005
15,6,185,27,14.59,155,83.78,3,1.62,15006
15,7,199,13,6.53,184,92.46,2,1.01,15007
15,8,271,11,4.06,259,95.57,1,0.37,15008
15,9,225,19,8.44,204,90.67,2,0.89,15009
15,10,186,48,25.81,133,71.51,5,2.69,15010
15,11,198,14,7.07,184,92.93,0,0.0,15011
15,12,130,4,3.08,125,96.15,1,0.77,15012
15,13,138,8,5.8,129,93.48,1,0.72,15013
15,14,234,33,14.1,193,82.48,8,3.42,15014
15,15,266,22,8.27,242,90.98,2,0.75,15015
15,16,168,33,19.64,131,77.98,4,2.38,15016
15,17,217,6,2.76,209,96.31,2,0.92,15017
15,18,171,9,5.26,157,91.81,5,2.92,15018
15,19,196,9,4.59,186,94.9,1,0.51,15019
15,20,196,7,3.57,188,95.92,1,0.51,15020
15,21,211,5,2.37,203,96.21,3,1.42,15021
15,22,224,5,2.23,214,95.54,5,2.23,15022
15,23,174,6,3.45,165,94.83,3,1.72,15023
15,24,189,13,6.88,174,92.06,2,1.06,15024
15,25,204,15,7.35,186,91.18,3,1.47,15025
15,26,175,7,4.0,167,95.43,1,0.57,15026
15,27,151,10,6.62,138,91.39,3,1.99,15027
15,28,244,35,14.34,206,84.43,3,1.23,15028
15,29,103,5,4.85,96,93.2,2,1.94,15029
15,30,229,11,4.8,214,93.45,4,1.75,15030
15,31,157,7,4.46,149,94.9,1,0.64,15031
15,32,231,15,6.49,213,92.21,3,1.3,15032
15,33,176,16,9.09,159,90.34,1,0.57,15033
15,34,169,7,4.14,158,93.49,4,2.37,15034
15,35,201,11,5.47,187,93.03,3,1.49,15035
15,36,166,6,3.61,157,94.58,3,1.81,15036
15,37,189,3,1.59,184,97.35,2,1.06,15037
15,38,170,7,4.12,162,95.29,1,0.59,15038
15,39,216,4,1.85,210,97.22,2,0.93,15039
15,40,199,7,3.52,186,93.47,6,3.02,15040
15,41,277,24,8.66,251,90.61,2,0.72,15041
15,42,129,4,3.1,125,96.9,0,0.0,15042
15,43,188,8,4.26,180,95.74,0,0.0,15043
15,44,194,22,11.34,169,87.11,3,1.55,15044
15,45,84,5,5.95,79,94.05,0,0.0,15045
15,46,195,9,4.62,181,92.82,5,2.56,15046
15,47,221,4,1.81,215,97.29,2,0.9,15047
15,48,162,7,4.32,155,95.68,0,0.0,15048
15,49,150,12,8.0,136,90.67,2,1.33,15049
15,50,189,8,4.23,179,94.71,2,1.06,15050
15,51,161,8,4.97,151,93.79,2,1.24,15051
15,52,130,9,6.92,119,91.54,2,1.54,15052
16,1,118,7,5.93,109,92.37,2,1.69,16001
16,2,157,11,7.01,143,91.08,3,1.91,16002
16,3,223,8,3.59,211,94.62,4,1.79,16003
16,4,173,9,5.2,163,94.22,1,0.58,16004
16,5,221,7,3.17,211,95.48,3,1.36,16005
16,6,82,4,4.88,77,93.9,1,1.22,16006
16,7,197,9,4.57,181,91.88,7,3.55,16007
16,8,165,5,3.03,160,96.97,0,0.0,16008
16,9,275,14,5.09,256,93.09,5,1.82,16009
16,10,156,5,3.21,150,96.15,1,0.64,16010
16,11,253,10,3.95,237,93.68,6,2.37,16011
16,12,156,9,5.77,147,94.23,0,0.0,16012
16,13,163,21,12.88,138,84.66,4,2.45,16013
16,14,218,10,4.59,206,94.5,2,0.92,16014
16,15,238,17,7.14,219,92.02,2,0.84,16015
16,16,196,3,1.53,191,97.45,2,1.02,16016
16,17,285,59,20.7,217,76.14,9,3.16,16017
16,18,185,10,5.41,172,92.97,3,1.62,16018
16,19,154,6,3.9,146,94.81,2,1.3,16019
16,20,211,6,2.84,204,96.68,1,0.47,16020
16,21,195,32,16.41,162,83.08,1,0.51,16021
16,22,155,7,4.52,146,94.19,2,1.29,16022
16,23,205,33,16.1,167,81.46,5,2.44,16023
16,24,125,4,3.2,118,94.4,3,2.4,16024
16,25,165,10,6.06,154,93.33,1,0.61,16025
16,26,224,15,6.7,207,92.41,2,0.89,16026
16,27,212,11,5.19,199,93.87,2,0.94,16027
16,28,256,6,2.34,246,96.09,4,1.56,16028
16,29,101,6,5.94,94,93.07,1,0.99,16029
16,30,145,5,3.45,139,95.86,1,0.69,16030
16,31,239,15,6.28,223,93.31,1,0.42,16031
16,32,174,26,14.94,145,83.33,3,1.72,16032
16,33,200,7,3.5,192,96.0,1,0.5,16033
16,34,176,7,3.98,169,96.02,0,0.0,16034
16,35,176,21,11.93,151,85.8,4,2.27,16035
16,36,216,6,2.78,209,96.76,1,0.46,16036
16,37,171,4,2.34,166,97.08,1,0.58,16037
16,38,189,10,5.29,179,94.71,0,0.0,16038
16,39,106,21,19.81,83,78.3,2,1.89,16039
16,40,249,17,6.83,227,91.16,5,2.01,16040
16,41,89,4,4.49,84,94.38,1,1.12,16041
16,42,134,16,11.94,114,85.07,4,2.99,16042
16,43,234,8,3.42,223,95.3,3,1.28,16043
16,44,204,11,5.39,188,92.16,5,2.45,16044
16,45,132,3,2.27,129,97.73,0,0.0,16045
16,46,83,3,3.61,80,96.39,0,0.0,16046
16,47,88,6,6.82,82,93.18,0,0.0,16047
17,1,159,6,3.77,153,96.23,0,0.0,17001
17,2,229,10,4.37,218,95.2,1,0.44,17002
17,3,212,10,4.72,201,94.81,1,0.47,17003
17,4,359,16,4.46,341,94.99,2,0.56,17004
17,5,242,9,3.72,231,95.45,2,0.83,17005
17,6,191,7,3.66,180,94.24,4,2.09,17006
17,7,288,12,4.17,273,94.79,3,1.04,17007
17,8,156,5,3.21,149,95.51,2,1.28,17008
17,9,173,8,4.62,164,94.8,1,0.58,17009
17,10,279,14,5.02,259,92.83,6,2.15,17010
17,11,260,7,2.69,251,96.54,2,0.77,17011
17,12,274,12,4.38,259,94.53,3,1.09,17012
17,13,168,7,4.17,159,94.64,2,1.19,17013
17,14,240,14,5.83,218,90.83,8,3.33,17014
17,15,202,8,3.96,194,96.04,0,0.0,17015
17,16,233,7,3.0,224,96.14,2,0.86,17016
17,17,194,11,5.67,182,93.81,1,0.52,17017
17,18,256,13,5.08,235,91.8,8,3.13,17018
17,19,104,6,5.77,97,93.27,1,0.96,17019
17,20,226,10,4.42,214,94.69,2,0.88,17020
17,21,324,10,3.09,313,96.6,1,0.31,17021
17,22,266,13,4.89,252,94.74,1,0.38,17022
17,23,183,4,2.19,178,97.27,1,0.55,17023
17,24,253,18,7.11,232,91.7,3,1.19,17024
17,25,153,8,5.23,145,94.77,0,0.0,17025
17,26,300,12,4.0,287,95.67,1,0.33,17026
17,27,302,17,5.63,282,93.38,3,0.99,17027
17,28,232,14,6.03,215,92.67,3,1.29,17028
17,29,281,17,6.05,264,93.95,0,0.0,17029
17,30,285,12,4.21,270,94.74,3,1.05,17030
17,31,255,9,3.53,241,94.51,5,1.96,17031
17,32,276,9,3.26,265,96.01,2,0.72,17032
17,33,197,5,2.54,190,96.45,2,1.02,17033
17,34,215,7,3.26,206,95.81,2,0.93,17034
17,35,153,5,3.27,145,94.77,3,1.96,17035
17,36,153,6,3.92,145,94.77,2,1.31,17036
17,37,233,9,3.86,223,95.71,1,0.43,17037
17,38,240,11,4.58,225,93.75,4,1.67,17038
17,39,191,12,6.28,176,92.15,3,1.57,17039
17,40,177,11,6.21,165,93.22,1,0.56,17040
17,41,204,12,5.88,192,94.12,0,0.0,17041
17,42,214,10,4.67,203,94.86,1,0.47,17042
17,43,223,11,4.93,211,94.62,1,0.45,17043
17,44,209,5,2.39,198,94.74,6,2.87,17044
17,45,157,15,9.55,142,90.45,0,0.0,17045
17,46,243,7,2.88,232,95.47,4,1.65,17046
17,47,140,7,5.0,130,92.86,3,2.14,17047
17,48,229,7,3.06,221,96.51,1,0.44,17048
17,49,201,8,3.98,190,94.53,3,1.49,17049
17,50,197,10,5.08,185,93.91,2,1.02,17050
17,51,271,14,5.17,254,93.73,3,1.11,17051
17,52,330,16,4.85,311,94.24,3,0.91,17052
17,53,242,15,6.2,226,93.39,1,0.41,17053
17,54,273,6,2.2,265,97.07,2,0.73,17054
17,55,213,8,3.76,204,95.77,1,0.47,17055
17,56,241,6,2.49,233,96.68,2,0.83,17056
17,57,277,10,3.61,264,95.31,3,1.08,17057
17,58,229,10,4.37,215,93.89,4,1.75,17058
17,59,154,11,7.14,141,91.56,2,1.3,17059
17,60,314,10,3.18,299,95.22,5,1.59,17060
17,61,220,5,2.27,214,97.27,1,0.45,17061
17,62,200,5,2.5,192,96.0,3,1.5,17062
17,63,198,9,4.55,187,94.44,2,1.01,17063
17,64,169,3,1.78,164,97.04,2,1.18,17064
18,1,169,17,10.06,152,89.94,0,0.0,18001
18,2,289,38,13.15,248,85.81,3,1.04,18002
18,3,285,108,37.89,174,61.05,3,1.05,18003
18,4,311,22,7.07,286,91.96,3,0.96,18004
18,5,287,9,3.14,275,95.82,3,1.05,18005
18,6,289,100,34.6,184,63.67,5,1.73,18006
18,7,262,40,15.27,220,83.97,2,0.76,18007
18,8,118,12,10.17,104,88.14,2,1.69,18008
18,9,317,42,13.25,272,85.8,3,0.95,18009
18,10,401,36,8.98,358,89.28,7,1.75,18010
18,11,295,57,19.32,231,78.31,7,2.37,18011
18,12,372,48,12.9,323,86.83,1,0.27,18012
18,13,305,34,11.15,270,88.52,1,0.33,18013
18,14,346,24,6.94,320,92.49,2,0.58,18014
18,15,189,43,22.75,142,75.13,4,2.12,18015
18,16,288,20,6.94,265,92.01,3,1.04,18016
18,17,252,32,12.7,216,85.71,4,1.59,18017
18,18,313,18,5.75,293,93.61,2,0.64,18018
18,19,221,4,1.81,213,96.38,4,1.81,18019
18,20,269,11,4.09,251,93.31,7,2.6,18020
18,21,394,34,8.63,356,90.36,4,1.02,18021
18,22,327,19,5.81,308,94.19,0,0.0,18022
18,23,263,26,9.89,236,89.73,1,0.38,18023
18,24,325,13,4.0,310,95.38,2,0.62,18024
18,25,305,11,3.61,293,96.07,1,0.33,18025
18,26,242,16,6.61,223,92.15,3,1.24,18026
18,27,296,30,10.14,263,88.85,3,1.01,18027
18,28,353,125,35.41,222,62.89,6,1.7,18028
18,29,322,65,20.19,250,77.64,7,2.17,18029
18,30,258,5,1.94,253,98.06,0,0.0,18030
18,31,263,23,8.75,237,90.11,3,1.14,18031
18,32,331,12,3.63,317,95.77,2,0.6,18032
18,33,225,9,4.0,214,95.11,2,0.89,18033
18,34,369,42,11.38,326,88.35,1,0.27,18034
18,35,357,35,9.8,319,89.36,3,0.84,18035
18,36,236,33,13.98,199,84.32,4,1.69,18036
18,37,211,22,10.43,185,87.68,4,1.9,18037
18,38,356,9,2.53,343,96.35,4,1.12,18038
18,39,229,11,4.8,217,94.76,1,0.44,18039
18,40,349,30,8.6,315,90.26,4,1.15,18040
18,41,347,115,33.14,230,66.28,2,0.58,18041
18,42,238,34,14.29,202,84.87,2,0.84,18042
18,43,254,37,14.57,214,84.25,3,1.18,18043
18,44,191,22,11.52,166,86.91,3,1.57,18044
18,45,298,7,2.35,288,96.64,3,1.01,18045
18,46,242,7,2.89,233,96.28,2,0.83,18046
18,47,273,21,7.69,250,91.58,2,0.73,18047
18,48,234,70,29.91,163,69.66,1,0.43,18048
18,49,210,17,8.1,190,90.48,3,1.43,18049
18,50,293,18,6.14,274,93.52,1,0.34,18050
18,51,178,10,5.62,167,93.82,1,0.56,18051
18,52,252,5,1.98,247,98.02,0,0.0,18052
18,53,239,7,2.93,231,96.65,1,0.42,18053
18,54,295,12,4.07,280,94.92,3,1.02,18054
18,55,362,131,36.19,226,62.43,5,1.38,18055
18,56,281,40,14.23,237,84.34,4,1.42,18056
18,57,239,24,10.04,206,86.19,9,3.77,18057
18,58,276,11,3.99,265,96.01,0,0.0,18058
18,59,194,7,3.61,184,94.85,3,1.55,18059
18,60,328,5,1.52,320,97.56,3,0.91,18060
18,61,283,20,7.07,263,92.93,0,0.0,18061
18,62,209,5,2.39,203,97.13,1,0.48,18062
18,63,275,7,2.55,263,95.64,5,1.82,18063
18,64,241,34,14.11,205,85.06,2,0.83,18064
19,1,415,144,34.7,267,64.34,4,0.96,19001
19,2,337,73,21.66,259,76.85,5,1.48,19002
19,3,381,165,43.31,213,55.91,3,0.79,19003
19,4,365,130,35.62,232,63.56,3,0.82,19004
19,5,356,64,17.98,283,79.49,9,2.53,19005
19,6,381,119,31.23,259,67.98,3,0.79,19006
19,7,356,90,25.28,262,73.6,4,1.12,19007
19,8,310,95,30.65,211,68.06,4,1.29,19008
19,9,291,118,40.55,171,58.76,2,0.69,19009
19,10,470,118,25.11,347,73.83,5,1.06,19010
19,11,413,166,40.19,243,58.84,4,0.97,19011
19,12,375,151,40.27,220,58.67,4,1.07,19012
19,13,295,23,7.8,271,91.86,1,0.34,19013
19,14,262,84,32.06,174,66.41,4,1.53,19014
19,15,224,81,36.16,139,62.05,4,1.79,19015
19,16,462,148,32.03,312,67.53,2,0.43,19016
19,17,379,118,31.13,259,68.34,2,0.53,19017
19,18,464,149,32.11,311,67.03,4,0.86,19018
19,19,402,106,26.37,291,72.39,5,1.24,19019
19,20,307,53,17.26,248,80.78,6,1.95,19020
19,21,318,85,26.73,231,72.64,2,0.63,19021
19,22,436,144,33.03,290,66.51,2,0.46,19022
19,23,445,150,33.71,292,65.62,3,0.67,19023
19,24,308,112,36.36,195,63.31,1,0.32,19024
19,25,440,148,33.64,284,64.55,8,1.82,19025
19,26,432,148,34.26,283,65.51,1,0.23,19026
19,27,245,37,15.1,206,84.08,2,0.82,19027
19,28,433,39,9.01,388,89.61,6,1.39,19028
19,29,337,113,33.53,222,65.88,2,0.59,19029
19,30,370,139,37.57,230,62.16,1,0.27,19030
19,31,361,129,35.73,226,62.6,6,1.66,19031
19,32,449,139,30.96,304,67.71,6,1.34,19032
19,33,443,171,38.6,266,60.05,6,1.35,19033
19,34,396,99,25.0,288,72.73,9,2.27,19034
19,35,346,76,21.97,266,76.88,4,1.16,19035
19,36,417,78,18.71,333,79.86,6,1.44,19036
19,37,342,53,15.5,282,82.46,7,2.05,19037
19,38,449,70,15.59,375,83.52,4,0.89,19038
19,39,233,16,6.87,215,92.27,2,0.86,19039
19,40,353,85,24.08,261,73.94,7,1.98,19040
19,41,418,157,37.56,257,61.48,4,0.96,19041
19,42,294,60,20.41,231,78.57,3,1.02,19042
19,43,370,23,6.22,344,92.97,3,0.81,19043
19,44,346,121,34.97,224,64.74,1,0.29,19044
19,45,439,155,35.31,281,64.01,3,0.68,19045
19,46,491,178,36.25,310,63.14,3,0.61,19046
19,47,262,48,18.32,213,81.3,1,0.38,19047
19,48,281,7,2.49,272,96.8,2,0.71,19048
