ward,precinct,total,Jeremy Rose (Romney),Jeremy Rose (Romney) Percent,Branden J Ozga (Romney),Branden J Ozga (Romney) Percent,Joann Finger (McCain),Joann Finger (McCain) Percent,Will Callard (McCain),Will Callard (McCain) Percent,Nickolas John Herringshaw (Paul),Nickolas John Herringshaw (Paul) Percent,Susan Radzinowicz (Thompson),Susan Radzinowicz (Thompson) Percent,Robert Sargus (Thompson),Robert Sargus (Thompson) Percent,Kevin Hacker (Giuliani),Kevin Hacker (Giuliani) Percent,Robert R. Rodman IV (Giuliani),Robert R. Rodman IV (Giuliani) Percent,precinct_id
39,46,22,4,18.18,3,13.64,6,27.27,6,27.27,0,0.0,2,9.09,0,0.0,0,0.0,0,0.0,39046
39,47,30,4,13.33,6,20.0,8,26.67,6,20.0,0,0.0,1,3.33,1,3.33,2,6.67,1,3.33,39047
40,1,28,4,14.29,2,7.14,8,28.57,9,32.14,3,10.71,1,3.57,0,0.0,0,0.0,0,0.0,40001
40,2,26,4,15.38,2,7.69,4,15.38,5,19.23,2,7.69,0,0.0,1,3.85,3,11.54,3,11.54,40002
40,5,27,3,11.11,1,3.7,12,44.44,9,33.33,1,3.7,0,0.0,0,0.0,1,3.7,0,0.0,40005
40,6,30,4,13.33,5,16.67,5,16.67,4,13.33,5,16.67,1,3.33,1,3.33,0,0.0,0,0.0,40006
40,10,39,7,17.95,5,12.82,9,23.08,10,25.64,4,10.26,0,0.0,0,0.0,1,2.56,0,0.0,40010
40,14,46,7,15.22,5,10.87,15,32.61,9,19.57,4,8.7,1,2.17,0,0.0,1,2.17,0,0.0,40014
40,15,22,3,13.64,2,9.09,7,31.82,8,36.36,0,0.0,1,4.55,1,4.55,0,0.0,0,0.0,40015
40,17,13,1,7.69,0,0.0,6,46.15,6,46.15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,40017
40,19,45,7,15.56,8,17.78,11,24.44,9,20.0,3,6.67,3,6.67,3,6.67,0,0.0,0,0.0,40019
40,20,34,7,20.59,7,20.59,8,23.53,8,23.53,0,0.0,1,2.94,0,0.0,1,2.94,2,5.88,40020
40,21,32,0,0.0,1,3.13,14,43.75,12,37.5,2,6.25,0,0.0,0,0.0,1,3.13,0,0.0,40021
40,23,35,7,20.0,5,14.29,9,25.71,8,22.86,0,0.0,1,2.86,1,2.86,1,2.86,3,8.57,40023
40,24,28,3,10.71,3,10.71,10,35.71,7,25.0,1,3.57,0,0.0,0,0.0,2,7.14,1,3.57,40024
40,25,28,3,10.71,3,10.71,9,32.14,8,28.57,1,3.57,1,3.57,1,3.57,1,3.57,0,0.0,40025
40,29,41,7,17.07,8,19.51,10,24.39,10,24.39,1,2.44,1,2.44,0,0.0,1,2.44,1,2.44,40029
40,30,30,7,23.33,6,20.0,6,20.0,5,16.67,3,10.0,0,0.0,0,0.0,1,3.33,0,0.0,40030
40,31,38,1,2.63,1,2.63,17,44.74,15,39.47,3,7.89,0,0.0,0,0.0,0,0.0,0,0.0,40031
40,32,32,7,21.88,6,18.75,6,18.75,5,15.63,2,6.25,1,3.13,0,0.0,0,0.0,3,9.38,40032
40,34,24,1,4.17,1,4.17,9,37.5,8,33.33,1,4.17,0,0.0,0,0.0,1,4.17,2,8.33,40034
40,36,42,8,19.05,8,19.05,10,23.81,11,26.19,1,2.38,0,0.0,1,2.38,1,2.38,1,2.38,40036
40,38,12,2,16.67,1,8.33,4,33.33,3,25.0,0,0.0,1,8.33,0,0.0,1,8.33,0,0.0,40038
40,40,33,8,24.24,7,21.21,7,21.21,8,24.24,1,3.03,0,0.0,0,0.0,1,3.03,0,0.0,40040
40,41,2,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,40041
40,44,33,5,15.15,5,15.15,9,27.27,8,24.24,1,3.03,2,6.06,2,6.06,1,3.03,0,0.0,40044
40,45,73,7,9.59,7,9.59,23,31.51,21,28.77,3,4.11,3,4.11,2,2.74,2,2.74,2,2.74,40045
40,48,38,10,26.32,10,26.32,9,23.68,7,18.42,0,0.0,0,0.0,1,2.63,0,0.0,0,0.0,40048
40,49,38,5,13.16,2,5.26,15,39.47,14,36.84,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,40049
41,3,84,14,16.67,13,15.48,21,25.0,21,25.0,5,5.95,1,1.19,1,1.19,2,2.38,3,3.57,41003
41,6,95,19,20.0,18,18.95,26,27.37,24,25.26,3,3.16,0,0.0,1,1.05,2,2.11,0,0.0,41006
41,9,110,12,10.91,12,10.91,42,38.18,38,34.55,1,0.91,1,0.91,1,0.91,1,0.91,1,0.91,41009
41,10,54,10,18.52,9,16.67,14,25.93,13,24.07,1,1.85,0,0.0,0,0.0,2,3.7,2,3.7,41010
41,12,85,12,14.12,12,14.12,28,32.94,25,29.41,4,4.71,1,1.18,0,0.0,0,0.0,1,1.18,41012
41,14,95,19,20.0,18,18.95,27,28.42,26,27.37,2,2.11,1,1.05,0,0.0,0,0.0,0,0.0,41014
41,16,90,15,16.67,13,14.44,23,25.56,21,23.33,4,4.44,2,2.22,0,0.0,3,3.33,4,4.44,41016
41,19,108,15,13.89,13,12.04,35,32.41,35,32.41,3,2.78,2,1.85,1,0.93,1,0.93,1,0.93,41019
41,21,146,28,19.18,25,17.12,33,22.6,32,21.92,8,5.48,0,0.0,0,0.0,5,3.42,5,3.42,41021
41,22,109,15,13.76,14,12.84,33,30.28,36,33.03,3,2.75,0,0.0,1,0.92,1,0.92,2,1.83,41022
41,23,102,15,14.71,12,11.76,32,31.37,25,24.51,4,3.92,4,3.92,3,2.94,2,1.96,2,1.96,41023
41,24,92,18,19.57,16,17.39,26,28.26,20,21.74,3,3.26,3,3.26,0,0.0,2,2.17,2,2.17,41024
41,30,82,10,12.2,8,9.76,30,36.59,23,28.05,3,3.66,0,0.0,1,1.22,2,2.44,2,2.44,41030
41,35,136,18,13.24,17,12.5,42,30.88,41,30.15,3,2.21,3,2.21,3,2.21,3,2.21,1,0.74,41035
41,38,121,16,13.22,16,13.22,36,29.75,34,28.1,6,4.96,2,1.65,0,0.0,2,1.65,2,1.65,41038
41,39,54,14,25.93,13,24.07,12,22.22,10,18.52,2,3.7,0,0.0,0,0.0,0,0.0,0,0.0,41039
41,44,128,25,19.53,25,19.53,30,23.44,26,20.31,4,3.13,6,4.69,1,0.78,4,3.13,5,3.91,41044
41,46,87,11,12.64,8,9.2,25,28.74,25,28.74,2,2.3,4,4.6,4,4.6,3,3.45,2,2.3,41046
