ward,precinct,total,John Harty (McCain),John Harty (McCain) Percent,Nick Peric (McCain),Nick Peric (McCain) Percent,Michael B. DiBartolo (Romney),Michael B. DiBartolo (Romney) Percent,Robert S. Giurato (Romney),Robert S. Giurato (Romney) Percent,Curtis D. Barrett (Paul),Curtis D. Barrett (Paul) Percent,Reuben W. Perelman (Paul),Reuben W. Perelman (Paul) Percent,Joseph Hedrick (Thompson),Joseph Hedrick (Thompson) Percent,Brennan B. Miller III (Thompson),Brennan B. Miller III (Thompson) Percent,Carla Brookman (Giuliani),Carla Brookman (Giuliani) Percent,Anton Valukas (Giuliani),Anton Valukas (Giuliani) Percent,Steven T. Janes (Huckabee),Steven T. Janes (Huckabee) Percent,Paul Sherwood (Huckabee),Paul Sherwood (Huckabee) Percent,precinct_id
48,35,23,6,26.09,6,26.09,2,8.7,0,0.0,4,17.39,3,13.04,2,8.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,48035
48,36,35,8,22.86,8,22.86,4,11.43,4,11.43,3,8.57,2,5.71,0,0.0,0,0.0,0,0.0,1,2.86,2,5.71,3,8.57,48036
48,37,36,7,19.44,7,19.44,5,13.89,4,11.11,2,5.56,1,2.78,1,2.78,0,0.0,2,5.56,1,2.78,3,8.33,3,8.33,48037
48,38,40,10,25.0,9,22.5,3,7.5,3,7.5,5,12.5,5,12.5,0,0.0,1,2.5,0,0.0,0,0.0,2,5.0,2,5.0,48038
48,39,51,13,25.49,14,27.45,7,13.73,6,11.76,2,3.92,1,1.96,0,0.0,1,1.96,0,0.0,0,0.0,4,7.84,3,5.88,48039
48,40,17,7,41.18,7,41.18,1,5.88,2,11.76,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,48040
48,41,27,10,37.04,9,33.33,2,7.41,2,7.41,0,0.0,0,0.0,0,0.0,0,0.0,1,3.7,1,3.7,1,3.7,1,3.7,48041
48,42,20,4,20.0,4,20.0,4,20.0,3,15.0,2,10.0,2,10.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.0,0,0.0,48042
48,43,30,7,23.33,6,20.0,6,20.0,4,13.33,1,3.33,1,3.33,0,0.0,1,3.33,1,3.33,1,3.33,0,0.0,2,6.67,48043
48,44,30,7,23.33,8,26.67,5,16.67,2,6.67,1,3.33,1,3.33,0,0.0,0,0.0,1,3.33,0,0.0,2,6.67,3,10.0,48044
48,45,26,6,23.08,7,26.92,3,11.54,3,11.54,0,0.0,0,0.0,1,3.85,0,0.0,0,0.0,0,0.0,4,15.38,2,7.69,48045
48,46,38,9,23.68,8,21.05,4,10.53,5,13.16,2,5.26,2,5.26,1,2.63,0,0.0,0,0.0,0,0.0,3,7.89,4,10.53,48046
48,47,26,7,26.92,7,26.92,3,11.54,3,11.54,2,7.69,2,7.69,0,0.0,1,3.85,0,0.0,0,0.0,1,3.85,0,0.0,48047
48,48,50,10,20.0,7,14.0,12,24.0,10,20.0,3,6.0,1,2.0,0,0.0,0,0.0,0,0.0,0,0.0,4,8.0,3,6.0,48048
48,49,7,2,28.57,2,28.57,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,1,14.29,0,0.0,1,14.29,0,0.0,0,0.0,48049
48,50,51,12,23.53,9,17.65,6,11.76,6,11.76,3,5.88,2,3.92,2,3.92,1,1.96,1,1.96,1,1.96,2,3.92,6,11.76,48050
48,51,54,16,29.63,14,25.93,6,11.11,6,11.11,3,5.56,3,5.56,0,0.0,0,0.0,0,0.0,1,1.85,3,5.56,2,3.7,48051
48,52,21,7,33.33,6,28.57,2,9.52,3,14.29,0,0.0,0,0.0,2,9.52,0,0.0,0,0.0,0,0.0,0,0.0,1,4.76,48052
48,53,23,8,34.78,7,30.43,4,17.39,3,13.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.35,0,0.0,48053
48,54,26,7,26.92,6,23.08,2,7.69,2,7.69,2,7.69,2,7.69,0,0.0,0,0.0,3,11.54,1,3.85,1,3.85,0,0.0,48054
