ward,precinct,total,Carlos Saucedo (McCain),Carlos Saucedo (McCain) Percent,Kimberly Pate Godden (McCain),Kimberly Pate Godden (McCain) Percent,Jonathan Blessing (Romney),Jonathan Blessing (Romney) Percent,Sean Thomas McCarthy (Romney),Sean Thomas McCarthy (Romney) Percent,Brian G. Markey (Paul),Brian G. Markey (Paul) Percent,Christopher W. Barnes (Thompson),Christopher W. Barnes (Thompson) Percent,Jennifer L. Sheahan (Thompson),Jennifer L. Sheahan (Thompson) Percent,Andrew Gutierrez (Giuliani),Andrew Gutierrez (Giuliani) Percent,precinct_id
22,27,12,3,25.0,6,50.0,1,8.33,0,0.0,0,0.0,0,0.0,0,0.0,1,8.33,22027
22,28,11,5,45.45,2,18.18,1,9.09,0,0.0,1,9.09,0,0.0,0,0.0,2,18.18,22028
22,29,5,1,20.0,1,20.0,1,20.0,0,0.0,2,40.0,0,0.0,0,0.0,0,0.0,22029
23,9,34,6,17.65,1,2.94,8,23.53,7,20.59,0,0.0,3,8.82,3,8.82,3,8.82,23009
23,24,14,3,21.43,6,42.86,2,14.29,3,21.43,0,0.0,0,0.0,0,0.0,0,0.0,23024
23,29,22,6,27.27,6,27.27,2,9.09,3,13.64,0,0.0,1,4.55,0,0.0,3,13.64,23029
24,44,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24044
24,53,6,4,66.67,2,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24053
25,1,27,8,29.63,10,37.04,3,11.11,4,14.81,0,0.0,1,3.7,0,0.0,1,3.7,25001
25,2,29,11,37.93,4,13.79,2,6.9,2,6.9,3,10.34,0,0.0,1,3.45,2,6.9,25002
25,5,11,3,27.27,2,18.18,1,9.09,1,9.09,1,9.09,0,0.0,0,0.0,2,18.18,25005
25,6,16,3,18.75,4,25.0,3,18.75,2,12.5,0,0.0,0,0.0,2,12.5,0,0.0,25006
25,7,29,10,34.48,6,20.69,2,6.9,1,3.45,4,13.79,0,0.0,0,0.0,1,3.45,25007
25,8,8,1,12.5,1,12.5,0,0.0,0,0.0,1,12.5,0,0.0,0,0.0,3,37.5,25008
25,9,18,5,27.78,5,27.78,1,5.56,0,0.0,2,11.11,0,0.0,1,5.56,2,11.11,25009
25,11,24,8,33.33,4,16.67,3,12.5,4,16.67,0,0.0,0,0.0,1,4.17,2,8.33,25011
25,12,13,5,38.46,4,30.77,1,7.69,0,0.0,1,7.69,0,0.0,0,0.0,0,0.0,25012
25,13,19,6,31.58,5,26.32,1,5.26,1,5.26,1,5.26,0,0.0,0,0.0,2,10.53,25013
25,15,17,7,41.18,5,29.41,3,17.65,1,5.88,0,0.0,0,0.0,0,0.0,1,5.88,25015
25,17,23,7,30.43,5,21.74,5,21.74,2,8.7,2,8.7,0,0.0,0,0.0,2,8.7,25017
25,19,19,6,31.58,2,10.53,0,0.0,0,0.0,1,5.26,1,5.26,1,5.26,5,26.32,25019
25,20,14,8,57.14,3,21.43,0,0.0,1,7.14,0,0.0,0,0.0,0,0.0,1,7.14,25020
25,22,11,4,36.36,4,36.36,1,9.09,2,18.18,0,0.0,0,0.0,0,0.0,0,0.0,25022
25,23,16,7,43.75,4,25.0,1,6.25,1,6.25,0,0.0,1,6.25,0,0.0,0,0.0,25023
25,24,14,4,28.57,4,28.57,2,14.29,2,14.29,1,7.14,0,0.0,0,0.0,0,0.0,25024
25,30,6,1,16.67,1,16.67,0,0.0,0,0.0,2,33.33,0,0.0,0,0.0,0,0.0,25030
25,31,18,4,22.22,4,22.22,2,11.11,2,11.11,2,11.11,2,11.11,0,0.0,0,0.0,25031
26,1,17,6,35.29,3,17.65,2,11.76,2,11.76,1,5.88,0,0.0,0,0.0,1,5.88,26001
26,2,6,1,16.67,1,16.67,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,26002
26,3,14,5,35.71,6,42.86,1,7.14,1,7.14,0,0.0,1,7.14,0,0.0,0,0.0,26003
26,4,7,2,28.57,2,28.57,1,14.29,1,14.29,0,0.0,0,0.0,1,14.29,0,0.0,26004
26,5,15,4,26.67,4,26.67,2,13.33,3,20.0,1,6.67,0,0.0,0,0.0,0,0.0,26005
26,6,3,1,33.33,2,66.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26006
26,7,20,6,30.0,6,30.0,3,15.0,4,20.0,0,0.0,0,0.0,0,0.0,0,0.0,26007
26,8,17,4,23.53,4,23.53,2,11.76,0,0.0,1,5.88,0,0.0,1,5.88,1,5.88,26008
26,9,10,4,40.0,2,20.0,0,0.0,1,10.0,1,10.0,0,0.0,0,0.0,1,10.0,26009
26,10,5,0,0.0,0,0.0,1,20.0,3,60.0,0,0.0,0,0.0,0,0.0,0,0.0,26010
26,11,16,4,25.0,4,25.0,1,6.25,0,0.0,2,12.5,0,0.0,0,0.0,2,12.5,26011
26,12,3,0,0.0,0,0.0,2,66.67,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,26012
26,13,11,3,27.27,2,18.18,3,27.27,3,27.27,0,0.0,0,0.0,0,0.0,0,0.0,26013
26,14,13,4,30.77,2,15.38,0,0.0,0,0.0,2,15.38,0,0.0,0,0.0,4,30.77,26014
26,15,16,6,37.5,5,31.25,2,12.5,0,0.0,0,0.0,0,0.0,0,0.0,2,12.5,26015
26,16,3,0,0.0,0,0.0,1,33.33,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,26016
26,18,9,3,33.33,3,33.33,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11,1,11.11,26018
26,19,13,4,30.77,3,23.08,3,23.08,3,23.08,0,0.0,0,0.0,0,0.0,0,0.0,26019
26,20,15,5,33.33,6,40.0,0,0.0,1,6.67,1,6.67,0,0.0,0,0.0,0,0.0,26020
26,21,10,4,40.0,3,30.0,0,0.0,0,0.0,1,10.0,0,0.0,0,0.0,1,10.0,26021
26,22,6,2,33.33,3,50.0,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26022
26,23,11,6,54.55,3,27.27,0,0.0,0,0.0,1,9.09,0,0.0,0,0.0,1,9.09,26023
26,24,14,4,28.57,3,21.43,3,21.43,2,14.29,0,0.0,0,0.0,0,0.0,1,7.14,26024
26,25,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,26025
26,26,7,3,42.86,1,14.29,0,0.0,0,0.0,0,0.0,1,14.29,1,14.29,1,14.29,26026
26,27,10,3,30.0,2,20.0,2,20.0,2,20.0,0,0.0,0,0.0,0,0.0,0,0.0,26027
26,28,11,3,27.27,3,27.27,1,9.09,1,9.09,0,0.0,0,0.0,0,0.0,0,0.0,26028
26,29,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26029
26,30,16,1,6.25,1,6.25,5,31.25,5,31.25,1,6.25,0,0.0,0,0.0,1,6.25,26030
26,31,16,2,12.5,2,12.5,5,31.25,4,25.0,1,6.25,0,0.0,0,0.0,2,12.5,26031
