ward,precinct,total,Stephanie Hitt (McCain),Stephanie Hitt (McCain) Percent,Jim Fuchs (McCain),Jim Fuchs (McCain) Percent,Walter W. Dudycz (Romney),Walter W. Dudycz (Romney) Percent,Mary C. Childers (Romney),Mary C. Childers (Romney) Percent,Jason E. Acebal (Paul),Jason E. Acebal (Paul) Percent,Dayna L. Euhus (Paul),Dayna L. Euhus (Paul) Percent,Dave Sullivan (Thompson),Dave Sullivan (Thompson) Percent,Herbert Sohn (Thompson),Herbert Sohn (Thompson) Percent,Howard P. Frimark (Giuliani),Howard P. Frimark (Giuliani) Percent,John M. ''Jack'' Dorgan (Giuliani),John M. ''Jack'' Dorgan (Giuliani) Percent,Joseph Thomas Witek (Huckabee),Joseph Thomas Witek (Huckabee) Percent,Dean P. Schiff (Huckabee),Dean P. Schiff (Huckabee) Percent,precinct_id
49,11,23,8,34.78,7,30.43,3,13.04,3,13.04,1,4.35,0,0.0,0,0.0,0,0.0,0,0.0,1,4.35,0,0.0,0,0.0,49011
49,12,23,4,17.39,4,17.39,2,8.7,2,8.7,0,0.0,0,0.0,1,4.35,1,4.35,2,8.7,2,8.7,2,8.7,3,13.04,49012
49,13,50,12,24.0,11,22.0,9,18.0,9,18.0,0,0.0,1,2.0,2,4.0,2,4.0,0,0.0,0,0.0,3,6.0,1,2.0,49013
49,14,44,12,27.27,10,22.73,5,11.36,5,11.36,0,0.0,0,0.0,0,0.0,0,0.0,1,2.27,2,4.55,4,9.09,5,11.36,49014
49,15,15,5,33.33,3,20.0,1,6.67,2,13.33,0,0.0,0,0.0,0,0.0,0,0.0,1,6.67,0,0.0,2,13.33,1,6.67,49015
49,16,41,11,26.83,8,19.51,7,17.07,6,14.63,1,2.44,3,7.32,2,4.88,0,0.0,1,2.44,1,2.44,0,0.0,1,2.44,49016
49,17,3,0,0.0,0,0.0,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,0,0.0,49017
49,18,34,8,23.53,9,26.47,3,8.82,3,8.82,4,11.76,3,8.82,0,0.0,0,0.0,1,2.94,0,0.0,1,2.94,2,5.88,49018
49,19,10,2,20.0,2,20.0,2,20.0,1,10.0,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,10.0,1,10.0,49019
49,20,48,9,18.75,11,22.92,5,10.42,5,10.42,5,10.42,3,6.25,1,2.08,2,4.17,1,2.08,1,2.08,4,8.33,1,2.08,49020
49,21,26,5,19.23,7,26.92,3,11.54,3,11.54,3,11.54,3,11.54,0,0.0,0,0.0,0,0.0,0,0.0,1,3.85,1,3.85,49021
49,22,26,3,11.54,4,15.38,4,15.38,4,15.38,3,11.54,3,11.54,0,0.0,0,0.0,1,3.85,1,3.85,2,7.69,1,3.85,49022
49,23,18,3,16.67,3,16.67,2,11.11,3,16.67,1,5.56,1,5.56,1,5.56,0,0.0,1,5.56,1,5.56,1,5.56,1,5.56,49023
49,24,36,8,22.22,7,19.44,5,13.89,5,13.89,3,8.33,3,8.33,0,0.0,0,0.0,1,2.78,1,2.78,2,5.56,1,2.78,49024
49,25,38,8,21.05,6,15.79,6,15.79,5,13.16,1,2.63,1,2.63,0,0.0,0,0.0,2,5.26,3,7.89,3,7.89,3,7.89,49025
49,26,90,29,32.22,27,30.0,9,10.0,10,11.11,4,4.44,3,3.33,1,1.11,1,1.11,1,1.11,1,1.11,3,3.33,1,1.11,49026
49,27,29,5,17.24,7,24.14,4,13.79,2,6.9,0,0.0,0,0.0,0,0.0,0,0.0,1,3.45,1,3.45,4,13.79,5,17.24,49027
49,28,26,5,19.23,7,26.92,1,3.85,2,7.69,3,11.54,2,7.69,0,0.0,0,0.0,0,0.0,1,3.85,3,11.54,2,7.69,49028
49,29,42,12,28.57,15,35.71,1,2.38,2,4.76,1,2.38,1,2.38,0,0.0,0,0.0,2,4.76,1,2.38,3,7.14,4,9.52,49029
49,30,25,5,20.0,4,16.0,2,8.0,1,4.0,2,8.0,1,4.0,0,0.0,0,0.0,2,8.0,1,4.0,3,12.0,4,16.0,49030
49,31,37,6,16.22,5,13.51,10,27.03,8,21.62,2,5.41,2,5.41,0,0.0,2,5.41,0,0.0,0,0.0,1,2.7,1,2.7,49031
49,32,22,1,4.55,1,4.55,3,13.64,3,13.64,6,27.27,6,27.27,0,0.0,0,0.0,1,4.55,1,4.55,0,0.0,0,0.0,49032
49,33,26,8,30.77,4,15.38,2,7.69,3,11.54,1,3.85,1,3.85,0,0.0,0,0.0,1,3.85,0,0.0,3,11.54,3,11.54,49033
49,34,19,4,21.05,5,26.32,1,5.26,1,5.26,2,10.53,2,10.53,0,0.0,0,0.0,1,5.26,1,5.26,1,5.26,1,5.26,49034
49,35,34,10,29.41,9,26.47,1,2.94,1,2.94,3,8.82,3,8.82,0,0.0,0,0.0,1,2.94,2,5.88,2,5.88,2,5.88,49035
49,36,45,10,22.22,11,24.44,6,13.33,7,15.56,1,2.22,1,2.22,0,0.0,1,2.22,2,4.44,1,2.22,3,6.67,2,4.44,49036
49,37,24,5,20.83,3,12.5,3,12.5,3,12.5,1,4.17,2,8.33,2,8.33,0,0.0,1,4.17,0,0.0,2,8.33,2,8.33,49037
49,38,20,5,25.0,7,35.0,3,15.0,3,15.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.0,0,0.0,1,5.0,0,0.0,49038
49,39,30,5,16.67,3,10.0,2,6.67,2,6.67,3,10.0,3,10.0,0,0.0,1,3.33,1,3.33,0,0.0,5,16.67,5,16.67,49039
49,40,42,11,26.19,9,21.43,6,14.29,6,14.29,0,0.0,1,2.38,1,2.38,0,0.0,1,2.38,2,4.76,3,7.14,2,4.76,49040
49,41,44,14,31.82,11,25.0,4,9.09,3,6.82,2,4.55,2,4.55,0,0.0,0,0.0,0,0.0,0,0.0,4,9.09,4,9.09,49041
49,42,27,6,22.22,5,18.52,3,11.11,3,11.11,2,7.41,2,7.41,1,3.7,1,3.7,0,0.0,1,3.7,1,3.7,2,7.41,49042
50,1,60,15,25.0,13,21.67,7,11.67,7,11.67,2,3.33,2,3.33,1,1.67,0,0.0,1,1.67,2,3.33,6,10.0,4,6.67,50001
50,2,48,15,31.25,12,25.0,5,10.42,4,8.33,1,2.08,1,2.08,1,2.08,1,2.08,0,0.0,1,2.08,3,6.25,4,8.33,50002
50,3,41,12,29.27,12,29.27,5,12.2,3,7.32,1,2.44,1,2.44,1,2.44,0,0.0,1,2.44,1,2.44,2,4.88,2,4.88,50003
50,4,32,9,28.13,10,31.25,3,9.38,2,6.25,1,3.13,0,0.0,1,3.13,1,3.13,1,3.13,1,3.13,2,6.25,1,3.13,50004
50,5,79,26,32.91,26,32.91,6,7.59,7,8.86,1,1.27,1,1.27,1,1.27,2,2.53,3,3.8,2,2.53,2,2.53,2,2.53,50005
50,6,18,5,27.78,5,27.78,2,11.11,4,22.22,0,0.0,0,0.0,2,11.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,50006
50,7,39,12,30.77,11,28.21,1,2.56,2,5.13,6,15.38,5,12.82,0,0.0,0,0.0,0,0.0,0,0.0,1,2.56,1,2.56,50007
50,8,24,7,29.17,9,37.5,2,8.33,1,4.17,2,8.33,2,8.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.17,50008
50,9,26,7,26.92,5,19.23,5,19.23,4,15.38,3,11.54,1,3.85,1,3.85,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,50009
50,10,36,8,22.22,10,27.78,4,11.11,3,8.33,5,13.89,4,11.11,0,0.0,0,0.0,1,2.78,0,0.0,1,2.78,0,0.0,50010
50,11,77,21,27.27,25,32.47,11,14.29,11,14.29,2,2.6,1,1.3,0,0.0,0,0.0,3,3.9,3,3.9,0,0.0,0,0.0,50011
50,12,33,15,45.45,12,36.36,2,6.06,2,6.06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.03,1,3.03,50012
50,13,21,5,23.81,5,23.81,3,14.29,3,14.29,1,4.76,1,4.76,0,0.0,0,0.0,0,0.0,0,0.0,2,9.52,1,4.76,50013
50,14,19,5,26.32,6,31.58,5,26.32,3,15.79,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,50014
50,15,50,17,34.0,17,34.0,6,12.0,5,10.0,1,2.0,1,2.0,0,0.0,0,0.0,1,2.0,1,2.0,1,2.0,0,0.0,50015
50,16,31,8,25.81,9,29.03,3,9.68,4,12.9,0,0.0,0,0.0,3,9.68,1,3.23,2,6.45,1,3.23,0,0.0,0,0.0,50016
50,17,51,12,23.53,10,19.61,9,17.65,8,15.69,3,5.88,3,5.88,2,3.92,0,0.0,0,0.0,1,1.96,2,3.92,1,1.96,50017
50,18,55,15,27.27,14,25.45,6,10.91,7,12.73,0,0.0,0,0.0,1,1.82,1,1.82,1,1.82,2,3.64,4,7.27,4,7.27,50018
50,19,36,10,27.78,10,27.78,4,11.11,2,5.56,1,2.78,1,2.78,1,2.78,0,0.0,0,0.0,1,2.78,2,5.56,4,11.11,50019
50,20,59,17,28.81,16,27.12,5,8.47,4,6.78,4,6.78,4,6.78,1,1.69,0,0.0,0,0.0,0,0.0,4,6.78,4,6.78,50020
50,21,56,5,8.93,6,10.71,15,26.79,13,23.21,3,5.36,3,5.36,0,0.0,0,0.0,3,5.36,3,5.36,3,5.36,2,3.57,50021
50,22,33,7,21.21,6,18.18,7,21.21,7,21.21,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,9.09,3,9.09,50022
50,23,37,12,32.43,13,35.14,2,5.41,2,5.41,1,2.7,2,5.41,0,0.0,0,0.0,2,5.41,0,0.0,1,2.7,2,5.41,50023
50,24,43,15,34.88,10,23.26,4,9.3,3,6.98,3,6.98,4,9.3,1,2.33,0,0.0,0,0.0,0,0.0,1,2.33,2,4.65,50024
50,25,53,13,24.53,10,18.87,8,15.09,6,11.32,3,5.66,2,3.77,0,0.0,0,0.0,3,5.66,1,1.89,4,7.55,3,5.66,50025
50,26,24,7,29.17,5,20.83,4,16.67,3,12.5,1,4.17,2,8.33,0,0.0,0,0.0,0,0.0,0,0.0,1,4.17,1,4.17,50026
50,27,12,4,33.33,3,25.0,2,16.67,1,8.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,8.33,1,8.33,50027
50,28,33,14,42.42,12,36.36,1,3.03,2,6.06,1,3.03,2,6.06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.03,50028
50,29,43,6,13.95,6,13.95,13,30.23,11,25.58,1,2.33,1,2.33,0,0.0,1,2.33,2,4.65,0,0.0,0,0.0,2,4.65,50029
50,30,51,14,27.45,14,27.45,7,13.73,8,15.69,0,0.0,1,1.96,0,0.0,0,0.0,3,5.88,1,1.96,2,3.92,1,1.96,50030
50,31,20,8,40.0,7,35.0,1,5.0,1,5.0,0,0.0,0,0.0,0,0.0,1,5.0,1,5.0,1,5.0,0,0.0,0,0.0,50031
50,32,20,8,40.0,4,20.0,2,10.0,2,10.0,1,5.0,1,5.0,1,5.0,0,0.0,0,0.0,0,0.0,1,5.0,0,0.0,50032
50,33,59,16,27.12,15,25.42,10,16.95,10,16.95,2,3.39,2,3.39,0,0.0,1,1.69,0,0.0,1,1.69,1,1.69,1,1.69,50033
50,34,25,4,16.0,4,16.0,4,16.0,5,20.0,0,0.0,1,4.0,1,4.0,2,8.0,2,8.0,0,0.0,1,4.0,1,4.0,50034
50,35,44,11,25.0,11,25.0,8,18.18,8,18.18,1,2.27,1,2.27,0,0.0,0,0.0,1,2.27,1,2.27,1,2.27,1,2.27,50035
50,36,64,15,23.44,17,26.56,6,9.38,5,7.81,2,3.13,3,4.69,0,0.0,1,1.56,2,3.13,1,1.56,5,7.81,7,10.94,50036
50,37,48,16,33.33,14,29.17,6,12.5,8,16.67,2,4.17,0,0.0,1,2.08,0,0.0,0,0.0,0,0.0,0,0.0,1,2.08,50037
50,38,35,7,20.0,5,14.29,7,20.0,5,14.29,1,2.86,0,0.0,5,14.29,4,11.43,0,0.0,0,0.0,0,0.0,1,2.86,50038
50,39,50,9,18.0,9,18.0,10,20.0,11,22.0,3,6.0,4,8.0,0,0.0,0,0.0,0,0.0,1,2.0,2,4.0,1,2.0,50039
50,40,87,27,31.03,26,29.89,11,12.64,12,13.79,3,3.45,3,3.45,0,0.0,0,0.0,2,2.3,1,1.15,1,1.15,1,1.15,50040
50,41,55,16,29.09,16,29.09,9,16.36,6,10.91,0,0.0,0,0.0,0,0.0,0,0.0,1,1.82,1,1.82,3,5.45,3,5.45,50041
50,42,58,16,27.59,15,25.86,5,8.62,5,8.62,4,6.9,4,6.9,2,3.45,1,1.72,1,1.72,1,1.72,2,3.45,2,3.45,50042
50,43,42,9,21.43,9,21.43,7,16.67,5,11.9,4,9.52,4,9.52,0,0.0,0,0.0,0,0.0,0,0.0,3,7.14,1,2.38,50043
