ward,precinct,total,Charlie Serrano (Romney),Charlie Serrano (Romney) Percent,Bryce R. Kenny (Romney),Bryce R. Kenny (Romney) Percent,Ann Melichar (McCain),Ann Melichar (McCain) Percent,Gustavo Gonzalez (McCain),Gustavo Gonzalez (McCain) Percent,Joseph M. Cesarone (Paul),Joseph M. Cesarone (Paul) Percent,Ann K. Huggins (Paul),Ann K. Huggins (Paul) Percent,John J. Curry (Thompson),John J. Curry (Thompson) Percent,Tom M. Tomschin (Thompson),Tom M. Tomschin (Thompson) Percent,Raul Perez (Giuliani),Raul Perez (Giuliani) Percent,Glen H. Samson (Giuliani),Glen H. Samson (Giuliani) Percent,precinct_id
26,27,11,1,9.09,3,27.27,3,27.27,3,27.27,0,0.0,1,9.09,0,0.0,0,0.0,0,0.0,0,0.0,26027
26,28,12,2,16.67,1,8.33,4,33.33,3,25.0,0,0.0,2,16.67,0,0.0,0,0.0,0,0.0,0,0.0,26028
26,29,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26029
26,30,19,6,31.58,6,31.58,1,5.26,1,5.26,2,10.53,1,5.26,0,0.0,0,0.0,1,5.26,1,5.26,26030
26,31,17,6,35.29,5,29.41,2,11.76,4,23.53,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26031
26,32,36,7,19.44,5,13.89,10,27.78,10,27.78,2,5.56,1,2.78,1,2.78,0,0.0,0,0.0,0,0.0,26032
26,34,21,6,28.57,4,19.05,2,9.52,3,14.29,1,4.76,1,4.76,1,4.76,2,9.52,1,4.76,0,0.0,26034
26,35,27,7,25.93,3,11.11,5,18.52,5,18.52,3,11.11,3,11.11,0,0.0,1,3.7,0,0.0,0,0.0,26035
26,36,9,1,11.11,0,0.0,2,22.22,3,33.33,1,11.11,1,11.11,0,0.0,0,0.0,1,11.11,0,0.0,26036
26,37,10,3,30.0,3,30.0,1,10.0,1,10.0,0,0.0,1,10.0,0,0.0,0,0.0,1,10.0,0,0.0,26037
26,38,19,5,26.32,1,5.26,2,10.53,3,15.79,4,21.05,4,21.05,0,0.0,0,0.0,0,0.0,0,0.0,26038
26,39,7,0,0.0,0,0.0,4,57.14,2,28.57,0,0.0,0,0.0,1,14.29,0,0.0,0,0.0,0,0.0,26039
26,40,7,2,28.57,1,14.29,2,28.57,1,14.29,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26040
26,41,2,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26041
26,42,11,2,18.18,2,18.18,2,18.18,2,18.18,1,9.09,1,9.09,0,0.0,0,0.0,1,9.09,0,0.0,26042
26,43,9,0,0.0,0,0.0,1,11.11,2,22.22,2,22.22,1,11.11,1,11.11,0,0.0,2,22.22,0,0.0,26043
26,44,5,1,20.0,2,40.0,1,20.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26044
26,45,18,2,11.11,1,5.56,3,16.67,3,16.67,5,27.78,4,22.22,0,0.0,0,0.0,0,0.0,0,0.0,26045
26,46,10,0,0.0,0,0.0,5,50.0,3,30.0,1,10.0,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0,26046
26,47,9,3,33.33,1,11.11,0,0.0,3,33.33,1,11.11,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,26047
26,48,12,0,0.0,0,0.0,3,25.0,5,41.67,2,16.67,0,0.0,0,0.0,0,0.0,2,16.67,0,0.0,26048
26,49,7,1,14.29,1,14.29,1,14.29,2,28.57,1,14.29,0,0.0,0,0.0,1,14.29,0,0.0,0,0.0,26049
26,50,10,4,40.0,4,40.0,0,0.0,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0,1,10.0,0,0.0,26050
26,51,17,2,11.76,2,11.76,1,5.88,3,17.65,1,5.88,2,11.76,4,23.53,2,11.76,0,0.0,0,0.0,26051
26,52,4,0,0.0,0,0.0,1,25.0,2,50.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,26052
26,53,9,1,11.11,0,0.0,5,55.56,3,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26053
26,54,10,2,20.0,2,20.0,1,10.0,2,20.0,0,0.0,1,10.0,1,10.0,1,10.0,0,0.0,0,0.0,26054
26,55,5,1,20.0,0,0.0,2,40.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26055
26,56,15,1,6.67,0,0.0,4,26.67,5,33.33,2,13.33,2,13.33,0,0.0,0,0.0,1,6.67,0,0.0,26056
26,57,12,2,16.67,1,8.33,1,8.33,3,25.0,0,0.0,0,0.0,1,8.33,1,8.33,1,8.33,2,16.67,26057
26,58,2,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26058
26,59,13,3,23.08,2,15.38,0,0.0,2,15.38,3,23.08,2,15.38,0,0.0,0,0.0,1,7.69,0,0.0,26059
26,60,34,3,8.82,3,8.82,9,26.47,6,17.65,3,8.82,4,11.76,2,5.88,2,5.88,1,2.94,1,2.94,26060
26,61,2,0,0.0,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26061
26,62,11,1,9.09,1,9.09,1,9.09,3,27.27,1,9.09,1,9.09,0,0.0,1,9.09,1,9.09,1,9.09,26062
26,63,7,1,14.29,0,0.0,3,42.86,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,1,14.29,26063
27,13,12,2,16.67,2,16.67,3,25.0,2,16.67,0,0.0,1,8.33,0,0.0,0,0.0,1,8.33,1,8.33,27013
27,18,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27018
27,32,7,0,0.0,2,28.57,3,42.86,2,28.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27032
27,35,28,4,14.29,2,7.14,9,32.14,9,32.14,2,7.14,2,7.14,0,0.0,0,0.0,0,0.0,0,0.0,27035
27,38,13,3,23.08,1,7.69,4,30.77,4,30.77,1,7.69,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,27038
27,41,58,7,12.07,6,10.34,19,32.76,18,31.03,4,6.9,3,5.17,0,0.0,0,0.0,1,1.72,0,0.0,27041
27,56,14,1,7.14,0,0.0,4,28.57,5,35.71,0,0.0,0,0.0,2,14.29,0,0.0,2,14.29,0,0.0,27056
27,59,19,3,15.79,3,15.79,5,26.32,3,15.79,2,10.53,3,15.79,0,0.0,0,0.0,0,0.0,0,0.0,27059
28,29,16,4,25.0,2,12.5,3,18.75,4,25.0,0,0.0,1,6.25,0,0.0,0,0.0,1,6.25,1,6.25,28029
28,34,4,0,0.0,0,0.0,2,50.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28034
28,38,9,1,11.11,1,11.11,2,22.22,3,33.33,1,11.11,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,28038
29,6,9,1,11.11,1,11.11,4,44.44,3,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29006
29,7,23,3,13.04,4,17.39,3,13.04,6,26.09,0,0.0,2,8.7,4,17.39,1,4.35,0,0.0,0,0.0,29007
29,10,15,4,26.67,2,13.33,3,20.0,5,33.33,0,0.0,1,6.67,0,0.0,0,0.0,0,0.0,0,0.0,29010
29,24,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29024
29,39,8,1,12.5,1,12.5,1,12.5,1,12.5,2,25.0,1,12.5,1,12.5,0,0.0,0,0.0,0,0.0,29039
30,4,17,3,17.65,1,5.88,5,29.41,7,41.18,0,0.0,0,0.0,0,0.0,0,0.0,1,5.88,0,0.0,30004
30,5,7,2,28.57,1,14.29,2,28.57,2,28.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30005
30,17,3,1,33.33,1,33.33,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30017
30,18,18,4,22.22,1,5.56,3,16.67,3,16.67,2,11.11,2,11.11,1,5.56,0,0.0,1,5.56,1,5.56,30018
30,19,9,2,22.22,1,11.11,2,22.22,2,22.22,0,0.0,1,11.11,1,11.11,0,0.0,0,0.0,0,0.0,30019
30,20,8,1,12.5,0,0.0,2,25.0,4,50.0,0,0.0,0,0.0,0,0.0,0,0.0,1,12.5,0,0.0,30020
30,21,20,1,5.0,1,5.0,5,25.0,6,30.0,1,5.0,2,10.0,2,10.0,0,0.0,2,10.0,0,0.0,30021
30,22,7,1,14.29,0,0.0,3,42.86,3,42.86,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30022
30,23,8,0,0.0,0,0.0,1,12.5,2,25.0,2,25.0,2,25.0,1,12.5,0,0.0,0,0.0,0,0.0,30023
30,24,12,4,33.33,2,16.67,2,16.67,3,25.0,0,0.0,0,0.0,0,0.0,0,0.0,1,8.33,0,0.0,30024
30,25,36,5,13.89,6,16.67,6,16.67,6,16.67,2,5.56,2,5.56,4,11.11,4,11.11,1,2.78,0,0.0,30025
30,26,7,0,0.0,0,0.0,3,42.86,2,28.57,0,0.0,1,14.29,0,0.0,0,0.0,0,0.0,1,14.29,30026
30,27,14,2,14.29,2,14.29,3,21.43,5,35.71,0,0.0,0,0.0,0,0.0,0,0.0,2,14.29,0,0.0,30027
30,29,9,0,0.0,0,0.0,4,44.44,4,44.44,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11,0,0.0,30029
30,31,3,1,33.33,0,0.0,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30031
30,32,9,1,11.11,1,11.11,3,33.33,4,44.44,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30032
30,33,10,2,20.0,1,10.0,1,10.0,4,40.0,0,0.0,0,0.0,1,10.0,0,0.0,1,10.0,0,0.0,30033
30,35,18,5,27.78,4,22.22,2,11.11,5,27.78,0,0.0,1,5.56,0,0.0,0,0.0,1,5.56,0,0.0,30035
30,36,23,2,8.7,0,0.0,11,47.83,8,34.78,1,4.35,0,0.0,0,0.0,0,0.0,1,4.35,0,0.0,30036
30,41,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,30041
31,1,9,2,22.22,0,0.0,3,33.33,2,22.22,1,11.11,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,31001
31,2,12,1,8.33,1,8.33,5,41.67,5,41.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,31002
31,4,5,0,0.0,0,0.0,3,60.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,31004
31,5,36,4,11.11,3,8.33,9,25.0,13,36.11,0,0.0,0,0.0,1,2.78,1,2.78,3,8.33,2,5.56,31005
31,6,13,2,15.38,0,0.0,4,30.77,4,30.77,0,0.0,0,0.0,2,15.38,0,0.0,1,7.69,0,0.0,31006
31,7,10,0,0.0,0,0.0,2,20.0,6,60.0,1,10.0,0,0.0,0,0.0,0,0.0,1,10.0,0,0.0,31007
31,10,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,31010
31,11,12,1,8.33,1,8.33,3,25.0,5,41.67,1,8.33,0,0.0,0,0.0,0,0.0,1,8.33,0,0.0,31011
31,12,7,2,28.57,1,14.29,2,28.57,2,28.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,31012
31,13,8,1,12.5,1,12.5,3,37.5,3,37.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,31013
31,14,14,4,28.57,3,21.43,0,0.0,5,35.71,0,0.0,0,0.0,1,7.14,0,0.0,1,7.14,0,0.0,31014
31,16,7,2,28.57,2,28.57,0,0.0,0,0.0,1,14.29,0,0.0,1,14.29,0,0.0,1,14.29,0,0.0,31016
31,17,14,1,7.14,1,7.14,6,42.86,5,35.71,0,0.0,0,0.0,0,0.0,0,0.0,1,7.14,0,0.0,31017
31,18,4,1,25.0,0,0.0,0,0.0,2,50.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,31018
31,20,22,2,9.09,2,9.09,6,27.27,10,45.45,0,0.0,0,0.0,0,0.0,0,0.0,2,9.09,0,0.0,31020
31,21,15,0,0.0,0,0.0,4,26.67,5,33.33,1,6.67,2,13.33,0,0.0,0,0.0,2,13.33,1,6.67,31021
31,22,3,0,0.0,0,0.0,2,66.67,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,31022
31,23,18,2,11.11,0,0.0,2,11.11,7,38.89,1,5.56,1,5.56,2,11.11,0,0.0,3,16.67,0,0.0,31023
31,24,2,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,31024
31,25,7,1,14.29,1,14.29,2,28.57,3,42.86,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,31025
31,27,7,0,0.0,0,0.0,2,28.57,3,42.86,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,1,14.29,31027
31,30,15,3,20.0,4,26.67,3,20.0,3,20.0,0,0.0,0,0.0,1,6.67,1,6.67,0,0.0,0,0.0,31030
31,31,13,1,7.69,1,7.69,2,15.38,4,30.77,2,15.38,1,7.69,0,0.0,0,0.0,2,15.38,0,0.0,31031
31,34,8,2,25.0,3,37.5,0,0.0,1,12.5,0,0.0,0,0.0,1,12.5,0,0.0,0,0.0,1,12.5,31034
31,35,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,0,0.0,31035
31,36,6,0,0.0,0,0.0,2,33.33,3,50.0,0,0.0,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,31036
31,37,15,1,6.67,0,0.0,5,33.33,5,33.33,0,0.0,0,0.0,1,6.67,0,0.0,3,20.0,0,0.0,31037
31,39,10,2,20.0,0,0.0,3,30.0,4,40.0,0,0.0,0,0.0,0,0.0,0,0.0,1,10.0,0,0.0,31039
31,40,10,3,30.0,1,10.0,1,10.0,3,30.0,0,0.0,0,0.0,0,0.0,0,0.0,2,20.0,0,0.0,31040
31,42,10,2,20.0,3,30.0,1,10.0,1,10.0,0,0.0,1,10.0,0,0.0,1,10.0,0,0.0,1,10.0,31042
31,44,11,0,0.0,1,9.09,3,27.27,3,27.27,0,0.0,0,0.0,1,9.09,0,0.0,3,27.27,0,0.0,31044
31,49,5,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,0,0.0,3,60.0,1,20.0,0,0.0,0,0.0,31049
31,51,6,1,16.67,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,2,33.33,0,0.0,31051
32,1,5,1,20.0,1,20.0,1,20.0,0,0.0,1,20.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,32001
32,2,54,3,5.56,5,9.26,13,24.07,13,24.07,7,12.96,10,18.52,0,0.0,0,0.0,3,5.56,0,0.0,32002
32,3,28,5,17.86,6,21.43,6,21.43,6,21.43,1,3.57,1,3.57,0,0.0,0,0.0,1,3.57,2,7.14,32003
32,4,67,7,10.45,5,7.46,25,37.31,22,32.84,3,4.48,4,5.97,1,1.49,0,0.0,0,0.0,0,0.0,32004
32,5,54,8,14.81,7,12.96,6,11.11,10,18.52,8,14.81,10,18.52,2,3.7,0,0.0,1,1.85,2,3.7,32005
32,11,40,5,12.5,5,12.5,7,17.5,5,12.5,8,20.0,9,22.5,1,2.5,0,0.0,0,0.0,0,0.0,32011
32,12,23,2,8.7,3,13.04,8,34.78,9,39.13,0,0.0,0,0.0,1,4.35,0,0.0,0,0.0,0,0.0,32012
32,14,45,8,17.78,9,20.0,9,20.0,9,20.0,4,8.89,4,8.89,0,0.0,0,0.0,1,2.22,1,2.22,32014
32,16,59,12,20.34,10,16.95,17,28.81,14,23.73,3,5.08,3,5.08,0,0.0,0,0.0,0,0.0,0,0.0,32016
32,17,33,0,0.0,0,0.0,14,42.42,12,36.36,3,9.09,3,9.09,0,0.0,0,0.0,1,3.03,0,0.0,32017
32,28,38,8,21.05,4,10.53,9,23.68,9,23.68,4,10.53,2,5.26,0,0.0,0,0.0,1,2.63,1,2.63,32028
32,29,25,0,0.0,1,4.0,7,28.0,6,24.0,3,12.0,3,12.0,1,4.0,1,4.0,2,8.0,1,4.0,32029
32,31,77,9,11.69,9,11.69,18,23.38,17,22.08,9,11.69,9,11.69,0,0.0,0,0.0,3,3.9,3,3.9,32031
32,33,35,3,8.57,3,8.57,10,28.57,9,25.71,4,11.43,4,11.43,1,2.86,1,2.86,0,0.0,0,0.0,32033
32,34,64,9,14.06,8,12.5,18,28.13,16,25.0,2,3.13,3,4.69,3,4.69,3,4.69,1,1.56,1,1.56,32034
32,35,56,7,12.5,5,8.93,16,28.57,14,25.0,6,10.71,5,8.93,0,0.0,0,0.0,1,1.79,2,3.57,32035
32,36,74,12,16.22,12,16.22,21,28.38,18,24.32,2,2.7,2,2.7,5,6.76,2,2.7,0,0.0,0,0.0,32036
32,46,9,4,44.44,2,22.22,1,11.11,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11,32046
32,52,25,5,20.0,5,20.0,8,32.0,5,20.0,1,4.0,1,4.0,0,0.0,0,0.0,0,0.0,0,0.0,32052
33,1,57,7,12.28,4,7.02,16,28.07,18,31.58,4,7.02,5,8.77,2,3.51,0,0.0,1,1.75,0,0.0,33001
33,2,54,11,20.37,9,16.67,12,22.22,11,20.37,1,1.85,0,0.0,3,5.56,2,3.7,2,3.7,3,5.56,33002
33,3,26,2,7.69,2,7.69,7,26.92,6,23.08,3,11.54,4,15.38,1,3.85,0,0.0,1,3.85,0,0.0,33003
33,4,28,8,28.57,8,28.57,4,14.29,4,14.29,1,3.57,1,3.57,0,0.0,0,0.0,1,3.57,1,3.57,33004
33,6,29,3,10.34,3,10.34,8,27.59,11,37.93,1,3.45,2,6.9,0,0.0,0,0.0,1,3.45,0,0.0,33006
33,8,51,7,13.73,10,19.61,17,33.33,10,19.61,3,5.88,3,5.88,0,0.0,0,0.0,0,0.0,1,1.96,33008
33,11,48,6,12.5,6,12.5,12,25.0,12,25.0,3,6.25,3,6.25,2,4.17,2,4.17,1,2.08,1,2.08,33011
33,12,46,1,2.17,1,2.17,17,36.96,18,39.13,3,6.52,4,8.7,0,0.0,0,0.0,1,2.17,1,2.17,33012
33,13,28,4,14.29,3,10.71,6,21.43,8,28.57,3,10.71,3,10.71,1,3.57,0,0.0,0,0.0,0,0.0,33013
33,15,51,6,11.76,7,13.73,14,27.45,14,27.45,1,1.96,3,5.88,2,3.92,1,1.96,2,3.92,1,1.96,33015
33,16,34,4,11.76,2,5.88,12,35.29,10,29.41,1,2.94,2,5.88,1,2.94,0,0.0,1,2.94,1,2.94,33016
33,17,30,2,6.67,3,10.0,8,26.67,5,16.67,6,20.0,3,10.0,2,6.67,1,3.33,0,0.0,0,0.0,33017
33,19,53,3,5.66,3,5.66,18,33.96,17,32.08,1,1.89,6,11.32,2,3.77,0,0.0,3,5.66,0,0.0,33019
33,20,35,4,11.43,4,11.43,6,17.14,9,25.71,4,11.43,4,11.43,1,2.86,0,0.0,3,8.57,0,0.0,33020
33,21,23,3,13.04,2,8.7,7,30.43,5,21.74,2,8.7,3,13.04,0,0.0,0,0.0,0,0.0,1,4.35,33021
33,22,12,1,8.33,2,16.67,3,25.0,2,16.67,1,8.33,1,8.33,0,0.0,0,0.0,2,16.67,0,0.0,33022
33,26,42,5,11.9,3,7.14,9,21.43,8,19.05,7,16.67,5,11.9,0,0.0,2,4.76,2,4.76,1,2.38,33026
33,27,29,5,17.24,4,13.79,9,31.03,8,27.59,0,0.0,0,0.0,0,0.0,0,0.0,2,6.9,1,3.45,33027
35,1,61,7,11.48,9,14.75,14,22.95,19,31.15,2,3.28,3,4.92,2,3.28,3,4.92,2,3.28,0,0.0,35001
35,2,33,5,15.15,5,15.15,11,33.33,11,33.33,0,0.0,0,0.0,0,0.0,0,0.0,1,3.03,0,0.0,35002
35,3,23,3,13.04,3,13.04,7,30.43,5,21.74,2,8.7,3,13.04,0,0.0,0,0.0,0,0.0,0,0.0,35003
35,4,44,6,13.64,5,11.36,12,27.27,13,29.55,2,4.55,3,6.82,0,0.0,0,0.0,1,2.27,2,4.55,35004
35,5,20,3,15.0,2,10.0,4,20.0,7,35.0,0,0.0,0,0.0,0,0.0,0,0.0,3,15.0,1,5.0,35005
35,6,30,2,6.67,2,6.67,6,20.0,9,30.0,3,10.0,4,13.33,1,3.33,2,6.67,1,3.33,0,0.0,35006
35,7,58,5,8.62,6,10.34,17,29.31,17,29.31,5,8.62,5,8.62,0,0.0,1,1.72,1,1.72,1,1.72,35007
35,8,27,2,7.41,4,14.81,10,37.04,8,29.63,2,7.41,0,0.0,1,3.7,0,0.0,0,0.0,0,0.0,35008
35,9,28,6,21.43,4,14.29,8,28.57,8,28.57,0,0.0,1,3.57,0,0.0,1,3.57,0,0.0,0,0.0,35009
35,10,34,1,2.94,2,5.88,10,29.41,13,38.24,3,8.82,3,8.82,0,0.0,0,0.0,2,5.88,0,0.0,35010
35,11,30,5,16.67,4,13.33,9,30.0,9,30.0,1,3.33,1,3.33,0,0.0,0,0.0,1,3.33,0,0.0,35011
35,12,32,1,3.13,1,3.13,14,43.75,10,31.25,1,3.13,1,3.13,1,3.13,1,3.13,1,3.13,1,3.13,35012
35,13,4,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,1,25.0,1,25.0,0,0.0,35013
35,14,20,3,15.0,3,15.0,5,25.0,2,10.0,4,20.0,2,10.0,0,0.0,0,0.0,0,0.0,1,5.0,35014
35,15,38,9,23.68,6,15.79,4,10.53,8,21.05,1,2.63,4,10.53,2,5.26,1,2.63,1,2.63,2,5.26,35015
35,16,22,2,9.09,1,4.55,8,36.36,8,36.36,0,0.0,1,4.55,1,4.55,0,0.0,1,4.55,0,0.0,35016
35,17,38,7,18.42,9,23.68,8,21.05,8,21.05,1,2.63,1,2.63,1,2.63,2,5.26,0,0.0,1,2.63,35017
35,18,27,2,7.41,1,3.7,9,33.33,10,37.04,1,3.7,1,3.7,0,0.0,0,0.0,1,3.7,2,7.41,35018
35,19,9,1,11.11,1,11.11,1,11.11,3,33.33,0,0.0,0,0.0,1,11.11,1,11.11,1,11.11,0,0.0,35019
35,20,36,1,2.78,2,5.56,9,25.0,12,33.33,4,11.11,2,5.56,2,5.56,1,2.78,2,5.56,1,2.78,35020
35,21,24,2,8.33,2,8.33,6,25.0,7,29.17,2,8.33,2,8.33,1,4.17,0,0.0,1,4.17,1,4.17,35021
35,23,19,4,21.05,3,15.79,3,15.79,5,26.32,1,5.26,1,5.26,0,0.0,0,0.0,2,10.53,0,0.0,35023
35,24,13,0,0.0,1,7.69,2,15.38,4,30.77,2,15.38,1,7.69,0,0.0,0,0.0,3,23.08,0,0.0,35024
35,25,40,3,7.5,4,10.0,14,35.0,11,27.5,5,12.5,2,5.0,0,0.0,0,0.0,0,0.0,1,2.5,35025
35,26,42,11,26.19,11,26.19,5,11.9,5,11.9,2,4.76,1,2.38,1,2.38,0,0.0,3,7.14,3,7.14,35026
35,27,41,8,19.51,10,24.39,11,26.83,10,24.39,1,2.44,1,2.44,0,0.0,0,0.0,0,0.0,0,0.0,35027
35,28,18,4,22.22,2,11.11,2,11.11,2,11.11,2,11.11,2,11.11,1,5.56,1,5.56,1,5.56,1,5.56,35028
35,29,44,2,4.55,2,4.55,17,38.64,15,34.09,5,11.36,3,6.82,0,0.0,0,0.0,0,0.0,0,0.0,35029
35,30,35,7,20.0,5,14.29,9,25.71,8,22.86,0,0.0,1,2.86,1,2.86,0,0.0,2,5.71,2,5.71,35030
35,31,26,3,11.54,3,11.54,7,26.92,6,23.08,3,11.54,3,11.54,1,3.85,0,0.0,0,0.0,0,0.0,35031
35,32,9,1,11.11,0,0.0,2,22.22,1,11.11,1,11.11,1,11.11,0,0.0,0,0.0,2,22.22,1,11.11,35032
35,34,18,1,5.56,1,5.56,5,27.78,4,22.22,2,11.11,3,16.67,0,0.0,0,0.0,1,5.56,1,5.56,35034
35,35,24,2,8.33,3,12.5,3,12.5,5,20.83,1,4.17,2,8.33,1,4.17,1,4.17,3,12.5,3,12.5,35035
35,36,47,0,0.0,1,2.13,15,31.91,16,34.04,7,14.89,7,14.89,0,0.0,1,2.13,0,0.0,0,0.0,35036
36,4,17,6,35.29,3,17.65,3,17.65,3,17.65,0,0.0,0,0.0,2,11.76,0,0.0,0,0.0,0,0.0,36004
36,33,30,7,23.33,6,20.0,6,20.0,6,20.0,0,0.0,0,0.0,2,6.67,2,6.67,0,0.0,1,3.33,36033
36,44,4,0,0.0,0,0.0,1,25.0,1,25.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,36044
36,54,7,2,28.57,2,28.57,2,28.57,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,36054
36,55,2,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,36055
37,1,7,1,14.29,1,14.29,2,28.57,1,14.29,1,14.29,0,0.0,0,0.0,0,0.0,1,14.29,0,0.0,37001
37,11,19,3,15.79,3,15.79,3,15.79,6,31.58,2,10.53,1,5.26,0,0.0,1,5.26,0,0.0,0,0.0,37011
37,19,12,1,8.33,2,16.67,4,33.33,2,16.67,2,16.67,1,8.33,0,0.0,0,0.0,0,0.0,0,0.0,37019
37,39,20,2,10.0,4,20.0,4,20.0,7,35.0,0,0.0,0,0.0,0,0.0,1,5.0,2,10.0,0,0.0,37039
