ward,precinct,total,G. Joel Baise (Bush),G. Joel Baise (Bush) Percent,George Offord (Bush),George Offord (Bush) Percent,Ben Noble (Bush),Ben Noble (Bush) Percent,Kimberly Blackburn (Christie),Kimberly Blackburn (Christie) Percent,Louis G. Rexing (Christie),Louis G. Rexing (Christie) Percent,Matthew Moustakas (Christie),Matthew Moustakas (Christie) Percent,Vince Matonis (Trump),Vince Matonis (Trump) Percent,Geraldine Brady (Trump),Geraldine Brady (Trump) Percent,Nena Mihailovic (Trump),Nena Mihailovic (Trump) Percent,Vivienne Porter (Cruz),Vivienne Porter (Cruz) Percent,Madelyn D. Flaherty (Cruz),Madelyn D. Flaherty (Cruz) Percent,Alaa N. Sweis (Cruz),Alaa N. Sweis (Cruz) Percent,Ronald Armstrong (Fiorina),Ronald Armstrong (Fiorina) Percent,Richard ''Dick'' Halm (Fiorina),Richard ''Dick'' Halm (Fiorina) Percent,Jeffrey ''Jeff'' Baker (Fiorina),Jeffrey ''Jeff'' Baker (Fiorina) Percent,James J. Parrilli (Kasich),James J. Parrilli (Kasich) Percent,Andrew J. Kirchoff (Kasich),Andrew J. Kirchoff (Kasich) Percent,William J. Corley (Kasich),William J. Corley (Kasich) Percent,Steven Daglas (Rubio),Steven Daglas (Rubio) Percent,Katie Justak (Rubio),Katie Justak (Rubio) Percent,Tyler Mikan (Rubio),Tyler Mikan (Rubio) Percent,John D. Brannen (Carson),John D. Brannen (Carson) Percent,John D'Alessandro (Carson),John D'Alessandro (Carson) Percent,Gael Heppner (Carson),Gael Heppner (Carson) Percent,precinct_id
13,48,66,1,1.52,1,1.52,1,1.52,0,0.0,0,0.0,0,0.0,12,18.18,12,18.18,11,16.67,7,10.61,7,10.61,6,9.09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,3.03,4,6.06,2,3.03,0,0.0,0,0.0,0,0.0,13048
14,1,209,0,0.0,0,0.0,2,0.96,0,0.0,1,0.48,0,0.0,39,18.66,41,19.62,39,18.66,12,5.74,12,5.74,13,6.22,0,0.0,0,0.0,1,0.48,7,3.35,6,2.87,6,2.87,9,4.31,10,4.78,9,4.31,1,0.48,0,0.0,1,0.48,14001
14,4,216,1,0.46,0,0.0,1,0.46,2,0.93,1,0.46,1,0.46,35,16.2,42,19.44,41,18.98,16,7.41,16,7.41,12,5.56,0,0.0,1,0.46,0,0.0,7,3.24,5,2.31,5,2.31,7,3.24,7,3.24,10,4.63,2,0.93,3,1.39,1,0.46,14004
14,5,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,14005
14,7,95,0,0.0,1,1.05,0,0.0,0,0.0,0,0.0,0,0.0,16,16.84,18,18.95,13,13.68,10,10.53,9,9.47,7,7.37,0,0.0,1,1.05,0,0.0,1,1.05,1,1.05,1,1.05,5,5.26,5,5.26,5,5.26,0,0.0,1,1.05,1,1.05,14007
14,8,100,1,1.0,3,3.0,0,0.0,0,0.0,0,0.0,2,2.0,17,17.0,17,17.0,18,18.0,8,8.0,10,10.0,9,9.0,1,1.0,0,0.0,1,1.0,1,1.0,1,1.0,0,0.0,2,2.0,5,5.0,1,1.0,1,1.0,1,1.0,1,1.0,14008
14,9,180,0,0.0,2,1.11,0,0.0,2,1.11,1,0.56,1,0.56,39,21.67,40,22.22,34,18.89,8,4.44,9,5.0,7,3.89,0,0.0,1,0.56,0,0.0,7,3.89,6,3.33,6,3.33,6,3.33,6,3.33,3,1.67,1,0.56,1,0.56,0,0.0,14009
14,12,113,1,0.88,2,1.77,1,0.88,0,0.0,0,0.0,0,0.0,21,18.58,21,18.58,22,19.47,4,3.54,4,3.54,3,2.65,1,0.88,0,0.0,0,0.0,6,5.31,6,5.31,5,4.42,5,4.42,6,5.31,5,4.42,0,0.0,0,0.0,0,0.0,14012
14,18,45,0,0.0,3,6.67,2,4.44,0,0.0,0,0.0,1,2.22,4,8.89,6,13.33,3,6.67,5,11.11,4,8.89,3,6.67,0,0.0,0,0.0,0,0.0,2,4.44,2,4.44,2,4.44,1,2.22,2,4.44,1,2.22,2,4.44,1,2.22,1,2.22,14018
14,21,46,0,0.0,0,0.0,0,0.0,0,0.0,1,2.17,0,0.0,6,13.04,5,10.87,5,10.87,6,13.04,5,10.87,6,13.04,0,0.0,0,0.0,0,0.0,0,0.0,1,2.17,0,0.0,3,6.52,4,8.7,3,6.52,1,2.17,0,0.0,0,0.0,14021
14,22,167,1,0.6,0,0.0,2,1.2,2,1.2,3,1.8,1,0.6,35,20.96,35,20.96,35,20.96,10,5.99,7,4.19,7,4.19,1,0.6,0,0.0,0,0.0,6,3.59,6,3.59,5,2.99,1,0.6,6,3.59,2,1.2,0,0.0,1,0.6,1,0.6,14022
14,23,111,1,0.9,2,1.8,1,0.9,2,1.8,0,0.0,1,0.9,22,19.82,21,18.92,24,21.62,9,8.11,11,9.91,9,8.11,0,0.0,0,0.0,0,0.0,1,0.9,1,0.9,1,0.9,2,1.8,2,1.8,1,0.9,0,0.0,0,0.0,0,0.0,14023
14,24,227,3,1.32,3,1.32,1,0.44,1,0.44,1,0.44,1,0.44,47,20.7,46,20.26,43,18.94,13,5.73,13,5.73,13,5.73,0,0.0,0,0.0,2,0.88,7,3.08,7,3.08,7,3.08,6,2.64,7,3.08,4,1.76,1,0.44,1,0.44,0,0.0,14024
14,25,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14025
14,26,38,1,2.63,0,0.0,0,0.0,0,0.0,1,2.63,0,0.0,7,18.42,7,18.42,7,18.42,4,10.53,3,7.89,2,5.26,0,0.0,1,2.63,0,0.0,1,2.63,0,0.0,1,2.63,0,0.0,1,2.63,1,2.63,0,0.0,1,2.63,0,0.0,14026
14,29,40,0,0.0,0,0.0,0,0.0,0,0.0,1,2.5,0,0.0,5,12.5,7,17.5,6,15.0,4,10.0,4,10.0,4,10.0,0,0.0,0,0.0,0,0.0,1,2.5,1,2.5,2,5.0,1,2.5,2,5.0,2,5.0,0,0.0,0,0.0,0,0.0,14029
15,1,49,1,2.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,18.37,7,14.29,8,16.33,3,6.12,3,6.12,1,2.04,0,0.0,0,0.0,0,0.0,1,2.04,1,2.04,0,0.0,5,10.2,4,8.16,3,6.12,2,4.08,1,2.04,0,0.0,15001
15,5,9,0,0.0,0,0.0,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11,0,0.0,0,0.0,0,0.0,1,11.11,0,0.0,0,0.0,2,22.22,2,22.22,2,22.22,0,0.0,0,0.0,0,0.0,15005
15,8,20,0,0.0,1,5.0,0,0.0,0,0.0,0,0.0,0,0.0,3,15.0,4,20.0,3,15.0,1,5.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.0,0,0.0,2,10.0,3,15.0,2,10.0,0,0.0,0,0.0,0,0.0,15008
15,13,24,0,0.0,0,0.0,2,8.33,1,4.17,0,0.0,0,0.0,4,16.67,6,25.0,7,29.17,1,4.17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.17,1,4.17,0,0.0,1,4.17,0,0.0,0,0.0,0,0.0,0,0.0,15013
15,14,41,0,0.0,0,0.0,1,2.44,0,0.0,0,0.0,0,0.0,7,17.07,6,14.63,6,14.63,2,4.88,3,7.32,1,2.44,0,0.0,0,0.0,0,0.0,1,2.44,0,0.0,0,0.0,5,12.2,5,12.2,4,9.76,0,0.0,0,0.0,0,0.0,15014
15,15,27,0,0.0,0,0.0,1,3.7,1,3.7,0,0.0,0,0.0,5,18.52,5,18.52,5,18.52,2,7.41,0,0.0,1,3.7,1,3.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,7.41,2,7.41,2,7.41,0,0.0,0,0.0,0,0.0,15015
15,16,39,1,2.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,17.95,5,12.82,7,17.95,4,10.26,2,5.13,2,5.13,1,2.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,7.69,2,5.13,2,5.13,2,5.13,1,2.56,0,0.0,15016
15,19,32,0,0.0,0,0.0,0,0.0,2,6.25,0,0.0,0,0.0,3,9.38,3,9.38,5,15.63,4,12.5,3,9.38,2,6.25,0,0.0,0,0.0,1,3.13,1,3.13,2,6.25,1,3.13,1,3.13,2,6.25,1,3.13,1,3.13,0,0.0,0,0.0,15019
16,1,33,1,3.03,1,3.03,0,0.0,1,3.03,0,0.0,0,0.0,2,6.06,2,6.06,2,6.06,6,18.18,3,9.09,4,12.12,0,0.0,0,0.0,0,0.0,0,0.0,3,9.09,2,6.06,1,3.03,2,6.06,3,9.09,0,0.0,0,0.0,0,0.0,16001
16,7,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16007
16,23,12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,16.67,2,16.67,2,16.67,1,8.33,1,8.33,1,8.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,8.33,1,8.33,1,8.33,0,0.0,0,0.0,0,0.0,16023
16,32,31,2,6.45,2,6.45,1,3.23,1,3.23,0,0.0,0,0.0,3,9.68,2,6.45,2,6.45,2,6.45,1,3.23,1,3.23,1,3.23,0,0.0,1,3.23,1,3.23,1,3.23,1,3.23,3,9.68,3,9.68,3,9.68,0,0.0,0,0.0,0,0.0,16032
16,35,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16035
18,15,59,0,0.0,0,0.0,0,0.0,1,1.69,0,0.0,0,0.0,8,13.56,8,13.56,8,13.56,8,13.56,9,15.25,7,11.86,0,0.0,1,1.69,0,0.0,2,3.39,1,1.69,1,1.69,2,3.39,1,1.69,1,1.69,0,0.0,0,0.0,1,1.69,18015
18,24,102,1,0.98,1,0.98,2,1.96,0,0.0,0,0.0,0,0.0,11,10.78,13,12.75,13,12.75,7,6.86,9,8.82,7,6.86,0,0.0,0,0.0,0,0.0,6,5.88,7,6.86,7,6.86,4,3.92,6,5.88,4,3.92,2,1.96,1,0.98,1,0.98,18024
18,25,80,1,1.25,0,0.0,1,1.25,0,0.0,0,0.0,0,0.0,15,18.75,15,18.75,15,18.75,10,12.5,7,8.75,6,7.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,3.75,5,6.25,2,2.5,0,0.0,0,0.0,0,0.0,18025
18,30,188,2,1.06,1,0.53,3,1.6,2,1.06,0,0.0,0,0.0,27,14.36,25,13.3,24,12.77,18,9.57,18,9.57,16,8.51,0,0.0,0,0.0,1,0.53,5,2.66,5,2.66,4,2.13,11,5.85,14,7.45,9,4.79,1,0.53,1,0.53,1,0.53,18030
18,40,79,1,1.27,1,1.27,1,1.27,0,0.0,1,1.27,0,0.0,12,15.19,11,13.92,12,15.19,8,10.13,8,10.13,6,7.59,0,0.0,0,0.0,0,0.0,3,3.8,3,3.8,3,3.8,2,2.53,3,3.8,2,2.53,1,1.27,0,0.0,1,1.27,18040
18,43,80,1,1.25,0,0.0,2,2.5,0,0.0,0,0.0,1,1.25,12,15.0,12,15.0,14,17.5,4,5.0,5,6.25,7,8.75,1,1.25,1,1.25,1,1.25,4,5.0,2,2.5,2,2.5,2,2.5,3,3.75,2,2.5,2,2.5,2,2.5,0,0.0,18043
18,46,100,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,21,21.0,21,21.0,22,22.0,3,3.0,5,5.0,4,4.0,1,1.0,1,1.0,1,1.0,4,4.0,3,3.0,2,2.0,2,2.0,4,4.0,2,2.0,0,0.0,1,1.0,1,1.0,18046
19,1,179,1,0.56,0,0.0,0,0.0,1,0.56,0,0.0,1,0.56,32,17.88,33,18.44,34,18.99,7,3.91,7,3.91,6,3.35,0,0.0,1,0.56,1,0.56,18,10.06,17,9.5,16,8.94,1,0.56,1,0.56,1,0.56,1,0.56,0,0.0,0,0.0,19001
19,2,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,19002
19,3,302,1,0.33,0,0.0,2,0.66,1,0.33,1,0.33,1,0.33,45,14.9,47,15.56,47,15.56,30,9.93,33,10.93,26,8.61,0,0.0,0,0.0,0,0.0,16,5.3,18,5.96,16,5.3,4,1.32,7,2.32,3,0.99,2,0.66,1,0.33,1,0.33,19003
19,4,392,0,0.0,3,0.77,4,1.02,4,1.02,1,0.26,4,1.02,72,18.37,79,20.15,71,18.11,20,5.1,23,5.87,20,5.1,0,0.0,0,0.0,1,0.26,20,5.1,21,5.36,16,4.08,9,2.3,11,2.81,10,2.55,1,0.26,1,0.26,1,0.26,19004
19,5,48,1,2.08,1,2.08,1,2.08,0,0.0,0,0.0,0,0.0,4,8.33,3,6.25,3,6.25,5,10.42,5,10.42,6,12.5,0,0.0,0,0.0,0,0.0,3,6.25,3,6.25,3,6.25,2,4.17,2,4.17,2,4.17,2,4.17,1,2.08,1,2.08,19005
19,6,332,2,0.6,0,0.0,2,0.6,3,0.9,1,0.3,1,0.3,58,17.47,59,17.77,55,16.57,23,6.93,25,7.53,19,5.72,0,0.0,1,0.3,1,0.3,13,3.92,13,3.92,13,3.92,11,3.31,11,3.31,10,3.01,4,1.2,3,0.9,4,1.2,19006
19,7,170,0,0.0,0,0.0,0,0.0,1,0.59,0,0.0,0,0.0,22,12.94,23,13.53,24,14.12,12,7.06,17,10.0,11,6.47,1,0.59,1,0.59,3,1.76,12,7.06,14,8.24,12,7.06,3,1.76,2,1.18,3,1.76,4,2.35,3,1.76,2,1.18,19007
19,8,457,1,0.22,0,0.0,1,0.22,2,0.44,3,0.66,2,0.44,82,17.94,89,19.47,81,17.72,30,6.56,37,8.1,27,5.91,0,0.0,1,0.22,0,0.0,22,4.81,24,5.25,24,5.25,8,1.75,11,2.41,6,1.31,2,0.44,2,0.44,2,0.44,19008
19,9,224,0,0.0,1,0.45,0,0.0,0,0.0,1,0.45,0,0.0,41,18.3,44,19.64,41,18.3,8,3.57,9,4.02,8,3.57,0,0.0,0,0.0,0,0.0,19,8.48,18,8.04,18,8.04,5,2.23,4,1.79,4,1.79,1,0.45,1,0.45,1,0.45,19009
19,10,199,2,1.01,1,0.5,2,1.01,0,0.0,0,0.0,0,0.0,24,12.06,22,11.06,22,11.06,16,8.04,14,7.04,13,6.53,0,0.0,0,0.0,2,1.01,24,12.06,23,11.56,22,11.06,3,1.51,3,1.51,1,0.5,1,0.5,2,1.01,2,1.01,19010
19,11,323,1,0.31,3,0.93,3,0.93,3,0.93,1,0.31,0,0.0,59,18.27,64,19.81,62,19.2,20,6.19,25,7.74,19,5.88,2,0.62,3,0.93,2,0.62,12,3.72,10,3.1,10,3.1,8,2.48,9,2.79,6,1.86,1,0.31,0,0.0,0,0.0,19011
19,12,271,0,0.0,0,0.0,0,0.0,0,0.0,2,0.74,2,0.74,60,22.14,62,22.88,57,21.03,16,5.9,17,6.27,15,5.54,0,0.0,1,0.37,0,0.0,10,3.69,8,2.95,11,4.06,3,1.11,4,1.48,3,1.11,0,0.0,0,0.0,0,0.0,19012
19,15,461,0,0.0,2,0.43,0,0.0,0,0.0,1,0.22,2,0.43,94,20.39,92,19.96,87,18.87,30,6.51,28,6.07,26,5.64,0,0.0,0,0.0,2,0.43,20,4.34,22,4.77,20,4.34,10,2.17,10,2.17,9,1.95,2,0.43,1,0.22,3,0.65,19015
19,16,343,7,2.04,4,1.17,5,1.46,2,0.58,1,0.29,1,0.29,70,20.41,76,22.16,69,20.12,19,5.54,19,5.54,15,4.37,1,0.29,0,0.0,4,1.17,8,2.33,7,2.04,5,1.46,5,1.46,6,1.75,6,1.75,6,1.75,3,0.87,4,1.17,19016
19,17,195,0,0.0,0,0.0,1,0.51,1,0.51,2,1.03,2,1.03,37,18.97,39,20.0,35,17.95,14,7.18,17,8.72,12,6.15,0,0.0,0,0.0,1,0.51,3,1.54,5,2.56,5,2.56,5,2.56,6,3.08,5,2.56,2,1.03,2,1.03,1,0.51,19017
19,18,202,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,1,0.5,23,11.39,22,10.89,21,10.4,11,5.45,12,5.94,12,5.94,0,0.0,1,0.5,0,0.0,20,9.9,22,10.89,20,9.9,11,5.45,11,5.45,10,4.95,1,0.5,1,0.5,1,0.5,19018
19,19,185,1,0.54,3,1.62,3,1.62,0,0.0,0,0.0,1,0.54,15,8.11,18,9.73,15,8.11,17,9.19,17,9.19,16,8.65,1,0.54,0,0.0,1,0.54,22,11.89,19,10.27,19,10.27,6,3.24,6,3.24,4,2.16,1,0.54,0,0.0,0,0.0,19019
19,21,404,0,0.0,1,0.25,0,0.0,2,0.5,2,0.5,2,0.5,77,19.06,76,18.81,71,17.57,25,6.19,31,7.67,24,5.94,1,0.25,2,0.5,2,0.5,20,4.95,19,4.7,21,5.2,9,2.23,7,1.73,7,1.73,2,0.5,2,0.5,1,0.25,19021
19,22,195,0,0.0,0,0.0,0,0.0,1,0.51,0,0.0,0,0.0,24,12.31,23,11.79,23,11.79,15,7.69,17,8.72,16,8.21,1,0.51,1,0.51,1,0.51,21,10.77,23,11.79,22,11.28,2,1.03,3,1.54,2,1.03,0,0.0,0,0.0,0,0.0,19022
19,23,222,0,0.0,1,0.45,0,0.0,2,0.9,1,0.45,1,0.45,28,12.61,30,13.51,28,12.61,26,11.71,26,11.71,21,9.46,0,0.0,0,0.0,0,0.0,15,6.76,12,5.41,12,5.41,5,2.25,7,3.15,6,2.7,0,0.0,1,0.45,0,0.0,19023
19,24,273,1,0.37,1,0.37,0,0.0,0,0.0,0,0.0,1,0.37,60,21.98,59,21.61,57,20.88,15,5.49,15,5.49,13,4.76,1,0.37,1,0.37,1,0.37,9,3.3,10,3.66,9,3.3,6,2.2,3,1.1,4,1.47,2,0.73,3,1.1,2,0.73,19024
19,25,188,0,0.0,0,0.0,1,0.53,1,0.53,0,0.0,0,0.0,22,11.7,26,13.83,21,11.17,20,10.64,23,12.23,19,10.11,3,1.6,1,0.53,1,0.53,12,6.38,15,7.98,13,6.91,4,2.13,3,1.6,2,1.06,1,0.53,0,0.0,0,0.0,19025
19,26,293,1,0.34,1,0.34,1,0.34,0,0.0,0,0.0,1,0.34,29,9.9,28,9.56,29,9.9,28,9.56,24,8.19,24,8.19,1,0.34,0,0.0,1,0.34,33,11.26,34,11.6,30,10.24,8,2.73,8,2.73,8,2.73,1,0.34,2,0.68,1,0.34,19026
19,29,403,0,0.0,2,0.5,1,0.25,2,0.5,1,0.25,1,0.25,74,18.36,80,19.85,70,17.37,28,6.95,36,8.93,26,6.45,2,0.5,0,0.0,1,0.25,17,4.22,17,4.22,14,3.47,5,1.24,13,3.23,7,1.74,3,0.74,2,0.5,1,0.25,19029
19,30,347,0,0.0,1,0.29,1,0.29,2,0.58,1,0.29,2,0.58,68,19.6,70,20.17,66,19.02,19,5.48,22,6.34,20,5.76,1,0.29,0,0.0,0,0.0,14,4.03,14,4.03,14,4.03,9,2.59,11,3.17,9,2.59,1,0.29,2,0.58,0,0.0,19030
19,32,209,0,0.0,0,0.0,1,0.48,0,0.0,0,0.0,0,0.0,45,21.53,43,20.57,40,19.14,11,5.26,12,5.74,10,4.78,1,0.48,2,0.96,1,0.48,9,4.31,9,4.31,9,4.31,5,2.39,5,2.39,5,2.39,0,0.0,1,0.48,0,0.0,19032
19,33,367,1,0.27,1,0.27,2,0.54,4,1.09,4,1.09,3,0.82,71,19.35,78,21.25,74,20.16,26,7.08,28,7.63,25,6.81,0,0.0,0,0.0,0,0.0,7,1.91,6,1.63,7,1.91,7,1.91,8,2.18,7,1.91,3,0.82,2,0.54,3,0.82,19033
19,34,207,2,0.97,2,0.97,3,1.45,1,0.48,1,0.48,0,0.0,27,13.04,26,12.56,24,11.59,18,8.7,16,7.73,14,6.76,0,0.0,0,0.0,0,0.0,17,8.21,17,8.21,17,8.21,6,2.9,9,4.35,6,2.9,0,0.0,1,0.48,0,0.0,19034
19,35,175,1,0.57,1,0.57,1,0.57,0,0.0,0,0.0,1,0.57,18,10.29,20,11.43,20,11.43,14,8.0,15,8.57,10,5.71,0,0.0,1,0.57,0,0.0,18,10.29,19,10.86,19,10.86,3,1.71,5,2.86,4,2.29,2,1.14,1,0.57,2,1.14,19035
19,41,321,1,0.31,2,0.62,6,1.87,0,0.0,1,0.31,0,0.0,66,20.56,66,20.56,68,21.18,18,5.61,24,7.48,18,5.61,0,0.0,0,0.0,1,0.31,12,3.74,12,3.74,13,4.05,4,1.25,4,1.25,2,0.62,2,0.62,1,0.31,0,0.0,19041
19,44,336,1,0.3,1,0.3,3,0.89,2,0.6,0,0.0,1,0.3,62,18.45,66,19.64,60,17.86,23,6.85,24,7.14,17,5.06,0,0.0,1,0.3,1,0.3,10,2.98,9,2.68,9,2.68,14,4.17,12,3.57,13,3.87,5,1.49,1,0.3,1,0.3,19044
19,45,314,2,0.64,2,0.64,2,0.64,3,0.96,1,0.32,3,0.96,53,16.88,54,17.2,50,15.92,16,5.1,22,7.01,14,4.46,0,0.0,0,0.0,1,0.32,22,7.01,26,8.28,22,7.01,9,2.87,6,1.91,5,1.59,1,0.32,0,0.0,0,0.0,19045
19,46,290,0,0.0,0,0.0,1,0.34,0,0.0,0,0.0,1,0.34,37,12.76,36,12.41,36,12.41,24,8.28,24,8.28,22,7.59,1,0.34,0,0.0,0,0.0,27,9.31,30,10.34,28,9.66,8,2.76,9,3.1,6,2.07,0,0.0,0,0.0,0,0.0,19046
19,50,182,1,0.55,0,0.0,0,0.0,2,1.1,0,0.0,1,0.55,32,17.58,33,18.13,31,17.03,11,6.04,12,6.59,8,4.4,0,0.0,0,0.0,1,0.55,12,6.59,11,6.04,14,7.69,3,1.65,4,2.2,1,0.55,3,1.65,1,0.55,1,0.55,19050
19,51,216,2,0.93,1,0.46,1,0.46,0,0.0,0,0.0,0,0.0,35,16.2,40,18.52,38,17.59,15,6.94,17,7.87,15,6.94,0,0.0,0,0.0,0,0.0,14,6.48,16,7.41,14,6.48,1,0.46,2,0.93,1,0.46,1,0.46,2,0.93,1,0.46,19051
19,52,354,0,0.0,4,1.13,5,1.41,3,0.85,1,0.28,2,0.56,75,21.19,81,22.88,72,20.34,22,6.21,20,5.65,17,4.8,2,0.56,1,0.28,1,0.28,4,1.13,8,2.26,6,1.69,7,1.98,10,2.82,9,2.54,2,0.56,2,0.56,0,0.0,19052
19,53,201,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,26,12.94,27,13.43,26,12.94,19,9.45,20,9.95,17,8.46,1,0.5,0,0.0,1,0.5,12,5.97,11,5.47,10,4.98,9,4.48,9,4.48,8,3.98,2,1.0,1,0.5,1,0.5,19053
19,54,316,0,0.0,0,0.0,2,0.63,0,0.0,0,0.0,1,0.32,66,20.89,66,20.89,60,18.99,21,6.65,22,6.96,18,5.7,2,0.63,1,0.32,1,0.32,9,2.85,8,2.53,9,2.85,8,2.53,9,2.85,8,2.53,3,0.95,1,0.32,1,0.32,19054
19,55,340,2,0.59,3,0.88,3,0.88,0,0.0,1,0.29,0,0.0,73,21.47,75,22.06,75,22.06,22,6.47,20,5.88,19,5.59,0,0.0,2,0.59,0,0.0,6,1.76,6,1.76,5,1.47,7,2.06,7,2.06,5,1.47,3,0.88,3,0.88,3,0.88,19055
19,56,186,0,0.0,0,0.0,1,0.54,0,0.0,0,0.0,0,0.0,28,15.05,31,16.67,28,15.05,10,5.38,12,6.45,8,4.3,0,0.0,0,0.0,0,0.0,16,8.6,15,8.06,14,7.53,7,3.76,7,3.76,7,3.76,1,0.54,0,0.0,1,0.54,19056
19,57,77,1,1.3,1,1.3,1,1.3,0,0.0,0,0.0,0,0.0,7,9.09,6,7.79,6,7.79,7,9.09,7,9.09,8,10.39,0,0.0,0,0.0,0,0.0,7,9.09,8,10.39,6,7.79,4,5.19,4,5.19,4,5.19,0,0.0,0,0.0,0,0.0,19057
20,4,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,33.33,2,33.33,2,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20004
20,15,26,0,0.0,2,7.69,0,0.0,0,0.0,1,3.85,0,0.0,3,11.54,3,11.54,3,11.54,2,7.69,4,15.38,3,11.54,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.85,1,3.85,2,7.69,1,3.85,0,0.0,0,0.0,0,0.0,20015
20,20,3,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,20020
22,1,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,22001
22,2,142,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7,1,0.7,26,18.31,21,14.79,22,15.49,9,6.34,9,6.34,7,4.93,1,0.7,0,0.0,1,0.7,5,3.52,5,3.52,5,3.52,8,5.63,11,7.75,8,5.63,1,0.7,1,0.7,0,0.0,22002
22,8,136,0,0.0,1,0.74,0,0.0,1,0.74,0,0.0,1,0.74,22,16.18,23,16.91,25,18.38,9,6.62,5,3.68,5,3.68,3,2.21,1,0.74,3,2.21,6,4.41,9,6.62,5,3.68,5,3.68,7,5.15,4,2.94,0,0.0,0,0.0,1,0.74,22008
22,12,84,1,1.19,2,2.38,1,1.19,0,0.0,0,0.0,0,0.0,12,14.29,14,16.67,13,15.48,10,11.9,9,10.71,10,11.9,0,0.0,0,0.0,0,0.0,0,0.0,2,2.38,0,0.0,2,2.38,3,3.57,3,3.57,1,1.19,1,1.19,0,0.0,22012
22,23,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22023
23,1,149,0,0.0,0,0.0,2,1.34,1,0.67,0,0.0,0,0.0,28,18.79,32,21.48,31,20.81,10,6.71,12,8.05,10,6.71,0,0.0,0,0.0,0,0.0,3,2.01,3,2.01,3,2.01,5,3.36,2,1.34,2,1.34,1,0.67,2,1.34,2,1.34,23001
