ward,precinct,total,Carol Smith Donovan (Bush),Carol Smith Donovan (Bush) Percent,Brian Timpone (Bush),Brian Timpone (Bush) Percent,Kathleen A. Thomas (Bush),Kathleen A. Thomas (Bush) Percent,Lora Drobetsky (Trump),Lora Drobetsky (Trump) Percent,Steve Trimble (Trump),Steve Trimble (Trump) Percent,John Simpson (Trump),John Simpson (Trump) Percent,Laura Lewandowski (Christie),Laura Lewandowski (Christie) Percent,Stephanie Guyett (Christie),Stephanie Guyett (Christie) Percent,Douglas Guyett (Christie),Douglas Guyett (Christie) Percent,James Francis Zangrilli (Cruz),James Francis Zangrilli (Cruz) Percent,Kerrie Reed (Cruz),Kerrie Reed (Cruz) Percent,Joshua Hammer (Cruz),Joshua Hammer (Cruz) Percent,Carl Segvich (Santorum),Carl Segvich (Santorum) Percent,Corinne Williams (Fiorina),Corinne Williams (Fiorina) Percent,Jeff Halm (Fiorina),Jeff Halm (Fiorina) Percent,Kathryn ''Kayte'' Malik (Fiorina),Kathryn ''Kayte'' Malik (Fiorina) Percent,Nancy J. Kimme (Kasich),Nancy J. Kimme (Kasich) Percent,William Dean Smithburg (Kasich),William Dean Smithburg (Kasich) Percent,Kreg T. Allison (Kasich),Kreg T. Allison (Kasich) Percent,Amanda B. Dechavez (Carson),Amanda B. Dechavez (Carson) Percent,Thomas Edward McDonough (Carson),Thomas Edward McDonough (Carson) Percent,Bruce John Schulte (Carson),Bruce John Schulte (Carson) Percent,Grace Austin (Paul),Grace Austin (Paul) Percent,Alberta Grossi-Antweiler (Paul),Alberta Grossi-Antweiler (Paul) Percent,Eloise Gerson (Rubio),Eloise Gerson (Rubio) Percent,Michael Rolfes (Rubio),Michael Rolfes (Rubio) Percent,Brendan Seyring (Rubio),Brendan Seyring (Rubio) Percent,precinct_id
4,4,25,0,0.0,1,4.0,1,4.0,1,4.0,2,8.0,2,8.0,0,0.0,0,0.0,0,0.0,1,4.0,3,12.0,3,12.0,0,0.0,0,0.0,0,0.0,0,0.0,2,8.0,1,4.0,2,8.0,1,4.0,2,8.0,1,4.0,0,0.0,0,0.0,1,4.0,0,0.0,1,4.0,04004
4,5,42,0,0.0,0,0.0,0,0.0,1,2.38,1,2.38,1,2.38,0,0.0,0,0.0,0,0.0,5,11.9,6,14.29,6,14.29,0,0.0,0,0.0,0,0.0,0,0.0,3,7.14,2,4.76,3,7.14,0,0.0,1,2.38,0,0.0,1,2.38,0,0.0,4,9.52,5,11.9,3,7.14,04005
4,6,43,2,4.65,0,0.0,0,0.0,5,11.63,6,13.95,6,13.95,0,0.0,0,0.0,0,0.0,1,2.33,3,6.98,4,9.3,0,0.0,0,0.0,0,0.0,0,0.0,1,2.33,1,2.33,3,6.98,0,0.0,1,2.33,0,0.0,1,2.33,1,2.33,4,9.3,1,2.33,3,6.98,04006
4,7,23,1,4.35,0,0.0,1,4.35,1,4.35,1,4.35,1,4.35,1,4.35,0,0.0,0,0.0,1,4.35,3,13.04,2,8.7,0,0.0,2,8.7,0,0.0,1,4.35,2,8.7,1,4.35,2,8.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.35,1,4.35,1,4.35,04007
4,8,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04008
4,10,41,0,0.0,0,0.0,0,0.0,3,7.32,3,7.32,2,4.88,0,0.0,0,0.0,0,0.0,1,2.44,1,2.44,2,4.88,0,0.0,0,0.0,0,0.0,0,0.0,8,19.51,6,14.63,8,19.51,0,0.0,1,2.44,0,0.0,0,0.0,0,0.0,2,4.88,2,4.88,2,4.88,04010
4,11,14,0,0.0,0,0.0,1,7.14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,7.14,3,21.43,2,14.29,0,0.0,0,0.0,0,0.0,1,7.14,1,7.14,1,7.14,1,7.14,1,7.14,0,0.0,1,7.14,1,7.14,0,0.0,0,0.0,0,0.0,0,0.0,04011
4,13,127,2,1.57,1,0.79,0,0.0,11,8.66,13,10.24,11,8.66,0,0.0,1,0.79,0,0.0,4,3.15,7,5.51,6,4.72,0,0.0,1,0.79,0,0.0,0,0.0,15,11.81,13,10.24,12,9.45,0,0.0,0,0.0,0,0.0,1,0.79,0,0.0,7,5.51,12,9.45,10,7.87,04013
4,14,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04014
4,15,12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,33.33,2,16.67,3,25.0,0,0.0,1,8.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04015
4,16,186,0,0.0,1,0.54,0,0.0,22,11.83,21,11.29,23,12.37,1,0.54,0,0.0,0,0.0,2,1.08,9,4.84,8,4.3,0,0.0,2,1.08,1,0.54,0,0.0,28,15.05,23,12.37,24,12.9,1,0.54,0,0.0,0,0.0,2,1.08,1,0.54,6,3.23,6,3.23,5,2.69,04016
4,17,216,0,0.0,0,0.0,1,0.46,18,8.33,19,8.8,19,8.8,1,0.46,1,0.46,1,0.46,10,4.63,13,6.02,13,6.02,1,0.46,1,0.46,0,0.0,0,0.0,27,12.5,20,9.26,25,11.57,4,1.85,1,0.46,2,0.93,1,0.46,1,0.46,15,6.94,11,5.09,11,5.09,04017
4,20,165,1,0.61,1,0.61,1,0.61,12,7.27,13,7.88,13,7.88,3,1.82,1,0.61,0,0.0,7,4.24,9,5.45,10,6.06,1,0.61,3,1.82,0,0.0,1,0.61,22,13.33,20,12.12,23,13.94,0,0.0,1,0.61,0,0.0,1,0.61,1,0.61,8,4.85,7,4.24,6,3.64,04020
4,21,203,0,0.0,1,0.49,2,0.99,23,11.33,23,11.33,18,8.87,0,0.0,0,0.0,0,0.0,7,3.45,14,6.9,13,6.4,1,0.49,2,0.99,2,0.99,2,0.99,26,12.81,22,10.84,28,13.79,1,0.49,1,0.49,0,0.0,1,0.49,0,0.0,4,1.97,7,3.45,5,2.46,04021
4,22,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04022
4,25,241,2,0.83,1,0.41,2,0.83,17,7.05,12,4.98,11,4.56,4,1.66,2,0.83,0,0.0,12,4.98,17,7.05,16,6.64,0,0.0,0,0.0,1,0.41,1,0.41,42,17.43,34,14.11,34,14.11,1,0.41,2,0.83,0,0.0,2,0.83,2,0.83,11,4.56,8,3.32,7,2.9,04025
4,28,39,0,0.0,0,0.0,0,0.0,8,20.51,7,17.95,7,17.95,1,2.56,0,0.0,0,0.0,1,2.56,1,2.56,1,2.56,0,0.0,0,0.0,1,2.56,1,2.56,2,5.13,1,2.56,2,5.13,1,2.56,1,2.56,1,2.56,0,0.0,0,0.0,1,2.56,1,2.56,1,2.56,04028
4,29,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,04029
4,30,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04030
4,34,28,0,0.0,0,0.0,0,0.0,3,10.71,3,10.71,3,10.71,1,3.57,1,3.57,0,0.0,1,3.57,1,3.57,1,3.57,0,0.0,0,0.0,0,0.0,0,0.0,3,10.71,3,10.71,3,10.71,1,3.57,0,0.0,0,0.0,0,0.0,0,0.0,2,7.14,1,3.57,1,3.57,04034
4,35,24,0,0.0,0,0.0,0,0.0,2,8.33,3,12.5,3,12.5,0,0.0,1,4.17,0,0.0,3,12.5,3,12.5,4,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,8.33,2,8.33,1,4.17,04035
4,36,4,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,1,25.0,1,25.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04036
4,37,247,0,0.0,1,0.4,0,0.0,16,6.48,16,6.48,17,6.88,2,0.81,0,0.0,1,0.4,13,5.26,22,8.91,21,8.5,0,0.0,1,0.4,1,0.4,1,0.4,37,14.98,34,13.77,38,15.38,2,0.81,1,0.4,1,0.4,0,0.0,0,0.0,9,3.64,7,2.83,6,2.43,04037
6,21,3,0,0.0,0,0.0,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,06021
11,2,32,2,6.25,0,0.0,1,3.13,2,6.25,2,6.25,2,6.25,0,0.0,0,0.0,0,0.0,3,9.38,4,12.5,3,9.38,3,9.38,1,3.13,0,0.0,0,0.0,0,0.0,1,3.13,0,0.0,1,3.13,1,3.13,0,0.0,0,0.0,0,0.0,2,6.25,2,6.25,2,6.25,11002
11,6,254,0,0.0,1,0.39,1,0.39,28,11.02,32,12.6,30,11.81,0,0.0,1,0.39,0,0.0,12,4.72,18,7.09,16,6.3,5,1.97,2,0.79,0,0.0,1,0.39,22,8.66,17,6.69,18,7.09,0,0.0,1,0.39,1,0.39,0,0.0,0,0.0,20,7.87,15,5.91,13,5.12,11006
11,7,135,0,0.0,0,0.0,1,0.74,11,8.15,10,7.41,10,7.41,0,0.0,0,0.0,0,0.0,5,3.7,6,4.44,5,3.7,2,1.48,0,0.0,0,0.0,1,0.74,21,15.56,19,14.07,21,15.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,5.93,8,5.93,7,5.19,11007
11,14,123,0,0.0,0,0.0,1,0.81,24,19.51,25,20.33,22,17.89,2,1.63,1,0.81,0,0.0,7,5.69,8,6.5,7,5.69,4,3.25,1,0.81,0,0.0,0,0.0,4,3.25,3,2.44,3,2.44,3,2.44,0,0.0,1,0.81,0,0.0,0,0.0,3,2.44,2,1.63,2,1.63,11014
11,30,87,0,0.0,0,0.0,2,2.3,18,20.69,16,18.39,15,17.24,2,2.3,0,0.0,1,1.15,5,5.75,6,6.9,5,5.75,2,2.3,1,1.15,1,1.15,1,1.15,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.15,1,1.15,0,0.0,3,3.45,4,4.6,3,3.45,11030
11,33,226,0,0.0,0,0.0,1,0.44,17,7.52,17,7.52,14,6.19,2,0.88,2,0.88,0,0.0,12,5.31,20,8.85,19,8.41,0,0.0,1,0.44,1,0.44,1,0.44,28,12.39,20,8.85,25,11.06,1,0.44,1,0.44,1,0.44,2,0.88,0,0.0,15,6.64,14,6.19,12,5.31,11033
11,34,78,1,1.28,1,1.28,0,0.0,14,17.95,13,16.67,13,16.67,2,2.56,3,3.85,2,2.56,4,5.13,2,2.56,2,2.56,10,12.82,0,0.0,0,0.0,0,0.0,4,5.13,2,2.56,2,2.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.28,1,1.28,1,1.28,11034
11,35,32,0,0.0,0,0.0,0,0.0,6,18.75,7,21.88,6,18.75,1,3.13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,15.63,1,3.13,0,0.0,1,3.13,3,9.38,0,0.0,2,6.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11035
11,36,75,1,1.33,3,4.0,2,2.67,9,12.0,8,10.67,10,13.33,1,1.33,1,1.33,0,0.0,3,4.0,2,2.67,1,1.33,3,4.0,1,1.33,1,1.33,1,1.33,3,4.0,5,6.67,4,5.33,3,4.0,0,0.0,0,0.0,1,1.33,1,1.33,4,5.33,4,5.33,3,4.0,11036
11,37,22,0,0.0,1,4.55,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,9.09,3,13.64,3,13.64,1,4.55,0,0.0,0,0.0,0,0.0,2,9.09,3,13.64,2,9.09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,9.09,2,9.09,1,4.55,11037
12,10,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12010
12,15,27,4,14.81,1,3.7,1,3.7,2,7.41,3,11.11,2,7.41,0,0.0,1,3.7,0,0.0,2,7.41,3,11.11,2,7.41,0,0.0,0,0.0,1,3.7,1,3.7,1,3.7,0,0.0,1,3.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,7.41,0,0.0,0,0.0,12015
12,18,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12018
15,2,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15002
15,3,3,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15003
15,7,3,1,33.33,0,0.0,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15007
15,13,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15013
15,14,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15014
15,16,6,0,0.0,0,0.0,0,0.0,2,33.33,2,33.33,2,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15016
15,17,7,0,0.0,0,0.0,0,0.0,2,28.57,1,14.29,1,14.29,0,0.0,0,0.0,0,0.0,1,14.29,1,14.29,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15017
15,18,11,2,18.18,2,18.18,1,9.09,0,0.0,0,0.0,0,0.0,1,9.09,0,0.0,0,0.0,0,0.0,1,9.09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,9.09,0,0.0,1,9.09,0,0.0,0,0.0,0,0.0,1,9.09,1,9.09,0,0.0,15018
15,20,6,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,0,0.0,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,0,0.0,15020
15,21,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15021
15,22,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15022
15,23,6,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.67,1,16.67,1,16.67,15023
15,24,3,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,15024
16,2,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,20.0,2,40.0,1,20.0,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16002
16,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16003
16,4,15,0,0.0,1,6.67,0,0.0,2,13.33,2,13.33,2,13.33,0,0.0,0,0.0,1,6.67,1,6.67,1,6.67,1,6.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,6.67,0,0.0,1,6.67,0,0.0,0,0.0,2,13.33,0,0.0,0,0.0,16004
16,5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16005
16,6,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16006
16,7,9,0,0.0,0,0.0,0,0.0,1,11.11,1,11.11,1,11.11,0,0.0,0,0.0,0,0.0,2,22.22,2,22.22,2,22.22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16007
16,8,8,1,12.5,1,12.5,0,0.0,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,12.5,0,0.0,0,0.0,0,0.0,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,1,12.5,1,12.5,1,12.5,16008
16,9,3,0,0.0,0,0.0,0,0.0,1,33.33,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16009
16,10,3,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16010
16,11,7,1,14.29,0,0.0,0,0.0,1,14.29,2,28.57,2,28.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16011
16,12,10,0,0.0,0,0.0,1,10.0,1,10.0,1,10.0,1,10.0,0,0.0,0,0.0,0,0.0,1,10.0,1,10.0,3,30.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,10.0,0,0.0,0,0.0,16012
16,13,12,1,8.33,0,0.0,0,0.0,2,16.67,3,25.0,2,16.67,0,0.0,1,8.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,8.33,0,0.0,0,0.0,0,0.0,0,0.0,1,8.33,0,0.0,1,8.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16013
16,14,12,0,0.0,0,0.0,0,0.0,2,16.67,3,25.0,2,16.67,0,0.0,0,0.0,0,0.0,0,0.0,2,16.67,2,16.67,0,0.0,0,0.0,0,0.0,1,8.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16014
16,15,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16015
16,16,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16016
16,17,47,0,0.0,1,2.13,1,2.13,5,10.64,5,10.64,5,10.64,0,0.0,0,0.0,0,0.0,5,10.64,6,12.77,8,17.02,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,4.26,0,0.0,1,2.13,1,2.13,0,0.0,2,4.26,2,4.26,3,6.38,16017
16,18,21,1,4.76,1,4.76,1,4.76,5,23.81,5,23.81,5,23.81,0,0.0,0,0.0,0,0.0,0,0.0,2,9.52,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.76,0,0.0,0,0.0,16018
16,19,8,0,0.0,0,0.0,0,0.0,2,25.0,1,12.5,1,12.5,0,0.0,0,0.0,0,0.0,1,12.5,1,12.5,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16019
16,20,3,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16020
16,21,9,0,0.0,0,0.0,0,0.0,3,33.33,3,33.33,3,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16021
16,22,14,0,0.0,0,0.0,0,0.0,2,14.29,2,14.29,1,7.14,0,0.0,0,0.0,1,7.14,1,7.14,0,0.0,0,0.0,1,7.14,1,7.14,0,0.0,1,7.14,0,0.0,0,0.0,1,7.14,2,14.29,0,0.0,0,0.0,1,7.14,0,0.0,0,0.0,0,0.0,0,0.0,16022
16,23,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16023
16,24,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16024
16,25,7,1,14.29,1,14.29,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,14.29,2,28.57,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16025
16,26,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16026
16,27,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16027
