ward,precinct,total,Guadalupe Jose Flores (Cruz),Guadalupe Jose Flores (Cruz) Percent,Steven J. Jedd (Cruz),Steven J. Jedd (Cruz) Percent,Michael S. Toleman (Cruz),Michael S. Toleman (Cruz) Percent,Justin Krope (Trump),Justin Krope (Trump) Percent,Diana Jayne (Trump),Diana Jayne (Trump) Percent,Richard Sawchuk (Trump),Richard Sawchuk (Trump) Percent,Glen Samson (Christie),Glen Samson (Christie) Percent,Carol Kissane (Christie),Carol Kissane (Christie) Percent,Gerard M. Kraus (Christie),Gerard M. Kraus (Christie) Percent,Jesus E. Solorio (Bush),Jesus E. Solorio (Bush) Percent,Louis J. Rodriguez (Bush),Louis J. Rodriguez (Bush) Percent,Joseph Urani (Bush),Joseph Urani (Bush) Percent,Richard Beierwaltes (Fiorina),Richard Beierwaltes (Fiorina) Percent,Helen Manson (Fiorina),Helen Manson (Fiorina) Percent,Susan Chmelik (Fiorina),Susan Chmelik (Fiorina) Percent,Timothy W. Heilenbach (Kasich),Timothy W. Heilenbach (Kasich) Percent,Vera A. Wilt (Kasich),Vera A. Wilt (Kasich) Percent,Ann Melichar (Kasich),Ann Melichar (Kasich) Percent,Karen Pulia (Rubio),Karen Pulia (Rubio) Percent,Tom Tomschin (Rubio),Tom Tomschin (Rubio) Percent,Daniela Garcia (Rubio),Daniela Garcia (Rubio) Percent,Alejandrino Diaz Jr. (Carson),Alejandrino Diaz Jr. (Carson) Percent,Welson Cesar (Carson),Welson Cesar (Carson) Percent,precinct_id
22,11,23,2,8.7,1,4.35,1,4.35,0,0.0,0,0.0,0,0.0,0,0.0,1,4.35,0,0.0,1,4.35,0,0.0,0,0.0,0,0.0,1,4.35,0,0.0,1,4.35,3,13.04,3,13.04,3,13.04,2,8.7,4,17.39,0,0.0,0,0.0,22011
22,13,63,4,6.35,2,3.17,2,3.17,8,12.7,8,12.7,6,9.52,1,1.59,0,0.0,0,0.0,1,1.59,3,4.76,0,0.0,0,0.0,0,0.0,0,0.0,5,7.94,7,11.11,7,11.11,3,4.76,2,3.17,4,6.35,0,0.0,0,0.0,22013
22,14,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22014
22,15,29,2,6.9,2,6.9,1,3.45,4,13.79,4,13.79,4,13.79,0,0.0,0,0.0,0,0.0,0,0.0,2,6.9,1,3.45,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,10.34,2,6.9,3,10.34,1,3.45,0,0.0,22015
22,16,45,4,8.89,2,4.44,3,6.67,6,13.33,6,13.33,6,13.33,0,0.0,0,0.0,1,2.22,2,4.44,2,4.44,1,2.22,0,0.0,1,2.22,0,0.0,1,2.22,2,4.44,2,4.44,3,6.67,0,0.0,2,4.44,1,2.22,0,0.0,22016
22,17,36,6,16.67,7,19.44,5,13.89,5,13.89,5,13.89,4,11.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.78,1,2.78,0,0.0,1,2.78,1,2.78,22017
22,18,24,4,16.67,3,12.5,3,12.5,2,8.33,3,12.5,3,12.5,0,0.0,0,0.0,0,0.0,1,4.17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.17,1,4.17,3,12.5,0,0.0,0,0.0,22018
22,19,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22019
22,20,36,3,8.33,3,8.33,4,11.11,2,5.56,3,8.33,4,11.11,0,0.0,0,0.0,0,0.0,1,2.78,1,2.78,2,5.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.78,3,8.33,4,11.11,5,13.89,0,0.0,0,0.0,22020
22,22,38,3,7.89,1,2.63,1,2.63,4,10.53,5,13.16,3,7.89,0,0.0,0,0.0,0,0.0,3,7.89,4,10.53,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,7.89,4,10.53,6,15.79,0,0.0,1,2.63,22022
22,24,30,3,10.0,4,13.33,5,16.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,16.67,5,16.67,5,16.67,1,3.33,1,3.33,22024
22,25,29,2,6.9,2,6.9,2,6.9,5,17.24,6,20.69,5,17.24,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.45,0,0.0,0,0.0,0,0.0,1,3.45,1,3.45,3,10.34,0,0.0,0,0.0,0,0.0,1,3.45,0,0.0,22025
23,9,32,7,21.88,8,25.0,8,25.0,2,6.25,3,9.38,2,6.25,0,0.0,1,3.13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.13,0,0.0,0,0.0,0,0.0,0,0.0,23009
23,13,40,5,12.5,4,10.0,4,10.0,7,17.5,7,17.5,7,17.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,5.0,2,5.0,2,5.0,0,0.0,0,0.0,23013
23,15,5,1,20.0,0,0.0,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0,0,0.0,1,20.0,1,20.0,0,0.0,0,0.0,23015
23,24,67,6,8.96,6,8.96,8,11.94,10,14.93,9,13.43,10,14.93,0,0.0,1,1.49,0,0.0,1,1.49,1,1.49,0,0.0,1,1.49,1,1.49,0,0.0,0,0.0,1,1.49,2,2.99,2,2.99,2,2.99,3,4.48,2,2.99,1,1.49,23024
23,26,7,0,0.0,1,14.29,0,0.0,2,28.57,2,28.57,2,28.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,23026
23,34,8,2,25.0,1,12.5,1,12.5,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,12.5,0,0.0,0,0.0,0,0.0,0,0.0,2,25.0,0,0.0,0,0.0,0,0.0,23034
23,39,27,5,18.52,4,14.81,5,18.52,2,7.41,3,11.11,2,7.41,0,0.0,0,0.0,0,0.0,0,0.0,1,3.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.7,1,3.7,3,11.11,0,0.0,0,0.0,23039
24,16,9,3,33.33,1,11.11,1,11.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,11.11,1,11.11,2,22.22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,24016
25,1,44,4,9.09,4,9.09,3,6.82,5,11.36,5,11.36,6,13.64,0,0.0,0,0.0,0,0.0,0,0.0,2,4.55,0,0.0,0,0.0,0,0.0,0,0.0,2,4.55,2,4.55,4,9.09,2,4.55,2,4.55,2,4.55,1,2.27,0,0.0,25001
25,2,31,1,3.23,1,3.23,1,3.23,5,16.13,5,16.13,5,16.13,0,0.0,0,0.0,0,0.0,0,0.0,1,3.23,0,0.0,0,0.0,0,0.0,0,0.0,3,9.68,3,9.68,3,9.68,0,0.0,0,0.0,1,3.23,1,3.23,1,3.23,25002
25,5,57,6,10.53,6,10.53,8,14.04,8,14.04,7,12.28,7,12.28,0,0.0,0,0.0,0,0.0,1,1.75,1,1.75,0,0.0,0,0.0,0,0.0,0,0.0,2,3.51,3,5.26,3,5.26,2,3.51,1,1.75,1,1.75,1,1.75,0,0.0,25005
25,7,45,6,13.33,4,8.89,4,8.89,3,6.67,3,6.67,3,6.67,2,4.44,0,0.0,0,0.0,2,4.44,2,4.44,0,0.0,1,2.22,0,0.0,0,0.0,1,2.22,4,8.89,5,11.11,2,4.44,0,0.0,2,4.44,1,2.22,0,0.0,25007
25,8,62,4,6.45,4,6.45,3,4.84,10,16.13,9,14.52,8,12.9,2,3.23,0,0.0,0,0.0,1,1.61,0,0.0,0,0.0,0,0.0,1,1.61,0,0.0,2,3.23,2,3.23,2,3.23,2,3.23,2,3.23,5,8.06,3,4.84,2,3.23,25008
25,9,56,8,14.29,3,5.36,4,7.14,7,12.5,10,17.86,7,12.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.79,0,0.0,1,1.79,0,0.0,0,0.0,1,1.79,1,1.79,6,10.71,2,3.57,3,5.36,2,3.57,0,0.0,25009
25,11,68,7,10.29,7,10.29,9,13.24,6,8.82,7,10.29,6,8.82,0,0.0,2,2.94,0,0.0,1,1.47,0,0.0,1,1.47,1,1.47,1,1.47,1,1.47,4,5.88,5,7.35,4,5.88,2,2.94,1,1.47,1,1.47,1,1.47,1,1.47,25011
25,12,61,8,13.11,7,11.48,8,13.11,6,9.84,9,14.75,7,11.48,0,0.0,1,1.64,0,0.0,1,1.64,1,1.64,1,1.64,0,0.0,0,0.0,0,0.0,2,3.28,2,3.28,2,3.28,2,3.28,1,1.64,3,4.92,0,0.0,0,0.0,25012
25,13,18,3,16.67,2,11.11,2,11.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,16.67,1,5.56,1,5.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.56,2,11.11,2,11.11,1,5.56,0,0.0,0,0.0,25013
25,14,14,1,7.14,0,0.0,0,0.0,4,28.57,5,35.71,4,28.57,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25014
25,15,60,4,6.67,4,6.67,4,6.67,10,16.67,10,16.67,9,15.0,0,0.0,0,0.0,0,0.0,1,1.67,1,1.67,0,0.0,0,0.0,0,0.0,0,0.0,2,3.33,2,3.33,2,3.33,3,5.0,3,5.0,5,8.33,0,0.0,0,0.0,25015
25,17,60,5,8.33,5,8.33,3,5.0,7,11.67,9,15.0,7,11.67,0,0.0,0,0.0,1,1.67,2,3.33,1,1.67,0,0.0,0,0.0,1,1.67,0,0.0,2,3.33,4,6.67,4,6.67,2,3.33,3,5.0,3,5.0,1,1.67,0,0.0,25017
25,19,26,2,7.69,3,11.54,2,7.69,1,3.85,2,7.69,1,3.85,1,3.85,0,0.0,0,0.0,0,0.0,3,11.54,0,0.0,0,0.0,1,3.85,1,3.85,3,11.54,0,0.0,0,0.0,2,7.69,1,3.85,1,3.85,1,3.85,1,3.85,25019
25,22,32,2,6.25,2,6.25,2,6.25,4,12.5,4,12.5,4,12.5,0,0.0,0,0.0,0,0.0,3,9.38,0,0.0,1,3.13,0,0.0,0,0.0,0,0.0,0,0.0,3,9.38,2,6.25,1,3.13,0,0.0,2,6.25,1,3.13,1,3.13,25022
25,23,30,3,10.0,5,16.67,2,6.67,2,6.67,2,6.67,2,6.67,1,3.33,0,0.0,1,3.33,1,3.33,2,6.67,1,3.33,0,0.0,1,3.33,0,0.0,1,3.33,1,3.33,1,3.33,1,3.33,1,3.33,1,3.33,1,3.33,0,0.0,25023
25,24,40,5,12.5,4,10.0,4,10.0,5,12.5,6,15.0,6,15.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.5,1,2.5,1,2.5,2,5.0,2,5.0,3,7.5,0,0.0,0,0.0,25024
25,26,39,2,5.13,2,5.13,2,5.13,6,15.38,7,17.95,8,20.51,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,5.13,1,2.56,4,10.26,2,5.13,3,7.69,0,0.0,0,0.0,25026
25,27,6,2,33.33,2,33.33,2,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25027
25,28,52,9,17.31,6,11.54,5,9.62,1,1.92,3,5.77,1,1.92,1,1.92,1,1.92,1,1.92,3,5.77,3,5.77,1,1.92,0,0.0,0,0.0,0,0.0,1,1.92,3,5.77,3,5.77,4,7.69,4,7.69,2,3.85,0,0.0,0,0.0,25028
25,30,55,4,7.27,4,7.27,5,9.09,1,1.82,4,7.27,2,3.64,1,1.82,0,0.0,0,0.0,2,3.64,1,1.82,0,0.0,0,0.0,0,0.0,0,0.0,1,1.82,2,3.64,2,3.64,9,16.36,8,14.55,9,16.36,0,0.0,0,0.0,25030
25,32,57,4,7.02,6,10.53,5,8.77,7,12.28,7,12.28,9,15.79,1,1.75,1,1.75,1,1.75,1,1.75,1,1.75,1,1.75,1,1.75,1,1.75,1,1.75,0,0.0,1,1.75,2,3.51,4,7.02,1,1.75,1,1.75,1,1.75,0,0.0,25032
26,1,23,0,0.0,0,0.0,0,0.0,2,8.7,1,4.35,3,13.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,17.39,4,17.39,4,17.39,0,0.0,2,8.7,1,4.35,1,4.35,1,4.35,26001
26,2,45,2,4.44,3,6.67,4,8.89,6,13.33,8,17.78,5,11.11,0,0.0,1,2.22,0,0.0,0,0.0,3,6.67,0,0.0,0,0.0,0,0.0,1,2.22,0,0.0,0,0.0,0,0.0,4,8.89,3,6.67,5,11.11,0,0.0,0,0.0,26002
26,5,38,4,10.53,3,7.89,2,5.26,3,7.89,6,15.79,4,10.53,0,0.0,1,2.63,0,0.0,1,2.63,1,2.63,0,0.0,0,0.0,2,5.26,1,2.63,0,0.0,0,0.0,0,0.0,2,5.26,1,2.63,4,10.53,2,5.26,1,2.63,26005
26,6,55,8,14.55,6,10.91,5,9.09,5,9.09,3,5.45,3,5.45,0,0.0,0,0.0,1,1.82,1,1.82,1,1.82,2,3.64,0,0.0,0,0.0,0,0.0,1,1.82,2,3.64,3,5.45,3,5.45,4,7.27,3,5.45,3,5.45,1,1.82,26006
26,7,60,6,10.0,6,10.0,5,8.33,2,3.33,3,5.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.67,0,0.0,0,0.0,0,0.0,1,1.67,0,0.0,9,15.0,8,13.33,7,11.67,5,8.33,4,6.67,3,5.0,0,0.0,0,0.0,26007
26,8,17,0,0.0,2,11.76,1,5.88,3,17.65,4,23.53,2,11.76,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.88,1,5.88,2,11.76,1,5.88,0,0.0,26008
26,9,27,4,14.81,4,14.81,4,14.81,1,3.7,3,11.11,1,3.7,0,0.0,0,0.0,0,0.0,0,0.0,2,7.41,0,0.0,0,0.0,1,3.7,0,0.0,0,0.0,0,0.0,0,0.0,3,11.11,2,7.41,2,7.41,0,0.0,0,0.0,26009
26,10,3,0,0.0,0,0.0,1,33.33,1,33.33,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26010
26,11,41,7,17.07,8,19.51,4,9.76,2,4.88,2,4.88,3,7.32,0,0.0,0,0.0,0,0.0,1,2.44,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,4.88,3,7.32,2,4.88,2,4.88,0,0.0,2,4.88,2,4.88,1,2.44,26011
26,12,55,7,12.73,6,10.91,8,14.55,5,9.09,5,9.09,5,9.09,0,0.0,0,0.0,0,0.0,1,1.82,0,0.0,1,1.82,0,0.0,0,0.0,0,0.0,3,5.45,3,5.45,3,5.45,2,3.64,3,5.45,3,5.45,0,0.0,0,0.0,26012
26,13,18,2,11.11,1,5.56,1,5.56,4,22.22,4,22.22,4,22.22,0,0.0,0,0.0,0,0.0,0,0.0,1,5.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26013
26,14,27,6,22.22,6,22.22,6,22.22,2,7.41,3,11.11,2,7.41,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26014
26,15,35,4,11.43,4,11.43,4,11.43,5,14.29,5,14.29,6,17.14,0,0.0,0,0.0,0,0.0,1,2.86,2,5.71,0,0.0,0,0.0,0,0.0,0,0.0,2,5.71,1,2.86,1,2.86,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26015
26,16,34,3,8.82,3,8.82,1,2.94,5,14.71,4,11.76,4,11.76,0,0.0,0,0.0,0,0.0,2,5.88,3,8.82,0,0.0,1,2.94,2,5.88,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,5.88,3,8.82,1,2.94,26016
26,18,39,3,7.69,3,7.69,2,5.13,5,12.82,5,12.82,5,12.82,0,0.0,1,2.56,0,0.0,0,0.0,2,5.13,0,0.0,0,0.0,0,0.0,0,0.0,2,5.13,2,5.13,2,5.13,1,2.56,3,7.69,3,7.69,0,0.0,0,0.0,26018
26,20,34,3,8.82,4,11.76,3,8.82,3,8.82,3,8.82,3,8.82,0,0.0,0,0.0,1,2.94,0,0.0,1,2.94,1,2.94,1,2.94,0,0.0,0,0.0,3,8.82,4,11.76,2,5.88,1,2.94,1,2.94,0,0.0,0,0.0,0,0.0,26020
26,22,23,2,8.7,3,13.04,2,8.7,0,0.0,1,4.35,0,0.0,0,0.0,0,0.0,0,0.0,1,4.35,2,8.7,1,4.35,0,0.0,0,0.0,0,0.0,2,8.7,3,13.04,3,13.04,1,4.35,1,4.35,1,4.35,0,0.0,0,0.0,26022
26,23,18,1,5.56,1,5.56,1,5.56,1,5.56,2,11.11,1,5.56,0,0.0,0,0.0,0,0.0,1,5.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,11.11,1,5.56,1,5.56,1,5.56,1,5.56,4,22.22,0,0.0,0,0.0,26023
26,24,26,0,0.0,0,0.0,0,0.0,5,19.23,6,23.08,3,11.54,0,0.0,0,0.0,0,0.0,0,0.0,1,3.85,0,0.0,0,0.0,0,0.0,1,3.85,0,0.0,0,0.0,0,0.0,2,7.69,4,15.38,2,7.69,0,0.0,2,7.69,26024
26,25,21,1,4.76,1,4.76,1,4.76,1,4.76,1,4.76,2,9.52,0,0.0,0,0.0,0,0.0,1,4.76,1,4.76,1,4.76,0,0.0,0,0.0,0,0.0,2,9.52,3,14.29,2,9.52,1,4.76,1,4.76,2,9.52,0,0.0,0,0.0,26025
26,26,36,0,0.0,0,0.0,1,2.78,7,19.44,6,16.67,6,16.67,0,0.0,0,0.0,0,0.0,1,2.78,1,2.78,1,2.78,0,0.0,0,0.0,0,0.0,2,5.56,2,5.56,3,8.33,2,5.56,1,2.78,2,5.56,0,0.0,1,2.78,26026
26,27,44,2,4.55,2,4.55,2,4.55,9,20.45,9,20.45,9,20.45,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,4.55,0,0.0,2,4.55,3,6.82,1,2.27,2,4.55,1,2.27,0,0.0,0,0.0,26027
26,29,24,0,0.0,0,0.0,1,4.17,6,25.0,7,29.17,6,25.0,0,0.0,1,4.17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.17,0,0.0,0,0.0,1,4.17,0,0.0,0,0.0,1,4.17,0,0.0,0,0.0,26029
26,30,21,0,0.0,1,4.76,1,4.76,3,14.29,2,9.52,3,14.29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.76,2,9.52,2,9.52,1,4.76,1,4.76,2,9.52,0,0.0,2,9.52,26030
26,31,45,8,17.78,5,11.11,5,11.11,3,6.67,3,6.67,3,6.67,0,0.0,0,0.0,1,2.22,0,0.0,1,2.22,1,2.22,0,0.0,0,0.0,0,0.0,1,2.22,1,2.22,2,4.44,3,6.67,3,6.67,5,11.11,0,0.0,0,0.0,26031
26,33,10,0,0.0,0,0.0,0,0.0,2,20.0,3,30.0,2,20.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,10.0,1,10.0,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26033
26,34,46,4,8.7,3,6.52,5,10.87,3,6.52,3,6.52,2,4.35,1,2.17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.17,0,0.0,0,0.0,3,6.52,5,10.87,5,10.87,4,8.7,3,6.52,3,6.52,1,2.17,0,0.0,26034
26,35,27,1,3.7,2,7.41,2,7.41,0,0.0,3,11.11,0,0.0,1,3.7,0,0.0,0,0.0,0,0.0,2,7.41,0,0.0,0,0.0,0,0.0,0,0.0,3,11.11,4,14.81,3,11.11,3,11.11,1,3.7,2,7.41,0,0.0,0,0.0,26035
26,36,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,50.0,1,25.0,1,25.0,0,0.0,0,0.0,26036
26,37,18,1,5.56,1,5.56,1,5.56,1,5.56,1,5.56,0,0.0,0,0.0,1,5.56,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.56,0,0.0,2,11.11,2,11.11,3,16.67,3,16.67,1,5.56,0,0.0,26037
26,38,20,3,15.0,2,10.0,3,15.0,2,10.0,2,10.0,3,15.0,0,0.0,0,0.0,0,0.0,1,5.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,10.0,1,5.0,1,5.0,0,0.0,0,0.0,26038
26,39,29,3,10.34,1,3.45,2,6.9,1,3.45,2,6.9,1,3.45,0,0.0,0,0.0,1,3.45,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,13.79,4,13.79,6,20.69,1,3.45,1,3.45,2,6.9,0,0.0,0,0.0,26039
26,40,29,5,17.24,6,20.69,4,13.79,1,3.45,0,0.0,0,0.0,1,3.45,0,0.0,0,0.0,0,0.0,2,6.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.45,2,6.9,2,6.9,4,13.79,1,3.45,0,0.0,26040
26,41,49,7,14.29,3,6.12,5,10.2,6,12.24,7,14.29,6,12.24,0,0.0,1,2.04,1,2.04,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.04,4,8.16,4,8.16,1,2.04,1,2.04,2,4.08,0,0.0,0,0.0,26041
26,42,38,4,10.53,2,5.26,2,5.26,5,13.16,7,18.42,7,18.42,0,0.0,0,0.0,0,0.0,1,2.63,1,2.63,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,7.89,3,7.89,3,7.89,0,0.0,0,0.0,26042
26,43,16,3,18.75,1,6.25,2,12.5,1,6.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,6.25,2,12.5,1,6.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,6.25,1,6.25,2,12.5,1,6.25,0,0.0,0,0.0,26043
26,44,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,25.0,1,25.0,2,50.0,26044
26,45,10,2,20.0,1,10.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,20.0,2,20.0,3,30.0,0,0.0,0,0.0,26045
26,47,23,4,17.39,2,8.7,3,13.04,2,8.7,2,8.7,1,4.35,1,4.35,0,0.0,0,0.0,1,4.35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.35,2,8.7,1,4.35,0,0.0,1,4.35,2,8.7,0,0.0,0,0.0,26047
26,48,43,3,6.98,5,11.63,5,11.63,3,6.98,5,11.63,5,11.63,1,2.33,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.33,3,6.98,4,9.3,5,11.63,2,4.65,1,2.33,0,0.0,0,0.0,26048
26,49,27,2,7.41,2,7.41,2,7.41,7,25.93,5,18.52,6,22.22,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.7,1,3.7,0,0.0,26049
28,19,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28019
29,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,29001
29,9,187,18,9.63,18,9.63,19,10.16,35,18.72,35,18.72,35,18.72,0,0.0,0,0.0,0,0.0,2,1.07,1,0.53,1,0.53,0,0.0,0,0.0,0,0.0,4,2.14,5,2.67,5,2.67,4,2.14,2,1.07,3,1.6,0,0.0,0,0.0,29009
29,23,113,12,10.62,10,8.85,9,7.96,16,14.16,19,16.81,17,15.04,1,0.88,2,1.77,1,0.88,1,0.88,1,0.88,1,0.88,1,0.88,1,0.88,0,0.0,1,0.88,5,4.42,5,4.42,3,2.65,4,3.54,2,1.77,0,0.0,1,0.88,29023
29,30,97,2,2.06,3,3.09,3,3.09,19,19.59,21,21.65,19,19.59,0,0.0,0,0.0,0,0.0,1,1.03,1,1.03,1,1.03,1,1.03,2,2.06,1,1.03,5,5.15,7,7.22,6,6.19,2,2.06,2,2.06,1,1.03,0,0.0,0,0.0,29030
29,38,168,17,10.12,17,10.12,17,10.12,24,14.29,24,14.29,25,14.88,2,1.19,1,0.6,2,1.19,3,1.79,4,2.38,3,1.79,0,0.0,0,0.0,3,1.79,2,1.19,5,2.98,4,2.38,4,2.38,4,2.38,4,2.38,1,0.6,2,1.19,29038
29,39,48,2,4.17,3,6.25,1,2.08,10,20.83,8,16.67,10,20.83,1,2.08,1,2.08,2,4.17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.08,1,2.08,3,6.25,3,6.25,0,0.0,1,2.08,0,0.0,0,0.0,1,2.08,29039
29,43,33,3,9.09,2,6.06,1,3.03,2,6.06,2,6.06,1,3.03,0,0.0,0,0.0,0,0.0,1,3.03,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,6.06,3,9.09,2,6.06,4,12.12,4,12.12,5,15.15,1,3.03,0,0.0,29043
