ward,precinct,total,MELISSA CONYEARS-ERVIN,MELISSA CONYEARS-ERVIN Percent,AMEYA PAWAR,AMEYA PAWAR Percent,precinct_id
17,13,198,176,88.89,22,11.11,17013
17,14,213,160,75.12,53,24.88,17014
17,15,221,192,86.88,29,13.12,17015
17,16,156,123,78.85,33,21.15,17016
17,17,192,166,86.46,26,13.54,17017
17,18,270,235,87.04,35,12.96,17018
17,19,107,95,88.79,12,11.21,17019
17,20,274,246,89.78,28,10.22,17020
17,21,321,283,88.16,38,11.84,17021
17,22,194,158,81.44,36,18.56,17022
17,23,132,117,88.64,15,11.36,17023
17,24,256,230,89.84,26,10.16,17024
17,25,133,112,84.21,21,15.79,17025
17,26,233,213,91.42,20,8.58,17026
17,27,192,170,88.54,22,11.46,17027
17,28,166,138,83.13,28,16.87,17028
17,29,208,188,90.38,20,9.62,17029
17,30,112,87,77.68,25,22.32,17030
17,31,133,106,79.7,27,20.3,17031
17,32,150,126,84.0,24,16.0,17032
17,33,134,116,86.57,18,13.43,17033
17,34,153,134,87.58,19,12.42,17034
17,35,160,135,84.38,25,15.63,17035
17,36,216,183,84.72,33,15.28,17036
17,37,186,169,90.86,17,9.14,17037
17,38,182,159,87.36,23,12.64,17038
17,39,223,183,82.06,40,17.94,17039
17,40,243,221,90.95,22,9.05,17040
17,41,282,256,90.78,26,9.22,17041
18,1,193,179,92.75,14,7.25,18001
18,2,150,112,74.67,38,25.33,18002
18,3,199,146,73.37,53,26.63,18003
18,4,282,242,85.82,40,14.18,18004
18,5,148,136,91.89,12,8.11,18005
18,6,206,133,64.56,73,35.44,18006
18,7,214,187,87.38,27,12.62,18007
18,8,280,253,90.36,27,9.64,18008
18,9,253,224,88.54,29,11.46,18009
18,10,351,318,90.6,33,9.4,18010
18,11,184,155,84.24,29,15.76,18011
18,12,247,213,86.23,34,13.77,18012
18,13,250,219,87.6,31,12.4,18013
18,14,270,241,89.26,29,10.74,18014
18,15,222,176,79.28,46,20.72,18015
18,16,229,203,88.65,26,11.35,18016
18,17,206,174,84.47,32,15.53,18017
18,18,248,217,87.5,31,12.5,18018
18,19,237,218,91.98,19,8.02,18019
18,20,190,172,90.53,18,9.47,18020
18,21,313,268,85.62,45,14.38,18021
18,22,333,289,86.79,44,13.21,18022
18,23,220,183,83.18,37,16.82,18023
18,24,166,112,67.47,54,32.53,18024
18,25,194,127,65.46,67,34.54,18025
18,26,318,290,91.19,28,8.81,18026
18,27,176,151,85.8,25,14.2,18027
18,28,212,159,75.0,53,25.0,18028
18,29,268,223,83.21,45,16.79,18029
18,30,184,125,67.93,59,32.07,18030
18,31,240,206,85.83,34,14.17,18031
18,32,257,234,91.05,23,8.95,18032
18,33,195,176,90.26,19,9.74,18033
18,34,341,306,89.74,35,10.26,18034
18,35,322,288,89.44,34,10.56,18035
18,36,225,189,84.0,36,16.0,18036
18,37,279,241,86.38,38,13.62,18037
18,38,248,225,90.73,23,9.27,18038
18,39,156,134,85.9,22,14.1,18039
18,40,235,165,70.21,70,29.79,18040
18,41,308,266,86.36,42,13.64,18041
18,42,160,140,87.5,20,12.5,18042
18,43,134,89,66.42,45,33.58,18043
18,44,195,145,74.36,50,25.64,18044
18,45,151,117,77.48,34,22.52,18045
18,46,195,138,70.77,57,29.23,18046
18,47,156,129,82.69,27,17.31,18047
18,48,189,170,89.95,19,10.05,18048
18,49,132,113,85.61,19,14.39,18049
18,50,174,141,81.03,33,18.97,18050
19,1,297,177,59.6,120,40.4,19001
19,2,449,324,72.16,125,27.84,19002
19,3,255,197,77.25,58,22.75,19003
19,4,349,241,69.05,108,30.95,19004
19,5,367,248,67.57,119,32.43,19005
19,6,329,218,66.26,111,33.74,19006
19,7,280,172,61.43,108,38.57,19007
19,8,313,226,72.2,87,27.8,19008
19,9,248,165,66.53,83,33.47,19009
19,10,389,216,55.53,173,44.47,19010
19,11,288,205,71.18,83,28.82,19011
19,12,247,192,77.73,55,22.27,19012
19,13,368,312,84.78,56,15.22,19013
19,14,354,213,60.17,141,39.83,19014
19,15,378,247,65.34,131,34.66,19015
19,16,337,250,74.18,87,25.82,19016
19,17,277,169,61.01,108,38.99,19017
19,18,320,188,58.75,132,41.25,19018
19,19,405,243,60.0,162,40.0,19019
19,20,295,222,75.25,73,24.75,19020
19,21,280,186,66.43,94,33.57,19021
19,22,359,192,53.48,167,46.52,19022
19,23,337,212,62.91,125,37.09,19023
19,24,237,160,67.51,77,32.49,19024
19,25,302,164,54.3,138,45.7,19025
19,26,316,157,49.68,159,50.32,19026
19,27,335,237,70.75,98,29.25,19027
19,28,354,289,81.64,65,18.36,19028
19,29,297,210,70.71,87,29.29,19029
19,30,280,185,66.07,95,33.93,19030
19,31,306,161,52.61,145,47.39,19031
19,32,291,188,64.6,103,35.4,19032
19,33,292,201,68.84,91,31.16,19033
19,34,296,155,52.36,141,47.64,19034
19,35,303,177,58.42,126,41.58,19035
19,36,396,293,73.99,103,26.01,19036
19,37,329,212,64.44,117,35.56,19037
19,38,290,208,71.72,82,28.28,19038
19,39,92,73,79.35,19,20.65,19039
19,40,322,200,62.11,122,37.89,19040
19,41,288,188,65.28,100,34.72,19041
19,42,257,174,67.7,83,32.3,19042
19,43,386,305,79.02,81,20.98,19043
19,44,318,213,66.98,105,33.02,19044
19,45,309,206,66.67,103,33.33,19045
19,46,352,225,63.92,127,36.08,19046
19,47,479,365,76.2,114,23.8,19047
19,48,335,281,83.88,54,16.12,19048
19,49,413,299,72.4,114,27.6,19049
19,50,266,182,68.42,84,31.58,19050
19,51,357,210,58.82,147,41.18,19051
19,52,315,217,68.89,98,31.11,19052
19,53,272,169,62.13,103,37.87,19053
19,54,241,176,73.03,65,26.97,19054
19,55,253,194,76.68,59,23.32,19055
19,56,366,216,59.02,150,40.98,19056
19,57,266,160,60.15,106,39.85,19057
20,1,262,223,85.11,39,14.89,20001
20,2,102,92,90.2,10,9.8,20002
20,3,203,174,85.71,29,14.29,20003
20,4,106,79,74.53,27,25.47,20004
20,5,252,197,78.17,55,21.83,20005
20,6,105,87,82.86,18,17.14,20006
20,7,219,182,83.11,37,16.89,20007
20,8,250,208,83.2,42,16.8,20008
20,9,370,287,77.57,83,22.43,20009
20,10,157,128,81.53,29,18.47,20010
20,11,308,256,83.12,52,16.88,20011
20,12,165,140,84.85,25,15.15,20012
20,13,287,243,84.67,44,15.33,20013
20,14,139,108,77.7,31,22.3,20014
20,15,144,87,60.42,57,39.58,20015
20,16,279,204,73.12,75,26.88,20016
20,17,128,89,69.53,39,30.47,20017
20,18,161,131,81.37,30,18.63,20018
20,19,237,188,79.32,49,20.68,20019
20,20,112,68,60.71,44,39.29,20020
20,21,170,139,81.76,31,18.24,20021
20,22,359,276,76.88,83,23.12,20022
20,23,243,202,83.13,41,16.87,20023
20,24,283,184,65.02,99,34.98,20024
20,25,183,152,83.06,31,16.94,20025
20,26,248,172,69.35,76,30.65,20026
20,27,128,109,85.16,19,14.84,20027
20,28,160,136,85.0,24,15.0,20028
20,29,285,234,82.11,51,17.89,20029
20,30,105,84,80.0,21,20.0,20030
20,31,270,216,80.0,54,20.0,20031
20,32,214,184,85.98,30,14.02,20032
20,33,155,130,83.87,25,16.13,20033
20,34,336,195,58.04,141,41.96,20034
20,35,113,92,81.42,21,18.58,20035
20,36,69,61,88.41,8,11.59,20036
20,37,64,54,84.38,10,15.63,20037
20,38,83,74,89.16,9,10.84,20038
20,39,18,18,100.0,0,0.0,20039
21,1,279,235,84.23,44,15.77,21001
21,2,165,147,89.09,18,10.91,21002
21,3,280,251,89.64,29,10.36,21003
21,4,244,207,84.84,37,15.16,21004
21,5,317,272,85.8,45,14.2,21005
21,6,208,180,86.54,28,13.46,21006
21,7,287,259,90.24,28,9.76,21007
21,8,268,242,90.3,26,9.7,21008
21,9,299,272,90.97,27,9.03,21009
21,10,211,186,88.15,25,11.85,21010
21,11,236,208,88.14,28,11.86,21011
21,12,234,206,88.03,28,11.97,21012
21,13,244,215,88.11,29,11.89,21013
21,14,292,267,91.44,25,8.56,21014
21,15,220,183,83.18,37,16.82,21015
21,16,237,205,86.5,32,13.5,21016
21,17,220,177,80.45,43,19.55,21017
21,18,296,271,91.55,25,8.45,21018
21,19,265,231,87.17,34,12.83,21019
21,20,212,185,87.26,27,12.74,21020
21,21,203,179,88.18,24,11.82,21021
21,22,219,202,92.24,17,7.76,21022
21,23,241,222,92.12,19,7.88,21023
21,24,263,238,90.49,25,9.51,21024
21,25,242,217,89.67,25,10.33,21025
21,26,241,209,86.72,32,13.28,21026
21,27,247,220,89.07,27,10.93,21027
21,28,307,271,88.27,36,11.73,21028
21,29,306,272,88.89,34,11.11,21029
21,30,193,171,88.6,22,11.4,21030
21,31,210,182,86.67,28,13.33,21031
21,32,246,222,90.24,24,9.76,21032
21,33,207,185,89.37,22,10.63,21033
21,34,235,216,91.91,19,8.09,21034
21,35,330,291,88.18,39,11.82,21035
21,36,240,206,85.83,34,14.17,21036
21,37,199,171,85.93,28,14.07,21037
21,38,234,205,87.61,29,12.39,21038
21,39,194,172,88.66,22,11.34,21039
21,40,232,200,86.21,32,13.79,21040
21,41,292,254,86.99,38,13.01,21041
21,42,290,256,88.28,34,11.72,21042
21,43,255,227,89.02,28,10.98,21043
21,44,267,235,88.01,32,11.99,21044
21,45,229,220,96.07,9,3.93,21045
21,46,276,252,91.3,24,8.7,21046
21,47,225,203,90.22,22,9.78,21047
21,48,241,208,86.31,33,13.69,21048
21,49,287,256,89.2,31,10.8,21049
21,50,193,163,84.46,30,15.54,21050
21,51,249,224,89.96,25,10.04,21051
21,52,242,218,90.08,24,9.92,21052
21,53,219,187,85.39,32,14.61,21053
21,54,246,205,83.33,41,16.67,21054
22,1,123,110,89.43,13,10.57,22001
22,2,210,118,56.19,92,43.81,22002
22,3,181,109,60.22,72,39.78,22003
22,4,103,69,66.99,34,33.01,22004
22,5,130,77,59.23,53,40.77,22005
22,6,124,66,53.23,58,46.77,22006
22,7,98,55,56.12,43,43.88,22007
22,8,251,169,67.33,82,32.67,22008
22,9,107,55,51.4,52,48.6,22009
22,10,167,93,55.69,74,44.31,22010
22,11,111,65,58.56,46,41.44,22011
22,12,169,108,63.91,61,36.09,22012
22,13,128,72,56.25,56,43.75,22013
22,14,122,71,58.2,51,41.8,22014
22,15,94,57,60.64,37,39.36,22015
22,16,94,47,50.0,47,50.0,22016
22,17,162,79,48.77,83,51.23,22017
22,18,101,51,50.5,50,49.5,22018
22,19,75,55,73.33,20,26.67,22019
22,20,110,63,57.27,47,42.73,22020
22,21,213,182,85.45,31,14.55,22021
22,22,105,50,47.62,55,52.38,22022
22,23,281,251,89.32,30,10.68,22023
22,24,167,104,62.28,63,37.72,22024
22,25,132,66,50.0,66,50.0,22025
23,1,214,126,58.88,88,41.12,23001
23,2,233,153,65.67,80,34.33,23002
23,3,204,117,57.35,87,42.65,23003
23,4,237,147,62.03,90,37.97,23004
23,5,144,83,57.64,61,42.36,23005
23,6,182,126,69.23,56,30.77,23006
23,7,138,98,71.01,40,28.99,23007
23,8,196,108,55.1,88,44.9,23008
23,9,115,65,56.52,50,43.48,23009
23,10,161,94,58.39,67,41.61,23010
23,11,151,94,62.25,57,37.75,23011
23,12,223,137,61.43,86,38.57,23012
23,13,111,56,50.45,55,49.55,23013
23,14,194,132,68.04,62,31.96,23014
23,15,103,72,69.9,31,30.1,23015
23,16,233,160,68.67,73,31.33,23016
23,17,90,47,52.22,43,47.78,23017
23,18,187,121,64.71,66,35.29,23018
23,19,118,77,65.25,41,34.75,23019
23,20,61,44,72.13,17,27.87,23020
23,21,248,169,68.15,79,31.85,23021
23,22,212,129,60.85,83,39.15,23022
23,23,213,130,61.03,83,38.97,23023
23,24,111,59,53.15,52,46.85,23024
23,25,135,80,59.26,55,40.74,23025
23,26,153,91,59.48,62,40.52,23026
23,27,214,125,58.41,89,41.59,23027
23,28,205,110,53.66,95,46.34,23028
23,29,187,121,64.71,66,35.29,23029
23,30,163,77,47.24,86,52.76,23030
23,31,122,76,62.3,46,37.7,23031
23,32,117,72,61.54,45,38.46,23032
23,33,124,75,60.48,49,39.52,23033
23,34,116,66,56.9,50,43.1,23034
23,35,163,95,58.28,68,41.72,23035
23,36,231,154,66.67,77,33.33,23036
23,37,224,136,60.71,88,39.29,23037
23,38,194,124,63.92,70,36.08,23038
23,39,158,92,58.23,66,41.77,23039
24,1,163,150,92.02,13,7.98,24001
24,2,172,158,91.86,14,8.14,24002
24,3,174,151,86.78,23,13.22,24003
24,4,128,120,93.75,8,6.25,24004
24,5,88,78,88.64,10,11.36,24005
24,6,202,177,87.62,25,12.38,24006
24,7,102,46,45.1,56,54.9,24007
24,8,86,76,88.37,10,11.63,24008
24,9,137,108,78.83,29,21.17,24009
24,10,80,68,85.0,12,15.0,24010
24,11,178,157,88.2,21,11.8,24011
24,12,117,103,88.03,14,11.97,24012
24,13,96,91,94.79,5,5.21,24013
24,14,138,121,87.68,17,12.32,24014
24,15,93,80,86.02,13,13.98,24015
24,16,261,173,66.28,88,33.72,24016
24,17,156,144,92.31,12,7.69,24017
24,18,213,188,88.26,25,11.74,24018
24,19,227,210,92.51,17,7.49,24019
24,20,125,115,92.0,10,8.0,24020
24,21,76,65,85.53,11,14.47,24021
24,22,210,195,92.86,15,7.14,24022
24,23,143,101,70.63,42,29.37,24023
24,24,195,167,85.64,28,14.36,24024
24,25,150,133,88.67,17,11.33,24025
24,26,282,261,92.55,21,7.45,24026
24,27,202,182,90.1,20,9.9,24027
24,28,156,135,86.54,21,13.46,24028
24,29,150,133,88.67,17,11.33,24029
24,30,102,92,90.2,10,9.8,24030
24,31,203,175,86.21,28,13.79,24031
24,32,96,87,90.63,9,9.38,24032
24,33,112,95,84.82,17,15.18,24033
24,34,160,144,90.0,16,10.0,24034
24,35,149,132,88.59,17,11.41,24035
24,36,206,181,87.86,25,12.14,24036
24,37,109,97,88.99,12,11.01,24037
24,38,182,134,73.63,48,26.37,24038
24,39,200,156,78.0,44,22.0,24039
24,40,168,146,86.9,22,13.1,24040
24,41,154,137,88.96,17,11.04,24041
25,1,268,105,39.18,163,60.82,25001
25,2,314,111,35.35,203,64.65,25002
25,3,282,124,43.97,158,56.03,25003
25,4,225,150,66.67,75,33.33,25004
25,5,352,147,41.76,205,58.24,25005
25,6,105,57,54.29,48,45.71,25006
25,7,283,126,44.52,157,55.48,25007
25,8,319,159,49.84,160,50.16,25008
25,9,269,88,32.71,181,67.29,25009
25,10,330,131,39.7,199,60.3,25010
25,11,289,120,41.52,169,58.48,25011
25,12,293,122,41.64,171,58.36,25012
25,13,310,141,45.48,169,54.52,25013
25,14,160,62,38.75,98,61.25,25014
25,15,233,106,45.49,127,54.51,25015
25,16,289,126,43.6,163,56.4,25016
25,17,326,164,50.31,162,49.69,25017
25,18,201,111,55.22,90,44.78,25018
25,19,309,122,39.48,187,60.52,25019
25,20,183,142,77.6,41,22.4,25020
25,21,387,176,45.48,211,54.52,25021
25,22,276,127,46.01,149,53.99,25022
25,23,347,157,45.24,190,54.76,25023
25,24,309,151,48.87,158,51.13,25024
25,25,272,123,45.22,149,54.78,25025
25,26,310,128,41.29,182,58.71,25026
25,27,218,77,35.32,141,64.68,25027
25,28,286,119,41.61,167,58.39,25028
25,29,254,187,73.62,67,26.38,25029
25,30,303,130,42.9,173,57.1,25030
25,31,320,134,41.88,186,58.13,25031
25,32,238,120,50.42,118,49.58,25032
26,1,186,74,39.78,112,60.22,26001
26,2,181,98,54.14,83,45.86,26002
26,3,198,74,37.37,124,62.63,26003
26,4,131,93,70.99,38,29.01,26004
26,5,183,88,48.09,95,51.91,26005
26,6,155,77,49.68,78,50.32,26006
26,7,183,74,40.44,109,59.56,26007
26,8,82,27,32.93,55,67.07,26008
26,9,140,90,64.29,50,35.71,26009
26,10,165,78,47.27,87,52.73,26010
26,11,177,96,54.24,81,45.76,26011
26,12,174,86,49.43,88,50.57,26012
26,13,88,54,61.36,34,38.64,26013
26,14,121,61,50.41,60,49.59,26014
26,15,89,62,69.66,27,30.34,26015
26,16,79,57,72.15,22,27.85,26016
26,17,167,83,49.7,84,50.3,26017
26,18,93,58,62.37,35,37.63,26018
26,19,86,70,81.4,16,18.6,26019
26,20,149,62,41.61,87,58.39,26020
26,21,199,104,52.26,95,47.74,26021
26,22,65,38,58.46,27,41.54,26022
26,23,100,52,52.0,48,48.0,26023
26,24,134,76,56.72,58,43.28,26024
26,25,149,68,45.64,81,54.36,26025
26,26,112,46,41.07,66,58.93,26026
26,27,210,99,47.14,111,52.86,26027
26,28,266,111,41.73,155,58.27,26028
26,29,112,59,52.68,53,47.32,26029
26,30,150,72,48.0,78,52.0,26030
26,31,79,50,63.29,29,36.71,26031
26,32,223,98,43.95,125,56.05,26032
26,33,188,83,44.15,105,55.85,26033
26,34,220,86,39.09,134,60.91,26034
26,35,169,88,52.07,81,47.93,26035
26,36,173,63,36.42,110,63.58,26036
26,37,173,67,38.73,106,61.27,26037
26,38,85,56,65.88,29,34.12,26038
26,39,192,68,35.42,124,64.58,26039
26,40,107,54,50.47,53,49.53,26040
26,41,162,63,38.89,99,61.11,26041
26,42,133,68,51.13,65,48.87,26042
26,43,98,52,53.06,46,46.94,26043
26,44,88,63,71.59,25,28.41,26044
26,45,73,53,72.6,20,27.4,26045
26,46,118,57,48.31,61,51.69,26046
26,47,86,52,60.47,34,39.53,26047
26,48,139,57,41.01,82,58.99,26048
26,49,85,49,57.65,36,42.35,26049
27,1,324,149,45.99,175,54.01,27001
27,2,235,144,61.28,91,38.72,27002
27,3,133,110,82.71,23,17.29,27003
27,4,127,85,66.93,42,33.07,27004
27,5,185,157,84.86,28,15.14,27005
27,6,210,123,58.57,87,41.43,27006
27,7,288,104,36.11,184,63.89,27007
27,8,160,134,83.75,26,16.25,27008
27,9,114,65,57.02,49,42.98,27009
27,10,292,245,83.9,47,16.1,27010
27,11,230,108,46.96,122,53.04,27011
27,12,140,66,47.14,74,52.86,27012
27,13,338,271,80.18,67,19.82,27013
27,14,93,85,91.4,8,8.6,27014
27,15,123,104,84.55,19,15.45,27015
27,16,201,80,39.8,121,60.2,27016
27,17,208,151,72.6,57,27.4,27017
27,18,171,135,78.95,36,21.05,27018
27,19,110,88,80.0,22,20.0,27019
27,20,146,119,81.51,27,18.49,27020
27,21,218,113,51.83,105,48.17,27021
27,22,114,102,89.47,12,10.53,27022
27,23,191,163,85.34,28,14.66,27023
27,24,138,107,77.54,31,22.46,27024
27,25,204,133,65.2,71,34.8,27025
27,26,195,152,77.95,43,22.05,27026
27,27,245,191,77.96,54,22.04,27027
27,28,167,99,59.28,68,40.72,27028
27,29,138,121,87.68,17,12.32,27029
27,30,124,106,85.48,18,14.52,27030
27,31,179,141,78.77,38,21.23,27031
27,32,198,141,71.21,57,28.79,27032
27,33,225,127,56.44,98,43.56,27033
27,34,175,150,85.71,25,14.29,27034
27,35,236,90,38.14,146,61.86,27035
27,36,178,128,71.91,50,28.09,27036
27,37,277,194,70.04,83,29.96,27037
27,38,353,244,69.12,109,30.88,27038
27,39,198,162,81.82,36,18.18,27039
27,40,285,165,57.89,120,42.11,27040
27,41,236,197,83.47,39,16.53,27041
27,42,156,107,68.59,49,31.41,27042
27,43,146,111,76.03,35,23.97,27043
27,44,147,131,89.12,16,10.88,27044
27,45,315,128,40.63,187,59.37,27045
27,46,162,63,38.89,99,61.11,27046
27,47,194,141,72.68,53,27.32,27047
27,48,319,214,67.08,105,32.92,27048
27,49,146,122,83.56,24,16.44,27049
27,50,223,189,84.75,34,15.25,27050
28,1,119,112,94.12,7,5.88,28001
28,2,192,154,80.21,38,19.79,28002
28,3,138,121,87.68,17,12.32,28003
28,4,150,75,50.0,75,50.0,28004
28,5,131,99,75.57,32,24.43,28005
28,6,133,79,59.4,54,40.6,28006
28,7,168,155,92.26,13,7.74,28007
28,8,176,82,46.59,94,53.41,28008
28,9,185,168,90.81,17,9.19,28009
28,10,235,118,50.21,117,49.79,28010
28,11,348,205,58.91,143,41.09,28011
28,12,167,147,88.02,20,11.98,28012
28,13,244,222,90.98,22,9.02,28013
28,14,168,150,89.29,18,10.71,28014
28,15,50,47,94.0,3,6.0,28015
28,16,114,103,90.35,11,9.65,28016
28,17,138,128,92.75,10,7.25,28017
28,18,170,141,82.94,29,17.06,28018
28,19,155,79,50.97,76,49.03,28019
28,20,176,137,77.84,39,22.16,28020
28,21,159,144,90.57,15,9.43,28021
28,22,160,118,73.75,42,26.25,28022
28,23,201,180,89.55,21,10.45,28023
28,24,167,147,88.02,20,11.98,28024
28,25,270,240,88.89,30,11.11,28025
28,26,184,170,92.39,14,7.61,28026
28,27,206,97,47.09,109,52.91,28027
28,28,250,110,44.0,140,56.0,28028
28,29,70,57,81.43,13,18.57,28029
28,30,30,27,90.0,3,10.0,28030
28,31,315,274,86.98,41,13.02,28031
28,32,172,138,80.23,34,19.77,28032
28,33,196,176,89.8,20,10.2,28033
28,34,287,241,83.97,46,16.03,28034
28,35,189,165,87.3,24,12.7,28035
28,36,109,98,89.91,11,10.09,28036
28,37,219,191,87.21,28,12.79,28037
28,38,74,64,86.49,10,13.51,28038
28,39,127,113,88.98,14,11.02,28039
28,40,221,201,90.95,20,9.05,28040
28,41,135,116,85.93,19,14.07,28041
28,42,170,157,92.35,13,7.65,28042
28,43,223,198,88.79,25,11.21,28043
28,44,135,123,91.11,12,8.89,28044
28,45,163,66,40.49,97,59.51,28045
28,46,342,158,46.2,184,53.8,28046
29,1,328,206,62.8,122,37.2,29001
29,2,313,271,86.58,42,13.42,29002
29,3,223,195,87.44,28,12.56,29003
29,4,275,251,91.27,24,8.73,29004
29,5,170,154,90.59,16,9.41,29005
29,6,188,164,87.23,24,12.77,29006
29,7,267,211,79.03,56,20.97,29007
29,8,161,131,81.37,30,18.63,29008
29,9,320,202,63.13,118,36.88,29009
29,10,353,222,62.89,131,37.11,29010
29,11,152,125,82.24,27,17.76,29011
29,12,305,256,83.93,49,16.07,29012
29,13,279,233,83.51,46,16.49,29013
29,14,238,210,88.24,28,11.76,29014
29,15,281,242,86.12,39,13.88,29015
29,16,228,213,93.42,15,6.58,29016
29,17,226,199,88.05,27,11.95,29017
29,18,224,199,88.84,25,11.16,29018
29,19,251,213,84.86,38,15.14,29019
29,20,252,213,84.52,39,15.48,29020
29,21,254,205,80.71,49,19.29,29021
29,22,185,142,76.76,43,23.24,29022
29,23,264,174,65.91,90,34.09,29023
29,24,215,184,85.58,31,14.42,29024
29,25,299,260,86.96,39,13.04,29025
29,26,276,214,77.54,62,22.46,29026
29,27,228,203,89.04,25,10.96,29027
29,28,280,254,90.71,26,9.29,29028
29,29,240,164,68.33,76,31.67,29029
29,30,368,271,73.64,97,26.36,29030
29,31,201,121,60.2,80,39.8,29031
29,32,186,113,60.75,73,39.25,29032
29,33,193,162,83.94,31,16.06,29033
29,34,166,115,69.28,51,30.72,29034
29,35,177,152,85.88,25,14.12,29035
29,36,212,192,90.57,20,9.43,29036
29,37,237,207,87.34,30,12.66,29037
29,38,201,114,56.72,87,43.28,29038
29,39,228,162,71.05,66,28.95,29039
29,40,282,257,91.13,25,8.87,29040
29,41,188,175,93.09,13,6.91,29041
29,42,245,222,90.61,23,9.39,29042
29,43,323,238,73.68,85,26.32,29043
29,44,299,260,86.96,39,13.04,29044
30,1,250,136,54.4,114,45.6,30001
30,2,286,179,62.59,107,37.41,30002
30,3,231,82,35.5,149,64.5,30003
30,4,245,147,60.0,98,40.0,30004
30,5,159,118,74.21,41,25.79,30005
30,6,238,160,67.23,78,32.77,30006
30,7,280,123,43.93,157,56.07,30007
30,8,320,135,42.19,185,57.81,30008
30,9,219,139,63.47,80,36.53,30009
30,10,279,179,64.16,100,35.84,30010
30,11,206,126,61.17,80,38.83,30011
30,12,221,135,61.09,86,38.91,30012
30,13,246,150,60.98,96,39.02,30013
30,14,160,99,61.88,61,38.13,30014
30,15,306,120,39.22,186,60.78,30015
30,16,140,79,56.43,61,43.57,30016
30,17,264,150,56.82,114,43.18,30017
30,18,270,126,46.67,144,53.33,30018
30,19,217,131,60.37,86,39.63,30019
30,20,278,147,52.88,131,47.12,30020
30,21,222,136,61.26,86,38.74,30021
30,22,296,138,46.62,158,53.38,30022
30,23,227,103,45.37,124,54.63,30023
30,24,315,125,39.68,190,60.32,30024
30,25,305,129,42.3,176,57.7,30025
30,26,180,104,57.78,76,42.22,30026
30,27,180,98,54.44,82,45.56,30027
30,28,278,114,41.01,164,58.99,30028
30,29,129,78,60.47,51,39.53,30029
30,30,101,65,64.36,36,35.64,30030
30,31,205,119,58.05,86,41.95,30031
30,32,209,84,40.19,125,59.81,30032
31,1,130,83,63.85,47,36.15,31001
31,2,124,65,52.42,59,47.58,31002
31,3,165,91,55.15,74,44.85,31003
31,4,242,99,40.91,143,59.09,31004
31,5,199,119,59.8,80,40.2,31005
31,6,114,76,66.67,38,33.33,31006
31,7,229,82,35.81,147,64.19,31007
31,8,126,72,57.14,54,42.86,31008
31,9,115,64,55.65,51,44.35,31009
31,10,140,76,54.29,64,45.71,31010
31,11,124,72,58.06,52,41.94,31011
31,12,160,103,64.38,57,35.63,31012
31,13,164,81,49.39,83,50.61,31013
31,14,146,93,63.7,53,36.3,31014
31,15,159,96,60.38,63,39.62,31015
31,16,210,76,36.19,134,63.81,31016
31,17,166,92,55.42,74,44.58,31017
31,18,133,85,63.91,48,36.09,31018
31,19,158,103,65.19,55,34.81,31019
31,20,121,70,57.85,51,42.15,31020
31,21,158,99,62.66,59,37.34,31021
31,22,113,70,61.95,43,38.05,31022
31,23,156,71,45.51,85,54.49,31023
31,24,190,115,60.53,75,39.47,31024
31,25,119,68,57.14,51,42.86,31025
31,26,182,103,56.59,79,43.41,31026
31,27,191,107,56.02,84,43.98,31027
31,28,117,72,61.54,45,38.46,31028
31,29,175,111,63.43,64,36.57,31029
31,30,117,59,50.43,58,49.57,31030
31,31,137,84,61.31,53,38.69,31031
31,32,109,68,62.39,41,37.61,31032
31,33,130,77,59.23,53,40.77,31033
31,34,141,67,47.52,74,52.48,31034
31,35,180,114,63.33,66,36.67,31035
31,36,210,114,54.29,96,45.71,31036
31,37,144,82,56.94,62,43.06,31037
31,38,115,72,62.61,43,37.39,31038
31,39,160,76,47.5,84,52.5,31039
31,40,172,93,54.07,79,45.93,31040
31,41,131,83,63.36,48,36.64,31041
32,1,290,126,43.45,164,56.55,32001
32,2,243,107,44.03,136,55.97,32002
32,3,324,100,30.86,224,69.14,32003
32,4,262,103,39.31,159,60.69,32004
32,5,271,110,40.59,161,59.41,32005
32,6,264,97,36.74,167,63.26,32006
32,7,260,68,26.15,192,73.85,32007
32,8,273,96,35.16,177,64.84,32008
32,9,245,100,40.82,145,59.18,32009
32,10,264,93,35.23,171,64.77,32010
32,11,276,79,28.62,197,71.38,32011
32,12,242,88,36.36,154,63.64,32012
32,13,262,102,38.93,160,61.07,32013
32,14,294,91,30.95,203,69.05,32014
32,15,257,96,37.35,161,62.65,32015
32,16,295,97,32.88,198,67.12,32016
32,17,301,113,37.54,188,62.46,32017
32,18,251,81,32.27,170,67.73,32018
32,19,252,76,30.16,176,69.84,32019
32,20,269,81,30.11,188,69.89,32020
32,21,351,88,25.07,263,74.93,32021
32,22,361,120,33.24,241,66.76,32022
32,23,278,98,35.25,180,64.75,32023
32,24,191,73,38.22,118,61.78,32024
32,25,270,75,27.78,195,72.22,32025
32,26,325,122,37.54,203,62.46,32026
32,27,268,87,32.46,181,67.54,32027
32,28,275,66,24.0,209,76.0,32028
32,29,300,99,33.0,201,67.0,32029
32,30,263,109,41.44,154,58.56,32030
32,31,276,117,42.39,159,57.61,32031
32,32,300,110,36.67,190,63.33,32032
32,33,283,112,39.58,171,60.42,32033
32,34,269,108,40.15,161,59.85,32034
